som	kao	som	kao	ADP	CONJ
sin	njegova	sin	njegov	PRO;MASC;SG	DET;NOM;FEM;SG;3
født	rođeni	føde	rođen	ADJ;INDF;SG;V.PTCP	ADJ;NOM;DEF;MASC;PL;V.PTCP
født	rođena	føde	roditi	ADJ;INDF;SG;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
mot	hrabrosti	mot	hrabrost	ADP	N;NOM;FEM;PL
mot	hrabrost	mot	hrabrost	ADP	N;NOM;FEM;SG
mot	mot	mot	mot	ADP	PROPN;NOM;MASC;SG
denne	ovo	denne	ovaj	PRO;SG;3	DET;NOM;NEUT;SG
hans	hans	hans	hans	PRO;NEUT;SG	PROPN;NOM;MASC;SG
hans	njegovo	hans	njegov	PRO;NEUT;SG	DET;NOM;NEUT;SG;3
hans	njegov	hans	njegov	PRO;NEUT;SG	DET;NOM;MASC;SG;3
hans	njegova	hans	njegov	PRO;NEUT;SG	DET;NOM;FEM;SG;3
norsk	norveški	norsk	norveški	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
norsk	norsk	norsk	norsk	N;INDF;MASC;SG	ADP
mellom	izmedju	mellom	izmedje	ADP	N;NOM;MASC;SG
flere	višestruko	flere	višestruko		ADV
flere	višestruki	flere	višestruk		ADJ;NOM;DEF;MASC;SG
flere	više	flere	mnogo		ADV;CMPR
fikk	imam	fikk	imati	V;IND;PST;FIN	V;IND;SG;1;PRS;FIN
norge	norveškoj	norge	norveški	PROPN	N;DAT;FEM;SG
norge	norveška	norge	norveški	PROPN	PROPN;NOM;FEM;SG
noen	neko	noen	neki		PRO;NOM;NEUT;SG
noen	netko	noen	netko		PRO;NOM;MASC;3
noen	nekoga	noen	neki		PRO;ACC;MASC;SG
noen	neke	noen	neki		PRO;NOM;FEM;PL
noen	neki	noen	neki		PRO;NOM;MASC;PL
noen	bilo	noen	biti		V;NEUT;SG;PST;V.PTCP;ACT
blir	ostanak	bli	ostanak	V;IND;PRS;FIN	N;NOM;MASC;SG
blant	medju	blant	medju	ADP	
alle	svi	alle	sav	PRO;PL;3	DET;NOM;DEF;MASC;PL
alle	sve	alle	sve	PRO;PL;3	PRO;NOM;NEUT;SG
alle	svi	alle	sav	PRO;PL;3	DET;NOM;DEF;MASC;PL
alle	svima	alle	sav	PRO;PL;3	DET;DAT;DEF;MASC;PL
alle	svi	alle	sav	PRO;PL;3	DET;NOM;DEF;MASC;PL
noe	donekle	noe	donekle		ADV
noe	nesto	noe	nesto		N;NOM;NEUT;SG
noe	nešto	noe	nešto		PRO;ACC;NEUT;3
hvor	gdje	hvor	gdje		ADV
siden	stranicu	siden	stranica		N;ACC;FEM;SG
siden	stranica	siden	stranica		N;NOM;FEM;SG
siden	stranice	siden	stranica		N;NOM;FEM;PL
tidligere	prethodno	tidligere	prethodno	N;INDF;FEM;SG	ADV
tidligere	ranije	tidligere	rano	N;INDF;FEM;SG	ADV;CMPR
tidligere	bivši	tidligere	bivši	N;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
tidligere	prethodni	tidligere	prethodan	N;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
tidligere	prethodna	tidligere	prethodan	N;INDF;FEM;SG	ADJ;NOM;DEF;FEM;SG
sammen	zajedno	sam	zajedno		ADV
ligger	polaganje	ligger	polaganje	V;IND;PRS;FIN	N;NOM;NEUT;SG
før	prije	før	prije	ADP	ADV
død	smrti	død	smrt	N;INDF;MASC;SG	N;NOM;FEM;PL
død	mrtav	død	mrtav	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
disse	ovi	disse	ovaj	N;INDF;NEUT;SG	DET;NOM;MASC;PL
disse	ove	disse	ovaj	N;INDF;NEUT;SG	DET;GEN;FEM;SG
senere	kasnije	senere	kasno		ADV;CMPR
del	dela	dele	delo	V;IMP;FIN	N;GEN;MASC;SG
del	dijelom	dele	dio	V;IMP;FIN	N;INS;MASC;SG
del	dio	dele	dio	V;IMP;FIN	N;NOM;MASC;SG
del	podijeli	dele	podijetiti	V;IMP;FIN	V;IND;SG;3;PRS;FIN
norske	norveški	norsk	norveški	ADJ;PL	ADJ;NOM;DEF;MASC;SG
tre	tre	tre	tre	NUM;PL	PROPN;NOM;MASC;SG
tre	stablo	tre	stablo	NUM;PL	N;NOM;NEUT;SG
tre	drvo	tre	drvo	NUM;PL	N;NOM;NEUT;SG
mer	više	mer	mnogo	N;INDF;MASC;SG	ADV;CMPR
skal	gonna	skulle	gonna	V;IND;PRS;FIN	ADP
vært	bio	vært	biti	V;V.PTCP	V;MASC;SG;PST;V.PTCP;ACT
oslo	oslu	oslo	osla	PROPN	PROPN;DAT;MASC;SG
selv	čak	selv	čak		ADV
annet	drugi	annet	drugi	N;INDF;NEUT;SG	ADJ;NOM;MASC;SG
annet	drugo	annet	drugi	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
annet	druga	annet	drugi	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
samme	isti	samme	isti	N;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
samme	ista	samme	isti	N;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
samme	isto	samme	isto	N;INDF;NEUT;SG	ADV
store	velika	stor	velik	ADJ;PL	ADJ;NOM;DEF;FEM;SG
store	veliki	stor	velik	ADJ;PL	ADJ;NOM;DEF;MASC;SG
store	veliko	stor	velik	ADJ;PL	ADJ;NOM;NEUT;SG
blitt	postati	bli	postati	ADJ;INDF;SG;V.PTCP	V;NFIN
and	patak	and	patak		N;NOM;MASC;SG
and	patka	and	patak		N;NOM;FEM;SG
and	duck	and	duck		N;NOM;MASC;SG
kjent	poznata	kjent	poznat	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
kjent	poznato	kjent	poznat	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;NEUT;SG
kjent	poznati	kjent	poznat	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;PL
kjent	poznato	kjent	poznat	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;NEUT;SG
mai	mai	mai	mai	N;INDF;MASC;SG	ADP
mai	may	mai	may	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
kommune	parish	kommune	parish	N;INDF;MASC;SG	ADP
kommune	župe	kommune	župa	N;INDF;MASC;SG	N;NOM;FEM;PL
kommune	općine	kommune	općina	N;INDF;MASC;SG	N;NOM;FEM;PL
nord	sjeverno	nord	sjeverno	ADP	ADV
nord	sjeverna	nord	sjeveran	ADP	ADJ;NOM;DEF;FEM;SG
nord	sjever	nord	sjever	ADP	N;NOM;MASC;SG
nord	nord	nord	nord	ADP	PROPN;NOM;MASC;SG
ord	riječ	ord	riječ	N;INDF;NEUT;PL	N;NOM;FEM;SG
ord	rijec	ord	rijec	N;INDF;NEUT;PL	N;NOM;FEM;SG
ord	rijeci	ord	rijeka	N;INDF;NEUT;PL	N;DAT;FEM;SG
sør	jugu	sør	jug	ADP	N;DAT;MASC;SG
sør	južno	sør	južno	ADP	ADV
sør	jug	sør	jug	ADP	N;NOM;MASC;SG
mens	mens	mens	mens	CONJ	N;NOM;MASC;SG
rundt	oko	rundt	oko	ADP	ADV
rundt	okrugli	rundt	okrugao	ADP	ADJ;NOM;DEF;MASC;SG
rundt	okruglo	rundt	okrugao	ADP	ADJ;NOM;NEUT;SG
rundt	okrugla	rundt	okrugao	ADP	ADJ;NOM;DEF;FEM;SG
rundt	runda	rundt	rund	ADP	N;NOM;FEM;SG
sine	njihova	sin	njihov	PRO;PL	DET;NOM;FEM;SG;3
sine	njihovo	sin	njihov	PRO;PL	DET;NOM;NEUT;SG;3
sine	njihov	sin	njihov	PRO;PL	DET;NOM;MASC;SG;3
usa	usa	usa	us	N	PROPN;NOM;MASC;SG
her	evo	her	evo	ADV	
både	oboje	både	oboje	CONJ	N;NOM;MASC;SG
byen	town	by	town	N;DEF;MASC;SG	ADP
vant	osvojio	venje	osvojiti	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP;ACT
vant	pobijedio	venje	pobijediti	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP;ACT
vant	pobjedio	venje	pobjediti	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP;ACT
navn	imena	navn	ime	N;INDF;NEUT;SG	N;NOM;NEUT;PL
meter	metar	meter	metar	N;INDF;MASC;PL	N;NOM;MASC;SG
dag	dana	dag	dan	N;INDF;MASC;SG	N;GEN;MASC;PL
plass	space	plass	spaciti	N;INDF;MASC;SG	ADP
finnes	postojati	finnan	postojati		V;NFIN
nye	novo	ny	nov	ADJ;PL	ADJ;NOM;NEUT;SG
nye	nova	ny	nov	ADJ;PL	ADJ;NOM;DEF;FEM;SG
nye	novi	ny	nov	ADJ;PL	ADJ;NOM;DEF;MASC;SG
mest	najviše	mykje	mnogo	ADJ;INDF;RL	ADV;RL
mest	većina	mykje	većina	ADJ;INDF;RL	N;NOM;FEM;SG
mest	najvise	mykje	mnogo	ADJ;INDF;RL	ADJ;NOM;DEF;RL;FEM;SG
mest	većinom	mykje	većinom	ADJ;INDF;RL	ADV
mest	uglavnom	mykje	uglavnom	ADJ;INDF;RL	ADV
stor	velika	stor	velik	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;SG
stor	veliki	stor	velik	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
stor	velike	stor	velik	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;PL
stor	ogromna	stor	ogroman	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;SG
stor	golemo	stor	golem	ADJ;INDF;SG	ADJ;NOM;DEF;NEUT;SG
siste	posljednje	sist	posljednji	ADJ;DEF;SG	ADJ;NOM;DEF;FEM;PL
siste	zadnje	sist	zadnji	ADJ;DEF;SG	ADJ;NOM;DEF;FEM;PL
siste	najnoviji	sist	nov	ADJ;DEF;SG	ADJ;NOM;DEF;RL;MASC;SG
siste	najnovije	sist	nov	ADJ;DEF;SG	ADJ;NOM;DEF;RL;FEM;SG
juni	june	juni	juniti	N;INDF;MASC;SG	ADP
tok	tok	ta	tok	V;IND;PST;FIN	N;NOM;MASC;SG
ofte	cesto	ofte	cesto	ADJ	ADV
ofte	često	ofte	često	ADJ	ADV
ofte	cesto	ofte	cesto	ADJ	ADV
ofte	često	ofte	često	ADJ	ADV
mål	golova	mål	gol	N;INDF;NEUT;SG	N;GEN;MASC;PL
mål	ciljeve	mål	cilj	N;INDF;NEUT;SG	N;ACC;MASC;PL
mål	ciljevi	mål	cilj	N;INDF;NEUT;SG	N;NOM;MASC;PL
går	hoda	gå	hodati	V;IND;PRS;FIN	N;NOM;MASC;SG
går	hodajući	gå	hodavati	V;IND;PRS;FIN	ADV;PRS;V.CVB
går	hodanje	gå	hodanje	V;IND;PRS;FIN	N;NOM;NEUT;SG
går	šetnje	gå	šetnja	V;IND;PRS;FIN	N;NOM;FEM;PL
går	hoda	gå	hodati	V;IND;PRS;FIN	N;NOM;MASC;SG
tilbake	natrag	tilbake	natrag	ADP	ADV
dem	ih	dem	oni		PRO;ACC;PL;3
dem	im	dem	oni		PRO;DAT;PL;3
dem	njih	dem	oni		PRO;ACC;PL;3
totalt	totalno	total	totalno	ADJ;INDF;NEUT;SG	ADV
totalt	potpuno	total	potpuno	ADJ;INDF;NEUT;SG	ADV
totalt	ukupno	total	ukupno	ADJ;INDF;NEUT;SG	ADV
totalt	sveukupno	total	sveukupno	ADJ;INDF;NEUT;SG	ADV
totalt	ukupno	total	ukupno	ADJ;INDF;NEUT;SG	ADV
ham	mu	ham	on	N;INDF;MASC;SG	PRO;DAT;MASC;SG;3
ham	njega	ham	on	N;INDF;MASC;SG	PRO;ACC;MASC;SG;3
ham	njemu	ham	on	N;INDF;MASC;SG	PRO;DAT;MASC;SG;3
ham	ga	ham	on	N;INDF;MASC;SG	PRO;ACC;MASC;SG;3
isbn	isbn	isbn	isbn	ADV	ADP
uten	bez	uten	bez	N;INDF;NEUT;SG	ADP;GEN
diff	diff	diff	diff	N	
new	novo	new	nov	N;INDF;SG	ADJ;NOM;NEUT;SG
new	nova	new	nov	N;INDF;SG	ADJ;NOM;DEF;FEM;SG
new	novi	new	nov	N;INDF;SG	ADJ;NOM;DEF;MASC;SG
laget	napravljen	lag	napraviti	N;DEF;NEUT;SG	ADJ;NOM;MASC;SG;V.PTCP;PASS
laget	napravio	lag	napraviti	N;DEF;NEUT;SG	V;MASC;SG;PST;V.PTCP;ACT
laget	napravljeno	lag	napraviti	N;DEF;NEUT;SG	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
laget	tim	lag	taj	N;DEF;NEUT;SG	DET;INS;NEUT;SG
mye	puno	mye	puno	N;INDF;MASC;SG	ADV
mye	mnogo	mye	mnogo	N;INDF;MASC;SG	ADV
utgitt	objavljeni	utgitt	objaviti	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;DEF;MASC;PL;V.PTCP
engelsk	englezi	engelsk	engleg	N;INDF;MASC;SG	N;NOM;MASC;PL
engelsk	engleski	engelsk	engleski	N;INDF;MASC;SG	ADV
engelsk	english	engelsk	english	N;INDF;MASC;SG	ADP
ingen	nijedan	ingen	nijedan	PRO;PL;3;NEG	ADJ;NOM;INDF;MASC;SG
ingen	nijedna	ingen	nijedan	PRO;PL;3;NEG	ADJ;NOM;DEF;FEM;SG
ingen	nitko	ingen	nitko	PRO;PL;3;NEG	PRO;NOM;MASC;3
brukt	korištene	bruke	koristiti	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;DEF;FEM;PL;V.PTCP
brukt	korišteno	bruke	koristiti	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
først	prvi	først	prvi	ADV	ADJ;NOM;MASC;SG
land	land	land	land	N;INDF;NEUT;SG	ADP
land	države	land	država	N;INDF;NEUT;SG	N;NOM;FEM;PL
land	zemljama	land	zemlja	N;INDF;NEUT;SG	N;INS;FEM;PL
land	zemlje	land	zemlja	N;INDF;NEUT;SG	N;NOM;FEM;PL
sommer	ljeta	sommer	ljeto	N;INDF;MASC;SG	N;NOM;NEUT;PL
side	stranice	side	stranica	N;INDF;FEM;SG	N;NOM;FEM;PL
helt	totalno	helt	totalno	N;INDF;MASC;SG	ADV
helt	potpuno	helt	potpuno	N;INDF;MASC;SG	ADV
helt	kompletno	helt	kompletan	N;INDF;MASC;SG	ADV
helt	potpuno	helt	potpuno	N;INDF;MASC;SG	ADV
vest	west	vest	west	ADP	PROPN;NOM;MASC;SG
vest	zapad	vest	zapad	ADP	N;NOM;MASC;SG
vest	zapadno	vest	zapadno	ADP	ADV
vest	prsluk	vest	prsluk	ADP	N;NOM;MASC;SG
vest	zapadna	vest	zapadan	ADP	ADJ;NOM;DEF;FEM;SG
vest	zapadni	vest	zapadan	ADP	ADJ;NOM;DEF;MASC;SG
beste	najbolje	god	dobro	ADJ;DEF;RL	ADV;RL
amerikansk	američki	amerikansk	američki	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
amerikansk	american	amerikansk	american	ADJ;INDF;SG	ADP
amerikansk	amerikanac	amerikansk	amerikanac	ADJ;INDF;SG	N;NOM;MASC;SG
amerikansk	američka	amerikansk	američki	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;SG
deres	njihova	deres	njihov	N;INDF;MASC;SG	DET;NOM;FEM;SG;3
deres	njihovo	deres	njihov	N;INDF;MASC;SG	DET;NOM;NEUT;SG;3
deres	njihov	deres	njihov	N;INDF;MASC;SG	DET;NOM;MASC;SG;3
deres	njihova	deres	njihov	N;INDF;MASC;SG	DET;NOM;FEM;SG;3
deres	njihov	deres	njihov	N;INDF;MASC;SG	DET;NOM;MASC;SG;3
kommer	dolazim	kommer	dolaziti		V;IND;SG;1;PRS;FIN
kommer	dolazi	kommer	dolaziti		V;IND;SG;3;PRS;FIN
mindre	manje	liten	malo	ADJ;CMPR	ADV;CMPR
mindre	manje	liten	malo	ADJ;CMPR	ADV;CMPR
rekke	serije	rekke	serija	N;INDF;FEM;SG	N;NOM;FEM;PL
hva	što	hva	što	N;INDF;NEUT;SG	PRO;NOM;NEUT
hva	sta	hva	sta	N;INDF;NEUT;SG	
hva	šta	hva	šta	N;INDF;NEUT;SG	PRO;NOM;NEUT
landet	sletio	land	sletjeti	N;DEF;NEUT;SG	V;MASC;SG;PST;V.PTCP;ACT
arter	vrsta	arter	vrsta	N;INDF;FEM;PL	N;NOM;FEM;SG
ville	ville	vilje	villa	V;IND;PST;FIN	N;NOM;FEM;SG
ville	bi	vilje	biti	V;IND;PST;FIN	V;COND;SG;3;PST;FIN
ned	dolje	ned	dolje	ADP	ADV
ned	ned	ned	ned	ADP	
ned	nede	ned	nedi	ADP	N;NOM;FEM;SG
ned	neda	ned	nedati	ADP	INTJ
john	john	john	john	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
lag	tim	lag	taj	N;INDF;NEUT;SG	DET;INS;NEUT;SG
årene	vesla	år	vesli	N;DEF;FEM;PL	N;NOM;NEUT;SG
tatt	uzeto	ta	uzeto	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;DEF;NEUT;SG;V.PTCP
tatt	uhvaćena	ta	uhvatiti	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP
tatt	uhvaćeni	ta	uhvatiti	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;DEF;MASC;PL;V.PTCP
tatt	razbila	ta	razbiti	ADJ;INDF;NEUT;SG;V.PTCP	V;FEM;SG;PST;V.PTCP;ACT
brukes	korištene	brukes	koristiti		ADJ;NOM;DEF;FEM;PL;V.PTCP
brukes	korišteno	brukes	koristiti		ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
brukes	korišten	brukes	korišten		ADJ;NOM;MASC;SG;V.PTCP;PASS
bruk	koristi	bruk	koristiti	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
bruk	iskoristi	bruk	iskoristiti	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
bruk	upotrijebi	bruk	upotrijebiti	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
kun	samo	kun	samo	N;INDF;NEUT;SG	ADV
kun	jedino	kun	jedino	N;INDF;NEUT;SG	ADV
øst	istočna	øs	istočan	N;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
øst	istočno	øs	istočno	N;INDF;NEUT;SG	ADV
øst	istočni	øs	istočni	N;INDF;NEUT;SG	ADV
øst	istočna	øs	istočan	N;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
øst	istočno	øs	istočno	N;INDF;NEUT;SG	ADV
døde	mrtav	død	mrtav	ADJ;PL	ADJ;NOM;INDF;MASC;SG
sverige	švedska	sverige	švedski	N;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
sverige	švedskoj	sverige	švedski	N;INDF;NEUT;SG	ADJ;DAT;DEF;FEM;SG
sverige	švedski	sverige	švedski	N;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
sverige	švedske	sverige	švedski	N;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;PL
county	županije	county	županija	N;INDF;SG	N;NOM;FEM;PL
tyskland	njemačka	tyskland	njemački	PROPN	ADJ;NOM;DEF;FEM;SG
tyskland	njemačkoj	tyskland	njemački	PROPN	ADJ;DAT;DEF;FEM;SG
tysk	njemački	tysk	njemački	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
tysk	njemacki	tysk	njemacki	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
større	veci	stor	veka	ADJ;CMPR	ADJ;NOM;INDF;MASC;SG
gamle	stara	gammal	star	ADJ;PL	ADJ;NOM;DEF;FEM;SG
gamle	staro	gammal	star	ADJ;PL	ADJ;NOM;NEUT;SG
gamle	stari	gammal	star	ADJ;PL	ADJ;NOM;DEF;MASC;SG
frem	proslijedi	frem	proslijediti	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
frem	naprijed	frem	naprijed	N;INDF;MASC;SG	ADV
gjorde	jeste	gjere	biti	V;IND;PST;FIN	
skrevet	napisano	skrev	napisati	N;DEF;NEUT;SG	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
skrevet	zapisano	skrev	zapisati	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;V.PTCP;PASS
skrevet	napisao	skrev	napisati	N;DEF;NEUT;SG	V;MASC;SG;PST;V.PTCP;ACT
skrevet	napisana	skrev	napisati	N;DEF;NEUT;SG	ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
skrevet	pisani	skrev	pisati	N;DEF;NEUT;SG	ADJ;NOM;DEF;MASC;PL
skrevet	pisano	skrev	pisano	N;DEF;NEUT;SG	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
imidlertid	međutim	imidlertid	međutim	N;INDF;FEM;SG	ADV
familien	obitelji	familie	obitelj	N;DEF;MASC;SG	N;NOM;FEM;PL
eksempel	uzorci	eksempel	uzorak	N;INDF;NEUT;SG	N;NOM;MASC;PL
amerikanske	američki	amerikansk	američki	ADJ;PL	ADJ;NOM;DEF;MASC;SG
amerikanske	american	amerikansk	american	ADJ;PL	ADP
amerikanske	amerikanac	amerikansk	amerikanac	ADJ;PL	N;NOM;MASC;SG
amerikanske	američka	amerikansk	američki	ADJ;PL	ADJ;NOM;DEF;FEM;SG
kjente	znan	kjent	znati	ADJ;PL	ADJ;NOM;INDF;MASC;SG
kjente	poznat	kjent	poznat	ADJ;PL	ADJ;NOM;MASC;SG
kjente	poznata	kjent	poznat	ADJ;PL	ADJ;NOM;DEF;FEM;SG
kjente	poznato	kjent	poznat	ADJ;PL	ADJ;NOM;DEF;NEUT;SG
kjente	znao	kjent	znati	ADJ;PL	V;MASC;SG;PST;V.PTCP;ACT
kjente	osjetio	kjent	osjetiti	ADJ;PL	V;MASC;SG;PST;V.PTCP;ACT
kjente	osjetila	kjent	osjetiti	ADJ;PL	V;FEM;SG;PST;V.PTCP;ACT
får	dobivanje	få	dobivanje	V;IND;PRS;FIN	N;NOM;NEUT;SG
får	uzimajući	få	uzimati	V;IND;PRS;FIN	ADV;RL
annen	drugi	annen	drugi	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
annen	drugo	annen	drugi	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
annen	druga	annen	drugi	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
videre	dalje	videre	daleko		ADV;CMPR
hver	svaki	hver	svaki		DET;NOM;MASC;SG
hver	svako	hver	svaki		DET;NOM;NEUT;SG
hver	svaka	hver	svaki		DET;NOM;FEM;SG
hver	svaki	hver	svaki		DET;NOM;MASC;SG
hver	svaka	hver	svaki		DET;NOM;FEM;SG
ganger	puta	gange	put	N;INDF;MASC;PL	ADV
svært	vrlo	svær	vrlo	ADJ;INDF;NEUT;SG	ADV
svært	iznimno	svær	iznimno	ADJ;INDF;NEUT;SG	ADV
svært	izuzetno	svær	izuzetno	ADJ;INDF;NEUT;SG	ADV
hennes	njeno	hennes	njen	N;INDF;MASC;SG	DET;NOM;NEUT;SG;3
hennes	njezin	hennes	njezin	N;INDF;MASC;SG	DET;NOM;MASC;SG;3
hennes	njen	hennes	njen	N;INDF;MASC;SG	DET;NOM;MASC;SG;3
hennes	njena	hennes	njen	N;INDF;MASC;SG	DET;NOM;FEM;SG;3
hennes	joj	hennes	on	N;INDF;MASC;SG	PRO;DAT;FEM;SG;3
hennes	nju	hennes	on	N;INDF;MASC;SG	PRO;ACC;FEM;SG;3
egen	vlastiti	eigen	vlastit	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
egen	posjedovati	eigen	posjedovati	N;INDF;MASC;SG	V;NFIN
innen	unutar	innen	unutar		ADP;GEN
litt	neznatno	litt	neznatno	ADJ;INDF;NEUT;SG	ADV
litt	donekle	litt	donekle	ADJ;INDF;NEUT;SG	ADV
ser	ser	sjå	ser	V;IND;PRS;FIN	PROPN;NOM;MASC;SG
ser	gledajući	sjå	gledati	V;IND;PRS;FIN	ADV;RL
ser	gledanje	sjå	gledanje	V;IND;PRS;FIN	N;NOM;NEUT;SG
jan	jan	jan	jan	N;MASC	PROPN;NOM;MASC;SG
ulike	drukčije	ulik	drukčije	ADJ;PL	ADV
ulike	drugačiji	ulik	drugačiji	ADJ;PL	ADJ;NOM;DEF;MASC;SG
ulike	drugačija	ulik	drugačiji	ADJ;PL	ADJ;NOM;DEF;FEM;SG
ulike	drugačije	ulik	drugačije	ADJ;PL	ADV
frankrike	francuska	frankrike	francuski	N;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
frankrike	france	frankrike	franca	N;INDF;NEUT;SG	ADP
like	jednako	lik	jednako	ADJ;SG	ADV
like	jednaki	lik	jednak	ADJ;SG	ADJ;NOM;DEF;MASC;PL
like	jednako	lik	jednako	ADJ;SG	ADV
like	kao	lik	kao	ADJ;SG	CONJ
satt	postavi	sitje	postav	ADJ;INDF;NEUT;SG;V.PTCP	V;IND;SG;3;PRS;FIN
satt	set	sitje	set	ADJ;INDF;NEUT;SG;V.PTCP	N;NOM;MASC;SG
satt	komplet	sitje	komplet	ADJ;INDF;NEUT;SG;V.PTCP	N;NOM;MASC;SG
satt	sjedio	sitje	sjediti	ADJ;INDF;NEUT;SG;V.PTCP	V;MASC;SG;PST;V.PTCP;ACT
