من	מי	مِن	מי	ADP	ADV
مركز	המרכז	مَركَز	המרכז	N;NOM;INDF;SG	PROPN
ملف	קובץ	مِلَفّ	קובץ	N;NOM;INDF;SG	PROPN
ملف	הקובץ	مِلَفّ	הקובץ	N;NOM;INDF;SG	PROPN
لكن	אך	لكن	אך		CONJ
لكن	אבל	لكن	אבל		CONJ
جميع	כולם	جَمِيع	None	N;NOM;INDF;SG	N;MASC;PL
جميع	כל	جَمِيع	כול	N;NOM;INDF;SG	DET;PSSD
العربي	ערבים	عَرَبِيّ	ערבי	ADJ;NOM;DEF;MASC;SG	N;MASC;PL
العربي	ערבי	عَرَبِيّ	ערבי	ADJ;NOM;DEF;MASC;SG	N;MASC;SG
مجلس	המועצה	مَجلِس	המועצה	N;NOM;INDF;SG	PROPN
الثانية	שניה	ثَانِي	שניה	ADJ;NOM;DEF;FEM;SG	NUM;FEM;SG
الثانية	שנייה	ثَانِي	שנייה	ADJ;NOM;DEF;FEM;SG	NUM;FEM;SG
الثانية	שני	ثَانِي	שני	ADJ;NOM;DEF;FEM;SG	NUM;MASC;PL
الثانية	שנית	ثَانِي	שנית	ADJ;NOM;DEF;FEM;SG	
السكان	מתמחים	سَاكِن	התמחה	N;NOM;DEF;PL	V;MASC;PL;V.PTCP
السكان	אוכלוסיית	سَاكِن	אוכלוסייה	N;NOM;DEF;PL	N;PSSD;FEM;SG
السكان	אוכלוסייה	سَاكِن	אוכלוסייה	N;NOM;DEF;PL	N;FEM;SG
السكان	אוכלוסיה	سَاكِن	אוכלוסיה	N;NOM;DEF;PL	N;FEM;SG
الدولة	המדינה	دَولَة	המדין	N;NOM;DEF;SG	V;FEM;SG;3;PST;ACT
قال	סעיד	قَال	סעיד	V;PFV;MASC;SG;3;ACT	PROPN
قال	אמרה	قَال	אמרה	V;PFV;MASC;SG;3;ACT	N;FEM;SG
الملك	המלך	مَلِك	המלך	N;NOM;DEF;SG	
الملك	קינג	مَلِك	קינג	N;NOM;DEF;SG	PROPN
الاسم	השם	اِسم	השם	N;NOM;DEF;SG	
الاسم	שם	اِسم	שם	N;NOM;DEF;SG	ADV
ولد	בוי	وَلَد	בוי	N;NOM;INDF;SG	PROPN
ولد	נולדת	وَلَد	נולדת	N;NOM;INDF;SG	V;FEM;SG;V.PTCP;MID
ولد	נולדתי	وَلَد	נולדתי	N;NOM;INDF;SG	V;SG;1;PST;MID
ولد	נולדו	وَلَد	נולד	N;NOM;INDF;SG	V;PL;3;PST;MID
ولد	נולד	وَلَد	נולד	N;NOM;INDF;SG	V;MASC;SG;3;PST;MID
ولد	נולדה	وَلَد	נולד	N;NOM;INDF;SG	V;FEM;SG;3;PST;MID
البحر	הים	بَحر	הים	N;NOM;DEF;SG	
شركة	תקיף	شَرِكَة	תקיף	N;NOM;INDF;SG	
صورة	התמונה	صُورَة	התמונה	N;NOM;INDF;SG	V;FEM;SG;3;PST
صورة	התמונה	صُورَة	התמונה	N;NOM;INDF;SG	V;FEM;SG;3;PST
بطولة	הטורניר	بُطُولَة	הטורניר	N;NOM;INDF;SG	PROPN
بطولة	בכיכובו	بُطُولَة	בכיכובו	N;NOM;INDF;SG	
بطولة	מככב	بُطُولَة	מככב	N;NOM;INDF;SG	V;MASC;SG;V.PTCP;ACT
الولادة	לידת	وِلَادَة	לידה	N;NOM;DEF;SG	PROPN
المملكة	הממלכה	مَملَكَة	הממלך	N;NOM;DEF;SG	PROPN
بني	בני	بني	בני		PROPN
بني	בן	بني	בן		PROPN
الدوري	הליגה	دَورِيّ	הליגה	N;NOM;DEF;SG	
خلفية	הרקע	خَلفِيَّة	הרקע	N;NOM;INDF;SG	
فقط	פשוט	فَقَط	פשוט	ADV	
جائزة	פרס	جَائِزَة	פרס	N;NOM;INDF;SG	PROPN
جائزة	פרס	جَائِزَة	פרס	N;NOM;INDF;SG	PROPN
نظام	המערכת	نِظَام	המערך	N;NOM;INDF;SG	
مرة	פעם	مَرَّة	פעם	N;NOM;INDF;SG	ADV
فرنسا	צרפת	فَرَنسَا	צרפת		PROPN
قسم	מקטע	قِسم	מקטע	N;NOM;INDF;SG	
عقد	שרשרת	عَقَد	שרשרת	V;PFV;MASC;SG;3;ACT	N;FEM;SG
عقد	חוזה	عَقَد	חוזה	V;PFV;MASC;SG;3;ACT	N;MASC;SG
والذي	אשר	والذي	אשר	N;NOM;DEF;SG	CONJ
والذي	איזה	والذي	איזה	N;NOM;DEF;SG	
مارس	מרץ	مَارِس	מרץ	N;GEN;INDF;SG	PROPN
مارس	במרץ	مَارِس	במרץ	N;GEN;INDF;SG	PROPN
مارس	מאדים	مَارِس	מאדים	N;GEN;INDF;SG	PROPN
مارس	מארס	مَارِس	מרס	N;GEN;INDF;SG	PROPN
دي	די	دِي	די		ADV
رقم	המספר	رَقم	המספר	N;NOM;INDF;SG	PROPN
اليوم	day	يَوم	day	N;ACC;DEF;SG	
اليوم	היום	يَوم	היום	N;ACC;DEF;SG	ADV
يناير	יאן	يَنَايِر	יאן	N;GEN;INDF;SG	PROPN
يناير	ינואר	يَنَايِر	ינואר	N;GEN;INDF;SG	PROPN
يناير	בינואר	يَنَايِر	בינואר	N;GEN;INDF;SG	
عمل	איוב	عَمَل	איוב	N;NOM;INDF;SG	
عمل	עסקים	عَمَل	עסק	N;NOM;INDF;SG	N;MASC;PL
جنوب	דרומי	جَنُوب	דרומי	N;NOM;INDF;SG	PROPN
جنوب	דרומית	جَنُوب	דרומי	N;NOM;INDF;SG	ADV
جنوب	הדרומי	جَنُوب	הדרום	N;NOM;INDF;SG	PROPN
جنوب	דרומה	جَنُوب	דרומה	N;NOM;INDF;SG	
جنوب	הדרום	جَنُوب	הדרום	N;NOM;INDF;SG	
العالمية	אוניברסלי	عَالَمِيّ	אוניברסלי	ADJ;NOM;DEF;FEM;SG	PROPN
العالمية	יוניברסל	عَالَمِيّ	יוניברסל	ADJ;NOM;DEF;FEM;SG	PROPN
العالمية	גלובל	عَالَمِيّ	גלובל	ADJ;NOM;DEF;FEM;SG	PROPN
العالمية	גלובלי	عَالَمِيّ	גלובלי	ADJ;NOM;DEF;FEM;SG	PROPN
كبير	ביג	كَبِير	ביג	ADJ;NOM;INDF;MASC;SG	
كبير	גדולים	كَبِير	גדול	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;PL
كبير	כביר	كَبِير	כביר	ADJ;NOM;INDF;MASC;SG	PROPN
الوقت	הזמן	وَقت	הזמן	N;NOM;DEF;SG	
الوقت	טיים	وَقت	טיים	N;NOM;DEF;SG	PROPN
عملية	התהליך	عَمَلِيَّة	התהליך	N;NOM;INDF;SG	V;MASC;SG;3;PST;ACT
عملية	המבצע	عَمَلِيَّة	המבצע	N;NOM;INDF;SG	PROPN
مايو	מיי	مَايُو	מיי	N;GEN;INDF;SG	
مايو	מאי	مَايُو	מאי	N;GEN;INDF;SG	PROPN
فبراير	בפברואר	فِبرَايِر	בפברואר	N;GEN;INDF;SG	ADV
فبراير	פברואר	فِبرَايِر	פברואר	N;GEN;INDF;SG	PROPN
فبراير	פברואר	فِبرَايِر	פברואר	N;GEN;INDF;SG	PROPN
يونيو	יוני	يُونِيُو	יוני	N;GEN;INDF;SG	PROPN
يوليو	ביולי	يُولِيُو	ביולי	N;GEN;INDF;SG	PROPN
يوليو	יולי	يُولِيُو	יולי	N;GEN;INDF;SG	PROPN
واحد	אחת	وَاحِد	אחת	ADJ;NOM;INDF;MASC;SG	NUM;FEM;SG
واحد	אחד	وَاحِد	אחד	ADJ;NOM;INDF;MASC;SG	NUM;MASC;SG
شمال	צפונה	شَمَال	צפון	N;NOM;INDF;SG	ADV
شمال	הצפון	شَمَال	הצפון	N;NOM;INDF;SG	PROPN
الاتحاد	האיחוד	اِتِّحَاد	האיחוד	N;NOM;DEF;SG	PROPN
الاتحاد	הפדרציה	اِتِّحَاد	הפדרציה	N;NOM;DEF;SG	PROPN
الاتحاد	הקונפדרציה	اِتِّحَاد	הקונפדרציה	N;NOM;DEF;SG	PROPN
العراق	עירק	عِرَاق	עירק	N;NOM;DEF;SG	
العراق	עיראק	عِرَاق	עיראק	N;NOM;DEF;SG	PROPN
دون	דון	دُونَ	דון	ADP;ACC	PROPN
سبتمبر	ספטמבר	سِبتَمبِر	ספטמבר	N;GEN;INDF;SG	PROPN
عبر	דרך	عَبرَ	דרך	ADP;ACC	
عبر	ויה	عَبرَ	ויה	ADP;ACC	PROPN
عبر	דרך	عَبرَ	דרך	ADP;ACC	
استخدام	משתמשת	اِستِخدَام	השתמש	N;NOM;INDF;SG	V;FEM;SG;V.PTCP
استخدام	משתמש	اِستِخدَام	השתמש	N;NOM;INDF;SG	V;MASC;SG;V.PTCP
استخدام	להשתמש	اِستِخدَام	השתמש	N;NOM;INDF;SG	V;NFIN
استخدام	השתמש	اِستِخدَام	השתמש	N;NOM;INDF;SG	V;MASC;SG;3;PST
العامة	ציבורית	عَامَّة	ציבורי	N;NOM;DEF;SG	ADV
