datu	datu	datu	dat	PROPN	
berenang	pływania	berrenang	pływać	PROPN;SG;ACT	N;NOM;NEUT;SG
berenang	pływanie	berrenang	pływać	PROPN;SG;ACT	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
brand	brand	brand	brand	PROPN	
brand	marka	brand	marka	PROPN	
brand	markę	brand	marka	PROPN	N;ACC;FEM;SG
brand	marki	brand	marka	PROPN	N;ACC;FEM;SG
wood	drewno	wood	drewno	PROPN	N;NOM;NEUT;SG
wood	wood	wood	wood	PROPN	
wood	drewna	wood	drewna	PROPN	
ria	ria	ria	ria	PROPN;SG	
revolution	rewolucja	revolution	rewolucja	PROPN	N;NOM;FEM;SG
revolution	rewolucji	revolution	rewolucja	PROPN	N;GEN;FEM;SG
federation	federacji	federation	federacja	PROPN	N;GEN;FEM;SG
federation	federacja	federation	federacja	PROPN	N;NOM;FEM;SG
eddie	eddie	eddie	edda	PROPN	PROPN;NOM;MASC;SG
eddie	eddiego	eddie	eddić	PROPN	N;ACC;MASC;SG
hangul	hangul	hangul	hangul	PROPN	
yani	yani	yani	Mania	PROPN	
dicabut	zniesione	dicabut	znieść	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
dicabut	cofnięte	dicabut	cofnić	V;SG;PASS	ADJ;NOM;NEUT;SG
dicabut	unplugged	dicabut	unplugged	V;SG;PASS	
pengujian	testy	penujian	test	N;SG	N;NOM;MASC;PL
pengujian	próby	penujian	próba	N;SG	
pengujian	badania	penujian	badanie	N;SG	N;NOM;NEUT;PL
pengujian	testy	penujian	test	N;SG	N;NOM;MASC;PL
pengujian	egzaminy	penujian	egzamin	N;SG	N;NOM;MASC;PL
pengujian	testy	penujian	test	N;SG	N;NOM;MASC;PL
pengujian	badania	penujian	badanie	N;SG	N;NOM;NEUT;PL
hilangnya	zanik	hilang	zanik	N;SG	V;IPFV;IND;SG;PRS;FIN;ACT
leeds	leeds	leeds	leeds	PROPN	PROPN;NOM;MASC;SG
sertifikat	certyfikaty	sertifikat	certyfikat	N;SG	N;NOM;MASC;PL
sertifikat	certyfikaty	sertifikat	certyfikat	N;SG	N;NOM;MASC;PL
athletic	athletic	athletic	athletic	N	
rizal	rizal	rizal	rizal	PROPN	
paralel	równolegle	paralel	równolegle	N	ADV
paralel	równoległy	paralel	równolec	N	
paralel	równoległego	paralel	równoległy	N	ADJ;ACC;MASC;SG
paralel	równoległych	paralel	równoległy	N	ADJ;GEN;MASC;PL
paralel	równoległ	paralel	równolec	N	V;IPFV;MASC;IND;SG;PST;FIN;ACT
kuburan	groby	kuburan	grób	N;SG	N;NOM;MASC;PL
kuburan	grobów	kuburan	grób	N;SG	N;GEN;MASC;PL
kuburan	graves	kuburan	graves	N;SG	
kuburan	cmentarze	kuburan	cmentarz	N;SG	N;NOM;MASC;PL
benih	nasion	benih	nasiono	N;SG	
benih	ziarno	benih	ziarno	N;SG	
benih	nasiona	benih	nasiono	N;SG	N;NOM;NEUT;PL
benih	ziarna	benih	ziarny	N;SG	
benih	nasion	benih	nasiono	N;SG	
benih	nasiona	benih	nasiono	N;SG	N;NOM;NEUT;PL
lockheed	lockheed	lockheed	lockheed	N	
birmingham	birmingham	birmingham	birmingha	PROPN	N;NOM;MASC;SG
penolakan	odrzuca	pentolakan	odrzucać	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
penolakan	odrzuci	pentolakan	odrzucić	N;SG	V;PFV;IND;SG;3;FUT;FIN;ACT
telugu	telugu	telugu	telug	PROPN	N;ACC;MASC;SG
interior	wnętrz	interior	wnętrz	N;SG	
interior	wewnętrzne	interior	wewnętrzny	N;SG	ADJ;NOM;NEUT;SG
interior	wnętrz	interior	wnętrz	N;SG	
enterprise	enterprise	enterprise	enterprisa	N	
berpengalaman	doświadczony	berpengalaman	doświadczyć	V;SG;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
berpengalaman	doświadczonych	berpengalaman	doświadczyć	V;SG;ACT	ADJ;PFV;ACC;MASC;PL;POS;V.PTCP;PASS
berpengalaman	niedoświadczony	berpengalaman	niedoświadczyć	V;SG;ACT	ADJ;NOM;MASC;SG
solomon	salomon	solomon	salomon	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
solomon	solomon	solomon	solomon	PROPN	N;NOM;MASC;SG
solomon	salomona	solomon	salomon	PROPN	
jefferson	jefferson	jefferson	jefferson	PROPN	PROPN;NOM;MASC;SG
jefferson	jeffersona	jefferson	jefferson	PROPN	
integrasi	integracje	integrasi	integracja	N;SG	N;NOM;FEM;PL
ibm	ibm	ibm	iść	PROPN	
zeus	zeusa	zeus	zeusa	PROPN	
zeus	zeus	zeus	zeus	PROPN	PROPN;NOM;MASC;SG
dinamis	dynamika	dinamis	dynamika	ADJ;SG	N;NOM;FEM;SG
dinamis	dynamikę	dinamis	dynamika	ADJ;SG	N;ACC;FEM;SG
gelora	gelora	gelora	gelor	N;SG	
zhao	zhao	zhao	zhao	PROPN	PROPN;NOM;MASC;SG
azhar	azhar	azhar	azhar	PROPN	
cacing	robaki	cacing	robak	N;SG	N;NOM;MASC;PL
highland	highland	highland	highland	N	
pembuluh	żyły	pembuluh	żyły	N;SG	V;PFV;MASC;IND;PL;PST;FIN;ACT
pembuluh	żyłach	pembuluh	żyły	N;SG	N;GEN;MASC;PL
orangtua	rodzicami	orangtua	rodzic	N;SG	N;INS;MASC;PL
orangtua	rodziców	orangtua	rodzic	N;SG	N;ACC;MASC;PL
orangtua	rodzice	orangtua	rodzic	N;SG	N;NOM;MASC;PL
orangtua	rodziców	orangtua	rodzic	N;SG	N;ACC;MASC;PL
orangtua	rodzice	orangtua	rodzic	N;SG	N;NOM;MASC;PL
omar	omar	omar	omar	PROPN	PROPN;NOM;MASC;SG
omar	omara	omar	omar	PROPN	
gandum	zboża	gandum	zboże	N;SG	
gandum	ziarna	gandum	ziarny	N;SG	
gandum	ziarno	gandum	ziarno	N;SG	
account	konto	account	konto	PROPN	N;NOM;NEUT;SG
account	rachunek	account	rachunek	PROPN	N;ACC;MASC;SG
account	konta	account	konta	PROPN	N;GEN;MASC;SG
digit	cyfr	digit	cyfra	N;SG	
digit	cyfry	digit	cyfra	N;SG	
dog	psie	dog	pić	PROPN	N;NOM;MASC;SG
dog	psy	dog	pies	PROPN	N;NOM;MASC;PL
dog	pies	dog	pies	PROPN	N;NOM;MASC;SG
dog	piesek	dog	piesek	PROPN	N;NOM;MASC;SG
krim	kremy	krim	krema	N;SG	N;NOM;MASC;PL
krim	śmietana	krim	śmietana	N;SG	
sebastian	sebastian	sebastian	sebastianin	PROPN	N;NOM;MASC;SG
sebastian	sebastiana	sebastian	sebastiany	PROPN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
ottoman	osmańskiego	ottoman	osmański	PROPN	ADJ;ACC;MASC;SG
cerah	jasno	cerah	jasno	ADJ;SG	ADV
herbert	herbert	herbert	herbert	PROPN	PROPN;NOM;MASC;SG
konstantinus	constantine	konstantinus	constantiny	PROPN	
karim	karim	karim	karia	PROPN	PROPN;NOM;MASC;SG
iron	żelazna	iron	żelazny	PROPN	ADJ;NOM;FEM;SG
iron	żelazo	iron	żelazo	PROPN	N;NOM;NEUT;SG
iron	żelaza	iron	żelazo	PROPN	
iron	iron	iron	iron	PROPN	
iron	żelazko	iron	żelazko	PROPN	N;NOM;NEUT;SG
each	każda	each	każdy	PROPN	DET;NOM;FEM;SG
each	każdy	each	każdy	PROPN	DET;NOM;MASC;SG
norte	norte	norte	norty	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
eagle	orła	eagle	orzeł	PROPN	
eagle	eagle	eagle	eagle	PROPN	
eagle	orzeł	eagle	orzeł	PROPN	N;NOM;MASC;SG
indiana	indiana	indiana	indiany	PROPN	
abi	abi	abi	abi	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
xiii	xiii	xiii	xiii	PROPN	
rap	rap	rap	rapa	PROPN	
transformasi	transformacje	transformasi	transformacja	N;SG	N;NOM;FEM;PL
ade	ade	ade	ade	PROPN	
graham	grahama	graham	grahać	PROPN	N;ACC;MASC;SG
graham	graham	graham	grahać	PROPN	
siam	syjamskie	siam	syjamski	PROPN	ADJ;NOM;NEUT;SG
siam	siam	siam	siam	PROPN	
entry	wjazd	entry	wjazd	PROPN	N;NOM;MASC;SG
entry	wejście	entry	wejście	PROPN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
entry	wpis	entry	wpis	PROPN	N;NOM;MASC;SG
impor	przywożone	impor	przywozić	N;SG;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
impor	przywiezione	impor	przywieźć	N;SG;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
impor	importowanych	impor	importować	N;SG;ACT	ADJ;IPFV;GEN;MASC;PL;POS;V.PTCP;PASS
impor	importowane	impor	importować	N;SG;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
erik	eryk	erik	eryk	PROPN	PROPN;NOM;MASC;SG
erik	erik	erik	erik	PROPN	PROPN;NOM;MASC;SG
ferry	prom	ferry	prom	PROPN	
ferry	promie	ferry	promieć	PROPN	
ferry	promy	ferry	próm	PROPN	N;NOM;MASC;PL
jump	skok	jump	skok	PROPN	N;NOM;MASC;SG
kesan	wrażenia	kesan	wrażenie	N;SG	N;NOM;NEUT;PL
seng	seng	seng	seng	PROPN	
seng	cynku	seng	cynek	PROPN	N;GEN;MASC;SG
seng	cynk	seng	cynk	PROPN	N;NOM;MASC;SG
korintus	koryntian	korintus	koryntian	PROPN	N;ACC;MASC;SG
korintus	koryntu	korintus	korynt	PROPN	N;ACC;MASC;SG
acak	losowo	acak	losowo	ADJ;SG	ADV
acak	shuffle	acak	shuffla	ADJ;SG	
terkejut	szoku	terkejut	szok	V;SG;PASS	N;NOM;MASC;SG
terkejut	szok	terkejut	szok	V;SG;PASS	
terkejut	wstrząs	terkejut	wstrząs	V;SG;PASS	N;NOM;MASC;SG
terkejut	zaskoczeni	terkejut	zaskoczyć	V;SG;PASS	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
terkejut	zaskoczony	terkejut	zaskoczyć	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
terkejut	zdziwiony	terkejut	zdziwiony	V;SG;PASS	ADJ;NOM;MASC;SG
terkejut	zaskoczona	terkejut	zaskoczyć	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
terkejut	wstrząśnięty	terkejut	wstrząśnięty	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
terkejut	wstrząśnięta	terkejut	wstrząśnąć	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
terkejut	zszokowany	terkejut	zszokować	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
goguryeo	goguryeo	goguryeo	gogury	PROPN	
botol	butelki	botol	butelka	N;SG	N;ACC;FEM;PL
botol	butelek	botol	butelek	N;SG	N;GEN;FEM;PL
botol	butelki	botol	butelka	N;SG	N;ACC;FEM;PL
beat	beat	beat	beat	PROPN	
beat	pokonać	beat	pokonać	PROPN	V;PFV;NFIN;ACT
kehancuran	ruin	kehancuran	ruin	N;SG	
kehancuran	ruiny	kehancuran	ruina	N;SG	N;ACC;FEM;PL
kenangan	powrót	kenangan	powrót	N;SG	
kenangan	wspomnienia	kenangan	wspomnienie	N;SG	N;NOM;NEUT;PL
kenangan	wspomnień	kenangan	wspomnienie	N;SG	N;GEN;NEUT;PL
kenangan	pamięci	kenangan	pamięć	N;SG	
kenangan	wspomnienia	kenangan	wspomnienie	N;SG	N;NOM;NEUT;PL
kenangan	pamięci	kenangan	pamięć	N;SG	
brigadir	brygadier	brigadir	brygadier	PROPN	N;NOM;MASC;SG
ditembak	zastrzelony	ditembak	zastrzelić	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ditembak	postrzelony	ditembak	postrzelić	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ditembak	ujęcie	ditembak	ująć	V;SG;PASS	N;PFV;NOM;NEUT;SG;POS;V.MSDR
ditembak	strzał	ditembak	strzał	V;SG;PASS	N;NOM;MASC;SG
plan	plan	plan	plan	PROPN	N;NOM;MASC;SG
dam	dam	dam	dać		V;PFV;IND;SG;1;FUT;FIN;ACT
caesar	caesar	caesar	caesar	PROPN	N;NOM;MASC;SG
caesar	cezara	caesar	cezar	PROPN	
caesar	cezar	caesar	cezar	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
winner	zwycięzca	winner	zwycięzca	PROPN	N;NOM;MASC;SG
pukulan	wieje	pukulan	wiać	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
mendesak	pilne	mendesak	pilny	V;SG;ACT	
romantis	romanse	romantis	romans	N;SG	N;NOM;MASC;PL
romantis	romantyczny	romantis	romantyczny	N;SG	ADJ;NOM;MASC;SG
romantis	romantyczne	romantis	romantyczny	N;SG	ADJ;NOM;NEUT;SG
romantis	romantyczna	romantis	romantyczny	N;SG	ADJ;NOM;FEM;SG
beri	beri	beri	beria	V;SG;ACT	
lucky	szczęście	lucky	szczęście	PROPN	N;NOM;NEUT;SG
lucky	lucky	lucky	luck	PROPN	
lucky	szczęściarz	lucky	szczęściarz	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
agregat	zbiorczej	agregat	zbiorka	N;SG	ADJ;GEN;FEM;SG
bersembunyi	ukrywanie	bersembunyi	ukrywać	V;SG;ACT	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
stanford	stanford	stanford	stanford	PROPN	PROPN;NOM;MASC;SG
bergaya	stylowo	bergaya	stylowo	V;SG;ACT	ADV
bergaya	stylowe	bergaya	stylowy	V;SG;ACT	ADJ;NOM;NEUT;SG
bergaya	stylowy	bergaya	stylowy	V;SG;ACT	ADJ;NOM;MASC;SG
bergaya	styl	bergaya	styl	V;SG;ACT	N;NOM;MASC;SG
bergaya	style	bergaya	style	V;SG;ACT	
bergaya	stylizacja	bergaya	stylizacja	V;SG;ACT	N;NOM;FEM;SG
hudson	hudson	hudson	hudson	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
membatalkan	anulowanie	menbatalkan	anulować	V;SG;ACT	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
membatalkan	odwołany	menbatalkan	odwołać	V;SG;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
membatalkan	odwołane	menbatalkan	odwołać	V;SG;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
membatalkan	anulowane	menbatalkan	anulować	V;SG;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
membatalkan	odwołane	menbatalkan	odwołać	V;SG;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
membatalkan	odwołany	menbatalkan	odwołać	V;SG;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
membatalkan	anulowane	menbatalkan	anulować	V;SG;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
perlombaan	rasy	perlombaan	rasa	N;SG	N;ACC;FEM;PL
perlombaan	race	perlombaan	raka	N;SG	
serigala	wolf	serigala	wolf	N	
ruas	fields	ruas	fields	N;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
ruas	pola	ruas	pole	N;SG	
iata	iata	iata	iato	PROPN	
taksi	taxi	taksi	taxi	N;SG	
taksi	taksówki	taksi	taksówka	N;SG	N;NOM;FEM;PL
taksi	kabiny	taksi	kabina	N;SG	N;ACC;FEM;PL
taksi	taksówki	taksi	taksówka	N;SG	N;NOM;FEM;PL
taksi	taksówki	taksi	taksówka	N;SG	N;NOM;FEM;PL
taksi	kabiny	taksi	kabina	N;SG	N;ACC;FEM;PL
wabah	plagi	wabah	plag	N;SG	
wabah	zarazy	wabah	zaraz	N;SG	
financial	finansowe	financial	finansowy	N	ADJ;NOM;NEUT;SG
financial	financial	financial	financial	N	
financial	finansowy	financial	finansowy	N	ADJ;NOM;MASC;SG
financial	finansowych	financial	finansowy	N	ADJ;GEN;MASC;PL
financial	finansowa	financial	finansowy	N	ADJ;NOM;FEM;SG
bala	bala	bala	bala	N;SG	
lilin	świece	lilin	świeca	N;SG	N;NOM;FEM;PL
lilin	świece	lilin	świeca	N;SG	N;NOM;FEM;PL
lilin	świeczki	lilin	świeczka	N;SG	N;NOM;FEM;PL
lilin	świece	lilin	świeca	N;SG	N;NOM;FEM;PL
wolf	wolf	wolf	wolf	PROPN	
wolf	wilka	wolf	wilka	PROPN	N;ACC;MASC;SG
wolf	wilk	wolf	wilk	PROPN	N;NOM;MASC;SG
harrison	harrisona	harrison	harrison	PROPN	
harrison	harrison	harrison	harrison	PROPN	
menyerbu	przekroczenia	menserbu	przekroczyć	V;SG;ACT	N;PFV;GEN;NEUT;SG;POS;V.MSDR
menyerbu	przekroczony	menserbu	przekroczyć	V;SG;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
menyerbu	przekroczenie	menserbu	przekroczenie	V;SG;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
teritorial	terytorialnej	teritorial	terytorialny	N;SG	ADJ;GEN;FEM;SG
teritorial	terytorialna	teritorial	terytorialny	N;SG	ADJ;NOM;FEM;SG
teritorial	terytorialne	teritorial	terytorialny	N;SG	ADJ;NOM;NEUT;SG
angola	angoli	angola	angolić	PROPN	PROPN;NOM;MASC;SG
tanzania	tanzanii	tanzania	tanzania	PROPN	
mind	umysłu	mind	umysł	PROPN	N;GEN;MASC;SG
mind	umysł	mind	umysł	PROPN	N;NOM;MASC;SG
duke	duke	duke	duky	PROPN	
duke	książę	duke	książę	PROPN	N;NOM;MASC;SG
grammy	grammy	grammy	grać	PROPN	N;ACC;FEM;SG
grammy	grammy	grammy	grać	PROPN	N;ACC;FEM;SG
akademisi	naukowców	akademisi	naukowiec	N;SG	N;ACC;MASC;PL
akademisi	akademickie	akademisi	akademicki	N;SG	ADJ;NOM;NEUT;SG
akademisi	academia	akademisi	academia	N;SG	
akademisi	akademickich	akademisi	akademicki	N;SG	ADJ;GEN;MASC;PL
akademisi	akademickie	akademisi	akademicki	N;SG	ADJ;NOM;NEUT;SG
yosua	joshua	yosua	joshua	PROPN	PROPN;NOM;MASC;SG
dibuktikan	udowodniono	dibuktikan	udowodnić	V;SG;PASS	V;PFV;IND;0;PST;FIN;ACT
dibuktikan	udowodnione	dibuktikan	udowodnić	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
evolution	ewolucja	evolution	ewolucja	PROPN	N;NOM;FEM;SG
evolution	ewolucję	evolution	ewolucja	PROPN	N;ACC;FEM;SG
evolution	ewolucji	evolution	ewolucja	PROPN	N;GEN;FEM;SG
patroli	patrole	patroli	patrol	N;SG	N;NOM;MASC;PL
patroli	patrole	patroli	patrol	N;SG	N;NOM;MASC;PL
eyes	eyes	eyes	eyes	PROPN	
eyes	oczy	eyes	oko	PROPN	N;NOM;NEUT;PL
eyes	oczka	eyes	oczko	PROPN	N;NOM;NEUT;SG
joan	joan	joan	joan	PROPN	PROPN;NOM;MASC;SG
joan	joanna	joan	joanna	PROPN	ADJ;NOM;FEM;SG
screen	ekran	screen	ekran	PROPN	N;NOM;MASC;SG
screen	ekranu	screen	ekran	PROPN	N;GEN;MASC;SG
screen	ekranie	screen	ekran	PROPN	N;INS;MASC;SG
tbs	tbs	tbs	tbrzyć	PROPN	
maurice	maurice	maurice	maurica	PROPN	N;NOM;MASC;SG
ukm	mśp	ukm	mśp	PROPN	
ukm	smb	ukm	smb	PROPN	
plasma	plazmy	plasma	plazmy	N	
seat	siedzenie	seat	siedzenie	PROPN	N;NOM;NEUT;SG
seat	siedziba	seat	siedziba	PROPN	N;NOM;FEM;SG
seat	siedzenia	seat	siedzenie	PROPN	N;NOM;NEUT;SG
fauna	fauny	fauna	fauny	PROPN	N;ACC;FEM;PL
volkswagen	volkswagen	volkswagen	volkswagen	N	
produktif	zarobek	produktif	zarobek	ADJ;SG	N;NOM;MASC;SG
produktif	zarabiać	produktif	zarabiać	ADJ;SG	V;IPFV;NFIN;ACT
leon	leona	leon	leon	PROPN	
leon	leon	leon	leon	PROPN	PROPN;NOM;MASC;SG
six	szóstka	six	szóstka	PROPN	N;NOM;FEM;SG
six	six	six	six	PROPN	
six	sześć	six	sześć	PROPN	
bandingkan	porównanie	bandingkan	porównać	V;SG;ACT	N;NOM;NEUT;SG
emma	emma	emma	emma	PROPN	PROPN;NOM;FEM;SG
tertangkap	złapany	tertangkap	złapać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
tertangkap	złapana	tertangkap	złapać	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
tertangkap	przyłapany	tertangkap	przyłapać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
tertangkap	złapani	tertangkap	złapać	V;SG;PASS	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
tertangkap	przyłapany	tertangkap	przyłapać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
tertangkap	wpadka	tertangkap	wpadka	V;SG;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
tertangkap	złapany	tertangkap	złapać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
tertangkap	złapana	tertangkap	złapać	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
tertangkap	złapani	tertangkap	złapać	V;SG;PASS	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
tertangkap	schwytany	tertangkap	schwytać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
pelaut	marynarze	penlaut	marynarz	N;SG	N;NOM;MASC;PL
