категория	kategória	категория	kategória	N;INAN;NOM;FEM;SG	
можно	tud	можно	tud	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
можно	can	можно	can	ADV	
можно	lehet	можно	lesz	ADV	V;INDF;POT;SG;3;PRS;FIN;ACT
когда	mikor	когда	mikor	CONJ	ADV
когда	amikor	когда	amikor	CONJ	ADV
однако	azonban	однако	azonban	ADV	CONJ
однако	mindamellett	однако	mindamellett	ADV	
однако	mindazonáltal	однако	mindazonáltal	ADV	CONJ
однако	azonban	однако	azonban	ADV	CONJ
которые	melyik	который	melyik	PRO;NOM	
которые	mely	который	mely	PRO;NOM	
высота	magasság	высота	magasság	N;INAN;NOM;FEM;SG	
высота	magasság	высота	magasság	N;INAN;NOM;FEM;SG	
переписи	népszámlálás	перепись	népszámlálás	N;INAN;NOM;FEM;PL	N;NOM;SG
переписи	népszámlálás	перепись	népszámlálás	N;INAN;NOM;FEM;PL	N;NOM;SG
село	falusi	село	falusi	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
род	rod	род	rod	N;ANIM;NOM;MASC;SG	
один	egyedül	один	egyedül	NUM;NOM;MASC	
один	odin	один	odin	NUM;NOM;MASC	
один	egy	один	egy	NUM;NOM;MASC	DET;INDF
без	anélkül	без	anélkül	ADP	
реки	folyami	река	folyami	N;INAN;NOM;FEM;PL	N;NOM;SG
реки	folyó	река	folyó	N;INAN;NOM;FEM;PL	
реки	rivers	река	rivers	N;INAN;NOM;FEM;PL	
населения	populáció	население	populáció	N;INAN;GEN;NEUT;SG	N;NOM;SG
населения	népesség	население	népesség	N;INAN;GEN;NEUT;SG	N;NOM;SG
населения	lakosság	население	lakosság	N;INAN;GEN;NEUT;SG	N;NOM;SG
годы	évek	год	év	N;INAN;ACC;MASC;PL	N;NOM;PL
годы	év	год	év	N;INAN;ACC;MASC;PL	N;NOM;SG
через	via	через	via	ADP	
через	át	через	át	ADP	ADV
национальный	national	национальный	national	ADJ;NOM;MASC;SG	
область	tartományban	область	tartomány	N;INAN;NOM;FEM;SG	N;IN+ESS;SG
область	régiók	область	régió	N;INAN;NOM;FEM;SG	N;NOM;PL
сельское	vidék	сельский	vidék	ADJ;NOM;NEUT;SG	N;NOM;SG
сайт	helyén	сайт	hely	N;INAN;NOM;MASC;SG	N;ON+ESS;SG
века	évszázadokkal	век	évszázad	N;INAN;NOM;MASC;PL	N;INS;PL
официальный	tisztviselő	официальный	tisztviselő	ADJ;NOM;MASC;SG	N;NOM;SG
часть	részben	часть	részben	N;INAN;NOM;FEM;SG	ADV
против	ellene	против	ellen	ADP	PRO;NOM;SG;3
этот	ezt	этот	ez	DET;NOM;MASC;SG	PRO;ACC;SG;3
этот	ez	этот	ez	DET;NOM;MASC;SG	PRO;NOM;SG;3
будет	will	быть	will	V;IPFV;IND;SG;3;PRS;FIN;ACT	
будет	fog	быть	fog	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;ACT
будет	akarat	быть	akarat	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;SG
несколько	számos	несколько	számos	ADV	
несколько	többszörös	несколько	többszörös	ADV	N;NOM;SG
несколько	többszörösen	несколько	többszörös	ADV	ADJ;FRML;SG
несколько	valamennyire	несколько	valamennyir	ADV	
несколько	némileg	несколько	némileg	ADV	
город	városban	город	város	N;INAN;NOM;MASC;SG	N;IN+ESS;SG
город	town	город	town	N;INAN;NOM;MASC;SG	
город	city	город	city	N;INAN;NOM;MASC;SG	
город	városi	город	városi	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
мира	béke	мир	béke	N;INAN;GEN;MASC;SG	
мира	mira	мир	mira	N;INAN;GEN;MASC;SG	
первое	először	первый	először	ADJ;NOM;NEUT;SG	ADV
части	alkatrész	часть	alkatrész	N;INAN;NOM;FEM;PL	N;NOM;SG
описание	leírás	описание	leírás	N;INAN;NOM;NEUT;SG	
всего	teljes	все	teljes	PRO;INAN;GEN;NEUT;SG	
всего	összesen	все	összesen	PRO;INAN;GEN;NEUT;SG	
первый	először	первый	először	ADJ;NOM;MASC;SG	ADV
карты	kártya	карта	kártya	N;INAN;NOM;FEM;PL	N;NOM;SG
карты	térkép	карта	térkép	N;INAN;NOM;FEM;PL	
карты	térképeket	карта	térkép	N;INAN;NOM;FEM;PL	N;ACC;PL
два	kettő	два	kettő	NUM;NOM;MASC	
всех	mindegyik	все	mindegyik	PRO;ANIM;ACC;PL	
всех	mind	все	mind	PRO;ANIM;ACC;PL	CONJ
всех	minden	все	minden	PRO;ANIM;ACC;PL	PRO;NOM;SG;3
всех	mindenki	все	mindenki	PRO;ANIM;ACC;PL	
всех	mindenkinek	все	mindenki	PRO;ANIM;ACC;PL	
раз	egyszer	раз	egyszer	CONJ	ADV
второй	másodszor	второй	másod	ADJ;NOM;MASC;SG	
второй	másodperc	второй	másodperc	ADJ;NOM;MASC;SG	
второй	második	второй	második	ADJ;NOM;MASC;SG	
карта	térkép	карта	térkép	N;INAN;NOM;FEM;SG	
карта	térképet	карта	térkép	N;INAN;NOM;FEM;SG	N;ACC;SG
площадь	square	площадь	sóuar	N;INAN;NOM;FEM;SG	
площадь	szögletes	площадь	szögletes	N;INAN;NOM;FEM;SG	
площадь	négyzetes	площадь	négyzetes	N;INAN;NOM;FEM;SG	ADJ;NOM;SG
площадь	négyzet	площадь	négyzet	N;INAN;NOM;FEM;SG	
всё	mindent	все	minden	PRO;INAN;NOM;NEUT;SG	
даже	még	даже	még	PART	ADV
затем	aztán	затем	aztán	ADV	
группы	csoport	группа	csoport	N;INAN;NOM;FEM;PL	N;NOM;SG
группы	csoportban	группа	csoport	N;INAN;NOM;FEM;PL	N;IN+ESS;SG
группы	csoportoknak	группа	csoport	N;INAN;NOM;FEM;PL	N;DAT;PL
почтовый	postai	почтовый	postai	ADJ;NOM;MASC;SG	N;NOM;SG
над	vége	над	vég	ADP	N;NOM;SG
над	át	над	át	ADP	ADV
страны	ország	страна	ország	N;INAN;NOM;FEM;PL	N;NOM;SG
страны	országban	страна	ország	N;INAN;NOM;FEM;PL	N;IN+ESS;SG
страны	országokban	страна	ország	N;INAN;NOM;FEM;PL	N;IN+ESS;PL
ему	őt	он	ő	PRO;DAT;MASC;SG;3	PRO;ACC;SG;3
ему	neki	он	ő	PRO;DAT;MASC;SG;3	
индекс	index	индекс	index	N;INAN;NOM;MASC;SG	
индекс	mutató	индекс	mutató	N;INAN;NOM;MASC;SG	
население	demográfiai	население	demográfiai	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
работы	munkahelyi	работа	munkahelyi	N;INAN;NOM;FEM;PL	N;NOM;SG
работы	munka	работа	munka	N;INAN;NOM;FEM;PL	N;NOM;SG
имена	neveket	имя	nevék	N;INAN;NOM;NEUT;PL	N;ACC;PL
вместе	együtt	вместе	együtt	ADV	
истории	történeteket	история	történet	N;INAN;NOM;FEM;PL	N;ACC;PL
истории	történelme	история	történelem	N;INAN;NOM;FEM;PL	N;NOM;SG
истории	történelem	история	történel	N;INAN;NOM;FEM;PL	N;NOM;SG
которая	melyik	который	melyik	PRO;NOM	
которая	mely	который	mely	PRO;NOM	
александр	alexandre	александр	alexand	N;ANIM;NOM;MASC;SG	N;ON+ALL;SG
александр	sándor	александр	sándor	N;ANIM;NOM;MASC;SG	
александр	alexander	александр	alexander	N;ANIM;NOM;MASC;SG	
хотя	habár	хотя	habár	CONJ	CONJ
хотя	habár	хотя	habár	CONJ	CONJ
кроме	kivéve	кроме	kivév	ADP	
другие	egyéb	другой	egyéb	ADJ;NOM;PL	
другие	más	другой	más	ADJ;NOM;PL	PRO;NOM;SG;3
другие	másoknak	другой	más	ADJ;NOM;PL	PRO;DAT;PL;3
другие	egyéb	другой	egyéb	ADJ;NOM;PL	
другие	mások	другой	más	ADJ;NOM;PL	
другие	egyebek	другой	egyéb	ADJ;NOM;PL	
история	story	история	story	N;INAN;NOM;FEM;SG	
история	előzmények	история	előzmény	N;INAN;NOM;FEM;SG	N;NOM;PL
себя	magam	себя	maga	PRO;ACC	
себя	magad	себя	magad	PRO;ACC	V;INDF;IND;SG;3;PRS;FIN;ACT
совета	tanács	совет	tanács	N;INAN;GEN;MASC;SG	N;NOM;SG
фильм	filmet	фильм	film	N;INAN;NOM;MASC;SG	N;ACC;SG
рождения	születési	рождение	születési	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
пункты	bekezdés	пункт	bekezdés	N;INAN;NOM;MASC;PL	
времени	ideje	время	idő	N;INAN;GEN;NEUT;SG	N;NOM;SG
времени	időpont	время	időpont	N;INAN;GEN;NEUT;SG	N;NOM;SG
времени	idő	время	idő	N;INAN;GEN;NEUT;SG	N;NOM;SG
участник	résztvevő	участник	résztvevő	N;ANIM;NOM;MASC;SG	
страница	oldalt	страница	oldal	N;INAN;NOM;FEM;SG	N;ACC;SG
википедии	wikipédia	википедия	wikipédia	N;INAN;NOM;FEM;PL	N;NOM;SG
человека	ember	человек	ember	N;ANIM;ACC;MASC;SG	N;NOM;SG
человека	emberi	человек	emberi	N;ANIM;ACC;MASC;SG	
автор	szerző	автор	szerző	N;ANIM;NOM;MASC;SG	
республики	köztársaság	республика	köztársaság	N;INAN;NOM;FEM;PL	N;NOM;SG
внутреннее	belső	внутренний	belső	ADJ;NOM;NEUT;SG	
внутреннее	belső	внутренний	belső	ADJ;NOM;NEUT;SG	
эти	ezek	этот	ez	DET;NOM;PL	PRO;NOM;PL;3
эти	ezeket	этот	ez	DET;NOM;PL	PRO;ACC;PL;3
статей	árucikkek	статья	árucik	N;INAN;GEN;FEM;PL	N;NOM;PL
статей	cikkek	статья	cikk	N;INAN;GEN;FEM;PL	N;NOM;PL
случае	ügy	случай	ügy	N;INAN;ESS;MASC;SG	N;NOM;SG
случае	case	случай	case	N;INAN;ESS;MASC;SG	
случае	eset	случай	eset	N;INAN;ESS;MASC;SG	N;NOM;SG
центр	középre	центр	közép	N;INAN;NOM;MASC;SG	N;ON+ALL;SG
центр	center	центр	center	N;INAN;NOM;MASC;SG	
центр	középre	центр	közép	N;INAN;NOM;MASC;SG	N;ON+ALL;SG
округ	megyei	округ	megyei	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
округ	megye	округ	megye	N;INAN;NOM;MASC;SG	
округ	kerület	округ	kerület	N;INAN;NOM;MASC;SG	
жизни	élet	жизнь	élet	N;INAN;NOM;FEM;PL	N;NOM;SG
жизни	életem	жизнь	élet	N;INAN;NOM;FEM;PL	N;NOM;SG
жизни	life	жизнь	life	N;INAN;NOM;FEM;PL	
жизни	él	жизнь	él	N;INAN;NOM;FEM;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
генерал	általános	генерал	általános	N;ANIM;NOM;MASC;SG	
родился	született	рождаться	születik	V;PFV;MASC;IND;SG;PST;FIN;MID	V;INDF;IND;SG;3;PST;FIN;ACT
родился	megszületett	рождаться	meg+szület	V;PFV;MASC;IND;SG;PST;FIN;MID	V;INDF;IND;SG;3;PST;FIN;ACT
союза	union	союз	union	N;INAN;GEN;MASC;SG	
союза	unió	союз	unió	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
союза	szakszervezet	союз	szakszervezet	N;INAN;GEN;MASC;SG	N;NOM;SG
союза	unión	союз	unió	N;INAN;GEN;MASC;SG	
союза	uniós	союз	uniós	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
связи	kommunikáció	связь	kommunikáció	N;INAN;NOM;FEM;PL	N;NOM;SG
связи	távközlés	связь	távközlés	N;INAN;NOM;FEM;PL	N;NOM;SG
связи	kommunikációs	связь	kommunikációs	N;INAN;NOM;FEM;PL	ADJ;NOM;SG
день	napon	день	nap	N;INAN;NOM;MASC;SG	N;ON+ESS;SG
день	nappal	день	nap	N;INAN;NOM;MASC;SG	N;INS;SG
день	napot	день	nap	N;INAN;NOM;MASC;SG	N;ACC;SG
именно	pontosan	именно	pontos	PART	ADJ;FRML;SG
община	közösségi	община	közösségi	N;INAN;NOM;FEM;SG	ADJ;NOM;SG
округа	körzetek	округ	körzet	N;INAN;GEN;MASC;SG	N;NOM;PL
округа	megyék	округ	megyék	N;INAN;GEN;MASC;SG	N;NOM;PL
франции	franciaország	франция	franciaország	N;INAN;NOM;FEM;PL	N;NOM;SG
франции	france	франция	france	N;INAN;NOM;FEM;PL	
группа	csoportban	группа	csoport	N;INAN;NOM;FEM;SG	N;IN+ESS;SG
игры	játék	игра	játék	N;INAN;NOM;FEM;PL	N;NOM;SG
цифровой	digitális	цифровой	digitális	ADJ;NOM;MASC;SG	N;NOM;SG
поэтому	ezért	поэтому	ezért	ADV	CONJ
идентификатор	azonosító	идентификатор	azonosító	N;INAN;NOM;MASC;SG	ADJ;NOM;SG
просто	csak	просто	csak	PART	ADV
регион	régiók	регион	régió	N;INAN;NOM;MASC;SG	N;NOM;PL
тогда	aztán	тогда	aztán	ADV	
конце	befejezés	конец	befejezés	N;INAN;ESS;MASC;SG	N;NOM;SG
конце	vége	конец	vég	N;INAN;ESS;MASC;SG	N;NOM;SG
конце	vég	конец	vég	N;INAN;ESS;MASC;SG	N;NOM;SG
отечественной	hazafias	отечественный	hazafias	ADJ;INS;FEM;SG	
вот	itt	вот	itt	PART	ADV
церкви	templomok	церковь	templom	N;INAN;NOM;FEM;SG	N;NOM;PL
клуб	club	клуб	club	N;INAN;NOM;MASC;SG	
наук	tudományok	наука	tudomány	N;INAN;GEN;FEM;PL	N;NOM;PL
больше	több	больше	több	ADV;CMPR	DET;INDF
больше	more	больше	more	ADV;CMPR	
больше	további	больше	további	ADV;CMPR	N;NOM;SG
больше	tobb	больше	tobb	ADV;CMPR	
федерации	föderáció	федерация	föderáció	N;INAN;NOM;FEM;PL	N;NOM;SG
федерации	szövetség	федерация	szövetség	N;INAN;NOM;FEM;PL	N;NOM;SG
наиболее	legtöbb	наиболее	legtöbb	ADV	
изображения	képeket	изображение	kép	N;INAN;NOM;NEUT;PL	N;ACC;PL
изображения	kép	изображение	kép	N;INAN;NOM;NEUT;PL	N;NOM;SG
изображения	képet	изображение	kép	N;INAN;NOM;NEUT;PL	N;ACC;SG
советский	szovjetek	советский	szovjet	ADJ;NOM;MASC;SG	N;NOM;PL
советский	szovjet	советский	szovjet	ADJ;NOM;MASC;SG	
степени	fokban	степень	fok	N;INAN;NOM;FEM;PL	N;IN+ESS;SG
степени	fok	степень	fok	N;INAN;NOM;FEM;PL	N;NOM;SG
степени	fokozat	степень	fokozat	N;INAN;NOM;FEM;PL	N;NOM;SG
степени	diploma	степень	diploma	N;INAN;NOM;FEM;PL	N;NOM;SG
степени	fok	степень	fok	N;INAN;NOM;FEM;PL	N;NOM;SG
северо	northwestern	северо	northwestern	ADV	
северо	északnyugati	северо	északnyugati	ADV	N;NOM;SG
изображение	képet	изображение	kép	N;INAN;NOM;NEUT;SG	N;ACC;SG
награды	kitüntetés	награда	kitüntetés	N;INAN;NOM;FEM;PL	N;NOM;SG
награды	jutalmat	награда	jutalom	N;INAN;NOM;FEM;PL	N;ACC;SG
награды	jutalom	награда	jutalom	N;INAN;NOM;FEM;PL	N;NOM;SG
награды	gála	награда	gála	N;INAN;NOM;FEM;PL	N;NOM;SG
ранее	korábbi	ранее	korábbi	ADV	ADJ;NOM;CMPR;SG
перед	előtte	перед	előtte	ADP	
перед	mielőtt	перед	mielőtt	ADP	ADV
германии	németül	германия	németül	N;INAN;ESS;NEUT;SG	
германии	német	германия	német	N;INAN;ESS;NEUT;SG	ADJ;NOM;SG
германии	németország	германия	németország	N;INAN;ESS;NEUT;SG	N;NOM;SG
владимир	vladimír	владимир	vladimír	N;ANIM;NOM;MASC;SG	
владимир	vlagyimir	владимир	vlagyimir	N;ANIM;NOM;MASC;SG	
владимир	vladimir	владимир	vladimir	N;ANIM;NOM;MASC;SG	
москва	moszkvai	москва	moszkvai	N;INAN;NOM;FEM;SG	ADJ;NOM;SG
москва	moszkvában	москва	moszkva	N;INAN;NOM;FEM;SG	PROPN;IN+ESS;SG
москва	moszkva	москва	moszkva	N;INAN;NOM;FEM;SG	
системы	systems	система	systems	N;INAN;NOM;FEM;PL	
академии	akadémia	академия	akadémia	N;INAN;NOM;FEM;PL	N;NOM;SG
две	kettő	два	kettő	NUM;NOM;FEM	
николай	nicolai	николай	nicolai	N;ANIM;NOM;MASC;SG	
николай	nyikolaj	николай	nyikolaj	N;ANIM;NOM;MASC;SG	
николай	nikolai	николай	nikolai	N;ANIM;NOM;MASC;SG	
николай	nyikolaj	николай	nyikolaj	N;ANIM;NOM;MASC;SG	
николай	miklós	николай	miklós	N;ANIM;NOM;MASC;SG	
менее	kevesebbet	менее	kevesebb	ADV;CMPR	
менее	kevesebb	менее	kevesebb	ADV;CMPR	
роль	szerepet	роль	szerep	N;INAN;NOM;FEM;SG	N;ACC;SG
юго	délnyugat	южный	délnyug	N;INAN;NOM;MASC;SG	
дом	otthon	дом	otthon	N;INAN;NOM;MASC;SG	
дом	itthon	дом	itthon	N;INAN;NOM;MASC;SG	
дом	haza	дом	haza	N;INAN;NOM;MASC;SG	
дом	dom	дом	dom	N;INAN;NOM;MASC;SG	
дом	house	дом	hous	N;INAN;NOM;MASC;SG	
дом	házon	дом	ház	N;INAN;NOM;MASC;SG	ADJ;FRML;SG
значимость	relevánsak	значимость	releváns	N;INAN;NOM;FEM;SG	ADJ;NOM;PL
высоты	heights	высота	heights	N;INAN;NOM;FEM;PL	
русский	orosz	русский	orosz	ADJ;NOM;MASC;SG	
русский	oroszul	русский	orosz	ADJ;NOM;MASC;SG	
русский	oroszország	русский	oroszország	ADJ;NOM;MASC;SG	N;NOM;SG
член	dick	член	dick	N;ANIM;NOM;MASC;SG	
сам	magam	сам	maga	ADJ;NOM;MASC;SG	
пока	szia	пока	szia	CONJ	V;DEF;IND;SG;1;PRS;FIN;ACT
общины	közösség	община	közösség	N;INAN;NOM;FEM;PL	N;NOM;SG
общины	közösségi	община	közösségi	N;INAN;NOM;FEM;PL	ADJ;NOM;SG
эта	ezt	этот	ez	DET;NOM;FEM;SG	PRO;ACC;SG;3
эта	ez	этот	ez	DET;NOM;FEM;SG	PRO;NOM;SG;3
нужно	kell	нужный	kell	ADJ;NEUT;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
большой	nagyok	большой	nagy	ADJ;NOM;MASC;SG	N;NOM;PL
большой	nagyok	большой	nagy	ADJ;NOM;MASC;SG	N;NOM;PL
институт	institut	институт	institut	N;INAN;NOM;MASC;SG	
институт	intézmények	институт	intézmény	N;INAN;NOM;MASC;SG	N;NOM;PL
компании	társaság	компания	társaság	N;INAN;NOM;FEM;PL	N;NOM;SG
компании	vállalat	компания	vállalat	N;INAN;NOM;FEM;PL	N;NOM;SG
компании	cég	компания	cég	N;INAN;NOM;FEM;PL	N;NOM;SG
компании	század	компания	század	N;INAN;NOM;FEM;PL	N;NOM;SG
советского	szovjetek	советский	szovjet	ADJ;GEN;MASC;SG	N;NOM;PL
советского	szovjet	советский	szovjet	ADJ;GEN;MASC;SG	
проект	projekt	проект	projekt	N;INAN;NOM;MASC;SG	
проект	project	проект	projec	N;INAN;NOM;MASC;SG	
проект	tervezetét	проект	tervezet	N;INAN;NOM;MASC;SG	N;ACC;SG
проект	tervezet	проект	tervezet	N;INAN;NOM;MASC;SG	
много	sok	много	sok	ADV	
много	sok	много	sok	ADV	
много	sok	много	sok	ADV	
много	sokat	много	sok	ADV	
сельский	vidék	сельский	vidék	ADJ;NOM;MASC;SG	N;NOM;SG
сельский	rusztikus	сельский	rusztikus	ADJ;NOM;MASC;SG	N;NOM;SG
новый	újdonság	новый	újdonság	ADJ;NOM;MASC;SG	N;NOM;SG
образование	oktatási	образование	oktatási	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
тоже	is	тоже	is	PART	CONJ
тоже	túl	тоже	túl	PART	
фильмы	filmeket	фильм	film	N;INAN;NOM;MASC;PL	N;ACC;PL
фильмы	mozi	фильм	mozi	N;INAN;NOM;MASC;PL	N;NOM;SG
фильмы	filmeket	фильм	film	N;INAN;NOM;MASC;PL	N;ACC;PL
часто	gyakran	часто	gyakran	ADV	
часто	gyakran	часто	gyakran	ADV	
часто	gyakori	часто	gyakori	ADV	
почти	majdnem	почти	majdnem	ADV	
почти	majdnem	почти	majdnem	ADV	
сокорро	socorro	сокорро	socor		NUM;NOM;SG
настоящее	ajándék	настоящий	ajándék	ADJ;NOM;NEUT;SG	N;NOM;SG
настоящее	jelen	настоящий	jelen	ADJ;NOM;NEUT;SG	
стали	steel	стать	steel	V;PFV;IND;PL;PST;FIN;ACT	
стали	acél	стать	acél	V;PFV;IND;PL;PST;FIN;ACT	N;NOM;SG
европы	európa	европа	európa	N;INAN;NOM;FEM;SG	
европы	europe	европа	europe	N;INAN;NOM;FEM;SG	
европы	európában	европа	európa	N;INAN;NOM;FEM;SG	N;IN+ESS;SG
организации	szervezés	организация	szervezés	N;INAN;NOM;FEM;PL	N;NOM;SG
организации	szervezet	организация	szervezet	N;INAN;NOM;FEM;PL	N;NOM;SG
империи	birodalom	империя	birodalom	N;INAN;NOM;FEM;PL	N;NOM;SG
