terra	тера	terra	тера		N;INDF;FEM;SG
specifikus	конкретни	specifikus	конкретен	ADJ;NOM;SG	ADJ;INDF;PL
specifikus	специфично	specifikus	специфично	ADJ;NOM;SG	ADV
specifikus	специфични	specifikus	специфичен	ADJ;NOM;SG	ADJ;INDF;PL
rachel	рейчъл	rachel	рейчъл	N;NOM;SG	PROPN;INDF;FEM;SG
oldódik	разтворим	oldódik	разтворя-(се)	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
firenzei	флорентински	firenzei	флорентински	N;NOM;PL	ADJ;INDF;MASC;SG
holló	кроу	holló	кроу	N;NOM;SG	PROPN;INDF;MASC;SG
holló	рейвън	holló	рейвън	N;NOM;SG	PROPN;INDF;MASC;SG
anti	анти	anti	анти		ADV
hírességek	знаменитост	híresség	знаменитост	N;NOM;PL	N;INDF;FEM;SG
auguste	огюст	auguste	огюст		N;INDF;MASC;SG
térbeli	пространствено	térbeli	пространствен	ADJ;NOM;SG	ADV
térbeli	пространствени	térbeli	пространствен	ADJ;NOM;SG	ADJ;INDF;PL
hetente	седмични	hetenik	седмичен	N;NOM;SG	ADJ;INDF;PL
hetente	седмично	hetenik	седмичен	N;NOM;SG	ADV
hetente	седмична	hetenik	седмичен	N;NOM;SG	ADJ;INDF;FEM;SG
hetente	седмичен	hetenik	седмичен	N;NOM;SG	ADJ;INDF;MASC;SG
tang	танг	tang	танг		PROPN;INDF;MASC;SG
tang	тан	tang	тан		N;INDF;MASC;SG
demográfiai	население	demográfiai	население	ADJ;NOM;SG	N;INDF;NEUT;SG
demográfiai	демографските	demográfiai	демографски	ADJ;NOM;SG	ADJ;DEF;PL
értékelte	оценена	értékel	оценя	V;DEF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
értékelte	оценен	értékel	оценя	V;DEF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
mostanában	напоследък	mostanában	напоследък	N;IN+ESS;SG	ADV
mostanában	наскоро	mostanában	наскоро	N;IN+ESS;SG	ADV
mostanában	неотдавна	mostanában	неотдавна	N;IN+ESS;SG	ADV
mostanában	напоследък	mostanában	напоследък	N;IN+ESS;SG	ADV
kompatibilis	съвместимо	kompatibilis	съвместим	N;NOM;SG	ADV
kompatibilis	съвместими	kompatibilis	съвместим	N;NOM;SG	ADJ;INDF;PL
kompatibilis	съвместима	kompatibilis	съвместим	N;NOM;SG	ADJ;INDF;FEM;SG
edge	ръба	edge	ръб		N;DEF;MASC;SG
edge	ръб	edge	ръб		N;INDF;MASC;SG
fokozott	повишена	fokozik	повиша-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
fokozott	увеличена	fokozik	увелича-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
fokozott	увеличен	fokozik	увеличен		V;PFV;INDF;MASC;SG;V.PTCP;PASS
fokozott	повишен	fokozik	повиша-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
jam	джем	jam	джем		PROPN;INDF;MASC;SG
jam	конфитюр	jam	конфитюр		N;INDF;MASC;SG
jam	мармалад	jam	мармалад		N;INDF;FEM;SG
creek	крийк	cr	крийк		PROPN;INDF;MASC;SG
ajánlom	препоръчваме	ajánlom	препоръчвам-(се)	V;DEF;IND;SG;1;PRS;FIN;ACT	V;IPFV;IND;PL;1;PRS;FIN;ACT
ajánlom	препоръча	ajánlom	препоръчам-(се)	V;DEF;IND;SG;1;PRS;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
sarki	полярна	sarki	полярна		ADJ;INDF;FEM;SG
figyelmeztetés	предупрежденията	figyelmeztetés	предупреждение	N;NOM;SG	N;DEF;NEUT;PL
figyelmeztetés	предупреждения	figyelmeztetés	предупреждение	N;NOM;SG	N;INDF;NEUT;PL
narancssárga	оранжев	narancssárga	оранжев		N;INDF;MASC;SG
narancssárga	оранжева	narancssárga	оранжева		ADJ;INDF;FEM;SG
narancssárga	оранжево	narancssárga	оранжево		ADV
narancssárga	оранжеви	narancssárga	оранжев		ADJ;INDF;PL
narancssárga	портокал	narancssárga	портокал		N;INDF;MASC;SG
meggyilkolták	убита	meggyilkolta	убия	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
meggyilkolták	убити	meggyilkolta	убия	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
meggyilkolták	убит	meggyilkolta	убия	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
scooby	скуби	scooby	скуб		N;INDF;NEUT;SG
lent	долу	lesz	долу		ADV
lent	отдолу	lesz	отдолу		ADV
lent	долу	lesz	долу		ADV
boldogság	щастлив	boldogság	щастлив	N;NOM;SG	ADJ;INDF;MASC;SG
boldogság	щастливи	boldogság	щастлив	N;NOM;SG	ADJ;INDF;PL
boldogság	щастлива	boldogság	щастлив	N;NOM;SG	ADJ;INDF;FEM;SG
boldogság	щастливо	boldogság	щастлив	N;NOM;SG	ADV
boldogság	хепи	boldogság	хеп	N;NOM;SG	INTJ
időszakos	периодични	időszakos	периодичен	N;NOM;SG	ADJ;INDF;PL
időszakos	периодичен	időszakos	периодичен	N;NOM;SG	ADJ;INDF;MASC;SG
időszakos	периодично	időszakos	периодично	N;NOM;SG	ADV
julian	джулиън	julian	джулиън		N;INDF;MASC;SG
julian	хулиан	julian	хулиан		PROPN;INDF;MASC;SG
julian	джулиан	julian	джулиан		N;INDF;MASC;SG
trombita	тромпет	trombita	тромпет		N;INDF;MASC;SG
pan	пан	pan	пан		N;INDF;MASC;SG
pan	тиган	pan	тиган		N;INDF;MASC;SG
péntek	петък	pén	петък		N;INDF;MASC;SG
moldova	молдова	moldova	молдова		PROPN;INDF;FEM;SG
monumentális	монументален	monumentális	монументален	N;NOM;SG	ADJ;INDF;MASC;SG
bányászati	добив	bányászati	добив	ADJ;NOM;SG	N;INDF;MASC;SG
bányászati	минни	bányászati	минен	ADJ;NOM;SG	N;INDF;FEM;PL
korrekt	правилно	korrekt	правилно		ADV
korrekt	панаир	korrekt	панаир		N;INDF;MASC;SG
korrekt	справедлив	korrekt	справедлив		ADJ;INDF;MASC;SG
korrekt	справедливо	korrekt	справедливо		ADV
korrekt	справедлива	korrekt	справедлив		ADJ;INDF;FEM;SG
annie	ани	az	ани	PROPN;NOM;SG	PROPN;INDF;FEM;SG
vizsgált	изпитва	vizsgál	изпитвам		V;IPFV;IND;SG;3;PRS;FIN;ACT
vizsgált	тествани	vizsgál	тествам		V;IPFV;INDF;PL;V.PTCP;PASS
vizsgált	изпитани	vizsgál	изпитам		V;PFV;INDF;PL;V.PTCP;PASS
vizsgált	разгледани	vizsgál	разгледам		V;PFV;INDF;PL;V.PTCP;PASS
vizsgált	разследван	vizsgál	разследвам		V;IPFV;INDF;MASC;SG;V.PTCP;PASS
vizsgált	разследвани	vizsgál	разследвам		V;IPFV;INDF;PL;V.PTCP;PASS
tölgy	оук	tölgy	оук	N;NOM;SG	PROPN;INDF;MASC;SG
tojás	яйца	tojás	яйце	N;NOM;SG	N;INDF;NEUT;PL
tojás	яйцата	tojás	яйце	N;NOM;SG	N;DEF;NEUT;PL
tojás	яйца	tojás	яйце	N;NOM;SG	N;INDF;NEUT;PL
létesítmény	инсталации	létesítmény	инсталация	N;NOM;SG	N;INDF;FEM;PL
értelmezhető	смислено	értelmezhető	смислен	ADJ;NOM;SG	ADV
megszállt	обладана	megszállt	обладам		V;PFV;INDF;FEM;SG;V.PTCP;PASS
megszállt	обладан	megszállt	обладам		V;PFV;INDF;MASC;SG;V.PTCP;PASS
megszállt	заето	megszállt	заема-(се)		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
klorid	хлориди	klorid	хлорида	N;NOM;SG	N;INDF;MASC;PL
mialatt	докато	mialatt	докато	ADV	CONJ
fix	оправи	fix	оправя-(се)		V;PFV;IMP;SG;2;FIN
fix	оправяне	fix	оправяне		N;INDF;NEUT;SG
fix	фиксирани	fix	фиксирам		V;PFV;INDF;PL;V.PTCP;PASS
fix	фиксирана	fix	фиксирам		V;PFV;INDF;FEM;SG;V.PTCP;PASS
fix	поправен	fix	поправя-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
fix	фиксиран	fix	фиксирам		V;PFV;INDF;MASC;SG;V.PTCP;PASS
homok	пясъци	hom	пясък	N;NOM;SG	N;INDF;MASC;PL
csók	целувам	csók	целувам	N;NOM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
csók	целувки	csók	целувка	N;NOM;SG	N;INDF;FEM;PL
spontán	спонтанен	spontán	спонтанен		ADJ;INDF;MASC;SG
spontán	спонтанно	spontán	спонтанен		ADV
spontán	спонтанни	spontán	спонтанен		ADJ;INDF;PL
spontán	спонтанна	spontán	спонтанен		ADJ;INDF;FEM;SG
spontán	спонтанно	spontán	спонтанен		ADV
derby	дарби	derby	дарба		N;INDF;FEM;PL
derby	дерби	derby	дерба		N;INDF;NEUT;SG
evolúció	еволюционна	evolúció	еволюционен	N;NOM;SG	ADJ;INDF;FEM;SG
üzemeltető	оператор	üzemeltető	оператор	V;INDF;IND;SG;3;PST;FIN;ACT	N;INDF;MASC;SG
conrad	конрад	conrad	конрад		N;INDF;MASC;SG
analízis	анализи	analízis	анализ	N;NOM;SG	N;INDF;MASC;PL
mongólia	монголия	mongólia	монголия		PROPN;INDF;FEM;SG
luna	луна	luna	луна		N;INDF;FEM;SG
privát	частни	priva	частен		ADJ;INDF;PL
privát	частно	priva	частен		ADV
privát	редник	priva	редник		N;INDF;MASC;SG
privát	частна	priva	частен		ADJ;INDF;FEM;SG
privát	личен	priva	личен		ADJ;INDF;MASC;SG
privát	частен	priva	частен		ADJ;INDF;MASC;SG
kezdetek	начало	kezdet	начало	N;NOM;PL	N;INDF;NEUT;SG
bizonyítani	доказването	bizonyít	доказване	V;NFIN;ACT	N;DEF;NEUT;SG
bizonyítani	доказване	bizonyít	доказване	V;NFIN;ACT	N;INDF;NEUT;SG
főnök	шефе	főnök	шефе	N;NOM;SG	ADV
főnök	шефе	főnök	шефе	N;NOM;SG	ADV
harvey	харви	harvey	харвя		PROPN;INDF;MASC;SG
jackie	джаки	jacki	джак	N;NOM;SG	PROPN;INDF;MASC;SG
atlanta	атланта	atlan	атлант		N;INDF;FEM;SG
koordináta	координира	koordináta	координирам	N;NOM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
koordináta	координатите	koordináta	координат	N;NOM;SG	N;DEF;MASC;PL
koordináta	координати	koordináta	координат	N;NOM;SG	N;INDF;MASC;PL
claudius	клавдий	claudius	клавдий		N;INDF;MASC;SG
átadott	прехвърлен	átadott	прехвърля-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
átadott	прехвърлено	átadott	прехвърля-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
átadott	прехвърлени	átadott	прехвърля-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
átadott	преместен	átadott	преместя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
átadott	прехвърлена	átadott	прехвърля-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
potenciális	потенциална	potenciális	потенциален		ADJ;INDF;FEM;SG
potenciális	потенциал	potenciális	потенциал		N;INDF;MASC;SG
lambert	ламбърт	lamber	ламбърт		N;INDF;MASC;SG
horror	ужаси	horror	ужася-(се)	N;NOM;SG	N;INDF;MASC;PL
eltávolították	премахната	el+távolít	премахен	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
eltávolították	премахнато	el+távolít	премахна	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
eltávolították	премахнат	el+távolít	премахна	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;IND;PL;3;PRS;FIN;ACT
eltávolították	премахнати	el+távolít	премахна	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
eltávolították	отстранени	el+távolít	отстраня-(се)	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
hamburger	хамбургери	hamburger	хамбургер	N;NOM;SG	N;INDF;MASC;PL
hamburger	хамбургери	hamburger	хамбургер	N;NOM;SG	N;INDF;MASC;PL
szál	влакна	szál	влакно	N;NOM;SG	N;INDF;NEUT;PL
szál	нишки	szál	нишка	N;NOM;SG	ADJ;INDF;PL
szál	конци	szál	конеца	N;NOM;SG	N;INDF;MASC;PL
szál	нишки	szál	нишка	N;NOM;SG	ADJ;INDF;PL
szál	конци	szál	конеца	N;NOM;SG	N;INDF;MASC;PL
fát	дървен	fát	дървен	N;ACC;SG	ADJ;INDF;MASC;SG
fát	дърва	fát	дърво	N;ACC;SG	N;INDF;NEUT;PL
fát	дървени	fát	дървен	N;ACC;SG	ADJ;INDF;PL
hatásai	въздействие	hatás	въздействие	N;NOM;PL	N;INDF;NEUT;SG
hatásai	ефект	hatás	ефект	N;NOM;PL	N;INDF;MASC;SG
keserű	горчиви	keserű	горчив		ADJ;INDF;PL
keserű	горчива	keserű	горчив		ADJ;INDF;FEM;SG
keserű	горчив	keserű	горчив		ADJ;INDF;MASC;SG
keserű	горчиво	keserű	горчиво		ADV
bűncselekmény	престъпления	bűncselekmény	престъпление	N;NOM;SG	N;INDF;NEUT;PL
kutatói	изследовател	kutató	изследовател	N;NOM;PL	N;INDF;MASC;SG
lennon	ленън	lesz	ленън		PROPN;INDF;MASC;SG
bomba	бомбата	bomba	бомба		N;DEF;FEM;SG
bomba	бомба	bomba	бомба		N;INDF;FEM;SG
bomba	бомбите	bomba	бомба		N;DEF;FEM;PL
bomba	бомби	bomba	бомба		N;INDF;FEM;PL
tudatosan	съзнателно	tudatos	съзнателно	ADJ;FRML;SG	ADV
abraham	ейбрахам	abraha	ейбрахам		N;INDF;MASC;SG
abraham	авраам	abraha	авраам		N;DEF;MASC;SG
abraham	абрахам	abraha	абрахам		N;INDF;MASC;SG
abraham	аврам	abraha	аврам		N;INDF;MASC;SG
felszerelve	монтирана	felszerelve	монтирам	ADV;V.CVB	V;PFV;INDF;FEM;SG;V.PTCP;PASS
felszerelve	монтирани	felszerelve	монтирам	ADV;V.CVB	V;PFV;INDF;PL;V.PTCP;PASS
felszerelve	монтирано	felszerelve	монтирам	ADV;V.CVB	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
felszerelve	монтиран	felszerelve	монтирам	ADV;V.CVB	V;PFV;INDF;MASC;SG;V.PTCP;PASS
felszerelve	снабден	felszerelve	снабден	ADV;V.CVB	ADJ;INDF;MASC;SG
felszerelve	оборудвано	felszerelve	оборудвано	ADV;V.CVB	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
felszerelve	оборудвани	felszerelve	оборудвам-(се)	ADV;V.CVB	V;IPFV;INDF;PL;V.PTCP;PASS
felszerelve	оборудван	felszerelve	оборудвам-(се)	ADV;V.CVB	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
felszerelve	оборудвана	felszerelve	оборудвам-(се)	ADV;V.CVB	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
gene	джийн	gene	джийн		PROPN;INDF;FEM;SG
gene	ген	gene	генерал		N;INDF;MASC;SG
gene	джин	gene	джин		PROPN;INDF;MASC;SG
gene	гена	gene	гена		N;INDF;FEM;SG
oslo	осло	oslo	осло	PROPN;NOM;SG	PROPN;INDF;MASC;SG
csonka	непълната	csonka	непълен		ADJ;DEF;FEM;SG
krakkó	краков	krakkó	краков	N;NOM;SG	PROPN;INDF;MASC;SG
egyetértés	съгласие	egyetértés	съгласие		N;INDF;NEUT;SG
egyetértés	споразумение	egyetértés	споразумение		N;INDF;NEUT;SG
egyetértés	разбирателство	egyetértés	разбирателство		N;INDF;NEUT;SG
egyetértés	разбиране	egyetértés	разбиране		N;INDF;NEUT;SG
egyetértés	консенсус	egyetértés	консенсус		N;INDF;MASC;SG
egyetértés	единодушие	egyetértés	единодушие		N;INDF;NEUT;SG
belseje	вътрешна	belső	вътрешен	N;NOM;SG	ADJ;INDF;FEM;SG
belseje	вътрешно	belső	вътрешен	N;NOM;SG	ADV
belseje	вътрешен	belső	вътрешен	N;NOM;SG	ADJ;INDF;MASC;SG
megoldások	разтвори	megoldás	разтворя-(се)	N;NOM;PL	V;PFV;IND;SG;3;PST;FIN;ACT
hetes	седем	hetes	седем	N;NOM;SG	NUM;INDF;PL
hetes	седма	hetes	седми	N;NOM;SG	ADJ;INDF;FEM;SG
lucia	лучия	lucia	лучия		N;INDF;FEM;SG
lucia	лусия	lucia	лусия		PROPN;INDF;FEM;SG
ars	ars	ars	ars		PROPN;INDF;MASC;SG
pat	пат	pat	пат		N;INDF;MASC;SG
propaganda	пропаганда	propaganda	пропаганда		N;INDF;FEM;SG
botrány	скандали	botrány	скандал	N;NOM;SG	N;INDF;MASC;PL
botrány	скандално	botrány	скандално	N;NOM;SG	ADV
botrány	скандално	botrány	скандално	N;NOM;SG	ADV
botrány	скандални	botrány	скандален	N;NOM;SG	ADJ;INDF;PL
webber	уебър	webber	уебър	N;NOM;SG	PROPN;INDF;MASC;SG
szilveszter	силвестър	szilveszter	силвестър		N;INDF;MASC;SG
santo	санто	santo	санто		PROPN
tök	тиква	tök	тикъв		N;INDF;FEM;SG
tök	тиквата	tök	тикъв		N;DEF;FEM;SG
joel	джоел	joel	джоя-(се)		N;INDF;MASC;SG
joel	джоуел	joel	джоуд		N;INDF;MASC;SG
janeiro	жанейро	janeiro	жанейро	V;DEF;IND;SG;3;PRS;FIN;ACT	PROPN;INDF;MASC;SG
ipa	ипп	ipa	ипп		N;INDF;MASC;SG
gót	гот	gó	гот		N;INDF;MASC;SG
tengerentúli	чужбина	tengerentúli	чужбина	ADJ;NOM;SG	N;INDF;FEM;SG
düsseldorf	дюселдорф	düsseldorf	дюселдорф		PROPN;INDF;MASC;SG
düsseldorf	дюселдорф	düsseldorf	дюселдорф		PROPN;INDF;MASC;SG
termelt	произведени	termelt	произведа	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
termelt	произведена	termelt	произведа	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
termelt	произведен	termelt	произведа	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
termelt	произведено	termelt	произведа	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
csarnok	хол	csarnok	хол	N;NOM;SG	PROPN;INDF;FEM;SG
csarnok	hall	csarnok	hall	N;NOM;SG	PROPN;INDF;MASC;SG
spider	паяка	spider	паяка		N;DEF;MASC;SG
spider	спайдър	spider	спайдър		N;INDF;MASC;SG
spider	паяк	spider	паяк		N;INDF;MASC;SG
interaktív	интерактивни	interaktív	интерактивен	N;NOM;SG	ADJ;INDF;PL
feltöltött	качих	feltöltött	кача-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
feltöltött	качен	feltöltött	качен	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
feltöltött	качени	feltöltött	кача-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
paramount	парамаунт	paramoun	парамаунт		N;INDF;FEM;SG
kai	кай	kai	кай		PROPN;INDF;MASC;SG
kazahsztán	казахстан	kaza+hsz	казахстан		PROPN;INDF;MASC;SG
utazási	пътувания	utazási	пътуване	N;NOM;SG	N;INDF;NEUT;PL
utazási	пътувам	utazási	пътувам	N;NOM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
utazási	пътуват	utazási	пътувам	N;NOM;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
utazási	пътешествия	utazási	пътешествие	N;NOM;SG	N;INDF;NEUT;PL
linnaeus	линей	linnaeus	линей	PROPN;NOM;SG	N;INDF;MASC;SG
radioaktív	радиоактивни	radioaktív	радиоактивен	N;NOM;SG	ADJ;INDF;PL
radioaktív	радиоактивно	radioaktív	радиоактивен	N;NOM;SG	ADV
radioaktív	радиоактивен	radioaktív	радиоактивен	N;NOM;SG	ADJ;INDF;MASC;SG
lezárt	запечатано	lezárt	запечатано	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
lezárt	запечатани	lezárt	запечатам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
lezárt	запечатан	lezárt	запечатам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
lezárt	запечатана	lezárt	запечатам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
jamaica	ямайка	jamaica	ямайка		N;INDF;FEM;SG
kopasz	плешив	kopasz	плешив		ADJ;INDF;MASC;SG
kopasz	плешиви	kopasz	плешив		ADJ;INDF;PL
kaukázusi	кавказ	kaukázusi	кавказ	ADJ;NOM;SG	N;INDF;FEM;SG
bokor	храстите	bokor	храст		N;DEF;MASC;PL
bokor	храсти	bokor	храст		N;INDF;MASC;PL
bokor	буш	bokor	буш		PROPN;INDF;MASC;SG
bokor	храст	bokor	храст		N;INDF;MASC;SG
egységesen	равномерно	egységes	равномерен	ADJ;FRML;SG	ADV
bónusz	премия	bónusz	премие		N;INDF;FEM;SG
bónusz	бонус	bónusz	бонус		N;INDF;MASC;SG
bónusz	бонуси	bónusz	бонуса		N;INDF;MASC;PL
bónusz	премии	bónusz	премия		N;INDF;FEM;PL
bónusz	бонуси	bónusz	бонуса		N;INDF;MASC;PL
amy	ейми	amy	ейма	N;NOM;SG	PROPN;INDF;FEM;SG
jelentéktelen	маловажно	jelentéktelen	маловажен		ADV
jelentéktelen	безсмислен	jelentéktelen	безсмислен		ADJ;INDF;MASC;SG
jelentéktelen	безсмислени	jelentéktelen	безсмисля-(се)		ADJ;INDF;PL
jelentéktelen	безсмислено	jelentéktelen	безсмислено		ADV
jelentéktelen	незначителен	jelentéktelen	незначителен		ADJ;INDF;MASC;SG
jelentéktelen	незначително	jelentéktelen	незначително		ADV
jelentéktelen	незначителни	jelentéktelen	незначителен		ADJ;INDF;PL
jelentéktelen	незначителна	jelentéktelen	незначителен		ADJ;INDF;FEM;SG
alpha	алфа	alpha	алфа		N;INDF;FEM;SG
hughes	хюс	hughes	хюс		PROPN;INDF;MASC;SG
hughes	хюз	hughes	хюз		PROPN;INDF;MASC;SG
morva	моравска	morva	моравски		ADJ;INDF;FEM;SG
jake	джейк	jake	джейк		N;INDF;MASC;SG
sorba	опашки	sor	опашка	N;IN+ALL;SG	N;INDF;FEM;PL
hopkins	хопкинс	hopkins	хопкинс		PROPN;INDF;MASC;SG
stark	старк	stark	старк	PROPN;NOM;SG	N;INDF;MASC;SG
olivier	оливие	olivier	оливие		N;INDF;NEUT;SG
ned	нед	ned	нед		N;INDF;MASC;SG
niger	нигер	niger	нигер		PROPN;INDF;MASC;SG
megjelölt	маркирани	megjelölt	маркирам		V;PFV;INDF;PL;V.PTCP;PASS
megjelölt	маркиран	megjelölt	маркирам		V;PFV;INDF;MASC;SG;V.PTCP;PASS
megjelölt	отбелязани	megjelölt	отбележа		V;PFV;INDF;PL;V.PTCP;PASS
megjelölt	отбелязан	megjelölt	отбележа		V;PFV;INDF;MASC;SG;V.PTCP;PASS
megjelölt	маркирани	megjelölt	маркирам		V;PFV;INDF;PL;V.PTCP;PASS
megjelölt	маркирана	megjelölt	маркирам		V;PFV;INDF;FEM;SG;V.PTCP;PASS
megjelölt	белязани	megjelölt	бележа		V;IPFV;INDF;PL;V.PTCP;PASS
megjelölt	маркиран	megjelölt	маркирам		V;PFV;INDF;MASC;SG;V.PTCP;PASS
megjelölt	белязан	megjelölt	бележа		V;IPFV;INDF;MASC;SG;V.PTCP;PASS
kizárólagos	изключително	kizárólagos	изключително	ADJ;NOM;SG	ADV
kizárólagos	ексклузивно	kizárólagos	ексклузивно	ADJ;NOM;SG	ADV
kizárólagos	изключителни	kizárólagos	изключителен	ADJ;NOM;SG	ADJ;INDF;PL
