talent	таланти	talent	талант	N;NOM;MASC;SG	N;INDF;MASC;PL
razvito	развитите	razvit	развия-(се)	ADJ;NOM;NEUT;SG	ADJ;PFV;DEF;PL;V.PTCP;PASS
razvito	развита	razvit	развитам	ADJ;NOM;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
umetniška	артистично	umetniški	артистичен	ADJ;NOM;FEM;SG	ADV
anja	аня	anja	аня	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
anja	аня	anja	аня	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
lyon	лайън	lyon	лайън	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
lyon	лион	lyon	лион	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
breda	бреда	breda	бреда	PROPN;NOM;FEM;SG	N;INDF;FEM;SG
možen	възможно	možen	възможно	ADJ;NOM;INDF;MASC;SG	ADV
možen	възможни	možen	възможен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;PL
morris	морис	morris	морис	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
možje	men	mož	men	N;NOM;MASC;PL	N;INDF;MASC;SG
pripravljena	готови	pripravljen	готов	ADJ;NOM;FEM;SG;V.PTCP	ADJ;INDF;PL
pripravljena	приготвен	pripravljen	приготвен	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
pripravljena	подготвен	pripravljen	подготвя-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
pripravljena	подготвени	pripravljen	подготвя-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
pripravljena	подготвено	pripravljen	подготвя-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
pripravljena	подготвена	pripravljen	подготвя-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fokker	fokker	fokker	fokker	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
steven	стивън	steven	стивън	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
eugene	юджийн	eugen	юджийн	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
firence	флорънс	firence	флорънс	N;NOM;FEM;PL	PROPN;INDF;FEM;SG
firence	флоренция	firence	флоренция	N;NOM;FEM;PL	N;INDF;FEM;SG
avtorske	авторско	avtorski	авторски	ADJ;NOM;FEM;PL	ADV
ron	рон	ron	рон	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
obstoječe	съществуващо	obstoječ	съществуващо	ADJ;NOM;FEM;PL;V.PTCP	ADV
obstoječe	съществуващ	obstoječ	съществувам	ADJ;NOM;FEM;PL;V.PTCP	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
obstoječe	съществуваща	obstoječ	съществувам	ADJ;NOM;FEM;PL;V.PTCP	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
ista	същият	isti	същ	DET;NOM;FEM;SG	ADJ;DEF;MASC;SG
ista	същата	isti	същ	DET;NOM;FEM;SG	ADJ;DEF;FEM;SG
ista	същото	isti	същ	DET;NOM;FEM;SG	ADJ;DEF;NEUT;SG
usta	уста	usta	уста	N;NOM;NEUT;PL	N;INDF;FEM;SG
usta	устата	usta	уста	N;NOM;NEUT;PL	N;DEF;FEM;SG
poškodovana	контузен	poškodovan	контузен	ADJ;NOM;FEM;SG;V.PTCP	N;INDF;MASC;SG
poškodovana	ранена	poškodovan	раня	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
poškodovana	ранен	poškodovan	раня	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
poškodovana	ранени	poškodovan	раня	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
poškodovana	повреден	poškodovan	повреден	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
poškodovana	повредена	poškodovan	повредя-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
poškodovana	повредени	poškodovan	повредя-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
poškodovana	увреден	poškodovan	увредя-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
poškodovana	повредено	poškodovan	повредя	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
rolls	ролки	rolls	ролка	N;NOM;MASC;SG	N;INDF;FEM;PL
rolls	роли	rolls	рола	N;NOM;MASC;SG	N;INDF;FEM;PL
mas	мас	masa	мас		N;INDF;MASC;SG
mas	маси	masa	маса		N;INDF;FEM;PL
membrane	мембрана	membran	мембрана	N;NOM;FEM;PL	N;INDF;FEM;SG
mlado	младо	mlad	млад	ADJ;NOM;NEUT;SG	N;INDF;NEUT;SG
mlado	млади	mlad	млад	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
mlado	йънг	mlad	йънг	ADJ;NOM;NEUT;SG	PROPN;INDF;MASC;SG
vsebinsko	концептуална	vsebinsko	концептуален	ADV	ADJ;INDF;FEM;SG
anti	анти	anta	анти	N;NOM;MASC;SG	ADV
kazalo	индекс	kazati	индекс	V;IPFV;NEUT;SG;V.PTCP	N;INDF;MASC;SG
kazalo	индекси	kazati	индекс	V;IPFV;NEUT;SG;V.PTCP	N;INDF;MASC;PL
kazalo	показател	kazati	показател	V;IPFV;NEUT;SG;V.PTCP	N;INDF;MASC;SG
wayne	уейн	wayen	уейн	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
pomorsko	морско	pomorski	морски	ADJ;NOM;NEUT;SG	ADV
howe	хоу	how	хоу	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
howe	хау	how	хау	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
pat	пат	pat	пат	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
zaloge	наличност	zaloga	наличност	N;NOM;FEM;PL	N;INDF;FEM;SG
zasede	засада	zasesti	засада	V;PFV;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
mag	маг	maga	маг	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
poletni	лятото	poleten	лято	ADJ;NOM;DEF;MASC;SG	N;DEF;NEUT;SG
poletni	съмър	poleten	съмър	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
poletni	лято	poleten	лято	ADJ;NOM;DEF;MASC;SG	N;INDF;NEUT;SG
poletni	лятно	poleten	летен	ADJ;NOM;DEF;MASC;SG	ADV
poletni	самър	poleten	самър	ADJ;NOM;DEF;MASC;SG	PROPN;INDF;MASC;SG
molitev	молитви	molitev	молитвя	N;NOM;FEM;SG	N;INDF;FEM;PL
molitev	молитвите	molitev	молитв	N;NOM;FEM;SG	N;DEF;FEM;PL
blato	утайки	blato	утайка	N;NOM;NEUT;SG	N;INDF;FEM;PL
blato	кални	blato	кален	N;NOM;NEUT;SG	N;INDF;MASC;PL
blato	изпражненията	blato	изпражнение	N;NOM;NEUT;SG	N;DEF;NEUT;PL
blato	изпражнения	blato	изпражнение	N;NOM;NEUT;SG	N;INDF;NEUT;PL
blato	фекалиите	blato	фекалия	N;NOM;NEUT;SG	N;DEF;FEM;PL
blato	изпражненията	blato	изпражнение	N;NOM;NEUT;SG	N;DEF;NEUT;PL
blato	изпражнения	blato	изпражнение	N;NOM;NEUT;SG	N;INDF;NEUT;PL
blato	изпражнения	blato	изпражнение	N;NOM;NEUT;SG	N;INDF;NEUT;PL
postopno	прогресивна	postopno	прогресивен	ADV	ADJ;INDF;FEM;SG
navdih	вдъхновен	navdih	вдъхновен	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
navdih	вдъхновена	navdih	вдъхновя-(се)	N;NOM;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
navdih	вдъхнови	navdih	вдъхновя-(се)	N;NOM;MASC;SG	V;PFV;IMP;SG;2;FIN
navdih	вдъхновени	navdih	вдъхновя-(се)	N;NOM;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
abd	абд	abd	абд	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
luč	светло	luč	светло	N;NOM;FEM;SG	ADV
mehiški	мексиканец	mehiški	мексиканец	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
mehiški	мексиканско	mehiški	мексикански	ADJ;NOM;MASC;SG	ADV
aluminija	алуминиеви	aluminija	алуминиев	N;NOM;MASC;SG	ADJ;INDF;PL
aluminija	алуминиев	aluminija	алуминиев	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
aluminija	алуминиева	aluminija	алуминиев	N;NOM;MASC;SG	PROPN;INDF;FEM;SG
gozdni	форест	gozden	форест	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
gozdni	гора	gozden	гора	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
razširjeno	разширени	razširjeno	разширя-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
razširjeno	разширена	razširjeno	разширя-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
razširjeno	удължен	razširjeno	удължа	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
razširjeno	разширен	razširjeno	разширя-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
razširjeno	разширено	razširjeno	разширя-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
cele	цялата	cel	цял	ADJ;NOM;FEM;PL	ADJ;DEF;FEM;SG
cele	цяла	cel	цял	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
cele	цял	cel	цял	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
cele	цялото	cel	цял	ADJ;NOM;FEM;PL	ADJ;DEF;NEUT;SG
vrhovno	върховно	vrhoven	върховен	ADJ;NOM;NEUT;SG	ADV
siriji	сирия	sirija	сир	N;DAT;FEM;SG	PROPN;INDF;FEM;SG
gledalci	аудитория	gledalec	аудитория	N;NOM;MASC;PL	N;INDF;FEM;SG
gledalci	публика	gledalec	публика	N;NOM;MASC;PL	N;INDF;FEM;SG
primerjalno	сравнително	primerjalno	сравнително	ADJ;NOM;NEUT;SG	ADV
primerjalno	сравнителни	primerjalno	сравнителен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
andrews	андрюс	andrews	андрюс	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
keith	кийт	keith	кийт	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
garcía	гарсия	garcma	гарсия	N;NOM;MASC;SG	PROPN;INDF;FEM;SG
src	сърца	srce	сърце	N;NOM;MASC;SG	N;INDF;NEUT;PL
src	сърцата	srce	сърце	N;NOM;MASC;SG	N;DEF;NEUT;PL
champwd	champwd	champwd	champwа		PROPN
schneider	шнайдер	schneider	шнайдер	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
trdo	твърд	trdo	твърд	ADV	ADJ;INDF;MASC;SG
divji	диво	divji	диво	ADJ;NOM;DEF;MASC;SG	ADV
divji	дивак	divji	дивак	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
divji	диви	divji	дивя-(се)	ADJ;NOM;DEF;MASC;SG	N;INDF;FEM;PL
divji	дива	divji	дивам-(се)	ADJ;NOM;DEF;MASC;SG	N;INDF;FEM;SG
divji	див	divji	див	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
upokojeni	пенсиониран	upokojen	пенсионирам	ADJ;NOM;DEF;MASC;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
upokojeni	пенсионер	upokojen	пенсионер	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
odgovorna	отговорни	odgovoren	отговорен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
odgovorna	отговорно	odgovoren	отговорно	ADJ;NOM;FEM;SG	ADV
stanovanje	плоски	stanovanje	плоска	N;NOM;NEUT;SG	ADJ;INDF;PL
stanovanje	плоско	stanovanje	плоско	N;NOM;NEUT;SG	ADV
stanovanje	плосък	stanovanje	плосък	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
piero	пиеро	piero	пиеро	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
jeff	джеф	jeff	джеф	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
baz	баз	baza	баз	N;GEN;FEM;PL	PROPN;INDF;MASC;SG
murphy	мърфи	murphy	мърфя-(се)	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
omembe	споменава	omemba	споменавам	N;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
dostopen	достъпни	dostopen	достъпен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;PL
dostopen	достъпно	dostopen	достъпно	ADJ;NOM;INDF;MASC;SG	ADV
suhi	суха	suh	сух	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
suhi	сухи	suh	сух	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;PL
suhi	сухо	suh	сухо	ADJ;NOM;DEF;MASC;SG	ADV
suhi	сух	suh	сух	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
suhi	скини	suh	скиня-(се)	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;PL
suhi	слаб	suh	слаб	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
spredaj	преден	spredaj	преден	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
spredaj	предни	spredaj	преден	N;NOM;MASC;SG	ADJ;INDF;PL
spredaj	отпред	spredaj	отпред	N;NOM;MASC;SG	ADV
spredaj	предна	spredaj	преден	N;NOM;MASC;SG	ADJ;INDF;FEM;SG
sašo	грейсън	sašo	грейсън	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
lepe	прекрасна	lep	прекрасна	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
lepe	красива	lep	красив	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
lepe	прекрасен	lep	прекрасен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
lepe	красиво	lep	красиво	ADJ;NOM;FEM;PL	ADV
uspehov	успех	uspeh	успех	N;GEN;MASC;PL	N;INDF;MASC;SG
smiles	усмивки	smiles	усмивка	N;NOM;MASC;SG	N;INDF;FEM;PL
razdeli	разделим	razdeti	разделя-(се)	V;PFV;IND;SG;3;PRS;FIN	V;PFV;IND;PL;1;PRS;FIN;ACT
razdeli	сплит	razdeti	сплит	V;PFV;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
razdeli	разделяне	razdeti	разделяне	V;PFV;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
razdeli	разделение	razdeti	разделение	V;PFV;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
razdeli	раздели	razdeti	разделя-(се)	V;PFV;IND;SG;3;PRS;FIN	V;PFV;IMP;SG;2;FIN
razdeli	разделяй	razdeti	разделям-(се)	V;PFV;IND;SG;3;PRS;FIN	V;IPFV;IMP;SG;2;FIN
razdeli	разделяне	razdeti	разделяне	V;PFV;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
pozdrav	поздрави	pozdrav	поздравя	N;NOM;MASC;SG	V;PFV;IMP;SG;2;FIN
isaac	айзък	isaac	айзък	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
dem	dem	dem	dem		N;INDF;MASC;PL
siva	сив	siv	сив	ADJ;NOM;FEM;SG	PROPN;INDF;MASC;SG
siva	сиво	siv	сиво	ADJ;NOM;FEM;SG	ADV
siva	сиви	siv	сив	ADJ;NOM;FEM;SG	ADJ;INDF;PL
siva	грей	siv	грей	ADJ;NOM;FEM;SG	PROPN;INDF;MASC;SG
siva	сив	siv	сив	ADJ;NOM;FEM;SG	PROPN;INDF;MASC;SG
siva	сиво	siv	сиво	ADJ;NOM;FEM;SG	ADV
siva	сиви	siv	сив	ADJ;NOM;FEM;SG	ADJ;INDF;PL
siva	грей	siv	грей	ADJ;NOM;FEM;SG	PROPN;INDF;MASC;SG
obrobju	покрайнините	obrobje	покрайнина	N;DAT;NEUT;SG	N;DEF;FEM;PL
gaj	гай	gaj	гай	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
bank	банк	banka	банк	N;GEN;FEM;PL	N;INDF;FEM;SG
bank	банката	banka	банка	N;GEN;FEM;PL	N;DEF;FEM;SG
bank	bank	banka	bank	N;GEN;FEM;PL	PROPN;INDF;FEM;SG
bank	банка	banka	банка	N;GEN;FEM;PL	N;INDF;FEM;SG
sinonim	синоним	sinoni	синоним	V;PFV;IND;SG;1;PRS;FIN	N;INDF;MASC;SG
sestri	сестри	sestra	сестра	N;NOM;FEM;DU	N;INDF;FEM;PL
rossi	роси	rossi	рос	N;NOM;MASC;SG	PROPN;INDF;FEM;SG
rona	рон	rona	рон	N;NOM;FEM;SG	PROPN;INDF;MASC;SG
charlie	чарли	charlet	чарла		N;INDF;MASC;SG
obsežne	обширно	obsežen	обширно	ADJ;NOM;FEM;PL	ADV
bron	бронзова	bron	бронзова	N;NOM;MASC;SG	ADJ;INDF;FEM;SG
bron	бронзови	bron	бронзов	N;NOM;MASC;SG	ADJ;INDF;PL
walther	валтер	walther	валтер	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
weber	уебър	weber	уебър	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
prepovedano	забранено	prepovedan	забраня	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
prepovedano	забранени	prepovedan	забраня	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
prepovedano	забранен	prepovedan	забраня	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
prepovedano	забранена	prepovedan	забраня	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
prepovedano	забранено	prepovedan	забраня	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
prepovedano	забранена	prepovedan	забраня	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
prepovedano	забранен	prepovedan	забраня	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
prepovedano	забранени	prepovedan	забраня	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
kritiko	критики	kritika	критика	N;ACC;FEM;SG	N;INDF;FEM;PL
razlogi	причина	razlog	причина	N;NOM;MASC;PL	N;INDF;FEM;SG
razlogi	основание	razlog	основание	N;NOM;MASC;PL	N;INDF;NEUT;SG
moderno	модерни	moderno	модерен	ADV	ADJ;INDF;PL
moderno	модерна	moderno	модерен	ADV	ADJ;INDF;FEM;SG
moderno	модерен	moderno	модерен	ADV	ADJ;INDF;MASC;SG
moderno	съвременен	moderno	съвременен	ADV	ADJ;INDF;MASC;SG
bolečino	болки	bolečina	болка	N;ACC;FEM;SG	N;INDF;FEM;PL
jedrski	ядрено	jedrski	ядрен	ADJ;NOM;MASC;SG	ADV
jedrski	ядрени	jedrski	ядрен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
hamburg	хамбург	hamburg	хамбург	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
cruz	круз	cruz	круз	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
cruz	крус	cruz	крус	PROPN;NOM;MASC;SG	PROPN
vožnjo	вози	vožnja	воза	N;ACC;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
vožnjo	язди	vožnja	язда	N;ACC;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
poln	пълни	poln	пълен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;PL
poln	пълно	poln	пълен	ADJ;NOM;INDF;MASC;SG	ADV
iranu	иран	iran	иран	N;DAT;MASC;SG	PROPN;INDF;MASC;SG
drugačna	различно	drugačen	различно	ADJ;NOM;FEM;SG	ADV
drugačna	различни	drugačen	различен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
oddaj	показва	oddaj	показвам-(се)	N;GEN;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
razglašen	провъзгласена	razglašen	провъзглася	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
dick	дик	dick	дик	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
theodore	теодор	theodor	теодор	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
renesančni	ренесанса	renesančen	ренесанс	ADJ;NOM;MASC;SG	N;DEF;MASC;SG
renesančni	възраждане	renesančen	възраждане	ADJ;NOM;MASC;SG	N;INDF;NEUT;SG
renesančni	ренесанс	renesančen	ренесанс	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
royce	ройс	royec	ройс	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
kotel	казан	kotel	кажа	N;NOM;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
wade	уейд	wada	уейд	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
prepričal	убедени	prepričati	убедя-(се)	V;PFV;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
aero	авиационни	aera	авиационен	N;NOM;MASC;SG	ADJ;INDF;PL
klopi	кърлежи	klop	кърлеж	N;NOM;FEM;SG	N;INDF;MASC;PL
klopi	пейки	klop	пейка	N;NOM;FEM;SG	N;INDF;FEM;PL
vredno	уърт	vreden	уърт	ADJ;NOM;NEUT;SG	N;INDF;FEM;SG
mad	луд	mada	луд		ADJ;INDF;MASC;SG
mad	луда	mada	луд		ADJ;INDF;FEM;SG
šef	шефе	šef	шефе	N;NOM;MASC;SG	ADV
delitve	разделение	delitev	разделение	N;NOM;FEM;PL	N;INDF;NEUT;SG
absolutno	абсолютна	absolutno	абсолютен	ADV	ADJ;INDF;FEM;SG
absolutno	абсолютен	absolutno	абсолютен	ADV	ADJ;INDF;MASC;SG
absolutno	абсолютни	absolutno	абсолютен	ADV	ADJ;INDF;PL
žleze	жлеза	žleza	жлез	N;NOM;FEM;PL	N;INDF;FEM;SG
zadetkov	удря	zadetek	удра	N;GEN;MASC;PL	V;PFV;IND;SG;3;PST;FIN;ACT
pretirano	преувеличени	pretirano	преувелича	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
pretirano	преувеличено	pretirano	преувелича	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
pretirano	прекомерно	pretirano	прекомерно	ADJ;NOM;NEUT;SG;V.PTCP	ADV
pretirano	прекомерни	pretirano	прекомерен	ADJ;NOM;NEUT;SG;V.PTCP	ADJ;INDF;PL
pretirano	прекомерен	pretirano	прекомеря-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
pretirano	прекомерно	pretirano	прекомерно	ADJ;NOM;NEUT;SG;V.PTCP	ADV
nord	nord	nord	nor	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
zemljišča	земя	zemljišče	земя	N;NOM;NEUT;PL	N;INDF;FEM;SG
povezovanje	свързващи	povezovanje	свързвам-(се)	N;NOM;NEUT;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
odkrit	открит	odkrit	открия-(се)	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
odkrit	открита	odkrit	открия-(се)	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
