wat	מה	wat	מה	PRO	ADV
vorm	צורת	vorm	צורה	V;PRS	N;FEM;SG
vorm	צורה	vorm	צורה	V;PRS	N;FEM;SG
staan	עמידה	staan	עמידה	V;PRS	N;FEM;SG
staan	עמוד	staan	עמוד	V;PRS	
staan	סטנד	staan	סטנד	V;PRS	PROPN
isbn	isbn	isbn	isbn		PROPN
dan	ואז	dan	ואז	ADV	
gebou	בונה	bou	בנה	V;PST;V.PTCP	
gebou	בניין	bou	בניין	V;PST;V.PTCP	N;MASC;SG
gebou	בנייה	bou	בנייה	V;PST;V.PTCP	N;FEM;SG
jare	שנה	jaar	שנה	N;PL	N;FEM;SG
januarie	ינואר	januarie	ינואר		PROPN
junie	יוני	junie	יוני		PROPN
amerikaanse	אמריקאים	amerikaans	אמריקני	ADJ;NOM	N;MASC;PL
amerikaanse	אמריקני	amerikaans	אמריקני	ADJ;NOM	PROPN
amerikaanse	אמריקאית	amerikaans	אמריקני	ADJ;NOM	ADV
slegs	פשוט	slegs	פשוט	ADV	
nadat	אחרי	nadat	אחרי	CONJ	ADP
nadat	לאחר	nadat	לאחר	CONJ	ADP
april	אפריל	april	אפריל		PROPN
lank	גבוה	lank	גבוה	ADV	ADJ;MASC;SG
lank	גבוהים	lank	גבוה	ADV	ADJ;MASC;PL
lank	גבוהה	lank	גבוה	ADV	ADJ;FEM;SG
lank	ארוך	lank	ארוך	ADV	ADJ;MASC;SG
lank	ארוכה	lank	ארוך	ADV	ADJ;FEM;SG
lank	לונג	lank	לונג	ADV	PROPN
gestig	ייסד	stig	ייסד	V;PST;V.PTCP	N;MASC;SG
oktober	באוקטובר	oktober	באוקטובר		PROPN
oktober	אוקטובר	oktober	אוקטובר		PROPN
julie	ביולי	julie	ביולי		PROPN
julie	יולי	julie	יולי		PROPN
sedert	מאז	sedert	מאז	ADP	ADV
sedert	השיק	sedert	השיק	ADP	V;MASC;SG;3;PST;ACT
kaapstad	ברצלונה	kaapstad	ברצלונה		PROPN
september	ספטמבר	september	ספטמבר		PROPN
engels	אנגלית	engels	אנגלית		PROPN
party	מפלגה	party	מפלגה	V;PRS	N;FEM;SG
party	מסיבה	party	מסיבה	V;PRS	
party	המפלגה	party	המפלג	V;PRS	PROPN
party	מפלגת	party	מפלגה	V;PRS	N;FEM;SG
desember	בדצמבר	desember	בדצמבר		PROPN
desember	דצמבר	desember	דצמבר		PROPN
maart	מרץ	maart	מרץ		PROPN
maart	צעדה	maart	צעדה		N;FEM;SG
maart	במרץ	maart	במרץ		PROPN
alle	כולם	al	None	DET	N;MASC;PL
alle	הכל	al	הכיל	DET	N
augustus	אוגוסט	augustus	אוגוסט		PROPN
gevolg	עקבתי	gevolg	עקבתי	N;SG	V;SG;1;PST;ACT
gevolg	ואחריו	gevolg	ואחריו	N;SG	
februarie	בפברואר	februarie	בפברואר		ADV
februarie	פברואר	februarie	פברואר		PROPN
gaan	הולך	gaan	הלך		V;MASC;SG;V.PTCP;ACT
gaan	נוסע	gaan	נסע		V;MASC;SG;V.PTCP;ACT
gaan	הולכת	gaan	הלך		V;FEM;SG;V.PTCP;ACT
gaan	נוסעת	gaan	נוסע		V;FEM;SG;V.PTCP;ACT
meeste	רובם	baie	None		N;MASC;SG
meeste	רוב	baie	רוב		N;MASC;SG
meeste	הרוב	baie	הרוב		
meeste	הכי	baie	הכי		
gebore	נולדתי	gebore	נולדתי	V;PRS	V;SG;1;PST;MID
gebore	נולדו	gebore	נולד	V;PRS	V;PL;3;PST;MID
gebore	נולד	gebore	נולד	V;PRS	V;MASC;SG;3;PST;MID
gebore	נולדה	gebore	נולד	V;PRS	V;FEM;SG;3;PST;MID
provinsie	נפה	provinsie	נפה	N;SG	PROPN
provinsie	המחוז	provinsie	המחוז	N;SG	
provinsie	המדינה	provinsie	המדין	N;SG	V;FEM;SG;3;PST;ACT
beskou	תשקול	beskou	תשקול	V;PRS	V;FEM;SG;3;FUT;ACT
beskou	שקול	beskou	שקול	V;PRS	ADJ;MASC;SG
lewe	life	lewe	life	N;SG	
lewe	החיים	lewe	החיים	N;SG	ADV
lewe	חיים	lewe	חיים	N;SG	PROPN
vier	four	vier	four	V;PRS	
vier	ארבעה	vier	ארבעה	V;PRS	NUM;MASC;SG
vier	ארבע	vier	ארבע	V;PRS	NUM;FEM;SG
vier	חוגג	vier	חוגג	V;PRS	PROPN
vier	חוגגות	vier	חגג	V;PRS	PROPN
november	נובמבר	november	נובמבר		PROPN
november	בנובמבר	november	בנובמבר		ADV
franse	צרפתי	frans	צרפתי	ADJ;NOM	PROPN
franse	צרפתית	frans	צרפתית	ADJ;NOM	PROPN
franse	צרפתים	frans	צרפתי	ADJ;NOM	N;MASC;PL
dood	המוות	dood	המווה	N;SG	
dood	מות	dood	מוות	N;SG	
dood	מת	dood	מת	N;SG	ADJ;MASC;SG
dood	מתים	dood	מת	N;SG	N;MASC;PL
dood	מתה	dood	מת	N;SG	PROPN
amptelike	רישמי	amptelik	רישמי	ADJ;NOM	PROPN
koning	קינג	koning	קינג		PROPN
koning	מלך	koning	מלך		N;MASC;SG
der	דר	der	דר		PROPN
wêreld	העולם	wêreld	העולם	N;SG	
volgende	הבא	volg	הבא	N;SG	PROPN
geleë	אותרה	geleë	אותר		PROPN
geleë	ממוקמת	geleë	מוקם		V;FEM;SG;V.PTCP;PASS
geleë	ממוקם	geleë	מוקם		V;MASC;SG;V.PTCP;PASS
miljoen	מליון	miljoen	מליון	NUM	N;MASC;SG
plaaslike	מקומי	plaaslik	מקומי	ADJ;NOM	PROPN
plaaslike	מקומית	plaaslik	מקומית	ADJ;NOM	ADV
regs	ימני	regs	ימני	ADP	ADJ;MASC;SG
regs	ימין	regs	ימין	ADP	N;MASC;SG
regs	צודק	regs	צדק	ADP	V;MASC;SG;V.PTCP;ACT
regs	נכון	regs	נכון	ADP	ADJ;MASC;SG
internasionale	international	internasionaal	קגקגק	ADJ;NOM	PROPN
internasionale	בינלאומית	internasionaal	בינלאומית	ADJ;NOM	PROPN
internasionale	בינלאומי	internasionaal	בינלאומי	ADJ;NOM	PROPN
internasionale	הבינלאומי	internasionaal	הבינלאומי	ADJ;NOM	PROPN
eie	משל	eie	משל	ADJ;NOM	
eers	ראשון	eers	ראשון		PROPN
eers	קודם	eers	קודם		ADV
eers	ראשית	eers	ראשית		ADV
eers	תחילה	eers	תחילה		ADV
pretoria	פרטוריה	pretoria	פרטוריה		PROPN
groep	הקבוצה	groep	הקבוצה	N;SG	PROPN
stel	סט	stel	סט	V;PRS	
stel	הסט	stel	הסט	V;PRS	
stel	קבע	stel	קבע	V;PRS	N;MASC;SG
stel	הגדר	stel	הגדר	V;PRS	
sluit	תפרוש	sluit	תפרוש	V;PRS	V;FEM;SG;3;FUT;ACT
sluit	קרוב	sluit	קרוב	V;PRS	
sluit	סגור	sluit	סגור	V;PRS	
sluit	קרובים	sluit	קרוב	V;PRS	N;MASC;PL
frankryk	צרפת	frankryk	צרפת		PROPN
verwys	ציטט	verwys	ציטט	V;PRS	V;MASC;SG;3;PST;ACT
verwys	התייחס	verwys	התייחס	V;PRS	V;MASC;SG;3;PST
water	מיים	water	מיים	N;SG	PROPN
water	מים	water	מים	N;SG	N;MASC;PL
einde	סיים	einde	סיים	N;SG	V;MASC;SG;3;PST;ACT
einde	לסיים	einde	סיים	N;SG	V;NFIN;ACT
einde	סוף	einde	None	N;SG	ADV
einde	סופו	einde	סופה	N;SG	
einde	קץ	einde	קץ	N;SG	
duitsland	גרמניה	duitsland	גרמניה	N;SG	PROPN
regering	הממשלה	regering	הממשלה	N;SG	PROPN
kaap	גלימה	kaap	גלימה		N;FEM;SG
dae	ימי	dag	יום	N;PL	PROPN
wanneer	מתי	wanneer	מתי	PRO	ADV
wanneer	כאשר	wanneer	כאשר	PRO	CONJ
oorlog	המלחמה	oorlog	המלחם	N;SG	PROPN
laaste	אחרונה	laaste	אחרון	DET	ADJ;FEM;SG
laaste	אחרונות	laaste	אחרון	DET	N;FEM;PL
laaste	האחרון	laaste	האחרון	DET	PROPN
laaste	אחרונים	laaste	אחרון	DET	ADJ;MASC;PL
laaste	אחרון	laaste	אחרון	DET	ADJ;MASC;SG
politieke	פוליטית	politiek	פוליטי	ADJ;NOM	ADV
politieke	פוליטי	politiek	פוליטי	ADJ;NOM	N;MASC;SG
besluit	ההחלטה	besluit	ההחלטה	V;PRS	PROPN
besluit	החלטה	besluit	החלטה	V;PRS	N;FEM;SG
besluit	החלטת	besluit	החלטה	V;PRS	N;PSSD;FEM;SG
besluit	החליטה	besluit	החליט	V;PRS	V;FEM;SG;3;PST;ACT
besluit	החליטו	besluit	החליט	V;PRS	V;PL;3;PST;ACT
besluit	החלטתי	besluit	החלטתי	V;PRS	V;SG;1;PST;ACT
besluit	הוחלט	besluit	הוחלט	V;PRS	V;MASC;SG;3;PST;PASS
besluit	החליט	besluit	החליט	V;PRS	V;MASC;SG;3;PST;ACT
besluit	תחליט	besluit	החליט	V;PRS	V;FEM;SG;3;FUT;ACT
ryk	אמפייר	ryk	אמפייר		PROPN
ryk	אימפריה	ryk	אימפריה		PROPN
ryk	האימפריה	ryk	האימפריה		PROPN
ryk	עשיר	ryk	עשיר		ADJ;MASC;SG
ryk	עשירים	ryk	עשיר		ADJ;MASC;PL
ryk	עושר	ryk	עושר		N;MASC;SG
ryk	עשירה	ryk	עשיר		ADJ;FEM;SG
asook	פילנתרופיה	asook	פילנתרופיה	CONJ	PROPN
sommige	חלקם	sommige	חלקם	DET	
afrikaans	אפריקאנס	afrikaans	אפריקאנס		PROPN
vis	דג	vis	דג	N;SG	
vis	פיש	vis	פיש	N;SG	PROPN
vis	דגים	vis	דג	N;SG	N;MASC;PL
plaas	חוות	plaas	חווה	V;PRS	N;FEM;SG
plaas	חווה	plaas	חווה	V;PRS	N;FEM;SG
plaas	פוסט	plaas	פוסט	V;PRS	PROPN
plaas	פרסם	plaas	פרסם	V;PRS	V;MASC;SG;3;PST;ACT
plaas	פרסום	plaas	פרסום	V;PRS	N;MASC;SG
wikipedia	ויקיפדיה	wikipedia	ויקיפדיה		PROPN
wetenskaplike	מדען	wetenskaplik	מדען	ADJ;NOM	N;MASC;SG
wetenskaplike	מדענית	wetenskaplik	מדענית	ADJ;NOM	N;FEM;SG
wetenskaplike	מדעי	wetenskaplik	מדע	ADJ;NOM	PROPN
ontwikkel	פיתח	ontwikkel	פיתח	V;PRS	N;MASC;SG
ontwikkel	התפתח	ontwikkel	התפתח	V;PRS	V;MASC;SG;3;PST
ontwikkel	מפותחת	ontwikkel	מפותח	V;PRS	PROPN
ontwikkel	התפתחה	ontwikkel	התפתח	V;PRS	V;FEM;SG;3;PST
seun	בוי	seun	בוי	N;SG	PROPN
seun	בני	seun	בני	N;SG	PROPN
seun	בן	seun	בן	N;SG	PROPN
algemene	כללי	algemeen	כלל	ADV	N;MASC;PL
algemene	גנרל	algemeen	גנרל	ADV	N;MASC;SG
verskillende	שונה	verskil	שונה	ADJ;NOM	
ontstaan	אירעה	ontstaan	אירע	V;PRS	V;FEM;SG;3;PST;ACT
europa	אירופה	europa	אירופה		PROPN
stadion	אצטדיון	stadion	אצטדיון		N;MASC;SG
stadion	האצטדיון	stadion	האצטדיון		PROPN
gedurende	במהלך	gedurende	במהלך	ADP	ADV
neem	קח	neem	קח	V;PRS	PROPN
vertaal	תרגם	vertaal	תרגם	V;PRS	PROPN
tans	מתנה	tans	מתנה	ADV	
tans	הווה	tans	הווה	ADV	PROPN
tans	נוכח	tans	נוכח	ADV	
kort	קצר	kort	קצר		ADJ;MASC;SG
kort	קיצור	kort	קיצור		N;MASC;SG
kort	קצרה	kort	קצר		ADV
self	סלף	self	סלף	PRO;SG;3;REFL	PROPN
self	עצמי	self	עצמו	PRO;SG;3;REFL	PRO;SG;1;REFL
mens	אנושי	mens	אנושי		ADJ;MASC;SG
mens	אדם	mens	אדם		N;MASC;SG
plek	המקום	plek	המקום	N;SG	
binne	בפנים	binne	בפנים	ADP	
binne	בתוכו	binne	בתוך	ADP	
binne	פנימה	binne	פנימה	ADP	ADV
swart	קראק	swart	קראק		PROPN
swart	שחורה	swart	שחורה		ADJ;FEM;SG
swart	שחור	swart	שחור		ADJ;MASC;SG
europese	אירופאית	europees	אירופאי	ADJ;NOM	ADV
europese	אירופה	europees	אירופה	ADJ;NOM	PROPN
europese	אירופי	europees	אירופי	ADJ;NOM	PROPN
moontlik	אפשרי	moontlik	אפשרי	ADV	ADJ;MASC;SG
selfs	אפילו	selfs	אפילו	ADV	CONJ
enige	כל	enig	כול	PRO	DET;PSSD
maande	חודשי	maand	חודש	N;PL	PROPN
maande	חודשיים	maand	חודש	N;PL	N;MASC;DU
skool	לימודים	skool	לימודים	N;SG	N;MASC;PL
per	פר	per	פר	ADP	
vroeë	ארלי	vroeg	ארלי	ADJ;NOM	PROPN
vroeë	תחילת	vroeg	תחילה	ADJ;NOM	N;PSSD;FEM;SG
vroeë	מוקדם	vroeg	מוקדם	ADJ;NOM	ADV
voorkom	תמנע	voorkom	מנע	V;PRS	PROPN
voorkom	מנע	voorkom	מנע	V;PRS	PROPN
mag	במאי	mag	במאי	V;PRS	N;MASC;SG
mag	מיי	mag	מיי	V;PRS	
mag	מאי	mag	מאי	V;PRS	PROPN
geneem	תפוסה	neem	תפוסה	V;PST;V.PTCP	N;FEM;SG
geneem	צולם	neem	צולם	V;PST;V.PTCP	PROPN
hoe	איך	hoe	איך	PRO	ADV
hoe	כיצד	hoe	כיצד	PRO	ADV
eiland	אי	eiland	אי	N;SG	ADV
eiland	האי	eiland	האי	N;SG	
volg	רצועה	volg	רצועה	V;PRS	N;FEM;SG
volg	מסילה	volg	הסיל	V;PRS	N;FEM;SG
volg	מסלול	volg	מסלול	V;PRS	N;MASC;SG
volg	עקוב	volg	עקוב	V;PRS	
soms	לפעמים	soms	לפעמים	PART	ADV
soms	לעתים	soms	לעתים	PART	ADV
engeland	באנגליה	engeland	באנגליה		PROPN
engeland	אנגליה	engeland	אנגליה		PROPN
johannes	יוהנס	johannes	הוהנס		PROPN
vyf	five	vyf	five	NUM	
johannesburg	יוהנסבורג	johannesburg	יוהנסבורג	PROPN;SG	PROPN
ontwerp	עיצוב	ontwerp	עיצוב	V;PRS	N;MASC;SG
aarde	הארץ	aarde	הארץ	N;SG	
gee	תני	gee	הוא	V;PRS	
gee	תן	gee	תן	V;PRS	
gee	תנו	gee	תנו	V;PRS	
kry	קבל	kry	קבל	V;PRS	PROPN
paar	מעטים	paar	מעטה		N;MASC;PL
rol	התפקיד	rol	התפקיד	N;SG	V;PL;1;PST;ACT
rol	רול	rol	רול	N;SG	PROPN
rol	גלגול	rol	גלגול	N;SG	PROPN
vrou	אשתו	vrou	אשת	N;SG	
vrou	רעיה	vrou	רעיה	N;SG	PROPN
derde	שלישי	derde	שלישי	ADJ;NOM	PROPN
derde	השלישי	derde	השליש	ADJ;NOM	PROPN
derde	שלישית	derde	None	ADJ;NOM	ADV
dag	day	dag	day	N;SG	
moderne	מודרנית	modern	מודרני	N;SG	ADV
moderne	מודרני	modern	מודרני	N;SG	ADJ;MASC;SG
moderne	מודרניות	modern	מודרני	N;SG	ADJ;FEM;PL
president	נשיאה	president	נשיאה	N;SG	PROPN
president	הנשיא	president	הנשיא	N;SG	PROPN
koninkryk	הממלכה	koninkryk	הממלך	N;SG	PROPN
ontvang	התקבלה	ontvang	התקבל	V;PRS	V;FEM;SG;3;PST
ontvang	שהתקבלו	ontvang	שהתקבל	V;PRS	V;PL;3;PST
ontvang	התקבל	ontvang	התקבל	V;PRS	V;MASC;SG;3;PST
ontvang	קיבל	ontvang	קיבל	V;PRS	V;MASC;SG;3;PST;ACT
ontvang	התקבלו	ontvang	התקבל	V;PRS	V;PL;3;PST
ontvang	קבלת	ontvang	קבלה	V;PRS	N;FEM;SG
bly	בליי	bly	בליי	V;PRS	PROPN
bly	תשאר	bly	תשאר	V;PRS	V;MASC;SG;2;FUT;ACT
bly	תישאר	bly	נשאר	V;PRS	V;FEM;SG;3;FUT;MID
bly	הישאר	bly	הישאר	V;PRS	PROPN
amerika	אמריקה	amerika	אמריקה	N;SG	PROPN
hoewel	למרות	hoewel	למרות	CONJ	ADP
webwerf	האתר	webwerf	האתר	N;SG	
staat	המדינה	staat	המדין	N;SG	V;FEM;SG;3;PST;ACT
staat	גיליון	staat	גיליון	N;SG	PROPN
staat	סדין	staat	סדין	N;SG	PROPN
weens	עקב	weens	None	ADP	CONJ
ekonomiese	כלכלית	ekonomies	כלכלי	ADJ;NOM	ADV
aanvaar	התקבלה	aanvaar	התקבל	V;PRS	V;FEM;SG;3;PST
aanvaar	התקבל	aanvaar	התקבל	V;PRS	V;MASC;SG;3;PST
aanvaar	קיבל	aanvaar	קיבל	V;PRS	V;MASC;SG;3;PST;ACT
aanvaar	שהתקבלו	aanvaar	שהתקבל	V;PRS	V;PL;3;PST
aanvaar	מקובלת	aanvaar	מקובל	V;PRS	ADJ;FEM;SG
aanvaar	מקובל	aanvaar	מקובל	V;PRS	ADJ;MASC;SG
aanvaar	קבל	aanvaar	קבל	V;PRS	PROPN
aanvaar	קבלי	aanvaar	קבל	V;PRS	PROPN
hou	החזק	hou	החזק	V;PRS	
hou	שמור	hou	שמור	V;PRS	
geskryf	כתובה	skryf	כתוב	V;PST;V.PTCP	N;FEM;SG
geskryf	כתובים	skryf	כתוב	V;PST;V.PTCP	N;MASC;PL
geskryf	כתוב	skryf	כתב	V;PST;V.PTCP	
geskryf	שרופה	skryf	שרוף	V;PST;V.PTCP	ADJ;FEM;SG
geskryf	שרפה	skryf	שרף	V;PST;V.PTCP	N;FEM;SG
hele	שלמה	heel	שלמה	ADJ;NOM	PROPN
skrywer	כותב	skrywer	כתב	N;SG	V;MASC;SG;V.PTCP;ACT
skrywer	תסריטאי	skrywer	תסריטאי	N;SG	PROPN
skrywer	מחבר	skrywer	מחבר	N;SG	
skrywer	שחיבר	skrywer	שחיבר	N;SG	PROPN
see	ים	see	ים		N;MASC;SG
verander	ביטול	verander	ביטול	V;PRS	N;MASC;SG
