और	и	और	и		CONJ
पूर्व	бывшая	पूर्व	бывший	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
होता	бы	हो	бы	V;IPFV;MASC;SG;V.PTCP;ACT	PART;COND
बाद	после	बाद	после	ADV;NOM;MASC;SG;3	ADP
बाद	after	बाद	after	ADV;NOM;MASC;SG;3	PROPN
तक	до	तक	до	CONJ	ADP
अपने	собственная	अपना	собственный	PRO;NOM;MASC	ADJ;NOM;FEM;SG
अपने	собственных	अपना	собственный	PRO;NOM;MASC	ADJ;GEN;PL
अपने	собственные	अपना	собственный	PRO;NOM;MASC	ADJ;NOM;PL
अपने	собственный	अपना	собственный	PRO;NOM;MASC	ADJ;NOM;MASC;SG
अपने	собственное	अपना	собственный	PRO;NOM;MASC	ADJ;NOM;NEUT;SG
अपने	твоя	अपना	твой	PRO;NOM;MASC	DET;NOM;FEM;SG
अपने	ваши	अपना	ваш	PRO;NOM;MASC	DET;NOM;PL
अपने	ваш	अपना	ваш	PRO;NOM;MASC	DET;NOM;MASC;SG
अपने	ваша	अपना	ваш	PRO;NOM;MASC	DET;NOM;FEM;SG
अपने	твой	अपना	твой	PRO;NOM;MASC	DET;NOM;MASC;SG
अपने	ваше	अपना	ваш	PRO;NOM;MASC	DET;NOM;NEUT;SG
जिले	округа	जिला	округ	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
जिले	районах	जिला	район	N;NOM;MASC;SG;3	N;INAN;ESS;MASC;PL
जिले	районы	जिला	район	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
जिले	округов	जिला	округ	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
था	имел	था	иметь	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
था	был	था	быть	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
था	было	था	быть	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
राज्य	государства	राज्य	государство	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
राज्य	штатов	राज्य	штат	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
राज्य	штаты	राज्य	штат	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
बाहरी	открытый	बाहरी	открыть	ADJ;NOM	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
बाहरी	внешних	बाहरी	внешний	ADJ;NOM	ADJ;GEN;PL
गाँव	деревне	गाँव	деревня	N;NOM;MASC;PL;3	N;INAN;DAT;FEM;SG
गाँव	село	गाँव	село	N;NOM;MASC;PL;3	N;INAN;NOM;NEUT;SG
गाँव	деревня	गाँव	деревня	N;NOM;MASC;PL;3	N;INAN;NOM;FEM;SG
दिया	учитывая	दे	учитывать	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;PRS;V.CVB;ACT
अन्य	другой	अन्य	другой	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अन्य	другая	अन्य	другой	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अन्य	другое	अन्य	другой	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अन्य	другие	अन्य	другой	N;NOM;MASC;SG;3	ADJ;NOM;PL
अन्य	прочие	अन्य	прочий	N;NOM;MASC;SG;3	ADJ;NOM;PL
अन्य	другие	अन्य	другой	N;NOM;MASC;SG;3	ADJ;NOM;PL
अन्य	прочие	अन्य	прочий	N;NOM;MASC;SG;3	ADJ;NOM;PL
वर्ष	годы	वर्ष	год	N;NOM;MASC;SG;3	N;INAN;ACC;MASC;PL
वर्ष	лет	वर्ष	год	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
वर्ष	years	वर्ष	years	N;NOM;MASC;SG;3	PROPN
समय	сроки	समय	срок	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
समय	времени	समय	время	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;SG
समय	time	समय	time	N;NOM;MASC;SG;3	PROPN
वे	они	वह	они	PRO;NOM;SG;3	PRO;NOM;PL;3
प्रकार	добрая	प्रकार	добрый	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
प्रकार	type	प्रकार	type	N;NOM;MASC;SG;3	PROPN
प्रकार	типы	प्रकार	тип	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
प्रकार	типов	प्रकार	тип	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
प्रकार	виды	प्रकार	вид	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
भारतीय	индийская	भारतीय	индийский	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
भारतीय	индеец	भारतीय	индеец	PROPN;NOM;SG;3	N;ANIM;NOM;MASC;SG
भारतीय	индии	भारतीय	индия	PROPN;NOM;SG;3	N;INAN;NOM;FEM;SG
भारतीय	индийский	भारतीय	индийский	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
तहसील	техсил	तहसील	техсить	PROPN;NOM;FEM;SG;3	
क्षेत्र	районы	क्षेत्र	район	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
क्षेत्र	области	क्षेत्र	область	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
अधिक	более	अधिक	более	DET	ADV;CMPR
अधिक	больше	अधिक	больше	DET	ADV;CMPR
अधिक	еще	अधिक	еще	DET	ADV
कई	многих	कई	много	DET	NUM
कई	много	कई	много	DET	ADV
कई	многим	कई	много	DET	NUM
कई	многие	कई	много	DET	NUM
कई	несколько	कई	несколько	DET	ADV
मण्डल	зона	मण्डल	зона	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
मण्डल	зоны	मण्डल	зона	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
कारण	причины	कारण	причина	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
कारण	причиной	कारण	причина	N;NOM;MASC;SG;3	N;INAN;INS;FEM;SG
कारण	причины	कारण	причина	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
कारण	причин	कारण	причина	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
जैसे	нравится	जैसे	нравиться	CONJ	V;IPFV;IND;SG;3;PRS;FIN;MID
जैसे	like	जैसे	like	CONJ	PROPN
करता	хулиганов	कर	хулиган	V;IPFV;MASC;SG;V.PTCP;ACT	N;ANIM;GEN;MASC;PL
उनके	их	वह	они	PRO;MASC;SG;3;FORM	PRO;ACC;PL;3
उनके	их	वह	они	PRO;MASC;SG;3;FORM	PRO;ACC;PL;3
सबसे	большинство	सबसे	большинство	ADJ;NOM	N;INAN;NOM;NEUT;SG
सबसे	наиболее	सबसे	наиболее	ADJ;NOM	ADV
हिन्दी	хинди	हिन्दी	хинди	PROPN;NOM;FEM;SG;3	
बहुत	очень	बहुत	очень	DET	ADV
पहले	до	पहले	до	ADV;NOM;MASC;SG;3	ADP
पहले	перед	पहले	перед	ADV;NOM;MASC;SG;3	ADP
पहले	первый	पहले	первый	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पहले	первое	पहले	первый	ADV;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
पहले	первая	पहले	первый	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
पहले	first	पहले	first	ADV;NOM;MASC;SG;3	PROPN
अपनी	собственная	अपना	собственный	PRO;NOM;FEM	ADJ;NOM;FEM;SG
अपनी	собственных	अपना	собственный	PRO;NOM;FEM	ADJ;GEN;PL
अपनी	собственные	अपना	собственный	PRO;NOM;FEM	ADJ;NOM;PL
अपनी	собственный	अपना	собственный	PRO;NOM;FEM	ADJ;NOM;MASC;SG
अपनी	собственное	अपना	собственный	PRO;NOM;FEM	ADJ;NOM;NEUT;SG
जब	когда	जब	когда	PRO;NOM	CONJ
जब	when	जब	when	PRO;NOM	PROPN
उन्होंने	они	वह	они	PRO;SG;3;FORM	PRO;NOM;PL;3
उन्होंने	египтяне	वह	египтянин	PRO;SG;3;FORM	N;ANIM;NOM;MASC;PL
जन्म	родилась	जन्म	рождаться	N;NOM;MASC;SG;3	V;PFV;FEM;IND;SG;PST;FIN;MID
जन्म	родился	जन्म	рождаться	N;NOM;MASC;SG;3	V;PFV;MASC;IND;SG;PST;FIN;MID
जन्म	роды	जन्म	роды	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
कोई	кой	कोई	полпути	PRO;NOM;SG;3	DET;NOM;MASC;SG
कोई	кои	कोई	кой	PRO;NOM;SG;3	
कोई	любой	कोई	любой	PRO;NOM;SG;3	DET;NOM;MASC;SG
कोई	любую	कोई	любой	PRO;NOM;SG;3	DET;ACC;FEM;SG
कोई	любые	कोई	любой	PRO;NOM;SG;3	DET;NOM;PL
कोई	любое	कोई	любой	PRO;NOM;SG;3	DET;NOM;NEUT;SG
कोई	любая	कोई	любой	PRO;NOM;SG;3	DET;NOM;FEM;SG
इन	инн	यह	инн	DET;ACC;PL;3	N;INAN;NOM;MASC;SG
इन	inn	यह	inn	DET;ACC;PL;3	PROPN
ये	this	यह	this	PRO;NOM;PL;3	PROPN
ये	это	यह	это	PRO;NOM;PL;3	PRO;INAN;NOM;NEUT;SG
ये	эта	यह	этот	PRO;NOM;PL;3	DET;NOM;FEM;SG
ये	этот	यह	этот	PRO;NOM;PL;3	DET;NOM;MASC;SG
ये	эти	यह	этот	PRO;NOM;PL;3	DET;NOM;PL
कम	низко	कम	низко	DET	ADV
कम	низкий	कम	низкий	DET	ADJ;NOM;MASC;SG
कम	низкая	कम	низкий	DET	ADJ;NOM;FEM;SG
कम	низким	कम	низкий	DET	ADJ;INS;NEUT;SG
कम	низкое	कम	низкий	DET	ADJ;NOM;NEUT;SG
कम	меньше	कम	мало	DET	NUM
कम	меньше	कम	мало	DET	NUM
कम	менее	कम	менее	DET	ADV;CMPR
कहा	саид	कह	саид	V;PFV;MASC;SG;V.PTCP;ACT	N;ANIM;NOM;MASC;SG
लोग	народ	लोग	народ	N;NOM;MASC;PL;3	N;INAN;NOM;MASC;SG
लोग	людей	लोग	человек	N;NOM;MASC;PL;3	N;ANIM;GEN;MASC;PL
आदि	более	आदि	более	PART	ADV;CMPR
आदि	больше	आदि	больше	PART	ADV;CMPR
आदि	еще	आदि	еще	PART	ADV
उसके	его	वह	он	PRO;MASC;SG;3	PRO;ACC;MASC;SG;3
उसके	ее	वह	она	PRO;MASC;SG;3	PRO;ACC;FEM;SG;3
उसके	ей	वह	она	PRO;MASC;SG;3	PRO;DAT;FEM;SG;3
उसके	её	वह	она	PRO;MASC;SG;3	PRO;ACC;FEM;SG;3
प्राचीन	древних	प्राचीन	древний	ADJ;NOM	ADJ;GEN;PL
प्राचीन	претор	प्राचीन	претор	ADJ;NOM	N;ANIM;NOM;MASC;SG
देखें	смотрите	देख	смотреть	V;SBJV;PL;FIN;ACT	V;IPFV;IMP;PL;2;FIN;ACT
देखें	часы	देख	часы	V;SBJV;PL;FIN;ACT	N;INAN;NOM;MASC;PL
देखें	видишь	देख	видеть	V;SBJV;PL;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
देखें	см	देख	сантиметр	V;SBJV;PL;FIN;ACT	ADV
देखें	просмотр	देख	просмотр	V;SBJV;PL;FIN;ACT	N;INAN;NOM;MASC;SG
देखें	вид	देख	вид	V;SBJV;PL;FIN;ACT	N;INAN;NOM;MASC;SG
उत्तर	отвечайте	उत्तर	отвечать	PROPN;NOM;MASC;SG;3	V;IPFV;IMP;PL;2;FIN;ACT
उत्तर	ответ	उत्तर	ответ	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
उत्तर	ответить	उत्तर	ответить	PROPN;NOM;MASC;SG;3	V;PFV;NFIN;ACT
उत्तर	северный	उत्तर	северный	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
उत्तर	северная	उत्तर	северный	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
उत्तर	север	उत्तर	север	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
उत्तर	норт	उत्तर	норт	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
उत्तर	северной	उत्तर	северный	PROPN;NOM;MASC;SG;3	ADJ;INS;FEM;SG
उत्तर	ответы	उत्तर	ответ	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
भाषा	языки	भाषा	язык	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
भाषा	языках	भाषा	язык	N;NOM;FEM;SG;3	N;INAN;ESS;MASC;PL
लिये	для	ले	для	V;PFV;MASC;SG;V.PTCP;ACT	ADP
लिये	for	ले	for	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
लिये	за	ले	за	V;PFV;MASC;SG;V.PTCP;ACT	ADP
सभी	всем	सब	все	PRO;NOM;3	PRO;ANIM;DAT;PL
सभी	всех	सब	все	PRO;NOM;3	PRO;ANIM;ACC;PL
सभी	all	सब	all	PRO;NOM;3	PROPN
प्राप्त	получено	प्राप्त	получить	ADJ	V;PFV;NEUT;SG;PST;V.PTCP;PASS
प्राप्त	полученный	प्राप्त	получить	ADJ	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
प्राप्त	получено	प्राप्त	получить	ADJ	V;PFV;NEUT;SG;PST;V.PTCP;PASS
प्राप्त	получен	प्राप्त	получить	ADJ	V;PFV;MASC;SG;PST;V.PTCP;PASS
प्राप्त	полученная	प्राप्त	получить	ADJ	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
प्राप्त	полученные	प्राप्त	получить	ADJ	V;PFV;NOM;PL;PST;V.PTCP;PASS
प्राप्त	получены	प्राप्त	получить	ADJ	V;PFV;PL;PST;V.PTCP;PASS
प्राप्त	получать	प्राप्त	получать	ADJ	V;IPFV;NFIN;ACT
प्रयोग	опыты	प्रयोग	опыт	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
प्रयोग	эксперименты	प्रयोग	эксперимент	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
प्रयोग	использования	प्रयोग	использование	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;SG
शामिल	вовлечены	शामिल	вовлечь	ADJ	V;PFV;PL;PST;V.PTCP;PASS
शामिल	включает	शामिल	включать	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
शामिल	включенные	शामिल	включить	ADJ	V;PFV;NOM;PL;PST;V.PTCP;PASS
शामिल	включено	शामिल	включить	ADJ	V;PFV;NEUT;SG;PST;V.PTCP;PASS
शामिल	включить	शामिल	включить	ADJ	V;PFV;NFIN;ACT
शामिल	включать	शामिल	включать	ADJ	V;IPFV;NFIN;ACT
उन्हें	их	वह	они	PRO;SG;3;FORM	PRO;ACC;PL;3
उस	это	वह	это	DET;ACC;SG;3	PRO;INAN;NOM;NEUT;SG
उस	that	वह	that	DET;ACC;SG;3	PROPN
स्थान	места	स्थान	место	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
स्थान	местами	स्थान	место	N;NOM;MASC;SG;3	N;INAN;INS;NEUT;PL
स्थान	местоположения	स्थान	местоположение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
स्थान	места	स्थान	место	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
स्थान	местах	स्थान	место	N;NOM;MASC;SG;3	N;INAN;ESS;NEUT;PL
प्रमुख	основных	प्रमुख	основной	N;NOM;MASC;SG;3	ADJ;GEN;PL
प्रमुख	основная	प्रमुख	основной	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
प्रमुख	основные	प्रमुख	основной	N;NOM;MASC;SG;3	ADJ;NOM;PL
प्रमुख	главная	प्रमुख	главный	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
प्रमुख	основных	प्रमुख	основной	N;NOM;MASC;SG;3	ADJ;GEN;PL
हुई	хи	हो	хи	V;PFV;FEM;SG;V.PTCP;ACT	PART
बीच	пляж	बीच	пляж	ADV;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
बीच	пляже	बीच	пляж	ADV;NOM;MASC;SG;3	N;INAN;ESS;MASC;SG
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	PROPN
बीच	бич	बीच	бич	ADV;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
बीच	центр	बीच	центр	ADV;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
गए	ушёл	जा	уйти	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
गए	ушла	जा	уйти	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
गए	ушел	जा	уйти	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
गए	пошла	जा	пойти	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
मुख्य	шеф	मुख्य	шеф	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
मुख्य	начальник	मुख्य	начальник	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
मुख्य	вождь	मुख्य	вождь	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
मुख्य	основная	मुख्य	основной	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मुख्य	основные	मुख्य	основной	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
मुख्य	главная	मुख्य	главный	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मुख्य	основных	मुख्य	основной	PROPN;NOM;MASC;SG;3	ADJ;GEN;PL
थी	был	था	быть	V;FEM;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
थी	было	था	быть	V;FEM;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
बिहार	бихар	बिहार	бихар	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
उसे	его	वह	он	PRO;SG;3	PRO;ACC;MASC;SG;3
उसे	ему	वह	он	PRO;SG;3	PRO;DAT;MASC;SG;3
उसे	ее	वह	она	PRO;SG;3	PRO;ACC;FEM;SG;3
उसे	ей	वह	она	PRO;SG;3	PRO;DAT;FEM;SG;3
उसे	её	वह	она	PRO;SG;3	PRO;ACC;FEM;SG;3
कार्य	задачи	कार्य	задача	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
कार्य	работы	कार्य	работа	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
कार्य	вакансии	कार्य	вакансия	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
उनकी	их	वह	они	PRO;FEM;SG;3;FORM	PRO;ACC;PL;3
आंध्र	андхра	आंध्र	андхра	PROPN;NOM;MASC;SG;3	
नगर	town	नगर	town	N;NOM;MASC;SG;3	PROPN
नगर	city	नगर	city	N;NOM;MASC;SG;3	PROPN
नगर	города	नगर	город	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
उपयोग	использования	उपयोग	использование	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;SG
उपयोग	используйте	उपयोग	использовать	N;NOM;MASC;SG;3	V;IPFV;IMP;PL;2;FIN;ACT
उपयोग	использовать	उपयोग	использовать	N;NOM;MASC;SG;3	V;IPFV;NFIN;ACT
उपयोग	использует	उपयोग	использовать	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
लोगों	народ	लोग	народ	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;SG
लोगों	людей	लोग	человек	N;ACC;MASC;PL;3	N;ANIM;GEN;MASC;PL
लोगों	люди	लोग	человек	N;ACC;MASC;PL;3	N;ANIM;NOM;MASC;PL
काम	работы	काम	работа	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	PROPN
जीवन	жизни	जीवन	жизнь	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	PROPN
भाग	секции	भाग	секция		N;INAN;NOM;FEM;PL
भाग	разделы	भाग	раздел		N;INAN;NOM;MASC;PL
भाग	часть	भाग	часть		N;INAN;NOM;FEM;SG
भाग	частично	भाग	частично		ADV
भाग	запчасти	भाग	запчасть		N;INAN;NOM;FEM;PL
भाग	частей	भाग	часть		N;INAN;GEN;FEM;PL
भाग	части	भाग	часть		N;INAN;NOM;FEM;PL
निर्माण	создания	निर्माण	создание	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;SG
निर्माण	строить	निर्माण	строить	N;NOM;MASC;SG;3	V;IPFV;NFIN;ACT
निर्माण	построить	निर्माण	строить	N;NOM;MASC;SG;3	V;PFV;NFIN;ACT
दोनों	оба	दो	оба	N;ACC;MASC;PL;3	NUM;NOM;MASC
दोनों	обе	दो	оба	N;ACC;MASC;PL;3	NUM;NOM;FEM
राष्ट्रीय	национальные	राष्ट्रीय	национальный	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
राष्ट्रीय	национальных	राष्ट्रीय	национальный	PROPN;NOM;MASC;SG;3	ADJ;GEN;PL
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	PROPN
राष्ट्रीय	национальная	राष्ट्रीय	национальный	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
राष्ट्रीय	национальный	राष्ट्रीय	национальный	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
जानकारी	info	जानकारी	info	N;NOM;FEM;SG;3	PROPN
जानकारी	инфо	जानकारी	инфо	N;NOM;FEM;SG;3	
शहर	city	शहर	city	N;NOM;MASC;SG;3	PROPN
शहर	города	शहर	город	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
शहर	города	शहर	город	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
शहर	городов	शहर	город	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
बार	бары	बार	бар	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
बार	времена	बार	время	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;PL
बार	times	बार	times	N;NOM;FEM;SG;3	PROPN
वाली	вали	वाला	вали	ADP;NOM;FEM;SG	INTJ
लगभग	практически	लगभग	практически	PART	ADV
लगभग	почти	लगभग	почти	PART	ADV
लगभग	приблизительно	लगभग	приблизительно	PART	ADV
लगभग	примерно	लगभग	примерно	PART	ADV
फिल्म	film	फिल्म	film	N;NOM;FEM;SG;3	PROPN
यहाँ	здесь	यहाँ	здесь	PRO;NOM	ADV
यहाँ	вот	यहाँ	вот	PRO;NOM	PART
प्रसिद्ध	знаменитость	प्रसिद्ध	знаменитость	ADJ	N;INAN;NOM;FEM;SG
विकास	роста	विकास	рост	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
देश	страны	देश	страна	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
देश	нации	देश	нация	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
देश	стран	देश	страна	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
देश	страны	देश	страна	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
अलग	разделены	अलग	разделить	ADJ	V;PFV;PL;PST;V.PTCP;PASS
अलग	отделить	अलग	отделить	ADJ	V;PFV;NFIN;ACT
विशेष	исключительной	विशेष	исключительный	ADJ;NOM	ADJ;INS;FEM;SG
विशेष	специального	विशेष	специальный	ADJ;NOM	ADJ;GEN;MASC;SG
दी	учитывая	दे	учитывать	V;PFV;FEM;SG;V.PTCP;ACT	V;IPFV;PRS;V.CVB;ACT
