花卉	virágos	花卉	virágos	N	
停火	tűzszünet	停火	tűzszünet	V	N;NOM;SG
約束	kényszer	約束	kényszer	N	
掩護	fedezze	掩護	fedez	N	V;DEF;IMP;SG;3;PRS;FIN;ACT
掩護	címlap	掩護	címlap	N	CONJ
掩護	fedezni	掩護	fedez	N	V;NFIN;ACT
鈍	tompa	鈍	tompa	N	
復原	helyreállítási	復原	helyreállítási	V	ADJ;NOM;SG
復原	helyreállítása	復原	helyreállítás	V	N;NOM;SG
復原	fellendülés	復原	fellendülés	V	N;NOM;SG
復原	hasznosítás	復原	hasznosítás	V	N;NOM;SG
復原	helyreállítási	復原	helyreállítási	V	ADJ;NOM;SG
復原	gyógyulás	復原	gyógyulás	V	N;NOM;SG
真主	allah	真主	allah	PROPN	N;NOM;SG
清潔	tisztaság	清潔	tisztaság	V	N;NOM;SG
清潔	tisztítás	清潔	tisztítás	V	N;NOM;SG
清潔	takarítás	清潔	takarítás	V	N;NOM;SG
清潔	tiszta	清潔	tiszta	V	
清潔	clean	清潔	clean	V	
多	sokszínűség	多	sokszínűség	NUM	N;NOM;SG
多	sokszínű	多	sokszínű	NUM	
多	sokféleség	多	sokféleség	NUM	N;NOM;SG
多	pluralizmus	多	pluralizmus	NUM	N;NOM;SG
友善	baráti	友善	baráti	N	ADJ;NOM;SG
友善	barátságosak	友善	barátságos	N	ADJ;NOM;PL
友善	barátságos	友善	barátságos	N	ADJ;NOM;SG
甜蜜	édesek	甜蜜	édes	N	ADJ;NOM;PL
甜蜜	édes	甜蜜	édes	N	
瘦	vékony	瘦	vékony	N	
瘦	vézna	瘦	véz	N	
瘦	sovány	瘦	sovány	N	
瘦	karcsú	瘦	karcsú	N	
瘦	vékony	瘦	vékony	N	
瘦	slim	瘦	slim	N	
瘦	sovány	瘦	sovány	N	
瘦	vékony	瘦	vékony	N	
瘦	sovány	瘦	sovány	N	
優質	minőségi	優質	minőségi	N	ADJ;NOM;SG
前衛	vanguard	前衛	vanguard	N	
稀少	gyér	稀少	gyér	ADJ	
山羊	kecske	山羊	kecske	N	
山羊	kecske	山羊	kecske	N	
山羊	kecskék	山羊	kecskék	N	
丟	dobás	丟	dobás	V	N;NOM;SG
雪梨	sydney	雪梨	sydney	PROPN	V;INDF;IND;SG;3;PRS;FIN;ACT
批量	ömlesztett	批量	ömlesztett	N	V;INDF;IND;SG;3;PST;FIN;ACT
鳳蝶	papilio	鳳蝶	papilio	N	
消化	emésztési	消化	emésztési	V	N;NOM;SG
消化	emésztési	消化	emésztési	V	N;NOM;SG
消化	emésztőrendszeri	消化	emésztőrendszeri	V	N;NOM;SG
樹木	fán	樹木	fán	N	
樹木	fa	樹木	fa	N	
樹木	fák	樹木	fák	N	
樹木	fák	樹木	fák	N	
租賃	bérelt	租賃	bérel	N	
凱撒	cézár	凱撒	cézár	PROPN	
凱撒	caesar	凱撒	caesar	PROPN	
馬達加斯加	madagaszkár	馬達加斯加	madagaszkár	PROPN	N;NOM;SG
胖	fat	胖	fat	N	
胖	kövér	胖	kövér	N	
狹窄	keskeny	狹窄	keskeny	ADJ	
裁決	ítélet	裁決	ítélet	V	N;NOM;SG
無力	tehetetlen	無力	tehetetlen	N	
無力	erőtlen	無力	erőtlen	N	
節省	megtakarítás	節省	megtakarítás	V	N;NOM;SG
節省	megtakarítások	節省	megtakarítás	V	N;NOM;PL
節省	megtakarítás	節省	megtakarítás	V	N;NOM;SG
節省	mentés	節省	mentés	V	N;NOM;SG
磚	brick	磚	brick	N	
利率	mérték	利率	mér	N	
壓制	elnyomás	壓制	elnyomás	V	N;NOM;SG
壓制	elnyomás	壓制	elnyomás	V	N;NOM;SG
指稱	állítások	指稱	állítás	V	N;NOM;PL
指稱	állításokat	指稱	állítás	V	N;ACC;PL
指稱	állítás	指稱	állítás	V	N;NOM;SG
爺爺	nagypapa	爺爺	nagypap	N	
突襲	razzia	突襲	razzia	V	N;NOM;SG
突襲	rajtaütés	突襲	rajtaütés	V	N;NOM;SG
突襲	rajtaütések	突襲	rajtaütés	V	N;NOM;PL
情侶	pár	情侶	pár	N	
交接	átadás	交接	átadás	V	
示	model	示	model	V	
示	minta	示	minta	V	N;NOM;SG
示	modell	示	modell	V	N;NOM;SG
示	bemutató	示	bemutató	V	
示	demonstrációs	示	demonstrációs	V	ADJ;NOM;SG
示	tüntetés	示	tüntetés	V	N;NOM;SG
示	bemutató	示	bemutató	V	
示	demó	示	demó	V	
保全	megőrizni	保全	megőriz	N	V;NFIN;ACT
宮殿	palace	宮殿	palace	N	
智力	szellemi	智力	szellemi	N	
發光	ragyogás	發光	ragyogás	V	N;NOM;SG
發光	izzó	發光	izzó	V	N;NOM;SG
發光	ragyogó	發光	ragyogó	V	
發光	világító	發光	világító	V	ADJ;NOM;SG
發光	ragyogás	發光	ragyogás	V	N;NOM;SG
結盟	szövetség	結盟	szövetség	V	N;NOM;SG
阿拉伯	arab	阿拉伯	arab	PROPN	
阿拉伯	arabul	阿拉伯	arab	PROPN	
異議	ellenvetés	異議	ellenvetés	N	
係數	együttható	係數	együttható	N	ADJ;NOM;SG
係數	együtthatók	係數	együttható	N	ADJ;NOM;PL
係數	együttható	係數	együttható	N	ADJ;NOM;SG
窮	szegények	窮	szegény		N;NOM;PL
投球	dobás	投球	dobás	V	N;NOM;SG
銀色	silver	銀色	silver	N	
銀色	ezüst	銀色	ezüst	N	V;INDF;IND;SG;3;PST;FIN;ACT
小牛	borjú	小牛	borjú	PROPN	
訪談	interjú	訪談	interjú	V	N;NOM;SG
訪談	interjúk	訪談	interjúk	V	N;NOM;PL
訪談	interjú	訪談	interjú	V	N;NOM;SG
噴發	szellőzés	噴發	szellőzés	V	N;NOM;SG
噴發	kitörés	噴發	kitörés	V	N;NOM;SG
噴發	kitörések	噴發	kitörés	V	N;NOM;PL
主觀	szubjektív	主觀	szubjektív	N	
外國	idegenek	外國	ideg	N	V;INDF;IND;PL;3;PRS;FIN;ACT
外國	külföldi	外國	külföldi	N	ADJ;NOM;SG
李	szilva	李	szilva	PROPN	N;NOM;SG
李	szilva	李	szilva	PROPN	N;NOM;SG
福爾摩斯	holmes	福爾摩斯	holmes	PROPN	
野心	ambiciózus	野心	ambiciózus	N	ADJ;NOM;SG
野心	ambíció	野心	ambíció	N	
別墅	villa	別墅	villa	N	
印地安	indiánok	印地安	indián	PROPN	N;NOM;PL
印地安	indiaiak	印地安	indiai	PROPN	N;NOM;PL
顯示	kijelző	顯示	kijelző	V	N;NOM;SG
顯示	megjelenítés	顯示	megjelenítés	V	N;NOM;SG
顯示	megjelenítési	顯示	megjelenítési	V	N;NOM;SG
顯示	monitorok	顯示	monitor	V	N;NOM;PL
顯示	monitor	顯示	monitor	V	N;NOM;SG
有害	ártalmas	有害	ártalmas	N	
有害	káros	有害	káros	N	
銀河	galaxis	銀河	galaxis	PROPN	N;NOM;SG
銀河	galaxy	銀河	galaxy	PROPN	
劍橋	cambridge	劍橋	cambridge	PROPN	N;NOM;SG
詛咒	átok	詛咒	át	V	N;NOM;SG
達拉斯	dallasban	達拉斯	dallas	PROPN	
達拉斯	dallasi	達拉斯	dallasi	PROPN	
達拉斯	dallas	達拉斯	dallas	PROPN	N;NOM;SG
草莓	epres	草莓	epres	V	N;NOM;SG
草莓	eper	草莓	eper	V	N;NOM;SG
草莓	eper	草莓	eper	V	N;NOM;SG
奶奶	nagymama	奶奶	nagymam	N	
補償	kompenzációs	補償	kompenzációs	N	ADJ;NOM;SG
輕微	enyhe	輕微	enyhe	ADJ	
廁	vécé	廁	véc	V	N;NOM;SG
廁	wc	廁	wc	V	N;NOM;SG
廁	fürdő	廁	fürdő	V	N;NOM;SG
廁	mosdó	廁	mosdó	V	N;NOM;SG
廁	fürdőszoba	廁	fürdőszo	V	N;NOM;SG
葉子	yoko	葉子	yoko	N	
激進	radikális	激進	radikális	N	ADJ;NOM;SG
有罪	bűnös	有罪	bűnös	V	
樣式	styles	樣式	styles	N	
遷徙	vándorló	遷徙	vándorló	V	
遷徙	áttérés	遷徙	áttérés	V	N;NOM;SG
遷徙	átállás	遷徙	átállás	V	N;NOM;SG
遷徙	bevándorlás	遷徙	bevándorlás	V	N;NOM;SG
遷徙	migráció	遷徙	migráció	V	N;NOM;SG
抄襲	plágium	抄襲	plágium	V	N;NOM;SG
海倫	helen	海倫	hél	PROPN	N;NOM;SG
螢	ying	螢	ying	N	
讀音	kiejtés	讀音	kiejtés	N	
聖殿	temple	聖殿	temple	N	
多瑙	duna	多瑙	duna	PROPN	
阿爾及利亞	algéria	阿爾及利亞	algéria	PROPN	
騷擾	zaklatás	騷擾	zaklatás	V	N;NOM;SG
騷擾	zaklatás	騷擾	zaklatás	V	N;NOM;SG
攝影	kamera	攝影	kamera	V	N;NOM;SG
攝影	fényképezőgép	攝影	fényképezőgép	V	N;NOM;SG
拜	látogató	拜	látogató	PROPN	ADJ;NOM;SG
拜	látogatás	拜	látogatás	PROPN	N;NOM;SG
拜	látogatóban	拜	látogató	PROPN	N;IN+ESS;SG
皇宮	palace	皇宮	palace	N	
微小	kicsi	微小	kicsi	ADJ	
微小	pici	微小	pici	ADJ	
微小	apró	微小	apró	ADJ	
出版	kiadó	出版	kiadó	V	N;NOM;SG
出版	kiadók	出版	kiadó	V	N;NOM;PL
溫和	gyengéd	溫和	gyengéd	ADJ	
溫和	szelíd	溫和	szelíd	ADJ	
溫和	mérsékelt	溫和	mérsékel	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
溫和	enyhe	溫和	enyhe	ADJ	
公升	literes	公升	literes	V	N;NOM;SG
公升	liter	公升	liter	V	N;NOM;SG
公升	literes	公升	literes	V	N;NOM;SG
公升	liter	公升	liter	V	N;NOM;SG
公升	literes	公升	literes	V	N;NOM;SG
公升	liter	公升	liter	V	N;NOM;SG
相對	relativitás	相對	relativitás	ADJ	N;NOM;SG
對	szemben	對	szemben	ADP	
對	ellentétes	對	ellentétes	ADP	
悼念	tribute	悼念	tribute	V	
悼念	gyász	悼念	gyász	V	N;NOM;SG
辣椒	chili	辣椒	chili	N	
辣椒	pepper	辣椒	pepper	N	
賭場	casino	賭場	casino	N	
賭場	kaszinó	賭場	kaszinó	N	
悲劇	tragikus	悲劇	tragikus	N	
鎖定	zárat	鎖定	zárat	V	N;ACC;SG
鎖定	lakat	鎖定	lakat	V	N;NOM;SG
鎖定	zárva	鎖定	zárva	V	ADV;V.CVB
鎖定	bezárva	鎖定	bezárva	V	ADV;V.CVB
租金	bérelt	租金	bérel	N	
租金	bérli	租金	bérli	N	V;DEF;IND;SG;3;PRS;FIN;ACT
光輝	fénylő	光輝	fénylő	N	
光輝	ragyogó	光輝	ragyogó	N	
喀麥隆	kamerun	喀麥隆	kamerun	PROPN	PROPN;NOM;SG
誤解	félreértés	誤解	félreértés	V	
誤解	félreértések	誤解	félreértés	V	N;NOM;PL
誤解	félreértés	誤解	félreértés	V	
彎曲	ívelt	彎曲	ívelt	N	V;INDF;IND;SG;3;PST;FIN;ACT
溫暖	meleg	溫暖	meleg	N	
溫暖	melegen	溫暖	meleg	N	
溫暖	melegség	溫暖	melegség	N	
解剖	anatómia	解剖	anatómia		N;NOM;SG
解剖	boncolás	解剖	boncolás		N;NOM;SG
解剖	boncolás	解剖	boncolás		N;NOM;SG
解剖	boncolást	解剖	boncolás		N;ACC;SG
神像	gato	神像	gato	N	
手套	mici	手套	mici	N	
你	helló	你	helló	PRO;2	
你	hello	你	héll	PRO;2	
承包	vállalkozók	承包	vállalkozó	V	N;NOM;PL
承包	vállalkozó	承包	vállalkozó	V	N;NOM;SG
方舟	ark	方舟	ark	PROPN	
方舟	bárka	方舟	bárka	PROPN	N;NOM;SG
編譯	válogatás	編譯	válogatás	V	N;NOM;SG
編譯	összeállítás	編譯	összeállítás	V	N;NOM;SG
鉛	vezet	鉛	vezet	N	V;INDF;IND;SG;3;PRS;FIN;ACT
錐	kúp	錐	kúp	N	
界	meghatározni	界	meg+határoz	N	V;NFIN;ACT
界	meghatározó	界	meghatározó	N	ADJ;NOM;SG
日光	napfény	日光	napfény	PROPN	N;NOM;SG
日光	nappal	日光	nap	PROPN	N;INS;SG
馬賽	marseille	馬賽	marseille	PROPN	N;NOM;PL
彈性	hajlékony	彈性	hajlékony	N	
彈性	rugalmas	彈性	rugalmas	N	
彈性	rugalmas	彈性	rugalmas	N	
彈性	flex	彈性	flex	N	
長老	idősebb	長老	idős	N	ADJ;NOM;CMPR;SG
野牛	bivaly	野牛	bivaly	N	
野牛	buffalo	野牛	buffalo	N	
野牛	bison	野牛	bison	N	
盾牌	shield	盾牌	shield	N	
走私	csempészett	走私	csempészett	N	V;INDF;IND;SG;3;PST;FIN;ACT
走私	csempészni	走私	csempész	N	V;NFIN;ACT
戒指	ring	戒指	ring	N	
戒指	gyűrűs	戒指	gyűrűs	N	
酒井	sakai	酒井	sakai	PROPN	
繪圖	rajzol	繪圖	rajzol	N	V;INDF;IND;SG;3;PRS;FIN;ACT
大	mészárlás	大	mészárlás	PART	N;NOM;SG
大	vérfürdő	大	vérfürdő	PART	N;NOM;SG
大	holokauszt	大	holokausz	PART	N;NOM;SG
劫持	emberrablás	劫持	emberrablás	V	N;NOM;SG
劫持	eltérítés	劫持	eltérítés	V	N;NOM;SG
基	talapzatot	基	talapzat	V	
損壞	korrupt	損壞	korrup	N	
損壞	sérült	損壞	sérül	N	V;INDF;IND;SG;3;PST;FIN;ACT
損壞	károsodott	損壞	károsodott	N	V;INDF;IND;SG;3;PST;FIN;ACT
損壞	megsérült	損壞	meg+sérül	N	V;INDF;IND;SG;3;PST;FIN;ACT
損壞	kár	損壞	kár	N	
專長	niche	專長	niche	N	
羅素	russel	羅素	rus	PROPN	
羅素	russell	羅素	russell	PROPN	
基底	szubsztrát	基底	szubsztr	N	
基底	hordozó	基底	hordozó	N	ADJ;NOM;SG
更	korrekció	更	korrekció	ADV	N;NOM;SG
更	javítások	更	javítás	ADV	N;NOM;PL
更	korrekció	更	korrekció	ADV	N;NOM;SG
更	korrekciós	更	korrekciós	ADV	N;NOM;SG
更	kiigazítás	更	kiigazítás	ADV	N;NOM;SG
更	helyesbítés	更	helyesbítés	ADV	N;NOM;SG
更	javítás	更	javítás	ADV	N;NOM;SG
特種	swat	特種	swat	ADJ	
音速	sonic	音速	sonic	N	
叻	lat	叻	lat	PROPN	
密西西比	mississippi	密西西比	mississippi	PROPN	
標語	szlogen	標語	szlogen	N	
摩天	felhőkarcoló	摩天	felhőkarcoló	N	ADJ;NOM;SG
雙	kétoldalú	雙	kétoldalú	NUM	N;NOM;SG
雙	bilaterális	雙	bilaterális	NUM	N;NOM;SG
雙	kétoldalú	雙	kétoldalú	NUM	N;NOM;SG
迷失	lost	迷失	lost	V	
橘子	orange	橘子	orang	N	
橘子	narancssárga	橘子	narancssárga	N	
死亡	mortalitás	死亡	mortalitás	V	N;NOM;SG
歌聲	énekelni	歌聲	énekel	N	V;NFIN;ACT
歌聲	énekel	歌聲	én	N	V;INDF;IND;SG;3;PRS;FIN;ACT
散射	szórás	散射	szórás	V	N;NOM;SG
布加勒斯特	bukarest	布加勒斯特	bukarest	PROPN	
存款	betétek	存款	betét	V	N;NOM;PL
存款	betét	存款	betét	V	N;NOM;SG
存款	letétbe	存款	letét	V	N;IN+ALL;SG
存款	foglaló	存款	foglaló	V	
存款	betétek	存款	betét	V	N;NOM;PL
存款	betét	存款	betét	V	N;NOM;SG
宮廷	palace	宮廷	palace	N	
想象	fantázia	想象	fantázia	N	
祈	ima	祈	ima	V	N;NOM;SG
祈	imádság	祈	imádság	V	N;NOM;SG
祈	ima	祈	ima	V	N;NOM;SG
祈	imát	祈	imát	V	N;ACC;SG
祈	imádság	祈	imádság	V	N;NOM;SG
相容	összeegyeztethető	相容	összeegyeztethető	N	ADJ;NOM;SG
廚師	cook	廚師	cook	N	
廚師	főzni	廚師	főz	N	V;NFIN;ACT
廚師	főz	廚師	főz	N	V;INDF;IND;SG;3;PRS;FIN;ACT
王	koronát	王	korona	PROPN	N;ACC;SG
王	crown	王	crown	PROPN	
王	korona	王	korona	PROPN	N;NOM;SG
營養	táplálkozási	營養	táplálkozási	N	ADJ;NOM;SG
營養	táplálkozási	營養	táplálkozási	N	ADJ;NOM;SG
凝聚	kohézió	凝聚	kohézió	V	N;NOM;SG
凝聚	kohéziós	凝聚	kohéziós	V	N;NOM;SG
探險	kaland	探險	kaland	V	N;NOM;SG
探險	kalandok	探險	kaland	V	N;NOM;PL
探險	expedíció	探險	expedíció	V	N;NOM;SG
所	salamon	所	salamon	N	
所	solomon	所	solom	N	
聲援	szolidaritás	聲援	szolidaritás	V	N;NOM;SG
檢視	megtekintés	檢視	megtekintés	V	N;NOM;SG
檢視	megtekintése	檢視	megtekintés	V	N;NOM;SG
檢視	megtekintés	檢視	megtekintés	V	N;NOM;SG
檢視	kilátás	檢視	kilátás	V	N;NOM;SG
檢視	nézet	檢視	néz	V	N;NOM;SG
大	cselló	大	cselló	PART	N;NOM;SG
加熱	hőség	加熱	hőség	V	N;NOM;SG
加熱	hő	加熱	hő	V	N;NOM;SG
加熱	fűtés	加熱	fűtés	V	N;NOM;SG
加熱	fűtési	加熱	fűtési	V	N;NOM;SG
加熱	fűtés	加熱	fűtés	V	N;NOM;SG
加熱	fűtött	加熱	fűtött	V	
還	visszaállítani	還	visszaállít	ADV	V;NFIN;ACT
還	helyreállítása	還	helyreállítás	ADV	N;NOM;SG
還	visszaállítása	還	visszaállítás	ADV	N;NOM;SG
巴頓	patton	巴頓	patton	PROPN	
華沙	varsó	華沙	varsó	PROPN	N;NOM;SG
壺	fű	壺	fű	N	
壺	füves	壺	füves	N	
電報	telegraph	電報	telegraph	N	
升降	felvonók	升降	felvonó	V	N;NOM;PL
升降	felvonó	升降	felvonó	V	N;NOM;SG
升降	lift	升降	lift	V	N;NOM;SG
升降	felvonó	升降	felvonó	V	N;NOM;SG
機密	bizalmas	機密	bizalmas	N	ADJ;NOM;SG
機密	bizalmasan	機密	bizalmas	N	ADJ;FRML;SG
諾曼	norman	諾曼	norman	PROPN	
散布	szórás	散布	szórás	V	N;NOM;SG
斐濟	fidzsi	斐濟	fidzsi	PROPN	
潛在	potenciális	潛在	potenciális	V	
潛在	lehetséges	潛在	lehetséges	V	ADJ;NOM;SG
潛在	potenciál	潛在	potenciál	V	N;NOM;SG
潛在	lehetőség	潛在	lehetőség	V	N;NOM;SG
呼叫	hívás	呼叫	hívás	V	N;NOM;SG
呼叫	hívás	呼叫	hívás	V	N;NOM;SG
嵌	beágyazott	嵌	be+ágyaz	V	N;NOM;SG
嵌	beágyazás	嵌	beágyazás	V	N;NOM;SG
出血	vérzés	出血	vérzés	V	N;NOM;SG
出血	vérzés	出血	vérzés	V	N;NOM;SG
烤	süss	烤	süss	V	
烤	sült	烤	sült	V	N;NOM;SG
口腔	szád	口腔	szád	N	V;DEF;IND;SG;1;PRS;FIN;ACT
港灣	harbor	港灣	harbor	PROPN	N;NOM;SG
港灣	kikötő	港灣	kikötő	PROPN	N;NOM;SG
港灣	harbour	港灣	harbour	PROPN	
牽引	vontató	牽引	vontató	V	N;NOM;SG
滑翔	glide	滑翔	glide	N	
左邊	bal	左邊	bal	N	
左邊	balra	左邊	balra	N	
絕望	kétségbeesett	絕望	kétségbeesett	N	V;INDF;IND;SG;3;PST;FIN;ACT
摩納哥	monaco	摩納哥	monaco	PROPN	
格言	maxim	格言	maxim	N	
甘肅	gansu	甘肅	gansu	PROPN	PROPN;NOM;SG
敵對	ellenséges	敵對	ellenséges	V	ADJ;NOM;SG
敵對	ellenség	敵對	ellenség	V	N;NOM;SG
出處	eredetű	出處	eredetű	V	
出處	eredet	出處	eredet	V	N;NOM;SG
出處	eredete	出處	eredet	V	N;NOM;SG
出處	származás	出處	származás	V	N;NOM;SG
電磁	elektromágneses	電磁	elektromágneses	N	ADJ;NOM;SG
金子	arany	金子	arany	PROPN	
贏	win	贏	win	V	
贏	győzelem	贏	győzelem	V	N;NOM;SG
開除	elbocsátás	開除	elbocsátás	V	N;NOM;SG
持久	tartós	持久	tartós	V	
持久	tartós	持久	tartós	V	
持久	maradandó	持久	maradandó	V	
永久	állandóság	永久	állandóság	ADJ	N;NOM;SG
捐助	adományok	捐助	adomány	V	N;NOM;PL
捐助	adományokat	捐助	adomány	V	N;ACC;PL
捐助	adomány	捐助	adomány	V	N;NOM;SG
山茶	camellia	山茶	camellia	N	
東正	ortodox	東正	ortodox	PROPN	N;NOM;SG
燕子	lenyelni	燕子	lenyel	PROPN	V;NFIN;ACT
燕子	fecskék	燕子	fecskék	PROPN	N;NOM;PL
鄰居	szomszéd	鄰居	szomszéd	N	
橢	ovális	橢	ovális	N	
橢	ellipszis	橢	ellipszis	N	
橢	elliptikus	橢	elliptikus	N	ADJ;NOM;SG
追逐	törekvés	追逐	törekvés	V	N;NOM;SG
追逐	üldözés	追逐	üldözés	V	N;NOM;SG
追逐	hajsza	追逐	hajszú	V	N;NOM;SG
追逐	üldözés	追逐	üldözés	V	N;NOM;SG
追逐	chase	追逐	chase	V	
君士坦丁	constantine	君士坦丁	constantine	PROPN	N;NOM;SG
天然	benzin	天然	benzin	ADJ	N;NOM;SG
天然	gáz	天然	gáz	ADJ	N;NOM;SG
方塊	kocka	方塊	kocka	N	
方塊	square	方塊	sóuar	N	
方塊	szögletes	方塊	szögletes	N	
方塊	négyzetes	方塊	négyzetes	N	ADJ;NOM;SG
方塊	négyzet	方塊	négyzet	N	
均衡	kiegyensúlyozott	均衡	kiegyensúlyozott	N	V;INDF;IND;SG;3;PST;FIN;ACT
掃	söpörni	掃	söpör		V;NFIN;ACT
藏	tibeti	藏	tibet	PROPN	
省長	kormányzó	省長	kormányzó	N	ADJ;NOM;SG
粗糙	durván	粗糙	durván	N	
粗糙	durva	粗糙	durva	N	
粗糙	kemény	粗糙	kemény	N	
粗糙	durva	粗糙	durva	N	
激情	szenvedélyes	激情	szenvedélyes	N	ADJ;NOM;SG
激情	szenvedélyesen	激情	szenvedélyes	N	ADJ;FRML;SG
珍貴	értékes	珍貴	értékes	N	
珍貴	drága	珍貴	drága	N	
嚴厲	kíméletlen	嚴厲	kíméletlen	N	
嚴厲	durva	嚴厲	durva	N	
長春	csangcsun	長春	csangcsun	PROPN	
俄亥俄	ohio	俄亥俄	ohio	PROPN	
獅子	leo	獅子	leo	N	
約瑟	joseph	約瑟	joseph	PROPN	
約瑟	józsef	約瑟	józsef	PROPN	
愛心	gondoskodó	愛心	gondoskodó	N	ADJ;NOM;SG
約旦	jordán	約旦	jorda	PROPN	
約旦	jordan	約旦	jordan	PROPN	
昨天	tegnapi	昨天	tegnapi	N	
昨天	tegnap	昨天	tegnap	N	
佛法	dharma	佛法	dharma	N	
詳情	részletes	詳情	részletes	N	ADJ;NOM;SG
交配	haver	交配	haver	V	N;NOM;SG
交配	mate	交配	mate	V	
交配	párzási	交配	párzási	V	N;NOM;SG
小川	ogawa	小川	ogawa	PROPN	
冰球	hoki	冰球	hoki	N	
漢	szöul	漢	szöul	PROPN	N;NOM;SG
漢	szöulban	漢	szöul	PROPN	N;IN+ESS;SG
酸性	savas	酸性	savas	N	
酸性	lsd	酸性	lsd	N	
酸性	savas	酸性	savas	N	
展望	elképzelés	展望	elképzelés	N	
多明尼加	dominikai	多明尼加	dominikai	PROPN	
抬	emelés	抬	emelés	ADP	N;NOM;SG
可	hihető	可	hihető	V	
可	hiteles	可	hiteles	V	ADJ;NOM;SG
歐文	owen	歐文	owen	PROPN	
歐文	irving	歐文	irving	PROPN	
俄	orosz	俄	orosz	PROPN	
俄	oroszul	俄	orosz	PROPN	
俄	oroszország	俄	oroszország	PROPN	N;NOM;SG
反駁	cáfolat	反駁	cáfolat	V	N;NOM;SG
前景	prospect	前景	prospect	N	
妄想	paranoid	妄想	paranoid	N	
妄想	paranoiás	妄想	paranoiás	N	
妄想	téveszmés	妄想	téveszmés	N	
成年	felnőtt	成年	felnőtt	V	
成年	nagykorú	成年	nagykorú	V	
成年	felnőtt	成年	felnőtt	V	
成年	felnőtteknek	成年	felnőtt	V	N;DAT;PL
成年	felnőttek	成年	felnőt	V	N;NOM;PL
冬青	holly	冬青	holly	PROPN	
空前	példátlan	空前	példátlan	N	ADJ;NOM;SG
大炮	cannon	大炮	cannon	N	
明智	bölcs	明智	bölcs	N	
抽籤	sorsolás	抽籤	sorsolás	V	N;NOM;SG
抽籤	döntetlen	抽籤	döntetlen	V	N;NOM;SG
聖人	saint	聖人	saint	N	
聖人	szent	聖人	szent	N	
阿瑟	artúr	阿瑟	artúr	PROPN	
阿瑟	arthur	阿瑟	arthur	PROPN	
捕獲	elfogni	捕獲	elfog	V	
聽眾	hallgató	聽眾	hallgató	N	
居所	lakóhely	居所	lakóhely	N	
思維	gondolkodik	思維	gondolkodik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
思維	gondolkodom	思維	gondolkodik	N	V;INDF;IND;SG;1;PRS;FIN;ACT
思維	gondolkodó	思維	gondolkodó	N	
計程	taxival	計程	taxival	N	
布魯塞爾	brüsszelben	布魯塞爾	brüsszel	PROPN	N;IN+ESS;SG
布魯塞爾	brüsszeli	布魯塞爾	brüsszeli	PROPN	ADJ;NOM;SG
布魯塞爾	brüsszel	布魯塞爾	brüsszel	PROPN	N;NOM;SG
歸還	kárpótlás	歸還	kárpótlás	V	N;NOM;SG
失業	munkanélküli	失業	munkanélküli	V	
失業	munkanélküliek	失業	munkanélküli	V	N;NOM;PL
