bmw	bmw	bmw	bmw	N;INDF;MASC+FEM;SG	PROPN;NOM
cape	kap	cape	kopmen	N;INDF;MASC+FEM;SG	
cape	kapstadt	cape	kapstadt	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
tempel	tempels	tempel	tempels	N;INDF;NEUT;SG	
tempel	tempel	tempel	tempel	N;INDF;NEUT;SG	
ordrer	aufträge	ordre	aufträg	N;INDF;MASC+FEM;PL	ADJ
ordrer	befehle	ordre	befehlen	N;INDF;MASC+FEM;PL	
soundtrack	soundtrack	soundtrack	soundtrack	N;INDF;NEUT;SG	PROPN
hovedkontor	hauptsitz	hovedkontor	hauptsitz	N;INDF;NEUT;SG	V;V.PTCP
hovedkontor	zentrale	hovedkontor	zentral	N;INDF;NEUT;SG	ADJ;NOM;FEM;PL
hovedkontor	hauptquartier	hovedkontor	hauptquartier	N;INDF;NEUT;SG	
hovedkontor	firmensitz	hovedkontor	firmensitz	N;INDF;NEUT;SG	ADV
camilla	camilla	camilla	camilla		PROPN;NOM;SG
magiske	magie	magisk	magie	ADJ;PL	
magiske	magic	magisk	magic	ADJ;PL	
magiske	magisches	magisk	magisch	ADJ;PL	ADJ;NOM;NEUT;SG
karin	karin	karin	karin		PROPN;NOM;FEM;SG
granit	granit	granit	granit	N;INDF;NEUT;SG	
forenet	unified	forenet	unified	V;INDF;SG;PST;V.PTCP	PROPN;NOM;SG
forenet	einheitlich	forenet	einheitlich	V;INDF;SG;PST;V.PTCP	ADJ
forenet	einheitlichen	forenet	einheitlich	V;INDF;SG;PST;V.PTCP	ADJ
forenet	einheitliche	forenet	einheitlich	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL
forenet	vereinigten	forenet	vereinigen	V;INDF;SG;PST;V.PTCP	ADJ;PL
forenet	united	forenet	united	V;INDF;SG;PST;V.PTCP	
forenet	vereinigtes	forenet	vereinigt	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
møn	møn	møn	møn		
velhavende	reichen	velhavende	reichen	ADJ	V;NFIN
delta	delta	delta	delta		
sen	late	sen	late	ADJ;INDF;MASC+FEM;SG	PROPN
sen	späte	sen	spät	ADJ;INDF;MASC+FEM;SG	
sen	sen	sen	sen	ADJ;INDF;MASC+FEM;SG	
streng	strenge	streng	streng	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
streng	zeichenketten	streng	zeichenkett	ADJ;INDF;MASC+FEM;SG	N;NOM;FEM;PL
streng	string	streng	stringen	ADJ;INDF;MASC+FEM;SG	PROPN
tunnel	tunnel	tunnel	tunnel	N;INDF;MASC+FEM;SG	
tunnel	tunneln	tunnel	tunneln	N;INDF;MASC+FEM;SG	
tunnel	tunnels	tunnel	tunnels	N;INDF;MASC+FEM;SG	ADV
opfyldt	met	opfylde	met	V;INDF;SG;PST;V.PTCP	
rolf	ralph	rolf	ralph		PROPN;SG
rolf	rolf	rolf	rolf		PROPN;NOM;MASC;SG
val	val	vælle	val	N;INDF;MASC+FEM;SG	PROPN;SG
tina	tina	tina	tina		PROPN;NOM;MASC;SG
ulla	ulla	ulla	ulla		PROPN;NOM;FEM;SG
ronald	ronald	ronald	ronald		PROPN;NOM;MASC;SG
ronald	steffen	ronald	steffen		PROPN
nøgle	taste	nøgen	tasten	N;INDF;MASC+FEM;SG	
nøgle	schlüssel	nøgen	schlüssel	N;INDF;MASC+FEM;SG	ADJ
nøgle	key	nøgen	key	N;INDF;MASC+FEM;SG	
kopier	copy	kopie	copy	N;INDF;MASC+FEM;PL	
kopier	abschrift	kopie	abschreifen	N;INDF;MASC+FEM;PL	V;IND;SG;3;PRS;FIN
kopier	kopie	kopie	kopie	N;INDF;MASC+FEM;PL	
kopier	kopieren	kopie	kopieren	N;INDF;MASC+FEM;PL	V;NFIN
kopier	exemplare	kopie	exemplar	N;INDF;MASC+FEM;PL	ADJ
kopier	kopie	kopie	kopie	N;INDF;MASC+FEM;PL	
vegas	vegas	vegas	vegas		PROPN;NOM;MASC;SG
tillid	selbstvertrauen	tillid	selbstvertrauen	N;INDF;MASC+FEM;SG	V;NFIN
tillid	vertrauen	tillid	vertrauen	N;INDF;MASC+FEM;SG	V;NFIN
tillid	zuversicht	tillid	zuversicht	N;INDF;MASC+FEM;SG	PROPN
tillid	trust	tillid	trusen	N;INDF;MASC+FEM;SG	PROPN
tillid	trauen	tillid	trau	N;INDF;MASC+FEM;SG	V;NFIN
tillid	vertrauen	tillid	vertrauen	N;INDF;MASC+FEM;SG	V;NFIN
tillid	vertraue	tillid	vertrauen	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
winther	winther	winther	winther		
bundesliga	bundesliga	bundesliga	bundesliga	N;INDF;MASC+FEM;SG	ADJ
elo	elo	elo	elo		
johansson	johansson	johansson	johansson	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
fylder	abfüllung	fylde	abfüllung	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
fylder	füllung	fylde	füllung	V;IND;PRS;FIN;ACT	N;SG
fortolkning	interpretation	fortolkning	interpretation	N;INDF;MASC+FEM;SG	ADJ
fortolkning	dolmetschen	fortolkning	dolmetsch	N;INDF;MASC+FEM;SG	V;NFIN
fortolkning	auslegung	fortolkning	auslegung	N;INDF;MASC+FEM;SG	ADV
nintendo	nintendo	nintendo	nintendo		ADJ
søstre	sisters	søster	sisters	N;INDF;MASC+FEM;PL	PROPN;NOM;SG
svampe	pilzen	svampe	pilzen	N;INDF;MASC+FEM;PL	V;NFIN
svampe	champignons	svampe	champignons	N;INDF;MASC+FEM;PL	PROPN
svampe	pilze	svampe	pilz	N;INDF;MASC+FEM;PL	
svampe	pilzen	svampe	pilzen	N;INDF;MASC+FEM;PL	V;NFIN
svampe	pilz	svampe	pilz	N;INDF;MASC+FEM;PL	
svampe	pilze	svampe	pilz	N;INDF;MASC+FEM;PL	
svampe	pilzen	svampe	pilzen	N;INDF;MASC+FEM;PL	V;NFIN
svampe	pilze	svampe	pilz	N;INDF;MASC+FEM;PL	
svampe	schwämme	svampe	schwamm	N;INDF;MASC+FEM;PL	ADJ;NOM;FEM;PL
vancouver	vancouver	vancouver	vancouver	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
benz	benz	benz	benz		
points	punkten	points	punken		N;NOM;MASC;PL
points	punkte	points	punken		N;NOM;MASC;PL
anholdt	festnahme	anholde	festnahm	V;INDF;SG;PST;V.PTCP	N;NOM;FEM;SG
brændstof	heizöl	brændstof	heizöl	N;INDF;NEUT;SG	
brændstof	brennstoff	brændstof	brennstoff	N;INDF;NEUT;SG	ADJ
brændstof	kraftstoff	brændstof	kraftstoff	N;INDF;NEUT;SG	ADJ
brændstof	treibstoff	brændstof	treibstoff	N;INDF;NEUT;SG	ADJ
brændstof	brennstoffe	brændstof	brennstoff	N;INDF;NEUT;SG	
brændstof	treibstoff	brændstof	treibstoff	N;INDF;NEUT;SG	ADJ
brændstof	kraftstoffe	brændstof	kraftstoff	N;INDF;NEUT;SG	N;NOM;FEM;PL
brændstof	brennstoff	brændstof	brennstoff	N;INDF;NEUT;SG	ADJ
brændstof	treibstoffe	brændstof	treibstoff	N;INDF;NEUT;SG	N;NOM;FEM;PL
brændstof	brennstoffe	brændstof	brennstoff	N;INDF;NEUT;SG	
sandheden	wahrheit	sandhed	wahrheit	N;DEF;MASC+FEM;SG	
sandheden	wahrheiten	sandhed	wahrheiten	N;DEF;MASC+FEM;SG	V;NFIN
speciale	speciale	speciale	special	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
speciale	spezialitäten	speciale	spezialität	N;INDF;NEUT;SG	V;NFIN
speciale	spezialität	speciale	spezialität	N;INDF;NEUT;SG	ADJ
speciale	fachgebiet	speciale	fachgebieten	N;INDF;NEUT;SG	ADJ
speciale	spezialgebiet	speciale	spezialgebiet	N;INDF;NEUT;SG	ADJ
midte	inmitten	midte	inmitten	N;INDF;MASC+FEM;SG	ADV
midte	mittendrin	midte	mittendrin	N;INDF;MASC+FEM;SG	ADJ
løsninger	lösungen	løsning	lösungen	N;INDF;MASC+FEM;PL	V;NFIN
effektive	effizientes	effektiv	effizient	ADJ;PL	ADJ;NOM;NEUT;SG
effektive	effiziente	effektiv	effizient	ADJ;PL	ADJ;NOM;SG
flyvende	fliegen	flyvende	fliegen	ADJ	V;NFIN
forbrydelser	straftaten	forbrydelse	straftat	N;INDF;MASC+FEM;PL	V;NFIN
forbrydelser	verbrechen	forbrydelse	verbrechen	N;INDF;MASC+FEM;PL	V;NFIN
forbrydelser	kriminalität	forbrydelse	kriminalität	N;INDF;MASC+FEM;PL	ADJ
forbrydelser	verbrechens	forbrydelse	verbrechens	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
forbrydelser	verbrechen	forbrydelse	verbrechen	N;INDF;MASC+FEM;PL	V;NFIN
forbrydelser	straftat	forbrydelse	strafta	N;INDF;MASC+FEM;PL	PROPN
undervisningen	unterricht	undervisning	unterrichten	N;DEF;MASC+FEM;SG	
undervisningen	lehren	undervisning	lehren	N;DEF;MASC+FEM;SG	V;NFIN
undervisningen	unterrichten	undervisning	unterrichten	N;DEF;MASC+FEM;SG	V;NFIN
normer	normen	norm	normen	N;INDF;MASC+FEM;PL	V;NFIN
normer	normen	norm	normen	N;INDF;MASC+FEM;PL	V;NFIN
heiberg	heiberg	heiberg	heiberg	N;INDF;MASC+FEM;SG	PROPN
forbedringer	verbesserungen	forbedring	verberseringen	N;INDF;MASC+FEM;PL	V
forbedringer	verbesserung	forbedring	verbesserung	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
forbedringer	besserung	forbedring	besserung	N;INDF;MASC+FEM;PL	ADJ
forbedringer	verbesserungen	forbedring	verberseringen	N;INDF;MASC+FEM;PL	V
forbedringer	verbesserung	forbedring	verbesserung	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
sind	verstand	sind	verstehen	N;INDF;NEUT;SG	
sind	mind	sind	mind	N;INDF;NEUT;SG	
sind	geist	sind	geisen	N;INDF;NEUT;SG	
sind	verstand	sind	verstehen	N;INDF;NEUT;SG	
sind	gedanken	sind	panken	N;INDF;NEUT;SG	V;NFIN
sind	köpfe	sind	köpfen	N;INDF;NEUT;SG	N;NOM;MASC;PL
brune	brown	brune	brown	ADJ;PL	PROPN
falske	fälschen	falsk	fälschen	ADJ;PL	V;NFIN
falske	fälschungen	falsk	fälschungen	ADJ;PL	V;NFIN
falske	gefälscht	falsk	fälschen	ADJ;PL	V;V.PTCP
falske	false	falsk	falsen	ADJ;PL	PROPN
falske	falsches	falsk	falsch	ADJ;PL	ADJ;NOM;NEUT;SG
falske	täuscht	falsk	täuscht	ADJ;PL	V;IND;SG;3;PRS;FIN
falske	fälschungen	falsk	fälschungen	ADJ;PL	V;NFIN
falske	gefälscht	falsk	fälschen	ADJ;PL	V;V.PTCP
falske	fake	falsk	faklen	ADJ;PL	
båret	erschöpft	bære	erschöpfen	V;INDF;SG;PST;V.PTCP	ADJ;V.PTCP
båret	getragene	bære	getragen	V;INDF;SG;PST;V.PTCP	ADJ;NOM
etaper	phase	etape	phase	N;INDF;MASC+FEM;PL	
etaper	etappen	etape	etapp	N;INDF;MASC+FEM;PL	V;NFIN
etaper	phasen	etape	phasen	N;INDF;MASC+FEM;PL	V;NFIN
etaper	stufen	etape	stufen	N;INDF;MASC+FEM;PL	V;NFIN
etaper	stadien	etape	stadienienen	N;INDF;MASC+FEM;PL	
etaper	etappen	etape	etapp	N;INDF;MASC+FEM;PL	V;NFIN
etaper	phasen	etape	phasen	N;INDF;MASC+FEM;PL	V;NFIN
industrien	wirtschaft	industri	wirtschaft	N;DEF;MASC+FEM;SG	
industrien	branchen	industri	branchen	N;DEF;MASC+FEM;SG	N;PL
rør	touch	røre	touch	V;IMP	
rør	berührung	røre	berührung	V;IMP	ADJ
rør	pipe	røre	pipe	V;IMP	
rør	rohre	røre	rohren	V;IMP	
rør	pfeife	røre	pfeif	V;IMP	
rør	röhre	røre	röhren	V;IMP	
rør	rohr	røre	Rohr	V;IMP	
rør	tube	røre	tuben	V;IMP	
rør	schlauch	røre	schlauchen	V;IMP	
rør	röhre	røre	röhren	V;IMP	
rør	rohre	røre	rohren	V;IMP	
rør	schläuche	røre	schläuch	V;IMP	ADJ;NOM;FEM;PL
rør	hülsen	røre	hülsen	V;IMP	N
rør	röhre	røre	röhren	V;IMP	
rør	rohre	røre	rohren	V;IMP	
rør	leitungen	røre	leitung	V;IMP	N;NOM;FEM;PL
rør	rohrleitungen	røre	rohrleitung	V;IMP	N;NOM;FEM;PL
valuta	bargeld	valuta	bargeld	N;INDF;MASC+FEM;SG	ADJ
valuta	währungen	valuta	währung	N;INDF;MASC+FEM;SG	N;NOM;PL
nomineringer	kandidaturen	nominering	kandidaturen	N;INDF;MASC+FEM;PL	V;NFIN
dialog	dialoge	dialog	dialog	N;INDF;MASC+FEM;SG	ADJ
dialog	dialog	dialog	dialog	N;INDF;MASC+FEM;SG	
dialog	dialoge	dialog	dialog	N;INDF;MASC+FEM;SG	ADJ
dialog	dialog	dialog	dialog	N;INDF;MASC+FEM;SG	
kapital	hauptstadt	kapital	hauptstadt	N;INDF;NEUT;SG	ADJ
kapital	kapital	kapital	kapital	N;INDF;NEUT;SG	
orleans	orleans	orlean	orleans		PROPN;NOM;NEUT;SG
orleans	orléans	orlean	orléans		PROPN;NOM;MASC;SG
sean	sean	sean	sean		PROPN;NOM;MASC;SG
cruz	cruz	cruz	cruz		PROPN
dokumentation	dokumentationen	dokumentation	dokumentationen	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
dokumentation	unterlagen	dokumentation	unterliegen	N;INDF;MASC+FEM;SG	V;V.PTCP
dokumentation	informationsmaterial	dokumentation	informationsmaterial	N;INDF;MASC+FEM;SG	ADJ
hal	hai	hal	hai		
hal	hal	hal	hal		PROPN;NOM;SG
hal	halle	hal	hallen		
hal	eingangshalle	hal	eingangshall		ADJ;NOM;FEM;SG
hal	flur	hal	flur		
hal	hall	hal	hall		
hal	saal	hal	saalen		ADV
krateret	mondkrater	kratere	mondkrater	N;DEF;NEUT;SG	ADJ
krateret	kraters	kratere	kraters	N;DEF;NEUT;SG	ADV
krateret	krater	kratere	krat	N;DEF;NEUT;SG	ADJ
dømte	verurteilte	dømme	verurteilen	V;PL;PST;V.PTCP	V;IND;SG;3;PST;FIN
dømte	verurteilte	dømme	verurteilen	V;PL;PST;V.PTCP	V;IND;SG;3;PST;FIN
dømte	verurteilte	dømme	verurteilen	V;PL;PST;V.PTCP	V;IND;SG;3;PST;FIN
årgang	jahrgang	årgang	jahrgang	N;INDF;MASC+FEM;SG	
årgang	vintage	årgang	vintage	N;INDF;MASC+FEM;SG	
årgang	altmodisch	årgang	altmodisch	N;INDF;MASC+FEM;SG	ADJ
årgang	oldtimer	årgang	oldtim	N;INDF;MASC+FEM;SG	ADJ
årgang	klassisch	årgang	klassisch	N;INDF;MASC+FEM;SG	ADJ
thorvald	thorvald	thorvald	thorvald		PROPN;NOM;SG
phoenix	phönix	phoenix	phönix		
phoenix	phoenix	phoenix	phoenix		PROPN;NOM;SG
besøger	besuch	besøge	besuchen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PST;FIN
etnisk	ethnischen	etnisk	ethnisch	ADJ;INDF;SG	ADJ;PL
etnisk	ethnische	etnisk	ethnisch	ADJ;INDF;SG	ADJ;NOM;FEM;PL
skjulte	verborgene	skjule	verborgen	V;PL;PST;V.PTCP	ADJ;NOM;FEM;SG
skjulte	versteckte	skjule	verstecken	V;PL;PST;V.PTCP	V;IND;SG;3;PST;FIN
skjulte	verborgen	skjule	verborgen	V;PL;PST;V.PTCP	ADJ
skjulte	versteckt	skjule	verstecken	V;PL;PST;V.PTCP	ADJ
skjulte	versteckte	skjule	verstecken	V;PL;PST;V.PTCP	V;IND;SG;3;PST;FIN
skjulte	versteckt	skjule	verstecken	V;PL;PST;V.PTCP	ADJ
hat	hüte	hat	hüt	N;INDF;MASC+FEM;SG	N;NOM;PL
hat	hat	hat	haben	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
kassel	kassel	kassel	kassel		PROPN;NOM;SG
historia	historia	historia	historia	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
randy	randy	randy	randy	PROPN	PROPN;NOM;MASC;SG
reklamer	werbung	reklame	werbung	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
reklamer	werbeagentur	reklame	werbeagentur	N;INDF;MASC+FEM;PL	ADJ
reklamer	werbemittel	reklame	werbemittel	N;INDF;MASC+FEM;PL	ADJ
reklamer	werbung	reklame	werbung	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
reklamer	werbeanzeigen	reklame	werbeanzeigen	N;INDF;MASC+FEM;PL	V;V.PTCP
reklamer	kleinanzeigen	reklame	kleinanzeigen	N;INDF;MASC+FEM;PL	V;V.PTCP
reklamer	anzeigen	reklame	anzeigen	N;INDF;MASC+FEM;PL	V;NFIN
forbedrede	verbesserte	forbedre	verbessern	V;PL;PST;V.PTCP	V;IND;SG;3;PST;FIN
forbedrede	verbesserung	forbedre	verbesserung	V;PL;PST;V.PTCP	N;NOM;FEM;SG
jessen	jessen	jesse	jessen	N;DEF;MASC+FEM;SG	
aaron	harun	aaron	harun		PROPN;NOM;MASC;SG
aaron	aaron	aaron	aaron		PROPN;NOM;MASC;SG
clemens	clemens	cleme	clemens	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
flyder	schwimmende	flyde	schwimmend	V;IND;PRS;FIN;ACT	ADJ;NOM;FEM;PL
flyder	schwebe	flyde	schweben	V;IND;PRS;FIN;ACT	ADJ;SG
flyder	ströme	flyde	ström	V;IND;PRS;FIN;ACT	
flyder	fließend	flyde	fließend	V;IND;PRS;FIN;ACT	ADJ
flyder	fließenden	flyde	fließend	V;IND;PRS;FIN;ACT	V;IND;PL;3;PST;FIN
mekanisk	mechanisch	mekanisk	mechanisch	ADV	ADJ
mekanisk	mechanisch	mekanisk	mechanisch	ADV	ADJ
mekanisk	mechanisches	mekanisk	mechanisch	ADV	ADJ;NOM;NEUT;SG
mekanisk	maschinenbau	mekanisk	maschinenbau	ADV	ADJ
mekanisk	mechanischen	mekanisk	mechanisch	ADV	ADJ
mekanisk	mechanische	mekanisk	mechanisch	ADV	ADJ;NOM;FEM;PL
miami	miami	miami	miami		PROPN;NOM;MASC;SG
forvaltning	geschäftsleitung	forvaltning	geschäftsleitung	N;INDF;MASC+FEM;SG	ADJ
forvaltning	management	forvaltning	management	N;INDF;MASC+FEM;SG	ADJ
forvaltning	verwaltung	forvaltning	verwaltung	N;INDF;MASC+FEM;SG	ADJ
forvaltning	verwaltung	forvaltning	verwaltung	N;INDF;MASC+FEM;SG	ADJ
forvaltning	governance	forvaltning	governance	N;INDF;MASC+FEM;SG	
forvaltning	steuerung	forvaltning	steuerung	N;INDF;MASC+FEM;SG	ADJ
aus	aus	aus	aus		ADP
curling	curling	curling	curling	N;INDF;MASC+FEM;SG	
involverede	beteiligte	involvere	beteiligen	V;PL;PST;V.PTCP	V;IND;SG;3;PST;FIN
involverede	involviert	involvere	involvieren	V;PL;PST;V.PTCP	ADJ;V.PTCP
involverede	beteiligt	involvere	beteiligen	V;PL;PST;V.PTCP	ADJ;V.PTCP
fogh	fogh	fogh	fogh	PROPN	PROPN;NOM;MASC;SG
tegne	unentschieden	tegne	unentschieden	V;NFIN;ACT	ADJ
tegne	verlosung	tegne	verlosung	V;NFIN;ACT	N;SG
tegne	zeichnung	tegne	zeichnung	V;NFIN;ACT	N;NOM;FEM;SG
kontorer	niederlassungen	kontor	niederlassingen	N;INDF;MASC+FEM;PL	V;NFIN
kontorer	büro	kontor	büro	N;INDF;MASC+FEM;PL	
kontorer	büroräume	kontor	büroräum	N;INDF;MASC+FEM;PL	ADJ;NOM;PL
kontorer	büros	kontor	büros	N;INDF;MASC+FEM;PL	
besøge	besuche	besøge	besuchen	V;NFIN;ACT	
besøge	besichtigung	besøge	Besichtigung	V;NFIN;ACT	N;NOM;FEM;SG
introduktion	vorstellung	introduktion	vorstellung	N;INDF;MASC+FEM;SG	ADJ;SG
introduktion	intro	introduktion	intro	N;INDF;MASC+FEM;SG	
forstærkninger	verstärkung	forstærkning	verstärkung	N;INDF;MASC+FEM;PL	ADJ
forstærkninger	stärkung	forstærkning	stärkung	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
cello	cello	cello	cello	N;INDF;MASC+FEM;SG	
territorier	gebieten	territori	gebieten	N;INDF;MASC+FEM;PL	V;NFIN
territorier	gebiete	territori	gebieten	N;INDF;MASC+FEM;PL	
territorier	territorium	territori	territorium	N;INDF;MASC+FEM;PL	ADJ
svag	schwache	svag	schwach	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
løve	löwen	løve	löwen	N;INDF;MASC+FEM;SG	
løve	löwe	løve	löwe	N;INDF;MASC+FEM;SG	
løve	lion	løve	lion	N;INDF;MASC+FEM;SG	
sejler	segeln	sejle	segeln	V;IND;PRS;FIN;ACT	
sejler	segelboot	sejle	segelboot	V;IND;PRS;FIN;ACT	
roma	roma	roma	roma		PROPN
hebraisk	hebräische	hebraisk	hebräisch	ADJ;INDF;SG	ADJ;NOM;FEM;PL
operationen	betrieb	operation	betreiben	N;DEF;MASC+FEM;SG	V;IND;SG;3;PST;FIN
operationen	arbeitsweise	operation	arbeitsweise	N;DEF;MASC+FEM;SG	ADV
operationen	operation	operation	operation	N;DEF;MASC+FEM;SG	
aftaler	angebote	aftale	angebit	N;INDF;MASC+FEM;PL	ADJ;NOM;PL
aftaler	deals	aftale	deals	N;INDF;MASC+FEM;PL	
aftaler	aufträge	aftale	aufträg	N;INDF;MASC+FEM;PL	ADJ
aftaler	termine	aftale	termin	N;INDF;MASC+FEM;PL	
aftaler	abkommen	aftale	abkommen	N;INDF;MASC+FEM;PL	V;NFIN
aftaler	übereinkünfte	aftale	übereinkunft	N;INDF;MASC+FEM;PL	ADJ;SG
aftaler	vereinbarungen	aftale	vereinbarung	N;INDF;MASC+FEM;PL	V;NFIN
ehf	ehf	ehf	ehf	PROPN	PROPN;NOM;SG
spænding	begeisterung	spænding	begeisterung	N;INDF;MASC+FEM;SG	ADJ
spænding	aufregung	spænding	aufregung	N;INDF;MASC+FEM;SG	ADJ
spænding	erregung	spænding	erregung	N;INDF;MASC+FEM;SG	
spænding	spannung	spænding	spannung	N;INDF;MASC+FEM;SG	
spænding	nervenkitzel	spænding	nervenkitzel	N;INDF;MASC+FEM;SG	
spænding	spannungen	spænding	spannungen	N;INDF;MASC+FEM;SG	V;NFIN
spænding	spannung	spænding	spannung	N;INDF;MASC+FEM;SG	
spænding	spannung	spænding	spannung	N;INDF;MASC+FEM;SG	
spænding	spannung	spænding	spannung	N;INDF;MASC+FEM;SG	
kontrakten	arbeitsvertrag	kontrakt	arbeitsvertrag	N;DEF;MASC+FEM;SG	ADJ
kontrakten	vertrag	kontrakt	vertragen	N;DEF;MASC+FEM;SG	V;IND;SG;3;PST;FIN
lloyd	lloyd	lloyd	lloyd		PROPN;NOM;MASC;SG
planlægning	terminplan	planlægning	terminplan	N;INDF;MASC+FEM;SG	ADJ
planlægning	planen	planlægning	planen	N;INDF;MASC+FEM;SG	V;NFIN
planlægning	planung	planlægning	planung	N;INDF;MASC+FEM;SG	ADJ
planlægning	zeitplan	planlægning	zeitplan	N;INDF;MASC+FEM;SG	ADJ
planlægning	planen	planlægning	planen	N;INDF;MASC+FEM;SG	V;NFIN
planlægning	planungen	planlægning	planung	N;INDF;MASC+FEM;SG	V;NFIN
planlægning	planung	planlægning	planung	N;INDF;MASC+FEM;SG	ADJ
planlægning	stadtplanung	planlægning	stadtplanung	N;INDF;MASC+FEM;SG	PROPN;SG
planlægning	programmplanung	planlægning	programmplanung	N;INDF;MASC+FEM;SG	ADJ
planlægning	programmieren	planlægning	programmieren	N;INDF;MASC+FEM;SG	V;NFIN
planlægning	planung	planlægning	planung	N;INDF;MASC+FEM;SG	ADJ
planlægning	programmiersprachen	planlægning	programmiersprachen	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
