the	do	the	do	DET;DEF	PROPN
november	de	november	de	PROPN;SG	ADP
please	por	please	por	INTJ	ADP
please	favor	please	favor	INTJ	N
following	seguintes	follow	seguinte	V;V.MSDR	ADJ
following	seguinte	follow	seguinte	V;V.MSDR	ADJ
february	febreiro	february	febreiro	PROPN;SG	N
february	de	february	de	PROPN;SG	ADP
know	de	know	de	V;IND;PRS;FIN	ADP
second	segundo	second	segundo	ADV	ADP
second	segunda	second	segundo	ADV	ADJ
name	se	name	se	N;SG	CONJ
group	de	group	de	N;SG	ADP
history	da	history	da	N;SG	V
series	de	series	de	N;SG	ADP
just	de	just	de	ADV	ADP
north	ao	north	ao	PROPN;SG	PROPN
north	norte	north	norte	PROPN;SG	N
north	do	north	do	PROPN;SG	PROPN
work	traballar	work	traballar	N;SG	V
before	de	before	de	ADV	ADP
since	desde	since	desde	ADV	ADP
since	que	since	que	ADV	PRO
since	dende	since	dende	ADV	ADP
season	de	season	de	N;SG	ADP
both	tanto	both	tanto	DET	ADV
both	dúas	both	dous	DET	N
both	dous	both	dous	DET	N
high	instituto	high	instituto	ADJ	N
high	altos	high	alto	ADJ	N
through	través	through	través	ADV	N
through	a	through	o	ADV	DET
through	por	through	por	ADV	ADP
district	fiscal	district	fiscal	N;SG	ADJ
district	do	district	do	N;SG	PROPN
because	por	because	por	CONJ	ADP
century	xiii	century	xiii	N;SG	PROPN
john	john	john	jo	PROPN;SG	PROPN
same	mesmo	same	mesmo	ADJ	DET
same	mesmas	same	mesmo	ADJ	DET
same	mesma	same	mesmo	ADJ	DET
including	mesmo	include	mesmo	V;V.MSDR	DET
including	a	include	o	V;V.MSDR	DET
could	podía	could	podía	V;FIN	V
could	podería	could	poder	V;FIN	V
english	inglés	english	inglés	PROPN;SG	N
english	ingleses	english	inglese	PROPN;SG	N
english	inglesa	english	inglesa	PROPN;SG	ADJ
against	os	against	o	ADP	DET
family	familiar	family	familiar	N;SG	ADJ
user	de	user	de	N;SG	ADP
based	en	base	en	V;PST;V.PTCP	ADP
based	baseándonos	base	baseándonos	V;PST;V.PTCP	N
based	base	base	base	V;PST;V.PTCP	N
york	york	york	york	PROPN;SG	PROPN
york	iorque	york	iorque	PROPN;SG	PROPN
life	a	life	o	N;SG	DET
british	a	british	o	ADJ	DET
international	international	international	international	ADJ	PROPN
game	de	game	de	N;SG	ADP
above	sobre	above	sobre	ADV	ADP
above	ascende	above	ascender	ADV	V
above	por	above	por	ADV	ADP
above	da	above	da	ADV	V
your	a	you	o	PRO;2	DET
your	teu	you	teu	PRO;2	DET
your	o	you	o	PRO;2	DET
your	seu	you	seu	PRO;2	DET
your	súa	you	seu	PRO;2	DET
until	ata	until	ata	CONJ	ADP
until	que	until	que	CONJ	PRO
until	até	until	até	CONJ	ADV
early	primeiras	early	primeiro	ADV	ADJ
west	oeste	west	oeste	ADV	N
west	occidente	west	occidente	ADV	N
west	occidental	west	occidental	ADV	ADJ
west	do	west	do	ADV	PROPN
west	da	west	da	ADV	V
west	west	west	west	ADV	PROPN
general	xeneral	general	xeneral	ADJ	N
general	o	general	o	ADJ	DET
left	esquerda	leave	esquerda	V;PST;V.PTCP	N
don	non	don	non	PROPN;SG	PART
living	vivo	living	vivo	N;SG	ADJ
living	vivir	living	vivir	N;SG	V
living	vivindo	living	vivir	N;SG	V
several	varios	several	varios	ADJ	DET
several	varias	several	varios	ADJ	DET
college	que	college	que	N;SG	PRO
college	college	college	collegar	N;SG	PROPN
keep	a	keep	o	V;IMP;FIN	DET
appropriate	para	appropriate	para	ADJ	ADP
appropriate	máis	appropriate	máis	ADJ	ADV
four	catro	four	catro	NUM	N
even	nin	even	nin	ADV	CONJ
even	mesmo	even	mesmo	ADV	DET
class	da	class	da	N;SG	V
government	do	government	do	N;SG	PROPN
how	como	how	como	ADV	PRO
how	que	how	que	ADV	PRO
how	canto	how	canto	ADV	PRO
did	fixo	do	facer	V;IND;PST;FIN	V
did	que	do	que	V;IND;PST;FIN	PRO
did	o	do	o	V;IND;PST;FIN	DET
each	entre	each	entre	DET	ADP
found	que	find	que	V;PST;V.PTCP	PRO
center	center	center	center	N;SG	PROPN
center	de	center	de	N;SG	ADP
per	por	per	por	PROPN;SG	ADP
per	ao	per	ao	PROPN;SG	PROPN
per	miligramos	per	miligrar	PROPN;SG	V
per	cada	per	cada	PROPN;SG	DET
long	longo	long	longo	ADV	ADJ
long	longa	long	longo	ADV	ADJ
long	tempo	long	tempo	ADV	N
back	volver	back	volver	ADV	V
back	volta	back	volta	ADV	N
way	así	way	así	N;SG	ADV
way	como	way	como	N;SG	PRO
does	que	do	que	V;IND;SG;3;PRS;FIN	PRO
does	fai	do	facer	V;IND;SG;3;PRS;FIN	V
does	non	do	non	V;IND;SG;3;PRS;FIN	PART
make	que	make	que	V;IMP;FIN	PRO
played	o	play	o	V;PST;V.PTCP	DET
played	papel	play	papel	V;PST;V.PTCP	N
won	non	win	non	V;PST;FIN	PART
support	apoiar	support	apoiar	N;SG	V
support	de	support	de	N;SG	ADP
games	xogar	game	xogar	N;PL	V
games	os	game	o	N;PL	DET
those	eses	those	ese	PRO;PL	DET
those	esas	those	ese	PRO;PL	DET
those	os	those	o	PRO;PL	DET
church	da	church	da	N;SG	V
east	leste	east	leste	PROPN;SG	N
east	oriente	east	oriente	PROPN;SG	N
east	este	east	este	PROPN;SG	DET
east	do	east	do	PROPN;SG	PROPN
east	próximo	east	próximo	PROPN;SG	ADJ
members	do	member	do	N;PL	PROPN
good	ben	good	ben	ADJ	ADV
good	bos	good	bo	ADJ	N
much	canto	much	canto	ADJ	PRO
much	grazas	much	graza	ADJ	N
much	moito	much	moito	ADJ	ADV
much	máis	much	máis	ADJ	ADV
much	tanto	much	tanto	ADJ	ADV
show	espectáculo	show	espectáculo	V;IMP;FIN	N
still	segue	still	seguir	ADV	V
think	que	think	que	V;IMP;FIN	PRO
below	na	below	na	ADV	N
below	por	below	por	ADV	ADP
below	baixo	below	baixo	ADV	ADP
below	embaixo	below	embaixo	ADV	N
below	seccionada	below	seccionar	ADV	V
last	o	last	o	ADJ	DET
last	onte	last	onte	ADJ	ADV
system	de	system	de	N;SG	ADP
song	cantar	song	cantar	N;SG	V
song	canto	song	canto	N;SG	PRO
single	cada	single	cada	ADJ	DET
single	soa	single	só	ADJ	DET
single	só	single	só	ADJ	ADV
women	as	woman	o	N;PL	DET
member	da	member	da	N;SG	V
order	para	order	para	N;SG	ADP
old	anos	old	ano	ADJ	N
old	vellos	old	vello	ADJ	N
old	vello	old	vello	ADJ	N
old	vella	old	vella	ADJ	N
set	conxunto	set	conxunto	V;FIN	N
own	propio	own	propio	ADJ	DET
own	propia	own	propio	ADJ	DET
own	seu	own	seu	ADJ	DET
text	de	text	de	N;SG	ADP
local	local	local	local	ADJ	N
local	locais	local	local	ADJ	N
local	o	local	o	ADJ	DET
local	de	local	de	ADJ	ADP
around	redor	around	redor	ADV	N
around	por	around	por	ADV	ADP
top	do	top	do	N;SG	PROPN
top	enriba	top	enriba	N;SG	ADV
top	20	top	20	N;SG	NUM
top	superior	top	superior	N;SG	ADJ
language	a	language	o	N;SG	DET
french	franceses	french	francese	ADJ	N
french	francés	french	francés	ADJ	N
named	se	name	se	V;PST;V.PTCP	CONJ
named	nome	name	nome	V;PST;V.PTCP	N
off	a	off	o	ADV	DET
note	a	note	o	N;SG	DET
career	súa	career	seu	N;SG	DET
service	de	service	de	N;SG	ADP
located	atópanse	locate	atópanse	V;PST;V.PTCP	PROPN
said	que	say	que	V;IND;PST;FIN	PRO
population	mundial	population	mundial	N;SG	ADJ
german	alemaña	german	alemaña	ADJ	PROPN
german	alemáns	german	alemán	ADJ	N
law	a	law	o	N;SG	DET
military	militares	military	militar	ADJ	V
military	exército	military	exército	ADJ	N
within	no	within	no	ADV	V
within	en	within	en	ADV	ADP
within	de	within	de	ADV	ADP
within	nos	within	nos	ADV	PRO
within	dun	within	dun	ADV	PROPN
president	presidente	president	presidente	PROPN;SG	N
president	vicepresidente	president	vicepresidente	PROPN;SG	N
president	o	president	o	PROPN;SG	DET
park	park	park	park	N;SG	PROPN
official	oficial	official	oficial	N;SG	ADJ
case	se	case	se	N;SG	CONJ
london	londres	london	londres	PROPN;SG	N
london	london	london	london	PROPN;SG	PROPN
times	times	time	time	N;PL	PROPN
although	aínda	although	aínda	CONJ	ADV
although	que	although	que	CONJ	PRO
although	non	although	non	CONJ	PART
although	pero	although	pero	CONJ	CONJ
third	terceira	third	terceiro	ADV	ADJ
third	terceiro	third	terceiro	ADV	ADJ
third	terzo	third	terzo	ADV	N
due	por	due	por	ADJ	ADP
due	debido	due	deber	ADJ	V
due	ao	due	ao	ADJ	PROPN
due	cando	due	cando	ADJ	PRO
due	a	due	o	ADJ	DET
due	mor	due	mor	ADJ	N
due	débeda	due	débeda	ADJ	N
village	da	village	da	N;SG	V
closed	pechado	close	pechado	V;PST;V.PTCP	N
closed	sondaxes	close	sondaxe	V;PST;V.PTCP	N
art	art	art	art	N;SG	PROPN
art	a	art	o	N;SG	DET
final	final	final	final	ADJ	N
final	axuntémonos	final	axuntémonos	ADJ	V
final	todos	final	todo	ADJ	DET
again	outra	again	outro	ADV	DET
again	vez	again	vez	ADV	N
again	novo	again	novo	ADV	ADJ
again	de	again	de	ADV	ADP
began	a	begin	o	V;IND;PST;FIN	DET
army	do	army	do	N;SG	PROPN
without	sen	without	sen	ADV	ADP
death	a	death	o	N;SG	DET
built	de	build	de	V;PST;V.PTCP	ADP
men	os	man	o	N;PL	DET
white	brancos	white	branco	ADJ	N
five	cinco	five	cinco	NUM	N
central	central	central	central	ADJ	N
central	centro	central	centro	ADJ	N
children	os	child	o	N;PL	DET
children	cativos	child	cativo	N;PL	ADJ
free	balde	free	balde	ADJ	N
england	inglaterra	england	inglaterra	PROPN;SG	N
include	moitos	include	moito	V;IND;PRS;FIN	DET
include	de	include	de	V;IND;PRS;FIN	ADP
given	lle	give	lle	V;PST;V.PTCP	PRO
given	a	give	o	V;PST;V.PTCP	DET
given	se	give	se	V;PST;V.PTCP	CONJ
source	de	source	de	N;SG	ADP
california	california	california	california	PROPN;SG	N
man	meu	man	meu	N;SG	DET
written	escrito	write	escrito	V;PST;V.PTCP	N
written	o	write	o	V;PST;V.PTCP	DET
media	mediática	media	mediática	N;SG	ADJ
media	de	media	de	N;SG	ADP
media	dos	media	dos	N;SG	PROPN
black	negra	black	negro	ADJ	N
black	negro	black	negro	ADJ	N
black	negros	black	negro	ADJ	N
though	que	though	que	ADV	PRO
though	se	though	se	ADV	CONJ
report	informar	report	informar	N;SG	V
building	construír	building	construír	N;SG	V
take	a	take	o	V;IMP;FIN	DET
comment	comentar	comment	comentar	N;SG	V
having	a	have	o	V;V.MSDR	DET
king	king	king	king	N;SG	PROPN
king	rei	king	rei	N;SG	PROPN
king	o	king	o	N;SG	DET
edit	editar	edit	editar	N;SG	V
edit	edit	edit	edit	N;SG	PROPN
died	morto	die	morto	V;IND;PST;FIN	N
research	de	research	de	N;SG	ADP
research	investigar	research	investigar	N;SG	V
record	de	record	de	N;SG	ADP
record	gravar	record	gravar	N;SG	V
places	onde	place	onde	N;PL	PRO
often	a	often	o	ADV	DET
often	miúdo	often	miúdo	ADV	N
often	veces	often	vez	ADV	N
few	poucos	few	pouco	ADJ	DET
few	poucas	few	pouco	ADJ	DET
few	uns	few	un	ADJ	DET
few	algunhas	few	algún	ADJ	DET
few	algúns	few	algún	ADJ	DET
few	unhas	few	un	ADJ	DET
side	secundarios	side	secundario	N;SG	ADJ
power	poder	power	poder	N;SG	V
power	o	power	o	N;SG	DET
education	a	education	o	N;SG	DET
political	políticas	political	política	ADJ	N
political	políticos	political	político	ADJ	N
political	política	political	política	ADJ	N
near	do	near	do	ADV	PROPN
near	da	near	da	ADV	V
near	de	near	de	ADV	ADP
australia	australia	australia	australia	PROPN;SG	PROPN
need	que	need	que	V;IND;PRS;FIN	PRO
need	preciso	need	preciso	V;IND;PRS;FIN	ADJ
island	island	island	island	N;SG	PROPN
play	tocar	play	tocar	N;SG	V
play	xogar	play	xogar	N;SG	V
play	xogan	play	xogar	N;SG	V
according	segundo	accord	segundo	V;V.MSDR	ADP
according	acordo	accord	acordo	V;V.MSDR	N
according	de	accord	de	V;V.MSDR	ADP
according	as	accord	o	V;V.MSDR	DET
according	acorde	accord	acorde	V;V.MSDR	N
according	home	accord	home	V;V.MSDR	N
development	da	development	da	N;SG	V
development	de	development	de	N;SG	ADP
development	xapón	development	xapón	N;SG	PROPN
example	por	example	por	N;SG	ADP
live	vivo	live	vivo	V;IMP;FIN	ADJ
live	viva	live	vivo	V;IMP;FIN	ADJ
union	do	union	do	N;SG	PROPN
india	india	india	indiar	PROPN;SG	PROPN
next	próxima	next	próximo	ADV	ADJ
next	ao	next	ao	ADV	PROPN
next	seguinte	next	seguinte	ADV	ADJ
next	lado	next	lado	ADV	N
next	próximo	next	próximo	ADV	ADJ
next	o	next	o	ADV	DET
region	do	region	do	N;SG	PROPN
region	sudeste	region	sudeste	N;SG	PROPN
little	pouco	little	pouco	ADJ	ADV
little	algo	little	algo	ADJ	PRO
short	pouco	short	pouco	ADJ	ADV
short	curtas	short	curto	ADJ	N
william	william	william	william	PROPN;SG	PROPN
province	do	province	do	N;SG	PROPN
france	francia	france	francia	PROPN;SG	N
france	franza	france	franza	PROPN;SG	N
others	aos	other	aos	N;PL	PROPN
others	outros	other	outro	N;PL	DET
others	demais	other	demais	N;PL	DET
others	outras	other	outro	N;PL	DET
royal	teatro	royal	teatro	PROPN;SG	N
royal	royal	royal	royal	PROPN;SG	ADJ
royal	súa	royal	seu	PROPN;SG	DET
royal	real	royal	real	PROPN;SG	ADJ
royal	alteza	royal	altezar	PROPN;SG	N
current	que	current	que	ADJ	PRO
current	súa	current	seu	ADJ	DET
street	street	street	street	N;SG	PROPN
full	chea	full	chea	ADJ	N
full	cheo	full	cheo	ADJ	N
red	vermello	red	vermello	ADJ	N
red	vermella	red	vermello	ADJ	N
red	vermellos	red	vermello	ADJ	N
red	roxa	red	roxa	ADJ	N
red	comunista	red	comunista	ADJ	N
department	de	department	de	N;SG	ADP
san	san	san	ser	PROPN;SG	ADJ
san	andrews	san	andrews	PROPN;SG	PROPN
help	axudar	help	axudar	N;SG	V
help	a	help	o	N;SG	DET
among	entre	among	entre	ADV	ADP
among	os	among	o	ADV	DET
among	as	among	o	ADV	DET
james	james	jame	jame	N;PL	PROPN
open	abertos	open	aberto	ADJ	V
open	abrir	open	abrir	ADJ	V
open	aberto	open	abrir	ADJ	V
open	abre	open	abre	ADJ	V
open	abra	open	abra	ADJ	V
force	a	force	o	N;SG	DET
head	a	head	o	N;SG	DET
director	director	director	director	N;SG	ADJ
director	de	director	de	N;SG	ADP
father	o	father	o	N;SG	DET
track	track	track	track	N;SG	PROPN
canada	canadá	canada	canadá	PROPN;SG	PROPN
never	non	never	non	ADV	PART
george	george	george	george	PROPN;SG	PROPN
george	xurxo	george	xurxo	PROPN;SG	N
late	tarde	late	tarde	ADV	N
summer	verán	summer	ver	N;SG	V
summer	no	summer	no	N;SG	V
moved	mudeime	move	mudeime	V;PST;V.PTCP	PROPN
moved	a	move	o	V;PST;V.PTCP	DET
moved	se	move	se	V;PST;V.PTCP	CONJ
period	a	period	o	N;SG	DET
round	redondo	round	redordo	ADV	N
round	redondos	round	redondo	ADV	N
round	xira	round	xira	ADV	N
songs	escribir	song	escribir	N;PL	V
various	varias	various	varios	ADJ	DET
various	varios	various	varios	ADJ	DET
various	con	various	con	ADJ	ADP
reason	que	reason	que	N;SG	PRO
america	américa	america	américar	PROPN;SG	PROPN
america	ee	america	ee	PROPN;SG	PROPN
america	america	america	americar	PROPN;SG	PROPN
america	estados	america	estado	PROPN;SG	N
america	unidos	america	unir	PROPN;SG	V
america	uu	america	uu	PROPN;SG	PROPN
america	nos	america	nos	PROPN;SG	PRO
million	millóns	million	millón	NUM	N
million	de	million	de	NUM	ADP
million	millón	million	millón	NUM	N
six	seis	six	seis	NUM	N
post	de	post	de	N;SG	ADP
why	por	why	por	ADV	ADP
why	que	why	que	ADV	PRO
why	iso	why	iso	ADV	PRO
making	facer	making	facer	N;SG	V
making	a	making	o	N;SG	DET
making	de	making	de	N;SG	ADP
making	facendo	making	facer	N;SG	V
young	mozos	young	mozo	ADJ	N
young	mozo	young	mozo	ADJ	N
young	moza	young	mozo	ADJ	N
total	total	total	total	ADJ	N
total	de	total	de	ADJ	ADP
david	david	david	david	PROPN;SG	PROPN
science	a	science	o	N;SG	DET
science	científica	science	científico	N;SG	ADJ
related	coa	related	coar	ADJ	V
rock	de	rock	de	N;SG	ADP
become	nunha	become	nunha	V;IMP;FIN	N
become	en	become	en	V;IMP;FIN	ADP
become	se	become	se	V;IMP;FIN	CONJ
led	á	lead	á	V;PST;V.PTCP	N
students	os	student	o	N;PL	DET
students	aos	student	aos	N;PL	PROPN
started	a	start	o	V;IND;PST;FIN	DET
news	novas	news	novo	N;SG	ADJ
role	rol	role	rol	N;SG	PROPN
election	electoral	election	electoral	N;SG	ADJ
present	presentar	present	presentar	ADJ	V
present	agasallo	present	agasallo	ADJ	N
kingdom	reino	kingdom	reino	PROPN;SG	N
kingdom	ceos	kingdom	ceos	PROPN;SG	N
books	os	book	o	N;PL	DET
northern	do	northern	do	ADJ	PROPN
northern	norte	northern	norte	ADJ	N
love	amor	love	amor	V;IND;FIN	N
love	o	love	o	V;IND;FIN	DET
press	o	press	o	N;SG	DET
press	press	press	press	N;SG	PROPN
type	escribir	type	escribir	N;SG	V
type	de	type	de	N;SG	ADP
act	actuar	act	actuar	N;SG	V
editor	de	editor	de	N;SG	ADP
schools	as	school	o	N;PL	DET
schools	nas	school	nas	N;PL	PROPN
program	de	program	de	N;SG	ADP
program	programar	program	programar	N;SG	V
germany	alemaña	germany	alemaña	PROPN;SG	PROPN
production	de	production	de	N;SG	ADP
similar	parecido	similar	parecer	ADJ	N
professional	profesionais	professional	profesional	ADJ	N
professional	un	professional	un	ADJ	DET
say	que	say	que	V;IMP;FIN	PRO
background	de	background	de	N;SG	ADP
enough	abonda	enough	abondar	ADJ	V
enough	dabondo	enough	dabor	ADJ	V
enough	para	enough	para	ADJ	ADP
enough	abondo	enough	abondo	ADJ	ADV
lead	conducir	lead	conducir	N;SG	V
lead	levar	lead	levar	N;SG	V
lead	a	lead	o	N;SG	DET
lead	até	lead	até	N;SG	ADV
color	de	color	de	N;SG	ADP
person	alguén	person	alguén	N;SG	PRO
services	os	service	o	N;PL	DET
currently	estamos	currently	estar	ADV	V
currently	neste	currently	neste	ADV	PROPN
currently	momento	currently	momento	ADV	N
hall	hall	hall	hall	N;SG	PROPN
hall	civil	hall	civil	N;SG	ADJ
date	a	date	o	N;SG	DET
change	cambiar	change	cambiar	N;SG	V
change	mudar	change	mudar	N;SG	V
seems	que	seem	que	V;IND;SG;3;PRS;FIN	PRO
must	debo	must	deber	V;FIN	V
must	que	must	que	V;FIN	PRO
must	debe	must	deber	V;FIN	V
must	debemos	must	deber	V;FIN	V
must	deben	must	deber	V;FIN	V
must	hai	must	haber	V;FIN	V
yes	si	yes	si	INTJ	ADV
our	noso	we	noso	PRO;PL;1	DET
our	nosas	we	noso	PRO;PL;1	DET
our	nosa	we	noso	PRO;PL;1	DET
our	nosos	we	noso	PRO;PL;1	DET
our	o	we	o	PRO;PL;1	DET
our	a	we	o	PRO;PL;1	DET
our	os	we	o	PRO;PL;1	DET
southern	do	southern	do	ADJ	PROPN
southern	sur	southern	sur	ADJ	N
something	cousa	something	cousa	PRO;SG	N
together	xuntos	together	xunto	ADV	ADJ
robert	robert	robert	roberto	PROPN;SG	V
fact	de	fact	de	N;SG	ADP
fact	que	fact	que	N;SG	PRO
less	menos	less	menos	ADJ;CMPR	ADV
japanese	xaponés	japanese	xaponés	ADJ	PROPN
japanese	xaponeses	japanese	xaponés	ADJ	N
content	dóeme	content	dóeme	N;SG	V
involved	involucrado	involved	involucrar	ADJ	V
involved	que	involved	que	ADJ	PRO
involved	implicado	involved	implicar	ADJ	V
involved	involucrada	involved	involucrar	ADJ	V
board	de	board	de	N;SG	ADP
japan	xapón	japan	xapón	PROPN;SG	PROPN
control	controlar	control	controlar	N;SG	V
policy	político	policy	político	N;SG	ADJ
policy	a	policy	o	N;SG	DET
policy	de	policy	de	N;SG	ADP
modern	as	modern	o	ADJ	DET
half	a	half	o	N;SG	DET
design	deseñar	design	deseñar	N;SG	V
event	de	event	de	N;SG	ADP
events	os	event	o	N;PL	DET
available	dispor	available	dispor	ADJ	V
available	haxa	available	haber	ADJ	V
done	feito	do	feito	V;PST;V.PTCP	N
washington	washington	washington	washington	PROPN;SG	PROPN
washington	dc	washington	dc	PROPN;SG	PROPN
real	de	real	de	ADJ	ADP
real	verdade	real	verdade	ADJ	N
start	a	start	o	V;IMP;FIN	DET
