oli	была	olema	быть	V;IND;SG;3;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
tallinna	таллин	tallinna	таллин	N;IN+ALL;LGSPEC1;SG	N;INAN;NOM;MASC;SG
üle	over	üle	over	ADV	PROPN
üle	над	üle	над	ADV	ADP
nende	их	tema	они	PRO;GEN;PL	PRO;ACC;PL;3
saksa	немец	saksa	немец	ADJ	N;ANIM;NOM;MASC;SG
saksa	германии	saksa	германия	ADJ	N;INAN;ESS;NEUT;SG
mida	что	mis	что	PRO;PRT;SG	PRO;NOM
mida	какие	mis	какой	PRO;PRT;SG	DET;NOM;PL
mida	какая	mis	какой	PRO;PRT;SG	DET;NOM;FEM;SG
mida	какой	mis	какой	PRO;PRT;SG	DET;NOM;MASC;SG
vaata	видишь	vaatama	видеть	V;IMP;SG;2;PRS;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
vaata	см	vaatama	сантиметр	V;IMP;SG;2;PRS;FIN;ACT	ADV
vaata	смотрите	vaatama	смотреть	V;IMP;SG;2;PRS;FIN;ACT	V;IPFV;IMP;PL;2;FIN;ACT
vaata	часы	vaatama	часы	V;IMP;SG;2;PRS;FIN;ACT	N;INAN;NOM;MASC;PL
vaata	смотрите	vaatama	смотреть	V;IMP;SG;2;PRS;FIN;ACT	V;IPFV;IMP;PL;2;FIN;ACT
vaata	посмотрите	vaatama	смотреть	V;IMP;SG;2;PRS;FIN;ACT	V;PFV;IMP;PL;2;FIN;ACT
üks	одна	üks	один	PRO;NOM;SG	DET;NOM;FEM;SG
üks	one	üks	one	PRO;NOM;SG	PROPN
üks	одно	üks	один	PRO;NOM;SG	DET;NOM;NEUT;SG
üks	один	üks	один	PRO;NOM;SG	NUM;NOM;MASC
vene	русские	vene	русский	ADJ	N;ANIM;NOM;MASC;PL
jpg	jpg	jpg	jpg	N	
järgi	follow	järgi	follow	ADV	PROPN
järgi	подписаться	järgi	подписаться	ADV	V;PFV;NFIN;MID
vastu	против	vastu	против	ADV	ADP
alates	от	alates	от	ADV	ADP
alates	from	alates	from	ADV	PROPN
alates	из	alates	из	ADV	ADP
koos	с	koos	с	ADV	ADP
koos	with	koos	with	ADV	PROPN
aastad	годы	aasta	год	N;NOM;PL	N;INAN;ACC;MASC;PL
aastad	лет	aasta	год	N;NOM;PL	N;INAN;GEN;MASC;PL
aastad	years	aasta	years	N;NOM;PL	PROPN
sündinud	родилась	sündima	рождаться	V;PST;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;MID
sündinud	родился	sündima	рождаться	V;PST;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;MID
august	августа	auk	август	N;IN+ABL;SG	N;INAN;GEN;MASC;SG
august	август	auk	август	N;IN+ABL;SG	N;INAN;NOM;MASC;SG
euroopa	europe	euroopa	europe	N;NOM;SG	PROPN
euroopa	европу	euroopa	европа	N;NOM;SG	N;INAN;ACC;FEM;SG
euroopa	европейская	euroopa	европейский	N;NOM;SG	ADJ;NOM;FEM;SG
euroopa	европейского	euroopa	европейский	N;NOM;SG	ADJ;GEN;MASC;SG
euroopa	европейское	euroopa	европейский	N;NOM;SG	ADJ;NOM;NEUT;SG
euroopa	европейский	euroopa	европейский	N;NOM;SG	ADJ;NOM;MASC;SG
ameerika	american	ameerika	american	ADJ	PROPN
ameerika	американец	ameerika	американец	ADJ	N;ANIM;NOM;MASC;SG
ameerika	america	ameerika	america	ADJ	PROPN
ameerika	америка	ameerika	америка	ADJ	N;INAN;NOM;FEM;SG
ameerika	америки	ameerika	америка	ADJ	N;INAN;NOM;FEM;PL
ameerika	америка	ameerika	америка	ADJ	N;INAN;NOM;FEM;SG
asub	расположенных	asuma	расположенный	V;IND;SG;3;PRS;FIN;ACT	ADJ;GEN;PL
asub	расположенный	asuma	расположенный	V;IND;SG;3;PRS;FIN;ACT	ADJ;NOM;MASC;SG
ole	ole	olema	ole	V;IMP;SG;2;PRS;FIN;ACT	PROPN
venemaa	russia	vene_maa	russia	N;NOM;SG	PROPN
esimene	сначала	esimene	сначала	ADJ;NOM;SG	ADV
esimene	first	esimene	first	ADJ;NOM;SG	PROPN
nagu	нравится	nagu	нравиться	CONJ	V;IPFV;IND;SG;3;PRS;FIN;MID
nagu	like	nagu	like	CONJ	PROPN
rootsi	швеции	rootsi	швеция	ADJ	N;INAN;NOM;FEM;SG
rootsi	швеции	rootsi	швеция	ADJ	N;INAN;NOM;FEM;SG
rootsi	швеция	rootsi	швеция	ADJ	N;INAN;NOM;FEM;SG
saab	saab	saama	saab	V;IND;SG;3;PRS;FIN;ACT	PROPN
saab	могу	saama	мочь	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
saab	можно	saama	можно	V;IND;SG;3;PRS;FIN;ACT	ADV
saab	can	saama	can	V;IND;SG;3;PRS;FIN;ACT	PROPN
umbes	about	umbes	about	ADV	PROPN
umbes	о	umbes	о	ADV	INTJ
liidu	союз	liit	союз	N;GEN;SG	N;INAN;NOM;MASC;SG
liidu	union	liit	union	N;GEN;SG	PROPN
liidu	профсоюз	liit	профсоюз	N;GEN;SG	N;INAN;NOM;MASC;SG
liidu	юнион	liit	юнион	N;GEN;SG	N;INAN;NOM;MASC;SG
küla	деревне	küla	деревня	N;NOM;SG	N;INAN;DAT;FEM;SG
vahel	порой	vahel	пора	ADV	N;INAN;INS;FEM;SG
vahel	между	vahel	между	ADV	ADP
linn	town	linn	town	N;NOM;SG	PROPN
linn	city	linn	city	N;NOM;SG	PROPN
linn	города	linn	город	N;NOM;SG	N;INAN;NOM;MASC;PL
need	эти	see	этот	PRO;NOM;PL	DET;NOM;PL
need	те	see	тот	PRO;NOM;PL	DET;NOM;PL
linna	town	linn	town	N;IN+ALL;LGSPEC1;SG	PROPN
linna	город	linn	город	N;IN+ALL;LGSPEC1;SG	N;INAN;NOM;MASC;SG
linna	городок	linn	городок	N;IN+ALL;LGSPEC1;SG	N;INAN;NOM;MASC;SG
linna	city	linn	city	N;IN+ALL;LGSPEC1;SG	PROPN
linna	город	linn	город	N;IN+ALL;LGSPEC1;SG	N;INAN;NOM;MASC;SG
linna	города	linn	город	N;IN+ALL;LGSPEC1;SG	N;INAN;NOM;MASC;PL
soome	финляндия	soome	финляндия	ADJ	N;INAN;NOM;FEM;SG
soome	финляндии	soome	финляндия	ADJ	N;INAN;NOM;FEM;SG
soome	финляндии	soome	финляндия	ADJ	N;INAN;NOM;FEM;SG
maakond	округе	maakond	округ	N;NOM;SG	N;INAN;ESS;MASC;SG
all	ниже	all	низкий	ADV	ADJ;CMPR
all	под	all	под	ADV	ADP
nsv	советская	nsv	советский	PROPN	ADJ;NOM;FEM;SG
nsv	советского	nsv	советский	PROPN	ADJ;GEN;MASC;SG
nsv	советский	nsv	советский	PROPN	ADJ;NOM;MASC;SG
nsv	советские	nsv	советский	PROPN	ADJ;NOM;PL
nsv	сср	nsv	сср	PROPN	N;INAN;NOM;FEM;SG
neid	эти	see	этот	PRO;PRT;PL	DET;NOM;PL
neid	их	see	они	PRO;PRT;PL	PRO;ACC;PL;3
kõik	всем	kõik	все	PRO;NOM;SG	PRO;ANIM;DAT;PL
kõik	всем	kõik	все	PRO;NOM;SG	PRO;ANIM;DAT;PL
kõik	всех	kõik	все	PRO;NOM;SG	PRO;ANIM;ACC;PL
kõik	all	kõik	all	PRO;NOM;SG	PROPN
kõik	всем	kõik	все	PRO;NOM;SG	PRO;ANIM;DAT;PL
kõik	всех	kõik	все	PRO;NOM;SG	PRO;ANIM;ACC;PL
kõik	каждый	kõik	каждый	PRO;NOM;SG	DET;NOM;MASC;SG
nime	имя	nimi	имя	N;PRT;SG	N;INAN;NOM;NEUT;SG
nime	название	nimi	название	N;PRT;SG	N;INAN;NOM;NEUT;SG
ainult	только	ainult	только	ADV	PART
pilt	изображения	pilt	изображение	N;NOM;SG	N;INAN;NOM;NEUT;PL
nõukogude	советская	nõu_kogu	советский	N;GEN;PL	ADJ;NOM;FEM;SG
nõukogude	советского	nõu_kogu	советский	N;GEN;PL	ADJ;GEN;MASC;SG
nõukogude	советский	nõu_kogu	советский	N;GEN;PL	ADJ;NOM;MASC;SG
nõukogude	советские	nõu_kogu	советский	N;GEN;PL	ADJ;NOM;PL
põhja	северный	põhi	северный	N;IN+ALL;LGSPEC1;SG	ADJ;NOM;MASC;SG
põhja	северная	põhi	северный	N;IN+ALL;LGSPEC1;SG	ADJ;NOM;FEM;SG
põhja	север	põhi	север	N;IN+ALL;LGSPEC1;SG	N;INAN;NOM;MASC;SG
põhja	норт	põhi	норт	N;IN+ALL;LGSPEC1;SG	N;INAN;NOM;MASC;SG
põhja	северной	põhi	северный	N;IN+ALL;LGSPEC1;SG	ADJ;INS;FEM;SG
põhja	северный	põhi	северный	N;IN+ALL;LGSPEC1;SG	ADJ;NOM;MASC;SG
põhja	северная	põhi	северный	N;IN+ALL;LGSPEC1;SG	ADJ;NOM;FEM;SG
põhja	северные	põhi	северный	N;IN+ALL;LGSPEC1;SG	ADJ;NOM;PL
põhja	северное	põhi	северный	N;IN+ALL;LGSPEC1;SG	ADJ;NOM;NEUT;SG
põhja	северной	põhi	северный	N;IN+ALL;LGSPEC1;SG	ADJ;INS;FEM;SG
kell	часы	kell	часы	N;NOM;SG	N;INAN;NOM;MASC;PL
läbi	сквозь	läbi	сквозь	ADV	ADP
läbi	через	läbi	через	ADV	ADP
mitte	не	mitte	не	ADV;NEG	PART
tänav	street	tänav	street	N;NOM;SG	PROPN
jaanuar	января	jaanuar	январь	N;NOM;SG	N;INAN;GEN;MASC;SG
sajandi	век	sajand	век	N;GEN;SG	N;INAN;NOM;MASC;SG
sajandi	столетие	sajand	столетие	N;GEN;SG	N;INAN;NOM;NEUT;SG
kokku	всего	kokku	все	ADV	PRO;INAN;GEN;NEUT;SG
alla	down	alla	down	ADV	PROPN
alla	алла	alla	алла	ADV	N;ANIM;NOM;FEM;SG
kogu	collection	kogu	collection	N;NOM;SG	PROPN
kogu	коллекции	kogu	коллекция	N;NOM;SG	N;INAN;NOM;FEM;PL
prantsuse	французы	prantsuse	француз	ADJ	N;ANIM;NOM;MASC;PL
tagasi	back	tagasi	back	ADV	PROPN
tagasi	спина	tagasi	спина	ADV	N;INAN;NOM;FEM;SG
veebruar	февраля	veebruar	февраль	N;NOM;SG	N;INAN;GEN;MASC;SG
enne	предзнаменование	enne	предзнаменование	ADV	N;INAN;NOM;NEUT;SG
enne	до	enne	до	ADV	ADP
enne	перед	enne	перед	ADV	ADP
lääne	уэст	lääs	уэст	N;NOM;SG	PART
lääne	западная	lääs	западный	N;NOM;SG	ADJ;NOM;FEM;SG
lääne	западный	lääs	западный	N;NOM;SG	ADJ;NOM;MASC;SG
lääne	западная	lääs	западный	N;NOM;SG	ADJ;NOM;FEM;SG
lääne	западные	lääs	западный	N;NOM;SG	ADJ;NOM;PL
lääne	западной	lääs	западный	N;NOM;SG	ADJ;INS;FEM;SG
lääne	западный	lääs	западный	N;NOM;SG	ADJ;NOM;MASC;SG
lääne	западное	lääs	западный	N;NOM;SG	ADJ;NOM;NEUT;SG
mai	мая	mai	май	N;NOM;SG	N;INAN;GEN;MASC;SG
mai	май	mai	май	N;NOM;SG	
mai	майские	mai	майский	N;NOM;SG	ADJ;NOM;PL
itaalia	италия	itaalia	италия	ADJ	N;INAN;NOM;FEM;SG
itaalia	италию	itaalia	италия	ADJ	N;INAN;ACC;FEM;SG
itaalia	италии	itaalia	италия	ADJ	N;INAN;NOM;FEM;PL
itaalia	итальянцы	itaalia	итальянец	ADJ	N;ANIM;NOM;MASC;PL
itaalia	италии	itaalia	италия	ADJ	N;INAN;NOM;FEM;PL
kas	либо	kas	либо	ADV	CONJ
suur	крупных	suur	крупный	ADJ;NOM;SG	ADJ;GEN;PL
suur	крупные	suur	крупный	ADJ;NOM;SG	ADJ;NOM;PL
suur	большие	suur	большой	ADJ;NOM;SG	ADJ;NOM;PL
suur	big	suur	big	ADJ;NOM;SG	PROPN
suur	большие	suur	большой	ADJ;NOM;SG	ADJ;NOM;PL
suur	биг	suur	биг	ADJ;NOM;SG	
juuni	июня	juuni	июнь	N;NOM;SG	N;INAN;GEN;MASC;SG
palju	многих	palju	много	ADV	NUM
palju	многим	palju	много	ADV	NUM
palju	многие	palju	много	ADV	NUM
palju	многое	palju	многое	ADV	N;INAN;NOM;NEUT;SG
palju	лота	palju	лот	ADV	N;INAN;GEN;MASC;SG
palju	лот	palju	лот	ADV	N;INAN;NOM;MASC;SG
märts	марта	märts	март	N;NOM;SG	N;INAN;GEN;MASC;SG
september	сентября	september	сентябрь	N;NOM;SG	N;INAN;GEN;MASC;SG
korda	повторить	kord	повторить	N;PRT;SG	V;PFV;NFIN;ACT
korda	повторите	kord	повторить	N;PRT;SG	V;PFV;IMP;PL;2;FIN;ACT
korda	повторять	kord	повторять	N;PRT;SG	V;IPFV;NFIN;ACT
korda	повторяю	kord	повторять	N;PRT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
teda	его	tema	он	PRO;PRT;SG;3	PRO;ACC;MASC;SG;3
teda	ему	tema	он	PRO;PRT;SG;3	PRO;DAT;MASC;SG;3
teda	ее	tema	она	PRO;PRT;SG;3	PRO;ACC;FEM;SG;3
teda	ей	tema	она	PRO;PRT;SG;3	PRO;DAT;FEM;SG;3
teda	её	tema	она	PRO;PRT;SG;3	PRO;ACC;FEM;SG;3
lõuna	южные	lõuna	южный	N;NOM;SG	ADJ;NOM;PL
lõuna	южная	lõuna	южный	N;NOM;SG	ADJ;NOM;FEM;SG
lõuna	южный	lõuna	южный	N;NOM;SG	ADJ;NOM;MASC;SG
lõuna	южной	lõuna	южный	N;NOM;SG	ADJ;INS;FEM;SG
lõuna	южное	lõuna	южный	N;NOM;SG	ADJ;NOM;NEUT;SG
lõuna	южная	lõuna	южный	N;NOM;SG	ADJ;NOM;FEM;SG
lõuna	южный	lõuna	южный	N;NOM;SG	ADJ;NOM;MASC;SG
lõuna	южной	lõuna	южный	N;NOM;SG	ADJ;INS;FEM;SG
ühe	одна	üks	один	NUM;GEN;SG	DET;NOM;FEM;SG
ühe	one	üks	one	NUM;GEN;SG	PROPN
ühe	одно	üks	один	NUM;GEN;SG	DET;NOM;NEUT;SG
ühe	один	üks	один	NUM;GEN;SG	NUM;NOM;MASC
oktoober	октября	oktoober	октябрь	N;NOM;SG	N;INAN;GEN;MASC;SG
töötas	работали	töötama	работать	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN;ACT
aprill	апреля	aprill	апрель	N;NOM;SG	N;INAN;GEN;MASC;SG
karl	карл	karl	карл	N;NOM;SG	PROPN;ANIM;NOM;MASC;SG
uus	новые	uus	новый	ADJ;NOM;SG	ADJ;NOM;PL
uus	новинка	uus	новинка	ADJ;NOM;SG	N;INAN;NOM;FEM;SG
uus	новых	uus	новый	ADJ;NOM;SG	ADJ;GEN;PL
poola	польши	poola	польша	ADJ	N;INAN;NOM;FEM;SG
poola	польши	poola	польша	ADJ	N;INAN;NOM;FEM;SG
poola	польша	poola	польша	ADJ	N;INAN;NOM;FEM;SG
poola	польшу	poola	польша	ADJ	N;INAN;ACC;FEM;SG
saksamaa	германия	saksa_maa	германий	ADJ	N;INAN;NOM;NEUT;SG
saksamaa	германию	saksa_maa	германия	ADJ	N;INAN;ACC;NEUT;SG
saksamaa	германии	saksa_maa	германия	ADJ	N;INAN;ESS;NEUT;SG
november	ноября	november	ноябрь	N;NOM;SG	N;INAN;GEN;MASC;SG
rooma	рим	rooma	рим	ADJ	N;INAN;NOM;MASC;SG
teine	секунда	teine	секунда	PRO;NOM;SG	N;INAN;NOM;FEM;SG
teine	второй	teine	второй	PRO;NOM;SG	ADJ;NOM;MASC;SG
teine	вторая	teine	второй	PRO;NOM;SG	ADJ;NOM;FEM;SG
teine	второе	teine	второй	PRO;NOM;SG	ADJ;NOM;NEUT;SG
teine	другой	teine	другой	PRO;NOM;SG	ADJ;NOM;MASC;SG
teine	другая	teine	другой	PRO;NOM;SG	ADJ;NOM;FEM;SG
kuningas	king	kuningas	king	N;NOM;SG	PROPN
iga	каждая	iga	каждый	PRO;NOM;SG	DET;NOM;FEM;SG
iga	каждую	iga	каждый	PRO;NOM;SG	DET;ACC;FEM;SG
iga	каждый	iga	каждый	PRO;NOM;SG	DET;NOM;MASC;SG
iga	каждое	iga	каждый	PRO;NOM;SG	DET;NOM;NEUT;SG
iga	любой	iga	любой	PRO;NOM;SG	DET;NOM;MASC;SG
iga	любую	iga	любой	PRO;NOM;SG	DET;ACC;FEM;SG
iga	любые	iga	любой	PRO;NOM;SG	DET;NOM;PL
iga	любое	iga	любой	PRO;NOM;SG	DET;NOM;NEUT;SG
iga	любая	iga	любой	PRO;NOM;SG	DET;NOM;FEM;SG
iga	каждая	iga	каждый	PRO;NOM;SG	DET;NOM;FEM;SG
iga	каждому	iga	каждый	PRO;NOM;SG	DET;DAT;MASC;SG
iga	каждый	iga	каждый	PRO;NOM;SG	DET;NOM;MASC;SG
iga	каждое	iga	каждый	PRO;NOM;SG	DET;NOM;NEUT;SG
maa	earth	maa	earth	N;NOM;SG	PROPN
maa	земли	maa	земля	N;NOM;SG	N;INAN;NOM;FEM;PL
maa	земельный	maa	земельный	N;NOM;SG	ADJ;NOM;MASC;SG
maa	land	maa	land	N;NOM;SG	PROPN
tee	чаю	tee	чай	N;NOM;SG	N;INAN;DAT;MASC;SG
tee	чая	tee	чай	N;NOM;SG	N;INAN;GEN;MASC;SG
tee	дорожной	tee	дорожный	N;NOM;SG	ADJ;INS;FEM;SG
tee	road	tee	road	N;NOM;SG	PROPN
klubi	club	klubi	club	N;NOM;SG	PROPN
maailma	world	maa_ilm	world	N;PRT;SG	PROPN
maailma	мир	maa_ilm	мир	N;PRT;SG	N;INAN;NOM;MASC;SG
jäi	остались	jääma	остаться	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN;MID
jäi	остался	jääma	остаться	V;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;MID
jäi	осталась	jääma	остаться	V;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN;MID
tuleb	иду	tulema	идти	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
tuleb	предстоящие	tulema	предстоять	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;NOM;PL;PRS;V.PTCP;ACT
tuli	fire	tuli	fire	N;NOM;SG	PROPN
tuli	пришла	tuli	прийти	N;NOM;SG	V;PFV;FEM;IND;SG;PST;FIN;ACT
tuli	пришел	tuli	прийти	N;NOM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
tuli	пришёл	tuli	прийти	N;NOM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
vana	old	vana	old	ADJ;NOM;SG	PROPN
vana	старые	vana	старый	ADJ;NOM;SG	ADJ;NOM;PL
isa	пап	isa	пап	N;NOM;SG	N;ANIM;GEN;MASC;PL
isa	отче	isa	отче	N;NOM;SG	INTJ
ida	восточные	ida	восточный	N;NOM;SG	ADJ;NOM;PL
ida	восточная	ida	восточный	N;NOM;SG	ADJ;NOM;FEM;SG
ida	восточной	ida	восточный	N;NOM;SG	ADJ;INS;FEM;SG
ida	восточное	ida	восточный	N;NOM;SG	ADJ;NOM;NEUT;SG
ida	восточная	ida	восточный	N;NOM;SG	ADJ;NOM;FEM;SG
ida	востоке	ida	восток	N;NOM;SG	N;INAN;ESS;MASC;SG
ida	east	ida	east	N;NOM;SG	PROPN
ida	восточный	ida	восточный	N;NOM;SG	ADJ;NOM;MASC;SG
mõisa	поместье	mõis	поместье	N;PRT;SG	N;INAN;NOM;NEUT;SG
õppis	научилась	õppima	научиться	V;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN;MID
õppis	научился	õppima	научиться	V;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;MID
oleks	бы	olema	бы	V;COND;PRS;FIN;ACT	PART;COND
suure	большой	suur	большой	ADJ;GEN;SG	ADJ;NOM;MASC;SG
suure	крупных	suur	крупный	ADJ;GEN;SG	ADJ;GEN;PL
suure	крупный	suur	крупный	ADJ;GEN;SG	ADJ;NOM;MASC;SG
suure	большая	suur	большой	ADJ;GEN;SG	ADJ;NOM;FEM;SG
suure	крупные	suur	крупный	ADJ;GEN;SG	ADJ;NOM;PL
suure	большие	suur	большой	ADJ;GEN;SG	ADJ;NOM;PL
suure	большая	suur	большой	ADJ;GEN;SG	ADJ;NOM;FEM;SG
suure	big	suur	big	ADJ;GEN;SG	PROPN
suure	большие	suur	большой	ADJ;GEN;SG	ADJ;NOM;PL
suure	большой	suur	большой	ADJ;GEN;SG	ADJ;NOM;MASC;SG
suure	биг	suur	биг	ADJ;GEN;SG	
suure	здорово	suur	здорово	ADJ;GEN;SG	ADV
suure	отлично	suur	отлично	ADJ;GEN;SG	ADV
suure	великолепно	suur	великолепно	ADJ;GEN;SG	ADV
prantsusmaa	франции	prantsus_maa	франция	N;NOM;SG	N;INAN;NOM;FEM;PL
prantsusmaa	france	prantsus_maa	france	N;NOM;SG	PROPN
elu	life	elu	life	N;NOM;SG	PROPN
elu	жизни	elu	жизнь	N;NOM;SG	N;INAN;NOM;FEM;PL
läti	латвия	läti	латвия	ADJ	N;INAN;NOM;FEM;SG
läti	латвии	läti	латвия	ADJ	N;INAN;NOM;FEM;PL
läti	латвии	läti	латвия	ADJ	N;INAN;NOM;FEM;PL
taani	данию	taani	дание	ADJ	N;INAN;ACC;NEUT;SG
taani	дания	taani	дание	ADJ	N;INAN;NOM;FEM;SG
taani	дании	taani	дания	ADJ	N;INAN;ESS;NEUT;SG
taani	дании	taani	дания	ADJ	N;INAN;ESS;NEUT;SG
jaan	яан	jaan	яан	N;NOM;SG	
peab	должен	pidama	должен	V;IND;SG;3;PRS;FIN;ACT	ADJ;MASC;SG
peab	должно	pidama	должен	V;IND;SG;3;PRS;FIN;ACT	ADJ;NEUT;SG
peab	должны	pidama	должен	V;IND;SG;3;PRS;FIN;ACT	ADJ;PL
ise	себя	ise	себя	ADV	PRO;ACC
väike	маленькие	väike	маленький	ADJ;NOM;SG	ADJ;NOM;PL
väike	малых	väike	малый	ADJ;NOM;SG	ADJ;GEN;PL
väike	мелкие	väike	мелкий	ADJ;NOM;SG	ADJ;NOM;PL
väike	малые	väike	малый	ADJ;NOM;SG	ADJ;NOM;PL
väike	little	väike	little	ADJ;NOM;SG	PROPN
väike	мало	väike	мало	ADJ;NOM;SG	ADV
väike	маленькие	väike	маленький	ADJ;NOM;SG	ADJ;NOM;PL
väike	вяйке	väike	вяйка	ADJ;NOM;SG	N;INAN;DAT;FEM;SG
kuulus	известная	kuuluma	известный	N;NOM;SG	ADJ;NOM;FEM;SG
kuulus	знаменитая	kuuluma	знаменитый	N;NOM;SG	ADJ;NOM;FEM;SG
kuulus	известный	kuuluma	известный	N;NOM;SG	ADJ;NOM;MASC;SG
kuulus	знаменитый	kuuluma	знаменитый	N;NOM;SG	ADJ;NOM;MASC;SG
kuulus	принадлежали	kuuluma	принадлежать	N;NOM;SG	V;IPFV;IND;PL;PST;FIN;ACT
osales	присутствовали	osalema	присутствовать	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN;ACT
norra	норвегии	nord	норвегия	ADJ	N;INAN;NOM;FEM;PL
norra	норвегия	nord	норвегия	ADJ	N;INAN;NOM;FEM;SG
norra	норвегию	nord	норвегия	ADJ	N;INAN;ACC;FEM;SG
norra	норвегии	nord	норвегия	ADJ	N;INAN;NOM;FEM;PL
pärnu	пярну	pärnu	пярно	ADJ	N;INAN;NOM;MASC;SG
endine	бывшей	endine	бывший	ADJ;NOM;SG	ADJ;INS;FEM;SG
endine	бывшие	endine	бывший	ADJ;NOM;SG	ADJ;NOM;PL
külas	деревне	küla	деревня	N;IN+ESS;SG	N;INAN;DAT;FEM;SG
külas	село	küla	село	N;IN+ESS;SG	N;INAN;NOM;NEUT;SG
külas	деревня	küla	деревня	N;IN+ESS;SG	N;INAN;NOM;FEM;SG
külas	посещение	küla	посещение	N;IN+ESS;SG	N;INAN;NOM;NEUT;SG
külas	посещения	küla	посещение	N;IN+ESS;SG	N;INAN;NOM;NEUT;PL
