月	moon	月	moon	N	PROPN;ANIM;NOM;MASC;SG
研究	študijné	研究	študijný	V	ADJ;NOM;NEUT;SG
研究	štúdie	研究	štúdia	V	N;NOM;NEUT;PL
研究	štúdium	研究	štúdium	V	N;NOM;NEUT;SG
研究	štúdie	研究	štúdia	V	N;NOM;NEUT;PL
研究	výskumné	研究	výskumný	V	ADJ;NOM;NEUT;SG
研究	výskum	研究	výskum	V	N;INAN;NOM;MASC;SG
研究	výskumy	研究	výskum	V	N;INAN;NOM;MASC;PL
研究	výskumu	研究	výskum	V	N;INAN;GEN;MASC;SG
日本	japonska	日本	japonsko	PROPN	N;NOM;FEM;SG
日本	japonsko	日本	japonsko	PROPN	
日本	japonsku	日本	japonsko	PROPN	ADV
三	three	三	three	NUM	
前	pred	前	pred	N	ADP;INS
前	predtym	前	predtym	N	INTJ
前	predtým	前	predtým	N	ADV
家	doma	家	doma	N	ADV
家	domov	家	domov	N	ADV
家	domáca	家	domáci	N	ADJ;NOM;FEM;SG
家	domáce	家	domáci	N	ADJ;NOM;NEUT;SG
近	blízko	近	blízko		ADV
米	ryžové	米	ryžový	N	ADJ;NOM;NEUT;SG
多	viacej	多	viaci		NUM;NOM;NEUT;SG
多	ďalšie	多	ďalší		ADJ;NOM;NEUT;SG
多	viac	多	viac		NUM;NOM;NEUT;SG
使用	využívanie	使用	využívanie	V	N;NOM;NEUT;SG
使用	využitie	使用	využitie	V	N;NOM;NEUT;SG
使用	používanie	使用	používanie	V	N;NOM;NEUT;SG
使用	použitie	使用	použitie	V	N;NOM;NEUT;SG
使用	použitím	使用	použitie	V	N;INS;NEUT;SG
使用	používanie	使用	používanie	V	N;NOM;NEUT;SG
使用	pomocou	使用	pomoc	V	N;INS;FEM;SG
使用	používanie	使用	používanie	V	N;NOM;NEUT;SG
使用	použitie	使用	použitie	V	N;NOM;NEUT;SG
使用	použité	使用	použitý	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
使用	používané	使用	používaný	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
使用	použitý	使用	použitý	V	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
使用	použitá	使用	použitý	V	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
基	kei	基	kei	V	PROPN;ANIM;NOM;MASC;SG
王	kral	王	krať	PROPN	PROPN;ANIM;NOM;MASC;SG
王	king	王	king	PROPN	PROPN;ANIM;NOM;MASC;SG
王	kráľ	王	kráľ	PROPN	N;ANIM;NOM;MASC;SG
王	kráľa	王	kráľ	PROPN	N;ANIM;ACC;MASC;SG
王	král	王	král	PROPN	N;ANIM;NOM;MASC;SG
王	wang	王	wang	PROPN	PROPN;ANIM;NOM;MASC;SG
林	lin	林	lin	PROPN	PROPN;ANIM;NOM;MASC;SG
公司	firemné	公司	firemný	N	ADJ;NOM;NEUT;SG
公司	firemný	公司	firemný	N	ADJ;ANIM;NOM;MASC;SG
公司	firemné	公司	firemný	N	ADJ;NOM;NEUT;SG
李	lee	李	lee	PROPN	PROPN;ANIM;NOM;MASC;SG
一	one	一	ona	NUM	
西	west	西	west	N	PROPN;ANIM;NOM;MASC;SG
西	západná	西	západný	N	ADJ;NOM;FEM;SG
西	západné	西	západný	N	ADJ;NOM;NEUT;SG
卡	kartičky	卡	kartička	PROPN	N;NOM;FEM;PL
卡	karty	卡	karta	PROPN	N;NOM;FEM;PL
卡	vizitky	卡	vizitok	PROPN	N;NOM;FEM;PL
卡	kariet	卡	kariet	PROPN	N;GEN;FEM;PL
卡	preukaz	卡	preukaz	PROPN	N;INAN;NOM;MASC;SG
卡	karta	卡	karta	PROPN	N;NOM;FEM;SG
卡	vizitka	卡	vizitka	PROPN	N;NOM;FEM;SG
卡	karty	卡	karta	PROPN	N;NOM;FEM;PL
卡	kartu	卡	kart	PROPN	N;ACC;FEM;SG
二	two	二	two	NUM	
二	dvojka	二	dvojka	NUM	N;NOM;FEM;SG
小	malá	小	malý	PART	ADJ;NOM;FEM;SG
小	small	小	small	PART	PROPN;ANIM;NOM;MASC;SG
小	malý	小	malý	PART	ADJ;ANIM;NOM;MASC;SG
小	malých	小	malý	PART	N;ANIM;GEN;MASC;PL
小	malé	小	malý	PART	ADJ;NOM;NEUT;SG
小	malá	小	malý	PART	ADJ;NOM;FEM;SG
小	málo	小	málo	PART	ADV
小	malé	小	malý	PART	ADJ;NOM;NEUT;SG
小	malý	小	malý	PART	ADJ;ANIM;NOM;MASC;SG
小	maly	小	maly	PART	N;INAN;NOM;MASC;SG
小	maličké	小	maličký	PART	ADJ;NOM;NEUT;SG
小	drobné	小	drobný	PART	ADJ;NOM;NEUT;SG
相似	podobnej	相似	podobný	V	ADJ;GEN;FEM;SG
相似	podobné	相似	podobný	V	ADJ;NOM;NEUT;SG
相似	podobná	相似	podobný	V	ADJ;NOM;FEM;SG
相似	podobný	相似	podobný	V	ADJ;ANIM;NOM;MASC;SG
相似	podobnú	相似	podobný	V	ADJ;ACC;FEM;SG
相似	podobnosť	相似	podobnosť	V	N;NOM;FEM;SG
相似	podoba	相似	podoba	V	N;NOM;FEM;SG
相似	podobnosť	相似	podobnosť	V	N;NOM;FEM;SG
區	okres	區	okres	N	INTJ
人口	demografické	人口	demografický	N	ADJ;NOM;NEUT;SG
四	štvorka	四	štvorka	NUM	N;NOM;FEM;SG
政府	vládne	政府	vládnuť	N	V;IPFV;IND;SG;3;POS;PRS;FIN
政府	vlada	政府	vlada	N	PROPN;ANIM;ACC;MASC;SG
道	dao	道	dao	PROPN	N;INAN;NOM;MASC;SG
將	will	將	will	V;CAUS	
將	budú	將	byť	V;CAUS	V;IPFV;IND;PL;3;POS;FUT;FIN
將	bude	將	byť	V;CAUS	V;IPFV;IND;SG;3;POS;FUT;FIN
將	vôľa	將	vôľa	V;CAUS	N;NOM;FEM;SG
高	high	高	higho	PROPN	N;ACC;FEM;SG
高	vysoko	高	vysoko	PROPN	ADV
高	vysoká	高	vysoký	PROPN	ADJ;NOM;FEM;SG
高	vysoký	高	vysoký	PROPN	ADJ;ANIM;NOM;MASC;SG
高	vysoké	高	vysoký	PROPN	ADJ;NOM;NEUT;SG
高	vysoký	高	vysoký	PROPN	ADJ;ANIM;NOM;MASC;SG
高	vysoké	高	vysoký	PROPN	ADJ;NOM;NEUT;SG
高	vysoká	高	vysoký	PROPN	ADJ;NOM;FEM;SG
高	gao	高	gao	PROPN	PROPN;ANIM;NOM;MASC;SG
美國	amerika	美國	amerika	PROPN	N;NOM;FEM;SG
美國	amerike	美國	amerika	PROPN	N;DAT;FEM;SG
美國	ameriky	美國	amerika	PROPN	N;NOM;FEM;PL
美國	ameriku	美國	amerika	PROPN	N;ACC;FEM;SG
集	stanovené	集	stanovený	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
集	nastaviť	集	nastaviť	N	V;PFV;POS;NFIN
台灣	taiwan	台灣	taiwan	PROPN	N;INAN;NOM;MASC;SG
台灣	taiwanu	台灣	taiwan	PROPN	N;INAN;GEN;MASC;SG
布	tkaniny	布	tkanina		N;NOM;FEM;PL
世界	svetová	世界	svetový	N	ADJ;NOM;FEM;SG
世界	world	世界	world	N	
南	južný	南	južný	N	ADJ;ANIM;NOM;MASC;SG
南	južná	南	južný	N	ADJ;NOM;FEM;SG
南	južné	南	južný	N	ADJ;NOM;NEUT;SG
南	južnej	南	južný	N	ADJ;GEN;FEM;SG
南	nam	南	my	N	PROPN;ANIM;NOM;MASC;SG
路	cestná	路	cestný	N	ADJ;NOM;FEM;SG
路	cestný	路	cestný	N	ADJ;ANIM;NOM;MASC;SG
路	road	路	road	N	PROPN;ANIM;NOM;MASC;SG
五	five	五	fiv	NUM	
五	päťka	五	päťka	NUM	N;NOM;FEM;SG
本	bena	本	bena		N;ANIM;ACC;MASC;SG
本	ben	本	ben		PROPN;ANIM;NOM;MASC;SG
金	jin	金	jin	PROPN	N;NOM;FEM;SG
金	zlato	金	zlato	PROPN	N;NOM;NEUT;SG
金	zlate	金	zlat	PROPN	N;NOM;NEUT;PL
金	zlatá	金	zlatý	PROPN	ADJ;NOM;FEM;SG
金	gold	金	gold	PROPN	
金	zlata	金	zlato	PROPN	N;NOM;NEUT;PL
金	kim	金	kim	PROPN	PROPN;ANIM;NOM;MASC;SG
文	wen	文	wen	N	PROPN;ANIM;NOM;MASC;SG
林	lincoln	林	lincolný	PROPN	PROPN;ANIM;NOM;MASC;SG
林	lincolna	林	lincolna	PROPN	N;NOM;FEM;SG
人民	ludi	人民	ludia	N	INTJ
人民	people	人民	peopeľ	N	PROPN;ANIM;VOC;MASC;SG
包括	zaradené	包括	zaradený	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
包括	zahrnuté	包括	zahrnutý	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
包括	zahrnutý	包括	zahrnutý	V	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
包括	vrátane	包括	vrátane	V	ADV
包括	včítane	包括	včítane	V	ADV
峰	vrchol	峰	vrchol	PROPN	N;INAN;NOM;MASC;SG
位	umiestnený	位	umiestnený	V	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
位	umiestnená	位	umiestnený	V	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
位	umiestnené	位	umiestnený	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
其他	ďalšie	其他	ďalší	DET	ADJ;NOM;NEUT;SG
其他	ostatné	其他	ostatný	DET	ADJ;NOM;NEUT;SG
其他	ostatný	其他	ostatný	DET	ADJ;ANIM;NOM;MASC;SG
其他	ostatné	其他	ostatný	DET	ADJ;NOM;NEUT;SG
塔	tower	塔	tower	N	PROPN;ANIM;NOM;MASC;SG
縣	powiat	縣	powiat	N	
第一	prvý	第一	prvý	NUM	ADJ;ANIM;NOM;MASC;SG
第一	prvy	第一	prva	NUM	ADJ;INAN;NOM;MASC;SG
第一	najprv	第一	najprv	NUM	ADV
第一	prva	第一	prvý	NUM	N;NOM;FEM;SG
第一	prvé	第一	prvý	NUM	ADJ;NOM;NEUT;SG
第一	prvá	第一	prvý	NUM	ADJ;NOM;FEM;SG
任	ren	任	ren	N	PROPN;ANIM;NOM;MASC;SG
時間	time	時間	tima	N	
比	pomer	比	pomer	ADP	N;INAN;NOM;MASC;SG
比	pomeru	比	pomera	ADP	N;INAN;GEN;MASC;SG
元	meta	元	met	PROPN	INTJ
元	yuan	元	yuan	PROPN	PROPN;ANIM;NOM;MASC;SG
元	dolár	元	dolár	PROPN	N;INAN;NOM;MASC;SG
元	vyhrali	元	vyhrať	PROPN	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
元	vyhrala	元	vyhrať	PROPN	V;PFV;FEM;SG;POS;PST;V.PTCP
元	zvíťazil	元	zvíťaziť	PROPN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
元	won	元	won	PROPN	PROPN;ANIM;NOM;MASC;SG
元	vyhral	元	vyhrať	PROPN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
中國	číne	中國	čín	PROPN	PROPN;NOM;MASC;SG
中國	china	中國	china	PROPN	
中國	čína	中國	číno	PROPN	PROPN;ANIM;NOM;MASC;SG
六	six	六	six	NUM	
主要	hlavné	主要	hlavný	ADV	ADJ;NOM;NEUT;SG
主要	hlavná	主要	hlavný	ADV	ADJ;NOM;FEM;SG
主要	major	主要	major	ADV	PROPN;ANIM;NOM;MASC;SG
主要	hlavné	主要	hlavný	ADV	ADJ;NOM;NEUT;SG
主要	hlavná	主要	hlavný	ADV	ADJ;NOM;FEM;SG
主要	main	主要	main	ADV	
主要	hlavný	主要	hlavný	ADV	ADJ;ANIM;NOM;MASC;SG
主要	hlavny	主要	hlavny	ADV	N;ANIM;NOM;MASC;SG
城	mestské	城	mestský	N	ADJ;NOM;NEUT;SG
城	castle	城	castľa	N	PROPN;ANIM;NOM;MASC;SG
法	metódu	法	metóda	PROPN	N;ACC;FEM;SG
法	spôsob	法	spôsob	PROPN	N;INAN;NOM;MASC;SG
法	metóda	法	metóda	PROPN	N;NOM;FEM;SG
第二	druhá	第二	druhý	NUM	ADJ;NOM;FEM;SG
第二	druhé	第二	druhý	NUM	ADJ;NOM;NEUT;SG
第二	druhe	第二	druh	NUM	ADJ;INAN;NOM;MASC;SG
第二	sekunda	第二	sekunda	NUM	N;NOM;FEM;SG
第二	druhý	第二	druhý	NUM	ADJ;INAN;NOM;MASC;SG
山	horský	山	horský	N	ADJ;ANIM;NOM;MASC;SG
山	horské	山	horský	N	ADJ;NOM;NEUT;PL
山	pripojiť	山	pripojiť	N	V;PFV;POS;NFIN
山	mount	山	mount	N	PROPN;ANIM;NOM;MASC;SG
山	hill	山	hill	N	PROPN;ANIM;NOM;MASC;SG
加	pridaj	加	pridaj	ADP	V;PFV;IMP;SG;2;POS;FIN
加	pridať	加	pridať	ADP	V;PFV;POS;NFIN
加	navyše	加	navyše	ADP	PART
加	plus	加	plus	ADP	
太空	space	太空	space	N	PROPN;ANIM;NOM;MASC;SG
張	chang	張	chang	PROPN	PROPN;ANIM;NOM;MASC;SG
張	zhang	張	zhang	PROPN	PROPN;ANIM;NOM;MASC;SG
內	vnútorné	內	vnútorný	N	ADJ;NOM;NEUT;SG
內	vnútorná	內	vnútorný	N	ADJ;NOM;FEM;SG
內	vnútorný	內	vnútorný	N	ADJ;ANIM;NOM;MASC;SG
主	lord	主	lord	PART	PROPN;ANIM;NOM;MASC;SG
主	pane	主	pán	PART	PROPN;ANIM;VOC;MASC;SG
雷	lúč	雷	lúč	PROPN	N;INAN;NOM;MASC;SG
雷	ray	雷	ray	PROPN	PROPN;ANIM;NOM;MASC;SG
管理	hospodárenie	管理	hospodárenie	V	N;NOM;NEUT;SG
管理	riadenie	管理	riadenie	V	N;NOM;NEUT;SG
管理	vedenie	管理	vedenie	V	N;NOM;NEUT;SG
管理	manažment	管理	manažment	V	N;INAN;NOM;MASC;SG
管理	spravovanie	管理	spravovanie	V	N;NOM;NEUT;SG
管理	spravovanie	管理	spravovanie	V	N;NOM;NEUT;SG
建	postavená	建	postavený	V	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
建	postavené	建	postavený	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
建	postavený	建	postavený	V	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
性	pohlavný	性	pohlavný	N	ADJ;ANIM;NOM;MASC;SG
性	sexuálna	性	sexuálny	N	ADJ;NOM;FEM;SG
性	sexuálne	性	sexuálny	N	ADJ;NOM;NEUT;SG
性	sexuálny	性	sexuálny	N	ADJ;INAN;NOM;MASC;SG
成	sung	成	sunga	V	NUM
代表	reprezentatívna	代表	reprezentatívny	N	ADJ;NOM;FEM;SG
代表	reprezentatívny	代表	reprezentatívny	N	ADJ;INAN;NOM;MASC;SG
代表	reprezentatívne	代表	reprezentatívne	N	ADV
代表	delegovať	代表	delegovať	N	V;IPFV;POS;NFIN
那	potom	那	potom	PRO	ADV
那	vtedy	那	vtedy	PRO	ADV
海	morská	海	morský	N	ADJ;NOM;FEM;SG
海	ocean	海	ocean	N	PROPN;ANIM;NOM;MASC;SG
這	to	這	to	PRO	DET;NOM;NEUT;SG
這	táto	這	táto	PRO	DET;NOM;FEM;SG
這	tento	這	tento	PRO	DET;INAN;NOM;MASC;SG
這	toto	這	toto	PRO	DET;NOM;NEUT;SG
這	túto	這	táto	PRO	DET;ACC;FEM;SG
大學	univerzitné	大學	univerzitný	N	ADJ;NOM;NEUT;SG
大學	vysoká	大學	vysoký	N	ADJ;NOM;FEM;SG
羅	luo	羅	luo	PROPN	PROPN;ANIM;NOM;MASC;SG
原	originálny	原	originálny	PART	ADJ;INAN;NOM;MASC;SG
原	pôvodný	原	pôvodný	PART	ADJ;INAN;NOM;MASC;SG
原	original	原	originať	PART	N;INAN;NOM;MASC;SG
原	originálne	原	originálne	PART	ADJ;NOM;NEUT;SG
原	originál	原	originál	PART	N;INAN;NOM;MASC;SG
原	pôvodné	原	pôvodný	PART	ADJ;NOM;NEUT;SG
原	hara	原	hara	PART	N;NOM;FEM;SG
工作	pracovné	工作	pracovný	N	ADJ;NOM;NEUT;SG
工作	pracuje	工作	pracovať	N	V;IPFV;IND;SG;3;POS;PRS;FIN
工作	pracovných	工作	pracovný	N	ADJ;GEN;MASC;PL
工作	pracovná	工作	pracovný	N	ADJ;NOM;FEM;SG
工作	pracovné	工作	pracovný	N	ADJ;NOM;NEUT;SG
北	kita	北	kita	N	PROPN;ANIM;NOM;MASC;SG
北	severný	北	severný	N	ADJ;ANIM;NOM;MASC;SG
北	severné	北	severný	N	ADJ;NOM;NEUT;SG
北	severná	北	severný	N	ADJ;NOM;FEM;SG
政治	politická	政治	politický	N	ADJ;NOM;FEM;SG
政治	politické	政治	politický	N	ADJ;NOM;NEUT;SG
政治	politického	政治	politický	N	ADJ;GEN;NEUT;SG
政治	politický	政治	politický	N	ADJ;ANIM;NOM;MASC;SG
星	star	星	star	N	
星	hviezdny	星	hviezdny	N	ADJ;ANIM;NOM;MASC;SG
陳	chen	陳	chen	PROPN	PROPN;ANIM;NOM;MASC;SG
陳	chan	陳	chan	PROPN	PROPN;ANIM;NOM;MASC;SG
他	jeho	他	jeho	PRO;3	DET;NOM;NEUT;SG;3
作品	funguje	作品	fungovať	N	V;IPFV;IND;SG;3;POS;PRS;FIN
作品	pracuje	作品	pracovať	N	V;IPFV;IND;SG;3;POS;PRS;FIN
河	river	河	river	N	PROPN;ANIM;NOM;MASC;SG
河	riečna	河	riečno	N	ADJ;NOM;FEM;SG
更	viacej	更	viaci	ADV	NUM;NOM;NEUT;SG
更	ďalšie	更	ďalší	ADV	ADJ;NOM;NEUT;SG
更	viac	更	viac	ADV	NUM;NOM;NEUT;SG
曼	mann	曼	mann	PROPN	PROPN;ANIM;NOM;MASC;SG
電影	filmová	電影	filmový	N	ADJ;NOM;FEM;SG
電影	filmová	電影	filmový	N	ADJ;NOM;FEM;SG
龍	drak	龍	drak	N	PROPN;ANIM;NOM;MASC;SG
女	ženská	女	ženský	N	ADJ;NOM;FEM;SG
女	zena	女	zena	N	
女	ženské	女	ženský	N	ADJ;NOM;NEUT;SG
女	ženská	女	ženský	N	ADJ;NOM;FEM;SG
正式	formálneho	正式	formálny	ADV	ADJ;GEN;NEUT;SG
正式	formálny	正式	formálny	ADV	ADJ;INAN;NOM;MASC;SG
正式	formálna	正式	formálny	ADV	ADJ;NOM;FEM;SG
外	vonku	外	vonku	N	ADV
外	vonka	外	vonka	N	ADV
外	mimo	外	mimo	N	ADV
明	ming	明	ming	PROPN	PROPN;ANIM;NOM;MASC;SG
美	krásna	美	krásny	PROPN	ADJ;NOM;FEM;SG
美	krásny	美	krásny	PROPN	ADJ;ANIM;NOM;MASC;SG
美	krasne	美	krasne	PROPN	
美	krásne	美	krásne	PROPN	ADV
美	kráska	美	kráska	PROPN	N;NOM;FEM;SG
美	krása	美	krása	PROPN	N;NOM;FEM;SG
因為	lebo	因為	lebo	ADP	CONJ
因為	pretože	因為	pretože	ADP	CONJ
因為	pretoze	因為	pretoze	ADP	N;INAN;NOM;MASC;SG
北京	peking	北京	peking	PROPN	N;INAN;NOM;MASC;SG
北京	pekingu	北京	peking	PROPN	N;INAN;GEN;MASC;SG
北京	pekingu	北京	peking	PROPN	N;INAN;GEN;MASC;SG
不同	iný	不同	iný	ADJ	DET;ANIM;NOM;MASC;SG
不同	rozdielne	不同	rozdielny	ADJ	ADV
不同	iná	不同	iný	ADJ	DET;NOM;FEM;SG
足球	futbalový	足球	futbalový	N	ADJ;ANIM;NOM;MASC;SG
足球	futbalové	足球	futbalový	N	ADJ;NOM;NEUT;SG
足球	futbalový	足球	futbalový	N	ADJ;ANIM;NOM;MASC;SG
足球	futbalové	足球	futbalový	N	ADJ;NOM;NEUT;SG
目前	súčasné	目前	súčasný	N	ADJ;NOM;NEUT;SG
目前	aktuálna	目前	aktuálny	N	ADJ;NOM;FEM;SG
目前	súčasný	目前	súčasný	N	ADJ;ANIM;NOM;MASC;SG
目前	aktuálne	目前	aktuálny	N	ADV
目前	aktuálny	目前	aktuálny	N	ADJ;INAN;NOM;MASC;SG
目前	momentálne	目前	momentálne	N	ADV
所有	all	所有	all	DET	
所有	vsetky	所有	vsetok	DET	N;NOM;FEM;PL
部分	čiastočný	部分	čiastočný	N	ADJ;INAN;NOM;MASC;SG
部分	čiastočná	部分	čiastočný	N	ADJ;NOM;FEM;SG
部分	čiastkové	部分	čiastkový	N	ADJ;NOM;NEUT;SG
部分	čiastočné	部分	čiastočný	N	ADJ;NOM;NEUT;SG
部分	čiastočne	部分	čiastočne	N	ADV
中央	centrálne	中央	centrálne	N	ADV
中央	centrálna	中央	centrálny	N	ADJ;NOM;FEM;SG
中央	stredná	中央	stredný	N	ADJ;NOM;FEM;SG
中央	centrálny	中央	centrálny	N	ADJ;INAN;NOM;MASC;SG
森	sen	森	sen	PROPN	N;INAN;NOM;MASC;SG
森	mori	森	more	PROPN	N;NOM;NEUT;SG
郡	powiat	郡	powiat	N	
國家	štátne	國家	štátny	N	ADJ;NOM;NEUT;SG
國家	štátna	國家	štátny	N	ADJ;NOM;FEM;SG
國家	národný	國家	národný	N	ADJ;INAN;NOM;MASC;SG
國家	vnútroštátnych	國家	vnútroštátny	N	ADJ;GEN;MASC;PL
國家	vnútroštátne	國家	vnútroštátne	N	ADV
國家	národná	國家	národný	N	ADJ;NOM;FEM;SG
國家	vnútroštátna	國家	vnútroštátny	N	ADJ;NOM;FEM;SG
國家	národné	國家	národný	N	ADJ;NOM;NEUT;SG
球	ball	球	ball	N	
生	surový	生	surový	N	ADJ;ANIM;NOM;MASC;SG
生	surové	生	surový	N	ADJ;NOM;NEUT;SG
生	raw	生	raw	N	
但是	ale	但是	ale	ADV	CONJ
街	street	街	street	N	PROPN;ANIM;NOM;MASC;SG
提供	poskytnuté	提供	poskytnutý	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
提供	poskytnutá	提供	poskytnutý	V	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
提供	poskytované	提供	poskytovaný	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
城市	mestské	城市	mestský	N	ADJ;NOM;NEUT;SG
一些	niektorých	一些	niektorý	ADJ	DET;GEN;MASC;PL
一些	niektore	一些	niektore	ADJ	DET;NOM;MASC;SG
一些	niektoré	一些	niektorý	ADJ	DET;NOM;NEUT;SG
一些	niektorý	一些	niektorý	ADJ	DET;ANIM;NOM;MASC;SG
一些	niektorí	一些	niektorý	ADJ	DET;ANIM;NOM;MASC;PL
長	dlhý	長	dlhý	PART	ADJ;ANIM;NOM;MASC;SG
長	dlho	長	dlho	PART	ADV
長	dlhé	長	dlhý	PART	ADJ;NOM;NEUT;SG
長	long	長	long	PART	PROPN;ANIM;NOM;MASC;SG
長	dlhá	長	dlhý	PART	ADJ;NOM;FEM;SG
水	vodná	水	vodný	N	ADJ;NOM;FEM;SG
水	vodný	水	vodný	N	ADJ;ANIM;NOM;MASC;SG
水	vodné	水	vodný	N	ADJ;NOM;NEUT;SG
加入	spojených	加入	spojený	V	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
加入	pristúpenie	加入	pristúpenie	V	N;NOM;NEUT;SG
加入	pristúpenia	加入	pristúpenie	V	N;NOM;NEUT;PL
英	ying	英	ying	PROPN	PROPN;ANIM;NOM;MASC;SG
上海	šanghaji	上海	šanghaj	PROPN	N;INAN;NOM;MASC;SG
第三	tretia	第三	tretí	NUM	ADJ;NOM;FEM;SG
第三	tretí	第三	tretí	NUM	ADJ;ANIM;NOM;MASC;SG
第三	tretích	第三	tretí	NUM	ADJ;ANIM;GEN;MASC;PL
第三	tretie	第三	tretí	NUM	ADJ;NOM;NEUT;SG
第三	tretina	第三	tretina	NUM	N;NOM;FEM;SG
魚	fish	魚	fish	N	PROPN;ANIM;VOC;MASC;SG
波	vlnová	波	vlnový	N	ADJ;NOM;FEM;SG
回	chrbát	回	chrbát	PROPN	N;INAN;NOM;MASC;SG
回	späť	回	späť	PROPN	ADV
回	back	回	back	PROPN	PROPN;ANIM;VOC;MASC;SG
回	naspäť	回	naspäť	PROPN	ADV
無	žiadny	無	žiaden	V	N;ANIM;NOM;MASC;SG
無	žiaden	無	žiaden	V	DET;ANIM;NOM;MASC;SG
無	žiadne	無	žiadny	V	DET;NOM;NEUT;SG
無	žiadna	無	žiaden	V	DET;NOM;FEM;SG
吉	kat	吉	kat	PROPN	
你	si	你	byť	PRO;2	V;IPFV;IND;SG;2;POS;PRS;FIN
方	fang	方	fang	N	PROPN;NOM;FEM;SG
東	východná	東	východný	N	ADJ;NOM;FEM;SG
東	východné	東	východný	N	ADJ;NOM;NEUT;SG
東	východný	東	východný	N	ADJ;ANIM;NOM;MASC;SG
東	východne	東	východne	N	ADV
東	dong	東	dong	N	PROPN;ANIM;NOM;MASC;SG
英國	england	英國	england	PROPN	
英國	anglicko	英國	anglicko	PROPN	ADV
英國	anglicka	英國	anglicko	PROPN	N;NOM;FEM;SG
