von	から	von	から	ADP	CONJ
noch	スティル	noch	スティル	ADV	N
noch	それ	noch	それ	ADV	PRO
noch	yet	noch	yet	ADV	PROPN
hat	has	haben	has	V;IND;SG;3;PRS;FIN	PROPN
hat	ハット	haben	ハット	V;IND;SG;3;PRS;FIN	N
hat	帽子	haben	帽子	V;IND;SG;3;PRS;FIN	N
artikel	記事	artikel	記事	ADJ	N
artikel	冠詞	artikel	冠詞	ADJ	N
artikel	アイテム	artikel	アイテム	ADJ	N
artikel	品物	artikel	品物	ADJ	N
artikel	記事	artikel	記事	ADJ	N
artikel	冠詞	artikel	冠詞	ADJ	N
man	男性	man	男性	PRO;NOM;INDF;SG	N
man	man	man	man	PRO;NOM;INDF;SG	PROPN
vor	フロント	vor	フロント	ADP	N
vor	表側	vor	表側	ADP	N
vor	前面	vor	前面	ADP	N
vor	pre	vor	pre	ADP	PROPN
vor	以前	vor	以前	ADP	N
wurden	were	werden	were	V;IND;PL;3;PST;FIN;PASS	PROPN
sein	his	sein	his	DET;NOM;MASC;SG	PROPN
diese	この	dies	この	PRO;NOM;FEM;SG	DET
vom	から	vom	から		CONJ
kann	メイ	können	メイ	V;IND;SG;3;PRS;FIN	PROPN
kann	五月	können	五月	V;IND;SG;3;PRS;FIN	N
kann	can	können	can	V;IND;SG;3;PRS;FIN	PROPN
hier	ここ	hier	ここ	ADV	PRO
diskussion	話し合い	diskussion	話し合い	N	V
seine	his	sein	his	DET;NOM;FEM;SG	PROPN
seine	its	sein	its	DET;NOM;FEM;SG	PROPN
seit	以来	seit	以来	ADP	N
seit	since	seit	since	ADP	PROPN
dieser	この	dies	この	PRO;NOM;MASC;SG	DET
wenn	いつ	wenn	いつ	CONJ	N
wenn	とき	wenn	とき	CONJ	N
dann	それ	dann	それ	ADV	PRO
seiner	his	sein	his	DET;NOM;MASC;SG	PROPN
seiner	its	sein	its	DET;NOM;MASC;SG	PROPN
jahre	イヤー	jahren	イヤー	ADV	N
jahre	年数	jahren	年数	ADV	N
mai	メイ	mai	メイ	PROPN;NOM;MASC;SG	PROPN
mai	五月	mai	五月	PROPN;NOM;MASC;SG	N
mai	マイ	mai	マイ	PROPN;NOM;MASC;SG	N
isbn	isbn	isbn	isbn	;SG	PROPN
hatte	had	haben	had	V;IND;SG;3;PST;FIN	PROPN
zwischen	中間	zwischen	中間	ADP	N
zwischen	中級	zwischen	中級	ADP	N
gegen	反対	gegen	反対	ADP	
keine	なし	kein	なす	PRO;NOM;INDF;FEM;SG;NEG	
waren	商品	sein	商品	V;IND;PL;3;PST;FIN	N
waren	貨物	sein	貨物	V;IND;PL;3;PST;FIN	N
waren	物品	sein	物品	V;IND;PL;3;PST;FIN	N
waren	were	sein	were	V;IND;PL;3;PST;FIN	PROPN
waren	商品	sein	商品	V;IND;PL;3;PST;FIN	N
zeit	期間	zeit	期間	ADJ	N
zeit	ピリオド	zeit	ピリオド	ADJ	N
zeit	タイム	zeit	タイム	ADJ	N
zeit	時間	zeit	時間	ADJ	N
stadt	タウン	staden	タウン		N
stadt	シティ	staden	シティ		PROPN
stadt	都市	staden	都市		N
stadt	都市	staden	都市		N
wieder	アゲイン	wieder	アゲイン	ADV	PROPN
wieder	戻る	wieder	戻る	ADV	V
wieder	後ろ	wieder	後ろ	ADV	N
wieder	背中	wieder	背中	ADV	N
wieder	裏側	wieder	裏側	ADV	N
wieder	再会	wieder	再会	ADV	V
deutscher	ドイツ語	deutsch	ドイツ語	ADJ	N
jahren	年数	jahren	年数	ADJ	N
mal	タイムズ	mal	タイムズ	ADV	PROPN
ersten	ファースト	erst	ファースト	ADJ;NOM;PL	N
ersten	最初	erst	最初	ADJ;NOM;PL	N
jedoch	しかし	jedoch	しかし	ADV	CONJ
jedoch	でも	jedoch	でも	ADV	CONJ
jedoch	しかし	jedoch	しかし	ADV	CONJ
dort	そこ	dort	そこ	ADV	PRO
seed	種子	seed	種子		N
seed	シード	seed	シード		N
drei	三人	drei	三人	NUM	N
drei	three	drei	three	NUM	PROPN
drei	スリー	drei	スリー	NUM	PROPN
etwa	について	etwa	について	ADV	ADP
deutschen	ドイツ語	deutsch	ドイツ語	ADJ	N
teil	パート	teil	パート	ADV	N
teil	部分	teil	部分	ADV	N
berlin	ベルリン	berlin	ベルリン	PROPN;NOM;NEUT;SG	PROPN
heute	トゥデイ	heute	トゥデイ	ADV	PROPN
heute	今日	heute	今日	ADV	N
habe	got	haben	got	V;SBJV;SG;3;PRS;FIN	PROPN
alle	all	alle	all	PRO;NOM;INDF;PL	PROPN
alle	すべて	alle	すべて	PRO;NOM;INDF;PL	N
alle	みんな	alle	みんな	PRO;NOM;INDF;PL	ADV
während	while	während	while	CONJ	PROPN
ihre	its	ihr	its	DET;NOM;FEM;SG	PROPN
anderen	その	ander	その	ADJ;NOM;PL	DET
anderen	その	ander	その	ADJ;NOM;PL	DET
später	後	spät	後	ADJ	N
können	can	können	can	V;IND;PL;3;PRS;FIN	PROPN
jan	ヤン	jan	ヤン	PROPN;NOM;MASC;SG	PROPN
mir	ミール	ich	ミール	PRO;DAT;SG;1	PROPN
seinen	his	sein	his	DET;ACC;MASC;SG	PROPN
ihr	ihr	ihr	ihr	PRO;NOM;MASC;SG	PROPN
gemeinde	コミュニティー	gemeinde	コミュニティー	N;NOM;FEM;SG	V
seinem	his	sein	his	DET;DAT;MASC;SG	PROPN
erste	ファースト	erst	ファースト	ADJ;NOM;FEM;PL	N
erste	最初	erst	最初	ADJ;NOM;FEM;PL	N
august	アウグスト	augusten	アウグスト	PROPN;NOM;MASC;SG	PROPN
august	aug	augusten	aug	PROPN;NOM;MASC;SG	PROPN
august	オーガスタス	augusten	オーガスタス	PROPN;NOM;MASC;SG	PROPN
august	アウグストゥス	augusten	アウグストゥス	PROPN;NOM;MASC;SG	PROPN
ohne	excl	ohne	excl	ADP	PROPN
ohne	なし	ohne	なす	ADP	
deutschland	ドイツ	deutschland	ドイツ	PROPN;NOM	PROPN
ihm	him	er	him	PRO;DAT;MASC;SG;3	PROPN
ende	終了	ende	終了	N;ACC;NEUT;SG	V
ende	終了	ende	終了	N;ACC;NEUT;SG	V
märz	マーチ	märz	マーチ	PROPN;NOM;MASC;SG	N
märz	行進	märz	行進	PROPN;NOM;MASC;SG	N
märz	märz	märz	märz	PROPN;NOM;MASC;SG	PROPN
aug	aug	augen	aug		PROPN
deutsche	ドイツ語	deutsch	ドイツ語	ADJ;NOM;FEM;PL	N
band	band	binden	band		PROPN
band	バンド	binden	バンド		N
band	テープ	binden	テープ		N
band	リボン	binden	リボン		N
januar	januar	januar	januar	PROPN;NOM;MASC;SG	PROPN
doch	yet	doch	yet	ADV	PROPN
doch	でも	doch	でも	ADV	CONJ
doch	しかし	doch	しかし	ADV	CONJ
oktober	十月	oktober	十月	PROPN;NOM;SG	N
nov	nov	nov	nov		PROPN
ihn	ihn	er	ihn	PRO;ACC;MASC;SG;3	PROPN
ihn	him	er	him	PRO;ACC;MASC;SG;3	PROPN
wikipedia	wikipedia	wikipedia	wikipedia		PROPN
wikipedia	ウィキペディア	wikipedia	ウィキペディア		PROPN
jun	jun	jun	jun		PROPN
jun	じゅん	jun	じゅん		PROPN
kirche	教会	kirche	教会		N
kirche	チャーチ	kirche	チャーチ		PROPN
kirche	教会堂	kirche	教会堂		N
kirche	教会	kirche	教会		N
juni	jun	juni	jun	PROPN;NOM;MASC;SG	PROPN
juni	じゅん	juni	じゅん	PROPN;NOM;MASC;SG	PROPN
juni	六月	juni	六月	PROPN;NOM;MASC;SG	N
april	apr	april	apr	PROPN;NOM;MASC;SG	PROPN
april	四月	april	四月	PROPN;NOM;MASC;SG	N
april	エイプリル	april	エイプリル	PROPN;NOM;MASC;SG	PROPN
september	九月	september	九月	PROPN;SG	N
september	三軒茶屋	september	三軒茶屋	PROPN;SG	N
september	sep	september	sep	PROPN;SG	PROPN
selbst	偶数	selbst	偶数	ADV	N
selbst	even	selbst	even	ADV	PROPN
selbst	セルフ	selbst	セルフ	ADV	N
selbst	自己	selbst	自己	ADV	N
selbst	自分	selbst	自分	ADV	N
selbst	myself	selbst	myself	ADV	PROPN
weitere	さらに	weit	さらに	ADJ;NOM;FEM;PL	ADV
weitere	もっと	weit	もっと	ADJ;NOM;FEM;PL	ADV
juli	ジュリ	juli	ジュリ	PROPN;NOM;MASC;SG	PROPN
andere	その	ander	その	ADJ;NOM;FEM;PL	DET
andere	その	ander	その	ADJ;NOM;FEM;PL	DET
kein	not	kein	not	PRO;NOM;INDF;MASC;SG;NEG	PROPN
geschichte	記事	geschicht	記事		N
geschichte	ストーリー	geschicht	ストーリー		N
geschichte	物語	geschicht	物語		N
geschichte	履歴	geschicht	履歴		N
geschichte	由緒	geschicht	由緒		N
geschichte	歴史	geschicht	歴史		N
geschichte	沿革	geschicht	沿革		N
verlag	出版	verliegen	出版	N;NOM;MASC;SG	V
apr	apr	apr	apr		PROPN
jpg	jpg	jpg	jpg		PROPN
dezember	dec	dezember	dec	PROPN;NOM;MASC;SG	PROPN
dez	dec	dez	dec		PROPN
universität	大学	universität	大学	ADJ	N
platz	プラザ	platz	プラザ	ADV	N
platz	正方	platz	正方	ADV	N
platz	四角	platz	四角	ADV	PROPN
platz	広場	platz	広場	ADV	N
platz	place	platz	place	ADV	PROPN
platz	場所	platz	場所	ADV	N
platz	スポット	platz	スポット	ADV	N
platz	プラッツ	platz	プラッツ	ADV	PROPN
platz	スペース	platz	スペース	ADV	N
platz	空間	platz	空間	ADV	N
sep	sep	sepen	sep		PROPN
november	十一月	november	十一月	PROPN	PROPN
november	nov	november	nov	PROPN	PROPN
liste	リスト	lassen	リスト	N;NOM;FEM;SG	V
bzw	resp	bzw	resp		PROPN
wir	wir	wir	wir	PRO;NOM;PL;1	PROPN
jahrhundert	jahrhundert	jahrhundert	jahrhundert	ADJ	PROPN
jahrhundert	世紀	jahrhundert	世紀	ADJ	N
jahrhundert	センチュリー	jahrhundert	センチュリー	ADJ	N
beiden	両方	beide	両方	PRO;NOM;INDF;PL	
beiden	二	beide	二	PRO;NOM;INDF;PL	NUM
beiden	二	beide	二	PRO;NOM;INDF;PL	NUM
vier	four	vier	four	NUM	PROPN
vier	フォー	vier	フォー	NUM	N
zweiten	番目	zweit	番目	ADJ;NOM;MASC;PL	N
zweiten	セカンド	zweit	セカンド	ADJ;NOM;MASC;PL	N
februar	二月	februaer	二月	PROPN;NOM;SG	N
gab	gab	geben	gab	V;IND;SG;3;PST;FIN	PROPN
mich	自分	ich	自分	PRO;ACC;SG;1	N
mich	myself	ich	myself	PRO;ACC;SG;1	PROPN
zusammen	together	zusammen	together	ADV	PROPN
allerdings	しかし	allerdings	しかし	ADV	CONJ
allerdings	でも	allerdings	でも	ADV	CONJ
allerdings	しかし	allerdings	しかし	ADV	CONJ
allerdings	だけれど	allerdings	だけれど	ADV	CONJ
film	映画	falmen	映画		N
film	ムービー	falmen	ムービー		N
film	映画	falmen	映画		N
film	フィルム	falmen	フィルム		N
neue	new	neu	new	ADJ;NOM;FEM;PL	PROPN
nun	now	nun	now	ADV	PROPN
nun	ナウ	nun	ナウ	ADV	PROPN
nun	まあ	nun	まあ	ADV	CONJ
leben	リビング	leben	リビング	V;NFIN	N
leben	living	leben	living	V;NFIN	PROPN
leben	生命	leben	生命	V;NFIN	N
leben	人生	leben	人生	V;NFIN	N
leben	ライフ	leben	ライフ	V;NFIN	N
leben	ライフスタイル	leben	ライフスタイル	V;NFIN	N
leben	ライブ	leben	ライブ	V;NFIN	N
namen	名前	name	名前		N
namen	氏名	name	氏名		N
namen	名称	name	名称		N
namen	名前	name	名前		N
namen	名称	name	名称		N
weil	なぜ	weil	なぜ	CONJ	ADV
weil	だっ	weil	だ	CONJ	CONJ
weil	ヴェイユ	weil	ヴェイユ	CONJ	PROPN
bitte	pls	bitte	pls		PROPN
bitte	plz	bitte	plz		PROPN
einige	いくつか	einige	いくつか	PRO;NOM;INDF;PL	ADV
einige	一部	einige	一部	PRO;NOM;INDF;PL	N
einige	いくらか	einige	いくらか	PRO;NOM;INDF;PL	ADV
mitglied	メンバ	mitglied	メンバ	ADJ	PROPN
mitglied	会員	mitglied	会員	ADJ	N
mitglied	メンバー	mitglied	メンバー	ADJ	N
wegen	なぜ	wegen	なぜ	ADP	ADV
wegen	だっ	wegen	だ	ADP	CONJ
viele	多数	viel	多数	ADJ;NOM;INDF;PL	N
text	テキスト	Text	テキスト		N
text	歌詞	Text	歌詞		N
text	作詞	Text	作詞		N
ebenfalls	also	ebenfalls	also	ADV	PROPN
ebenfalls	また	ebenfalls	また	ADV	CONJ
ebenfalls	too	ebenfalls	too	ADV	PROPN
ebenfalls	同じく	ebenfalls	同じく	ADV	CONJ
münchen	ミュンヘン	münchen	ミュンヘン	PROPN;NOM;NEUT;SG	PROPN
löschen	クリア	löschen	クリア	V;NFIN	N
zurück	return	zurück	return	ADV	PROPN
zurück	リターン	zurück	リターン	ADV	N
zurück	戻る	zurück	戻る	ADV	V
zurück	後ろ	zurück	後ろ	ADV	N
zurück	背中	zurück	背中	ADV	N
zurück	裏側	zurück	裏側	ADV	N
ort	place	ort	place	N;NOM;MASC;SG	PROPN
allem	すべて	alle	すべて	PRO;DAT;INDF;NEUT;SG	N
allem	全て	alle	全て	PRO;DAT;INDF;NEUT;SG	ADV
geht	goes	gehen	goes	V;IND;SG;3;PRS;FIN	PROPN
jetzt	now	jetzt	now	ADV	PROPN
jetzt	ナウ	jetzt	ナウ	ADV	PROPN
friedrich	フリードリヒ	friedrich	フリードリヒ	PROPN;NOM;SG	PROPN
friedrich	フリードリッヒ	friedrich	フリードリッヒ	PROPN;NOM;SG	PROPN
friedrich	フレデリック	friedrich	フレデリック	PROPN;NOM;SG	PROPN
friedrich	フリードリヒ	friedrich	フリードリヒ	PROPN;NOM;SG	PROPN
neuen	new	neu	new	ADJ;ACC;MASC;SG	PROPN
art	親切	art	親切	N;NOM;FEM;SG	ADJ
stand	ブース	stehen	ブース	V;IND;SG;3;PST;FIN	N
stand	スタンド	stehen	スタンド	V;IND;SG;3;PST;FIN	N
würde	威厳	werden	威厳	V;SBJV;SG;3;PST;FIN	N
würde	品格	werden	品格	V;SBJV;SG;3;PST;FIN	N
würde	尊厳	werden	尊厳	V;SBJV;SG;3;PST;FIN	N
politiker	政治	politik	政治	ADJ	N
politiker	政治家	politik	政治家	ADJ	N
politiker	政治家	politik	政治家	ADJ	N
personen	pax	Person	pax	N;NOM;FEM;PL	PROPN
titel	トラック	titel	トラック		N
titel	役職	titel	役職		N
titel	称号	titel	称号		N
titel	タイトル	titel	タイトル		N
titel	肩書	titel	肩書		N
titel	称号	titel	称号		N
titel	タイトル	titel	タイトル		N
karl	シャルル	karlen	シャルル	PROPN;NOM;MASC;SG	PROPN
gut	グッド	gut	グッド	ADJ	N
gut	まあ	gut	まあ	ADJ	CONJ
daher	したがっ	daher	したがう	ADV	V
daher	ゆえ	daher	ゆえ	ADV	N
daher	ゆえ	daher	ゆえ	ADV	N
nachdem	アフター	nachdem	アフター	CONJ	PROPN
familie	fam	familie	fam	N;NOM;FEM;SG	PROPN
weiter	継続	weiter	継続	ADV	V
weiter	続行	weiter	続行	ADV	V
weiter	continue	weiter	continue	ADV	PROPN
weiter	続ける	weiter	続ける	ADV	V
weiter	続き	weiter	続く	ADV	V
weiter	継続	weiter	継続	ADV	V
ganz	ガンツ	ganz	ガンツ	ADV	PROPN
außerdem	also	außerdem	also	ADV	PROPN
außerdem	また	außerdem	また	ADV	CONJ
hans	ハンス	hans	ハンス	PROPN;NOM;MASC;SG	PROPN
johann	ジョン	johann	ジョン	PROPN;NOM;MASC;SG	PROPN
großen	ビッグ	groß	ビッグ	ADJ;PL	N
großen	少佐	groß	少佐	ADJ;PL	N
großen	メジャー	groß	メジャー	ADJ;PL	N
großen	専攻	groß	専攻	ADJ;PL	N
erl	erl	erl	erl		PROPN
bild	画像	bild	画像		N
bild	写真	bild	写真		N
bild	画像	bild	画像		N
bild	イメージ	bild	イメージ		N
bild	pic	bild	pic		PROPN
bild	bild	bild	bild		PROPN
große	ビッグ	groß	ビッグ	ADJ;NOM;FEM;PL	N
große	グレート	groß	グレート	ADJ;NOM;FEM;PL	PROPN
denn	なぜ	denn	なぜ	CONJ	ADV
peter	ペーター	peter	ペーター	PROPN;NOM;MASC;SG	PROPN
peter	peter	peter	peter	PROPN;NOM;MASC;SG	PROPN
peter	ピーター	peter	ピーター	PROPN;NOM;MASC;SG	PROPN
kommt	カミング	kommen	カミング	V;IND;SG;3;PRS;FIN	PROPN
aufgrund	締切	aufgrund	締切	ADP	N
jahrhunderts	世紀	jahrhundert	世紀	ADV	N
jahrhunderts	センチュリー	jahrhundert	センチュリー	ADV	N
fall	ケース	fall	ケース	ADV	N
fall	落ちる	fall	落ちる	ADV	V
fall	落下	fall	落下	ADV	V
wilhelm	ヴィルヘルム	wilhelm	ヴィルヘルム	PROPN;NOM;MASC;SG	PROPN
englisch	イングリッシュ	englisch	イングリッシュ	ADJ	N
englisch	英語	englisch	英語	ADJ	N
danach	それ	danach	それ	ADV	PRO
danach	アフター	danach	アフター	ADV	PROPN
fünf	ファイブ	fünf	ファイブ	NUM	N
fünf	five	fünf	five	NUM	PROPN
fünf	fünf	fünf	fünf	NUM	PROPN
könig	king	könig	king	N;NOM;SG	PROPN
könig	ケーニヒ	könig	ケーニヒ	N;NOM;SG	PROPN
mehrere	倍	mehrere	倍	PRO;NOM;INDF;PL	N
mehrere	複数	mehrere	複数	PRO;NOM;INDF;PL	N
form	フォーム	form	フォーム	N;SG	
meter	メートル	meter	メートル	ADV	N
meter	メートル	meter	メートル	ADV	N
meter	メートル	meter	メートル	ADV	N
meter	メーター	meter	メーター	ADV	N
meter	メーター	meter	メーター	ADV	N
schloss	ロック	schließen	ロック	V;SG	N
schloss	錠前	schließen	錠前	V;SG	N
schloss	キャッスル	schließen	キャッスル	V;SG	N
schloss	シャトー	schließen	シャトー	V;SG	PROPN
schloss	宮殿	schließen	宮殿	V;SG	N
finden	find	finden	find	V;NFIN	PROPN
genannt	named	nennen	named	V;V.PTCP	PROPN
heinrich	ハインリヒ	heinrich	ハインリヒ	PROPN;NOM;MASC;SG	PROPN
heinrich	ヘンリー	heinrich	ヘンリー	PROPN;NOM;MASC;SG	PROPN
letzten	最終	letzt	最終	ADJ;PL	N
letzten	ラスト	letzt	ラスト	ADJ;PL	N
letzten	最後	letzt	最後	ADJ;PL	N
neu	new	neu	new	ADJ	PROPN
john	ジョン	john	ジョン	PROPN;NOM;MASC;SG	PROPN
weiteren	さらに	weit	さらに	ADJ;ACC;MASC;SG	ADV
machen	メイキング	machen	メイキング	V;NFIN	N
machen	メイク	machen	メイク	V;NFIN	N
machen	make	machen	make	V;NFIN	PROPN
gewann	ウォン	gewinnen	ウォン	V;IND;SG;3;PST;FIN	N
gewann	won	gewinnen	won	V;IND;SG;3;PST;FIN	PROPN
beispiel	サンプリング	beispiel	サンプリング	ADV	N
beispiel	サンプル	beispiel	サンプル	ADV	N
beispiel	用例	beispiel	用例	ADV	N
beispiel	実例	beispiel	実例	ADV	N
usa	米国	usa	米国	PROPN;NOM;MASC;PL	PROPN
recht	法律	recht	法律	ADV	N
recht	法学	recht	法学	ADV	N
bin	bin	sein	bin	V;IND;SG;2;PRS;FIN	PROPN
york	ヨーク	york	ヨーク	PROPN;NOM;NEUT;SG	PROPN
paul	ポール	paul	ポール	PROPN;NOM;MASC;SG	N
paul	パウル	paul	パウル	PROPN;NOM;MASC;SG	PROPN
frage	ask	frage	ask	N;NOM;FEM;SG	PROPN
frage	尋ねる	frage	尋ねる	N;NOM;FEM;SG	V
frage	質問	frage	質問	N;NOM;FEM;SG	V
frage	疑問	frage	疑問	N;NOM;FEM;SG	ADJ
insgesamt	合計	insgesamt	合計	ADV	N
insgesamt	全体	insgesamt	全体	ADV	N
insgesamt	合計	insgesamt	合計	ADV	N
kurz	ショート	kurz	ショート	ADJ	N
straße	海峡	straß	海峡	ADJ	N
straße	道路	straß	道路	ADJ	N
straße	ストリート	straß	ストリート	ADJ	N
straße	通り	straß	通り	ADJ	N
straße	ストリート	straß	ストリート	ADJ	N
straße	道路	straß	道路	ADJ	N
rund	ラウンド	rund	ラウンド	ADV	N
rund	round	rund	round	ADV	PROPN
rund	丸い	rund	丸く	ADV	ADJ
einfach	シンプル	einfach	シンプル	ADV	ADJ
einfach	簡単	einfach	簡単	ADV	ADJ
einfach	単純	einfach	単純	ADV	ADJ
einfach	ジャスト	einfach	ジャスト	ADV	PROPN
einfach	ただ	einfach	ただ	ADV	CONJ
einfach	イージー	einfach	イージー	ADV	N
einfach	易しい	einfach	易しい	ADV	ADJ
einfach	やさしい	einfach	やさしい	ADV	ADJ
einfach	簡単	einfach	簡単	ADV	ADJ
datei	ファイル	datei	ファイル		N
lassen	let	lassen	let	V;NFIN	PROPN
lassen	レット	lassen	レット	V;NFIN	N
land	国名	land	国名		N
land	カントリー	land	カントリー		N
land	ランド	land	ランド		N
land	土地	land	土地		N
land	土地	land	土地		N
hatten	had	haben	had	V;IND;PL;3;PST;FIN	PROPN
tod	デス	tod	デス		PROPN
tod	tod	tod	tod		PROPN
macht	makes	machen	makes	V;IND;SG;3;PRS;FIN	PROPN
macht	権力	machen	権力	V;IND;SG;3;PRS;FIN	N
macht	パワー	machen	パワー	V;IND;SG;3;PRS;FIN	N
vielleicht	たぶん	vielleicht	たぶん	ADV	CONJ
vielleicht	多分	vielleicht	多分	ADV	
vielleicht	未定	vielleicht	未定	ADV	ADJ
paris	パリス	paris	パリス	PROPN;NOM;NEUT;SG	PROPN
paris	パリ	paris	パリ	PROPN;NOM;NEUT;SG	PROPN
alles	すべて	alle	すべて	PRO;NOM;INDF;NEUT;SG	N
alles	全て	alle	全て	PRO;NOM;INDF;NEUT;SG	ADV
alles	all	alle	all	PRO;NOM;INDF;NEUT;SG	PROPN
alles	すべて	alle	すべて	PRO;NOM;INDF;NEUT;SG	N
alles	何	alle	何	PRO;NOM;INDF;NEUT;SG	NUM
oft	頻繁	oft	頻繁	ADV	ADJ
oft	頻繁	oft	頻繁	ADV	ADJ
oft	頻繁	oft	頻繁	ADV	ADJ
landkreis	カウンティ	landkreis	カウンティ	N	PROPN
landkreis	ディストリクト	landkreis	ディストリクト	N	PROPN
führte	led	führen	led	V;IND;SG;3;PST;FIN	PROPN
kategorie	分類	kategorie	分類	N;NOM;FEM;SG	V
kategorie	分類	kategorie	分類	N;NOM;FEM;SG	V
bedeutung	意味	bedeutung	意味	ADJ	V
bedeutung	意味	bedeutung	意味	ADJ	V
relevant	関連	relevant	関連	ADJ	V
bereich	セクター	bereich	セクター	ADV	N
bereich	ドメイン	bereich	ドメイン	ADV	N
bereich	範囲	bereich	範囲	ADV	N
bereich	レンジ	bereich	レンジ	ADV	N
bereich	セクション	bereich	セクション	ADV	N
bereich	面積	bereich	面積	ADV	N
bereich	領域	bereich	領域	ADV	N
bereich	エリア	bereich	エリア	ADV	N
verein	クラブ	verein	クラブ		N
verein	棍	verein	棍		PROPN
verein	社団	verein	社団		N
verein	協会	verein	協会		N
verein	アソシエーション	verein	アソシエーション		N
anfang	開始	anfang	開始	N;ACC;MASC;SG	V
anfang	始める	anfang	始める	N;ACC;MASC;SG	V
anfang	スタート	anfang	スタート	N;ACC;MASC;SG	V
anfang	アーリー	anfang	アーリー	N;ACC;MASC;SG	PROPN
anfang	早い	anfang	早い	N;ACC;MASC;SG	ADJ
viel	lot	viel	lot	ADV	PROPN
viel	ロット	viel	ロット	ADV	N
quelle	ソース	quelle	ソース	ADJ;NOM;SG	N
quelle	出典	quelle	出典	ADJ;NOM;SG	N
haus	帰宅	haus	帰宅	N;NOM;NEUT;SG	V
michael	ミヒャエル	michael	ミヒャエル	PROPN;NOM;MASC;SG	PROPN
michael	マイケル	michael	マイケル	PROPN;NOM;MASC;SG	PROPN
region	リージョン	Region	リージョン		N
region	地域	Region	地域		N
meist	通常	meist	通常	ADV	N
eigenen	own	eigen	own	ADJ;ACC;MASC;SG	PROPN
findet	find	finden	find	V;IND;SG;3;PRS;FIN	PROPN
lang	lang	lang	lang	ADJ	PROPN
lang	ラング	lang	ラング	ADJ	PROPN
lang	ロング	lang	ロング	ADJ	N
allen	アレン	alle	アレン	PRO;ACC;INDF;PL	PROPN
hamburg	ハンブルグ	hamburg	ハンブルグ	PROPN;NOM;NEUT;SG	PROPN
hamburg	ハンブルク	hamburg	ハンブルク	PROPN;NOM;NEUT;SG	PROPN
deutsch	ドイツ語	deutsch	ドイツ語	ADJ	N
deutsch	イングリッシュ	deutsch	イングリッシュ	ADJ	N
deutsch	英語	deutsch	英語	ADJ	N
franz	フランツ	franz	フランツ	PROPN;NOM;MASC;SG	N
