את	te	את	te	PART;ACC	V;DEF;IND;SG;1;PRS;FIN;ACT
העיר	város	העיר	város	V;MASC;SG;3;PST;ACT	N;NOM;SG
העיר	city	העיר	city	V;MASC;SG;3;PST;ACT	
העיר	városi	העיר	városi	V;MASC;SG;3;PST;ACT	ADJ;NOM;SG
העיר	város	העיר	város	V;MASC;SG;3;PST;ACT	N;NOM;SG
במהלך	során	במהלך	sor	ADV	N;ON+ESS;SG
כן	igen	כן	igen	ADV	
כן	igen	כן	igen	ADV	
שנים	év	שנה	év	N;FEM;PL	N;NOM;SG
אף	orr	אף	orr	CONJ	N;NOM;SG
אף	orrot	אף	oror	CONJ	N;ACC;SG
רבים	sok	רב	sok	V;MASC;PL;V.PTCP;ACT	
רבים	sokan	רב	sokan	V;MASC;PL;V.PTCP;ACT	ADV
אביב	aviv	אביב	aviv	N;MASC;SG	PROPN;NOM;SG
אביב	tavaszi	אביב	tavaszi	N;MASC;SG	
במאי	may	במאי	may	N;MASC;SG	
במאי	májusi	במאי	májusi	N;MASC;SG	ADJ;NOM;SG
שנה	évi	שנה	évi	N;FEM;SG	
שנה	évek	שנה	év	N;FEM;SG	N;NOM;PL
נולד	született	נולד	születik	V;MASC;SG;3;PST;MID	V;INDF;IND;SG;3;PST;FIN;ACT
נולד	megszületett	נולד	meg+szület	V;MASC;SG;3;PST;MID	V;INDF;IND;SG;3;PST;FIN;ACT
הערות	jegyzet	הערה	jegyzet	N;FEM;PL	N;NOM;SG
הערות	hozzászólás	הערה	hozzászólás	N;FEM;PL	
הערות	megjegyzés	הערה	megjegyzés	N;FEM;PL	N;NOM;SG
חלק	részben	חלק	részben	N;MASC;SG	ADV
חלק	sima	חלק	sima	N;MASC;SG	
לפני	előtte	לפני	előtte	ADP	
לפני	mielőtt	לפני	mielőtt	ADP	ADV
אחת	egy	אחת	egy	NUM;FEM;SG	DET;INDF
ביולי	júliusban	ביולי	július	PROPN	N;IN+ESS;SG
ביולי	júliusi	ביולי	júliusi	PROPN	ADJ;NOM;SG
ביולי	július	ביולי	július	PROPN	N;NOM;SG
שוליים	fringe	שול	fringe	N;MASC;PL	N;NOM;SG
באוקטובר	októberi	באוקטובר	októberi	PROPN	ADJ;NOM;SG
באוקטובר	októberben	באוקטובר	október	PROPN	N;IN+ESS;SG
באוקטובר	október	באוקטובר	október	PROPN	N;NOM;SG
בשם	megnevezett	בשם	megnevezett		V;INDF;IND;SG;3;PST;FIN;ACT
במקום	helyett	במקום	helyett	ADP	
במקום	ehelyett	במקום	ehelyett	ADP	
במקום	helyette	במקום	helyett	ADP	
החל	kezdődött	None	kezdődik	ADP	V;INDF;IND;SG;3;PST;FIN;ACT
החל	megkezdődött	None	megkezdődik	ADP	V;INDF;IND;SG;3;PST;FIN;ACT
החל	elkezdődött	None	elkezdődik	ADP	V;INDF;IND;SG;3;PST;FIN;ACT
החל	kezdem	None	kezdem	ADP	V;DEF;IND;SG;1;PRS;FIN;ACT
החל	kezdő	None	kezdő	ADP	
החל	kezdve	None	kezdv	ADP	N;ON+ESS;SG
הרב	gyógynövény	הרב	gyógynövény		N;NOM;SG
בינואר	januári	בינואר	januári		ADJ;NOM;SG
בינואר	január	בינואר	január		N;NOM;SG
בינואר	januárban	בינואר	január		N;IN+ESS;SG
במרץ	március	במרץ	március	PROPN	N;NOM;SG
במרץ	márciusi	במרץ	márciusi	PROPN	ADJ;NOM;SG
ראש	rush	ראש	rush	N;MASC;SG	
חיים	élet	חיים	élet	PROPN	N;NOM;SG
חיים	életem	חיים	élet	PROPN	N;NOM;SG
חיים	life	חיים	life	PROPN	
חיים	chaim	חיים	chaim	PROPN	
חיים	haim	חיים	haim	PROPN	
המאה	évszázad	המאה	évszázad		N;NOM;SG
המאה	század	המאה	század		N;NOM;SG
בנובמבר	november	בנובמבר	november	ADV	N;NOM;SG
בנובמבר	novemberi	בנובמבר	novemberi	ADV	ADJ;NOM;SG
בנובמבר	novemberben	בנובמבר	november	ADV	N;IN+ESS;SG
בדצמבר	december	בדצמבר	december	PROPN	N;NOM;SG
בדצמבר	decemberi	בדצמבר	decemberi	PROPN	ADJ;NOM;SG
בדצמבר	decemberben	בדצמבר	december	PROPN	N;IN+ESS;SG
תל	tel	תל	tel	N;MASC;SG	
בפברואר	februárban	בפברואר	február	ADV	N;IN+ESS;SG
בפברואר	februári	בפברואר	februári	ADV	ADJ;NOM;SG
בפברואר	február	בפברואר	február	ADV	N;NOM;SG
אחר	egyéb	אחר	egyéb	ADP	
אחר	más	אחר	más	ADP	PRO;NOM;SG;3
בני	benny	בני	benny	PROPN	
בני	fiam	בני	fia	PROPN	N;NOM;SG
בני	fiuk	בני	fiuk	PROPN	N;NOM;SG
בעיקר	főként	בעיקר	főként	ADV	
בעיקר	főleg	בעיקר	főleg	ADV	
בעיקר	főleg	בעיקר	főleg	ADV	
בעיקר	főként	בעיקר	főként	ADV	
בעיקר	többnyire	בעיקר	többnyir	ADV	
ללא	anélkül	ללא	anélkül	ADP	
שונים	más	שונה	más	ADJ;MASC;PL	PRO;NOM;SG;3
שונים	különböző	שונה	különböző	ADJ;MASC;PL	
שונים	eltérő	שונה	eltérő	ADJ;MASC;PL	ADJ;NOM;SG
שונים	többféle	שונה	többfél	ADJ;MASC;PL	
שונים	különféle	שונה	különféle	ADJ;MASC;PL	
שונים	különböző	שונה	különböző	ADJ;MASC;PL	
אדם	személy	אדם	személy	N;MASC;SG	
אדם	személyre	אדם	személy	N;MASC;SG	
אדם	adam	אדם	adam	N;MASC;SG	
אדם	emberi	אדם	emberi	N;MASC;SG	
כלל	szabály	כלל	szabály	ADV	N;NOM;SG
עוד	több	עוד	több	ADV	DET;INDF
עוד	more	עוד	more	ADV	
עוד	további	עוד	további	ADV	N;NOM;SG
עוד	tobb	עוד	tobb	ADV	
דבר	izé	דבר	izé	N;MASC;SG	
דבר	beszélni	דבר	beszél	N;MASC;SG	V;NFIN;ACT
דבר	beszélj	דבר	beszél	N;MASC;SG	V;DEF;IMP;SG;1;PRS;FIN;ACT
אחרים	egyéb	אחר	egyéb	ADJ;MASC;PL	
אחרים	más	אחר	más	ADJ;MASC;PL	PRO;NOM;SG;3
אחרים	másoknak	אחר	más	ADJ;MASC;PL	PRO;DAT;PL;3
אחרים	egyéb	אחר	egyéb	ADJ;MASC;PL	
אחרים	mások	אחר	más	ADJ;MASC;PL	
אחרים	egyebek	אחר	egyéb	ADJ;MASC;PL	
ספר	borbély	ספר	borbély	N;MASC;SG	
ספר	fodrász	ספר	fodrász	N;MASC;SG	
ספר	mondd	ספר	mondd	N;MASC;SG	V;DEF;IMP;SG;1;PRS;FIN;ACT
נגד	ellene	נגד	ellen	ADP	PRO;NOM;SG;3
אחרי	after	אחרי	after	ADP	
אחרי	miután	אחרי	miután	ADP	CONJ
אחרי	utána	אחרי	utána	ADP	
אולם	mindamellett	אולם	mindamellett	CONJ	
יום	hume	יום	hum	N;MASC;SG	
אלה	ella	אלה	ella	PRO;MASC;PL;3	
אלה	ellát	אלה	ellát	PRO;MASC;PL;3	V;INDF;IND;SG;3;PRS;FIN;ACT
אלה	istennő	אלה	istennő	PRO;MASC;PL;3	N;NOM;SG
כבר	máris	כבר	máris	ADV	
כיום	napjainkban	כיום	nap	ADV	N;IN+ESS;PL
כיום	manapság	כיום	manapság	ADV	
ירושלים	jeruzsálem	ירושלים	jeruzsálem	PROPN	N;NOM;SG
המדינה	állapot	המדין	állap	V;FEM;SG;3;PST;ACT	N;NOM;SG
המדינה	állami	המדין	állami	V;FEM;SG;3;PST;ACT	
המדינה	állam	המדין	állam	V;FEM;SG;3;PST;ACT	N;NOM;SG
יהודים	zsidó	יהודי	zsidó	N;MASC;PL	
רבות	sok	רב	sok	N;FEM;PL	
רבות	sokan	רב	sokan	N;FEM;PL	ADV
כמה	néhány	כמה	néhány	DET;PSSD	DET;INDF
מטר	lábak	מטר	láb	PROPN	N;NOM;PL
מטר	láb	מטר	láb	PROPN	N;NOM;SG
מטר	méter	מטר	méter	PROPN	N;NOM;SG
מטר	méter	מטר	méter	PROPN	N;NOM;SG
מטר	méter	מטר	méter	PROPN	N;NOM;SG
מטר	mérő	מטר	mérő	PROPN	
מטר	méter	מטר	méter	PROPN	N;NOM;SG
דרך	keresztül	דרך	keresztül		ADP
דרך	át	דרך	át		ADV
שנת	évi	שנה	évi	N;PSSD;FEM;SG	
יכול	lehetne	None	lesz	V;MASC;SG;V.PTCP	V;INDF;SG;3;PRS;FIN;ACT
יכול	tud	None	tud	V;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PRS;FIN;ACT
יכול	can	None	can	V;MASC;SG;V.PTCP	
יכול	lehet	None	lesz	V;MASC;SG;V.PTCP	V;INDF;POT;SG;3;PRS;FIN;ACT
באמצעות	via	באמצעות	via	ADP	
בעלי	férje	בעל	fér	N;PSSD;MASC;PL	N;NOM;SG
בעלי	férjem	בעל	férjem	N;PSSD;MASC;PL	N;NOM;SG
בעלי	férj	בעל	férj	N;PSSD;MASC;PL	N;NOM;SG
יחד	együtt	יחד	együtt	ADV	
בשל	megérett	בשל	meg+ér	ADP	V;INDF;IND;SG;3;PST;FIN;ACT
בשל	érett	בשל	éret	ADP	
בשל	esedékes	בשל	esedékes	ADP	
פרס	jutalom	פרס	jutalom	PROPN	N;NOM;SG
פרס	díj	פרס	díj	PROPN	N;NOM;SG
פרס	jutalom	פרס	jutalom	PROPN	N;NOM;SG
פרס	nyeremény	פרס	nyeremény	PROPN	N;NOM;SG
פרס	díj	פרס	díj	PROPN	N;NOM;SG
פרס	díjat	פרס	díjat	PROPN	N;ACC;SG
דוד	dodd	דוד	dodd	PROPN	
דוד	david	דוד	david	PROPN	
דוד	dávid	דוד	dávid	PROPN	
שלה	övé	של	övé		V;DEF;IND;SG;3;PRS;FIN;ACT
בנוסף	plus	בנוסף	plus	ADV	
בנוסף	plussz	בנוסף	plussz	ADV	
בנוסף	plusz	בנוסף	plusz	ADV	
בנוסף	ezenfelül	בנוסף	ezenfelül	ADV	
בנוסף	továbbá	בנוסף	továbbá	ADV	
תחת	feneke	תחת	feneke	ADP	N;NOM;SG
תחת	fenék	תחת	fene	ADP	N;NOM;SG
תחת	alatta	תחת	alat	ADP	
תמונה	fényképek	תמונה	fénykép	N;FEM;SG	N;NOM;PL
כתב	írt	כתב	ír	N;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
כתב	irtam	כתב	irtam	N;MASC;SG	V;DEF;IND;SG;1;PRS;FIN;ACT
כתב	írta	כתב	ír	N;MASC;SG	V;DEF;IND;SG;3;PST;FIN;ACT
כתב	írtam	כתב	ír	N;MASC;SG	V;INDF;IND;SG;1;PST;FIN;ACT
הקבוצה	csoport	הקבוצה	csoport	PROPN	N;NOM;SG
הקבוצה	csoportban	הקבוצה	csoport	PROPN	N;IN+ESS;SG
הערך	érték	הערך	ők		N;NOM;SG
הערך	értéke	הערך	érték		N;NOM;SG
רבי	rabbi	רבי	rabbi	PROPN	N;NOM;SG
מי	ki	מי	ki	ADV	PRO;NOM;SG;3
מי	aki	מי	aki	ADV	PRO;NOM;SG;3
למרות	habár	למרות	habár	ADP	CONJ
למרות	bár	למרות	bár	ADP	CONJ
למרות	habár	למרות	habár	ADP	CONJ
למרות	bár	למרות	bár	ADP	CONJ
אחרות	másoknak	אחר	más	ADJ;FEM;PL	PRO;DAT;PL;3
אחרות	egyéb	אחר	egyéb	ADJ;FEM;PL	
אחרות	mások	אחר	más	ADJ;FEM;PL	
אחרות	egyebek	אחר	egyéb	ADJ;FEM;PL	
אותם	ők	None	ők	PRO;ACC;MASC;PL;3	PRO;NOM;PL;3
המלחמה	háború	המלחם	háború	PROPN	N;NOM;SG
שונות	más	שונה	más	ADJ;FEM;PL	PRO;NOM;SG;3
שונות	különböző	שונה	különböző	ADJ;FEM;PL	
שונות	eltérő	שונה	eltérő	ADJ;FEM;PL	ADJ;NOM;SG
שונות	egyéb	שונה	egyéb	ADJ;FEM;PL	
שונות	egyebek	שונה	egyéb	ADJ;FEM;PL	
שונות	különféle	שונה	különféle	ADJ;FEM;PL	
שונות	vegyes	שונה	vegyes	ADJ;FEM;PL	
הארץ	föld	הארץ	föld		N;NOM;SG
מערכת	system	מערכת	system	N;FEM;SG	
תאריך	dátum	תאריך	dátum	PROPN	N;NOM;SG
תאריך	időpont	תאריך	időpont	PROPN	N;NOM;SG
בלבד	kizárólag	בלבד	kizárólag	ADV	
עבר	elmúlt	עבר	elmúlt	N;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
עבר	múltbeli	עבר	múltbeli	N;MASC;SG	ADJ;NOM;SG
עבר	elköltözött	עבר	elköltözött	N;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
עבר	költözött	עבר	költözött	N;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
עבר	elhunyt	עבר	el+huny	N;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
אפשר	lehetővé	אפשר	lehető	V	ADJ;TRANS;SG
נוסף	hozzáadott	None	hozzáad	ADP	V;INDF;IND;SG;3;PST;FIN;ACT
נוסף	felvéve	None	félvev	ADP	
מרכז	központi	מרכז	központi	N;MASC;SG	ADJ;NOM;SG
מרכז	center	מרכז	center	N;MASC;SG	
שימוש	felhasználva	שימוש	felhasználva	N;MASC;SG	ADV;V.CVB
שימוש	használni	שימוש	használ	N;MASC;SG	V;NFIN;ACT
שיש	márvány	שיש	márvány		N;NOM;SG
רוב	legtöbb	רוב	legtöbb	N;MASC;SG	
רוב	rob	רוב	rob	N;MASC;SG	
רוב	többségi	רוב	többségi	N;MASC;SG	ADJ;NOM;SG
רוב	többség	רוב	többség	N;MASC;SG	
כולל	inkluzív	כלל	inkluzív	V;MASC;SG;V.PTCP;ACT	N;NOM;SG
כולל	befogadó	כלל	befogadó	V;MASC;SG;V.PTCP;ACT	
כולל	tartalmazza	כלל	tartalmaz	V;MASC;SG;V.PTCP;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
כולל	beleértve	כלל	bele+értv	V;MASC;SG;V.PTCP;ACT	ADV;V.CVB
גדול	nagyok	גדול	nagy	ADJ;MASC;SG	N;NOM;PL
גדול	nagyok	גדול	nagy	ADJ;MASC;SG	N;NOM;PL
גדול	nagyszerű	גדול	nagyszerű	ADJ;MASC;SG	
ישראלים	izraeli	ישראלי	izraeli	N;MASC;PL	
מאז	mivel	מאז	mivel	ADV	CONJ
מאז	óta	מאז	óta	ADV	ADP
יהודי	zsidó	יהודי	zsidó	N;MASC;SG	
יהודי	zsidók	יהודי	zsidó	N;MASC;SG	N;NOM;PL
יהודי	zsidó	יהודי	zsidó	N;MASC;SG	
ראשון	vasárnap	ראשון	vasárnap	PROPN	
ראשון	vasárnapi	ראשון	vasárnapi	PROPN	
ראשון	először	ראשון	először	PROPN	ADV
ראשון	első	ראשון	első	PROPN	ADJ;NOM;SG
מידע	info	מידע	info	N;MASC;SG	
מידע	infó	מידע	infó	N;MASC;SG	
מידע	infók	מידע	infó	N;MASC;SG	N;NOM;PL
מידע	információk	מידע	információ	N;MASC;SG	N;NOM;PL
מידע	információk	מידע	információ	N;MASC;SG	N;NOM;PL
מידע	adatok	מידע	adat	N;MASC;SG	N;NOM;PL
ערכים	érték	ערך	ők	N;MASC;PL	N;NOM;SG
קובץ	fájl	קובץ	fájl	PROPN	N;NOM;SG
קובץ	file	קובץ	file	PROPN	N;NOM;SG
קובץ	akta	קובץ	akta	PROPN	N;NOM;SG
דקות	perc	דקה	perc	N;FEM;PL	N;NOM;SG
דקות	jegyzőkönyv	דקה	jegyzőkönyv	N;FEM;PL	N;NOM;SG
צריך	kell	צריך	kell	V;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
צריך	szükséges	צריך	szükséges	V;MASC;SG	ADJ;NOM;SG
צריך	kéne	צריך	kéne	V;MASC;SG	V;INDF;COND;SG;3;PRS;FIN;ACT
צריך	kellene	צריך	kell	V;MASC;SG	V;INDF;COND;SG;3;PRS;FIN;ACT
ויקיפדיה	wikipédia	ויקיפדיה	wikipédia	PROPN	N;NOM;SG
בת	beth	בת	beth	N;FEM;SG	
השם	neve	השם	név		N;NOM;SG
השם	név	השם	név		N;NOM;SG
מול	mol	מול	mol	ADP	PROPN;NOM;SG
שלהם	övék	של	övék		N;NOM;SG
לעתים	néha	לעתים	néha	ADV	
וגם	egyben	וגם	egyben		ADV
הים	tenger	הים	tenger		N;NOM;SG
השיר	dal	השיר	dal	ADV	N;NOM;SG
השיר	dalt	השיר	dalt	ADV	N;ACC;SG
השיר	song	השיר	song	ADV	
בזמן	miközben	בזמן	miközben	PROPN	ADV
בזמן	mialatt	בזמן	mialatt	PROPN	ADV
בזמן	míg	בזמן	míg	PROPN	ADV
בזמן	amíg	בזמן	amíg	PROPN	ADV
חדש	újdonság	חדש	újdonság	ADJ;MASC;SG	N;NOM;SG
השלישי	iii	השליש	iii	PROPN	
השלישי	harmadik	השליש	harmadik	PROPN	
השלישי	harmadszor	השליש	harmadszor	PROPN	
משה	moses	משה	moses	PROPN	
משה	mózes	משה	mózes	PROPN	N;NOM;SG
משה	moshe	משה	moshe	PROPN	N;NOM;SG
גרמניה	németül	גרמניה	németül	PROPN	
גרמניה	német	גרמניה	német	PROPN	ADJ;NOM;SG
גרמניה	németország	גרמניה	németország	PROPN	N;NOM;SG
יורק	yorkban	יורק	york	PROPN	PROPN;IN+ESS;SG
יורק	york	יורק	york	PROPN	
יורק	yorki	יורק	yorki	PROPN	
הממשלה	kormány	הממשלה	kormány	PROPN	N;NOM;SG
הממשלה	kormányzat	הממשלה	kormányzat	PROPN	N;NOM;SG
חיל	hadtest	חיל	hadtest	PROPN	N;NOM;SG
חיל	alakulat	חיל	alakulat	PROPN	N;NOM;SG
יהודה	júdás	יהודה	júdás	PROPN	
יהודה	judah	יהודה	judah	PROPN	
מעל	vége	מעל	vég	ADP	N;NOM;SG
מעל	át	מעל	át	ADP	ADV
מעל	fölötte	מעל	fölött	ADP	
מעל	fent	מעל	fent	ADP	
מעל	fenti	מעל	fent	ADP	
מעל	felette	מעל	felet	ADP	PRO;NOM;SG;3
ארץ	földterületek	ארץ	földterület	N;FEM;SG	N;NOM;PL
צרפת	franciaország	צרפת	franciaország	PROPN	N;NOM;SG
צרפת	france	צרפת	france	PROPN	
הרבה	sok	הרבה	sok	ADV	
הרבה	sok	הרבה	sok	ADV	
הרבה	sok	הרבה	sok	ADV	
הרבה	sokat	הרבה	sok	ADV	
אתה	te	הוא	te	PRO;MASC;SG;2	V;DEF;IND;SG;1;PRS;FIN;ACT
נמצא	megtalált	נמצא	meg+talál	V;MASC;SG;V.PTCP;MID	V;INDF;IND;SG;3;PST;FIN;ACT
נמצא	megtaláltam	נמצא	meg+talál	V;MASC;SG;V.PTCP;MID	V;DEF;IND;SG;1;PST;FIN;ACT
נמצא	talált	נמצא	talál	V;MASC;SG;V.PTCP;MID	V;INDF;IND;SG;3;PST;FIN;ACT
טוב	jó	טוב	jó	ADJ;MASC;SG	
אי	sziget	אי	sziget	ADV	N;NOM;SG
אי	szigeten	אי	sziget	ADV	N;ON+ESS;SG
ילדים	gyermek	ילד	gyermek	N;MASC;PL	N;NOM;SG
לאורך	mentén	לאורך	mentén	ADP	
הגיע	megérkeztek	הגיע	meg+érkezik	V;MASC;SG;3;PST;ACT	V;INDF;IND;PL;3;PST;FIN;ACT
אירופה	európa	אירופה	európa	PROPN	
אירופה	europe	אירופה	europe	PROPN	
אירופה	európában	אירופה	európa	PROPN	N;IN+ESS;SG
אירופה	europa	אירופה	europa	PROPN	
אירופה	európai	אירופה	európai	PROPN	ADJ;NOM;SG
כמעט	majdnem	כמעט	majdnem	ADV	
כמעט	majdnem	כמעט	majdnem	ADV	
יצחק	isaac	יצחק	isaac	PROPN	
יצחק	itzhak	יצחק	itzhak	PROPN	
האלבום	album	האלבום	album	PROPN	N;NOM;SG
יוסף	joseph	יוסף	joseph	PROPN	
יוסף	józsef	יוסף	józsef	PROPN	
כוח	force	כוח	force	N;MASC;SG	
כוח	power	כוח	power	N;MASC;SG	
נפטר	elhunyt	נפטר	el+huny	V;MASC;SG;3;PST;MID	V;INDF;IND;SG;3;PST;FIN;ACT
הלהקה	band	הלהקה	band	PROPN	
הלהקה	banda	הלהקה	banda	PROPN	
הלהקה	együttes	הלהקה	együttes	PROPN	
הלהקה	zenekar	הלהקה	zenekar	PROPN	N;NOM;SG
מלך	kinga	מלך	kinga	N;MASC;SG	
מקור	eredetű	מקור	eredetű	N;MASC;SG	
בתי	lányom	בית	lány	PROPN	N;NOM;SG
בתי	lánya	בית	lány	PROPN	N;NOM;SG
נראה	tűnik	נראה	tűnik	V;MASC;SG;V.PTCP;MID	V;INDF;IND;SG;3;PRS;FIN;ACT
לגבי	kb	לגבי	kb	ADP	N;NOM;SG
לגבי	nagyjából	לגבי	nagy	ADP	N;IN+ABL;SG
לגבי	körülbelül	לגבי	körülbelül	ADP	ADV
משתמש	használatával	השתמש	használat	V;MASC;SG;V.PTCP	N;INS;SG
משתמש	használata	השתמש	használat	V;MASC;SG;V.PTCP	N;NOM;SG
משתמש	felhasználva	השתמש	felhasználva	V;MASC;SG;V.PTCP	ADV;V.CVB
משתמש	felhasználó	השתמש	felhasználó	V;MASC;SG;V.PTCP	ADJ;NOM;SG
משתמש	felhasználói	השתמש	felhasználói	V;MASC;SG;V.PTCP	N;NOM;PL
קיבל	elfogadva	קיבל	elfogadva	V;MASC;SG;3;PST;ACT	ADV;V.CVB
עקב	karom	None	karom	CONJ	N;NOM;SG
עקב	esedékes	None	esedékes	CONJ	
עקב	sarka	None	sarka	CONJ	N;NOM;SG
עקב	sarok	None	sar	CONJ	N;NOM;SG
נשים	női	איש	női	N;FEM;PL	
נשים	nő	איש	nő	N;FEM;PL	N;NOM;SG
מונה	monet	מנה	monet		N;NOM;SG
במיוחד	különösen	במיוחד	különös	ADV	ADJ;FRML;SG
במיוחד	különösen	במיוחד	különös	ADV	ADJ;FRML;SG
במיוחד	főleg	במיוחד	főleg	ADV	
האימפריה	birodalom	האימפריה	birodalom	PROPN	N;NOM;SG
האימפריה	empire	האימפריה	empi	PROPN	
מים	víz	מים	víz	N;MASC;PL	N;NOM;SG
מים	vizet	מים	víz	N;MASC;PL	N;ACC;SG
כוחות	powers	כוח	powers	N;MASC;PL	
כוחות	hatáskör	כוח	hatáskör	N;MASC;PL	N;NOM;SG
פעולה	akció	פעולה	akció	N;FEM;SG	
ניו	neo	ניו	neo	PROPN	
נכון	jobbra	נכון	jobbra	ADJ;MASC;SG	ADV
נכון	igaz	נכון	igaz	ADJ;MASC;SG	
נכון	igazi	נכון	igazi	ADJ;MASC;SG	
חוק	jogszabályok	חוק	jogszabály	N;MASC;SG	N;NOM;PL
חוק	jogszabály	חוק	jogszabály	N;MASC;SG	
חיפה	haifa	חיפה	haifa	PROPN	
יחידה	unit	יחידה	únit	N;FEM;SG	
העונה	szezont	העונה	szezont	ADV	N;ACC;SG
העונה	idény	העונה	idény	ADV	N;NOM;SG
העונה	évszak	העונה	évszú	ADV	N;NOM;SG
העונה	évad	העונה	évad	ADV	N;NOM;SG
העונה	szezon	העונה	szez	ADV	N;NOM;SG
יעקב	jacob	יעקב	jac	PROPN	
יעקב	jakob	יעקב	ja	PROPN	
אינה	ina	אינו	ina	V;FEM;SG;3;NEG;V.PTCP	
הבית	otthon	הבית	otthon	ADV	
הבית	itthon	הבית	itthon	ADV	
הבית	haza	הבית	haza	ADV	
הבית	house	הבית	hous	ADV	
הבית	ház	הבית	ház	ADV	N;NOM;SG
הבית	házon	הבית	ház	ADV	ADJ;FRML;SG
תודה	köszönöm	תודה	köszönöm	PROPN	V;DEF;IND;SG;1;PRS;FIN;ACT
תודה	köszi	תודה	köszi	PROPN	V;DEF;IND;SG;1;PRS;FIN;ACT
תודה	koszi	תודה	koszi	PROPN	N;NOM;SG
