експлуатація	utnyttjande	експлуатація	utnyttja	N;INAN;NOM;FEM;SG	ADJ;NOM;PRS;V.PTCP
печінки	lever	печінка	leva	N;INAN;NOM;FEM;PL	V;IND;PRS;FIN;ACT
печінки	levern	печінка	levern	N;INAN;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;SG
напади	attentat	напади	attentad	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
напади	anfall	напади	anfall	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
напади	beslag	напади	beslag	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
напади	överfall	напади	överfall	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
кларк	clarke	кларка	clark		PROPN;NOM
кларк	clark	кларка	clark		PROPN;NOM
математичний	matte	математичний	matte	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
математичний	matematik	математичний	matematik	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
математичний	matematiska	математичний	matematisk	ADJ;NOM;MASC;SG	ADJ;NOM;PL
математичний	matematisk	математичний	matematisk	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
математичний	matte	математичний	matte	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
математичний	matematik	математичний	matematik	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
маленька	little	маленький	littal	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
маленька	litet	маленький	litet	ADJ;NOM;FEM;SG	ADV
ювілейна	jubilee	ювілейний	jubil	ADJ;NOM;FEM;SG	PROPN;NOM
ювілейна	jubileum	ювілейний	jubileum	ADJ;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
контакт	kontakta	контакт	kontakta	N;INAN;NOM;MASC;SG	V;IMP;FIN;ACT
хмари	moln	хмара	moln	N;INAN;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
популярна	popular	популярний	popul	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
популярна	populära	популярний	populär	ADJ;NOM;FEM;SG	ADJ;NOM;PL
півкулі	halvklotet	півкуль	halvklot	N;INAN;NOM;FEM;PL	N;NOM;DEF;NEUT;SG
глядачі	målgruppen	глядач	målgrupp	N;ANIM;NOM;MASC;PL	N;NOM;DEF;MASC+FEM;SG
глядачі	publik	глядач	publik	N;ANIM;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
глядачі	målgrupp	глядач	målgrupp	N;ANIM;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
перемогли	besegrat	перемогти	besegrad	V;PFV;IND;PL;PST;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
перемогли	besegrad	перемогти	besegrad	V;PFV;IND;PL;PST;FIN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
хліба	bröd	хліб	bröd	N;INAN;GEN;MASC;SG	N;NOM;INDF;NEUT;SG
продано	sålda	продати	såld	V;PFV;IND;0;FIN	ADJ;NOM;PL;PST;V.PTCP
описано	beskrev	описати	beskrev	V;PFV;IND;0;FIN	V;IMP;PST;FIN;ACT
описано	beskrivet	описати	beskriva	V;PFV;IND;0;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
описано	beskrivna	описати	beskriva	V;PFV;IND;0;FIN	ADJ;NOM;PL;PST;V.PTCP
акція	dela	акція	dela	N;INAN;NOM;FEM;SG	V;IMP;FIN;ACT
акція	lager	акція	lag	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
зведена	minskade	зведений	minska	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
ізер	isère	ізер	isère		N;NOM;INDF;MASC+FEM;SG
єжи	jerzy	бжа	jerzy	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM
домі	domi	дім	domi	N;INAN;DAT;MASC;SG	N;NOM;INDF;NEUT;SG
угорська	ungerska	угорський	ungerska	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
угорська	ungrare	угорський	ungrare	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
болівії	bolivia	болівія	bolivi	PROPN;INAN;GEN;FEM;SG	PROPN;NOM
ризику	riskerar	ризик	riskera	N;INAN;GEN;MASC;SG	V;IND;PRS;FIN;ACT
ризику	riskera	ризик	riskera	N;INAN;GEN;MASC;SG	V;IMP;FIN;ACT
відвідування	besöker	відвідування	besöka	N;INAN;NOM;NEUT;SG	V;IND;PRS;FIN;ACT
відвідування	besöka	відвідування	besöka	N;INAN;NOM;NEUT;SG	V;IMP;FIN;ACT
дванадцять	twelve	дванадцять	twelve	NUM;NOM	N;NOM;INDF;MASC+FEM;SG
патрулювання	patrullera	патрулювання	patrullera	N;INAN;NOM;NEUT;SG	V;IMP;NFIN;ACT
патрулювання	patrullerar	патрулювання	patrullera	N;INAN;NOM;NEUT;SG	V;IND;PRS;FIN;ACT
друк	trycka	друк	trycka	N;INAN;NOM;MASC;SG	V;IMP;FIN;ACT
нуля	skrapa	нуля	skrapa		V;IMP;FIN;ACT
нуля	kliar	нуля	kli		V;IMP;FIN;ACT
нуля	repa	нуля	repa		V;IMP;FIN;ACT
нуля	klia	нуля	klia		V;IMP;FIN;ACT
лоренцо	lorenzo	лоренцо	lorenzo	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM
люксембургу	luxemburgska	люксембург	luxemburgsk	PROPN;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
люксембургу	luxemburg	люксембург	luxemburg	PROPN;INAN;NOM;MASC;SG	PROPN;NOM
люксембургу	luxembourg	люксембург	luxembourg	PROPN;INAN;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
помітив	uppmärksammade	помітив	uppmärksammad	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;PL;PST;V.PTCP
помітив	märkt	помітив	märka	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
націоналістів	nationalister	націоналіст	nationalist	N;ANIM;ACC;MASC;PL	N;NOM;INDF;MASC+FEM;PL
бретань	bretagne	бретання	bretagne	PROPN;INAN;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
закінчили	avklarat	закінчити	avklara	V;PFV;IND;PL;PST;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
закінчили	done	закінчити	dö	V;PFV;IND;PL;PST;FIN	V;IMP;FIN;ACT
закінчили	färdig	закінчити	färdig	V;PFV;IND;PL;PST;FIN	ADJ;NOM;INDF;MASC+FEM;SG
мажор	större	мажор	stor	N;INAN;NOM;FEM;SG	ADJ;NOM;CMPR
старим	gamla	старий	gammal	ADJ;INS;NEUT;SG	ADJ;NOM;PL
старим	gammal	старий	gammal	ADJ;INS;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
старим	gammalt	старий	gammal	ADJ;INS;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
пуерто	puerto	пуерто	puerto		N;NOM;INDF;NEUT;SG
використана	använda	використаний	använda	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;IMP;FIN;ACT
використана	använt	використаний	använda	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;V.CVB;ACT
використана	används	використаний	använda	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;IND;PRS;FIN;PASS
використана	begagnade	використаний	begagnad	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
звичаї	tullen	звичай	tull	N;INAN;NOM;MASC;PL	N;NOM;DEF;MASC+FEM;SG
звичаї	tull	звичай	tull	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
травми	störning	травма	störning	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
травми	skada	травма	skada	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
травми	trauma	травма	trauma	N;INAN;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
адмін	admin	адмін	admin	N;INAN;NOM;MASC;SG	V;IMP;FIN;ACT
типові	standardvärde	тип	standardvärde	ADJ;NOM;PL	N;NOM;INDF;NEUT;SG
типові	standard	тип	standard	ADJ;NOM;PL	N;NOM;INDF;MASC+FEM;SG
типові	typisk	тип	typisk	ADJ;NOM;PL	ADJ;NOM;INDF;MASC+FEM;SG
типові	typiskt	тип	typisk	ADJ;NOM;PL	ADJ;NOM;INDF;NEUT;SG
співака	singer	співак	singa	N;ANIM;ACC;MASC;SG	PROPN;NOM
співака	sångare	співак	sång	N;ANIM;ACC;MASC;SG	N;NOM;INDF;MASC+FEM;SG
співака	sångerska	співак	sångerska	N;ANIM;ACC;MASC;SG	N;NOM;INDF;MASC+FEM;SG
золоте	golden	золотий	gold	ADJ;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
золоте	gyllene	золотий	gylle	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
латвія	lettland	латвія	lettland	PROPN;INAN;NOM;FEM;SG	PROPN;NOM
серйозні	seriös	серйозний	seriös	ADJ;NOM;PL	ADJ;NOM;INDF;MASC+FEM;SG
серйозні	seriöst	серйозний	seriös	ADJ;NOM;PL	ADJ;NOM;INDF;NEUT;SG
серйозні	allvarlig	серйозний	allvarlig	ADJ;NOM;PL	ADJ;NOM;INDF;MASC+FEM;SG
серйозні	allvarligt	серйозний	allvarlig	ADJ;NOM;PL	ADJ;NOM;INDF;NEUT;SG
начебто	stötte	начебто	stötte	ADV	V;IND;PST;FIN;ACT
присутня	närvarande	присутня	närvarande	ADJ;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
присутня	present	присутня	present	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
присутня	nutid	присутня	nutid	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
померлих	avlidna	померлий	avliden	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
померлих	avliden	померлий	avlid	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
померлих	avlidne	померлий	avlidne	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS	N;NOM;DEF;MASC+FEM;SG
старт	börja	старт	börja	N;INAN;NOM;MASC;SG	V;IMP;FIN;ACT
старт	startar	старт	starta	N;INAN;NOM;MASC;SG	V;IND;PRS;FIN;ACT
старт	starta	старт	starta	N;INAN;NOM;MASC;SG	V;IMP;NFIN;ACT
згадував	nämnt	згадувати	nämna	V;IPFV;MASC;IND;SG;PST;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
згадував	nämns	згадувати	nämna	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;PRS;FIN;PASS
тіні	tini	тінь	tini	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
тан	tang	тан	tang		N;NOM;INDF;NEUT;SG
тан	tan	тан	tan		N;NOM;INDF;MASC+FEM;SG
тан	solbränna	тан	solbräne		N;NOM;INDF;MASC+FEM;SG
шекспіра	sonetter	шекспір	sonett	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
змінено	förändrad	змінити	förändra	V;PFV;IND;0;FIN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
змінено	ändrat	змінити	ändra	V;PFV;IND;0;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
змінено	bytt	змінити	byta	V;PFV;IND;0;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
змінено	modifierat	змінити	modifiera	V;PFV;IND;0;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
змінено	modifierade	змінити	modifiera	V;PFV;IND;0;FIN	ADJ;NOM;PL;PST;V.PTCP
змінено	ändrad	змінити	ändra	V;PFV;IND;0;FIN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
змінено	modifierad	змінити	modifiera	V;PFV;IND;0;FIN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
змінено	ändrat	змінити	ändra	V;PFV;IND;0;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
рейх	rikets	рій	rike	N;INAN;NOM;MASC;SG	N;GEN;DEF;NEUT;SG
есе	uppsats	есе	uppsats		N;NOM;INDF;MASC+FEM;SG
есе	uppsatsen	есе	uppsats		N;NOM;DEF;MASC+FEM;SG
есе	ese	есе	ese		N;NOM;INDF;MASC+FEM;SG
італійською	italienare	італійський	italienare	ADJ;INS;FEM;SG	N;NOM;INDF;MASC+FEM;PL
італійською	italienska	італійський	italiensk	ADJ;INS;FEM;SG	ADJ;NOM;PL
італійською	italienskt	італійський	italiensk	ADJ;INS;FEM;SG	ADJ;NOM;INDF;NEUT;SG
італійською	italiensk	італійський	italiensk	ADJ;INS;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
зруйновано	förstörda	зруйновано	förstöra	V;PFV;IND;0;FIN	ADJ;NOM;PL;PST;V.PTCP
зруйновано	förstörd	зруйновано	förstöra	V;PFV;IND;0;FIN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
зруйновано	förstört	зруйновано	förstöra	V;PFV;IND;0;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
знаменитий	kända	знаменитий	känd	ADJ;NOM;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
знаменитий	berömda	знаменитий	berömma	ADJ;NOM;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
відходів	avfall	відхід	avfall	N;INAN;GEN;MASC;PL	N;NOM;INDF;NEUT;SG
денні	danny	денний	danny	ADJ;NOM;PL	PROPN;NOM
денні	denny	денний	denny	ADJ;NOM;PL	PROPN;NOM
тунісу	tunisien	туніс	tunisien	PROPN;INAN;GEN;MASC;SG	PROPN;NOM
знищили	förstörda	знищити	förstöra	V;PFV;IND;PL;PST;FIN	ADJ;NOM;PL;PST;V.PTCP
знищили	förstörd	знищити	förstöra	V;PFV;IND;PL;PST;FIN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
знищили	förstört	знищити	förstöra	V;PFV;IND;PL;PST;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
родичі	anhöriga	родич	anhörig	N;ANIM;NOM;MASC;PL	ADJ;NOM;PL
рідний	infödda	рідний	infödd	ADJ;NOM;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
рідний	inhemska	рідний	inhemsk	ADJ;NOM;MASC;SG	ADJ;NOM;PL
бачення	visioner	бачення	vision	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;PL
іллінойс	illinois	іллінойс	illinois	PROPN;INAN;NOM;MASC;SG	PROPN;NOM
раси	lopp	раса	lopp	N;INAN;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
казимир	kazimierz	казимир	kazimierz	PROPN;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
казимир	casimir	казимир	casimir	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM
чоловіча	manlig	чоловічий	manlig	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
чоловіча	manliga	чоловічий	manlig	ADJ;NOM;FEM;SG	ADJ;NOM;PL
чоловіча	hane	чоловічий	hane	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
розділена	dela	розділений	dela	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;IMP;FIN;ACT
розділена	delning	розділений	delning	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	N;NOM;INDF;MASC+FEM;SG
розділена	split	розділений	splita	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	N;NOM;INDF;NEUT;SG
дорослі	vuxen	дорослий	vuxen	ADJ;NOM;PL	N;NOM;INDF;MASC+FEM;SG
перевага	fördelar	перевага	fördel	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
ширину	bredd	ширина	bredd	N;INAN;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ширину	bredd	ширина	bredd	N;INAN;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
отримано	mottaget	отримати	mottagen	V;PFV;IND;0;FIN	N;NOM;DEF;NEUT;SG
отримано	mottagen	отримати	mottag	V;PFV;IND;0;FIN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
отримано	mottagna	отримати	motta	V;PFV;IND;0;FIN	ADJ;NOM;PL;PST;V.PTCP
отримано	hämtade	отримати	hämta	V;PFV;IND;0;FIN	ADJ;NOM;PL;PST;V.PTCP
отримано	hämtat	отримати	hämta	V;PFV;IND;0;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
лівій	livius	лівий	livius	ADJ;DAT;FEM;SG	PROPN;NOM
експонатів	uppvisar	експонат	uppvisa	N;INAN;GEN;MASC;PL	V;IND;PRS;FIN;ACT
експонатів	utställningar	експонат	utställning	N;INAN;GEN;MASC;PL	N;NOM;INDF;MASC+FEM;PL
джонні	johnny	джонний	johnny	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM
джонні	jonny	джонний	jonny	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM
танець	dansa	танець	dansa	N;INAN;NOM;MASC;SG	V;IMP;FIN;ACT
танець	dansar	танець	dansa	N;INAN;NOM;MASC;SG	V;IND;PRS;FIN;ACT
орн	orne	орн	orn		V;IMP;FIN;ACT
наведення	sväva	наведення	sväv	N;INAN;NOM;NEUT;SG	V;IMP;FIN;ACT
знищені	förstöras	знищений	förstöra	ADJ;PFV;NOM;PL;V.PTCP;PASS	V;NFIN;PASS
знищені	förstörde	знищений	förstöra	ADJ;PFV;NOM;PL;V.PTCP;PASS	V;IND;PST;FIN;ACT
знищені	förstörd	знищений	förstöra	ADJ;PFV;NOM;PL;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
знищені	förstört	знищений	förstöra	ADJ;PFV;NOM;PL;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
знищені	förintade	знищений	förinta	ADJ;PFV;NOM;PL;V.PTCP;PASS	V;NOM;PL;PST;V.PTCP
цікавий	intressanta	цікавий	intressant	ADJ;NOM;MASC;SG	ADJ;NOM;PL
трагедія	tragisk	трагедія	tragisk	N;INAN;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
трагедія	tragiskt	трагедія	tragisk	N;INAN;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
трагедія	tragiska	трагедія	tragisk	N;INAN;NOM;FEM;SG	ADJ;NOM;PL
трагедія	tragedier	трагедія	tragedi	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
бачили	sett	бачити	se	V;IPFV;IND;PL;PST;FIN	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
бачили	sedd	бачити	sedd	V;IPFV;IND;PL;PST;FIN	ADJ;NOM;INDF;MASC+FEM;SG
бачили	sedda	бачити	sedda	V;IPFV;IND;PL;PST;FIN	ADJ;NOM;PL;PST;V.PTCP
пацієнтів	patienterna	пацієнт	patient	N;ANIM;ACC;MASC;PL	N;NOM;DEF;MASC+FEM;PL
пацієнтів	patienter	пацієнт	patient	N;ANIM;ACC;MASC;PL	N;NOM;INDF;MASC+FEM;PL
творець	skapare	творець	skapare	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
докази	bevis	доказ	bevis	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
докази	belägg	доказ	belägg	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
докази	bevisning	доказ	bevisning	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
докази	bevismaterial	доказ	bevismaterial	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
побачили	såg	побачити	se	V;PFV;IND;PL;PST;FIN	V;IMP;FIN;ACT
