और	та	और	та		CONJ
कि	той	कि	той		DET;NOM;MASC;SG
भारत	індію	भारत	індія	PROPN;NOM;MASC;SG;3	PROPN;INAN;ACC;FEM;SG
भारत	індія	भारत	індія	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;FEM;SG
भारत	індії	भारत	індія	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;FEM;SG
जो	джо	जो	джо	PRO;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
जो	хто	जो	хто	PRO;NOM;SG;3	PRO;ANIM;NOM;MASC;SG
जो	who	जो	who	PRO;NOM;SG;3	
ही	хі	ही	хі	PART	
रूप	форму	रूप	форма	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
कर	податкова	कर	податковий	V;ACT	ADJ;NOM;FEM;SG
कर	податки	कर	податок	V;ACT	N;INAN;NOM;MASC;PL
कर	податок	कर	податок	V;ACT	N;INAN;NOM;MASC;SG
कर	податки	कर	податок	V;ACT	N;INAN;NOM;MASC;PL
नहीं	not	नहीं	not	PART;NEG	
नहीं	ні	नहीं	ні	PART;NEG	INTJ
नहीं	неа	नहीं	неати	PART;NEG	
उत्तराखण्ड	уттаракханд	उत्तराखण्ड	уттаракханд	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
गया	ходив	जा	ходити	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;PST;FIN
साथ	вздовж	साथ	вздовж	ADV;NOM;MASC;SG;3	
साथ	уздовж	साथ	уздовж	ADV;NOM;MASC;SG;3	ADP;GEN
पूर्व	схід	पूर्व	схід	ADV;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
पूर्व	колишні	पूर्व	колишній	ADV;NOM;MASC;SG;3	ADJ;NOM;PL
पूर्व	колишній	पूर्व	колишній	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
होता	would	हो	would	V;IPFV;MASC;SG;V.PTCP;ACT	
बाद	потому	बाद	потому	ADV;NOM;MASC;SG;3	
बाद	після	बाद	після	ADV;NOM;MASC;SG;3	ADP;GEN
तक	доки	तक	доки	CONJ	ADV
तक	до	तक	до	CONJ	ADP;GEN
तक	поки	तक	поки	CONJ	ADV
तक	доки	तक	доки	CONJ	ADV
तक	till	तक	till	CONJ	
तक	поки	तक	поки	CONJ	ADV
तक	tak	तक	tak	CONJ	
अपने	власне	अपना	власне	PRO;NOM;MASC	PART
अपने	власні	अपना	власний	PRO;NOM;MASC	ADJ;NOM;PL
अपने	власний	अपना	власний	PRO;NOM;MASC	ADJ;NOM;MASC;SG
अपने	твій	अपना	твій	PRO;NOM;MASC	DET;NOM;MASC;SG;2
अपने	твоя	अपना	твій	PRO;NOM;MASC	DET;NOM;FEM;SG;2
अपने	твої	अपना	твій	PRO;NOM;MASC	DET;NOM;PL;2
अपने	твоє	अपना	твій	PRO;NOM;MASC	DET;ACC;NEUT;SG;2
अपने	ваша	अपना	ваш	PRO;NOM;MASC	DET;NOM;FEM;SG;2
अपने	ваші	अपना	ваш	PRO;NOM;MASC	DET;NOM;PL;2
जिले	райони	जिला	район	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
था	мали	था	мати	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN
था	мав	था	мати	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
था	був	था	бути	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
था	була	था	бути	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
था	було	था	бути	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN
राज्य	стани	राज्य	стан	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
राज्य	штати	राज्य	штати	N;NOM;MASC;SG;3	PROPN;INAN;NOM
बाहरी	надворі	बाहरी	надворі	ADJ;NOM	ADV
कुछ	дехто	कुछ	дехто	DET	PRO;ANIM;NOM
कुछ	трохи	कुछ	трохи	DET	ADV
कुछ	щось	कुछ	щось	DET	PRO;INAN;NOM;NEUT;SG
कुछ	дещо	कुछ	дещо	DET	ADV
कुछ	чимось	कुछ	щось	DET	PRO;INAN;INS;NEUT;SG
ईसा	ісус	ईसा	ісус	N;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
गाँव	село	गाँव	село	N;NOM;MASC;PL;3	N;INAN;NOM;NEUT;SG
सरकार	шкірі	सरकार	шкіра	N;NOM;FEM;SG;3	N;INAN;DAT;FEM;SG
कड़ियाँ	посиланнями	कड़ी	посилання	N;NOM;FEM;PL;3	N;INAN;INS;NEUT;PL
कड़ियाँ	посилань	कड़ी	посилання	N;NOM;FEM;PL;3	N;INAN;GEN;NEUT;PL
प्रदेश	ділянку	प्रदेश	ділянка	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
इसके	свої	यह	свій	PRO;MASC;SG;3	DET;NOM;PL;REFL
इसके	його	यह	він	PRO;MASC;SG;3	PRO;ACC;MASC;SG;3
दिया	вказаний	दे	вказаний	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
दिया	даного	दे	даний	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;GEN;MASC;SG;V.PTCP;PASS
दिया	дали	दे	дати	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN
दिया	віддали	दे	віддати	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN
अन्य	інший	अन्य	інший	N;NOM;MASC;SG;3	DET;NOM;MASC;SG
अन्य	інша	अन्य	інший	N;NOM;MASC;SG;3	DET;NOM;FEM;SG
अन्य	інші	अन्य	інший	N;NOM;MASC;SG;3	DET;NOM;PL
अन्य	інше	अन्य	інший	N;NOM;MASC;SG;3	DET;NOM;NEUT;SG
अन्य	інших	अन्य	інший	N;NOM;MASC;SG;3	DET;GEN;PL
अन्य	інших	अन्य	інший	N;NOM;MASC;SG;3	DET;GEN;PL
अन्य	інші	अन्य	інший	N;NOM;MASC;SG;3	DET;NOM;PL
अन्य	іншими	अन्य	інший	N;NOM;MASC;SG;3	DET;INS;PL
वर्ष	роки	वर्ष	рік	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
वे	вони	वह	вони	PRO;NOM;SG;3	PRO;NOM;PL;3
प्रकार	добрі	प्रकार	добрий	N;NOM;MASC;SG;3	ADJ;NOM;PL
प्रकार	типи	प्रकार	тип	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
भारतीय	індійська	भारतीय	індійський	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
भारतीय	індійський	भारतीय	індійський	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
किसी	кимось	कोई	хтися	PRO;ACC;SG;3	PRO;ANIM;INS;NEUT;SG
किसी	когось	कोई	хтось	PRO;ACC;SG;3	PRO;ANIM;ACC
किसी	хтось	कोई	хтось	PRO;ACC;SG;3	PRO;ANIM;NOM
क्षेत्र	ділянку	क्षेत्र	ділянка	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
क्षेत्र	області	क्षेत्र	область	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;SG
क्षेत्र	ділянки	क्षेत्र	ділянка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
क्षेत्र	територіях	क्षेत्र	територія	N;NOM;MASC;SG;3	N;INAN;ESS;FEM;PL
क्षेत्र	площі	क्षेत्र	площа	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;PL
क्षेत्र	районів	क्षेत्र	район	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
अधिक	більше	अधिक	більше	DET	ADV;CMPR
कई	багато	कई	багато	DET	ADV
स्थित	знаходиться	स्थित	знаходитися	ADJ	V;IPFV;IND;SG;3;PRS;FIN
स्थित	розташовано	स्थित	розташовано	ADJ	V;PFV;IND;0;FIN
मण्डल	зона	मण्डल	зона	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
कारण	причини	कारण	причина	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
कारण	спричинити	कारण	спричинити	N;NOM;MASC;SG;3	V;PFV;NFIN
कारण	причиною	कारण	причина	N;NOM;MASC;SG;3	N;INAN;INS;FEM;SG
कारण	причинами	कारण	причина	N;NOM;MASC;SG;3	N;INAN;INS;FEM;PL
कारण	причини	कारण	причина	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
होने	буття	हो	буття	V;MASC;NFIN;ACT	N;INAN;NOM;NEUT;SG
जैसे	подобається	जैसे	подобатися	CONJ	V;IPFV;IND;SG;3;PRS;FIN
जैसे	зразок	जैसे	зразок	CONJ	N;INAN;NOM;MASC;SG
जैसे	like	जैसे	like	CONJ	
उनके	своїх	वह	свій	PRO;MASC;SG;3;FORM	DET;ANIM;ACC;PL;REFL
उनके	їхньому	वह	їхній	PRO;MASC;SG;3;FORM	PRO;DAT;SG;3
उनके	свої	वह	свій	PRO;MASC;SG;3;FORM	DET;NOM;PL;REFL
उनके	їхнє	वह	їхній	PRO;MASC;SG;3;FORM	DET;NOM;NEUT;SG;3
उनके	їх	वह	вони	PRO;MASC;SG;3;FORM	PRO;ACC;PL;3
उनके	їм	वह	вони	PRO;MASC;SG;3;FORM	PRO;DAT;PL;3
उनके	комплектів	वह	комплект	PRO;MASC;SG;3;FORM	N;INAN;GEN;MASC;PL
सबसे	найцікавіше	सबसे	найцікавіше	ADJ;NOM	ADV;RL
सबसे	більшість	सबसे	більшість	ADJ;NOM	N;INAN;NOM;FEM;SG
हिन्दी	хінді	हिन्दी	хінді	PROPN;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
बहुत	дуже	बहुत	дуже	DET	ADV
पहले	перед	पहले	перед	ADV;NOM;MASC;SG;3	ADP;INS
पहले	before	पहले	before	ADV;NOM;MASC;SG;3	
पहले	ago	पहले	ago	ADV;NOM;MASC;SG;3	
पहले	перша	पहले	перший	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
पहले	перший	पहले	перший	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अपनी	власне	अपना	власне	PRO;NOM;FEM	PART
अपनी	власні	अपना	власний	PRO;NOM;FEM	ADJ;NOM;PL
अपनी	власний	अपना	власний	PRO;NOM;FEM	ADJ;NOM;MASC;SG
दो	двійка	दो	двійка	NUM	N;INAN;NOM;FEM;SG
जिला	нохія	जिला	нохій	N;NOM;MASC;SG;3	PROPN;INAN;NOM;FEM;SG
जब	коли	जब	коли	PRO;NOM	ADV
उन्होंने	вони	वह	вони	PRO;SG;3;FORM	PRO;NOM;PL;3
जन्म	народився	जन्म	народитися	N;NOM;MASC;SG;3	V;PFV;MASC;IND;SG;PST;FIN
जन्म	борн	जन्म	борно	N;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
जन्म	народилась	जन्म	народитися	N;NOM;MASC;SG;3	V;PFV;FEM;IND;SG;PST;FIN
जन्म	народилася	जन्म	народитися	N;NOM;MASC;SG;3	V;PFV;FEM;IND;SG;PST;FIN
कोई	якісь	कोई	якийсь	PRO;NOM;SG;3	DET;NOM;PL
इन	інні	यह	інний	DET;ACC;PL;3	
इन	готель	यह	готель	DET;ACC;PL;3	N;INAN;NOM;MASC;SG
ये	цей	यह	цей	PRO;NOM;PL;3	DET;NOM;MASC;SG
ये	ця	यह	цей	PRO;NOM;PL;3	DET;NOM;FEM;SG
ये	ці	यह	цей	PRO;NOM;PL;3	DET;NOM;PL
कम	низький	कम	низький	DET	ADJ;NOM;MASC;SG
कम	низька	कम	низький	DET	ADJ;NOM;FEM;SG
कम	low	कम	low	DET	
कम	меньше	कम	меньше	DET	
कम	менше	कम	менше	DET	ADV;CMPR
कम	менше	कम	менше	DET	ADV;CMPR
कहा	казали	कह	казати	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;IND;PL;PST;FIN
कहा	сказали	कह	сказати	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN
कहा	казав	कह	казати	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;PST;FIN
कहा	саїд	कह	саїд	V;PFV;MASC;SG;V.PTCP;ACT	PROPN;ANIM;NOM;MASC;SG
लोग	народ	लोग	народ	N;NOM;MASC;PL;3	N;INAN;NOM;MASC;SG
लोग	людей	लोग	людина	N;NOM;MASC;PL;3	N;ANIM;ACC;FEM;PL
आदि	etc	आदि	etc	PART	
आदि	більше	आदि	більше	PART	ADV;CMPR
आदि	аді	आदि	аді	PART	
उसके	його	वह	він	PRO;MASC;SG;3	PRO;ACC;MASC;SG;3
उसके	her	वह	her	PRO;MASC;SG;3	
उसके	нею	वह	вона	PRO;MASC;SG;3	PRO;INS;FEM;SG;3
उसके	її	वह	вона	PRO;MASC;SG;3	PRO;ACC;FEM;SG;3
उसके	їй	वह	вона	PRO;MASC;SG;3	PRO;DAT;FEM;SG;3
प्राचीन	давніх	प्राचीन	давній	ADJ;NOM	ADJ;GEN;PL
प्राचीन	претор	प्राचीन	претор	ADJ;NOM	N;ANIM;NOM;MASC;SG
देखें	дивіться	देख	дивитися	V;SBJV;PL;FIN;ACT	V;IPFV;IMP;PL;2;FIN
देखें	дивися	देख	дитися	V;SBJV;PL;FIN;ACT	V;IPFV;IMP;SG;2;FIN
देखें	див	देख	див.	V;SBJV;PL;FIN;ACT	
देखें	бачите	देख	бачити	V;SBJV;PL;FIN;ACT	V;IPFV;IND;PL;2;PRS;FIN
देखें	бачу	देख	бачити	V;SBJV;PL;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN
देखें	перегляд	देख	перегляд	V;SBJV;PL;FIN;ACT	N;INAN;NOM;MASC;SG
देखें	вигляд	देख	вигляд	V;SBJV;PL;FIN;ACT	N;INAN;NOM;MASC;SG
देखें	view	देख	view	V;SBJV;PL;FIN;ACT	
देखें	вид	देख	вид	V;SBJV;PL;FIN;ACT	N;INAN;NOM;MASC;SG
उत्तर	відповідь	उत्तर	відповідь	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
उत्तर	північна	उत्तर	північний	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
उत्तर	норт	उत्तर	норт	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;MASC;SG
उत्तर	північний	उत्तर	північний	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
उत्तर	північ	उत्तर	північ	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
उत्तर	відповіді	उत्तर	відповідь	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
भाषा	мови	भाषा	мова	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
भाषा	мов	भाषा	мов	N;NOM;FEM;SG;3	CONJ
भाषा	мови	भाषा	мова	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
भाषा	мову	भाषा	мова	N;NOM;FEM;SG;3	N;INAN;ACC;FEM;SG
लिये	для	ले	для	V;PFV;MASC;SG;V.PTCP;ACT	ADP;GEN
सभी	усі	सब	увесь	PRO;NOM;3	DET;NOM;PL
सभी	всі	सब	весь	PRO;NOM;3	DET;NOM;PL
सभी	все	सब	все	PRO;NOM;3	PRO;INAN;NOM;NEUT;SG
सभी	всіх	सब	всі	PRO;NOM;3	PRO;ANIM;ACC
प्राप्त	отримано	प्राप्त	отримати	ADJ	V;PFV;IND;0;FIN
प्राप्त	отримали	प्राप्त	отримати	ADJ	V;PFV;IND;PL;PST;FIN
प्राप्त	отримала	प्राप्त	отримати	ADJ	V;PFV;FEM;IND;SG;PST;FIN
प्राप्त	отримувати	प्राप्त	отримувати	ADJ	V;IPFV;NFIN
इसका	свої	यह	свій	PRO;MASC;SG;3	DET;NOM;PL;REFL
इसका	його	यह	він	PRO;MASC;SG;3	PRO;ACC;MASC;SG;3
प्रयोग	експерименти	प्रयोग	експеримент	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
शामिल	звязок	शामिल	звязок	ADJ	N;INAN;NOM;MASC;SG
शामिल	включення	शामिल	включення	ADJ	N;INAN;NOM;NEUT;SG
शामिल	входить	शामिल	входити	ADJ	V;IPFV;IND;SG;3;PRS;FIN
शामिल	включає	शामिल	включати	ADJ	V;IPFV;IND;SG;3;PRS;FIN
शामिल	включено	शामिल	включити	ADJ	V;PFV;IND;0;FIN
शामिल	включення	शामिल	включення	ADJ	N;INAN;NOM;NEUT;SG
शामिल	включити	शामिल	включити	ADJ	V;PFV;NFIN
शामिल	включати	शामिल	включати	ADJ	V;IPFV;NFIN
उन्हें	їх	वह	вони	PRO;SG;3;FORM	PRO;ACC;PL;3
उन्हें	їм	वह	вони	PRO;SG;3;FORM	PRO;DAT;PL;3
उन्हें	комплектів	वह	комплект	PRO;SG;3;FORM	N;INAN;GEN;MASC;PL
उस	той	वह	той	DET;ACC;SG;3	DET;NOM;MASC;SG
स्थान	місць	स्थान	місце	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;PL
स्थान	місця	स्थान	місце	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
स्थान	місцини	स्थान	місцина	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
स्थान	адреси	स्थान	адреса	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
स्थान	місця	स्थान	місце	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
स्थान	адрес	स्थान	адрес	N;NOM;MASC;SG;3	
प्रमुख	головний	प्रमुख	головний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
प्रमुख	головний	प्रमुख	головний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
प्रमुख	основне	प्रमुख	основний	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
प्रमुख	головна	प्रमुख	головний	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
प्रमुख	головні	प्रमुख	головний	N;NOM;MASC;SG;3	ADJ;NOM;PL
हुई	хуей	हो	хути	V;PFV;FEM;SG;V.PTCP;ACT	
बीच	пляжний	बीच	пляжний	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
बीच	біч	बीच	біч	ADV;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
बीच	пляж	बीच	пляж	ADV;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
बीच	центр	बीच	центр	ADV;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
गए	зник	जा	зник	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN
गए	зникла	जा	зникнути	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN
गए	поїхала	जा	поїхати	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN
गए	ходив	जा	ходити	V;PFV;MASC;PL;V.PTCP;ACT	V;IPFV;MASC;IND;SG;PST;FIN
गए	поїхав	जा	поїхати	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN
मुख्य	шеф	मुख्य	шеф	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
मुख्य	вождь	मुख्य	вождь	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
मुख्य	головний	मुख्य	головний	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मुख्य	головний	मुख्य	головний	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मुख्य	основне	मुख्य	основний	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मुख्य	головна	मुख्य	головний	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मुख्य	головні	मुख्य	головний	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
मुख्य	головне	मुख्य	головне	PROPN;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
थी	був	था	бути	V;FEM;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
थी	була	था	бути	V;FEM;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
थी	було	था	бути	V;FEM;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN
बिहार	біхар	बिहार	біхар	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;MASC;SG
उसे	нього	वह	він	PRO;SG;3	PRO;ACC;MASC;SG;3
उसे	постане	वह	постане	PRO;SG;3	V;PFV;IND;SG;3;FUT;FIN
उसे	йому	वह	він	PRO;SG;3	PRO;DAT;MASC;SG;3
उसे	ним	वह	він	PRO;SG;3	PRO;INS;MASC;SG;3
उसे	його	वह	він	PRO;SG;3	PRO;ACC;MASC;SG;3
उसे	her	वह	her	PRO;SG;3	
उसे	нею	वह	вона	PRO;SG;3	PRO;INS;FEM;SG;3
उसे	її	वह	вона	PRO;SG;3	PRO;ACC;FEM;SG;3
उसे	їй	वह	вона	PRO;SG;3	PRO;DAT;FEM;SG;3
कार्य	задачі	कार्य	задача	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
कार्य	роботи	कार्य	робота	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
कार्य	працюю	कार्य	працювати	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN
कार्य	працюють	कार्य	працювати	N;NOM;MASC;SG;3	V;IPFV;IND;PL;3;PRS;FIN
कार्य	роботу	कार्य	робота	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
कार्य	робочий	कार्य	робочий	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
कार्य	задачі	कार्य	задача	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
कार्य	джобс	कार्य	джобс	N;NOM;MASC;SG;3	
कार्य	задачу	कार्य	задача	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
कार्य	задачі	कार्य	задача	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
उनकी	своїх	वह	свій	PRO;FEM;SG;3;FORM	DET;ANIM;ACC;PL;REFL
उनकी	їхньому	वह	їхній	PRO;FEM;SG;3;FORM	PRO;DAT;SG;3
उनकी	свої	वह	свій	PRO;FEM;SG;3;FORM	DET;NOM;PL;REFL
उनकी	їхнє	वह	їхній	PRO;FEM;SG;3;FORM	DET;NOM;NEUT;SG;3
आंध्र	андхра	आंध्र	андхра	PROPN;NOM;MASC;SG;3	
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	
नगर	нагар	नगर	нагар	N;NOM;MASC;SG;3	
उपयोग	використати	उपयोग	використати	N;NOM;MASC;SG;3	V;PFV;NFIN
उपयोग	використовувати	उपयोग	використовувати	N;NOM;MASC;SG;3	V;IPFV;NFIN
उपयोग	використовує	उपयोग	використовувати	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN
उपयोग	користується	उपयोग	користуватися	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN
लोगों	народ	लोग	народ	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;SG
लोगों	люди	लोग	людина	N;ACC;MASC;PL;3	N;ANIM;NOM;FEM;PL
आधार	базова	आधार	базовий	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
आधार	основою	आधार	основа	N;NOM;MASC;SG;3	N;INAN;INS;FEM;SG
आधार	базовий	आधार	базовий	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
आधार	трансформацій	आधार	трансформація	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
काम	роботи	काम	робота	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
काम	працюю	काम	працювати	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN
काम	працюють	काम	працювати	N;NOM;MASC;SG;3	V;IPFV;IND;PL;3;PRS;FIN
काम	роботу	काम	робота	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
काम	робочий	काम	робочий	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
जीवन	лайф	जीवन	Лайф	N;NOM;MASC;SG;3	
विश्व	світовий	विश्व	світовий	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	
भाग	розділи	भाग	розділ		N;INAN;NOM;MASC;PL
भाग	частина	भाग	частина		N;INAN;NOM;FEM;SG
भाग	частини	भाग	частина		N;INAN;NOM;FEM;PL
भाग	частинами	भाग	частина		N;INAN;INS;FEM;PL
निर्माण	зібрати	निर्माण	зібрати	N;NOM;MASC;SG;3	V;PFV;NFIN
निर्माण	побудувати	निर्माण	побудувати	N;NOM;MASC;SG;3	V;PFV;NFIN
निर्माण	будувати	निर्माण	будувати	N;NOM;MASC;SG;3	V;IPFV;NFIN
गई	ходив	जा	ходити	V;PFV;FEM;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;PST;FIN
दोनों	обоє	दो	обоє	N;ACC;MASC;PL;3	NUM;NOM
दोनों	обидва	दो	обидва	N;ACC;MASC;PL;3	NUM;NOM;MASC
दोनों	обох	दो	обидва	N;ACC;MASC;PL;3	NUM;ACC
दोनों	обидві	दो	обидва	N;ACC;MASC;PL;3	NUM;NOM;FEM
दोनों	обом	दो	обоє	N;ACC;MASC;PL;3	
राष्ट्रीय	національна	राष्ट्रीय	національний	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
राष्ट्रीय	націонал	राष्ट्रीय	націонал	PROPN;NOM;MASC;SG;3	
राष्ट्रीय	національне	राष्ट्रीय	національний	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
