hope	nádej	hope	nádej	PROPN	N;NOM;FEM;SG
dicabut	unplugged	dicabut	unplugged	V;SG;PASS	N;INAN;NOM;MASC;SG
pengujian	testy	penujian	test	N;SG	N;INAN;NOM;MASC;PL
pengujian	skúšky	penujian	skúška	N;SG	N;NOM;FEM;PL
pengujian	skúšky	penujian	skúška	N;SG	N;NOM;FEM;PL
hilangnya	zmiznutia	hilang	zmiznutie	N;SG	N;NOM;NEUT;PL
hilangnya	zmiznutí	hilang	zmiznutie	N;SG	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
leeds	leeds	leeds	leeds	PROPN	PROPN;INAN;NOM;MASC;SG
dipasarkan	predávané	dipasarkan	predávaný	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
sertifikat	certifikáty	sertifikat	certifikát	N;SG	N;INAN;NOM;MASC;PL
sertifikat	osvedčenia	sertifikat	osvedčenie	N;SG	N;NOM;NEUT;PL
sertifikat	potvrdenia	sertifikat	potvrdenie	N;SG	N;NOM;NEUT;PL
sertifikat	osvedčenia	sertifikat	osvedčenie	N;SG	N;NOM;NEUT;PL
rizal	rizal	rizal	rizať	PROPN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
paralel	súbežne	paralel	súbežne	N	ADV
paralel	paralelné	paralel	paralelný	N	ADJ;NOM;NEUT;SG
paralel	paralelný	paralel	paralelný	N	ADJ;ANIM;NOM;MASC;SG
paralel	súbežné	paralel	súbežný	N	ADJ;NOM;NEUT;SG
paralel	paralelne	paralel	paralelne	N	ADV
kuburan	hrobov	kuburan	hrob	N;SG	N;INAN;GEN;MASC;PL
kuburan	hroby	kuburan	hrob	N;SG	N;INAN;NOM;MASC;PL
kuburan	cintoríny	kuburan	cintorína	N;SG	N;INAN;NOM;MASC;PL
benih	semená	benih	semený	N;SG	N;NOM;NEUT;PL
benih	semien	benih	semeno	N;SG	N;GEN;FEM;PL
lockheed	lockheed	lockheed	lockheed	N	ADV
birmingham	birmingham	birmingham	birmingha	PROPN	N;INAN;NOM;MASC;SG
penolakan	odmietnutia	pentolakan	odmietnutie	N;SG	N;NOM;NEUT;PL
penolakan	odmieta	pentolakan	odmietať	N;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
penolakan	odmietne	pentolakan	odmietny	N;SG	V;PFV;IND;SG;3;POS;PRS;FIN
penolakan	odmietnutia	pentolakan	odmietnutie	N;SG	N;NOM;NEUT;PL
telugu	telugčina	telugu	telugčina	PROPN	N;NOM;NEUT;SG
interior	vnútra	interior	vnútro	N;SG	N;NOM;NEUT;PL
interior	interiéry	interior	interiéry	N;SG	N;INAN;NOM;MASC;PL
berpengalaman	skúsený	berpengalaman	skúsený	V;SG;ACT	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
berpengalaman	skúsených	berpengalaman	skúsený	V;SG;ACT	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
berpengalaman	skúsenosti	berpengalaman	skúsenosť	V;SG;ACT	N;NOM;FEM;PL
berpengalaman	skúseného	berpengalaman	skúsený	V;SG;ACT	ADJ;ANIM;GEN;MASC;SG;POS;V.PTCP;PASS
berpengalaman	neskúsený	berpengalaman	skúsený	V;SG;ACT	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
solomon	solomon	solomon	solomon	PROPN	PROPN;ANIM;NOM;MASC;SG
jefferson	jefferson	jefferson	jefferson	PROPN	PROPN;ANIM;NOM;MASC;SG
luhur	vznešené	luhur	vznešený	N	ADJ;NOM;NEUT;SG
integrasi	integrácie	integrasi	integrácia	N;SG	N;NOM;FEM;PL
output	výstupný	output	výstupný	N	ADJ;INAN;NOM;MASC;SG
ibm	ibm	ibm	ibm	PROPN	
zeus	zeus	zeus	zeus	PROPN	PROPN;ANIM;NOM;MASC;SG
dinamis	dynamic	dinamis	dynamica	ADJ;SG	N;NOM;FEM;SG
zhao	zhao	zhao	zhao	PROPN	PROPN;ANIM;NOM;MASC;SG
cacing	červy	cacing	červ	N;SG	N;INAN;NOM;MASC;PL
cacing	červov	cacing	červ	N;SG	N;INAN;GEN;MASC;PL
highland	highland	highland	highland	N	PROPN;ANIM;NOM;MASC;SG
pembuluh	žilách	pembuluh	žila	N;SG	N;GEN;FEM;PL
pembuluh	žily	pembuluh	žila	N;SG	N;NOM;FEM;PL
pembuluh	žíl	pembuluh	žíl	N;SG	N;GEN;FEM;PL
orangtua	rodičia	orangtua	rodič	N;SG	N;ANIM;NOM;MASC;PL
orangtua	rodičmi	orangtua	rodič	N;SG	N;ANIM;INS;MASC;PL
orangtua	rodičov	orangtua	rodič	N;SG	N;ANIM;ACC;MASC;PL
orangtua	rodičom	orangtua	rodič	N;SG	N;ANIM;DAT;MASC;PL
orangtua	materská	orangtua	materský	N;SG	ADJ;NOM;FEM;SG
orangtua	rodičovský	orangtua	rodičovský	N;SG	ADJ;ANIM;NOM;MASC;SG
orangtua	materskej	orangtua	materský	N;SG	ADJ;GEN;FEM;SG
omar	omar	omar	omar	PROPN	PROPN;ANIM;NOM;MASC;SG
gandum	zrná	gandum	zrný	N;SG	N;NOM;NEUT;PL
gandum	pšenice	gandum	pšenica	N;SG	N;NOM;FEM;PL
account	účtom	account	účet	PROPN	N;INAN;INS;MASC;SG
account	konto	account	konto	PROPN	N;NOM;NEUT;SG
account	ucet	account	ucet	PROPN	INTJ
account	účet	account	účet	PROPN	N;INAN;NOM;MASC;SG
account	účte	account	účiť	PROPN	N;INAN;NOM;MASC;SG
digit	číslice	digit	číslica	N;SG	N;NOM;FEM;PL
digit	číslic	digit	číslica	N;SG	N;GEN;NEUT;PL
dog	psíka	dog	psík	PROPN	N;ANIM;ACC;MASC;SG
dog	psa	dog	pes	PROPN	N;INAN;NOM;MASC;SG
dog	psík	dog	psík	PROPN	N;ANIM;NOM;MASC;SG
dog	psie	dog	psí	PROPN	N;NOM;FEM;PL
dog	pes	dog	pes	PROPN	N;ANIM;NOM;MASC;SG
krim	krim	krim	krim	N;SG	PROPN;ANIM;NOM;MASC;SG
krim	smotany	krim	smotan	N;SG	N;NOM;FEM;PL
krim	krémy	krim	krém	N;SG	N;INAN;NOM;MASC;PL
krim	smotany	krim	smotan	N;SG	N;NOM;FEM;PL
sebastian	sebastian	sebastian	sebastian	PROPN	N;ANIM;NOM;MASC;SG
ottoman	osmanskej	ottoman	osmanský	PROPN	ADJ;GEN;FEM;SG
cerah	slnečné	cerah	slnečný	ADJ;SG	ADJ;NOM;NEUT;PL
herbert	herbert	herbert	herbert	PROPN	N;ANIM;NOM;MASC;SG
konstantinus	constantine	konstantinus	constantina	PROPN	N;NOM;FEM;SG
karim	karim	karim	karim	PROPN	N;ANIM;NOM;MASC;SG
rupanya	zrejme	rupa	zrejme	ADV;SG	PART
iron	železný	iron	železný	PROPN	ADJ;ANIM;NOM;MASC;SG
iron	železo	iron	železo	PROPN	N;INAN;NOM;MASC;SG
iron	železné	iron	železný	PROPN	ADJ;NOM;NEUT;SG
iron	iron	iron	iron	PROPN	PROPN;ANIM;NOM;MASC;SG
iron	železa	iron	železa	PROPN	N;NOM;FEM;PL
each	každý	each	každý	PROPN	DET;ANIM;NOM;MASC;SG
each	každého	each	každý	PROPN	DET;ANIM;ACC;MASC;SG
each	každé	each	každý	PROPN	DET;NOM;NEUT;SG
each	každá	each	každý	PROPN	DET;NOM;FEM;SG
norte	norte	norte	nort	PROPN	N;NOM;FEM;SG
eagle	orol	eagle	orol	PROPN	N;ANIM;NOM;MASC;SG
indiana	indiana	indiana	indian	PROPN	N;ANIM;NOM;MASC;SG
abi	abi	abi	abi	PROPN	INTJ
xiii	xiii	xiii	xii	PROPN	NUM
berikan	dajte	berrikan	dajte	V;SG;ACT	V;PFV;IMP;PL;2;POS;FIN
gara	gara	gara	gara		PROPN;NOM;FEM;SG
rap	rapovanie	rap	rapovanie	PROPN	N;NOM;NEUT;SG
rap	rap	rap	rap	PROPN	N;INAN;NOM;MASC;SG
transformasi	transformovať	transformasi	transformovať	N;SG	V;IPFV;POS;NFIN
transformasi	premeniť	transformasi	premeniť	N;SG	V;PFV;POS;NFIN
transformasi	transformácií	transformasi	transformácia	N;SG	N;NOM;FEM;PL
transformasi	premeny	transformasi	premena	N;SG	N;NOM;FEM;PL
transformasi	transformácie	transformasi	transformácia	N;SG	N;NOM;FEM;PL
transformasi	premeny	transformasi	premena	N;SG	N;NOM;FEM;PL
transformasi	transformácie	transformasi	transformácia	N;SG	N;NOM;FEM;PL
mengenang	spomienke	menkenang	spomienka	V;SG;ACT	N;DAT;FEM;SG
mengenang	pamiatka	menkenang	pamiatka	V;SG;ACT	N;NOM;FEM;SG
mengenang	spomínali	menkenang	spomínať	V;SG;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
graham	graham	graham	graham	PROPN	N;ANIM;NOM;MASC;SG
siam	siamské	siam	siamský	PROPN	ADJ;NOM;NEUT;SG
siam	siam	siam	siam	PROPN	N;INAN;NOM;MASC;SG
entry	vstup	entry	vstup	PROPN	N;INAN;NOM;MASC;SG
pilih	zvoľte	pilih	zvoľiť	V;SG;ACT	V;PFV;IMP;PL;2;POS;FIN
pilih	vyberte	pilih	vybrať	V;SG;ACT	V;PFV;IMP;PL;2;POS;FIN
pilih	zvoľte	pilih	zvoľiť	V;SG;ACT	V;PFV;IMP;PL;2;POS;FIN
pilih	výber	pilih	výber	V;SG;ACT	N;INAN;NOM;MASC;SG
impor	importovať	impor	importovať	N;SG;ACT	V;IPFV;POS;NFIN
impor	dovážané	impor	dovážaný	N;SG;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
impor	dovezený	impor	dovezený	N;SG;ACT	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
impor	dovážaný	impor	dovážaný	N;SG;ACT	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
impor	dovezené	impor	dovezený	N;SG;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
erik	erik	erik	erik	PROPN	PROPN;ANIM;NOM;MASC;SG
ferry	trajekt	ferry	trajekt	PROPN	N;INAN;NOM;MASC;SG
jump	skočiť	jump	skočiť	PROPN	V;PFV;POS;NFIN
jump	skok	jump	skok	PROPN	N;INAN;NOM;MASC;SG
jump	skákať	jump	skákať	PROPN	V;IPFV;POS;NFIN
jump	preskočiť	jump	preskočiť	PROPN	V;PFV;POS;NFIN
seng	zinočnatý	seng	zinočnatý	PROPN	ADJ;ANIM;NOM;MASC;SG
seng	zinok	seng	zinok	PROPN	N;INAN;NOM;MASC;SG
seng	zinku	seng	zinka	PROPN	N;INAN;GEN;MASC;SG
korintus	corinthians	korintus	corinthians	PROPN	N;INAN;NOM;MASC;SG
acak	náhodne	acak	náhodne	ADJ;SG	ADV
acak	random	acak	randý	ADJ;SG	N;NOM;MASC;SG
acak	miešanie	acak	miešanie	ADJ;SG	N;NOM;NEUT;SG
acak	shuffle	acak	shuffľa	ADJ;SG	N;INAN;NOM;MASC;SG
terkejut	šoku	terkejut	šok	V;SG;PASS	N;INAN;GEN;MASC;SG
terkejut	šok	terkejut	šok	V;SG;PASS	N;INAN;NOM;MASC;SG
terkejut	prekvapený	terkejut	prekvapený	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
terkejut	prekvapená	terkejut	prekvapený	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
terkejut	prekvapení	terkejut	prekvapenie	V;SG;PASS	N;NOM;NEUT;PL
terkejut	šokovaný	terkejut	šokovaný	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
terkejut	šokovaná	terkejut	šokovaný	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
botol	fľaše	botol	fľaša	N;SG	N;NOM;FEM;PL
botol	fľašky	botol	fľaška	N;SG	N;NOM;FEM;PL
botol	fľaše	botol	fľaša	N;SG	N;NOM;FEM;PL
syuting	natáčať	syuting	natáčať	N	V;IPFV;POS;NFIN
beat	beat	beat	beat	PROPN	PROPN;ANIM;NOM;MASC;SG
beat	rytmus	beat	rytmus	PROPN	N;INAN;NOM;MASC;SG
beat	biť	beat	biť	PROPN	V;IPFV;POS;NFIN
beat	poraziť	beat	poraziť	PROPN	V;PFV;POS;NFIN
kehancuran	zničiť	kehancuran	zničiť	N;SG	V;PFV;POS;NFIN
kehancuran	ničenia	kehancuran	ničenie	N;SG	N;NOM;NEUT;PL
kenangan	pamäte	kenangan	pamäť	N;SG	N;NOM;FEM;PL
kenangan	spomienky	kenangan	spomienka	N;SG	N;NOM;FEM;PL
kenangan	pamäte	kenangan	pamäť	N;SG	N;NOM;FEM;PL
brigadir	brigádny	brigadir	brigádny	PROPN	ADJ;ANIM;NOM;MASC;SG
ditembak	strelený	ditembak	strelený	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG
ditembak	strela	ditembak	strieť	V;SG;PASS	N;NOM;FEM;SG
ditembak	postrelený	ditembak	postrelený	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
ditembak	záber	ditembak	záber	V;SG;PASS	N;INAN;NOM;MASC;SG
ditembak	výstrel	ditembak	výstrel	V;SG;PASS	N;INAN;NOM;MASC;SG
plan	naplánovať	plan	naplánovať	PROPN	V;POS;NFIN
plan	pláne	plan	plán	PROPN	N;INAN;NOM;MASC;SG
plan	plán	plan	plán	PROPN	N;INAN;NOM;MASC;SG
plan	plan	plan	plan	PROPN	N;INAN;NOM;MASC;SG
dam	dam	dam	dam		
dam	priehrada	dam	priehrada		N;NOM;FEM;SG
caesar	cézar	caesar	cézar	PROPN	N;ANIM;NOM;MASC;SG
caesar	caesar	caesar	caesar	PROPN	N;ANIM;NOM;MASC;SG
winner	víťaza	winner	víťaz	PROPN	N;ANIM;ACC;MASC;SG
winner	výherca	winner	výherca	PROPN	N;ANIM;NOM;MASC;SG
winner	víťaz	winner	víťaz	PROPN	N;ANIM;NOM;MASC;SG
pukulan	fúka	pukulan	fúk	N;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
pukulan	udrieť	pukulan	udrieť	N;SG	V;PFV;POS;NFIN
mendesak	naliehavé	mendesak	naliehavý	V;SG;ACT	ADJ;NOM;NEUT;SG
romantis	romantický	romantis	romantický	N;SG	ADJ;ANIM;NOM;MASC;SG
romantis	romantické	romantis	romantický	N;SG	ADJ;NOM;NEUT;SG
romantis	romantická	romantis	romantický	N;SG	ADJ;NOM;FEM;SG
beri	dajte	beri	dajte	V;SG;ACT	V;PFV;IMP;PL;2;POS;FIN
lucky	štastie	lucky	štastie	PROPN	N;NOM;NEUT;SG
lucky	lucky	lucky	lucky	PROPN	N;NOM;FEM;PL
lucky	šťastie	lucky	šťastie	PROPN	N;NOM;NEUT;SG
agregat	súhrnnej	agregat	súhrnný	N;SG	ADJ;GEN;FEM;SG
agregat	súhrnný	agregat	súhrnný	N;SG	ADJ;INAN;NOM;MASC;SG
agregat	súhrnné	agregat	súhrnný	N;SG	ADJ;NOM;NEUT;SG
agregat	agregácie	agregat	agregácia	N;SG	N;NOM;FEM;PL
stanford	stanford	stanford	stanford	PROPN	PROPN;ANIM;NOM;MASC;SG
bergaya	štýlové	bergaya	štýlový	V;SG;ACT	ADJ;NOM;NEUT;SG
bergaya	štýlový	bergaya	štýlový	V;SG;ACT	ADJ;ANIM;NOM;MASC;SG
bergaya	štýl	bergaya	štýl	V;SG;ACT	N;INAN;NOM;MASC;SG
bergaya	style	bergaya	style	V;SG;ACT	INTJ
bergaya	štýl	bergaya	štýl	V;SG;ACT	N;INAN;NOM;MASC;SG
bergaya	styling	bergaya	styling	V;SG;ACT	N;INAN;NOM;MASC;SG
hudson	hudson	hudson	hudson	PROPN	PROPN;ANIM;NOM;MASC;SG
membatalkan	zrušené	menbatalkan	zrušený	V;SG;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
membatalkan	zrušená	menbatalkan	zrušený	V;SG;ACT	ADJ;NOM;FEM;SG
membatalkan	zrušený	menbatalkan	zrušený	V;SG;ACT	ADJ;INAN;NOM;MASC;SG
membatalkan	zrušená	menbatalkan	zrušený	V;SG;ACT	ADJ;NOM;FEM;SG
membatalkan	zrušené	menbatalkan	zrušený	V;SG;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
membatalkan	zrušený	menbatalkan	zrušený	V;SG;ACT	ADJ;INAN;NOM;MASC;SG
perlombaan	preteky	perlombaan	preteky	N;SG	N;INAN;NOM;MASC;PL
perlombaan	rasy	perlombaan	rasa	N;SG	N;NOM;FEM;PL
serigala	wolf	serigala	wolf	N	PROPN;ANIM;NOM;MASC;SG
ruas	polia	ruas	pole	N;SG	N;NOM;NEUT;PL
ruas	polí	ruas	poliť	N;SG	N;GEN;FEM;PL
iata	iata	iata	iata	PROPN	N;NOM;NEUT;SG
taksi	taxíky	taksi	taxík	N;SG	N;INAN;NOM;MASC;PL
taksi	taxíky	taksi	taxík	N;SG	N;INAN;NOM;MASC;PL
wabah	epidémie	wabah	epidémia	N;SG	N;NOM;FEM;PL
financial	finančný	financial	finančný	N	ADJ;ANIM;NOM;MASC;SG
financial	finančná	financial	finančný	N	ADJ;NOM;FEM;SG
financial	finančné	financial	finančný	N	ADJ;NOM;NEUT;SG
bala	bala	bala	bať	N;SG	PROPN;NOM;FEM;SG
lilin	sviečky	lilin	sviečka	N;SG	N;NOM;FEM;PL
lilin	sviečky	lilin	sviečka	N;SG	N;NOM;FEM;PL
wolf	vlk	wolf	vlk	PROPN	N;ANIM;NOM;MASC;SG
wolf	wolf	wolf	wolf	PROPN	PROPN;ANIM;NOM;MASC;SG
rwy	rwy	rwy	rwy	PROPN	N;NOM;FEM;SG
harrison	harrison	harrison	harrison	PROPN	PROPN;ANIM;NOM;MASC;SG
menyerbu	napadli	menserbu	napadnúť	V;SG;ACT	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
menyerbu	prekročenia	menserbu	prekročenie	V;SG;ACT	N;NOM;NEUT;PL
menyerbu	prekročenie	menserbu	prekročenie	V;SG;ACT	N;NOM;NEUT;SG
teritorial	územná	teritorial	územný	N;SG	ADJ;NOM;FEM;SG
teritorial	územné	teritorial	územný	N;SG	ADJ;NOM;NEUT;SG
teritorial	územnej	teritorial	územný	N;SG	ADJ;GEN;FEM;SG
teritorial	územný	teritorial	územný	N;SG	ADJ;INAN;NOM;MASC;SG
angola	angola	angola	angola	PROPN	PROPN;ANIM;NOM;MASC;SG
tanzania	tanzánia	tanzania	tanzániť	PROPN	N;NOM;FEM;SG
mind	myseľ	mind	myseľ	PROPN	N;NOM;FEM;SG
mind	rozum	mind	rozum	PROPN	N;INAN;NOM;MASC;SG
mind	mysel	mind	mysieť	PROPN	INTJ
mind	nazor	mind	nazor	PROPN	INTJ
duke	duke	duke	duka	PROPN	PROPN;ANIM;NOM;MASC;SG
duke	vojvoda	duke	vojvoda	PROPN	N;ANIM;NOM;MASC;SG
grammy	grammy	grammy	gramma	PROPN	N;NOM;FEM;SG
akademisi	akademici	akademisi	akademica	N;SG	N;ANIM;NOM;MASC;PL
akademisi	akademických	akademisi	akademický	N;SG	ADJ;GEN;MASC;PL
akademisi	akademické	akademisi	akademický	N;SG	ADJ;NOM;NEUT;SG
akademisi	akademického	akademisi	akademický	N;SG	ADJ;GEN;NEUT;SG
akademisi	akademický	akademisi	akademický	N;SG	ADJ;ANIM;NOM;MASC;SG
yosua	joshua	yosua	joshua	PROPN	N;ANIM;NOM;MASC;SG
dibuktikan	dokázaná	dibuktikan	dokázaný	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
dibuktikan	preukázané	dibuktikan	preukázaný	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
dibuktikan	preukázaná	dibuktikan	preukázaný	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
dibuktikan	dokázané	dibuktikan	dokázaný	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
evolution	evolúcia	evolution	evolúcia	PROPN	N;NOM;FEM;SG
evolution	vývoj	evolution	vývoj	PROPN	N;INAN;NOM;MASC;SG
evolution	evolúcie	evolution	evolúcia	PROPN	N;NOM;FEM;PL
patroli	hliadky	patroli	hliadka	N;SG	N;NOM;FEM;PL
eyes	oči	eyes	oko	PROPN	N;NOM;NEUT;PL
eyes	očká	eyes	očko	PROPN	N;NOM;NEUT;PL
eyes	očí	eyes	oko	PROPN	N;GEN;NEUT;PL
eyes	očami	eyes	oko	PROPN	N;INS;NEUT;PL
joan	joan	joan	joan	PROPN	PROPN;ANIM;NOM;MASC;SG
mutlak	absolútnu	mutlak	absolútny	ADJ;SG	N;ACC;FEM;SG
mutlak	absolútne	mutlak	absolútny	ADJ;SG	ADV
screen	obrazovka	screen	obrazovka	PROPN	N;NOM;FEM;SG
screen	obrazovky	screen	obrazovka	PROPN	N;NOM;FEM;PL
screen	screen	screen	screen	PROPN	
screen	obrazovku	screen	obrazovka	PROPN	N;ACC;FEM;SG
tbs	tds	tbs	tds	PROPN	
vosges	vosges	vosges	vosges	PROPN	N;NOM;MASC;SG
maurice	maurice	maurice	maurica	PROPN	PROPN;ANIM;NOM;MASC;SG
ukm	msp	ukm	msp	PROPN	N;NOM;FEM;SG
plasma	plazmatická	plasma	plazmatický	N	ADJ;NOM;FEM;SG
plasma	plazmové	plasma	plazmový	N	ADJ;NOM;NEUT;SG
plasma	plazmatické	plasma	plazmatický	N	ADJ;NOM;NEUT;SG
seat	sedadlo	seat	sedadlo	PROPN	N;NOM;NEUT;SG
seat	sedadla	seat	sedadlo	PROPN	N;NOM;NEUT;PL
seat	sídlo	seat	sídlo	PROPN	N;NOM;NEUT;SG
fauna	fauny	fauna	fauna	PROPN	N;NOM;FEM;PL
produktif	produktívne	produktif	produktívne	ADJ;SG	ADV
produktif	zarábať	produktif	zarábať	ADJ;SG	V;IPFV;POS;NFIN
leon	leon	leon	leon	PROPN	PROPN;ANIM;NOM;MASC;SG
six	šesť	six	šesť	PROPN	NUM;NOM;NEUT;SG
six	six	six	six	PROPN	
six	šiestich	six	šesť	PROPN	NUM;GEN;MASC;PL
six	šiesti	six	šiesť	PROPN	NUM;ANIM;NOM;MASC;PL
bandingkan	porovnanie	bandingkan	porovnanie	V;SG;ACT	N;NOM;NEUT;SG
