من	که	مِن	که	ADP	CONJ
جميع	همه	جَمِيع	همه	N;NOM;INDF;SG	PRO
العربي	عرب	عَرَبِيّ	عرب	ADJ;NOM;DEF;MASC;SG	N;SG
العربي	عربها	عَرَبِيّ	عرب	ADJ;NOM;DEF;MASC;SG	N;PL
الثانية	ثانیه	ثَانِي	ثانیه	ADJ;NOM;DEF;FEM;SG	N;SG
السكان	جمعیت	سَاكِن	جمعیت	N;NOM;DEF;PL	N;SG
السكان	جمعیتی	سَاكِن	جمعیتی	N;NOM;DEF;PL	N;SG
عدة	چندین	عِدَّة	چندین	N;NOM;INDF;SG	ADJ
ولد	boy	وَلَد	boy	N;NOM;INDF;SG	
ولد	متولد	وَلَد	متولد	N;NOM;INDF;SG	ADJ
البحر	بحر	بَحر	بحر	N;NOM;DEF;SG	
شركة	استوار	شَرِكَة	استوار	N;NOM;INDF;SG	ADJ
شركة	گروهان	شَرِكَة	گروه	N;NOM;INDF;SG	N;PL
فيلم	فیلمش	فِيلم	فیلمش	N;NOM;INDF;SG	
فيلم	سینمایی	فِيلم	سینمایی	N;NOM;INDF;SG	ADJ
فيلم	film	فِيلم	film	N;NOM;INDF;SG	
بطولة	مسابقات	بُطُولَة	مسابقه	N;NOM;INDF;SG	N;PL
الولادة	b	وِلَادَة	b	N;NOM;DEF;SG	INTJ
بني	پسر	بني	پسر		N;SG
فرنسا	فرانس	فَرَنسَا	فرانس		N;SG
فرنسا	فرانسه	فَرَنسَا	فرانسه		N;SG
فترة	دورهای	فَترَة	دور	N;NOM;INDF;SG	N;PL
عقد	گردنبند	عَقَد	گشت#گرد	V;PFV;MASC;SG;3;ACT	N;SG
عقد	قرارداد	عَقَد	قرارداد	V;PFV;MASC;SG;3;ACT	N;SG
اليوم	امروز	يَوم	امروز	N;ACC;DEF;SG	ADV
العالمية	جهانی	عَالَمِيّ	جهانی	ADJ;NOM;DEF;FEM;SG	N;SG
العالمية	یونیورسال	عَالَمِيّ	یونیورسال	ADJ;NOM;DEF;FEM;SG	N;SG
العالمية	سراسری	عَالَمِيّ	سراسری	ADJ;NOM;DEF;FEM;SG	N;SG
العالمية	جهانی	عَالَمِيّ	جهانی	ADJ;NOM;DEF;FEM;SG	N;SG
العالمية	گلوبال	عَالَمِيّ	گلوبال	ADJ;NOM;DEF;FEM;SG	N;SG
كبير	بیگ	كَبِير	بیگ	ADJ;NOM;INDF;MASC;SG	N;SG
كبير	b	كَبِير	b	ADJ;NOM;INDF;MASC;SG	N;SG
كبير	بزرگی	كَبِير	بزرگی	ADJ;NOM;INDF;MASC;SG	N;SG
كبير	کبیر	كَبِير	کبیر	ADJ;NOM;INDF;MASC;SG	N;SG
الوقت	time	وَقت	time	N;NOM;DEF;SG	
عملية	مراحل	عَمَلِيَّة	مرحله	N;NOM;INDF;SG	N;PL
عملية	عملیات	عَمَلِيَّة	عملیات	N;NOM;INDF;SG	N;PL
مايو	می	مَايُو	می	N;GEN;INDF;SG	
مايو	تا	مَايُو	تا	N;GEN;INDF;SG	ADP
يونيو	june	يُونِيُو	june	N;GEN;INDF;SG	
واحد	یکی	وَاحِد	یک	ADJ;NOM;INDF;MASC;SG	NUM
واحد	یگانه	وَاحِد	یگانه	ADJ;NOM;INDF;MASC;SG	N;SG
واحد	یک	وَاحِد	یک	ADJ;NOM;INDF;MASC;SG	NUM
دون	دان	دُونَ	آن	ADP;ACC	
عبر	via	عَبرَ	via	ADP;ACC	N;SG
عبر	طریق	عَبرَ	طریق	ADP;ACC	N;SG
العامة	عمومی	عَامَّة	عمومی	N;NOM;DEF;SG	ADJ
العامة	علنی	عَامَّة	None	N;NOM;DEF;SG	ADJ
يقدر	مقبول	قَدَّر	مقبول	V;IPFV;MASC;IND;SG;3;FIN;PASS	N;SG
نفس	همون	نَفس	همون	N;NOM;PSSD;SG	
كبيرة	بیگ	كَبِير	بیگ	ADJ;NOM;INDF;FEM;SG	N;SG
كبيرة	b	كَبِير	b	ADJ;NOM;INDF;FEM;SG	N;SG
كبيرة	بزرگی	كَبِير	بزرگی	ADJ;NOM;INDF;FEM;SG	N;SG
المساكن	مسکن	مَسكَن	مسکن	N;NOM;DEF;PL	N;SG
المساكن	کاشانه	مَسكَن	کاشانه	N;NOM;DEF;PL	N;SG
واحدة	یکی	وَاحِد	یک	ADJ;NOM;INDF;FEM;SG	NUM
واحدة	یگانه	وَاحِد	یگانه	ADJ;NOM;INDF;FEM;SG	N;SG
واحدة	یک	وَاحِد	یک	ADJ;NOM;INDF;FEM;SG	NUM
داخل	درون	دَاخِلَ	درون	ADP;ACC	N;SG
داخل	درونت	دَاخِلَ	درونت	ADP;ACC	PRO;SG;2
سطح	سقف	سَطح	سقف		N;SG
سطح	بام	سَطح	None		N;SG
سطح	سطح	سَطح	سطح		N;SG
سطح	سطحی	سَطح	سطحی		N;SG
الفترة	دورهای	فَترَة	دور	N;NOM;DEF;SG	N;PL
يجب	باید	وَجَب	بایست#باید	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;NFIN
الدولي	اینترنشنال	دُوَلِيّ	اینترنشنال	ADJ;NOM;DEF;MASC;SG	N;SG
الدولي	بینالمللی	دُوَلِيّ	بینالمللی	ADJ;NOM;DEF;MASC;SG	N;SG
الدولي	جهانی	دُوَلِيّ	جهانی	ADJ;NOM;DEF;MASC;SG	N;SG
كتب	کتابها	كَتَب	کتاب	V;PFV;MASC;SG;3;ACT	N;PL
كتب	کتاب	كَتَب	کتاب	V;PFV;MASC;SG;3;ACT	N;SG
كتب	کتابهای	كَتَب	کتاب	V;PFV;MASC;SG;3;ACT	N;PL
درجة	زینه	دَرَجَة	زینه	N;NOM;INDF;SG	INTJ
خاصة	خلوت	خَاصّ	None	ADJ;ACC;INDF;FEM;SG	N;SG
خاصة	شخصی	خَاصّ	شخص	ADJ;ACC;INDF;FEM;SG	N;SG
خاصة	سرباز	خَاصّ	سرباز	ADJ;ACC;INDF;FEM;SG	N;SG
خاصة	private	خَاصّ	private	ADJ;ACC;INDF;FEM;SG	N;SG
خاصة	خصوصی	خَاصّ	خصوصی	ADJ;ACC;INDF;FEM;SG	N;SG
خاصة	مخصوصا	خَاصّ	مخصوصا	ADJ;ACC;INDF;FEM;SG	ADV
خاصة	بخصوص	خَاصّ	بخصوص	ADJ;ACC;INDF;FEM;SG	CONJ
خاصة	مخصوص	خَاصّ	مخصوص	ADJ;ACC;INDF;FEM;SG	N;SG
خاصة	خاص	خَاصّ	خاص	ADJ;ACC;INDF;FEM;SG	N;SG
خاصة	استثنایی	خَاصّ	استثنایی	ADJ;ACC;INDF;FEM;SG	N;SG
خاصة	خاصه	خَاصّ	خاصه	ADJ;ACC;INDF;FEM;SG	N;SG
الوطنية	ملی	وَطَنِيَّة	ملی	N;NOM;DEF;SG	ADJ
حالة	شرایط	حَالَة	شرایط	N;NOM;INDF;SG	N;PL
الفيلم	فیلمش	فِيلم	فیلمش	N;NOM;DEF;SG	
الفيلم	سینمایی	فِيلم	سینمایی	N;NOM;DEF;SG	ADJ
الفيلم	film	فِيلم	film	N;NOM;DEF;SG	
مليون	میلیونی	مِليُون	میلیونی	NUM;NOM;INDF;SG	N;SG
مليون	ملیون	مِليُون	ملیون	NUM;NOM;INDF;SG	N;SG
الدرجة	زینه	دَرَجَة	زینه	N;NOM;DEF;SG	INTJ
عمر	عمر	عمر	عمر		N;SG
عمر	عمر	عمر	عمر		N;SG
الخاصة	خلوت	خَاصّ	None	ADJ;NOM;DEF;FEM;SG	N;SG
الخاصة	شخصی	خَاصّ	شخص	ADJ;NOM;DEF;FEM;SG	N;SG
الخاصة	سرباز	خَاصّ	سرباز	ADJ;NOM;DEF;FEM;SG	N;SG
الخاصة	private	خَاصّ	private	ADJ;NOM;DEF;FEM;SG	N;SG
الخاصة	خصوصی	خَاصّ	خصوصی	ADJ;NOM;DEF;FEM;SG	N;SG
حين	وقتی	حِينَ	وقتی	ADP;ACC	CONJ
حين	چون	حِينَ	چون	ADP;ACC	CONJ
الشمالية	شمالی	شَمَالِيّ	شمالی	ADJ;NOM;DEF;FEM;SG	N;SG
الشمالية	شمال	شَمَالِيّ	شمال	ADJ;NOM;DEF;FEM;SG	N;SG
يسار	چپ	سَار	چپ		N;SG
الكثير	قرعه	كَثِير	قرعه	ADJ;NOM;DEF;MASC;SG	N;SG
الكثير	بسیار	كَثِير	بسیار	ADJ;NOM;DEF;MASC;SG	ADV
زوجي	همسر	زَوجِيّ	همسر		N;SG
زوجي	شوهر	زَوجِيّ	شوهر		N;SG
زوجي	شوهری	زَوجِيّ	شوهر		N;SG
زوجي	شوهرش	زَوجِيّ	شوهرش		N;SG
وسط	مرکزی	وَسط	مرکزی	N;NOM;INDF;SG	ADJ
وسط	وسط	وَسط	وسط	N;NOM;INDF;SG	ADP
اليمنية	ریال	يَمَنِيّ	ریال	ADJ;NOM;DEF;FEM;SG	N;SG
نسبة	نسبت	نِسبَة	نسبت	N;NOM;INDF;SG	ADP
الكتاب	b	كِتَاب	b	N;NOM;DEF;SG	INTJ
الناس	مردم	إِنسَان	مردم	N;NOM;DEF;PL	N;SG
الجهاز	دستگاهها	جِهَاز	دستگاه	N;NOM;DEF;SG	N;PL
معظم	اکثر	مُعظَم	اکثر	N;NOM;INDF;SG	ADJ
معظم	بیشتر	مُعظَم	بیش	N;NOM;INDF;SG	ADJ;CMPR
معظم	بیشترین	مُعظَم	بیش	N;NOM;INDF;SG	ADJ;RL
الشرقية	شرق	شَرقِيّ	شرق	ADJ;NOM;DEF;FEM;SG	N;SG
الشرقية	شرقی	شَرقِيّ	شرقی	ADJ;NOM;DEF;FEM;SG	N;SG
الشرقية	خاوری	شَرقِيّ	خاوری	ADJ;NOM;DEF;FEM;SG	N;SG
الشرقية	شرقی	شَرقِيّ	شرقی	ADJ;NOM;DEF;FEM;SG	N;SG
الشرقية	شرق	شَرقِيّ	شرق	ADJ;NOM;DEF;FEM;SG	N;SG
الشرقية	شرقی	شَرقِيّ	شرقی	ADJ;NOM;DEF;FEM;SG	N;SG
وقت	time	وَقت	time	N;NOM;INDF;SG	
سوريا	سوریه	سُورِيَا	سوریه		N;SG
سوريا	سوریه	سُورِيَا	سوریه		N;SG
سوريا	سوری	سُورِيَا	سوری		N;SG
عرض	نما	عَرض	نما	N;NOM;INDF;SG	
الدولية	اینترنشنال	دُوَلِيّ	اینترنشنال	ADJ;NOM;DEF;FEM;SG	N;SG
الدولية	بینالمللی	دُوَلِيّ	بینالمللی	ADJ;NOM;DEF;FEM;SG	N;SG
الدولية	جهانی	دُوَلِيّ	جهانی	ADJ;NOM;DEF;FEM;SG	N;SG
بناء	بسازم	بِنَاء	None	N;ACC;INDF;SG	V;SBJV;SG;1;PRS
بناء	بساز	بِنَاء	None	N;ACC;INDF;SG	V;IMP;SG;2
بناء	بسازید	بِنَاء	None	N;ACC;INDF;SG	V;SBJV;PL;2;PRS
بناء	بسازی	بِنَاء	بسازی	N;ACC;INDF;SG	V;SBJV;SG;2;PRS
العرب	عربها	عَرَب	عرب	N;NOM;DEF;SG	N;PL
العرب	اعراب	عَرَب	عرب	N;NOM;DEF;SG	N;PL
التعليم	تحصیلات	تَعلِيم	تحصیل	N;NOM;DEF;SG	N;PL
دول	دول	دَولَة	دول	N;NOM;INDF;PL	N;SG
الحالي	جریان	حَالِيّ	جریان	ADJ;NOM;DEF;MASC;SG	N;SG
الحالي	هدیه	حَالِيّ	هدیه	ADJ;NOM;DEF;MASC;SG	N;SG
الجزائر	الجزیره	جَزَائِر	الجزیره	N;NOM;DEF;PL	N;SG
الجزائر	الجزایر	جَزَائِر	الجزایر	N;NOM;DEF;PL	N;SG
الغربية	وسترن	غَربِيّ	وسترن	ADJ;NOM;DEF;FEM;SG	N;SG
جبل	کوهستانی	جَبَل	کوهستانی		N;SG
جبل	کوهی	جَبَل	None		N;SG
جبل	کوه	جَبَل	کوه		N;SG
جبل	کوهستان	جَبَل	کوهستان		N;SG
جبل	کوه	جَبَل	کوه		N;SG
جبل	طور	جَبَل	طور		N;SG
نفسه	خودش	نفسه	خودش	PRO;NOM;MASC;SG;3	
نفسه	همون	نفسه	همون	PRO;NOM;MASC;SG;3	
المصرية	مصر	مِصرِيّ	مصر	ADJ;NOM;DEF;FEM;SG	N;SG
المصرية	مصری	مِصرِيّ	مصری	ADJ;NOM;DEF;FEM;SG	N;SG
الخارجية	خارجی	خَارِجِيَّة	خارجی	N;NOM;DEF;SG	ADJ
سلسلة	زنجیرهای	سِلسِلَة	زنجیرا	N;NOM;INDF;SG	N;PL
البلاد	کانتری	بَلَد	کان	N;NOM;DEF;PL	N;SG
البلاد	کشوری	بَلَد	کشوری	N;NOM;DEF;PL	N;SG
البلاد	کشور	بَلَد	کشور	N;NOM;DEF;PL	N;SG
البلاد	مملکت	بَلَد	مملکت	N;NOM;DEF;PL	N;SG
البلاد	ییلاق	بَلَد	ییلاق	N;NOM;DEF;PL	N;SG
جديدة	تازه	جَدِيد	تازه	ADJ;NOM;INDF;FEM;SG	ADV
جديدة	نیو	جَدِيد	نیو	ADJ;NOM;INDF;FEM;SG	N;SG
العلوم	علمی	عِلم	علمی	N;NOM;DEF;PL	N;SG
العلوم	علم	عِلم	علم	N;NOM;DEF;PL	N;SG
وادي	دره	وادي	دره		N;SG
وادي	وادی	وادي	وادی		N;SG
يتيمة	یتیم	تِيمَة	None	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;SG
يتيمة	یتیمی	تِيمَة	یتیم	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;SG
الشباب	جوانی	شَبّ	جوانی	N;NOM;DEF;PL	N;SG
حسين	hossein	حسين	hossein		N;SG
حسين	حسین	حسين	حسین		N;SG
حسين	حسین	حسين	حسین		N;SG
حسين	حسین	حسين	حسین		N;SG
نهر	رود	نَهر	رفت#رو	N;NOM;INDF;SG	V;SBJV;SG;3;PRS
عين	چشمها	عين	چشم		N;PL
عين	چشمانی	عين	چشمانی		N;PL
عين	چشم	عين	چشم		N;SG
عين	چشمان	عين	چشم		N;PL
عين	عین	عين	عین		N;SG
عين	آئین	عين	آئین		N;SG
عين	چشم	عين	چشم		N;SG
عين	چشمی	عين	چشم		N;SG
غرب	غربی	غَرب	غربی	N;NOM;INDF;SG	ADJ
غرب	غربی	غَرب	غربی	N;NOM;INDF;SG	ADJ
بدون	بى	بدون	بى		
بدون	بدون	بدون	بدون		ADP
عادة	معمولا	عَادَة	معمولاً	N;ACC;INDF;SG	ADV
العلم	علوم	عِلم	علم	N;NOM;DEF;SG	N;PL
شخص	یکی	شَخص	یک	N;NOM;INDF;SG	NUM
يوسف	یوسف	يوسف	یوسف		N;SG
عهد	حکمرانی	عَهد	حکمرانی	N;NOM;INDF;SG	N;PL
تابعة	زیردست	تَابِع	زیردست	ADJ;NOM;INDF;FEM;SG	N;SG
الكبير	بیگ	كَبِير	بیگ	ADJ;NOM;DEF;MASC;SG	N;SG
الكبير	b	كَبِير	b	ADJ;NOM;DEF;MASC;SG	N;SG
الكبير	بزرگی	كَبِير	بزرگی	ADJ;NOM;DEF;MASC;SG	N;SG
الميلاد	b	مِيلَاد	b	N;NOM;DEF;SG	INTJ
الشركة	استوار	شَرِكَة	استوار	N;NOM;DEF;SG	ADJ
الشركة	گروهان	شَرِكَة	گروه	N;NOM;DEF;SG	N;PL
فلسطين	فلسطین	فِلَسطِين	فلسطین	N;NOM;INDF;SG	N;PL
فلسطين	فلسطینی	فِلَسطِين	فلسطینی	N;NOM;INDF;SG	N;PL
المسلمين	مسلمان	مُسلِم	مسلمان	N;NOM;DEF;PL	N;SG
ملك	پادشاه	مَلِك	پادشاه		N;SG
ملك	کینگ	مَلِك	کینگ		N;SG
ملك	شاه	مَلِك	شاه		N;SG
جانب	کنار	جَانِب	کنار	N;NOM;INDF;SG	ADP
مواقع	یونسکو	مَوقِع	یونسکو	N;NOM;INDF;PL	N;SG
الرئيسية	main	رَئِيسِيّ	main	ADJ;NOM;DEF;FEM;SG	N;SG
الرئيسية	ماین	رَئِيسِيّ	ماین	ADJ;NOM;DEF;FEM;SG	N;SG
صيفي	تابستان	صِيفِيّ	تابستان	ADJ;NOM;INDF;MASC;SG	N;SG
صيفي	سامر	صِيفِيّ	سامر	ADJ;NOM;INDF;MASC;SG	N;SG
صيفي	تابستون	صِيفِيّ	تابستون	ADJ;NOM;INDF;MASC;SG	N;SG
صيفي	تابستانی	صِيفِيّ	تابستانی	ADJ;NOM;INDF;MASC;SG	N;SG
الشمس	سان	شَمس	سان	N;NOM;DEF;SG	
مقالات	مقاله	مَقَالَة	مقاله	N;NOM;INDF;PL	N;SG
مقالات	انشاء	مَقَالَة	انشاء	N;NOM;INDF;PL	N;SG
دوري	لیگ	دَورِيّ	لیگ		N;SG
دوري	دورهای	دَورِيّ	دور		N;PL
دوري	متناوب	دَورِيّ	متناوب		N;SG
الجديد	تازه	جَدِيد	تازه	ADJ;NOM;DEF;MASC;SG	ADV
الجديد	نیو	جَدِيد	نیو	ADJ;NOM;DEF;MASC;SG	N;SG
الرحمن	الرحمن	الرحمن	الرحمن		
الرحمن	رحمان	الرحمن	رحمان		N;SG
العليا	بالایی	العليا	بالا		ADJ
العليا	آپر	العليا	آپر		N;SG
العليا	فوقانی	العليا	فوقانی		N;SG
المحيطة	اطراف	مُحِيط	اطراف	ADJ;NOM;DEF;FEM;SG	N;PL
المحيطة	احاطه	مُحِيط	احاطه	ADJ;NOM;DEF;FEM;SG	N;SG
المحيطة	پیرامون	مُحِيط	پیرامون	ADJ;NOM;DEF;FEM;SG	ADP
العالمي	جهان	عَالَمِيّ	جهان	ADJ;NOM;DEF;MASC;SG	N;SG
العالمي	دنیا	عَالَمِيّ	دنیا	ADJ;NOM;DEF;MASC;SG	N;SG
العالمي	جهانی	عَالَمِيّ	جهانی	ADJ;NOM;DEF;MASC;SG	N;SG
العالمي	سراسری	عَالَمِيّ	سراسری	ADJ;NOM;DEF;MASC;SG	N;SG
العالمي	جهانی	عَالَمِيّ	جهانی	ADJ;NOM;DEF;MASC;SG	N;SG
العالمي	گلوبال	عَالَمِيّ	گلوبال	ADJ;NOM;DEF;MASC;SG	N;SG
جون	جان	جُون	جان		N;SG
جون	یوحنا	جُون	یوحنا		N;SG
ذكور	ذکور	ذَكّ	None	N;NOM;INDF;PL	N;SG
ذكور	مذکر	ذَكّ	None	N;NOM;INDF;PL	N;SG
ذكور	نر	ذَكّ	نر	N;NOM;INDF;PL	N;SG
روسيا	روس	رُوسِيَا	روس		N;SG
روسيا	روسیه	رُوسِيَا	روسیه		N;SG
روسيا	روسی	رُوسِيَا	روسی		N;SG
روسيا	روسیه	رُوسِيَا	روسیه		N;SG
القانون	حقوق	قَانُون	حق	N;NOM;DEF;SG	N;PL
الرابع	چهارمی	رَابِع	چهارمی	ADJ;NOM;DEF;MASC;SG	N;SG
المقالات	مقاله	المقالات	مقاله	N;NOM;DEF;PL	N;SG
المقالات	انشاء	المقالات	انشاء	N;NOM;DEF;PL	N;SG
جديد	تازه	جَدِيد	تازه	ADJ;NOM;INDF;MASC;SG	ADV
جديد	نیو	جَدِيد	نیو	ADJ;NOM;INDF;MASC;SG	N;SG
يعمل	کار	عَمِل	کار	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;SG
خالد	خالد	خالد	خالد		N;SG
خالد	ابدی	خالد	None		N;SG
خالد	جاودان	خالد	جاود		N;SG
خالد	جاویدان	خالد	جاویدان		N;SG
خالد	جاودانه	خالد	جاودانه		ADJ
خالد	جاوید	خالد	جاوید		N;SG
خالد	خالد	خالد	خالد		N;SG
السابق	سابق	سَابِق	سابق	N;NOM;DEF;SG	ADJ
السابق	قبلی	سَابِق	قبل	N;NOM;DEF;SG	ADJ
صغيرة	small	صَغِير	small	ADJ;NOM;INDF;FEM;SG	
صغيرة	کوچکی	صَغِير	کوچک	ADJ;NOM;INDF;FEM;SG	N;SG
صغيرة	اسمال	صَغِير	اسمال	ADJ;NOM;INDF;FEM;SG	N;SG
كثير	بسیار	كَثِير	بسیار	ADJ;NOM;INDF;MASC;SG	ADV
جبال	کوهستان	جَبَل	کوهستان	N;NOM;INDF;PL	N;SG
محمود	محمود	محمود	محمود		N;SG
محمود	محمود	محمود	محمود		N;SG
نبات	گیاهی	نَبَأ	گیاهی	N;NOM;INDF;PL	N;SG
نبات	نیروگاه	نَبَأ	نیروگاه	N;NOM;INDF;PL	N;SG
نبات	پلنت	نَبَأ	پلنت	N;NOM;INDF;PL	N;SG
نبات	گیاه	نَبَأ	گیاه	N;NOM;INDF;PL	N;SG
البريطانية	بریتانیایی	برِيطَانِيّ	بریتانی	ADJ;NOM;DEF;FEM;SG	N;SG
البريطانية	بریتانیا	برِيطَانِيّ	None	ADJ;NOM;DEF;FEM;SG	N;SG
حي	همسایه	حَيّ	همسایه		N;SG
حي	همسایگی	حَيّ	همسایگی		N;SG
حي	محله	حَيّ	محله		N;SG
حي	زنده	حَيّ	زنده		ADJ
