年	évi	年	évi	N	
之後	után	之後	után	N	ADP
之後	after	之後	after	N	
之後	miután	之後	miután	N	CONJ
之後	utána	之後	utána	N	
萬	wan	萬	wan	PROPN	
國際	international	國際	international	N	
國際	nemzetközi	國際	nemzetközi	N	ADJ;NOM;SG
完成	kész	完成	kész	V	
完成	befejezés	完成	befejezés	V	N;NOM;SG
完成	kész	完成	kész	V	
完成	komplett	完成	komplett	V	
完成	teljes	完成	teljes	V	
白	fehér	白	fehér	N	
音樂	zenei	音樂	zenei	N	ADJ;NOM;SG
沙	sha	沙	sha	PROPN	
沙	homok	沙	hom	PROPN	N;NOM;SG
沙	shah	沙	shah	PROPN	
可能	lehetséges	可能	lehetséges	N	ADJ;NOM;SG
分布	terjesztés	分布	terjesztés	V	N;NOM;SG
分布	eloszlás	分布	eloszlás	V	N;NOM;SG
分布	elosztás	分布	elosztás	V	N;NOM;SG
分布	forgalmazási	分布	forgalmazási	V	ADJ;NOM;SG
分布	elosztása	分布	elosztás	V	N;NOM;SG
分布	forgalmazás	分布	forgalmazás	V	N;NOM;SG
分布	elosztva	分布	elosztva	V	ADV;V.CVB
地區	kerület	地區	kerület	N	
車	kocsival	車	kocsi	N	
梅	may	梅	may	PROPN	
梅	május	梅	május	PROPN	N;NOM;SG
梅	májusi	梅	májusi	PROPN	ADJ;NOM;SG
梅	májusban	梅	május	PROPN	N;IN+ESS;SG
梅	mei	梅	mei	PROPN	
中文	kínai	中文	kínai	N	
自由	ingyenes	自由	ingyenes	N	
自由	ingyen	自由	ingyen	N	
自由	free	自由	free	N	
自由	szabad	自由	szabad	N	
黃	wong	黃	wong	PROPN	
黃	hwang	黃	hwang	PROPN	
黃	huang	黃	huang	PROPN	
黃	sárgák	黃	sár	PROPN	V;DEF;IND;PL;3;PRS;FIN;ACT
黃	sárga	黃	sárga	PROPN	
光	light	光	light	N	
工程	működik	工程	működik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
港	harbor	港	harbor	PROPN	N;NOM;SG
港	kikötők	港	ki+kötő	PROPN	N;NOM;PL
港	kikötő	港	kikötő	PROPN	N;NOM;SG
港	port	港	por	PROPN	
港	kikötő	港	kikötő	PROPN	N;NOM;SG
港	harbour	港	harbour	PROPN	
列	oszlop	列	oszlop	V	N;NOM;SG
最後	utoljára	最後	utoljára	N	ADV
最後	utolsónak	最後	utolsó	N	ADV
最後	last	最後	last	N	
最後	utolsó	最後	utolsó	N	
提交	beadvány	提交	beadvány	V	N;NOM;SG
提交	benyújtására	提交	benyújtás	V	N;ON+ALL;SG
提交	benyújtása	提交	benyújtás	V	N;NOM;SG
提交	benyújtása	提交	benyújtás	V	N;NOM;SG
一般	általánosságban	一般	általánosság	ADV	N;IN+ESS;SG
一般	általában	一般	általában	ADV	
需要	szükséges	需要	szükséges	V	ADJ;NOM;SG
需要	szükséges	需要	szükséges	V	ADJ;NOM;SG
需要	szükséglet	需要	szükséglet	V	N;NOM;SG
需要	szükségletei	需要	szükséglet	V	N;NOM;PL
需要	szükségletek	需要	szükséglet	V	N;NOM;PL
江	folyami	江	folyami	PROPN	N;NOM;SG
江	folyó	江	folyó	PROPN	
江	jiang	江	jiang	PROPN	
臺灣	tajvani	臺灣	tajv	PROPN	
臺灣	tajvan	臺灣	tajvan	PROPN	N;NOM;SG
臺灣	tajvani	臺灣	tajv	PROPN	
這	ezt	這	ez	DET	PRO;ACC;SG;3
這	ez	這	ez	DET	PRO;NOM;SG;3
泰	tae	泰	tae	PROPN	
登	deng	登	deng	N	
黑	sötét	黑	söt	N	
黑	fekete	黑	feket	N	
黑	black	黑	black	N	
花	hana	花	hana	N	
花	virágos	花	virágos	N	
遊戲	game	遊戲	gam	N	
宗	zong	宗	zong	PROPN	
清	csing	清	csing	PROPN	
清	qing	清	qing	PROPN	
最高	felül	最高	felül	ADJ	
最高	top	最高	top	ADJ	
最高	csúcs	最高	csúcs	ADJ	
最高	felső	最高	felső	ADJ	
最高	legfelső	最高	legfelső	ADJ	
最高	legfelsőbb	最高	felsőbb	ADJ	N;IN+ESS;SG
要求	követelmény	要求	követelmény	V	N;NOM;SG
要求	követelmény	要求	követelmény	V	N;NOM;SG
要求	előírások	要求	előírás	V	N;NOM;PL
要求	követelmények	要求	követelmény	V	N;NOM;PL
要求	követelés	要求	követelés	V	N;NOM;SG
要求	követelések	要求	követelés	V	N;NOM;PL
要求	igények	要求	igény	V	N;NOM;PL
要求	megkeresés	要求	megkeresés	V	N;NOM;SG
要求	kérésére	要求	kérés	V	N;ON+ALL;SG
要求	kérésre	要求	kérés	V	N;ON+ALL;SG
要求	kérés	要求	kérés	V	N;NOM;SG
要求	kérelem	要求	kérel	V	
要求	kereslet	要求	kereslet	V	N;NOM;SG
要求	követelés	要求	követelés	V	N;NOM;SG
要求	igény	要求	igény	V	
要求	kérelmek	要求	kérelem	V	N;NOM;PL
要求	kérések	要求	kérés	V	N;NOM;PL
讓	jean	讓	jean	V;CAUS	
讓	engedd	讓	engedd	V;CAUS	V;DEF;IMP;SG;2;PRS;FIN;ACT
發現	felfedezés	發現	felfedezés	V	N;NOM;SG
發現	felfedezése	發現	felfedezés	V	N;NOM;SG
發現	felfedezés	發現	felfedezés	V	N;NOM;SG
發現	discovery	發現	discovery	V	N;NOM;SG
只有	csak	只有	csak	ADP	ADV
只有	kizárólag	只有	kizárólag	ADP	
最大	max	最大	max	ADJ	
華	hua	華	hua	PROPN	
華	wah	華	wah	PROPN	
製作	előállítás	製作	előállítás	V	N;NOM;SG
製作	gyártás	製作	gyártás	V	N;NOM;SG
製作	termelés	製作	termelés	V	N;NOM;SG
製作	termelési	製作	termelési	V	ADJ;NOM;SG
製作	productions	製作	productions	V	N;NOM;SG
製作	produkció	製作	produkció	V	N;NOM;SG
出生	születés	出生	születés	V	N;NOM;SG
出生	születési	出生	születési	V	ADJ;NOM;SG
出生	szülés	出生	szülés	V	N;NOM;SG
朱	zhu	朱	zhu	PROPN	
朱	joo	朱	joo	PROPN	
航空	légiközlekedési	航空	légiközlekedési	N	ADJ;NOM;SG
航空	aero	航空	aero	N	
航空	air	航空	air	N	
數	gróf	數	gróf	N	
數	számolom	數	számol	N	V;DEF;IND;SG;1;PRS;FIN;ACT
數	számol	數	számol	N	V;INDF;IND;SG;3;PRS;FIN;ACT
數	számít	數	számít	N	V;INDF;IND;SG;3;PRS;FIN;ACT
出版	kiadás	出版	kiadás	V	N;NOM;SG
出版	kiadó	出版	kiadó	V	N;NOM;SG
出版	közzététel	出版	közzététel	V	N;NOM;SG
出版	kiadvány	出版	kiadvány	V	N;NOM;SG
出版	közzététel	出版	közzététel	V	N;NOM;SG
發展	fejlesztés	發展	fejlesztés	V	N;NOM;SG
發展	fejlődés	發展	fejlődés	V	N;NOM;SG
發展	fejlesztési	發展	fejlesztési	V	ADJ;NOM;SG
成功	sikeres	成功	sikeres	N	
成功	sikeresen	成功	sikeres	N	ADJ;FRML;SG
成功	sikeres	成功	sikeres	N	
堡	fort	堡	for	N	
系統	system	系統	system	N	
系統	systems	系統	systems	N	
蘭	lan	蘭	lan	PROPN	N;NOM;SG
蘭	ian	蘭	ian	PROPN	
劉	yoo	劉	yoo	PROPN	
劉	liu	劉	liu	PROPN	
劉	lau	劉	lau	PROPN	
班	brigád	班	brigád	PROPN	N;NOM;SG
班	osztag	班	osztag	PROPN	N;NOM;SG
問題	gond	問題	gond	N	
問題	baj	問題	baj	N	
康	kang	康	kang	PROPN	
海拔	magasság	海拔	magasság	N	
島	sziget	島	sziget	PROPN	N;NOM;SG
島	szigeten	島	sziget	PROPN	N;ON+ESS;SG
島	sziget	島	sziget	PROPN	N;NOM;SG
率	mérték	率	mér	N	
請	kérem	請	kér	V	V;DEF;IMP;SG;3;PRS;FIN;ACT
請	kérlek	請	kérl	V	V;DEF;IMP;SG;1;PRS;FIN;ACT
官方	hivatalosan	官方	hivatalos	N	ADJ;FRML;SG
愛	szeretettel	愛	szeretet	V	N;INS;SG
愛	love	愛	love	V	
愛	szeretet	愛	szeretet	V	N;NOM;SG
愛	szerelem	愛	szerelem	V	N;NOM;SG
平	lakás	平	lakás		N;NOM;SG
印度	india	印度	india	PROPN	
存在	lét	存在	lét	V	N;NOM;SG
存在	létezése	存在	létezés	V	N;NOM;SG
存在	létezés	存在	létezés	V	N;NOM;SG
存在	jelenlét	存在	jelenl	V	N;NOM;SG
存在	jelenléte	存在	jelenlét	V	N;NOM;SG
刪除	törölve	刪除	törölve	V	N;NOM;SG
刪除	törölt	刪除	töröl	V	
刪除	törlés	刪除	törlés	V	
刪除	eltávolítás	刪除	eltávolítás	V	N;NOM;SG
刪除	eltávolítása	刪除	eltávolítás	V	N;NOM;SG
刪除	törlése	刪除	törlés	V	N;NOM;SG
刪除	törlés	刪除	törlés	V	
設計	terveket	設計	terv	V	N;ACC;PL
設計	tervek	設計	terv	V	N;NOM;PL
設計	dizájn	設計	dizájn	V	N;NOM;SG
設計	tervezési	設計	tervezési	V	ADJ;NOM;SG
設計	design	設計	design	V	
設計	tervezés	設計	tervezés	V	N;NOM;SG
卡特	carter	卡特	carter	PROPN	
負責	felelősségteljes	負責	felelősségteljes	V	ADJ;NOM;SG
負責	felelős	負責	felelős	V	
服務	szolgáltatások	服務	szolgáltatás	V	N;NOM;PL
服務	szolgáltatás	服務	szolgáltatás	V	N;NOM;SG
服務	kiszolgálás	服務	kiszolgálás	V	
服務	szerviz	服務	szerviz	V	N;NOM;SG
服務	szolgálat	服務	szolgálat	V	N;NOM;SG
服務	szolgáltatás	服務	szolgáltatás	V	N;NOM;SG
任何	bármelyik	任何	bármelyik	DET	
任何	bármely	任何	bármely	DET	
任何	bármilyen	任何	bármilyen	DET	
列表	jegyzék	列表	jegyzék		N;NOM;SG
列表	lista	列表	lista		N;NOM;SG
唐	tang	唐	tang	PROPN	
唐	don	唐	don	PROPN	
西班牙	spanyolország	西班牙	spanyolország	PROPN	
條	csík	條	csík	N	
兩	kettő	兩	kettő	NUM	
當	mikor	當	mikor	ADP	ADV
當	amikor	當	amikor	ADP	ADV
超	ultra	超	ultra	PART	
超	super	超	super	PART	
超	szuper	超	szuper	PART	
丁	ding	丁	ding	PROPN	
丁	csing	丁	csing	PROPN	
夏	xia	夏	xia	PROPN	
以上	fölötte	以上	fölött	DET	
以上	felett	以上	felett	DET	ADP
以上	fölött	以上	fölött	DET	ADP
以上	fent	以上	fent	DET	
以上	fenti	以上	fent	DET	
以上	felette	以上	felet	DET	PRO;NOM;SG;3
著名	híres	著名	híres	ADJ	
著名	híresség	著名	híresség	ADJ	N;NOM;SG
聖	saint	聖	saint	PROPN	
聖	szent	聖	szent	PROPN	
志	zhi	志	zhi	N	
志	chi	志	chi	N	
已經	máris	已經	máris	ADV	
梁	sugár	梁	sugár	PROPN	N;NOM;SG
梁	leung	梁	leung	PROPN	
梁	liang	梁	liang	PROPN	
梁	gerendák	梁	gerenda	PROPN	N;NOM;PL
武	takeshi	武	takeshi	N	
半	fele	半	fél	PART	N;NOM;SG
東京	tokió	東京	tokió	PROPN	
東京	tokiói	東京	tokiói	PROPN	ADJ;NOM;SG
東京	tokyo	東京	tokyo	PROPN	
現在	most	現在	most	N	ADV
劇	drama	劇	drama	N	
後來	később	後來	későn	N	ADV
女性	nőnemű	女性	nőnemű	N	
女性	női	女性	női	N	
女性	női	女性	női	N	
高度	magasság	高度	magasság	N	
高度	magasság	高度	magasság	N	
之前	előtte	之前	előtte	N	
之前	előtt	之前	előtt	N	ADP
之前	mielőtt	之前	mielőtt	N	ADV
合作	együttműködés	合作	együttműködés	V	N;NOM;SG
合作	együttműködés	合作	együttműködés	V	N;NOM;SG
卷	gurul	卷	gurul	N	V;INDF;IND;SG;3;PRS;FIN;ACT
卷	roll	卷	roll	N	
卷	rolls	卷	rolls	N	
只	kizárólag	只	kizárólag	ADV	
歌曲	song	歌曲	song	N	
點	dot	點	dot	N	
點	pont	點	pont	N	
點	point	點	point	N	
一	egyszer	一	egyszer	NUM	ADV
封	feng	封	feng	V	N;NOM;SG
封	fóka	封	fóka	V	N;NOM;SG
封	pecsét	封	pecsé	V	N;NOM;SG
封	seal	封	seal	V	
而且	és	而且	és	ADV	CONJ
通常	általában	通常	általában	ADV	
通常	rendszerint	通常	rendszerint	ADV	
通常	általában	通常	általában	ADV	
形成	képező	形成	képező	V	ADJ;NOM;SG
形成	formáció	形成	formáció	V	N;NOM;SG
形成	alakzat	形成	alakzat	V	N;NOM;SG
比賽	game	比賽	gam	N	
聯賽	league	聯賽	leag	N	
九	kilences	九	kilences		
九	kilenc	九	kilenc		
學校	suli	學校	suli	N	
完全	teljesen	完全	teljes	ADV	ADJ;FRML;SG
完全	teljesen	完全	teljes	ADV	ADJ;FRML;SG
接受	elfogadás	接受	elfogadás	V	N;NOM;SG
接受	elfogadva	接受	elfogadva	V	ADV;V.CVB
接受	elfogadom	接受	elfogadom	V	
交通	közlekedési	交通	közlekedési	N	ADJ;NOM;SG
木	fa	木	fa	N	
木	wood	木	wood	N	
木	erdő	木	erdő	N	
討論	beszélgetések	討論	beszélgetés	V	N;NOM;PL
討論	megbeszélések	討論	megbeszélés	V	N;NOM;PL
討論	viták	討論	vita	V	N;NOM;PL
故事	story	故事	story	N	
直接	közvetlen	直接	közvetlen	ADV	
直接	direct	直接	direct	ADV	N;NOM;SG
直接	közvetlenül	直接	közvetlen	ADV	ADJ;FRML;SG
直接	egyenes	直接	egyenes	ADV	
直接	közvetlenül	直接	közvetlen	ADV	ADJ;FRML;SG
參與	részvétel	參與	részvétel	V	N;NOM;SG
參與	eljegyzési	參與	eljegyzési	V	N;NOM;SG
參與	eljegyzés	參與	eljegyzés	V	N;NOM;SG
參與	aktivitás	參與	aktivitás	V	N;NOM;SG
參與	bevonása	參與	bevonás	V	N;NOM;SG
參與	részvétel	參與	részvétel	V	N;NOM;SG
參與	részvétel	參與	részvétel	V	N;NOM;SG
朗	lon	朗	lon		PROPN;NOM;SG
湖	tavi	湖	tavi	N	
根	gyökér	根	gyökér	PROPN	N;NOM;SG
根	gyökerek	根	gyöker	PROPN	N;NOM;PL
保留	fenntartások	保留	fenntartás	V	N;NOM;PL
保留	fenntartva	保留	fenntartva	V	N;NOM;SG
保留	foglalt	保留	foglal	V	
保留	fenntartás	保留	fenntartás	V	N;NOM;SG
保留	foglalás	保留	foglalás	V	N;NOM;SG
希望	remény	希望	remény	V	N;NOM;SG
