din	from	din	from	ADP;ACC	
imagine	obrazek	imagine	obrazek	N;INDF;FEM;SG	N;NOM;MASC;SG
imagine	obraz	imagine	obraz	N;INDF;FEM;SG	N;NOM;MASC;SG
imagine	wizerunek	imagine	wizerunek	N;INDF;FEM;SG	N;ACC;MASC;SG
statul	stan	stat	stan	N;DEF;MASC;SG	N;NOM;MASC;SG
statul	state	stat	staty	N;DEF;MASC;SG	
statul	państwo	stat	państwo	N;DEF;MASC;SG	N;NOM;NEUT;SG
lor	ich	lui	on	DET;3	PRO;GEN;MASC;PL;3
familia	rodzina	familie	rodzina	N;DEF;FEM;SG	N;NOM;FEM;SG
familia	rodziny	familie	rodzina	N;DEF;FEM;SG	N;NOM;FEM;PL
familia	rodzinne	familie	rodzinny	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
familia	rodzinka	familie	rodzinka	N;DEF;FEM;SG	N;NOM;FEM;SG
familia	rodzinnie	familie	rodzinnie	N;DEF;FEM;SG	ADV
numele	nazwisko	nume	nazwisko	N;DEF;MASC;SG	N;NOM;NEUT;SG
numele	imię	nume	imię	N;DEF;MASC;SG	N;NOM;NEUT;SG
numele	nazwa	nume	nazwa	N;DEF;MASC;SG	N;NOM;FEM;SG
timpul	czasu	timp	czas	N;DEF;MASC;SG	N;GEN;MASC;SG
timpul	czas	timp	czas	N;DEF;MASC;SG	N;NOM;MASC;SG
nord	północnej	nord	północny	N;INDF;MASC;SG	ADJ;GEN;FEM;SG
nord	north	nord	north	N;INDF;MASC;SG	
nord	nord	nord	nord	N;INDF;MASC;SG	
principală	główne	principal	główny	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
principală	główna	principal	główna	ADJ;INDF;FEM;SG	
principală	main	principal	main	ADJ;INDF;FEM;SG	
principală	główny	principal	główny	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
aprilie	kwietnia	aprilie	kwiecia	N;INDF;MASC;SG	
aprilie	april	aprilie	april	N;INDF;MASC;SG	
erau	były	fi	być	V;IND;PL;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
erau	byli	fi	być	V;IND;PL;3;IPFV;FIN	V;IPFV;MASC;IND;PL;PST;FIN;ACT
primul	pierwszy	prim	pierwszy	NUM;DEF;MASC;SG	ADJ;NOM;MASC;SG
primul	pierwsze	prim	pierwszy	NUM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
primul	najpierw	prim	najpierw	NUM;DEF;MASC;SG	ADV
primul	pierwsza	prim	pierwszy	NUM;DEF;MASC;SG	ADJ;NOM;FEM;SG
iulie	lipca	iulie	lipiec	N;INDF;MASC;SG	
iulie	lipiec	iulie	lipiec	N;INDF;MASC;SG	
doar	tylko	doar	tylko	ADV	PART
doar	tylko	doar	tylko	ADV	PART
editura	wydawnictwo	editură	wydawnictwo	N;DEF;FEM;SG	N;NOM;NEUT;SG
editura	wydawca	editură	wydawca	N;DEF;FEM;SG	N;NOM;MASC;SG
editura	wydawcy	editură	wydawca	N;DEF;FEM;SG	N;NOM;MASC;SG
asteroid	asteroid	asteroid	asteroid	ADJ;INDF;MASC;SG	
februarie	luty	februarie	luty	N;INDF;MASC;SG	
februarie	lutego	februarie	luty	N;INDF;MASC;SG	
listă	listy	listă	list	N;INDF;FEM;SG	
listă	wykaz	listă	wykaz	N;INDF;FEM;SG	N;NOM;MASC;SG
listă	lista	listă	list	N;INDF;FEM;SG	N;NOM;FEM;SG
listă	spis	listă	spis	N;INDF;FEM;SG	N;NOM;MASC;SG
listă	listę	listă	lista	N;INDF;FEM;SG	N;ACC;FEM;SG
asteroizi	asteroidy	asteroid	asteroida	N;INDF;MASC;PL	
limba	język	limbă	język	N;DEF;FEM;SG	N;NOM;MASC;SG
limba	język	limbă	język	N;DEF;FEM;SG	N;NOM;MASC;SG
limba	języku	limbă	język	N;DEF;FEM;SG	N;ACC;MASC;SG
discuție	dyskusja	discuție	dyskusja	N;INDF;FEM;SG	N;NOM;FEM;SG
discuție	omówienie	discuție	omówienie	N;INDF;FEM;SG	N;NOM;NEUT;SG
discuție	dyskusji	discuție	dyskusja	N;INDF;FEM;SG	N;GEN;FEM;SG
discuție	dyskusje	discuție	dyskusja	N;INDF;FEM;SG	N;NOM;FEM;PL
discuție	dyskusję	discuție	dyskusja	N;INDF;FEM;SG	N;ACC;FEM;SG
franța	francji	franța	francja	PROPN	PROPN;GEN;FEM;SG
franța	francja	franța	francja	PROPN	N;NOM;FEM;SG
franța	france	franța	franka	PROPN	PROPN;NOM;MASC;SG
partea	część	parte	część	N;DEF;FEM;SG	N;NOM;FEM;SG
partea	częściowo	parte	częściowo	N;DEF;FEM;SG	ADV
mult	much	mult	much	ADV	
mult	wiele	mult	wiele	ADV	DET;ACC;MASC;PL
departamentul	wydział	departament	wydział	N;DEF;MASC;SG	N;NOM;MASC;SG
departamentul	departament	departament	departament	N;DEF;MASC;SG	N;NOM;MASC;SG
departamentul	dział	departament	dziać	N;DEF;MASC;SG	N;NOM;MASC;SG
raionul	przejściu	raion	przejście	N;DEF;MASC;SG	N;DAT;NEUT;SG
data	termin	dată	termin	N;DEF;FEM;SG	N;NOM;MASC;SG
data	randka	dată	randka	N;DEF;FEM;SG	N;NOM;FEM;SG
data	data	dată	datać	N;DEF;FEM;SG	
data	dane	dată	dana	N;DEF;FEM;SG	N;NOM;FEM;PL
data	data	dată	datać	N;DEF;FEM;SG	
unul	jeden	unul	jeden	PRO;MASC;SG;3	ADJ;NOM;MASC;SG
unul	jedna	unul	jeden	PRO;MASC;SG;3	ADJ;NOM;FEM;SG
locul	miejsce	loc	miejsce	N;DEF;MASC;SG	N;NOM;NEUT;SG
oraș	town	oraș	town	N;INDF;MASC;SG	
oraș	city	oraș	city	N;INDF;MASC;SG	
pot	can	putea	can	V;IND;PL;3;PRS;FIN	
camp	obozy	camp	obóz	N;INDF;MASC;SG	N;NOM;MASC;PL
camp	camp	camp	campa	N;INDF;MASC;SG	
germania	niemcami	germania	niemiec	PROPN	N;INS;MASC;PL
germania	niemcy	germania	niemiec	PROPN	PROPN;NOM;MASC;PL
face	make	face	maka	V;IND;SG;3;PRS;FIN	
satul	wiosce	sat	wioska	N;DEF;MASC;SG	N;DAT;FEM;SG
satul	wioska	sat	wioska	N;DEF;MASC;SG	N;NOM;FEM;SG
satul	village	sat	village	N;DEF;MASC;SG	N;NOM;MASC;SG
satul	wioski	sat	wioska	N;DEF;MASC;SG	N;ACC;FEM;SG
satul	wieś	sat	wieś	N;DEF;MASC;SG	N;NOM;FEM;SG
național	krajowych	național	krajowy	ADJ;INDF;MASC;SG	ADJ;GEN;MASC;PL
note	nuty	notă	nuta	N;INDF;FEM;PL	
note	zauważa	notă	zauważać	N;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
perioada	okres	perioadă	okres	N;DEF;FEM;SG	N;NOM;MASC;SG
minoritate	mniejszość	minoritate	mniejszość	N;INDF;FEM;SG	N;NOM;FEM;SG
minoritate	mniejszości	minoritate	mniejszość	N;INDF;FEM;SG	N;GEN;FEM;SG
ucraineană	ukraiński	ucrainean	ukraiński	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
cadrul	ramy	cadru	ramy	N;DEF;MASC;SG	N;ACC;NEUT;PL
general	generał	general	generał	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
general	ogólnie	general	ogólnie	ADJ;INDF;MASC;SG	ADV
război	war	război	war	N;INDF;MASC;SG	
peste	ponad	peste	ponad	ADP;ACC	PART
peste	over	peste	over	ADP;ACC	
peste	odbiór	peste	odbiór	ADP;ACC	N;NOM;MASC;SG
română	rumuński	român	rumuński	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
început	rozpoczęte	început	rozpocząć	N;INDF;MASC;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
început	rozpoczęto	început	rozpocząć	N;INDF;MASC;SG	V;PFV;IND;0;PST;FIN;ACT
început	rozpoczęty	început	rozpocząć	N;INDF;MASC;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
început	zaczął	început	zacząć	N;INDF;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
început	poczatek	început	poczatek	N;INDF;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
iii	iii	trei	iii	NUM;SG	
duce	duke	duce	duky	V;IND;SG;3;PRS;FIN	
duce	książę	duce	książę	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
duce	duce	duce	ducy	V;IND;SG;3;PRS;FIN	
provincia	województwo	provincie	województwo	N;DEF;FEM;SG	N;NOM;NEUT;SG
provincia	prowincji	provincie	prowincja	N;DEF;FEM;SG	N;GEN;FEM;SG
provincia	prowincja	provincie	prowincja	N;DEF;FEM;SG	N;NOM;FEM;SG
existând	istniejące	exista	istnieć	V;V.MSDR	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
existând	istniejąca	exista	istnieć	V;V.MSDR	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;ACT
existând	istniejących	exista	istnieć	V;V.MSDR	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
existând	istniejący	exista	istnieć	V;V.MSDR	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
vedere	widok	vedere	widok	N;INDF;FEM;SG	N;NOM;MASC;SG
vedere	zobacz	vedere	zobaczyć	N;INDF;FEM;SG	V;PFV;IMP;SG;2;FIN;ACT
wikipedia	wikipedia	wikipedia	wikipediać	N;DEF;FEM;SG	
specie	gatunki	specie	gatunek	N;INDF;FEM;SG	N;NOM;MASC;PL
specie	gatunek	specie	gatunek	N;INDF;FEM;SG	N;NOM;MASC;SG
punct	dot	punct	dot	N;INDF;MASC;SG	
punct	pkt	punct	punkt	N;INDF;MASC;SG	
punct	point	punct	point	N;INDF;MASC;SG	
stat	state	stat	staty	N;INDF;MASC;SG	
unite	zjednoczone	unit	zjednoczyć	ADJ;INDF;FEM;PL	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
unite	united	unit	united	ADJ;INDF;FEM;PL	
unite	zjednoczona	unit	zjednoczyć	ADJ;INDF;FEM;PL	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
moldova	mołdawii	moldova	mołdawia	PROPN	N;GEN;FEM;SG
moldova	mołdawia	moldova	mołdawiać	PROPN	N;NOM;FEM;SG
file	kart	filă	karta	N;INDF;FEM;PL	
aceste	tych	acest	ten	DET;FEM;PL;3	DET;GEN;MASC;PL
aceste	te	acest	ten	DET;FEM;PL;3	DET;NOM;MASC;PL
secolul	wieku	secol	wiek	N;DEF;MASC;SG	N;GEN;MASC;SG
secolul	wiek	secol	wiek	N;DEF;MASC;SG	N;NOM;MASC;SG
una	jeden	unul	jeden	PRO;FEM;SG;3	ADJ;NOM;MASC;SG
una	jedna	unul	jeden	PRO;FEM;SG;3	ADJ;NOM;FEM;SG
aceasta	tym	acesta	to	PRO;FEM;SG;3	PRO;INS;NEUT;SG
life	zycie	life	zyt		V;IPFV;IND;SG;1;FIN;ACT
life	życia	life	życie		N;GEN;NEUT;SG
life	dożywocie	life	dożywocie		N;NOM;NEUT;SG
life	życie	life	życie		N;NOM;NEUT;SG
reședință	rezydencja	reședință	rezydencja	N;INDF;FEM;SG	N;NOM;FEM;SG
orașul	city	oraș	city	N;DEF;MASC;SG	
orașul	miejscowość	oraș	miejscowość	N;DEF;MASC;SG	N;NOM;FEM;SG
orașul	miasta	oraș	miasto	N;DEF;MASC;SG	N;GEN;NEUT;SG
orașul	miasto	oraș	miasto	N;DEF;MASC;SG	N;NOM;NEUT;SG
tot	wszystkie	tot	wszystek	PRO;MASC;SG;3	DET;NOM;MASC;PL
tot	wszystko	tot	wszystko	PRO;MASC;SG;3	PRO;NOM;NEUT;SG
tot	all	tot	all	PRO;MASC;SG;3	
tot	wszyscy	tot	wszyscy	PRO;MASC;SG;3	PRO;NOM;MASC;PL
tot	nadal	tot	nadal	PRO;MASC;SG;3	ADV
tot	wciąż	tot	wciąż	PRO;MASC;SG;3	ADV
tot	jeszcze	tot	jeszcze	PRO;MASC;SG;3	PART
chiar	nawet	chiar	nawet	ADV	PART
făcut	wykonane	face	wykonać	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
făcut	made	face	mada	V;MASC;SG;V.PTCP	
făcut	zrobione	face	zrobić	V;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
cunoscute	znani	cunoscut	znany	ADJ;INDF;FEM;PL	N;NOM;MASC;PL
cunoscute	znany	cunoscut	znany	ADJ;INDF;FEM;PL	V;IPFV;MASC;IND;SG;PST;FIN;ACT
cunoscute	znana	cunoscut	znany	ADJ;INDF;FEM;PL	V;IPFV;IND;SG;PRS;FIN;ACT
cunoscute	znane	cunoscut	znać	ADJ;INDF;FEM;PL	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
film	filmy	film	film	N;INDF;MASC;SG	N;NOM;MASC;PL
perioadă	okres	perioadă	okres	N;INDF;FEM;SG	N;NOM;MASC;SG
vorbitori	mówcy	vorbitor	mówca	N;INDF;MASC;PL	N;NOM;MASC;SG
date	randki	dată	randki	N;INDF;FEM;PL	N;ACC;FEM;SG
date	daty	dată	data	N;INDF;FEM;PL	N;ACC;FEM;SG
date	data	dată	datać	N;INDF;FEM;PL	
cunoscută	znani	cunoscut	znany	ADJ;INDF;FEM;SG	N;NOM;MASC;PL
cunoscută	znany	cunoscut	znany	ADJ;INDF;FEM;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
cunoscută	znana	cunoscut	znany	ADJ;INDF;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
cunoscută	znane	cunoscut	znać	ADJ;INDF;FEM;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
decât	niz	decât	niz	ADV	V;IPFV;SG;NFIN;ACT
mari	duża	mare	duży	ADJ;INDF;PL	ADJ;NOM;FEM;SG
mari	duże	mare	duży	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
mari	big	mare	big	ADJ;INDF;PL	
mari	wielka	mare	wielki	ADJ;INDF;PL	ADJ;NOM;FEM;SG
mari	duży	mare	duży	ADJ;INDF;PL	ADJ;NOM;MASC;SG
mari	wielki	mare	wielki	ADJ;INDF;PL	ADJ;NOM;MASC;SG
mari	mari	mare	marić	ADJ;INDF;PL	
zile	days	zi	days	N;INDF;FEM;PL	
față	front	față	front	N;INDF;FEM;SG	N;NOM;MASC;SG
față	przodu	față	przód	N;INDF;FEM;SG	N;GEN;MASC;SG
față	przód	față	przód	N;INDF;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
față	twarz	față	twarz	N;INDF;FEM;SG	N;NOM;FEM;SG
față	face	față	faka	N;INDF;FEM;SG	
club	club	club	club	N;INDF;MASC;SG	
est	wschodnie	est	wschodni	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
est	east	est	east	N;INDF;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
est	wschodni	est	wschodni	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
est	wschodnia	est	wschodnia	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
est	est	est	esty	N;INDF;MASC;SG	
nou	nowości	nou	nowość	ADJ;INDF;MASC;SG	N;ACC;FEM;PL
nou	nowość	nou	nowość	ADJ;INDF;MASC;SG	N;NOM;FEM;SG
nou	nowa	nou	nowy	ADJ;INDF;MASC;SG	
ales	wybrany	ales	wybrać	ADV	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
ales	wybrano	ales	wybrać	ADV	V;PFV;IND;0;PST;FIN;ACT
ales	wybrane	ales	wybrać	ADV	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ales	wybrani	ales	wybrany	ADV	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
ales	wybrana	ales	wybrać	ADV	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
numai	tylko	numai	tylko	ADV	PART
ioan	jan	ioan	jan	PROPN	PROPN;NOM;MASC;SG
ioan	johna	ioan	johny	PROPN	
ioan	janek	ioan	janek	PROPN	PROPN;NOM;MASC;SG
ioan	john	ioan	john	PROPN	PROPN;NOM;MASC;SG
ioan	jana	ioan	jani	PROPN	
ioan	ioan	ioan	ioan	PROPN	PROPN;NOM;MASC;SG
ion	ion	ion	ion	N;INDF;MASC;SG	
rusă	rosyjski	rus	rosyjski	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
rusă	rosyjska	rus	rosyjski	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
rusă	rosyjskie	rus	rosyjski	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
rusă	rosjanin	rus	rosjanin	ADJ;INDF;FEM;SG	N;NOM;MASC;SG
