het	το	het	ο	PRO;3	DET;NOM;DEF;NEUT;SG
staat	state	staan	state	V;SG;PRS;FIN	
tegen	ενάντια	tegen	ενάντια	ADP	ADV
tegen	κόντρα	tegen	κόντρο	ADP	N;ACC;FEM;SG
tweede	δεύτερο	twee	δεύτερος	ADJ	NUM;NOM;NEUT;SG
tweede	δεύτερος	twee	δεύτερος	ADJ	NUM;NOM;MASC;SG
tweede	δεύτερη	twee	δεύτερος	ADJ	NUM;NOM;FEM;SG
kunnen	can	kunnen	can	V;PL;PRS;FIN	
kunnen	μπορεί	kunnen	μπορώ	V;PL;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
zie	δείτε	zien	βλέπω	V;SG;PRS;FIN	V;PFV;IMP;PL;2;FIN;ACT
zie	βλέπε	zien	βλέπω	V;SG;PRS;FIN	
zie	δειτε	zien	δειτε	V;SG;PRS;FIN	
geslacht	σεξ	geslacht	σεξ	N;NEUT;SG	
geslacht	sex	geslacht	sex	N;NEUT;SG	
zoals	όπως	zoals	όπως	CONJ	ADV
zoals	οπως	zoals	οπως	CONJ	ADV
zoals	like	zoals	like	CONJ	
zoals	σαν	zoals	σαν	CONJ	ADV
bar	μπαρ	bar	μπαρ	N;MASC+FEM;SG	N;NOM;NEUT;PL
bar	bar	bar	bar	N;MASC+FEM;SG	
nieuwe	νεα	nieuw	νέος	ADJ	N;NOM;FEM;SG
zij	αυτή	zij	αυτός	PRO;NOM;3	PRO;NOM;FEM;SG;3
zij	εκείνη	zij	εκείνος	PRO;NOM;3	PRO;ACC;FEM;SG;3
zij	αυτοί	zij	αυτός	PRO;NOM;3	PRO;NOM;MASC;PL;3
later	αργότερα	laat	αργά	ADJ;CMPR	ADV;CMPR
later	αργοτερα	laat	αργά	ADJ;CMPR	ADV
via	via	via	via	ADP	
hem	αυτόν	hem	αυτός	PRO;ACC;3	PRO;ACC;MASC;SG;3
nederlandse	ολλανδός	nederlands	ολλανδός	ADJ	PROPN;NOM;MASC;SG
nederlandse	ολλανδικά	nederlands	ολλανδικά	ADJ	ADV
nederlandse	ντατς	nederlands	ντατς	ADJ	N
mei	μάη	mei	μάη	PROPN;MASC+FEM;SG	ADP
mei	μάιος	mei	μάιος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
mei	μέι	mei	μέι	PROPN;MASC+FEM;SG	
mei	μάης	mei	μάος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
mei	μέι	mei	μέι	PROPN;MASC+FEM;SG	
echter	ωστόσο	echter	ωστόσο	ADV	CONJ
alle	ολα	al	όλος	DET	ADV
alle	όλοι	al	όλος	DET	ADJ;NOM;MASC;PL
alle	όλες	al	όλος	DET	ADJ;NOM;FEM;PL
alle	όλα	al	όλος	DET	ADJ;NOM;NEUT;PL
stad	town	stad	town	N;MASC+FEM;SG	
stad	city	stad	city	N;MASC+FEM;SG	
links	σύνδεσμοι	links	σύνδεσμος	ADJ	N;ACC;MASC;SG
links	δεσμοί	links	δεσμός	ADJ	N;NOM;MASC;PL
links	συνδέσεις	links	σύνδεση	ADJ	N;NOM;FEM;PL
links	συνδέσμους	links	σύνδεσμος	ADJ	N;ACC;MASC;PL
links	αριστερά	links	αριστερά	ADJ	ADV
links	αριστερό	links	αριστερός	ADJ	N;NOM;NEUT;SG
links	αριστερα	links	αριστέρα	ADJ	ADV
nederland	ολλανδία	nederland	ολλανδία	N;NEUT;SG	PROPN;ACC;FEM;SG
jan	ιαν	jan	ιαν	N;MASC+FEM;SG	
jan	jan	jan	jan	N;MASC+FEM;SG	
jan	γιαν	jan	γιαν	N;MASC+FEM;SG	
jan	τζαν	jan	τζαν	N;MASC+FEM;SG	
tijd	χρονος	tijd	χρονος	N;MASC+FEM;SG	DET;NOM;DEF;MASC;SG
weer	καιρός	weer	καιρός	ADV	N;NOM;MASC;SG
drie	three	drie	three	NUM	
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	
link	lin	link	lin	N;MASC+FEM;SG	
http	http	ht	http	N;MASC+FEM;SG	
gebruikt	χρησιμοποιούμενα	gebruiken	χρησιμοποιούμενος	V;V.PTCP	ADV
gebruikt	χρησιμοποιούμενες	gebruiken	χρησιμοποιούμενος	V;V.PTCP	ADJ;NOM;FEM;PL
der	ντερ	de	ντερ	DET;DEF	
der	der	de	der	DET;DEF	
alleen	μόνοι	alleen	μόνος	ADV	ADJ;NOM;MASC;PL
alleen	μονη	alleen	μονος	ADV	N;ACC;FEM;SG
alleen	μόνη	alleen	μόνος	ADV	ADJ;NOM;FEM;SG
alleen	μόνος	alleen	μόνος	ADV	ADJ;NOM;MASC;SG
nederlands	ολλανδός	nederland	ολλανδός	ADJ	PROPN;NOM;MASC;SG
nederlands	ολλανδικά	nederland	ολλανδικά	ADJ	ADV
nederlands	ντατς	nederland	ντατς	ADJ	N
per	per	per	per	ADP	
per	περ	per	περ	ADP	N
bekend	οικείος	bekend	οικείος	ADJ	N;NOM;MASC;SG
club	club	club	club	N;MASC+FEM;SG	
club	κλάμπ	club	κλάμπ	N;MASC+FEM;SG	
club	κλαμπ	club	κλαμπ	N;MASC+FEM;SG	
laatste	τελευταια	laat	τελευταίος	ADJ;RL	V;IPFV;IND;PL;3;PRS;FIN;PASS
laatste	τελευταία	laat	τελευταία	ADJ;RL	ADV
samen	μαζι	samen	μαζι	ADV	N
één	ένας	één	ένας	NUM	DET;NOM;INDF;MASC;SG
één	ενα	één	ένας	NUM	N;NOM;NEUT;SG
moet	πρέπει	moeten	πρέπει	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
maken	δημιουργία	maken	δημιουργία	V;NFIN	N;ACC;FEM;SG
amerikaanse	αμερικάνικα	amerikaans	αμερικάνικος	ADJ	ADV
amerikaanse	αμερικανοί	amerikaans	Αμερικανός	ADJ	PROPN;NOM;MASC;PL
verder	περαιτέρω	verder	περαιτέρω	ADJ;CMPR	ADV
april	απρίλιος	april	απρίλιος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
april	απρίλιο	april	απρίλιο	PROPN;MASC+FEM;SG	N
april	απρίλη	april	απρίλιος	PROPN;MASC+FEM;SG	N
april	απριλίου	april	απρίλιος	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
april	έιπριλ	april	έιπριλ	PROPN;MASC+FEM;SG	N
verschillende	διαφορετικά	verschillend	διαφορετικά	ADJ	ADV
verschillende	αρκετές	verschillend	αρκετός	ADJ	PRO;NOM;FEM;PL;3
verschillende	αρκετοί	verschillend	αρκετός	ADJ	PRO;NOM;MASC;PL;3
seizoen	σεζον	seizoen	σεζον	N;NEUT;SG	
volgende	επόμενος	volgen	επόμενος	V;V.PTCP	ADJ;NOM;MASC;SG
volgende	επόμενη	volgen	επόμενος	V;V.PTCP	ADJ;ACC;FEM;SG
volgende	επόμενο	volgen	επόμενος	V;V.PTCP	ADJ;NOM;NEUT;SG
weg	οδός	weg	οδός	ADV	N;NOM;FEM;SG
weg	δρόμος	weg	δρόμος	ADV	N;NOM;MASC;SG
weg	δρόμο	weg	δρόμος	ADV	N;ACC;MASC;SG
weg	road	weg	road	ADV	
zelf	εαυτός	zelf	εαυτός	ADV	N;NOM;MASC;SG
franse	γάλλοι	frans	γάλλος	ADJ	PROPN;NOM;MASC;PL
franse	γάλλος	frans	γάλλος	ADJ	N;NOM;MASC;SG
franse	γαλλικά	frans	γαλλικά	ADJ	ADV
terug	πλάτη	terug	πλάτος	ADV	N;NOM;FEM;SG
rond	γύρω	rond	γύρω	ADP	ADV
rond	γυρω	rond	γυρω	ADP	ADV
rond	τριγύρω	rond	τριγύρω	ADP	ADV
rond	στρογγυλό	rond	στρογγυλός	ADP	N;NOM;NEUT;SG
rond	γύρο	rond	γύρος	ADP	N;ACC;MASC;SG
rond	στρογγυλά	rond	στρογγυλά	ADP	N;NOM;NEUT;PL
rond	στρογγυλή	rond	στρογγυλή	ADP	ADJ;NOM;FEM;SG
rond	γύρος	rond	γύρος	ADP	N;NOM;MASC;SG
wikipedia	wikipedia	wikipedia	wikipedia	N;MASC+FEM;SG	
land	ξηρά	land	ξηρά	N;NEUT;SG	N;NOM;NEUT;PL
land	land	land	land	N;NEUT;SG	
werk	εργασίες	werk	εργασία	N;NEUT;SG	N;NOM;FEM;PL
website	website	website	website	N;MASC+FEM;SG	
juni	ιούνιο	juni	ιούνιος	PROPN;MASC+FEM;SG	PROPN;ACC;MASC;SG
juni	ιουνίου	juni	ιούνιος	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
juni	τζουν	juni	τζω	PROPN;MASC+FEM;SG	
juni	ιούνιος	juni	ιούνιος	PROPN;MASC+FEM;SG	ADJ;NOM;MASC;SG
goed	καλο	goed	καλος	ADJ	ADV
goed	καλά	goed	καλά	ADJ	ADV
goed	καλα	goed	καλά	ADJ	ADV
duitse	γερμανοί	duits	γερμανός	ADJ	PROPN;NOM;MASC;PL
duitse	γερμανικά	duits	γερμανικά	ADJ	ADV
bestand	file	bestand	file	N;NEUT;SG	
mensen	κόσμος	mens	κόσμος	N;PL	N;NOM;MASC;SG
vaak	συχνά	vaak	συχνά	ADJ	ADV
vaak	συχνές	vaak	συχνή	ADJ	N;NOM;FEM;PL
vaak	συχνα	vaak	συχνα	ADJ	ADV
vaak	συχνά	vaak	συχνά	ADJ	ADV
januari	ιανουαρίου	januari	ιανουάριος	PROPN;MASC+FEM;SG	PROPN;GEN;MASC;SG
januari	ιανουάριο	januari	ιανουάριο	PROPN;MASC+FEM;SG	N
januari	ιανουάριος	januari	ιανουάριος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
groot	υπέροχα	groot	υπέροχος	ADJ	ADV
marine	ναυτικό	marine	ναυτικός	N;MASC+FEM;SG	ADJ;NOM;NEUT;SG
genoemd	ονόματι	noemen	ονόματι	V;V.PTCP	N;SG
september	σεπτεμβρίου	september	σεπτέμβριο	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
september	σεπτέμβρη	september	σεπτέμβρομαι	PROPN;MASC+FEM;SG	ADV
september	σεπτέμβριος	september	σεπτέμβριος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
september	σεπτέμβριο	september	σεπτέμβριο	PROPN;MASC+FEM;SG	N
php	php	php	php	N;MASC+FEM;SG	
php	πυ	php	πυ	N;MASC+FEM;SG	ADV
juli	ιούλιος	juli	ιούλιος	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
juli	ιούλιο	juli	ιούλιος	PROPN;MASC+FEM;SG	N;ACC;MASC;SG
juli	ιουλίου	juli	ιούλιος	PROPN;MASC+FEM;SG	N;GEN;NEUT;SG
juli	ιουλιος	juli	ιουλιος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
leven	life	leven	life	N;NEUT;SG	
leven	ζήσε	leven	ζώ	N;NEUT;SG	V;PFV;IND;SG;1;PST;FIN;ACT
leven	ζω	leven	ζω	N;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
leven	ζωντανά	leven	ζωντανός	N;NEUT;SG	ADV
leven	live	leven	live	N;NEUT;SG	
leven	ζήσω	leven	ζώ	N;NEUT;SG	V;PFV;IND;SG;1;FIN;ACT
oktober	οκτώβριος	oktober	οκτώβριος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
oktober	οκτώβριο	oktober	οκτώβριο	PROPN;MASC+FEM;SG	N
oktober	οκτωβρίου	oktober	οκτώβριος	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
binnen	μέσα	binnen	μέσα	ADP	ADV
binnen	μεσα	binnen	μεσα	ADP	ADV
binnen	εντός	binnen	εντός	ADP	ADV
augustus	αύγουστος	augustus	αύγουστος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
augustus	αύγουστο	augustus	αύγουστος	PROPN;MASC+FEM;SG	N
augustus	αυγούστου	augustus	αυγούστος	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
maart	μαρτίου	maart	μάρτιος	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
maart	μάρτιος	maart	μάρτιος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
maart	μάρτιο	maart	μάρτιο	PROPN;MASC+FEM;SG	N
zal	γουίλ	zullen	γουίλ	V;SG;PRS;FIN	
zal	will	zullen	will	V;SG;PRS;FIN	
zal	θα	zullen	θα	V;SG;PRS;FIN	PART
meter	μετρητές	meter	μετρητός	N;MASC+FEM;SG	N;NOM;MASC;PL
vier	four	vier	four	NUM	
vier	τεσσερα	vier	τέσσερις	NUM	N;NOM;NEUT;PL
december	δεκέμβριο	december	δεκέμβριος	PROPN;MASC+FEM;SG	N
december	δεκέμβριος	december	δεκέμβριος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
december	δεκεμβρίου	december	δεκέμβριο	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
amsterdam	άμστερνταμ	amsterdam	άμστερνταμ	PROPN;NEUT;SG	
amsterdam	αμστερνταμ	amsterdam	αμστέρνταμαι	PROPN;NEUT;SG	N
amsterdam	amsterdam	amsterdam	amsterdam	PROPN;NEUT;SG	
top	κορυφαία	top	κορυφαία	N;MASC+FEM;SG	ADV
top	top	top	top	N;MASC+FEM;SG	
november	νοεμβρίου	november	νόεμβριος	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
november	νοέμβριο	november	νοέμβριος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
november	νοέμβριος	november	νοέμβριος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
oude	παλαιά	oud	παλιός	ADJ	ADV
oude	παλιά	oud	παλιός	ADJ	ADV
oude	γέρος	oud	γέρος	ADJ	N;NOM;MASC;SG
den	ντεν	den	ντεν	DET;DEF	
den	den	den	den	DET;DEF	
ronde	στρογγυλά	ronde	στρογγυλά	N;MASC+FEM;SG	N;NOM;NEUT;PL
ronde	στρογγυλή	ronde	στρογγυλή	N;MASC+FEM;SG	ADJ;NOM;FEM;SG
kon	κον	kunnen	κον	V;SG;PST;FIN	
gemaakt	φτιαγμένα	maken	φτιαγμένα	V;V.PTCP	ADJ;NOM;NEUT;PL
groep	group	groep	group	N;MASC+FEM;SG	
won	γουόν	winnen	γουόν	V;SG;PST;FIN	
goals	γκολ	goal	γκολ	N;PL	
werken	έργο	werken	έργο	V;NFIN	N;NOM;NEUT;SG
werken	δουλειά	werken	δουλειά	V;NFIN	N;NOM;FEM;SG
werken	εργασίες	werken	εργασία	V;NFIN	N;NOM;FEM;PL
werken	εργασία	werken	εργασία	V;NFIN	N;NOM;FEM;SG
werken	δουλεια	werken	δουλεια	V;NFIN	N;ACC;FEM;SG
werken	έργα	werken	έργο	V;NFIN	N;NOM;NEUT;PL
derde	τρίτον	drie	τρίτος	ADJ	NUM;NOM;NEUT;SG
derde	τρίτο	drie	τρίτος	ADJ	NUM;NOM;NEUT;SG
derde	τρίτη	drie	τρίτος	ADJ	NUM;NOM;FEM;SG
derde	τρίτος	drie	τρίτος	ADJ	NUM;NOM;MASC;SG
net	καθαρή	net	καθερός	ADV	ADJ;NOM;FEM;SG
net	δίχτυ	net	δίχτυ	ADV	N;NOM;NEUT;SG
net	net	net	net	ADV	
net	καθαρό	net	καθερός	ADV	ADJ;NOM;NEUT;SG
ter	ter	te	ter	ADP	
iets	κατι	iets	κατι	PRO;3	ADV
februari	φεβρουάριος	februari	φεβρουάριος	PROPN;MASC+FEM;SG	N;NOM;MASC;SG
februari	φεβρουάριο	februari	φεβρουάριο	PROPN;MASC+FEM;SG	N
februari	φεβρουαρίου	februari	φεβρουάριο	PROPN;MASC+FEM;SG	N;GEN;MASC;SG
zuid	zuid	zuid	zuid	ADJ	
zuid	νοτια	zuid	νοτίος	ADJ	N;NOM;FEM;SG
zuid	νότια	zuid	νότιος	ADJ	ADV
zuid	νότος	zuid	νότος	ADJ	N;NOM;MASC;SG
kleine	μικρά	klein	μικρός	ADJ	ADV
kleine	little	klein	little	ADJ	
zien	βλέπε	zien	βλέπω	V;NFIN	
zien	δειτε	zien	δειτε	V;NFIN	
mogelijk	πιθανόν	mogelijk	πιθανώς	ADJ	ADV
mogelijk	πιθανώς	mogelijk	πιθανώς	ADJ	ADV
mogelijk	ενδεχομένως	mogelijk	ενδεχομένως	ADJ	ADV
moeten	πρέπει	moeten	πρέπει	V;PL;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
nam	ναμ	nemen	ναμ	V;SG;PST;FIN	
lijkt	φαίνεται	lijken	φαίνομαι	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
lijkt	φαινεται	lijken	φαίνομαι	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
lijkt	φαίνεται	lijken	φαίνομαι	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;PASS
verenigde	united	verenigen	united	V;V.PTCP	
zoon	γιε	zoon	για	N;MASC+FEM;SG	
man	φίλε	man	φίλομαι	N;MASC+FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
man	φιλε	man	φίλομαι	N;MASC+FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
water	ύδωρ	water	ύδωρ	N;NEUT;SG	PROPN;NOM;MASC;SG
begin	ξεκινήστε	begin	ξεκινώ	N;NEUT;SG	V;PFV;IND;PL;2;FIN;ACT
begin	ξεκίνα	begin	ξεκίνα	N;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
begin	αρχίστε	begin	αρχίζω	N;NEUT;SG	V;PFV;IMP;PL;2;FIN;ACT
begin	ξεκινήστε	begin	ξεκινώ	N;NEUT;SG	V;PFV;IND;PL;2;FIN;ACT
koning	κινγκ	koning	κινγκ	N;MASC+FEM;SG	
koning	king	koning	king	N;MASC+FEM;SG	
spelen	παιχνίδι	spelen	παιχνίδι	V;NFIN	N;NOM;NEUT;SG
spelen	play	spelen	play	V;NFIN	
spelen	παίξιμο	spelen	παίξιμο	V;NFIN	N;NOM;NEUT;SG
officiële	αξιωματούχος	officeel	αξιωματούχος	ADJ	N;NOM;MASC;SG
titel	τίτλος	titel	τίτλος	N;MASC+FEM;SG	NUM;NOM;MASC;SG
belgië	βέλγιο	belgiën	βέλγιο	PROPN;NEUT;SG	PROPN;NOM;NEUT;SG
feb	φεβ	feb	φεβ	N;MASC+FEM;SG	
mrt	mrt	mrt	mrt	N;MASC+FEM;SG	
nieuw	νεα	nieuw	νέος	ADJ	N;NOM;FEM;SG
nummer	σονγκ	nummer	σονγκ	N;MASC+FEM;SG	
lang	λανγκ	lang	λανγκ	ADJ	
lang	μακρύ	lang	μακρύς	ADJ	N;NOM;NEUT;SG
lang	λονγκ	lang	λονγκ	ADJ	
lang	long	lang	long	ADJ	
beste	καλύτερα	goed	καλά	ADJ;RL	ADV;CMPR
beste	καλύτερο	goed	καλά	ADJ;RL	ADJ;NOM;CMPR;NEUT;SG
beste	best	goed	best	ADJ;RL	
apr	απρ	apr	απρ	N;MASC+FEM;SG	
vinden	εύρεση	vinden	εύρεση	V;NFIN	N;ACC;FEM;SG
vinden	εύρημα	vinden	εύρημα	V;NFIN	N;NOM;NEUT;SG
vinden	εξεύρεση	vinden	εξεύρεση	V;NFIN	N;ACC;FEM;SG
pagina	page	pagina	page	N;MASC+FEM;SG	
noord	βόρεια	noord	βόρεια	N;NEUT;SG	ADV
noord	noord	noord	noord	N;NEUT;SG	
john	τζων	john	τζων	N;MASC+FEM;SG	
john	τζον	john	τζο	N;MASC+FEM;SG	
john	john	john	john	N;MASC+FEM;SG	
john	ιωάννης	john	ιωάννης	N;MASC+FEM;SG	PROPN;NOM;MASC;SG
frankrijk	γαλλία	frankrijk	γαλλία	PROPN;NEUT;SG	PROPN;ACC;FEM;SG
west	δυτικά	west	δυτικά	N;MASC+FEM;SG	ADV
west	δυτική	west	δυτικός	N;MASC+FEM;SG	ADJ;NOM;FEM;SG
west	γουέστ	west	γουέστ	N;MASC+FEM;SG	
soorten	είδος	soort	είδος	N;PL	N;NOM;NEUT;SG
dec	δεκ	dec	δεκ	N;MASC+FEM;SG	
boven	απάνω	boven	απάνω	ADP	ADV
boven	πάνω	boven	πάνω	ADP	ADV
boven	επάνω	boven	επάνω	ADP	ADV
boven	ανωτέρω	boven	ανωτέρω	ADP	ADV
boven	παραπάνω	boven	παραπάνω	ADP	ADV
jun	τζουν	jun	τζω	N;MASC+FEM;SG	
huidige	νυν	huidig	νυν	ADJ	N
huidige	ρεύμα	huidig	ρεύμα	ADJ	N;NOM;NEUT;SG
actief	ενεργά	actief	ενεργά	ADJ	ADV
actief	ενεργό	actief	ενεργός	ADJ	N;NOM;NEUT;SG
actief	ενεργά	actief	ενεργά	ADJ	ADV
wanneer	όταν	wanneer	όταν	ADV	CONJ
wanneer	οταν	wanneer	οταν	ADV	CONJ
toont	επιδείξεις	tonen	επίδειξη	V;SG;PRS;FIN	N;NOM;FEM;PL
toont	παραστάσεις	tonen	παράσταση	V;SG;PRS;FIN	N;NOM;FEM;PL
ben	μπεν	zijn	μπεν	V;SG;PRS;FIN	
ben	ben	zijn	ben	V;SG;PRS;FIN	
ben	μπέν	zijn	μπέν	V;SG;PRS;FIN	
hoe	πως	hoe	πως	ADV	CONJ
klasse	αριστοκρατικό	klasse	αριστοκρατικός	N;MASC+FEM;SG	ADJ;NOM;NEUT;SG
uiteindelijk	τελικά	uiteindelijk	τελικά	ADJ	ADV
uiteindelijk	τελικά	uiteindelijk	τελικά	ADJ	ADV
uiteindelijk	τέλος	uiteindelijk	τέλος	ADJ	ADV
uiteindelijk	επιτέλους	uiteindelijk	επιτέλους	ADJ	ADV
artikelen	αρθρα	artikel	άρθρο	N;PL	
universiteit	univers	universiteit	univers	N;MASC+FEM;SG	
universiteit	college	universiteit	college	N;MASC+FEM;SG	
vader	μπαμπά	vader	μπαμπά	N;MASC+FEM;SG	
belgische	βέλγος	belgisch	βέλγος	ADJ	N;NOM;MASC;SG
belgische	βελγικά	belgisch	βελγικός	ADJ	ADV
