של	shel	של	shel	PART;GEN	PROPN
הייתה	était	היה	être	V;FEM;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
אשר	asher	אשר	asher	CONJ	PROPN
אשר	escher	אשר	escher	CONJ	PROPN
אשר	usher	אשר	usher	CONJ	PROPN
אשר	lesquels	אשר	lequel	CONJ	PRO;MASC;PL
אשר	laquelle	אשר	lequel	CONJ	PRO;FEM;SG
אשר	lequel	אשר	lequel	CONJ	PRO;MASC;SG
אשר	confirmez	אשר	confirmer	CONJ	V;IMP;PL;2;PRS;FIN
אשר	confirmation	אשר	confirmation	CONJ	N;FEM;SG
אשר	confirmer	אשר	confirmer	CONJ	V;NFIN
כמו	aime	כמו	aimer	ADP	V;IND;SG;3;PRS;FIN
כמו	aiment	כמו	aimer	ADP	V;IND;PL;3;PRS;FIN
כמו	genre	כמו	genre	ADP	N;MASC;SG
כמו	aimez	כמו	aimer	ADP	V;IMP;PL;2;PRS;FIN
אחד	un	אחד	un	NUM;MASC;SG	PRO;MASC;SG
אחד	une	אחד	un	NUM;MASC;SG	DET;INDF;FEM;SG
אחד	one	אחד	one	NUM;MASC;SG	PROPN
שמאל	gauche	שמאל	gauche	N;MASC;SG	ADJ;MASC;SG
חיצוניים	externe	חיצוני	externe	ADJ;MASC;PL	ADJ;MASC;SG
חיצוניים	extérieur	חיצוני	extérieur	ADJ;MASC;PL	N;MASC;SG
חיצוניים	extérieure	חיצוני	extérieur	ADJ;MASC;PL	ADJ;FEM;SG
הברית	alliance	הברית	alliance	PROPN	N;FEM;SG
הברית	alliances	הברית	alliance	PROPN	N;FEM;PL
בו	lui	ב	lui	ADP	PRO;SG;3
בו	boo	ב	boo	ADP	
היו	étaient	היה	être	V;PL;3;POS;PST	V;IND;PL;3;IPFV;FIN
רק	seul	רק	seul	ADV	ADJ;MASC;SG
רק	seule	רק	seul	ADV	ADJ;FEM;SG
רק	just	רק	just	ADV	INTJ
בן	ben	בן	ben	PROPN	N;MASC;SG
בן	fils	בן	fils	PROPN	N;MASC;SG
בן	fiston	בן	fiston	PROPN	N;MASC;SG
שלו	sa	של	son		DET;FEM;SG
שלו	his	של	his		PROPN
שלו	ses	של	son		DET;MASC;PL
שלו	son	של	son		DET;MASC;SG
שלו	sa	של	son		DET;FEM;SG
שלו	ses	של	son		DET;MASC;PL
שלו	son	של	son		DET;MASC;SG
שני	second	שני	second	NUM;MASC;PL	ADJ;MASC;SG
שני	deuxième	שני	deuxième	NUM;MASC;PL	ADJ;MASC;SG
שני	deuxieme	שני	deuxieme	NUM;MASC;PL	ADJ;MASC;SG
שני	seconde	שני	second	NUM;MASC;PL	ADJ;FEM;SG
שני	shani	שני	shani	NUM;MASC;PL	PROPN
שני	two	שני	two	NUM;MASC;PL	PROPN
שני	lundi	שני	lundi	NUM;MASC;PL	N;MASC;SG
לו	lew	ל	lew		PROPN
לו	lou	ל	lou		
מה	quoi	מה	quoi	ADV	PRO
מה	quel	מה	quel	ADV	DET;MASC;SG
מה	quelle	מה	quel	ADV	DET;FEM;SG
העולם	monde	העולם	monde		N;MASC;SG
העולם	mondial	העולם	mondial		ADJ;MASC;SG
העולם	mondiale	העולם	mondial		ADJ;FEM;SG
העיר	ville	העיר	ville	V;MASC;SG;3;PST;ACT	N;FEM;SG
העיר	ville	העיר	ville	V;MASC;SG;3;PST;ACT	N;FEM;SG
העיר	villes	העיר	ville	V;MASC;SG;3;PST;ACT	N;FEM;PL
במהלך	durant	במהלך	durant	ADV	ADP
במהלך	pendant	במהלך	pendant	ADV	ADP
כן	oui	כן	oui	ADV	
כן	yes	כן	ye	ADV	
כן	ouais	כן	ouair	ADV	INTJ
כן	oui	כן	oui	ADV	
כן	yeah	כן	yeah	ADV	
כן	ouai	כן	ouai	ADV	
אף	nez	אף	nez	CONJ	N;MASC;SG
אף	fep	אף	fep	CONJ	N;MASC;SG
רבים	nombreux	רב	nombreux	V;MASC;PL;V.PTCP;ACT	ADJ;MASC;PL
רבים	beaucoup	רב	beaucoup	V;MASC;PL;V.PTCP;ACT	ADV
רבים	nombreuses	רב	nombreux	V;MASC;PL;V.PTCP;ACT	ADJ;FEM;PL
רבים	plusieurs	רב	plusieurs	V;MASC;PL;V.PTCP;ACT	PRO;PL
רבים	pluriel	רב	pluriel	V;MASC;PL;V.PTCP;ACT	N;MASC;SG
רבים	plurielle	רב	pluriel	V;MASC;PL;V.PTCP;ACT	ADJ;FEM;SG
בה	her	ב	her		PRO;SG;3
אין	aucun	None	aucun	ADV;NEG	PRO;MASC;SG
אין	néant	None	néant	ADV;NEG	N;MASC;SG
אין	aucune	None	aucun	ADV;NEG	DET;FEM;SG;NEG
אביב	aviv	אביב	aviv	N;MASC;SG	PROPN
אביב	spring	אביב	spring	N;MASC;SG	PROPN
במאי	may	במאי	may	N;MASC;SG	PROPN
במאי	peut	במאי	pouvoir	N;MASC;SG	V;IND;SG;3;PRS;FIN
שנה	années	שנה	année	N;FEM;SG	N;FEM;PL
שנה	ans	שנה	an	N;FEM;SG	N;MASC;PL
נולד	naissance	נולד	naissance	V;MASC;SG;3;PST;MID	N;FEM;SG
נולד	born	נולד	born	V;MASC;SG;3;PST;MID	PROPN
חלק	lisser	חלק	lisser	N;MASC;SG	V;NFIN
חלק	lisses	חלק	lisse	N;MASC;SG	ADJ;MASC;PL
חלק	lisse	חלק	lisse	N;MASC;SG	ADJ;FEM;SG
לפני	auparavant	לפני	auparavant	ADP	ADV
אחת	un	אחת	un	NUM;FEM;SG	PRO;MASC;SG
אחת	une	אחת	un	NUM;FEM;SG	DET;INDF;FEM;SG
אחת	one	אחת	one	NUM;FEM;SG	PROPN
ביולי	juillet	ביולי	juillet	PROPN	N;MASC;SG
שוליים	frange	שול	frange	N;MASC;PL	N;FEM;SG
שוליים	fringe	שול	fringe	N;MASC;PL	N;MASC;SG
שוליים	marginale	שול	marginal	N;MASC;PL	ADJ;FEM;SG
שוליים	marge	שול	marge	N;MASC;PL	N;FEM;SG
להיות	être	היה	être	V;POS;NFIN	V;NFIN
באוקטובר	octobre	באוקטובר	octobre	PROPN	N;MASC;SG
באוקטובר	octobre	באוקטובר	octobre	PROPN	N;MASC;SG
באוקטובר	oct	באוקטובר	oct	PROPN	N;MASC;SG
בשם	nommée	בשם	nommer		V;FEM;SG;PST;V.PTCP
בשם	nommé	בשם	nommer		V;MASC;SG;PST;V.PTCP
בשם	nommés	בשם	nommer		V;MASC;PL;PST;V.PTCP
החל	commencé	None	commencer	ADP	V;MASC;SG;PST;V.PTCP
החל	démarrer	None	démarrer	ADP	V;NFIN
החל	démarrage	None	démarrage	ADP	N;MASC;SG
הרב	herb	הרב	herb		PROPN
הרב	herbes	הרב	herbe		N;FEM;PL
הרב	herbe	הרב	herbe		N;FEM;SG
ארצות	pays	ארץ	pays	N;FEM;PL	N;MASC;SG
מן	manne	מן	manne	ADP	N;FEM;SG
בינואר	janvier	בינואר	janvier		N;MASC;SG
במרץ	marche	במרץ	marche	PROPN	N;FEM;SG
במרץ	mars	במרץ	mars	PROPN	N;MASC;SG
ראש	head	ראש	head	N;MASC;SG	PROPN
ראש	têtes	ראש	tête	N;MASC;SG	N;FEM;PL
חיים	vie	חיים	vie	PROPN	N;FEM;SG
חיים	chaim	חיים	chaim	PROPN	PROPN
חיים	haim	חיים	haim	PROPN	PROPN
המאה	siecle	המאה	siecle		N;MASC;SG
המאה	siècle	המאה	siècle		N;MASC;SG
המאה	century	המאה	century		N;MASC;SG
בנובמבר	novembre	בנובמבר	novembre	ADV	N;MASC;SG
בדצמבר	décembre	בדצמבר	décembre	PROPN	N;MASC;SG
בדצמבר	decembre	בדצמבר	decembre	PROPN	N;MASC;SG
לי	lee	ל	lee		PROPN
תל	tel	תל	tel	N;MASC;SG	ADJ;MASC;SG
בבית	maison	בבית	maison		N;FEM;SG
בבית	domicile	בבית	domicile		N;MASC;SG
בבית	accueil	בבית	accueil		N;MASC;SG
בפברואר	fevrier	בפברואר	fevrier	ADV	N;MASC;SG
בפברואר	février	בפברואר	février	ADV	N;MASC;SG
אחר	autre	אחר	autre	ADP	PRO;SG
אחר	autres	אחר	autre	ADP	PRO;PL
בני	benny	בני	benny	PROPN	PROPN
בני	fils	בני	fils	PROPN	N;MASC;SG
בני	fiston	בני	fiston	PROPN	N;MASC;SG
שונים	différente	שונה	différent	ADJ;MASC;PL	ADJ;FEM;SG
שונים	différent	שונה	différent	ADJ;MASC;PL	ADJ;MASC;SG
רב	rav	רב	rav		
אדם	adam	אדם	adam	N;MASC;SG	PROPN
אדם	humaine	אדם	humain	N;MASC;SG	ADJ;FEM;SG
אדם	humains	אדם	humain	N;MASC;SG	ADJ;MASC;PL
אדם	humain	אדם	humain	N;MASC;SG	ADJ;MASC;SG
כלל	règle	כלל	règle	ADV	N;FEM;SG
דבר	parler	דבר	parler	N;MASC;SG	V;NFIN
דבר	parle	דבר	parler	N;MASC;SG	V;IND;SG;3;PRS;FIN
דבר	talk	דבר	talk	N;MASC;SG	PROPN
דבר	parlez	דבר	parler	N;MASC;SG	V;IMP;PL;2;PRS;FIN
דבר	parlez	דבר	parler	N;MASC;SG	V;IMP;PL;2;PRS;FIN
דבר	parler	דבר	parler	N;MASC;SG	V;NFIN
דבר	parle	דבר	parler	N;MASC;SG	V;IND;SG;3;PRS;FIN
אחרים	autre	אחר	autre	ADJ;MASC;PL	PRO;SG
אחרים	autres	אחר	autre	ADJ;MASC;PL	PRO;PL
אחרים	autres	אחר	autre	ADJ;MASC;PL	PRO;PL
ספר	réserver	ספר	réserver	N;MASC;SG	V;NFIN
ספר	barber	ספר	barber	N;MASC;SG	PROPN
נגד	against	נגד	against	ADP	PROPN
לה	her	ל	her		PRO;SG;3
זכה	gagnées	זכה	gagnée	V;MASC;SG;3;PST;ACT	V;FEM;PL;PST;V.PTCP
זכה	won	זכה	won	V;MASC;SG;3;PST;ACT	
זכה	gagnés	זכה	gagner	V;MASC;SG;3;PST;ACT	V;MASC;PL;PST;V.PTCP
אחרי	apres	אחרי	après	ADP	
אחרי	after	אחרי	after	ADP	PROPN
אחרי	aprés	אחרי	apré	ADP	
אולם	toutefois	אולם	toutefois	CONJ	ADV
אולם	cependant	אולם	cependant	CONJ	ADV
יום	hume	יום	hume	N;MASC;SG	PROPN
אלה	ella	אלה	ella	PRO;MASC;PL;3	PROPN
אלה	déesses	אלה	déesse	PRO;MASC;PL;3	N;FEM;PL
אלה	déesse	אלה	déesse	PRO;MASC;PL;3	N;FEM;SG
כבר	déja	כבר	déja	ADV	
כבר	deja	כבר	deja	ADV	INTJ
כבר	dejà	כבר	dejà	ADV	
ירושלים	jerusalem	ירושלים	jerusalem	PROPN	PROPN
ירושלים	jérusalem	ירושלים	jérusalem	PROPN	ADJ;MASC;SG
המדינה	etat	המדין	etat	V;FEM;SG;3;PST;ACT	N;MASC;SG
המדינה	état	המדין	état	V;FEM;SG;3;PST;ACT	N;MASC;SG
מאוד	tres	מאוד	tre	ADV	ADJ;MASC;SG
יהודים	juives	יהודי	juif	N;MASC;PL	ADJ;FEM;PL
יהודים	juif	יהודי	juif	N;MASC;PL	ADJ;MASC;SG
יהודים	juive	יהודי	juif	N;MASC;PL	ADJ;FEM;SG
רבות	nombreux	רב	nombreux	N;FEM;PL	ADJ;MASC;PL
רבות	beaucoup	רב	beaucoup	N;FEM;PL	ADV
רבות	nombreuses	רב	nombreux	N;FEM;PL	ADJ;FEM;PL
רבות	plusieurs	רב	plusieurs	N;FEM;PL	PRO;PL
כמה	certains	כמה	certain	DET;PSSD	PRO;MASC;PL
כמה	certaines	כמה	certain	DET;PSSD	PRO;FEM;PL
כמה	quelques	כמה	quelque	DET;PSSD	PRO;PL
מטר	pieds	מטר	pied	PROPN	N;MASC;PL
מטר	mètre	מטר	mètre	PROPN	N;MASC;SG
מטר	compteurs	מטר	compteur	PROPN	N;MASC;PL
מטר	mètres	מטר	mètre	PROPN	N;MASC;PL
מטר	compteur	מטר	compteur	PROPN	N;MASC;SG
מטר	mètre	מטר	mètre	PROPN	N;MASC;SG
מטר	mètres	מטר	mètre	PROPN	N;MASC;PL
דרך	via	דרך	via		ADP
דרך	via	דרך	via		ADP
דרך	façon	דרך	façon		N;FEM;SG
דרך	manière	דרך	manière		N;FEM;SG
דרך	way	דרך	way		V
יכול	pourrais	None	pouvoir	V;MASC;SG;V.PTCP	V;COND;SG;1;PRS;FIN
יכול	pouvait	None	pouvoir	V;MASC;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
יכול	pourrait	None	pouvoir	V;MASC;SG;V.PTCP	V;COND;SG;3;PRS;FIN
יכול	pourraient	None	pouvoir	V;MASC;SG;V.PTCP	V;COND;PL;3;PRS;FIN
יכול	peuvent	None	pouvoir	V;MASC;SG;V.PTCP	V;IND;PL;3;PRS;FIN
יכול	pouvez	None	pouvoir	V;MASC;SG;V.PTCP	V;IMP;PL;2;PRS;FIN
יכול	peux	None	pouvoir	V;MASC;SG;V.PTCP	V;IND;SG;1;PRS;FIN
יכול	peut	None	pouvoir	V;MASC;SG;V.PTCP	V;IND;SG;3;PRS;FIN
בעלי	époux	בעל	époux	N;PSSD;MASC;PL	N;MASC;SG
בעלי	mari	בעל	mari	N;PSSD;MASC;PL	N;MASC;SG
יחד	together	יחד	together	ADV	PROPN
בשל	mûres	בשל	mûre	ADP	ADJ;FEM;PL
בשל	mûre	בשל	mûre	ADP	ADJ;FEM;SG
בשל	mûr	בשל	mûr	ADP	ADJ;MASC;SG
בשל	mûrs	בשל	mûr	ADP	ADJ;MASC;PL
בשל	dus	בשל	devoir	ADP	V;MASC;PL;PST;V.PTCP
בשל	due	בשל	devoir	ADP	V;FEM;SG;PST;V.PTCP
בשל	dû	בשל	devoir	ADP	V;MASC;SG;PST;V.PTCP
פרס	récompenser	פרס	récompenser	PROPN	V;NFIN
פרס	récompense	פרס	récompense	PROPN	N;FEM;SG
פרס	récompense	פרס	récompense	PROPN	N;FEM;SG
ראו	rao	ראה	rao	V;PL;3;PST;ACT	PROPN
דוד	dodd	דוד	dodd	PROPN	PROPN
דוד	tonton	דוד	tonton	PROPN	PROPN
דוד	oncle	דוד	oncle	PROPN	N;MASC;SG
דוד	alain	דוד	alain	PROPN	PROPN
דוד	laurent	דוד	laurer	PROPN	PROPN
דוד	sylvie	דוד	sylvie	PROPN	PROPN
דוד	david	דוד	david	PROPN	PROPN
בעל	baal	בעל	baal	N;MASC;SG	PROPN
שלה	her	של	her		PRO;SG;3
תחת	ass	תחת	ass	ADP	N;MASC;SG
תחת	cul	תחת	cul	ADP	N;MASC;SG
תחת	fesses	תחת	fesse	ADP	N;FEM;PL
תחת	fesse	תחת	fesse	ADP	N;MASC;SG
תחת	cul	תחת	cul	ADP	N;MASC;SG
תחת	fesses	תחת	fesse	ADP	N;FEM;PL
תחת	under	תחת	under	ADP	PROPN
כתב	reporter	כתב	reporter	N;MASC;SG	V;NFIN
כתב	écrivit	כתב	écrire	N;MASC;SG	V;IND;SG;3;PST;FIN
כתב	écrit	כתב	écrire	N;MASC;SG	V;MASC;SG;PST;V.PTCP
הקבוצה	groupe	הקבוצה	groupe	PROPN	N;MASC;SG
הערך	valeur	הערך	valeur		N;FEM;SG
היום	hui	היום	hui	ADV	
היום	aujourdhui	היום	aujourdhui	ADV	PROPN
רבי	rabbi	רבי	rabbi	PROPN	PROPN
רבי	rabbin	רבי	rabbin	PROPN	N;MASC;SG
רבי	rabin	רבי	rabin	PROPN	PROPN
מי	qui	מי	qui	ADV	PRO
מי	oms	מי	om	ADV	N;MASC;SG
מי	who	מי	who	ADV	PROPN
למרות	quoique	למרות	quoique	ADP	ADV
אחרות	autres	אחר	autre	ADJ;FEM;PL	PRO;PL
החברה	entreprise	החברה	entreprendre	N;FEM;SG	V;FEM;SG;PST;V.PTCP
המלחמה	guerre	המלחם	guerre	PROPN	N;FEM;SG
המלחמה	war	המלחם	war	PROPN	N;SG
שונות	différente	שונה	différent	ADJ;FEM;PL	ADJ;FEM;SG
שונות	différent	שונה	différent	ADJ;FEM;PL	ADJ;MASC;SG
הארץ	earth	הארץ	earth		N;MASC;SG
הארץ	terre	הארץ	terre		N;FEM;SG
תאריך	date	תאריך	date	PROPN	N;FEM;SG
בלבד	seul	בלבד	seul	ADV	ADJ;MASC;SG
בלבד	seule	בלבד	seul	ADV	ADJ;FEM;SG
עבר	passées	עבר	passer	N;MASC;SG	V;FEM;PL;PST;V.PTCP
עבר	passée	עבר	passer	N;MASC;SG	V;FEM;SG;PST;V.PTCP
עבר	passé	עבר	passer	N;MASC;SG	V;MASC;SG;PST;V.PTCP
עבר	passés	עבר	passer	N;MASC;SG	V;MASC;PL;PST;V.PTCP
עבר	déplacé	עבר	déplacer	N;MASC;SG	V;MASC;SG;PST;V.PTCP
עבר	ému	עבר	émouvoir	N;MASC;SG	V;MASC;SG;PST;V.PTCP
עבר	déménagé	עבר	déménager	N;MASC;SG	V;MASC;SG;PST;V.PTCP
עבר	déplacée	עבר	déplacer	N;MASC;SG	V;FEM;SG;PST;V.PTCP
אפשר	activer	אפשר	activer	V	V;NFIN
אפשר	permettent	אפשר	permettre	V	V;IND;PL;3;PRS;FIN
אפשר	autoriser	אפשר	autoriser	V	V;NFIN
אפשר	permettre	אפשר	permettre	V	V;NFIN
נוסף	ajoutés	None	ajouter	ADP	V;MASC;PL;PST;V.PTCP
נוסף	ajouté	None	ajouter	ADP	V;MASC;SG;PST;V.PTCP
נוסף	ajout	None	ajout	ADP	N;MASC;SG
נוסף	ajoutée	None	ajouter	ADP	V;FEM;SG;PST;V.PTCP
מרכז	central	מרכז	central	N;MASC;SG	ADJ;MASC;SG
מרכז	centrale	מרכז	central	N;MASC;SG	ADJ;FEM;SG
מרכז	centrer	מרכז	centrer	N;MASC;SG	V;NFIN
שימוש	utiliser	שימוש	utiliser	N;MASC;SG	V;NFIN
שימוש	utilisant	שימוש	utiliser	N;MASC;SG	V;PRS;V.PTCP
שימוש	utiliser	שימוש	utiliser	N;MASC;SG	V;NFIN
שימוש	utilise	שימוש	utiliser	N;MASC;SG	V;IND;SG;3;PRS;FIN
שימוש	utilisez	שימוש	utiliser	N;MASC;SG	V;IMP;PL;2;PRS;FIN
שיש	bille	שיש	bille		N;FEM;SG
שיש	marbres	שיש	marbre		N;MASC;PL
שיש	marbre	שיש	marbre		N;MASC;SG
רוב	most	רוב	most	N;MASC;SG	PROPN
רוב	rob	רוב	rob	N;MASC;SG	PROPN
רוב	cambrioler	רוב	cambrioler	N;MASC;SG	V;NFIN
רוב	braquer	רוב	braquer	N;MASC;SG	V;NFIN
רוב	majoritaire	רוב	majoritaire	N;MASC;SG	ADJ;MASC;SG
רוב	majoritaires	רוב	majoritaire	N;MASC;SG	ADJ;MASC;PL
כולל	inclusif	כלל	inclusif	V;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG
כולל	inclusive	כלל	inclusif	V;MASC;SG;V.PTCP;ACT	ADJ;FEM;SG
כולל	inclut	כלל	inclure	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
כולל	comprend	כלל	comprendre	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
כולל	incluses	כלל	inclure	V;MASC;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
גדול	grands	גדול	grand	ADJ;MASC;SG	ADJ;MASC;PL
גדול	grandes	גדול	grand	ADJ;MASC;SG	ADJ;FEM;PL
גדול	big	גדול	big	ADJ;MASC;SG	INTJ
גדול	super	גדול	super	ADJ;MASC;SG	ADV
ישראלים	israélien	ישראלי	israélien	N;MASC;PL	ADJ;MASC;SG
ישראלים	israélienne	ישראלי	israélien	N;MASC;PL	ADJ;FEM;SG
ישראלים	israéliens	ישראלי	israélien	N;MASC;PL	ADJ;MASC;PL
ישראלים	israéliennes	ישראלי	israélien	N;MASC;PL	ADJ;FEM;PL
ישראלים	israéliens	ישראלי	israélien	N;MASC;PL	ADJ;MASC;PL
ישראלים	israélien	ישראלי	israélien	N;MASC;PL	ADJ;MASC;SG
מאז	depuis	מאז	depuis	ADV	ADP
מאז	puisque	מאז	puisque	ADV	CONJ
יהודי	juives	יהודי	juif	N;MASC;SG	ADJ;FEM;PL
יהודי	juif	יהודי	juif	N;MASC;SG	ADJ;MASC;SG
יהודי	juifs	יהודי	juif	N;MASC;SG	N;MASC;PL
יהודי	juive	יהודי	juif	N;MASC;SG	ADJ;FEM;SG
יהודי	juif	יהודי	juif	N;MASC;SG	ADJ;MASC;SG
סוג	aimable	סוג	aimable	N;MASC;SG	ADJ;MASC;SG
סוג	taper	סוג	taper	N;MASC;SG	V;NFIN
סוג	tapez	סוג	tape	N;MASC;SG	V;IMP;PL;2;PRS;FIN
ראשון	sunday	ראשון	sunday	PROPN	PROPN
ראשון	dimanches	ראשון	dimanche	PROPN	N;MASC;PL
ראשון	dimanche	ראשון	dimanche	PROPN	N;MASC;SG
ראשון	rishon	ראשון	rishon	PROPN	PROPN
ראשון	première	ראשון	premier	PROPN	ADJ;FEM;SG
ראשון	premières	ראשון	premier	PROPN	ADJ;FEM;PL
ראשון	premier	ראשון	premier	PROPN	ADJ;MASC;SG
ראשון	premiers	ראשון	premier	PROPN	ADJ;MASC;PL
מידע	infos	מידע	info	N;MASC;SG	N;FEM;PL
מידע	informations	מידע	information	N;MASC;SG	N;FEM;PL
מידע	infos	מידע	info	N;MASC;SG	N;FEM;PL
מידע	renseignements	מידע	renseignement	N;MASC;SG	N;MASC;PL
מידע	données	מידע	donnée	N;MASC;SG	N;FEM;PL
ערכים	métriques	ערך	métrique	N;MASC;PL	ADJ;FEM;PL
ערכים	entrées	ערך	entrée	N;MASC;PL	V;FEM;PL;PST;V.PTCP
קובץ	dossier	קובץ	dossier	PROPN	N;MASC;SG
קובץ	fichier	קובץ	fichier	PROPN	N;MASC;SG
דקות	mn	דקה	mn	N;FEM;PL	
חבר	amis	חבר	ami	N;MASC;SG	N;MASC;PL
צריך	nécessité	צריך	nécessité	V;MASC;SG	N;FEM;SG
צריך	besoins	צריך	besoin	V;MASC;SG	N;MASC;PL
צריך	besoin	צריך	besoin	V;MASC;SG	N;MASC;SG
צריך	devrait	צריך	devoir	V;MASC;SG	V;COND;SG;3;PRS;FIN
צריך	devraient	צריך	devoir	V;MASC;SG	V;COND;PL;3;PRS;FIN
צריך	devrais	צריך	devoir	V;MASC;SG	V;COND;SG;1;PRS;FIN
ויקיפדיה	wikipédia	ויקיפדיה	wikipédia	PROPN	V;MASC;SG;PST;V.PTCP
ויקיפדיה	wikipedia	ויקיפדיה	wikipedia	PROPN	N;FEM;SG
בת	beth	בת	beth	N;FEM;SG	PROPN
השם	hashem	השם	hashem		PROPN
השם	nommer	השם	nommer		V;NFIN
השם	nom	השם	nom		N;MASC;SG
השם	dénomination	השם	dénomination		N;FEM;SG
השם	noms	השם	nom		N;MASC;PL
בתוך	interieur	בתוך	interieur	ADP	ADJ;MASC;SG
בתוך	inside	בתוך	inside	ADP	
בתוך	intérieur	בתוך	intérieur	ADP	N;MASC;SG
האדם	personne	האדם	personne		N;FEM;SG
כאן	voilà	כאן	voilà	ADV	V
כאן	voici	כאן	voici	ADV	V
מול	mol	מול	mol	ADP	
שלהם	leur	של	lui		PRO;PL;3
שלהם	leurs	של	son		DET;MASC;PL
וגם	également	וגם	également		ADV
וגם	aussi	וגם	aussi		ADV
וגם	egalement	וגם	egalement		ADV
הים	mer	הים	mer		N;FEM;SG
השיר	chant	השיר	chant	ADV	N;MASC;SG
השיר	chanson	השיר	chanson	ADV	N;FEM;SG
חדש	nouvelles	חדש	nouveau	ADJ;MASC;SG	ADJ;FEM;PL
חדש	nouveaux	חדש	nouveau	ADJ;MASC;SG	ADJ;MASC;PL
חדש	nouveautés	חדש	nouveauté	ADJ;MASC;SG	N;FEM;PL
השלישי	iii	השליש	iii	PROPN	NUM
השלישי	troisieme	השליש	troisieme	PROPN	ADJ;MASC;SG
השלישי	troisième	השליש	troisième	PROPN	ADJ;MASC;SG
השלישי	tiers	השליש	tiers	PROPN	N;MASC;SG
השלישי	third	השליש	third	PROPN	PROPN
השלישי	troisièmement	השליש	troisièmement	PROPN	ADV
משה	moïse	משה	moïse	PROPN	N;MASC;SG
משה	moses	משה	mose	PROPN	PROPN
משה	moshe	משה	moshe	PROPN	PROPN
גרמניה	allemand	גרמניה	allemand	PROPN	N;MASC;SG
גרמניה	allemands	גרמניה	allemand	PROPN	ADJ;MASC;PL
גרמניה	allemande	גרמניה	allemand	PROPN	ADJ;FEM;SG
גרמניה	allemagne	גרמניה	allemagne	PROPN	PROPN
יורק	york	יורק	york	PROPN	PROPN
הממשלה	gouvernement	הממשלה	gouvernement	PROPN	N;MASC;SG
הממשלה	gouvernements	הממשלה	gouvernement	PROPN	N;MASC;PL
חיל	corps	חיל	corps	PROPN	N;MASC;SG
יהודה	yehuda	יהודה	yehuda	PROPN	PROPN
יהודה	judas	יהודה	judas	PROPN	N;MASC;SG
יהודה	judah	יהודה	judah	PROPN	PROPN
יהודה	judée	יהודה	juder	PROPN	PROPN
ארץ	terres	ארץ	terre	N;FEM;SG	N;FEM;PL
צרפת	france	צרפת	france	PROPN	N;FEM;SG
הרבה	lots	הרבה	lot	ADV	N;MASC;PL
הרבה	nombreux	הרבה	nombreux	ADV	ADJ;MASC;PL
הרבה	nombreuses	הרבה	nombreux	ADV	ADJ;FEM;PL
הרבה	plusieurs	הרבה	plusieurs	ADV	PRO;PL
הרבה	much	הרבה	much	ADV	INTJ
