gerais	gerais	gerais	gerais	N;INDF;SG	PROPN;INDF;MASC;SG
tsjekkiske	чешки	tsjekkisk	чешка	ADJ;PL	ADJ;INDF;MASC;SG
tsjekkiske	чешката	tsjekkisk	чешки	ADJ;PL	ADJ;DEF;FEM;SG
tsjekkiske	чешка	tsjekkisk	чешка	ADJ;PL	ADJ;INDF;FEM;SG
prinsen	княз	prins	княз	N;DEF;MASC;SG	N;INDF;MASC;SG
prinsen	принц	prins	принц	N;DEF;MASC;SG	N;INDF;MASC;SG
prinsen	принс	prins	принс	N;DEF;MASC;SG	PROPN;INDF;MASC;SG
skulpturer	скулптури	skulpture	скулптура	N;INDF;MASC;SG	N;INDF;FEM;PL
skulpturer	скулптури	skulpture	скулптура	N;INDF;MASC;SG	N;INDF;FEM;PL
grey	сив	grey	сив	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
grey	сиво	grey	сиво	N;INDF;MASC;SG	ADV
grey	сива	grey	сив	N;INDF;MASC;SG	ADJ;INDF;FEM;SG
grey	сиви	grey	сив	N;INDF;MASC;SG	ADJ;INDF;PL
grey	грей	grey	грей	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
valencia	валенсия	valencium	валенсия	N;DEF;MASC;SG	PROPN;INDF;FEM;SG
egenskap	черта	egenskap	черта	N;INDF;MASC;SG	N;DEF;FEM;SG
pastor	пасторът	pastor	пастор	N;INDF;MASC;SG	N;DEF;MASC;SG
forandringer	промените	forandring	промяна	N;INDF;FEM;PL	N;DEF;FEM;PL
innsiden	вътрешно	innside	вътрешен	N;DEF;MASC;SG	ADV
innsiden	вътре	innside	вътре	N;DEF;MASC;SG	ADV
bryst	гърди	bryste	гръд	N;INDF;FEM;SG	N;INDF;FEM;PL
bryst	гърдите	bryste	гръд	N;INDF;FEM;SG	N;DEF;FEM;PL
bryst	гърди	bryste	гръд	N;INDF;FEM;SG	N;INDF;FEM;PL
bryst	гърдата	bryste	гърда	N;INDF;FEM;SG	N;DEF;FEM;SG
pike	пайк	pike	пайк	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
analyser	анализиране	analyse	анализиране	N;INDF;FEM;PL	N;INDF;NEUT;SG
analyser	анализиране	analyse	анализиране	N;INDF;FEM;PL	N;INDF;NEUT;SG
analyser	анализите	analyse	анализ	N;INDF;FEM;PL	N;DEF;MASC;PL
hersket	постанови	herske	постановя	N;DEF;NEUT;SG	V;PFV;IND;SG;3;PST;FIN;ACT
sørger	скърби	sørge	скърба	V;IND;PRS;FIN	N;INDF;MASC;PL
sørger	скърби	sørge	скърба	V;IND;PRS;FIN	N;INDF;MASC;PL
sørger	траур	sørge	траур	V;IND;PRS;FIN	N;INDF;MASC;SG
sådan	такава	sådan	такъв	N;INDF;MASC;SG	DET;FEM;SG
sådan	такива	sådan	такъв	N;INDF;MASC;SG	DET;PL
sådan	такова	sådan	такъв	N;INDF;MASC;SG	DET;NEUT;SG
sådan	такъв	sådan	такъв	N;INDF;MASC;SG	DET;MASC;SG
sektor	сектора	sektor	сектор	N;INDF;MASC;SG	N;DEF;MASC;SG
krysse	крос	krysse	крос	V;NFIN	PROPN;INDF;MASC;SG
krysse	кръст	krysse	кръст	V;NFIN	N;INDF;MASC;SG
krysse	кръста	krysse	кръст	V;NFIN	N;DEF;MASC;SG
ettertiden	потомците	ettertid	потомец	N;DEF;MASC;SG	N;DEF;MASC;PL
montana	монтана	montan	монтана	N;DEF;MASC;SG	PROPN;INDF;FEM;SG
serbiske	сръбска	serbisk	сръбски	ADJ;PL	ADJ;INDF;FEM;SG
serbiske	сръбско	serbisk	сръбски	ADJ;PL	ADV
serbiske	сърбин	serbisk	сърбин	ADJ;PL	N;INDF;MASC;SG
serbiske	сръбски	serbisk	сръбски	ADJ;PL	ADJ;INDF;MASC;SG
beleiret	обсаден	beleir	обсадя	N;DEF;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ghana	гана	ghan	гана	PROPN	N;INDF;FEM;SG
forhindret	предотврати	forhindr	предотвратя	N;DEF;NEUT;SG	V;PFV;IMP;SG;2;FIN
forhindret	възпрепятстван	forhindr	възпрепятствам	N;DEF;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
tallinn	талин	tallinn	талин	N;INDF;NEUT;SG	PROPN;INDF;MASC;SG
stafetten	реле	stafett	реле	N;DEF;MASC;SG	N;INDF;NEUT;SG
rapporter	отчети	rapport	отчета-(се)	N;INDF;NEUT;SG	N;INDF;MASC;PL
rapporter	доклади	rapport	доклад	N;INDF;NEUT;SG	N;INDF;MASC;PL
romantisk	романтични	romantisk	романтичен	ADJ;INDF;NEUT;SG	ADJ;INDF;PL
romantisk	романтично	romantisk	романтичен	ADJ;INDF;NEUT;SG	ADV
romantisk	романтик	romantisk	романтик	ADJ;INDF;NEUT;SG	N;INDF;MASC;SG
romantisk	романтика	romantisk	романтика	ADJ;INDF;NEUT;SG	N;INDF;FEM;SG
kosovo	косово	kosovo	косово	PROPN	PROPN;INDF;NEUT;SG
mind	ума	mind	ум	N;INDF;SG	N;DEF;MASC;SG
avansert	напреднал	avansere	напредна	ADJ;INDF;SG;V.PTCP	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
avansert	напреднала	avansere	напредна	ADJ;INDF;SG;V.PTCP	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
avansert	разширено	avansere	разширя-(се)	ADJ;INDF;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
avansert	напреднали	avansere	напредна	ADJ;INDF;SG;V.PTCP	V;PFV;INDF;PL;PST;V.PTCP;ACT
komponerte	композира	komponere	композирам	V;IND;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
biologi	биологията	biologi	биология	N;INDF;MASC;SG	N;DEF;FEM;SG
søstre	сестри	søstre	сестра	ADJ;PL	N;INDF;FEM;PL
bestemmelser	регламенти	bestemmelse	регламент	N;INDF;MASC;SG	N;INDF;MASC;PL
bestemmelser	разпоредби	bestemmelse	разпоредба	N;INDF;MASC;SG	N;INDF;FEM;PL
bestemmelser	наредби	bestemmelse	наредба	N;INDF;MASC;SG	N;INDF;FEM;PL
bestemmelser	разпоредби	bestemmelse	разпоредба	N;INDF;MASC;SG	N;INDF;FEM;PL
bestemmelser	провизии	bestemmelse	провизия	N;INDF;MASC;SG	N;INDF;FEM;PL
munnen	уста	munn	уста	N;DEF;MASC;SG	N;INDF;FEM;SG
verdensbasis	световно	verdensbasis	световен	N;INDF;MASC;SG	ADV
verdensbasis	световна	verdensbasis	световен	N;INDF;MASC;SG	ADJ;INDF;FEM;SG
rasende	яростни	rasende	яростен	N;INDF;MASC;SG	ADJ;INDF;PL
rasende	бясна	rasende	бесен	N;INDF;MASC;SG	ADJ;INDF;FEM;SG
rasende	яростен	rasende	яростен	N;INDF;MASC;SG	ADJ;INDF;MASC;SG
rasende	вбесен	rasende	вбесен	N;INDF;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
rasende	разярен	rasende	разяря-(се)	N;INDF;MASC;SG	ADJ;INDF;MASC;SG
ofre	жертвите	ofre	жертва	V;NFIN	N;DEF;FEM;PL
ofre	жертви	ofre	жертва	V;NFIN	N;INDF;FEM;PL
sitteplasser	сядане	sitteplasse	сядане	N;INDF;FEM;PL	N;INDF;NEUT;SG
kjøper	купувач	kjøpe	купувач	V;IND;PRS;FIN	N;INDF;MASC;SG
kjøper	купувача	kjøpe	купувач	V;IND;PRS;FIN	N;DEF;MASC;SG
kjøper	купуване	kjøpe	купуване	V;IND;PRS;FIN	N;INDF;NEUT;SG
uka	седмицата	uka	седмица	N;INDF;MASC;SG	N;DEF;FEM;SG
offer	жертвите	offer	жертва	N;INDF;NEUT;PL	N;DEF;FEM;PL
offer	жертва	offer	жертва	N;INDF;NEUT;PL	N;INDF;FEM;SG
offer	жертвата	offer	жертва	N;INDF;NEUT;PL	N;DEF;FEM;SG
fana	фана	fane	фана	N;DEF;FEM;SG	N;INDF;MASC;SG
plyndret	плячкосани	plyndre	плячкоса	N;DEF;NEUT;SG	N;INDF;MASC;PL
hanna	хана	hanne	хана	N;DEF;FEM;SG	N;INDF;FEM;SG
testet	изпитва	test	изпитвам	N;DEF;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
testet	тествани	test	тествам	N;DEF;NEUT;SG	V;IPFV;INDF;PL;V.PTCP;PASS
testet	изпитани	test	изпитам	N;DEF;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
inkludere	включване	inkludere	включване	V;NFIN	N;INDF;NEUT;SG
besøke	визита	besøke	визита	V;NFIN	N;INDF;FEM;SG
besøke	посещение	besøke	посещение	V;NFIN	N;INDF;NEUT;SG
væske	течни	væske	течен	N;INDF;FEM;SG	ADJ;INDF;PL
væske	течна	væske	течен	N;INDF;FEM;SG	ADJ;INDF;FEM;SG
væske	течно	væske	течно	N;INDF;FEM;SG	ADV
graf	графика	graf	график	N;INDF;NEUT;SG	N;DEF;MASC;SG
graf	графиката	graf	графика	N;INDF;NEUT;SG	N;DEF;FEM;SG
materiell	материал	materiell	материал	ADJ;INDF;SG	N;INDF;MASC;SG
materiell	материали	materiell	материал	ADJ;INDF;SG	N;INDF;MASC;PL
materiell	материално	materiell	материален	ADJ;INDF;SG	ADV
materiell	материалите	materiell	материал	ADJ;INDF;SG	N;DEF;MASC;PL
materiell	материали	materiell	материал	ADJ;INDF;SG	N;INDF;MASC;PL
falske	невярно	falsk	неверен	ADJ;PL	ADV
falske	фалшиво	falsk	фалшиво	ADJ;PL	ADV
falske	фалшива	falsk	фалшив	ADJ;PL	ADJ;INDF;FEM;SG
stora	стура	stor	стур	N;DEF;FEM;SG	N;INDF;FEM;SG
sichuan	съчуан	sichuan	съчуан	PROPN	N;INDF;MASC;SG
ulrich	улрих	ulrich	улра	N	PROPN;INDF;MASC;SG
macao	макао	macao	макао	N;INDF;NEUT;SG	PROPN;INDF;MASC;SG
macao	макао	macao	макао	N;INDF;NEUT;SG	PROPN;INDF;MASC;SG
spesialisert	специализирана	spesialisere	специализирам	ADJ;INDF;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
spesialisert	специализиран	spesialisere	специализирам	ADJ;INDF;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
spesialisert	специализирани	spesialisere	специализирам	ADJ;INDF;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
skatter	съкровище	skatter	съкровище	N;INDF;FEM;PL	N;INDF;NEUT;SG
skatter	съкровищата	skatter	съкровище	N;INDF;FEM;PL	N;DEF;NEUT;PL
skatter	данъците	skatter	данък	N;INDF;FEM;PL	N;DEF;MASC;PL
plasseringen	разполагане	plassering	разполагане	N;DEF;MASC;SG	N;INDF;NEUT;SG
plasseringen	поставяне	plassering	поставяне	N;DEF;MASC;SG	N;INDF;NEUT;SG
plasseringen	позициониране	plassering	позициониране	N;DEF;MASC;SG	N;INDF;NEUT;SG
skillet	разграничение	skill	разграничение	N;DEF;NEUT;SG	N;INDF;NEUT;SG
skillet	разграничаване	skill	разграничаване	N;DEF;NEUT;SG	N;INDF;NEUT;SG
harvey	харви	harvey	харвя	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
stipend	стипендии	stipend	стипендия	N;INDF;NEUT;SG	N;INDF;FEM;PL
stipend	стипендията	stipend	стипендия	N;INDF;NEUT;SG	N;DEF;FEM;SG
moses	моисей	moses	моисей	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
kairo	кайро	kairo	кайро	N;INDF;NEUT;SG	PROPN;INDF;MASC;SG
begrensninger	ограниченията	begrensning	ограничение	N;INDF;FEM;PL	N;DEF;NEUT;PL
begrensninger	предел	begrensning	предел	N;INDF;FEM;PL	N;INDF;MASC;SG
bakterier	бактерия	bakterium	бактерия	N;INDF;MASC;PL	N;INDF;FEM;SG
hand	ръката	hand	ръка	N;INDF;FEM;SG	N;DEF;FEM;SG
logo	логото	logo	лого	N;INDF;MASC;SG	N;DEF;NEUT;SG
miami	маями	miami	маям-(се)	N	PROPN;INDF;MASC;SG
kalender	календар	kalende	календар	N;INDF;FEM;PL	N;INDF;MASC;SG
kalender	календара	kalende	календар	N;INDF;FEM;PL	N;DEF;MASC;SG
dekk	гуми	dekk	гумя	N;INDF;NEUT;SG	N;INDF;FEM;PL
dekk	гумите	dekk	гумя	N;INDF;NEUT;SG	N;DEF;FEM;PL
dekk	палубата	dekk	палуба	N;INDF;NEUT;SG	N;DEF;FEM;SG
bomber	бомбите	bombe	бомба	N;INDF;FEM;PL	N;DEF;FEM;PL
portretter	портрети	portrette	портрет	N;INDF;NEUT;SG	N;INDF;MASC;PL
innspill	входяща	innspill	входящ	N;INDF;NEUT;SG	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
utløste	задейства	utløse	задейство	ADJ;PL;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
utløste	предизвикана	utløse	предизвикам	ADJ;PL;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
utløste	задействана	utløse	задействам-(се)	ADJ;PL;V.PTCP	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
spesifikt	конкретни	spesifikk	конкретен	ADJ;INDF;NEUT;SG	ADJ;INDF;PL
spesifikt	специфично	spesifikk	специфично	ADJ;INDF;NEUT;SG	ADV
spesifikt	специфични	spesifikk	специфичен	ADJ;INDF;NEUT;SG	ADJ;INDF;PL
spesifikt	специално	spesifikk	специално	ADJ;INDF;NEUT;SG	ADV
uttrykt	изразена	uttrykkje	изразя-(се)	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
uttrykt	изразено	uttrykkje	изразя-(се)	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
uttrykt	изразен	uttrykkje	изразя-(се)	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uttrykt	изразени	uttrykkje	изразя-(се)	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
pilot	пилотен	pilot	пилотен	N;INDF;MASC;SG	ADJ;INDF;MASC;SG
mats	подложки	mats	подложка	N;INDF;MASC;SG	N;INDF;FEM;PL
mats	матс	mats	матс	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
sint	бесен	sint	бесен	ADJ;INDF;SG	N;INDF;MASC;SG
sint	ядосан	sint	ядосам-(се)	ADJ;INDF;SG	N;INDF;MASC;SG
sint	ядосана	sint	ядосам-(се)	ADJ;INDF;SG	N;INDF;FEM;SG
iranske	ирански	iransk	ирански	ADJ;PL	ADJ;INDF;MASC;SG
kreta	крит	krete	крит	N;DEF;FEM;SG	PROPN;INDF;MASC;SG
ønskelig	желани	ønskelig	желая	N;INDF;MASC;SG	V;IPFV;INDF;PL;V.PTCP;PASS
ønskelig	желан	ønskelig	желан	N;INDF;MASC;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
ønskelig	желана	ønskelig	желая	N;INDF;MASC;SG	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
ønskelig	желателно	ønskelig	желателен	N;INDF;MASC;SG	ADV
ønskelig	желан	ønskelig	желан	N;INDF;MASC;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
ønskelig	желана	ønskelig	желая	N;INDF;MASC;SG	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
progressiv	прогресивно	progressiv	прогресивно	ADJ;INDF;NEUT;SG	ADV
bratte	стръмен	bratt	стръмен	ADJ;PL	ADJ;INDF;MASC;SG
peters	питърс	peter	питърс	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
kapital	капитали	kapital	капитал	N;INDF;MASC;SG	N;INDF;MASC;PL
kapital	столицата	kapital	столица	N;INDF;MASC;SG	N;DEF;FEM;SG
kamera	камерата	kamera	камера	N;INDF;NEUT;SG	N;DEF;FEM;SG
gibraltar	гибралтар	gibralt	гибралтар	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
fullføre	пълна	fullføre	пълен	V;IMP;NFIN	ADJ;INDF;FEM;SG
fullføre	пълно	fullføre	пълен	V;IMP;NFIN	ADV
fullføre	пълен	fullføre	пълен	V;IMP;NFIN	ADJ;INDF;MASC;SG
maine	мейн	main	мейн	N;INDF;NEUT;SG	PROPN;INDF;MASC;SG
roberto	роберто	roberto	роберто	ADJ;INDF;SG;V.PTCP	PROPN;INDF;MASC;SG
hen	кокошка	hen	кокошка	ADP	N;INDF;FEM;SG
augusta	аугуста	august	аугуст	N;DEF;FEM;SG	N;INDF;FEM;SG
xiii	xiii	xiii	xiii	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
ankomst	пристигането	ankomst	пристигане	N;INDF;MASC;SG	N;DEF;NEUT;SG
ankomst	ета	ankomst	ета	N;INDF;MASC;SG	PROPN;INDF;FEM;SG
ankomst	пристигащите	ankomst	пристигам	N;INDF;MASC;SG	ADJ;IPFV;DEF;PL;PRS;V.PTCP;ACT
ankomst	пристигащи	ankomst	пристигам	N;INDF;MASC;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
høgskole	колежа	høgskole	колеж	N;INDF;MASC;SG	N;DEF;MASC;SG
høgskole	колежът	høgskole	колеж	N;INDF;MASC;SG	N;DEF;MASC;SG
skriv	пишете	skrive	пиша	V;IMP;FIN	V;IPFV;IND;PL;2;PRS;FIN;ACT
skriv	вид	skrive	вид	V;IMP;FIN	N;INDF;MASC;SG
skriv	тип	skrive	тип	V;IMP;FIN	N;INDF;MASC;SG
fyret	фар	fyr	фар	N;DEF;NEUT;SG	N;INDF;MASC;SG
trives	процъфтяват	trives	процъфтявам	N;INDF;MASC;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
fett	дебела	fett	дебел	N;INDF;MASC;SG	ADJ;INDF;FEM;SG
fett	мазнини	fett	мазнин	N;INDF;MASC;SG	N;INDF;FEM;PL
fett	дебели	fett	дебел	N;INDF;MASC;SG	ADJ;INDF;PL
fett	дебел	fett	дебел	N;INDF;MASC;SG	ADJ;INDF;MASC;SG
betaling	касата	betaling	каса	N;INDF;FEM;SG	N;DEF;FEM;SG
betaling	плащания	betaling	плащане	N;INDF;FEM;SG	N;INDF;NEUT;PL
hindret	предотврати	hindret	предотвратя	N;DEF;NEUT;SG	V;PFV;IMP;SG;2;FIN
hindret	възпрепятстван	hindret	възпрепятствам	N;DEF;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
blokkering	блокирането	blokkering	блокиране	N;INDF;FEM;SG	N;DEF;NEUT;SG
vilkår	условията	vilkår	условие	N;INDF;NEUT;PL	N;DEF;NEUT;PL
bølger	вълните	bølge	вълна	N;INDF;FEM;PL	N;DEF;FEM;PL
masters	господари	masters	господар	N;INDF;NEUT;SG	N;INDF;MASC;PL
masters	майстори	masters	майстор	N;INDF;NEUT;SG	N;INDF;MASC;PL
palass	дворци	palass	дворец	N;INDF;NEUT;SG	N;INDF;MASC;PL
palass	двореца	palass	дворец	N;INDF;NEUT;SG	N;DEF;MASC;SG
palass	дворецът	palass	дворец	N;INDF;NEUT;SG	N;DEF;MASC;SG
moths	молци	moths	молец	N;INDF;MASC;SG	N;INDF;MASC;PL
moths	пеперуди	moths	пеперуд	N;INDF;MASC;SG	N;INDF;FEM;PL
banker	бенкс	bank	бенкс	N;INDF;FEM;PL	PROPN;INDF;MASC;SG
banker	банките	bank	банка	N;INDF;FEM;PL	N;DEF;FEM;PL
banker	банкс	bank	банкс	N;INDF;FEM;PL	PROPN;INDF;MASC;SG
begått	отдадена	begå	отдам-(се)	ADJ;INDF;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
begått	извършено	begå	извърша	ADJ;INDF;NEUT;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
begått	извършени	begå	извърша	ADJ;INDF;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
begått	обвързан	begå	обвържа	ADJ;INDF;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
begått	ангажиран	begå	ангажирам	ADJ;INDF;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
