орбиту	orbit	орбита	orbit	N;INAN;ACC;FEM;SG	PROPN;SG
удовлетворяет	zufriedenstellend	удовлетворять	zufriedenstellend	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ
удовлетворяет	befriedigend	удовлетворять	befriedigend	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ
пассажирских	passagier	пассажирский	passagier	ADJ;GEN;PL	
пассажирских	passagiere	пассажирский	passagieren	ADJ;GEN;PL	
факторы	faktoren	фактор	faktoren	N;INAN;NOM;MASC;PL	V;NFIN
ходить	walking	ходить	walking	V;IPFV;NFIN;ACT	
ходить	spaziergänge	ходить	spaziergänge	V;IPFV;NFIN;ACT	ADJ;NOM;SG
ходить	spaziergang	ходить	spaziergang	V;IPFV;NFIN;ACT	N
ходить	fußweg	ходить	faßweg	V;IPFV;NFIN;ACT	
ходить	spaziergang	ходить	spaziergang	V;IPFV;NFIN;ACT	N
уничтожены	zerstörte	уничтожить	zerstört	V;PFV;PL;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG
детектив	detective	детектив	detectiv	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
детектив	detektive	детектив	detektiv	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
детектив	kommissar	детектив	kommissar	N;ANIM;NOM;MASC;SG	PROPN
детектив	detektiv	детектив	detektiv	N;ANIM;NOM;MASC;SG	PROPN
духовенства	kleriker	духовенство	klerik	N;INAN;NOM;NEUT;PL	ADJ
духовенства	geistlichen	духовенство	geistlich	N;INAN;NOM;NEUT;PL	ADJ
духовенства	klerus	духовенство	klerus	N;INAN;NOM;NEUT;PL	
духовенства	geistliche	духовенство	geistlich	N;INAN;NOM;NEUT;PL	ADJ;NOM;FEM;PL
волк	wölfen	волк	wölfen	N;ANIM;NOM;MASC;SG	
волк	wölfe	волк	wölfen	N;ANIM;NOM;MASC;SG	
волк	wolf	волк	wolf	N;ANIM;NOM;MASC;SG	;SG
короли	kings	король	kings	N;ANIM;NOM;MASC;PL	PROPN;NOM;SG
короли	könige	король	könig	N;ANIM;NOM;MASC;PL	ADJ;NOM;FEM;PL
короли	königen	король	könig	N;ANIM;NOM;MASC;PL	ADJ
фильмография	filmografie	фильмография	filmografie	N;INAN;NOM;FEM;SG	
талант	talente	талант	talent	N;INAN;NOM;MASC;SG	ADJ;NOM;PL
талант	begabung	талант	Begabung	N;INAN;NOM;MASC;SG	ADJ
талант	talent	талант	talent	N;INAN;NOM;MASC;SG	ADJ
талант	talenten	талант	talent	N;INAN;NOM;MASC;SG	V;FIN
утро	vormittags	утро	vormittags	N;INAN;NOM;NEUT;SG	ADV
утро	morgens	утро	morgens	N;INAN;NOM;NEUT;SG	ADV
утро	morgen	утро	morgen	N;INAN;NOM;NEUT;SG	ADV
утро	vormittag	утро	vormittag	N;INAN;NOM;NEUT;SG	ADV
боль	schmerz	боль	schmerz	N;INAN;NOM;FEM;SG	PROPN
боль	schmerzen	боль	schmerz	N;INAN;NOM;FEM;SG	V;NFIN
бей	bey	бей	bey	INTJ	
бей	bucht	бей	buchen	INTJ	ADJ
бей	bay	бей	bay	INTJ	PROPN;NOM;MASC;SG
чей	wessen	чей	wessen	DET;NOM;MASC;SG	PRO;NOM;MASC;SG
чей	dessen	чей	der	DET;NOM;MASC;SG	DET;GEN;MASC;SG
чей	wem	чей	wer	DET;NOM;MASC;SG	ADV
чей	deren	чей	der	DET;NOM;MASC;SG	DET;GEN;PL
отель	hotelzimmer	отель	hotelzimmer	N;INAN;NOM;MASC;SG	
любил	liebten	любить	lieben	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;PST;FIN
тайно	heimlich	тайно	heimlich	ADV	ADJ
убийцы	killer	убийца	kill	N;ANIM;NOM;MASC;PL	PROPN
убийцы	mörder	убийца	mörder	N;ANIM;NOM;MASC;PL	ADJ
убийцы	mördern	убийца	mördern	N;ANIM;NOM;MASC;PL	V;NFIN
убийцы	mörder	убийца	mörder	N;ANIM;NOM;MASC;PL	ADJ
убийцы	mördern	убийца	mördern	N;ANIM;NOM;MASC;PL	V;NFIN
убийцы	attentäter	убийца	attentät	N;ANIM;NOM;MASC;PL	ADJ
дисков	scheiben	диск	scheiben	N;INAN;GEN;MASC;PL	V;NFIN
физиологии	physiologie	физиология	Physiologie	N;INAN;NOM;FEM;PL	
осуществления	implementierung	осуществление	implementierung	N;INAN;NOM;NEUT;SG	ADJ
осуществления	ausführung	осуществление	ausführung	N;INAN;NOM;NEUT;SG	
установок	anlagen	установка	anlagen	N;INAN;GEN;FEM;PL	V;NFIN
установок	installationen	установка	installation	N;INAN;GEN;FEM;PL	V;NFIN
газету	zeitungen	газета	zeitungen	N;INAN;ACC;FEM;SG	V;NFIN
газету	tageszeitung	газета	Tageszeitung	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
газету	zeitung	газета	zeitung	N;INAN;ACC;FEM;SG	
афганистана	afghanistan	афганистан	afghanistan	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
кадры	bildmaterial	кадр	bildmaterial	N;INAN;NOM;MASC;PL	ADJ
кадры	filmmaterial	кадр	filmmaterial	N;INAN;NOM;MASC;PL	ADJ
кадры	aufnahmen	кадр	aufnehmen	N;INAN;NOM;MASC;PL	V;IND;PL;3;PST;FIN
строитель	builder	строитель	build	N;ANIM;NOM;MASC;SG	PROPN;SG
строитель	erbauer	строитель	erbauer	N;ANIM;NOM;MASC;SG	ADJ
строитель	baumeister	строитель	baumeister	N;ANIM;NOM;MASC;SG	ADJ
владивосток	wladiwostok	владивосток	wladiwostok	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
победить	beat	победить	beaten	V;PFV;NFIN;ACT	PROPN;SG
победить	schlag	победить	schlagen	V;PFV;NFIN;ACT	
победить	takt	победить	takt	V;PFV;NFIN;ACT	ADJ
победить	gewinne	победить	gewinne	V;PFV;NFIN;ACT	
победить	sieg	победить	seigen	V;PFV;NFIN;ACT	N;NOM;SG
победить	gewinn	победить	gewinn	V;PFV;NFIN;ACT	N
победить	niederlage	победить	niederlage	V;PFV;NFIN;ACT	N;NOM;FEM;SG
парень	jungen	парень	jung	N;ANIM;NOM;MASC;SG	ADJ
парень	junge	парень	jung	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
парень	boy	парень	boy	N;ANIM;NOM;MASC;SG	PROPN
парень	guy	парень	guy	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
парень	kerl	парень	kerl	N;ANIM;NOM;MASC;SG	
парень	junge	парень	jung	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
парень	kid	парень	kid	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG
парень	freund	парень	freund	N;ANIM;NOM;MASC;SG	
чтение	lektüre	чтение	lektür	N;INAN;NOM;NEUT;SG	
чтение	lesen	чтение	lesen	N;INAN;NOM;NEUT;SG	V;NFIN
чтение	lese	чтение	lese	N;INAN;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
факто	facto	факто	facto	N;INAN;NOM;MASC;SG	ADJ
принесла	brachten	принести	bringen	V;PFV;FEM;IND;SG;PST;FIN;ACT	V;IND;PL;3;PST;FIN
лицей	lyceum	лицо	lyceum	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
формулировка	wortwahl	формулировка	wortwahl	N;INAN;NOM;FEM;SG	ADJ
формулировка	formulierungen	формулировка	formulierung	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
формулировка	rezeptur	формулировка	rezeptur	N;INAN;NOM;FEM;SG	PROPN
формулировка	darreichungsform	формулировка	darreichungsform	N;INAN;NOM;FEM;SG	ADJ
формулировка	wortlaut	формулировка	wortlaut	N;INAN;NOM;FEM;SG	ADJ
формулировка	formulierungen	формулировка	formulierung	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
резонанс	resonanz	резонанс	resonanz	N;INAN;NOM;MASC;SG	ADJ
англичан	engländer	англичанин	engländer	N;ANIM;GEN;MASC;PL	
англичан	engländern	англичанин	engländern	N;ANIM;GEN;MASC;PL	
обход	umgehung	обход	Umgehung	N;INAN;NOM;MASC;SG	ADJ
обход	runden	обход	rund	N;INAN;NOM;MASC;SG	ADJ
обход	runde	обход	runde	N;INAN;NOM;MASC;SG	ADV
обход	umgehen	обход	umgehen	N;INAN;NOM;MASC;SG	V;NFIN
обход	umgehung	обход	Umgehung	N;INAN;NOM;MASC;SG	ADJ
обход	umgehungsstraße	обход	umgehungsstraße	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
обход	bypass	обход	bypass	N;INAN;NOM;MASC;SG	
обход	umgehung	обход	Umgehung	N;INAN;NOM;MASC;SG	ADJ
отдать	give	отдать	giv	V;PFV;NFIN;ACT	
процедура	vorgehensweise	процедура	vorgehensweise	N;INAN;NOM;FEM;SG	ADV
процедура	verfahren	процедура	verfahren	N;INAN;NOM;FEM;SG	V;NFIN
процедура	prozedur	процедура	prozedur	N;INAN;NOM;FEM;SG	
мур	moor	мура	moor	N;INAN;NOM;MASC;SG	
мур	mohr	мура	mohr	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
мур	moore	мура	moor	N;INAN;NOM;MASC;SG	PROPN
осень	herbst	осень	herbst	N;INAN;NOM;FEM;SG	ADV
осень	falle	осень	fallen	N;INAN;NOM;FEM;SG	ADV
осень	sturz	осень	sturz	N;INAN;NOM;FEM;SG	
осень	fallen	осень	fallen	N;INAN;NOM;FEM;SG	V;NFIN
осень	herbst	осень	herbst	N;INAN;NOM;FEM;SG	ADV
осень	fall	осень	fall	N;INAN;NOM;FEM;SG	ADV
радиус	umkreis	радиус	umkreis	N;INAN;NOM;MASC;SG	ADJ
радиус	radius	радиус	radius	N;INAN;NOM;MASC;SG	
сел	sa	сесть	sa	V;PFV;MASC;IND;SG;PST;FIN;MID	
сел	saßen	сесть	sitzen	V;PFV;MASC;IND;SG;PST;FIN;MID	V;IND;PL;3;PST;FIN
сел	sat	сесть	sat	V;PFV;MASC;IND;SG;PST;FIN;MID	
предотвратить	verhinderung	предотвратить	verhinderung	V;PFV;NFIN;ACT	N;NOM;FEM;SG
апостольский	apostolische	апостольский	apostolisch	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
сервис	hilfsmittel	сервис	hilfsmittel	N;INAN;NOM;MASC;SG	ADJ
сервис	werkzeugen	сервис	werkzeugen	N;INAN;NOM;MASC;SG	V;NFIN
сервис	werkzeuge	сервис	werkzeugen	N;INAN;NOM;MASC;SG	N;NOM;PL
сервис	instrumente	сервис	instrument	N;INAN;NOM;MASC;SG	ADJ;PL
сервис	service	сервис	Service	N;INAN;NOM;MASC;SG	
сенат	senat	сенат	senaen	N;INAN;NOM;MASC;SG	
сенат	senats	сенат	senats	N;INAN;NOM;MASC;SG	
еврейская	jüdische	еврейский	jüdisch	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
еврейская	juden	еврейский	juden	ADJ;NOM;FEM;SG	
убийца	mörderin	убийца	mörderin	N;ANIM;NOM;MASC;SG	ADJ
убийца	killer	убийца	kill	N;ANIM;NOM;MASC;SG	PROPN
убийца	mörder	убийца	mörder	N;ANIM;NOM;MASC;SG	ADJ
убийца	mörderin	убийца	mörderin	N;ANIM;NOM;MASC;SG	ADJ
убийца	mörder	убийца	mörder	N;ANIM;NOM;MASC;SG	ADJ
убийца	mörderin	убийца	mörderin	N;ANIM;NOM;MASC;SG	ADJ
убийца	killer	убийца	kill	N;ANIM;NOM;MASC;SG	PROPN
убийца	mörder	убийца	mörder	N;ANIM;NOM;MASC;SG	ADJ
убийца	attentäter	убийца	attentät	N;ANIM;NOM;MASC;SG	ADJ
зон	zonen	зона	zon	N;INAN;GEN;FEM;PL	N;NOM;PL
зон	gebiete	зона	gebieten	N;INAN;GEN;FEM;PL	
арабский	arabischen	арабский	arabisch	ADJ;NOM;MASC;SG	ADJ;NOM;PL
арабский	arabische	арабский	arabisch	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
арабский	araber	арабский	araber	ADJ;NOM;MASC;SG	
арабский	arabischen	арабский	arabisch	ADJ;NOM;MASC;SG	ADJ;NOM;PL
арабский	arabische	арабский	arabisch	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
арабский	araber	арабский	araber	ADJ;NOM;MASC;SG	
предков	vorfahren	предок	vorfahren	N;ANIM;ACC;MASC;PL	
предков	ahnen	предок	ahnen	N;ANIM;ACC;MASC;PL	V;NFIN
предков	vorfahren	предок	vorfahren	N;ANIM;ACC;MASC;PL	
предков	ahnen	предок	ahnen	N;ANIM;ACC;MASC;PL	V;NFIN
ведущая	moderator	вести	moderator	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	
ведущая	moderatorin	вести	moderatorin	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	ADJ
ведущая	moderatoren	вести	moderator	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	N;NOM;PL
ведущая	führend	вести	führend	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	ADJ
ведущая	führenden	вести	führend	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	V;PL;FIN
ведущая	führende	вести	führend	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	ADJ;NOM;FEM;PL
ведущая	führender	вести	führend	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	ADJ
ведущая	vorsprung	вести	vorsprung	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	ADV
ведущая	blei	вести	blei	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	
ведущая	moderator	вести	moderator	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	
ведущая	moderatorin	вести	moderatorin	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	ADJ
ведущая	sprecherin	вести	sprecherin	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	ADJ
ведущая	moderatoren	вести	moderator	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT	N;NOM;PL
пропустил	verfehlt	пропустить	verfehlen	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;V.PTCP
свидетельство	zertifikat	свидетельство	zertifikat	N;INAN;NOM;NEUT;SG	V;V.PTCP
свидетельство	bescheinigung	свидетельство	Bescheinigung	N;INAN;NOM;NEUT;SG	ADJ
свидетельство	zertifikate	свидетельство	zertifikate	N;INAN;NOM;NEUT;SG	ADJ;NOM;FEM;SG
свидетельство	zeugenaussagen	свидетельство	zeugenaussagen	N;INAN;NOM;NEUT;SG	V;NFIN
свидетельство	aussagen	свидетельство	aussagen	N;INAN;NOM;NEUT;SG	V;NFIN
свидетельство	aussage	свидетельство	aussagen	N;INAN;NOM;NEUT;SG	
свидетельство	zeugenaussage	свидетельство	zeugenaussag	N;INAN;NOM;NEUT;SG	ADJ;NOM;FEM;SG
сервер	webserver	сервер	webserver	N;INAN;NOM;MASC;SG	ADJ
сервер	bediener	сервер	bediener	N;INAN;NOM;MASC;SG	ADJ
сервер	server	сервер	serv	N;INAN;NOM;MASC;SG	
австралийский	australische	австралийский	australisch	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
австралийский	australier	австралийский	australier	ADJ;NOM;MASC;SG	
австралийский	australian	австралийский	australian	ADJ;NOM;MASC;SG	PROPN;SG
супер	super	супер	super		ADJ
рада	rada	рад	rada	ADJ;FEM;SG	PROPN;NOM;MASC;SG
пишу	schriftlich	писать	schriftlich	V;IPFV;IND;SG;1;PRS;FIN;ACT	ADJ
пишу	schreibe	писать	schreibe	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
дальнейшая	weitere	дальнейший	weit	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
дальнейшая	weiter	дальнейший	weiter	ADJ;NOM;FEM;SG	ADV
дальнейшая	weiteren	дальнейший	weit	ADJ;NOM;FEM;SG	ADJ;ACC;MASC;SG
королей	kings	король	kings	N;ANIM;GEN;MASC;PL	PROPN;NOM;SG
королей	könige	король	könig	N;ANIM;GEN;MASC;PL	ADJ;NOM;FEM;PL
королей	königen	король	könig	N;ANIM;GEN;MASC;PL	ADJ
орехово	orechowo	орехово	orechowo	ADV	PROPN
полицейский	polizist	полицейский	polizist	ADJ;NOM;MASC;SG	PROPN
полицейский	cop	полицейский	cop	ADJ;NOM;MASC;SG	
полицейский	bulle	полицейский	bullen	ADJ;NOM;MASC;SG	PROPN;SG
полицейский	polizisten	полицейский	polizist	ADJ;NOM;MASC;SG	N;PL
полицейский	polizist	полицейский	polizist	ADJ;NOM;MASC;SG	PROPN
полицейский	polizisten	полицейский	polizist	ADJ;NOM;MASC;SG	N;PL
описано	beschreibt	описать	beschreiben	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;SG;3;PRS;FIN
описано	beschreibt	описать	beschreiben	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;SG;3;PRS;FIN
кан	kang	кан	köngen	PART	PROPN;NOM;MASC;SG
кан	kahn	кан	kahn	PART	
кан	kan	кан	kan	PART	
кан	kaan	кан	kaan	PART	PROPN;NOM;SG
фифа	fifa	фиф	fifa	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
косово	serbien	косово	Serbien	N;INAN;NOM;NEUT;SG	
косово	kosovo	косово	kosovo	N;INAN;NOM;NEUT;SG	PROPN;NOM;SG
атаковать	angriff	атаковать	angreifen	V;IPFV;NFIN;ACT	N
атаковать	attack	атаковать	attack	V;IPFV;NFIN;ACT	PROPN
атаковать	attacke	атаковать	attacke	V;IPFV;NFIN;ACT	ADJ;NOM;SG
атаковать	anschlag	атаковать	anschlagen	V;IPFV;NFIN;ACT	N;SG
присоединились	angeschlossen	присоединиться	anschließen	V;PFV;IND;PL;PST;FIN;MID	ADJ;V.PTCP
присоединились	trat	присоединиться	treten	V;PFV;IND;PL;PST;FIN;MID	V;IND;SG;3;PST;FIN
абдул	abdul	абдул	abdul	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG
абдул	abd	абдул	abd	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
эксперт	fachmann	эксперт	fachmann	N;ANIM;NOM;MASC;SG	
эксперт	experten	эксперт	expert	N;ANIM;NOM;MASC;SG	V;IND;PL;3;FIN
эксперт	experte	эксперт	expern	N;ANIM;NOM;MASC;SG	
эксперт	sachverständiger	эксперт	sachverständig	N;ANIM;NOM;MASC;SG	ADJ
эксперт	sachverständige	эксперт	sachverständig	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
розыгрыш	scherz	розыгрыш	scherz	N;INAN;NOM;MASC;SG	ADJ
розыгрыш	streich	розыгрыш	streich	N;INAN;NOM;MASC;SG	PROPN
дружба	freundschaft	дружба	freundschaft	N;INAN;NOM;FEM;SG	
дружба	freundschaften	дружба	freundschaften	N;INAN;NOM;FEM;SG	ADJ
древняя	alte	древний	alt	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
древняя	alten	древний	alt	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
ископаемых	fossilen	ископаемое	fossil	N;INAN;GEN;NEUT;PL	ADJ
ископаемых	fossile	ископаемое	fossil	N;INAN;GEN;NEUT;PL	ADJ;NOM;FEM;PL
ископаемых	fossilien	ископаемое	fossilien	N;INAN;GEN;NEUT;PL	N;NOM;FEM;PL
ископаемых	fossil	ископаемое	fossil	N;INAN;GEN;NEUT;PL	ADJ
фотограф	fotografin	фотограф	fotografin	N;ANIM;NOM;MASC;SG	PROPN;NOM;FEM;SG
фотограф	fotograf	фотограф	fotograf	N;ANIM;NOM;MASC;SG	PROPN
фотограф	fotografen	фотограф	fotograf	N;ANIM;NOM;MASC;SG	
кислорода	sauerstoff	кислород	sauerstoff	N;INAN;GEN;MASC;SG	PROPN;SG
мэн	meng	мэн	meng	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
мэн	maine	мэн	mainen	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
позади	hinter	позади	hinter	ADV	ADP
николас	nicolás	николас	nicolás	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
николас	nikolaus	николас	nikolaus	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
николас	nikolai	николас	nikolai	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
николас	nicholas	николас	nicholas	N;ANIM;NOM;MASC;SG	PROPN;NOM;SG
формировании	gestalten	формирование	gestalten	N;INAN;ESS;NEUT;SG	V;NFIN
формировании	gestaltung	формирование	gestaltung	N;INAN;ESS;NEUT;SG	N;NOM;FEM;SG
