von	from	von	from	ADP	
unter	unter	unter	unte	ADP	PROPN;NOM;SG;3
unter	altında	unter	alt	ADP	ADJ;ESS;SG;3
unter	altinda	unter	alt	ADP	ADJ;ESS;SG;3
unter	altına	unter	alt	ADP	ADJ;DAT;SG;3
hat	şapka	haben	şapka	V;IND;SG;3;PRS;FIN	
artikel	yazı	artikel	yazı	ADJ	
artikel	madde	artikel	madde	ADJ	N;NOM;SG;3
artikel	makale	artikel	makale	ADJ	N;NOM;SG;3
artikel	eşyalar	artikel	eşya	ADJ	N;NOM;PL;3
artikel	ürünler	artikel	ürün	ADJ	N;NOM;PL;3
artikel	makaleler	artikel	makale	ADJ	N;NOM;PL;3
artikel	yazılar	artikel	yazı	ADJ	N;NOM;PL;3
artikel	makale	artikel	makale	ADJ	N;NOM;SG;3
man	insan	man	insan	PRO;NOM;INDF;SG	N;NOM;SG;3
man	man	man	man	PRO;NOM;INDF;SG	
man	erkek	man	erkek	PRO;NOM;INDF;SG	
man	adam	man	adam	PRO;NOM;INDF;SG	N;NOM;SG;3
man	adamım	man	adam	PRO;NOM;INDF;SG	N;NOM;SG;3
vor	öne	vor	ön	ADP	
vor	cephe	vor	cephe	ADP	
vor	ön	vor	ön	ADP	
vor	önceden	vor	önceden	ADP	ADV
vor	öncesi	vor	önce	ADP	N;NOM;SG;3
vor	önceki	vor	önceki	ADP	
vor	önceden	vor	önceden	ADP	ADV
vor	önce	vor	önce	ADP	
vor	öncesi	vor	önce	ADP	N;NOM;SG;3
vor	öncesinde	vor	önce	ADP	N;ESS;SG;3
sein	onunki	sein	onunki	DET;NOM;MASC;SG	
sein	onun	sein	o	DET;NOM;MASC;SG	PRO;GEN;SG;3
sein	sein	sein	sein	DET;NOM;MASC;SG	
diese	bu	dies	bu	PRO;NOM;FEM;SG	
diese	bunu	dies	bu	PRO;NOM;FEM;SG	PRO;ACC;SG;3
diese	bunlar	dies	bu	PRO;NOM;FEM;SG	PRO;NOM;PL;3
diese	bunları	dies	bu	PRO;NOM;FEM;SG	PRO;ACC;PL;3
diese	şunlar	dies	şu	PRO;NOM;FEM;SG	
kann	may	können	may	V;IND;SG;3;PRS;FIN	
kann	mayis	können	mayis	V;IND;SG;3;PRS;FIN	
kann	mayıs	können	mayıs	V;IND;SG;3;PRS;FIN	
kann	can	können	can	V;IND;SG;3;PRS;FIN	
hier	burada	hier	bura	ADV	N;ESS;SG;3
hier	burda	hier	bura	ADV	N;ESS;SG;3
diskussion	tartışma	diskussion	tartış	N	V;PFV;NOM;IND;POS;PRS;V.MSDR
diskussion	tartışmaları	diskussion	tartış	N	V;PFV;NOM;IND;POS;PRS;V.MSDR
diskussion	tartışmalar	diskussion	tartış	N	V;PFV;NOM;IND;POS;PRS;V.MSDR
diskussion	tartışma	diskussion	tartış	N	V;PFV;NOM;IND;POS;PRS;V.MSDR
diskussion	tartışma	diskussion	tartış	N	V;PFV;NOM;IND;POS;PRS;V.MSDR
seine	onunki	sein	onunki	DET;NOM;FEM;SG	
seine	onun	sein	o	DET;NOM;FEM;SG	PRO;GEN;SG;3
seine	seine	sein	sein	DET;NOM;FEM;SG	PROPN;NOM;SG;3
dieser	bu	dies	bu	PRO;NOM;MASC;SG	
dieser	bunu	dies	bu	PRO;NOM;MASC;SG	PRO;ACC;SG;3
jahr	yıl	Jahr	yıl	N;NOM;NEUT;SG	
jahr	yılı	Jahr	yıl	N;NOM;NEUT;SG	
jahr	sene	Jahr	sene	N;NOM;NEUT;SG	
dann	öyleyse	dann	öyleyse	ADV	
dann	ozaman	dann	oza	ADV	
zwei	iki	zwei	iki	NUM	
seiner	onunki	sein	onunki	DET;NOM;MASC;SG	
seiner	onun	sein	o	DET;NOM;MASC;SG	PRO;GEN;SG;3
jahre	yıl	jahren	yıl	ADV	
jahre	yılı	jahren	yıl	ADV	
jahre	sene	jahren	sene	ADV	
jahre	yıllardır	jahren	yıl	ADV	V;IPFV;IND;PL;3;POS
jahre	yıllar	jahren	yıl	ADV	N;NOM;PL;3
jahre	yılların	jahren	yıl	ADV	N;GEN;PL;3
jahre	seneler	jahren	sene	ADV	
mai	may	mai	may	PROPN;NOM;MASC;SG	
mai	mayis	mai	mayis	PROPN;NOM;MASC;SG	
mai	mayıs	mai	mayıs	PROPN;NOM;MASC;SG	
mai	mai	mai	mai	PROPN;NOM;MASC;SG	
isbn	isbn	isbn	isbn	;SG	
was	ne	was	ne	PRO;NOM;NEUT;SG	
zwischen	arasında	zwischen	ara	ADP	ADJ;ESS;SG;3
zwischen	arasına	zwischen	ara	ADP	ADJ;DAT;SG;3
zwischen	arası	zwischen	ara	ADP	ADJ;NOM;SG;3
zwischen	arasındaki	zwischen	ara	ADP	ADJ;ESS;SG;3
team	team	team	team	N;NOM;NEUT;SG	
team	ekip	team	ekip	N;NOM;NEUT;SG	
team	takım	team	takım	N;NOM;NEUT;SG	
mehr	devamı	mehr	devam	ADV	
mehr	more	mehr	more	ADV	
gegen	karsi	gegen	karsi	ADP	
gegen	aleyhinde	gegen	aleyh	ADP	N;ESS;SG;3
gegen	karşı	gegen	karşı	ADP	
keine	hiçbiri	kein	hiçbiri	PRO;NOM;INDF;FEM;SG;NEG	PRO;NOM;SG;3
keine	yok	kein	yok	PRO;NOM;INDF;FEM;SG;NEG	
keine	hiç	kein	hiç	PRO;NOM;INDF;FEM;SG;NEG	ADV
waren	ürünler	sein	ürün	V;IND;PL;3;PST;FIN	N;NOM;PL;3
waren	mallar	sein	mal	V;IND;PL;3;PST;FIN	
waren	mal	sein	mal	V;IND;PL;3;PST;FIN	
zeit	zeit	zeit	zeit	ADJ	
zeit	adet	zeit	adet	ADJ	
zeit	nokta	zeit	nokta	ADJ	
zeit	dönem	zeit	dön	ADJ	
zeit	zaman	zeit	zaman	ADJ	N;NOM;SG;3
zeit	vakit	zeit	vakit	ADJ	
zeit	süre	zeit	süre	ADJ	N;NOM;SG;3
zeit	time	zeit	tim	ADJ	
stadt	town	staden	town		PROPN;NOM;SG;3
stadt	city	staden	city		PROPN;NOM;SG;3
stadt	kentler	staden	kent		N;NOM;PL;3
stadt	şehirler	staden	şehir		N;NOM;PL;3
stadt	şehirleri	staden	şehir		N;NOM;PL;3
wieder	tekrar	wieder	tekrar	ADV	
wieder	geri	wieder	geri	ADV	
wieder	arka	wieder	arka	ADV	
wieder	araya	wieder	ara	ADV	ADJ;DAT;SG;3
schon	çoktan	schon	çok	ADV	ADJ;AT+ABL;SG;3
gibt	döner	geben	dön	V;IND;SG;3;PRS;FIN	
gibt	döndürür	geben	dön	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;CAUS
gibt	iade	geben	iade	V;IND;SG;3;PRS;FIN	
gibt	verir	geben	ver	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS
deutscher	alman	deutsch	al	ADJ	
deutscher	almanca	deutsch	al	ADJ	ADV
deutscher	deutscher	deutsch	deutscher	ADJ	PROPN;NOM;SG;3
deutscher	alman	deutsch	al	ADJ	
jahren	yıllarca	jahren	yıllarca	ADJ	ADV
jahren	yıllardır	jahren	yıl	ADJ	V;IPFV;IND;PL;3;POS
jahren	yıllar	jahren	yıl	ADJ	N;NOM;PL;3
jahren	yılların	jahren	yıl	ADJ	N;GEN;PL;3
jahren	seneler	jahren	sene	ADJ	
mal	kez	mal	kez	ADV	N;NOM;SG;3
mal	times	mal	times	ADV	
mal	zamanlar	mal	zaman	ADV	N;NOM;PL;3
mal	mal	mal	mal	ADV	
ersten	öncelikle	erst	öncelik	ADJ;NOM;PL	N;INS;SG;3
ersten	önce	erst	önce	ADJ;NOM;PL	
ersten	ilk	erst	ilk	ADJ;NOM;PL	
ersten	once	erst	once	ADJ;NOM;PL	
jedoch	ancak	jedoch	ancak	ADV	
jedoch	ama	jedoch	ama	ADV	CONJ
jedoch	fakat	jedoch	fakat	ADV	
dort	orada	dort	ora	ADV	N;ESS;SG;3
dort	orda	dort	ora	ADV	N;ESS;SG;3
seed	tohum	seed	tohum		N;NOM;SG;3
siehe	görün	sehen	görün	V;IMP;SG;FIN	V;PFV;IMP;PL;2;POS;PRS
siehe	görmek	sehen	gör	V;IMP;SG;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
drei	three	drei	three	NUM	
etwa	hakkında	etwa	hak	ADV	N;ESS;SG;3
etwa	yaklaşık	etwa	yaklaşık	ADV	
etwa	yaklaşık	etwa	yaklaşık	ADV	
deutschen	alman	deutsch	al	ADJ	
deutschen	almanca	deutsch	al	ADJ	ADV
deutschen	alman	deutsch	al	ADJ	
teil	kısım	teil	kısım	ADV	
teil	parçası	teil	parça	ADV	N;NOM;SG;3
teil	bölüm	teil	bölüm	ADV	
teil	part	teil	part	ADV	
teil	kısmen	teil	kısmen	ADV	
berlin	berlin	berlin	berlin	PROPN;NOM;NEUT;SG	PROPN;NOM;SG;3
heute	bugün	heute	bugün	ADV	N;NOM;SG;3
heute	bugünde	heute	bugün	ADV	N;ESS;SG;3
heute	bügün	heute	bügün	ADV	
heute	bugun	heute	bugun	ADV	
alle	herkese	alle	herkes	PRO;NOM;INDF;PL	N;DAT;SG;3
alle	herkes	alle	herkes	PRO;NOM;INDF;PL	N;NOM;SG;3
alle	herkez	alle	herkez	PRO;NOM;INDF;PL	
alle	all	alle	all	PRO;NOM;INDF;PL	
alle	hepsini	alle	hepsi	PRO;NOM;INDF;PL	PRO;ACC;PL;3
alle	tamamı	alle	tamam	PRO;NOM;INDF;PL	
alle	tümü	alle	tümü	PRO;NOM;INDF;PL	
alle	herkeze	alle	herkez	PRO;NOM;INDF;PL	N;DAT;SG;3
alle	herkese	alle	herkes	PRO;NOM;INDF;PL	N;DAT;SG;3
alle	herkes	alle	herkes	PRO;NOM;INDF;PL	N;NOM;SG;3
alle	herkez	alle	herkez	PRO;NOM;INDF;PL	
alle	alle	alle	al	PRO;NOM;INDF;PL	INTJ
während	esnasında	während	esna	CONJ	N;ESS;SG;3
während	sırasında	während	sıra	CONJ	N;ESS;SG;3
ihre	onların	ihr	o	DET;NOM;FEM;SG	PRO;GEN;PL;3
ihre	onlarin	ihr	o	DET;NOM;FEM;SG	
ihre	sizin	ihr	siz	DET;NOM;FEM;SG	PRO;GEN;PL;2
ihre	senin	ihr	sen	DET;NOM;FEM;SG	PRO;GEN;SG;2
ihre	onun	ihr	o	DET;NOM;FEM;SG	PRO;GEN;SG;3
ihre	onu	ihr	o	DET;NOM;FEM;SG	PRO;ACC;SG;3
ihre	seninki	ihr	seninki	DET;NOM;FEM;SG	
ihre	sizinki	ihr	sizinki	DET;NOM;FEM;SG	
ihre	sizin	ihr	siz	DET;NOM;FEM;SG	PRO;GEN;PL;2
ihre	senin	ihr	sen	DET;NOM;FEM;SG	PRO;GEN;SG;2
bereits	çoktan	bereits	çok	ADV	ADJ;AT+ABL;SG;3
anderen	diğeri	ander	diğer	ADJ;NOM;PL	N;NOM;SG;3
anderen	öteki	ander	öteki	ADJ;NOM;PL	
anderen	diger	ander	diger	ADJ;NOM;PL	
anderen	diger	ander	diger	ADJ;NOM;PL	
anderen	diğerleri	ander	diğer	ADJ;NOM;PL	N;ACC;PL;3
anderen	diğerlerini	ander	diğer	ADJ;NOM;PL	N;ACC;PL;3
anderen	başkaları	ander	başka	ADJ;NOM;PL	ADJ;ACC;PL;3
später	sonradan	spät	sonradan	ADJ	
später	sonra	spät	sonra	ADJ	ADV
können	can	können	can	V;IND;PL;3;PRS;FIN	
jan	jan	jan	jan	PROPN;NOM;MASC;SG	
jan	ocak	jan	ocak	PROPN;NOM;MASC;SG	
mir	mir	ich	mir	PRO;DAT;SG;1	
sehr	cok	sehr	cok	ADV	
sehr	çok	sehr	çok	ADV	
seinen	onunki	sein	onunki	DET;ACC;MASC;SG	
seinen	onun	sein	o	DET;ACC;MASC;SG	PRO;GEN;SG;3
ihr	ihr	ihr	ihr	PRO;NOM;MASC;SG	
ihr	seni	ihr	sen	PRO;NOM;MASC;SG	PRO;ACC;SG;2
ihr	siz	ihr	siz	PRO;NOM;MASC;SG	PRO;NOM;PL;2
ihr	sizin	ihr	siz	PRO;NOM;MASC;SG	PRO;GEN;PL;2
ihr	senin	ihr	sen	PRO;NOM;MASC;SG	PRO;GEN;SG;2
ihr	onun	ihr	o	PRO;NOM;MASC;SG	PRO;GEN;SG;3
ihr	onu	ihr	o	PRO;NOM;MASC;SG	PRO;ACC;SG;3
gemeinde	parish	gemeinde	parish	N;NOM;FEM;SG	PROPN;NOM;SG;3
gemeinde	belediyeler	gemeinde	belediye	N;NOM;FEM;SG	N;NOM;PL;3
gemeinde	belediye	gemeinde	beledi	N;NOM;FEM;SG	
gemeinde	belediyesi	gemeinde	belediye	N;NOM;FEM;SG	
gemeinde	belediyeye	gemeinde	belediye	N;NOM;FEM;SG	N;DAT;SG;3
gemeinde	topluluk	gemeinde	topluluk	N;NOM;FEM;SG	
gemeinde	toplum	gemeinde	toplum	N;NOM;FEM;SG	
gemeinde	ümmet	gemeinde	ümmet	N;NOM;FEM;SG	
gemeinde	cemaat	gemeinde	cemaat	N;NOM;FEM;SG	
gemeinde	komün	gemeinde	komün	N;NOM;FEM;SG	
seinem	onunki	sein	onunki	DET;DAT;MASC;SG	
seinem	onun	sein	o	DET;DAT;MASC;SG	PRO;GEN;SG;3
erste	erste	erst	ers	ADJ;NOM;FEM;PL	
erste	öncelikle	erst	öncelik	ADJ;NOM;FEM;PL	N;INS;SG;3
erste	önce	erst	önce	ADJ;NOM;FEM;PL	
erste	ilk	erst	ilk	ADJ;NOM;FEM;PL	
erste	once	erst	once	ADJ;NOM;FEM;PL	
liegt	yalanlar	liegen	yalan	V;IND;SG;3;PRS;FIN	ADJ;NOM;PL;3
liegt	yalan	liegen	yalan	V;IND;SG;3;PRS;FIN	
august	ağustos	augusten	ağustos	PROPN;NOM;MASC;SG	
august	august	augusten	august	PROPN;NOM;MASC;SG	
august	aug	augusten	aug	PROPN;NOM;MASC;SG	
august	augustus	augusten	augustus	PROPN;NOM;MASC;SG	
ohne	olmadan	ohne	ol	ADP	V;PFV;IND;NEG;PRS;V.CVB
ohne	onsuz	ohne	onsuz	ADP	
deutschland	almanya	deutschland	al	PROPN;NOM	PROPN;NOM;SG;3
ihm	onu	er	o	PRO;DAT;MASC;SG;3	PRO;ACC;SG;3
ende	bitiyor	ende	bit	N;ACC;NEUT;SG	V;PROG;IND;SG;3;POS;INFM;PRS
ende	biter	ende	bit	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;POS
ende	bitir	ende	bitir	N;ACC;NEUT;SG	V;PFV;IMP;SG;2;POS;PRS
ende	bitiş	ende	bitiş	N;ACC;NEUT;SG	
ende	bitir	ende	bitir	N;ACC;NEUT;SG	V;PFV;IMP;SG;2;POS;PRS
ende	son	ende	son	N;ACC;NEUT;SG	
ende	sonu	ende	son	N;ACC;NEUT;SG	
ende	bitiş	ende	bitiş	N;ACC;NEUT;SG	
ende	bitiş	ende	bitiş	N;ACC;NEUT;SG	
märz	mart	märz	mart	PROPN;NOM;MASC;SG	
märz	marş	märz	marş	PROPN;NOM;MASC;SG	
märz	yürüyüş	märz	yürüyüş	PROPN;NOM;MASC;SG	
märz	märz	märz	märz	PROPN;NOM;MASC;SG	
deutsche	alman	deutsch	al	ADJ;NOM;FEM;PL	
deutsche	almanca	deutsch	al	ADJ;NOM;FEM;PL	ADV
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
deutsche	alman	deutsch	al	ADJ;NOM;FEM;PL	
deutsche	almanları	deutsch	al	ADJ;NOM;FEM;PL	ADJ;ACC;PL;3
band	kurdele	binden	kurdel		N;NOM;SG;3
januar	ocak	januar	ocak	PROPN;NOM;MASC;SG	
januar	januar	januar	janua	PROPN;NOM;MASC;SG	
doch	henüz	doch	henüz	ADV	
doch	ama	doch	ama	ADV	CONJ
doch	fakat	doch	fakat	ADV	
oktober	ekim	oktober	ekim	PROPN;NOM;SG	
oktober	ekim	oktober	ekim	PROPN;NOM;SG	
immer	daima	immer	daima	ADV	
immer	herzaman	immer	herzaman	ADV	
kirche	kiliseler	kirche	kilise		N;NOM;PL;3
kirche	church	kirche	church		PROPN;NOM;SG;3
kirche	kiliseye	kirche	kili		N;DAT;SG;3
juni	jun	juni	jun	PROPN;NOM;MASC;SG	
juni	joon	juni	joon	PROPN;NOM;MASC;SG	
juni	june	juni	ju	PROPN;NOM;MASC;SG	
juni	haziran	juni	haziran	PROPN;NOM;MASC;SG	
april	apr	april	apr	PROPN;NOM;MASC;SG	
april	nişan	april	nişan	PROPN;NOM;MASC;SG	
april	nisan	april	nisan	PROPN;NOM;MASC;SG	
september	eylül	september	eylül	PROPN;SG	
september	sep	september	sep	PROPN;SG	
selbst	hatta	selbst	hatta	ADV	CONJ
selbst	self	selbst	self	ADV	
selbst	kendime	selbst	kendi	ADV	PRO;DAT;SG;1;REFL
selbst	kendimi	selbst	kendi	ADV	PRO;ACC;SG;1;REFL
selbst	kendim	selbst	kendi	ADV	PRO;NOM;SG;1;REFL
selbst	kendiniz	selbst	kendi	ADV	PRO;NOM;PL;2;REFL
selbst	kendin	selbst	kendi	ADV	PRO;NOM;SG;2;REFL
selbst	kendini	selbst	kendi	ADV	PRO;ACC;SG;3;REFL
weitere	devamı	weit	devam	ADJ;NOM;FEM;PL	
weitere	daha	weit	daha	ADJ;NOM;FEM;PL	ADV
weitere	devamı	weit	devam	ADJ;NOM;FEM;PL	
weitere	more	weit	more	ADJ;NOM;FEM;PL	
juli	temmuz	juli	temmuz	PROPN;NOM;MASC;SG	
juli	juli	juli	juli	PROPN;NOM;MASC;SG	
andere	diğeri	ander	diğer	ADJ;NOM;FEM;PL	N;NOM;SG;3
andere	öteki	ander	öteki	ADJ;NOM;FEM;PL	
andere	diger	ander	diger	ADJ;NOM;FEM;PL	
andere	diger	ander	diger	ADJ;NOM;FEM;PL	
andere	diğerleri	ander	diğer	ADJ;NOM;FEM;PL	N;ACC;PL;3
andere	diğerlerini	ander	diğer	ADJ;NOM;FEM;PL	N;ACC;PL;3
andere	başkaları	ander	başka	ADJ;NOM;FEM;PL	ADJ;ACC;PL;3
kein	olmaz	kein	ol	PRO;NOM;INDF;MASC;SG;NEG	V;IPFV;IND;SG;3;NEG
kein	değil	kein	değil	PRO;NOM;INDF;MASC;SG;NEG	
geschichte	hikaye	geschicht	hika		N;NOM;SG;3
geschichte	tarih	geschicht	tarih		N;NOM;SG;3
verlag	yayıncı	verliegen	yayıncı	N;NOM;MASC;SG	
verlag	verlag	verliegen	verlag	N;NOM;MASC;SG	
verlag	yayıncılar	verliegen	yayıncı	N;NOM;MASC;SG	N;NOM;PL;3
jpg	jpg	jpg	jpg		
dezember	aralık	dezember	aralık	PROPN;NOM;MASC;SG	N;NOM;SG;3
dezember	aralık	dezember	aralık	PROPN;NOM;MASC;SG	N;NOM;SG;3
dez	aralık	dez	aralık		N;NOM;SG;3
universität	üniversite	universität	üniversite	ADJ	
universität	university	universität	university	ADJ	PROPN;NOM;SG;3
universität	üniversitesi	universität	üniversitesi	ADJ	N;NOM;SG;3
platz	plaza	platz	plaza	ADV	PROPN;NOM;SG;3
platz	karesi	platz	kare	ADV	
platz	meydan	platz	meydan	ADV	
platz	kare	platz	kare	ADV	
platz	yer	platz	yer	ADV	N;NOM;SG;3
platz	platz	platz	platz	ADV	PROPN;NOM;SG;3
platz	boşluk	platz	boşluk	ADV	
platz	space	platz	space	ADV	
platz	uzayı	platz	uza	ADV	
platz	uzay	platz	uzay	ADV	
ihrer	onların	ihr	o	DET;NOM;MASC;SG	PRO;GEN;PL;3
ihrer	onlarin	ihr	o	DET;NOM;MASC;SG	
ihrer	sizin	ihr	siz	DET;NOM;MASC;SG	PRO;GEN;PL;2
ihrer	senin	ihr	sen	DET;NOM;MASC;SG	PRO;GEN;SG;2
ihrer	seninki	ihr	seninki	DET;NOM;MASC;SG	
ihrer	sizinki	ihr	sizinki	DET;NOM;MASC;SG	
ihrer	sizin	ihr	siz	DET;NOM;MASC;SG	PRO;GEN;PL;2
ihrer	senin	ihr	sen	DET;NOM;MASC;SG	PRO;GEN;SG;2
november	kasım	november	kasım	PROPN	
november	kasım	november	kasım	PROPN	
liste	liste	lassen	lis	N;NOM;FEM;SG	
liste	listeyi	lassen	liste	N;NOM;FEM;SG	N;ACC;SG;3
liste	listeleme	lassen	listele	N;NOM;FEM;SG	
kam	kam	kommen	kam	V;IND;SG;3;PST;FIN	
jahrhundert	jahrhundert	jahrhundert	jahrhundert	ADJ	N;ESS;SG;3
jahrhundert	yüzyıl	jahrhundert	yüzyıl	ADJ	
jahrhundert	asır	jahrhundert	asır	ADJ	
beiden	ikisi	beide	iki	PRO;NOM;INDF;PL	
beiden	darısı	beide	darı	PRO;NOM;INDF;PL	ADJ;NOM;SG;3
beiden	ikiside	beide	iki	PRO;NOM;INDF;PL	NUM;ESS;SG;3
beiden	iki	beide	iki	PRO;NOM;INDF;PL	
vier	four	vier	four	NUM	
zweiten	ikincisi	zweit	ikinci	ADJ;NOM;MASC;PL	NUM;NOM;SG;3
seite	taraf	seit	taraf	N	
seite	yan	seit	yan	N	
seite	side	seit	sid	N	
seite	yana	seit	yan	N	
seite	sayfa	seit	sayf	N	
februar	şubat	februaer	şubat	PROPN;NOM;SG	
februar	şubat	februaer	şubat	PROPN;NOM;SG	
dessen	kimin	der	kim	DET;GEN;MASC;SG	PRO;GEN;SG;3
gab	gab	geben	gab	V;IND;SG;3;PST;FIN	
etwas	hafifçe	etwas	hafifçe	ADV	
etwas	birşeyler	etwas	birşey	ADV	N;NOM;PL;3
etwas	birşey	etwas	birşey	ADV	
etwas	kısmen	etwas	kısmen	ADV	
mich	kendime	ich	kendi	PRO;ACC;SG;1	PRO;DAT;SG;1;REFL
mich	kendim	ich	kendi	PRO;ACC;SG;1	PRO;NOM;SG;1;REFL
mich	mich	ich	mich	PRO;ACC;SG;1	
zusammen	beraber	zusammen	beraber	ADV	
zusammen	beraberce	zusammen	beraberce	ADV	
zusammen	birlikte	zusammen	birlikte	ADV	
neben	yanında	neben	yan	ADP	ADJ;ESS;SG;3
neben	ayrıca	neben	ayrıca	ADP	
neben	üstelik	neben	üstelik	ADP	
allerdings	ancak	allerdings	ancak	ADV	
allerdings	ama	allerdings	ama	ADV	CONJ
allerdings	fakat	allerdings	fakat	ADV	
allerdings	gerçi	allerdings	gerçi	ADV	
film	sinema	falmen	sine		N;NOM;SG;3
film	filim	falmen	filim		N;NOM;SG;3
neue	neue	neu	ne	ADJ;NOM;FEM;PL	PROPN;NOM;SG;3
nun	simdi	nun	simdi	ADV	
leben	life	leben	life	V;NFIN	
leben	hayat	leben	hayat	V;NFIN	
leben	yaşam	leben	yaşam	V;NFIN	N;NOM;SG;3
leben	ömür	leben	ömür	V;NFIN	
leben	live	leben	live	V;NFIN	
leben	yaşa	leben	yaşa	V;NFIN	
leben	canlı	leben	canlı	V;NFIN	
leben	leben	leben	leben	V;NFIN	
namen	adınız	name	adınız		N;NOM;SG;3
namen	isim	name	isim		N;NOM;SG;3
namen	ad	name	ad		N;NOM;SG;3
namen	adın	name	ad		
namen	adı	name	ad		N;NOM;SG;3
