xbox	xbox	xbox	xbox	N	PROPN
adquirido	dibeli	adquirido	dibeli	ADJ;MASC;SG;V.PTCP	V;SG;PASS
pérdidas	kerugian	pérdida	kerugian	N;FEM;PL	N;SG
pérdidas	kehilangan	pérdida	kehilangan	N;FEM;PL	N;SG
pérdidas	rugi	pérdida	rugi	N;FEM;PL	N;SG
pérdidas	kerugian	pérdida	kerugian	N;FEM;PL	N;SG
fantasía	fantasy	fantasía	fantasy	N;FEM;SG	PROPN
fantasía	fantasia	fantasía	fantasia	N;FEM;SG	PROPN
fenómenos	fenomena	fenómeno	fenomena	N;MASC;PL	N;SG
conecta	sambung	conectar	sambung	V;IND;SG;3;PRS;FIN	PROPN;SG;ACT
conecta	connect	conectar	connect	V;IND;SG;3;PRS;FIN	PROPN
bus	bus	bus	bus	N;MASC;SG	PROPN;SG
bus	bis	bus	bis	N;MASC;SG	PROPN
mini	mini	mini	mini		PROPN;SG
master	master	master	master	N;MASC;SG	PROPN
africano	afrika	africano	afrika	ADJ;MASC;SG	N;SG
let	biarlah	let	biar		V;SG;ACT
let	let	let	let		PROPN
poética	puitis	poética	puitis	ADJ;FEM;SG	N
otomano	ottoman	otomano	ottoman	N;MASC;SG	PROPN
over	over	over	over	PROPN	PROPN
finanzas	keuangan	finanzas	keuangan	N;FEM;PL	N;SG
finanzas	finansial	finanzas	finansial	N;FEM;PL	ADJ;SG
finanzas	keuangannya	finanzas	keuangan	N;FEM;PL	N;SG
finanzas	keuangan	finanzas	keuangan	N;FEM;PL	N;SG
sinfónica	simfoni	sinfónico	simfoni	ADJ;FEM;SG	N;SG
sinfónica	simfoni	sinfónico	simfoni	ADJ;FEM;SG	N;SG
sinfónica	symphony	sinfónico	symphony	ADJ;FEM;SG	N
boxeo	boxing	boxeo	boxing	N;MASC;SG	PROPN
boxeo	bertinju	boxeo	bertinju	N;MASC;SG	V;SG;ACT
ocupada	sibuk	ocupado	sibuk	ADJ;FEM;SG;V.PTCP	;SG
ocupada	pendudukan	ocupado	pendudukan	ADJ;FEM;SG;V.PTCP	N;SG
ocupada	ditempati	ocupado	ditempati	ADJ;FEM;SG;V.PTCP	V;SG;PASS
ocupada	diduduki	ocupado	diduduki	ADJ;FEM;SG;V.PTCP	V;SG;PASS
raymond	raymond	raymond	raymond	N;MASC;SG	PROPN
comparte	share	compartir	share	V;IND;SG;3;PRS;FIN	PROPN
comparte	saham	compartir	saham	V;IND;SG;3;PRS;FIN	N;SG
jerry	jerry	jerry	jerry	N;MASC;SG	PROPN
árbitro	ref	árbitro	ref	N;MASC;SG	PROPN
bizantino	bizantium	bizantino	bizantium	ADJ;MASC;SG	PROPN
significativa	berarti	significativo	berarti	ADJ;FEM;SG	V;SG;ACT
significativa	bermakna	significativo	bermakna	ADJ;FEM;SG	V;SG;ACT
protegida	terlindung	protegido	terlindung	ADJ;FEM;SG;V.PTCP	V;SG;PASS
protegida	dilindungi	protegido	dilindungi	ADJ;FEM;SG;V.PTCP	V;SG;PASS
protegida	terlindungi	protegido	terlindungi	ADJ;FEM;SG;V.PTCP	V;SG;PASS
fiel	setia	fiel	setia	ADJ;SG	PROPN;SG
derivado	turunan	derivado	turunan	ADJ;MASC;SG;V.PTCP	N;SG
rodaje	merekam	rodaje	menrekam	N;MASC;SG	V;SG;ACT
rodaje	memfilmkan	rodaje	menfilmkan	N;MASC;SG	V;SG;ACT
rodaje	shooting	rodaje	shooting	N;MASC;SG	PROPN
rodaje	menembak	rodaje	mentembak	N;MASC;SG	V;SG;ACT
heinrich	heinrich	heinrich	heinrich	N;MASC;SG	PROPN
reglamento	rules	reglamento	rules	N;MASC;SG	PROPN
arabia	arabia	arabia	arabia	N;FEM;SG	PROPN
arabia	saudi	arabia	saudi	N;FEM;SG	PROPN
gigantes	giants	gigante	giants	N;PL	PROPN
gigantes	raksasa	gigante	raksasa	N;PL	N;SG
gigantes	raksasa	gigante	raksasa	N;PL	N;SG
gigantes	giant	gigante	giant	N;PL	PROPN
experimentos	percobaan	experimento	percobaan	N;MASC;PL	N;SG
experimentos	eksperimen	experimento	eksperimen	N;MASC;PL	N;SG
experimentos	eksperimen	experimento	eksperimen	N;MASC;PL	N;SG
paisajes	pemandangan	paisaje	penpandangan	N;MASC;PL	N;SG
paisajes	lansekap	paisaje	lansekap	N;MASC;PL	N;SG
paisajes	tumbang	paisaje	tumbang	N;MASC;PL	V;SG;ACT
paisajes	lanskap	paisaje	lanskap	N;MASC;PL	N;SG
cuesta	cuesta	costar	cuesta	V;IND;SG;3;PRS;FIN	PROPN
dispuesto	rela	dispuesto	rela	ADJ;MASC;SG;V.PTCP	
dispuesto	bersedia	dispuesto	bersedia	ADJ;MASC;SG;V.PTCP	V;SG;ACT
dei	dei	dei	dei	N;MASC	PROPN
grabados	ukiran	grabado	ukiran	ADJ;MASC;PL;V.PTCP	N;SG
grabados	direkam	grabado	direkam	ADJ;MASC;PL;V.PTCP	V;SG;PASS
grabados	merekam	grabado	menrekam	ADJ;MASC;PL;V.PTCP	V;SG;ACT
grabados	dicatat	grabado	dicatat	ADJ;MASC;PL;V.PTCP	V;SG;PASS
grabados	terekam	grabado	terrekam	ADJ;MASC;PL;V.PTCP	V;SG;PASS
grabados	cetakan	grabado	cetakan	ADJ;MASC;PL;V.PTCP	N;SG
efectivo	kas	efectivo	kas	ADJ;MASC;SG	N;SG
efectivo	cash	efectivo	cash	ADJ;MASC;SG	PROPN
efectivo	tunai	efectivo	tunai	ADJ;MASC;SG	N;SG
sra	sra	ser	sra	N;FEM;SG	PROPN
cárdenas	cárdenas	cárdena	cárdenas	N;FEM;PL	PROPN
cuota	fee	cuota	fee	N;FEM;SG	PROPN
roland	roland	roland	roland	PROPN	PROPN
obreros	pekerja	obrero	pekerja	N;MASC;PL	N;SG
sagrada	sakral	sagrado	sakral	ADJ;FEM;SG	N
primarias	primer	primaria	primer	N;FEM;PL	N;SG
primarias	utama	primaria	utama	N;FEM;PL	ADJ;SG
primarias	primary	primaria	primary	N;FEM;PL	PROPN
interpretaciones	interpretasi	interpretación	interpretasi	N;FEM;PL	N;SG
interpretaciones	penafsiran	interpretación	penafsiran	N;FEM;PL	N;SG
hembra	female	hembra	female	N;FEM;SG	PROPN
diseñada	dirancang	diseñado	dirancang	ADJ;FEM;SG;V.PTCP	V;SG;PASS
diseñada	merancang	diseñado	menrancang	ADJ;FEM;SG;V.PTCP	V;SG;ACT
diseñada	didesain	diseñado	didesain	ADJ;FEM;SG;V.PTCP	V;SG;PASS
empresarial	corporate	empresarial	corporate	ADJ;SG	PROPN
empresarial	korporasi	empresarial	korporasi	ADJ;SG	N;SG
gold	gold	gold	gold	N	PROPN
procedimientos	prosedur	procedimiento	prosedur	N;MASC;PL	N;SG
dominante	mendominasi	dominante	mendominasi	ADJ;SG	V;SG;ACT
dominante	dominan	dominante	dominan	ADJ;SG	N;SG
fred	fred	fred	fred	PROPN	PROPN
rob	rampok	rob	rampok	PROPN	N;SG
rob	rob	rob	rob	PROPN	PROPN
rob	merampok	rob	menrampok	PROPN	V;SG;ACT
chaco	chaco	chaco	chaco	N;MASC;SG	PROPN
ligera	cahaya	ligero	cahaya	ADJ;FEM;SG	N;SG
ligera	lampu	ligero	lampu	ADJ;FEM;SG	N;SG
ligera	light	ligero	light	ADJ;FEM;SG	PROPN
facultades	fakultas	facultad	fakultas	N;FEM;PL	N;SG
recuerdos	memories	recuerdo	menpories	N;MASC;PL	PROPN
recuerdos	memori	recuerdo	memori	N;MASC;PL	N;SG
recuerdos	kenangan	recuerdo	kenangan	N;MASC;PL	N;SG
recuerdos	memory	recuerdo	memory	N;MASC;PL	PROPN
recuerdos	kenangan	recuerdo	kenangan	N;MASC;PL	N;SG
recuerdos	ingatan	recuerdo	ingatan	N;MASC;PL	N;SG
recuerdos	memori	recuerdo	memori	N;MASC;PL	N;SG
site	site	sitir	site	N;MASC;SG	PROPN
mantenido	dipelihara	mantener	dipelihara	ADJ;MASC;SG;V.PTCP	V;SG;PASS
mantenido	dikelola	mantener	dikelola	ADJ;MASC;SG;V.PTCP	V;SG;PASS
mantenido	dipertahankan	mantener	dipertahankan	ADJ;MASC;SG;V.PTCP	V;SG;PASS
mantenido	dipertahankan	mantener	dipertahankan	ADJ;MASC;SG;V.PTCP	V;SG;PASS
específicos	spesifik	específico	spesifik	ADJ;MASC;PL	ADJ;SG
específicos	tertentu	específico	tertentu	ADJ;MASC;PL	DET
específicos	khusus	específico	khusus	ADJ;MASC;PL	ADJ;SG
wright	wright	wright	wright	PROPN	PROPN
falla	gagal	fallar	gagal	N;FEM;SG	V;SG
falla	gagal	fallar	gagal	N;FEM;SG	V;SG
falla	meleset	fallar	menles	N;FEM;SG	V;SG;ACT
llano	llano	llano	llano	ADJ;MASC;SG	PROPN
llano	plain	llano	plain	ADJ;MASC;SG	PROPN
llano	polos	llano	polos	ADJ;MASC;SG	PROPN;SG
romper	istirahat	romper	istirahat	V;NFIN	N;SG
romper	break	romper	break	V;NFIN	PROPN
romper	breaking	romper	breaking	V;NFIN	PROPN
huerta	orchard	huerta	orchard	N;FEM;SG	PROPN
huerta	huerta	huerta	huerta	N;FEM;SG	PROPN
septentrional	utara	septentrional	utara	ADJ;SG	PROPN;SG
septentrional	northern	septentrional	northern	ADJ;SG	PROPN
seguimiento	tracking	seguimiento	tracking	N;MASC;SG	PROPN
seguimiento	memonitor	seguimiento	menmonitor	N;MASC;SG	V;SG;ACT
seguimiento	memantau	seguimiento	menpantau	N;MASC;SG	V;SG;ACT
difíciles	susah	difícil	susah	ADJ;PL	ADJ;SG
difíciles	sulit	difícil	sulit	ADJ;PL	ADJ;SG
difíciles	sukar	difícil	sukar	ADJ;PL	ADJ;SG
cerveza	beer	cerveza	beer	N;FEM;SG	PROPN
neerlandés	belanda	neerlandés	belanda	N;MASC;SG	PROPN;SG
chiapas	chiapas	chiapa	chiapas	N;FEM;PL	PROPN
compuestas	komposit	compuesto	komposit	ADJ;FEM;PL;V.PTCP	N;SG
compuestas	senyawa	compuesto	senyawa	ADJ;FEM;PL;V.PTCP	N;SG
bloqueado	terkunci	bloqueado	terkunci	ADJ;MASC;SG;V.PTCP	V;SG;PASS
bloqueado	dikunci	bloqueado	dikunci	ADJ;MASC;SG;V.PTCP	V;SG;PASS
bloqueado	memblokir	bloqueado	menblokir	ADJ;MASC;SG;V.PTCP	V;SG;ACT
bloqueado	diblokir	bloqueado	diblokir	ADJ;MASC;SG;V.PTCP	N
bloqueado	diblok	bloqueado	diblok	ADJ;MASC;SG;V.PTCP	PROPN
bloqueado	blokir	bloqueado	blokir	ADJ;MASC;SG;V.PTCP	PROPN;SG;ACT
bloqueado	terblokir	bloqueado	terblokir	ADJ;MASC;SG;V.PTCP	V;SG;PASS
maneras	cara	manera	cara	N;FEM;PL	N;SG
infierno	hell	infierno	hell	N;MASC;SG	PROPN
infierno	neraka	infierno	neraka	N;MASC;SG	PROPN;SG
infierno	inferno	infierno	inferno	N;MASC;SG	PROPN
gastos	pengeluaran	gasto	penkeluaran	N;MASC;PL	N;SG
gastos	pengeluaran	gasto	penkeluaran	N;MASC;PL	N;SG
gastos	beban	gasto	beban	N;MASC;PL	N;SG
africana	afrika	africano	afrika	ADJ;FEM;SG	N;SG
depósito	deposit	depósito	deposit	N;MASC;SG	PROPN
lucio	lucio	lucio	lucio	N;MASC;SG	PROPN
lucio	pike	lucio	pike	N;MASC;SG	PROPN
montenegro	montenegro	montenegro	montenegro	N;FEM;SG	PROPN
avanzada	maju	avanzado	maju	ADJ;FEM;SG;V.PTCP	V;SG;ACT
avanzada	canggih	avanzado	canggih	ADJ;FEM;SG;V.PTCP	N;SG
avanzada	lanjutan	avanzado	lanjutan	ADJ;FEM;SG;V.PTCP	N;SG
nucleares	nuklir	nuclear	nuklir	ADJ;PL	N;SG
emma	emma	emma	emma	N;FEM;SG	PROPN
terry	terry	terry	terry	PROPN	PROPN
jornadas	days	jornada	days	N;FEM;PL	PROPN
jornadas	hari	jornada	hari	N;FEM;PL	N;SG
situados	terletak	situado	terletak	ADJ;MASC;PL;V.PTCP	V;SG;PASS
lobos	wolf	lobo	wolf	N;MASC;PL	PROPN
lobos	wolves	lobo	wolves	N;MASC;PL	PROPN
lobos	lobos	lobo	lobos	N;MASC;PL	PROPN
especialista	spesialis	especialista	spesialis	N;SG	ADJ;SG
octava	kedelapan	octavo	kedelapan	ADJ;FEM;SG	NUM
octava	eighth	octavo	eighth	ADJ;FEM;SG	PROPN
octava	octave	octavo	octave	ADJ;FEM;SG	PROPN
pendiente	kemiringan	pendiente	kemiringan	ADJ;SG	N;SG
pendiente	lereng	pendiente	lereng	ADJ;SG	N;SG
pendiente	anting	pendiente	anting	ADJ;SG	N;SG
pendiente	ditunda	pendiente	ditunda	ADJ;SG	V;SG;PASS
pendiente	tertunda	pendiente	tertunda	ADJ;SG	V;SG;PASS
pendiente	menunggu	pendiente	mentunggu	ADJ;SG	V;SG;ACT
pendiente	pending	pendiente	pending	ADJ;SG	PROPN
realista	realistik	realista	realistik	ADJ;SG	N;SG
century	abad	century	abad	PROPN	N;SG
century	century	century	century	PROPN	PROPN
definitivo	final	definitivo	final	ADJ;MASC;SG	N
recordar	inget	recordar	inget	V;NFIN	PROPN
recordar	recall	recordar	recall	V;NFIN	PROPN
recordar	ingat	recordar	ingat	V;NFIN	
recordar	remember	recordar	remember	V;NFIN	PROPN
comenzando	permulaan	comenzar	permulaan	V;V.MSDR	N;SG
comenzando	awal	comenzar	awal	V;V.MSDR	ADJ;SG
comenzando	starting	comenzar	starting	V;V.MSDR	PROPN
paraíso	firdaus	paraíso	firdaus	N;MASC;SG	PROPN
paraíso	surga	paraíso	surga	N;MASC;SG	PROPN;SG
paraíso	paradise	paraíso	paradise	N;MASC;SG	PROPN
malta	malt	malta	malt	N;FEM;SG	PROPN
malta	malta	malta	malta	N;FEM;SG	PROPN
aerolíneas	airline	aerolínea	airline	N;FEM;PL	PROPN
balonmano	handball	balonmano	handball	N;MASC;SG	PROPN
balonmano	hantam	balonmano	hantam	N;MASC;SG	ADJ;SG
bloques	blok	bloque	blok	N;MASC;PL	N;SG
bloques	pemblokiran	bloque	penblokiran	N;MASC;PL	N;SG
bloques	blokir	bloque	blokir	N;MASC;PL	PROPN;SG;ACT
positiva	positive	positivo	positive	ADJ;FEM;SG	PROPN
positiva	positif	positivo	positif	ADJ;FEM;SG	N;SG
turner	turner	turner	turner	N;SG	PROPN
vidal	vidal	vidal	vidal	PROPN	PROPN
polvo	dust	polvo	dust	N;MASC;SG	PROPN
tomada	taken	tomado	taken	ADJ;FEM;SG;V.PTCP	PROPN
tomada	dibawa	tomado	dibawa	ADJ;FEM;SG;V.PTCP	V;SG;PASS
tomada	diambil	tomado	diambil	ADJ;FEM;SG;V.PTCP	V;SG;PASS
balón	ball	balón	ball	N;MASC;SG	PROPN
fija	perbaikan	fijo	perbaikan	ADJ;FEM;SG	N;SG
alegría	joy	alegría	joy	N;FEM;SG	PROPN
alegría	cheer	alegría	cheer	N;FEM;SG	PROPN
alegría	bersorak	alegría	bersorak	N;FEM;SG	V;SG;ACT
alegría	bergembiralah	alegría	bergembiralah	N;FEM;SG	V;SG;ACT
luxemburgo	luksemburg	luxemburgo	luksemburg	N;MASC;SG	PROPN
luxemburgo	luksemburg	luxemburgo	luksemburg	N;MASC;SG	PROPN
luxemburgo	luxembourg	luxemburgo	luxembourg	N;MASC;SG	PROPN
prusia	prusia	prusia	prusia	N;FEM;SG	PROPN
prusia	prg	prusia	prg	N;FEM;SG	PROPN
declaraciones	deklarasi	declaración	deklarasi	N;FEM;PL	N;SG
cross	salib	cross	salib	N	PROPN;SG
cross	cross	cross	cross	N	PROPN
ron	ron	ron	ron	N;MASC;SG	PROPN
ron	rum	ron	rum	N;MASC;SG	PROPN
estrada	estrada	estrada	estrada	N;SG	PROPN
vital	vital	vital	vital	ADJ;SG	N
phoenix	phoenix	phoenix	phoenix	N;MASC;SG	PROPN
semi	semi	semi	semi		PROPN
maine	maine	maine	maine	N;MASC;SG	PROPN
varsovia	warsawa	varsovia	warsawa	N;FEM;SG	PROPN
vinos	arak	vino	arak	N;MASC;PL	N;SG
vinos	anggur	vino	anggur	N;MASC;PL	N;SG
vinos	wine	vino	wine	N;MASC;PL	PROPN
nominada	dinominasikan	nominado	dinominasikan	ADJ;FEM;SG;V.PTCP	V;SG;PASS
nominada	nominasi	nominado	nominasi	ADJ;FEM;SG;V.PTCP	N;SG
denuncia	lapor	denuncia	lapor	N;FEM;SG	V;SG;ACT
denuncia	laporkan	denuncia	laporkan	N;FEM;SG	V;SG;ACT
denuncia	melaporkan	denuncia	menlaporkan	N;FEM;SG	V;SG;ACT
frutas	buah	fruta	buah	N;FEM;PL	N;SG
frutas	buah	fruta	buah	N;FEM;PL	N;SG
periodos	periode	periodo	periode	N;MASC;PL	N;SG
obtenidos	diperoleh	obtenido	diperoleh	ADJ;MASC;PL;V.PTCP	V;SG;PASS
graham	graham	graham	graham	PROPN	PROPN
duquesa	duchess	duquesa	duchess	N;FEM;SG	PROPN
delito	crime	delito	crime	N;MASC;SG	PROPN
metales	logam	metal	logam	N;MASC;PL	N;SG
metales	logam	metal	logam	N;MASC;PL	N;SG
renfe	renfe	renfe	renfe	N;FEM;SG	PROPN
golf	golf	golf	golf	N;MASC	PROPN
creencias	kepercayaan	creencia	kepercayaan	N;FEM;PL	N;SG
creencias	keyakinan	creencia	keyakinan	N;FEM;PL	N;SG
creencias	kepercayaan	creencia	kepercayaan	N;FEM;PL	N;SG
creencias	keyakinan	creencia	keyakinan	N;FEM;PL	N;SG
sucre	sucre	sucre	sucre	N;MASC;SG	PROPN
baltimore	baltimore	baltimore	baltimore	N;MASC;SG	PROPN
stars	stars	star	stars	N	PROPN
party	party	party	party	N	PROPN
party	berpesta	party	berpesta	N	V;SG;ACT
norman	norman	normar	norman	N;MASC;SG	PROPN
humberto	humberto	humberto	humberto	PROPN	PROPN
humberto	humbert	humberto	humbert	PROPN	PROPN
humberto	umberto	humberto	umberto	PROPN	PROPN
humberto	hubert	humberto	hubert	PROPN	PROPN
conexiones	koneksi	conexión	koneksi	N;FEM;PL	N;SG
aurora	aurora	aurora	aurora	N;FEM;SG	PROPN;SG
australiana	australian	australiano	australian	ADJ;FEM;SG	PROPN
australiana	australia	australiano	australia	ADJ;FEM;SG	PROPN;SG
ámsterdam	amsterdam	ámsterdam	amsterdam	N;MASC;SG	PROPN
potosí	potosí	potosí	potosí	N;MASC;PL	PROPN
constituyente	konstituen	constituyente	konstituen	ADJ;SG	PROPN
convertir	konversi	convertir	konversi	V;NFIN	N;SG
llanura	plain	llanura	plain	N;FEM;SG	PROPN
llanura	polos	llanura	polos	N;FEM;SG	PROPN;SG
llanura	plains	llanura	plains	N;FEM;SG	PROPN
levantamiento	mengangkat	levantamiento	menangkat	N;MASC;SG	V;SG;ACT
levantamiento	mengangkatnya	levantamiento	menangkat	N;MASC;SG	V;SG;ACT
levantamiento	mengangkat	levantamiento	menangkat	N;MASC;SG	V;SG;ACT
desea	wish	desear	wish	V;IND;SG;3;PRS;FIN	PROPN
thompson	thompson	thompson	thompson	N;MASC;SG	PROPN
jay	jay	jayto	jay	PROPN	PROPN
placas	pelat	placa	pelat	N;FEM;PL	N;SG
placas	badge	placa	badge	N;FEM;PL	PROPN
placas	lencana	placa	lencana	N;FEM;PL	N;SG
placas	piring	placa	piring	N;FEM;PL	N;SG
placas	pelat	placa	pelat	N;FEM;PL	N;SG
estructural	struktur	estructural	struktur	ADJ;SG	N;SG
estructural	struktural	estructural	struktural	ADJ;SG	N;SG
culpa	menyalahkan	culpa	mensalahkan	N;FEM;SG	V;SG;ACT
culpa	salahkan	culpa	salahkan	N;FEM;SG	V;SG;ACT
concejales	councillors	concejal	councillors	N;MASC;PL	PROPN
singapur	singapura	singapur	singapura	N;MASC;SG	PROPN;SG
singapur	singapore	singapur	singapore	N;MASC;SG	PROPN
secreta	rahasia	secreto	rahasia	ADJ;FEM;SG	N;SG
secreta	secret	secreto	secret	ADJ;FEM;SG	PROPN
comerciantes	pedagang	comerciante	pedagang	N;PL	N;SG
comerciantes	pedagang	comerciante	pedagang	N;PL	N;SG
comerciantes	pedagang	comerciante	pedagang	N;PL	N;SG
comerciantes	dealer	comerciante	dealer	N;PL	PROPN
comerciantes	pengedar	comerciante	penkedar	N;PL	N;SG
meseta	mesa	meseta	mesa	N;FEM;SG	PROPN
hamburgo	hamburg	hamburgo	hamburg	N;MASC;SG	PROPN
ordenado	terurut	ordenado	terurut	ADJ;MASC;SG;V.PTCP	N;SG;PASS
ordenado	dipesan	ordenado	dipesan	ADJ;MASC;SG;V.PTCP	V;SG;PASS
ordenado	memerintahkan	ordenado	menperintahkan	ADJ;MASC;SG;V.PTCP	V;SG;ACT
ordenado	tertib	ordenado	tertib	ADJ;MASC;SG;V.PTCP	N;SG
pereira	pereira	pereira	pereira	N;MASC;SG	PROPN
proporción	proporsional	proporción	proporsional	N;FEM;SG	ADJ;SG
asociada	dikaitkan	asociado	dikaitkan	ADJ;FEM;SG;V.PTCP	V;SG;PASS
asociada	diasosiasikan	asociado	diasosiasikan	ADJ;FEM;SG;V.PTCP	V;SG;PASS
asociada	terkait	asociado	terkait	ADJ;FEM;SG;V.PTCP	V;SG;PASS
asociada	mempersekutukan	asociado	menpersekutukan	ADJ;FEM;SG;V.PTCP	V;SG;ACT
asociada	kaitkan	asociado	kaitkan	ADJ;FEM;SG;V.PTCP	V;SG;ACT
asociada	mengaitkan	asociado	menaitkan	ADJ;FEM;SG;V.PTCP	V;SG;ACT
asociada	hubungkan	asociado	hubungkan	ADJ;FEM;SG;V.PTCP	V;SG;ACT
fiat	fiat	fiat	fiat	N;MASC;SG	PROPN
estimada	perkiraan	estimar	perkiraan	ADJ;FEM;SG;V.PTCP	N;SG
estimada	estimasi	estimar	estimasi	ADJ;FEM;SG;V.PTCP	N
correa	correa	correa	correa	N;FEM;SG	PROPN
colaborar	kolaborasi	colaborar	kolaborasi	V;NFIN	N;SG
colaborar	kolaborasi	colaborar	kolaborasi	V;NFIN	N;SG
episcopal	keuskupan	episcopal	keuskupan	ADJ;SG	N;SG
circuitos	sirkuit	circuito	sirkuit	N;MASC;PL	N;SG
circuitos	circuit	circuito	circuit	N;MASC;PL	PROPN
circuitos	sirkuit	circuito	sirkuit	N;MASC;PL	N;SG
concacaf	concacaf	concacaf	concacaf	N;FEM;SG	PROPN
auxiliar	pembantu	auxiliar	penbantu	V;NFIN	N;SG
auxiliar	asisten	auxiliar	asisten	V;NFIN	N;SG
auxiliar	auxiliary	auxiliar	auxiliary	V;NFIN	PROPN
minería	menambang	minería	mentambang	N;FEM;SG	V;SG;ACT
corteza	menggonggong	corteza	mengonggong	N;FEM;SG	V;SG;ACT
corteza	cortex	corteza	cortex	N;FEM;SG	PROPN
anónimo	anonim	anónimo	anonim	ADJ;MASC;SG	PROPN
anónimo	ikang	anónimo	ikang	ADJ;MASC;SG	PROPN;SG
anónimo	anonymous	anónimo	anonymous	ADJ;MASC;SG	N
auge	booming	auge	booming	N;MASC;SG	PROPN
auge	boom	auge	boom	N;MASC;SG	PROPN
auge	bum	auge	bum	N;MASC;SG	PROPN
encargo	order	encargo	order	N;MASC;SG	PROPN
