در	porte	در	porte	ADP	N;FEM;SG
دست	hand	دست	hand	N;SG	PROPN
های	hai	ها	hai	N;PL	PROPN
های	haï	ها	haïr	N;PL	V;MASC;SG;PST;V.PTCP
توابع	fonctions	توابع	fonction	N;SG	N;FEM;PL
کتاب	réserver	کتاب	réserver	N;SG	V;NFIN
کتاب	ouvrages	کتاب	ouvrage	N;SG	N;MASC;PL
کتاب	livres	کتاب	livre	N;SG	N;MASC;PL
آلمان	allemands	آلمان	allemand	N;SG	ADJ;MASC;PL
آلمان	allemande	آلمان	allemand	N;SG	ADJ;FEM;SG
آلمان	allemagne	آلمان	allemagne	N;SG	PROPN
سطح	niveaux	سطح	niveau	N;SG	N;MASC;PL
اصلی	main	اصلی	main	ADJ	N;FEM;SG
میلاد	milad	میلاد	milad	N;SG	PROPN
المپیک	olympic	المپیک	olympic	N;SG	PROPN
المپیک	olympique	المپیک	olympique	N;SG	ADJ;MASC;SG
المپیک	olympiques	المپیک	olympique	N;SG	ADJ;MASC;PL
المپیک	olympiades	المپیک	olympiad	N;SG	N;FEM;PL
المپیک	olympiques	المپیک	olympique	N;SG	ADJ;MASC;PL
سه	three	سه	three	NUM	PROPN
دارای	renommée	دارا	renommer	ADJ	V;FEM;SG;PST;V.PTCP
دارای	renommés	دارا	renommé	ADJ	V;MASC;PL;PST;V.PTCP
دارای	renommé	دارا	renommer	ADJ	V;MASC;SG;PST;V.PTCP
مرکزی	centrée	مرکزی	centrer	ADJ	V;FEM;SG;PST;V.PTCP
مرکزی	centré	مرکزی	centrer	ADJ	V;MASC;SG;PST;V.PTCP
مرکزی	centrés	مرکزی	centrer	ADJ	V;MASC;PL;PST;V.PTCP
مرکزی	centrer	مرکزی	centrer	ADJ	V;NFIN
مرکزی	centrées	مرکزی	centré	ADJ	V;FEM;PL;PST;V.PTCP
مرکزی	centrée	مرکزی	centrer	ADJ	V;FEM;SG;PST;V.PTCP
مرکزی	centré	مرکزی	centrer	ADJ	V;MASC;SG;PST;V.PTCP
زنده	vivant	زنده	vivre	ADJ	V;PRS;V.PTCP
زنده	alive	زنده	alive	ADJ	N;MASC;SG
فارسی	perse	فارسی	perse	N;SG	PROPN
فارسی	perses	فارسی	perse	N;SG	N;MASC;PL
بین	bean	بین	bean	ADP	PROPN
بین	haricot	بین	haricot	ADP	N;MASC;SG
بین	haricots	بین	haricot	ADP	N;MASC;PL
موسیقی	musiques	موسیقی	musique	N;SG	N;FEM;PL
بیشتر	most	بیش	most	ADJ;CMPR	PROPN
بیشتر	davantage	بیش	davantage	ADJ;CMPR	ADV
بیشتر	plus	بیش	plus	ADJ;CMPR	ADV
جنوبی	méridional	جنوبی	méridional	N;SG	ADJ;MASC;SG
جنوبی	méridionale	جنوبی	méridional	N;SG	ADJ;FEM;SG
جنوبی	méridional	جنوبی	méridional	N;SG	ADJ;MASC;SG
روز	diurne	روز	diurne	N;SG	ADJ;MASC;SG
مرگ	death	مرگ	death	N;SG	PROPN
مرگ	mort	مرگ	mourir	N;SG	V;MASC;SG;PST;V.PTCP
داد	dodd	داد#ده	dodd	V;SG;3;PST	PROPN
بسیار	tres	بسیار	tre	ADV	ADJ;MASC;SG
بسیار	nombreux	بسیار	nombreux	ADV	ADJ;MASC;PL
بسیار	nombreuses	بسیار	nombreux	ADV	ADJ;FEM;PL
بسیار	plusieurs	بسیار	plusieurs	ADV	PRO;PL
بسیار	much	بسیار	much	ADV	INTJ
بزرگ	big	بزرگ	big	ADJ	INTJ
اروپا	europa	اروپا	europa	N;SG	PROPN
روستایی	rurales	روستایی	rural	N;SG	ADJ;FEM;PL
روستایی	ruraux	روستایی	rural	N;SG	ADJ;MASC;PL
روستایی	rurale	روستایی	rural	N;SG	ADJ;FEM;SG
روستایی	rural	روستایی	rural	N;SG	ADJ;MASC;SG
روستایی	villageois	روستایی	villageois	N;SG	N;MASC;PL
روستایی	paysanne	روستایی	paysan	N;SG	ADJ;FEM;SG
آمار	statistiques	آمار	statistique	N;SG	N;FEM;PL
آمار	statistique	آمار	statistique	N;SG	ADJ;MASC;SG
زاده	naître	زاده	naître	N;SG	V;NFIN
زاده	né	زاده	naître	N;SG	V;MASC;SG;PST;V.PTCP
زاده	née	زاده	naître	N;SG	V;FEM;SG;PST;V.PTCP
زاده	born	زاده	born	N;SG	PROPN
محمد	mohammad	محمد	mohammad	N;SG	PROPN
محمد	muhammad	محمد	muhammad	N;SG	PROPN
محمد	mohamed	محمد	mohamed	N;SG	PROPN
بریتانیا	britanniques	None	britannique	N;SG	ADJ;MASC;PL
بریتانیا	britannique	None	britannique	N;SG	ADJ;MASC;SG
بریتانیا	britannia	None	britannia	N;SG	PROPN
مانند	comme	مانند	comme	ADV	ADP
مانند	aime	مانند	aimer	ADV	V;IND;SG;3;PRS;FIN
مانند	aiment	مانند	aimer	ADV	V;IND;PL;3;PRS;FIN
مانند	genre	مانند	genre	ADV	N;MASC;SG
مانند	aimez	مانند	aimer	ADV	V;IMP;PL;2;PRS;FIN
چند	peu	چند	peu	ADJ	ADV
شمالی	septentrionale	شمالی	septentrional	N;SG	ADJ;FEM;SG
شمالی	nordique	شمالی	nordique	N;SG	ADJ;MASC;SG
شمالی	septentrional	شمالی	septentrional	N;SG	ADJ;MASC;SG
شمالی	northern	شمالی	northern	N;SG	PROPN
شمالی	carolina	شمالی	carolina	N;SG	PROPN
آب	eaux	آب	eau	N;SG	N;FEM;PL
خورشیدگرفتگی	éclipsé	خورشیدگرفتگی	éclipser	N;SG	V;MASC;SG;PST;V.PTCP
ایرانی	perse	ایرانی	perse	N;SG	PROPN
ایرانی	perses	ایرانی	perse	N;SG	N;MASC;PL
ایرانی	irani	ایرانی	irani	N;SG	PROPN
ایرانی	iraniennes	ایرانی	iranien	N;SG	ADJ;FEM;PL
ایرانی	iranienne	ایرانی	iranien	N;SG	ADJ;FEM;SG
ایرانی	iranien	ایرانی	iranien	N;SG	ADJ;MASC;SG
اطلاعات	info	اطلاع	info	N;PL	N;MASC;SG
اطلاعات	information	اطلاع	information	N;PL	N;FEM;SG
ایجاد	créer	ایجاد	créer	N;SG	V;NFIN
ایجاد	créez	ایجاد	créer	N;SG	V;IMP;PL;2;PRS;FIN
ایجاد	crée	ایجاد	créer	N;SG	V;FEM;SG;PST;V.PTCP
ایجاد	créent	ایجاد	créer	N;SG	V;IND;PL;3;PRS;FIN
ایجاد	créer	ایجاد	créer	N;SG	V;NFIN
ایجاد	construire	ایجاد	construire	N;SG	V;NFIN
مالک	malik	مالک	malik	N;SG	PROPN
نوع	taper	نوع	taper	N;SG	V;NFIN
نوع	tapez	نوع	tape	N;SG	V;IMP;PL;2;PRS;FIN
مردم	gens	مردم	gens	N;SG	N;MASC;PL
مردم	personnes	مردم	personne	N;SG	N;FEM;PL
دلیل	raisons	دلیل	raison	N;SG	N;FEM;PL
دور	far	دور	far	ADP	N;MASC;SG
دور	loin	دور	loin	ADP	ADV
دور	loin	دور	loin	ADP	ADV
اولین	evelyn	اولین	evelyn	ADJ;RL	PROPN
اولین	evelyne	اولین	evelyne	ADJ;RL	N;FEM;SG
مربوط	lié	مربوط	lier	ADJ	V;MASC;SG;PST;V.PTCP
مربوط	liés	مربوط	lier	ADJ	V;MASC;PL;PST;V.PTCP
بار	charger	بار	charger	N;SG	V;NFIN
بار	barr	بار	barr	N;SG	PROPN
شما	tu	شما	il	PRO;PL;2	PRO;SG;2
شما	toi	شما	soi	PRO;PL;2	PRO;SG;2
شما	you	شما	you	PRO;PL;2	PRO;SG;2
شما	votre	شما	son	PRO;PL;2	DET;MASC;SG
شما	vos	شما	son	PRO;PL;2	DET;MASC;PL
برابر	égales	برابر	égal	ADP	ADJ;FEM;PL
برابر	égaux	برابر	égal	ADP	ADJ;MASC;PL
برابر	égal	برابر	égal	ADP	ADJ;MASC;SG
برابر	égale	برابر	égal	ADP	ADJ;FEM;SG
برابر	égale	برابر	égal	ADP	ADJ;FEM;SG
برابر	égaux	برابر	égal	ADP	ADJ;MASC;PL
برابر	égales	برابر	égal	ADP	ADJ;FEM;PL
برابر	égal	برابر	égal	ADP	ADJ;MASC;SG
تولید	génère	تولید	générer	N;SG	V;IND;SG;3;PRS;FIN
تولید	générer	تولید	générer	N;SG	V;NFIN
تپه	hill	تپه	hill	N;SG	PROPN
تنها	seul	تنها	seul	ADV	ADJ;MASC;SG
تنها	seuls	تنها	seul	ADV	ADJ;MASC;PL
تنها	seule	تنها	seul	ADV	ADJ;FEM;SG
تنها	seul	تنها	seul	ADV	ADJ;MASC;SG
تنها	seule	تنها	seul	ADV	ADJ;FEM;SG
تنها	solitude	تنها	solitude	ADV	N;FEM;SG
تنها	solitaire	تنها	solitaire	ADV	ADJ;MASC;SG
تنها	solitaires	تنها	solitaire	ADV	ADJ;MASC;PL
علی	ali	علی	ali	N;SG	PROPN
شرقی	orientale	شرقی	oriental	N;SG	ADJ;FEM;SG
شرقی	est	شرقی	être	N;SG	V;IND;SG;3;PRS;FIN
شرقی	orientale	شرقی	oriental	N;SG	ADJ;FEM;SG
شرقی	orientales	شرقی	oriental	N;SG	ADJ;FEM;PL
شرقی	oriental	شرقی	oriental	N;SG	ADJ;MASC;SG
شرقی	orientaux	شرقی	oriental	N;SG	ADJ;MASC;PL
شرقی	orientale	شرقی	oriental	N;SG	ADJ;FEM;SG
شرقی	oriental	شرقی	oriental	N;SG	ADJ;MASC;SG
یونسکو	sites	یونسکو	site	N;SG	N;MASC;PL
میان	mian	میان	mian	ADP	PROPN
جهان	mondial	جهان	mondial	N;SG	ADJ;MASC;SG
جهان	mondiale	جهان	mondial	N;SG	ADJ;FEM;SG
جهان	jahan	جهان	jahan	N;SG	PROPN
جام	cup	جام	cup	N;SG	PROPN
ها	huh	None	huh	N;SG	
ها	hmmm	None	hmmm	N;SG	INTJ
کشف	découvert	کشف	découvrir	N;SG	V;MASC;SG;PST;V.PTCP
کشف	découverts	کشف	découvrir	N;SG	V;MASC;PL;PST;V.PTCP
کشف	découvertes	کشف	découvrir	N;SG	V;FEM;PL;PST;V.PTCP
کشف	découvrez	کشف	découvrir	N;SG	V;IMP;PL;2;PRS;FIN
کشف	découverte	کشف	découvrir	N;SG	V;FEM;SG;PST;V.PTCP
کشف	découvrir	کشف	découvrir	N;SG	V;NFIN
کشف	découverte	کشف	découvrir	N;SG	V;FEM;SG;PST;V.PTCP
کشف	découvertes	کشف	découvrir	N;SG	V;FEM;PL;PST;V.PTCP
کشف	discovery	کشف	discovery	N;SG	PROPN
حذف	supprimant	حذف	supprimer	N;SG	V;PRS;V.PTCP
حذف	supprimer	حذف	supprimer	N;SG	V;NFIN
حذف	enlever	حذف	enlever	N;SG	V;NFIN
حذف	retirer	حذف	retirer	N;SG	V;NFIN
حذف	enlèvent	حذف	enlever	N;SG	V;IND;PL;3;PRS;FIN
حذف	supprimez	حذف	supprimer	N;SG	V;IMP;PL;2;PRS;FIN
حذف	supprimer	حذف	supprimer	N;SG	V;NFIN
حذف	supprimez	حذف	supprimer	N;SG	V;IMP;PL;2;PRS;FIN
حذف	supprime	حذف	supprimer	N;SG	V;IND;SG;3;PRS;FIN
حذف	effacer	حذف	effacer	N;SG	V;NFIN
تلویزیونی	téléviseur	تلویزیونی	téléviseur	ADJ	N;MASC;SG
تلویزیونی	télévision	تلویزیونی	télévision	ADJ	N;FEM;SG
تلویزیونی	télé	تلویزیونی	télé	ADJ	N;FEM;SG
غربی	occident	غربی	occident	ADJ	N;MASC;SG
غربی	ouest	غربی	ouest	ADJ	N;MASC;SG
غربی	west	غربی	west	ADJ	PROPN
غربی	ouest	غربی	ouest	ADJ	N;MASC;SG
غربی	western	غربی	western	ADJ	N;MASC;SG
گرفته	prises	گرفت#گیر	prendre	V;SG;3;V.PTCP	V;FEM;PL;PST;V.PTCP
گرفته	taken	گرفت#گیر	taken	V;SG;3;V.PTCP	N;MASC;SG
دوران	périodes	دوره	période	N;SG	N;FEM;PL
دوران	era	دوره	era	N;SG	PROPN
شامل	incluses	شامل	inclure	ADJ	V;FEM;PL;PST;V.PTCP
شامل	inclus	شامل	inclure	ADJ	V;MASC;SG;PST;V.PTCP
شامل	incluse	شامل	inclure	ADJ	V;FEM;SG;PST;V.PTCP
شامل	compris	شامل	comprendre	ADJ	V;MASC;SG;PST;V.PTCP
شامل	incluent	شامل	inclure	ADJ	V;IMP;PL;1;PRS;FIN
شامل	inclure	شامل	inclure	ADJ	V;NFIN
شامل	comprennent	شامل	comprendre	ADJ	V;IND;PL;3;PRS;FIN
شامل	inclut	شامل	inclure	ADJ	V;IND;SG;3;PRS;FIN
شامل	inclut	شامل	inclure	ADJ	V;IND;SG;3;PRS;FIN
شامل	comprend	شامل	comprendre	ADJ	V;IND;SG;3;PRS;FIN
شدن	devenant	شدن	devenir	N;SG	V;PRS;V.PTCP
شدن	devenir	شدن	devenir	N;SG	V;NFIN
شدن	obtenir	شدن	obtenir	N;SG	V;NFIN
بهترین	best	به	best	ADJ;RL	PROPN
دولت	gouvernements	دولت	gouvernement	N;SG	N;MASC;PL
همراه	mobile	همراه	mobile	ADP	ADJ;MASC;SG
همراه	portable	همراه	portable	ADP	ADJ;MASC;SG
همراه	accompagné	همراه	accompagner	ADP	V;MASC;SG;PST;V.PTCP
همراه	accompagnée	همراه	accompagner	ADP	V;FEM;SG;PST;V.PTCP
همراه	accompagnées	همراه	accompagner	ADP	V;FEM;PL;PST;V.PTCP
همراه	accompagnés	همراه	accompagner	ADP	V;MASC;PL;PST;V.PTCP
همراه	conjonction	همراه	conjonction	ADP	N;FEM;SG
همراه	accompagnement	همراه	accompagnement	ADP	N;MASC;SG
همراه	accompagnant	همراه	accompagner	ADP	V;PRS;V.PTCP
همراه	accompagner	همراه	accompagner	ADP	V;NFIN
چپ	gauche	چپ	gauche	N;SG	ADJ;MASC;SG
ایتالیا	italia	ایتالیا	italier	N;SG	PROPN
ایتالیا	italie	ایتالیا	italie	N;SG	PROPN
ایتالیا	italiennes	ایتالیا	italien	N;SG	ADJ;FEM;PL
ایتالیا	italienne	ایتالیا	italien	N;SG	ADJ;FEM;SG
ایتالیا	italien	ایتالیا	italien	N;SG	ADJ;MASC;SG
ایتالیا	italiens	ایتالیا	italien	N;SG	ADJ;MASC;PL
صفحه	pages	صفحه	page	N;SG	N;FEM;PL
تحت	under	تحت	under	ADP	PROPN
آغاز	démarrer	آغاز	démarrer	N;SG	V;NFIN
آغاز	commencer	آغاز	commencer	N;SG	V;NFIN
آغاز	démarrer	آغاز	démarrer	N;SG	V;NFIN
ویکی	vicky	ویکی	vicky	N;SG	PROPN
راه	way	راه	way	N;SG	V
کشتی	navires	کشتی	navire	N;SG	N;MASC;PL
کشتی	vaisseaux	کشتی	vaisseau	N;SG	N;MASC;PL
کشتی	lutter	کشتی	lutter	N;SG	V;NFIN
بودند	étaient	بود	être	V;PL;3;PST	V;IND;PL;3;IPFV;FIN
بن	ben	بن	ben		N;MASC;SG
همه	toute	همه	tout	PRO	DET;FEM;SG
همه	all	همه	all	PRO	
کوچک	peu	کوچک	peu	ADJ	ADV
کوچک	mineur	کوچک	mineur	ADJ	N;MASC;SG
ژاپن	japon	ژاپن	japon	N;SG	PROPN
رسمی	fonctionnaire	رسمی	fonctionnaire	ADJ	N;MASC;SG
ماه	lunaire	ماه	lunaire	N;SG	ADJ;MASC;SG
ماه	moon	ماه	moon	N;SG	PROPN
اوت	aug	اوت	aug	N;SG	
هزار	millier	هزار	millier	NUM	N;MASC;SG
هزار	milliers	هزار	millier	NUM	N;MASC;PL
تابستانی	eté	تابستانی	être	N;SG	PROPN
تابستانی	été	تابستانی	être	N;SG	V;MASC;SG;PST;V.PTCP
چون	parce	چون	parce	CONJ	ADV
چون	car	چون	car	CONJ	CONJ
چون	parceque	چون	parceque	CONJ	
تغییر	changeant	تغییر	changer	N;SG	V;PRS;V.PTCP
تغییر	changer	تغییر	changer	N;SG	V;NFIN
تغییر	modifiez	تغییر	modifier	N;SG	V;IMP;PL;2;PRS;FIN
تغییر	modifier	تغییر	modifier	N;SG	V;NFIN
تغییر	modifier	تغییر	modifier	N;SG	V;NFIN
تغییر	changements	تغییر	changement	N;SG	N;MASC;PL
تغییر	changer	تغییر	changer	N;SG	V;NFIN
شکل	façonné	شکل	façonner	N;SG	V;MASC;SG;PST;V.PTCP
شکل	façonnés	شکل	façonné	N;SG	V;MASC;PL;PST;V.PTCP
شکل	façonnée	شکل	façonné	N;SG	V;FEM;SG;PST;V.PTCP
درخواست	demander	درخواست	demander	N;SG	V;NFIN
درخواست	demandez	درخواست	demander	N;SG	V;IMP;PL;2;PRS;FIN
کیلومتر	kilomètres	کیلومتر	kilomètre	N;SG	N;MASC;PL
کیلومتر	kilomètres	کیلومتر	kilomètre	N;SG	N;MASC;PL
شهری	urbain	شهر	urbain	N;SG	ADJ;MASC;SG
شهری	urbaines	شهر	urbain	N;SG	ADJ;FEM;PL
شهری	urbains	شهر	urbain	N;SG	ADJ;MASC;PL
شهری	municipales	شهر	municipale	N;SG	ADJ;FEM;PL
شهری	municipale	شهر	municipal	N;SG	ADJ;FEM;SG
شهری	municipaux	شهر	municipal	N;SG	ADJ;MASC;PL
شهری	villes	شهر	ville	N;SG	N;FEM;PL
روسیه	russes	روسیه	russe	N;SG	ADJ;MASC;PL
روسیه	russe	روسیه	russe	N;SG	ADJ;MASC;SG
روسیه	russie	روسیه	russie	N;SG	PROPN
شاه	king	شاه	king	N;SG	PROPN
شاه	shah	شاه	shah	N;SG	PROPN
جنوب	méridional	جنوب	méridional	N;SG	ADJ;MASC;SG
جنوب	méridionale	جنوب	méridional	N;SG	ADJ;FEM;SG
جنوب	méridional	جنوب	méridional	N;SG	ADJ;MASC;SG
طور	monter	طور	monter	N;SG	V;NFIN
طور	tur	طور	tur	N;SG	
تشکیل	formés	تشکیل	former	N;SG	V;MASC;PL;PST;V.PTCP
