در	deur	در	deur	ADP	N;MASC+FEM;SG
انگلستان	engeland	انگلستان	engeland	N;SG	PROPN;NEUT;SG
انگلستان	england	انگلستان	england	N;SG	
بیشتر	meesten	بیش	veel	ADJ;CMPR	PRO
بیشتر	most	بیش	mosten	ADJ;CMPR	
بیشتر	meeste	بیش	veel	ADJ;CMPR	PRO
بیشتر	meest	بیش	veel	ADJ;CMPR	PRO
بیشتر	more	بیش	more	ADJ;CMPR	
بیشتر	meer	بیش	veel	ADJ;CMPR	PRO
جنوبی	zuidelijk	جنوبی	zuidelijk	N;SG	ADJ
جنوبی	zuid	جنوبی	zuid	N;SG	ADJ
روز	overdag	روز	overdag	N;SG	ADV
مرگ	dood	مرگ	dood	N;SG	ADJ
مرگ	doods	مرگ	doods	N;SG	ADJ
مرگ	overlijden	مرگ	overlijden	N;SG	V;NFIN
داد	dodd	داد#ده	dodd	V;SG;3;PST	N;MASC+FEM;SG
آمریکایی	amerikaan	آمریکایی	amerikaan	ADJ	N;MASC+FEM;SG
بسیار	veel	بسیار	veel	ADV	PRO
بسیار	velen	بسیار	veel	ADV	PRO
بسیار	vele	بسیار	veel	ADV	PRO
بسیار	veel	بسیار	veel	ADV	PRO
بسیار	much	بسیار	much	ADV	
بزرگ	large	بزرگ	larg	ADJ	
بزرگ	big	بزرگ	big	ADJ	N;MASC+FEM;SG
آمار	statistieken	آمار	statistiek	N;SG	N;PL
زاده	geboren	زاده	geboren	N;SG	V;V.PTCP
بریتانیا	britten	None	brit	N;SG	N;PL
بریتانیا	britse	None	brits	N;SG	ADJ
بریتانیا	brits	None	brits	N;SG	ADJ
مانند	zoals	مانند	zoals	ADV	CONJ
مانند	like	مانند	lik	ADV	
چند	weinigen	چند	weinig	ADJ	PRO
چند	paar	چند	paar	ADJ	N;NEUT;SG
چند	weinig	چند	weinig	ADJ	PRO
چند	multi	چند	multi	ADJ	N;MASC+FEM;SG
ایرانی	perzisch	ایرانی	perzisch	N;SG	ADJ
ایرانی	perzische	ایرانی	perzisch	N;SG	ADJ
ایرانی	iraanse	ایرانی	iraans	N;SG	ADJ
ایرانی	iraans	ایرانی	iraans	N;SG	ADJ
اطلاعات	info	اطلاع	info	N;PL	N;MASC+FEM;SG
اطلاعات	informatie	اطلاع	informatie	N;PL	N;MASC+FEM;SG
ایجاد	creëren	ایجاد	creer	N;SG	V;NFIN
ایجاد	aanmaken	ایجاد	aanmaken	N;SG	V;NFIN
ایجاد	creëer	ایجاد	creëer	N;SG	V;SG;PRS;FIN
ایجاد	maken	ایجاد	maken	N;SG	V;NFIN
ایجاد	creëren	ایجاد	creer	N;SG	V;NFIN
ایجاد	construeren	ایجاد	construeren	N;SG	V;NFIN
نوع	typ	نوع	typ	N;SG	V;SG;PRS;FIN
مردم	mensen	مردم	mens	N;SG	N;PL
مردم	personen	مردم	persoon	N;SG	N;PL
دلیل	veroorzaken	دلیل	veroorzaken	N;SG	V;NFIN
دور	far	دور	far	ADP	
دور	ver	دور	ver	ADP	ADJ
دور	weg	دور	weg	ADP	ADV
اولین	evelyn	اولین	evelyn	ADJ;RL	N;MASC+FEM;SG
مربوط	gerelateerd	مربوط	relateren	ADJ	V;V.PTCP
مربوط	gerelateerde	مربوط	relateren	ADJ	V;V.PTCP
بار	laad	بار	laad	N;SG	V;SG;PRS;FIN
بار	laden	بار	laden	N;SG	V;NFIN
برابر	gelijk	برابر	gelijk	ADP	ADJ
برابر	equal	برابر	equal	ADP	
برابر	gelijke	برابر	gelijk	ADP	ADJ
برابر	gelijken	برابر	gelijken	ADP	V;NFIN
تولید	genereert	تولید	genereren	N;SG	V;SG;PRS;FIN
تولید	genereren	تولید	genereren	N;SG	V;NFIN
تنها	alone	تنها	alone	ADV	
تنها	enkel	تنها	enkel	ADV	PRO
تنها	eenzaamheid	تنها	eenzaamheid	ADV	N;MASC+FEM;SG
تنها	eenzame	تنها	eenzaam	ADV	ADJ
تنها	eenzaam	تنها	eenzaam	ADV	ADJ
شرقی	oosters	شرقی	ooster	N;SG	ADJ
شرقی	oosterse	شرقی	oosters	N;SG	ADJ
شرقی	oostelijk	شرقی	oostelijk	N;SG	ADJ
شرقی	oostelijke	شرقی	oostelijk	N;SG	ADJ
یونسکو	sites	یونسکو	sites	N;SG	N;PL
میان	mian	میان	mian	ADP	N;MASC+FEM;SG
ها	huh	None	huh	N;SG	NUM
ها	hmmm	None	hmmm	N;SG	INTJ
کشف	ontdekte	کشف	ontdekken	N;SG	V;SG;PST;FIN
کشف	ontdekt	کشف	ontdekken	N;SG	V;V.PTCP
کشف	ontdek	کشف	ontdek	N;SG	V;SG;PRS;FIN
کشف	ontdekken	کشف	ontdekken	N;SG	V;NFIN
کشف	ontdekkingen	کشف	ontdekking	N;SG	N;PL
حذف	verwijder	حذف	verwijder	N;SG	V;SG;PRS;FIN
حذف	verwijderen	حذف	verwijderen	N;SG	V;NFIN
حذف	verwijder	حذف	verwijder	N;SG	V;SG;PRS;FIN
حذف	verwijderen	حذف	verwijderen	N;SG	V;NFIN
حذف	doorhalen	حذف	doorhaal	N;SG	V;NFIN
تلویزیونی	televisie	تلویزیونی	televisie	ADJ	N;MASC+FEM;SG
غربی	west	غربی	west	ADJ	N;MASC+FEM;SG
غربی	westen	غربی	westen	ADJ	N;NEUT;SG
غربی	western	غربی	western	ADJ	N;NEUT;SG
دوران	tijdvakken	دوره	tijdvak	N;SG	N;PL
دوران	perioden	دوره	period	N;SG	N;PL
دوران	periodes	دوره	periode	N;SG	N;PL
شامل	inbegrepen	شامل	inbegrip	ADJ	V;V.PTCP
شامل	omvat	شامل	omvatten	ADJ	V;SG;PRS;FIN
شدن	worden	شدن	worden	N;SG	V;PL;PRS;FIN
شدن	krijgen	شدن	krijgen	N;SG	V;PL;PRS;FIN
دولت	staat	دولت	staan	N;SG	V;SG;PRS;FIN
همراه	mobile	همراه	mobil	ADP	N;MASC+FEM;SG
همراه	mobiel	همراه	mobiel	ADP	ADJ
همراه	vergezelde	همراه	vergezellen	ADP	V;SG;PST;FIN
همراه	vergezeld	همراه	vergezellen	ADP	V;V.PTCP
همراه	begeleidende	همراه	begeleiden	ADP	V;V.PTCP
همراه	vergezellen	همراه	vergezellen	ADP	V;NFIN
همراه	begeleidend	همراه	begeleiden	ADP	V;V.PTCP
چپ	linkse	چپ	links	N;SG	ADJ
چپ	linker	چپ	linker	N;SG	ADJ
چپ	links	چپ	links	N;SG	ADJ
ایتالیا	italië	ایتالیا	italië	N;SG	PROPN;NEUT;SG
ایتالیا	italiaanse	ایتالیا	italiaans	N;SG	ADJ
ایتالیا	italiaans	ایتالیا	italiaans	N;SG	ADJ
تحت	under	تحت	under	ADP	
آغاز	start	آغاز	starten	N;SG	V;SG;PRS;FIN
آغاز	starten	آغاز	starten	N;SG	V;NFIN
آغاز	beginnen	آغاز	beginnen	N;SG	V;NFIN
آغاز	beginnend	آغاز	beginnen	N;SG	V;V.PTCP
راه	way	راه	way	N;SG	
کشتی	schepen	کشتی	schip	N;SG	N;PL
کشتی	worstel	کشتی	worstel	N;SG	V;SG;PRS;FIN
کشتی	worstelen	کشتی	worstelen	N;SG	V;NFIN
بودند	waren	بود	zijn	V;PL;3;PST	V;PL;PST;FIN
توجه	opgelet	توجه	opletten	N;SG	V;V.PTCP
بن	ben	بن	zijn		V;SG;PRS;FIN
همه	iedereen	همه	iedereen	PRO	PRO;3
همه	allen	همه	al	PRO	PRO
همه	alle	همه	al	PRO	DET
همه	allemaal	همه	allemaal	PRO	ADV
همه	alles	همه	alles	PRO	PRO;3
همه	iedereen	همه	iedereen	PRO	PRO;3
کوچک	weinig	کوچک	weinig	ADJ	PRO
کوچک	little	کوچک	little	ADJ	
کوچک	minor	کوچک	minor	ADJ	N;MASC+FEM;SG
کوچک	mineur	کوچک	mineur	ADJ	N;MASC+FEM;SG
ژاپن	japan	ژاپن	japan	N;SG	PROPN;NEUT;SG
رسمی	ambtenaar	رسمی	ambtenaar	ADJ	N;MASC+FEM;SG
سپتامبر	september	سپتامبر	september	N;SG	PROPN;MASC+FEM;SG
ماه	maandenlang	ماه	maandenlang	N;SG	ADJ
ماه	maanden	ماه	maanden	N;SG	N;PL
اوت	augustus	اوت	augustus	N;SG	PROPN;MASC+FEM;SG
چون	want	چون	want	CONJ	CONJ
چون	wanneer	چون	wanneer	CONJ	ADV
آوریل	april	None	april	N;SG	PROPN;MASC+FEM;SG
تغییر	veranderen	تغییر	veranderen	N;SG	V;NFIN
تغییر	veranderende	تغییر	veranderen	N;SG	V;V.PTCP
تغییر	aanpassen	تغییر	aanpassen	N;SG	V;NFIN
تغییر	wijzigen	تغییر	wijzigen	N;SG	V;NFIN
تغییر	veranderen	تغییر	veranderen	N;SG	V;NFIN
تغییر	wijzigen	تغییر	wijzigen	N;SG	V;NFIN
تغییر	veranderingen	تغییر	verandering	N;SG	N;PL
مجموعه	verzamelen	مجموعه	verzamelen	N;SG	V;NFIN
سیاسی	politiek	سیاسی	politiek	ADJ	N;MASC+FEM;SG
شکل	form	شکل	form	N;SG	
شکل	gevormd	شکل	vormen	N;SG	V;V.PTCP
مارس	maart	مارس	maart	N;SG	PROPN;MASC+FEM;SG
مارس	marcheren	مارس	marcheren	N;SG	V;NFIN
درخواست	aanvragen	درخواست	aanvragen	N;SG	V;NFIN
درخواست	verzoeken	درخواست	verzoek	N;SG	N;PL
کیلومتر	kilometers	کیلومتر	kilometer	N;SG	N;PL
کیلومتر	kilometers	کیلومتر	kilometer	N;SG	N;PL
گردشگری	toerist	گردشگری	toerist	N;SG	V;SG;PRS;FIN
شهری	stedelijk	شهر	stedelijk	N;SG	ADJ
شهری	stedelijke	شهر	stedelijk	N;SG	ADJ
شهری	gemeentelijk	شهر	gemeentelijk	N;SG	ADJ
شهری	gemeentelijke	شهر	gemeentelijk	N;SG	ADJ
روسیه	russisch	روسیه	russisch	N;SG	ADJ
روسیه	russische	روسیه	russisch	N;SG	ADJ
روسیه	rusland	روسیه	rusland	N;SG	PROPN;NEUT;SG
نخستین	eerst	نخستین	eerst	ADJ;RL	ADV
جنوب	zuidelijk	جنوب	zuidelijk	N;SG	ADJ
جنوب	zuid	جنوب	zuid	N;SG	ADJ
طور	aankoppelen	طور	aankoppelen	N;SG	V;NFIN
طور	tur	طور	tur	N;SG	INTJ
تشکیل	gevormde	تشکیل	vormen	N;SG	V;V.PTCP
تشکیل	gevormd	تشکیل	vormen	N;SG	V;V.PTCP
اکتبر	oktober	اکتبر	oktober	N;SG	PROPN;MASC+FEM;SG
اکتبر	october	اکتبر	october	N;SG	PROPN;MASC+FEM;SG
ژوئن	juni	None	juni	N;SG	PROPN;MASC+FEM;SG
چه	wat	چه	wat	CONJ	PRO;3
امکان	mogelijke	امکان	mogelijk	N;SG	ADJ
امکان	mogelijk	امکان	mogelijk	N;SG	ADJ
سر	hoofden	سر	hoofd	N;SG	N;PL
سر	koppen	سر	kop	N;SG	N;PL
خانه	thuis	خانه	thuis	N;SG	ADV
دسامبر	december	دسامبر	december	N;SG	PROPN;MASC+FEM;SG
هند	india	هند	india	N;SG	PROPN;NEUT;SG
آزاد	free	آزاد	free	ADJ	
چاپ	afdrukken	چاپ	afdrukken	N;SG	V;NFIN
چاپ	drukken	چاپ	drukken	N;SG	V;NFIN
چاپ	printen	چاپ	print	N;SG	V;NFIN
چاپ	afdrukken	چاپ	afdrukken	N;SG	V;NFIN
چاپ	drukken	چاپ	drukken	N;SG	V;NFIN
چاپ	bedrukken	چاپ	bedrukken	N;SG	V;NFIN
چاپ	printen	چاپ	print	N;SG	V;NFIN
علمی	wetenschappen	علمی	wetenschap	N;SG	N;PL
علمی	wetenschappelijk	علمی	wetenschappelijk	N;SG	ADJ
نوامبر	november	نوامبر	november	N;SG	PROPN;MASC+FEM;SG
آسیا	aziatische	آسیا	aziatisch	N;SG	ADJ
آسیا	aziatisch	آسیا	aziatisch	N;SG	ADJ
پایان	beëindigen	پایان	beëindigen	N;SG	V;NFIN
پایان	eindigend	پایان	eindigen	N;SG	V;V.PTCP
علوم	wetenschap	علم	wetenschap	N;PL	N;MASC+FEM;SG
جان	johannes	جان	johanne	N;SG	N;PL
کالیفرنیا	californische	None	californisch	N;SG	ADJ
صنایع	industrie	صنعت	industrie	N;PL	N;MASC+FEM;SG
صنایع	bedrijfstak	صنعت	bedrijfstak	N;PL	N;MASC+FEM;SG
گونه	diersoorten	گونه	diersoort	N;SG	N;PL
گونه	soorten	گونه	soort	N;SG	N;PL
کانادا	canadees	کانادا	canadees	N;SG	ADJ
کانادا	canadese	کانادا	canadees	N;SG	ADJ
اسپانیا	spanje	اسپانیا	spanje	N;SG	PROPN;NEUT;SG
اسپانیا	spaanse	اسپانیا	Spaans	N;SG	ADJ
اسپانیا	spaans	اسپانیا	spaans	N;SG	ADJ
برزیل	brazilië	برزیل	brazilië	N;SG	PROPN;NEUT;SG
برزیل	braziliaanse	برزیل	braziliaans	N;SG	ADJ
برزیل	braziliaans	برزیل	braziliaans	N;SG	ADJ
سبک	lichte	سبک	licht	N;SG	ADJ
سبک	style	سبک	style	N;SG	
بالا	top	بالا	top	ADV;ESS	N;MASC+FEM;SG
بالا	bovenste	بالا	boven	ADV;ESS	ADJ;RL
بالا	bovenkant	بالا	bovenkant	ADV;ESS	N;MASC+FEM;SG
بالا	bala	بالا	bala	ADV;ESS	N;MASC+FEM;SG
وارد	ward	وارد	warden	ADJ	N;MASC+FEM;SG
عضو	donaties	عضو	donatie	N;SG	N;PL
نظامی	militairen	نظام	militair	N;SG	N;PL
نظامی	militair	نظام	militair	N;SG	ADJ
نظامی	militaire	نظام	militair	N;SG	ADJ
هیچ	elke	هیچ	elk	ADV;NEG	DET
چین	china	چین	china	N;SG	PROPN;NEUT;SG
ظاهر	verschijningen	ظاهر	verschijning	N;SG	N;PL
ظاهر	uiterlijk	ظاهر	uiterlijk	N;SG	ADJ
ظاهر	verschijnen	ظاهر	verschijnen	N;SG	V;NFIN
ادامه	doorgaan	ادامه	doorgaan	N;SG	V;NFIN
ادامه	voortzetten	ادامه	voortzetten	N;SG	V;NFIN
ادامه	voortgezet	ادامه	voortzetten	N;SG	V;V.PTCP
درجه	graden	درجه	graad	N;SG	N;PL
درجه	rangschikken	درجه	rangschik	N;SG	V;NFIN
انتخاب	kiezen	انتخاب	kiezen	N;SG	V;NFIN
انتخاب	kies	انتخاب	kiezen	N;SG	V;SG;PRS;FIN
انتخاب	kiezen	انتخاب	kiezen	N;SG	V;NFIN
انتخاب	kies	انتخاب	kiezen	N;SG	V;SG;PRS;FIN
انتخاب	selecteren	انتخاب	select	N;SG	V;NFIN
موجود	bestaand	موجود	bestaan	ADJ	V;V.PTCP
موجود	bestaande	موجود	bestaan	ADJ	V;V.PTCP
دستی	handmatige	دست	handmatig	N;SG	ADJ
دستی	manueel	دست	manueel	N;SG	ADJ
دستی	handmatig	دست	handmatig	N;SG	ADJ
فقط	gewoon	فقط	gewoon	ADV	ADJ
اعلام	verklaarde	اعلام	verklaren	N;SG	V;SG;PST;FIN
اعلام	gedeclareerd	اعلام	declareren	N;SG	V;V.PTCP
اعلام	verklaard	اعلام	verklaren	N;SG	V;V.PTCP
اعلام	opgegeven	اعلام	opgeven	N;SG	V;V.PTCP
اعلام	aangegeven	اعلام	aangeven	N;SG	V;V.PTCP
اعلام	kondig	اعلام	kondigen	N;SG	V;SG;PRS;FIN
اعلام	kondigen	اعلام	kondigen	N;SG	V;NFIN
اعلام	aankondigen	اعلام	aankondigen	N;SG	V;NFIN
نسبت	ratio	نسبت	ratio	ADP	N;MASC+FEM;SG
نسبت	verhouding	نسبت	verhouding	ADP	N;MASC+FEM;SG
مسابقات	toernooi	مسابقه	toernooi	N;PL	N;NEUT;SG
مسابقات	tournament	مسابقه	tournament	N;PL	N;MASC+FEM;SG
مسابقات	tornooi	مسابقه	tornooi	N;PL	N;NEUT;SG
داستان	verslagen	داستان	verslag	N;SG	N;PL
داستان	verhalen	داستان	verhaal	N;SG	N;PL
داستان	verhaaltjes	داستان	verhaal	N;SG	N;PL
سوم	iii	سوم	iii	ADJ	N;MASC+FEM;SG
سوم	third	سوم	third	ADJ	
قانون	rule	قانون	rule	N;SG	
درگذشت	gestorven	در#گذشت#گذر	sterven	N;SG	V;V.PTCP
درگذشت	overleden	در#گذشت#گذر	overlijden	N;SG	V;V.PTCP
درگذشت	stierf	در#گذشت#گذر	sterven	N;SG	V;SG;PST;FIN
علت	veroorzaken	علت	veroorzaken	N;SG	V;NFIN
میلیون	miljoen	میلیون	miljoen	NUM	N;NEUT;SG
کمک	helpen	کمک	helpen	N;SG	V;NFIN
جهت	richtingen	جهت	richting	ADP	N;PL
جهت	routebeschrijving	جهت	routebeschrijving	ADP	N;MASC+FEM;SG
جهت	richting	جهت	richting	ADP	N;MASC+FEM;SG
جهت	oriëntatie	جهت	oriëntatie	ADP	N;MASC+FEM;SG
جهت	oriëntering	جهت	oriëntering	ADP	N;MASC+FEM;SG
هوایی	antenne	هوایی	antenn	ADJ	N;MASC+FEM;SG
هوایی	lucht	هوایی	lucht	ADJ	N;MASC+FEM;SG
نمایش	tonen	نمایش	tonen	N;SG	V;NFIN
نمایش	weergeven	نمایش	weergeven	N;SG	N;PL
آمریکای	amerika	آمریکا	amerika	N;SG	PROPN;NEUT;SG
طراحی	ontwerpen	طراحی	ontwerpen	N;SG	V;NFIN
طراحی	ontwerpen	طراحی	ontwerpen	N;SG	V;NFIN
آموزش	onderwijzen	آموزش	onderwijzen	N;SG	V;NFIN
آموزش	trainen	آموزش	trainen	N;SG	V;NFIN
ویرایش	bewerk	ویرایش	bewerk	N;SG	V;SG;PRS;FIN
ویرایش	bewerken	ویرایش	bewerken	N;SG	V;NFIN
ویرایش	bewerken	ویرایش	bewerken	N;SG	V;NFIN
نمایندگان	afgevaardigden	نماینده	afvaardigen	N;PL	V;V.PTCP
نمایندگان	afgevaardigden	نماینده	afvaardigen	N;PL	V;V.PTCP
نمایندگان	gedelegeerden	نماینده	gedelegeerden	N;PL	V;V.PTCP
بازدید	bezochten	None	bezoeken	N;SG	V;PL;PST;FIN
بازدید	bezocht	None	bezoeken	N;SG	V;V.PTCP
بازدید	bezochte	None	bezoeken	N;SG	V;PST;FIN
بازدید	bezoeken	None	bezoeken	N;SG	V;NFIN
بازدید	bezoeken	None	bezoeken	N;SG	V;NFIN
شیمیایی	chemisch	شیمیایی	chemisch	N;SG	ADJ
شیمیایی	chemicaliën	شیمیایی	chemicaliën	N;SG	N;PL
شبکه	netwerken	شبکه	netwerken	N;SG	N;PL
برنامه	programmeren	برنامه	programmeren	N;SG	V;NFIN
تولد	verjaardagen	تولد	verjaardagen	N;SG	N;PL
تولد	jarig	تولد	jarig	N;SG	ADJ
تبدیل	omzetten	تبدیل	omzetten	N;SG	V;NFIN
تبدیل	bekeren	تبدیل	bekeren	N;SG	V;NFIN
تبدیل	converteren	تبدیل	converteren	N;SG	V;NFIN
