evakuasi	انخلاء	evakuasi	انخلاء	N;SG	PROPN;NOM;MASC;SG;3
ikhlas	ایماندار	ikhlas	ایماندار	N;SG	ADJ
ikhlas	سچّا	ikhlas	سچّا	N;SG	
menular	جذبات	mentular	جذبہ	PROPN;SG;ACT	N;NOM;MASC;PL;3
truck	معاملت	truck	معاملت	PROPN	N;NOM;MASC;SG;3
truck	چلنا	truck	چل	PROPN	V;MASC;SG;NFIN;ACT
truck	ٹہلنا.	truck	ٹہلنا.	PROPN	V;MASC;SG;NFIN;ACT
mentega	خوشامد	mentega	خوشامد	N;SG	PROPN;NOM;MASC;SG;3
mentega	چاپلوسی.	mentega	چاپلوسی.	N;SG	PROPN;NOM;MASC;SG;3
mentega	چکنا	mentega	چکنا	N;SG	V;PFV;MASC;SG;V.PTCP;ACT
halal	درست.	halal	درست.	ADJ;SG	PROPN;NOM;MASC;SG;3
menanjak	کٹھن.	mentanjak	کٹھن.	V;SG;ACT	
menanjak	دشوار	mentanjak	دشوار	V;SG;ACT	ADJ
watt	واٹ	watt	واٹ	PROPN	N;NOM;MASC;SG;3
berlimpah	فراوانی.	berlimpah	فراوانیؤ	V;SG;ACT	PROPN;NOM;MASC;SG;3
berlimpah	دولت	berlimpah	دولت	V;SG;ACT	N;NOM;FEM;SG;3
berlimpah	فراخی.	berlimpah	فراخیؤ	V;SG;ACT	PROPN;NOM;MASC;SG;3
berlimpah	بہتات	berlimpah	بہتات	V;SG;ACT	N;NOM;MASC;SG;3
berlimpah	فراوانی.	berlimpah	فراوانیؤ	V;SG;ACT	PROPN;NOM;MASC;SG;3
berlimpah	دولت	berlimpah	دولت	V;SG;ACT	N;NOM;FEM;SG;3
berlimpah	فراخی.	berlimpah	فراخیؤ	V;SG;ACT	PROPN;NOM;MASC;SG;3
berlimpah	بہتات	berlimpah	بہتات	V;SG;ACT	N;NOM;MASC;SG;3
berlimpah	کثرت	berlimpah	کثرت	V;SG;ACT	N;NOM;MASC;SG;3
berlimpah	فراواں	berlimpah	فراواں	V;SG;ACT	
berlimpah	کثیر	berlimpah	کثیر	V;SG;ACT	
mania	سودا	mania	سودا	N	PROPN;NOM;MASC;SG;3
mania	جنون	mania	جنون	N	PROPN;NOM;MASC;SG;3
genap	یکساں	genap	یکساں		ADJ
genap	بلکہ	genap	بلکہ		CONJ
genap	متحمل.	genap	متحمل.		N
genap	یکساں	genap	یکساں		ADJ
genap	بلکہ	genap	بلکہ		CONJ
genap	ہموار	genap	ہموار		ADJ
genap	متحمل.	genap	متحمل.		N
wake	جگانا.	wake	جگان	PROPN	PROPN;NOM;MASC;SG;3
terkecuali	استثنا	terkecuali	استثنا	V;SG;PASS	N;NOM;MASC;SG;3
mimbar	منبر	mimbar	منبر	N;SG	PROPN;NOM;MASC;SG;3
simpati	اکثربعدہ	simpati	اکثربعدہ	N;SG	ADJ
simpati	ہمدردی.	simpati	ہمدردی.	N;SG	PROPN;NOM;MASC;SG;3
simpati	تعزیت.	simpati	تعزیت.	N;SG	ADJ
framework	ڈھانچا	framework	ڈھانچا	PROPN	
heath	ویران	heath	ویران	PROPN	V;ACT
heath	جھاڑبن.	heath	جھاڑبن.	PROPN	
buster	ساتھی.	buster	ساتھی.	PROPN	PROPN;NOM;MASC;SG;3
buster	جھکّڑ.	buster	جھکّڑ.	PROPN	PROPN;NOM;MASC;SG;3
siput	چُسکی	siput	چُسکی	N;SG	PROPN;NOM;MASC;SG;3
siput	چڑھانا.	siput	چڑھاناؤ	N;SG	PROPN;NOM;MASC;SG;3
siput	بخرہ.	siput	بخرہ.	N;SG	
siput	لوندا	siput	لوندا	N;SG	PROPN;NOM;MASC;SG;3
mater	ماں.	mater	ماں.	PROPN	
bomb	دھوئیں	bomb	دھو	PROPN	V;MASC;PL;FIN;ACT
indoor	داخلی	indoor	داخلی	PROPN	ADJ
indoor	خانگی	indoor	خانگی	PROPN	ADJ
bid	للکارنا.	bid	للکارن	PROPN	V;MASC;SG;NFIN;ACT
bid	کوشش	bid	کوشش	PROPN	N;NOM;FEM;SG;3
mild	کمزور	mild	کمزور	PROPN	ADJ
mild	جوش	mild	جوش	PROPN	N;NOM;MASC;SG;3
mild	سزا	mild	سزا	PROPN	N;NOM;MASC;SG;3
mild	بردبار.	mild	بردبار.	PROPN	PROPN;NOM;MASC;SG;3
mild	بیماری	mild	بیماری	PROPN	N;NOM;FEM;SG;3
mild	دبّو	mild	دبّو	PROPN	PROPN;NOM;MASC;SG;3
mild	ٹھس	mild	ٹھس	PROPN	
mild	کمزور	mild	کمزور	PROPN	ADJ
mild	جوش	mild	جوش	PROPN	N;NOM;MASC;SG;3
mild	ہلکا	mild	ہلکا	PROPN	ADJ;NOM;MASC;SG
mild	سزا	mild	سزا	PROPN	N;NOM;MASC;SG;3
mild	بردبار.	mild	بردبار.	PROPN	PROPN;NOM;MASC;SG;3
mild	بیماری	mild	بیماری	PROPN	N;NOM;FEM;SG;3
mild	دبّو	mild	دبّو	PROPN	PROPN;NOM;MASC;SG;3
mild	ٹھس	mild	ٹھس	PROPN	
tersenyum	روشن	tersenyum	روشن	PROPN;SG	ADJ
tersenyum	مسکرانا	tersenyum	مسکرانا	PROPN;SG	PROPN;NOM;MASC;SG;3
tersenyum	بہلانا.	tersenyum	بہلانا.	PROPN;SG	
tersenyum	out	tersenyum	out	PROPN;SG	
tersenyum	تبسّم	tersenyum	تبسّم	PROPN;SG	PROPN;NOM;MASC;SG;3
tersenyum	مسکراہٹ	tersenyum	مسکراہٹ	PROPN;SG	N;NOM;MASC;SG;3
tersenyum	ہنسی.	tersenyum	ہنسی.	PROPN;SG	PROPN;NOM;MASC;SG;3
tersenyum	خوشنودی	tersenyum	خوشنودی	PROPN;SG	N;NOM;MASC;SG;3
lumbung	کھلیان.	lumbung	کھلیان.	N;SG	PROPN;NOM;MASC;SG;3
lumbung	ڈھنڈار	lumbung	ڈھنڈار	N;SG	PROPN;NOM;MASC;SG;3
gaun	طیلسان.	gaun	طیلسان.	N;SG	PROPN;NOM;MASC;SG;3
gaun	پادری	gaun	پادری	N;SG	PROPN;NOM;MASC;SG;3
gaun	طیلسان.	gaun	طیلسان.	N;SG	PROPN;NOM;MASC;SG;3
gaun	پادری	gaun	پادری	N;SG	PROPN;NOM;MASC;SG;3
gaun	عبا	gaun	عبا	N;SG	PROPN;NOM;MASC;SG;3
gaun	چُغہ	gaun	چُغہ	N;SG	
gaun	رسمی	gaun	رسمی	N;SG	ADJ
closed	مسدود	closed	مسدود	PROPN	ADJ
closed	محدود	closed	محدود	PROPN	ADJ
closed	مسدود	closed	مسدود	PROPN	ADJ
closed	محدود	closed	محدود	PROPN	ADJ
closed	بند	closed	بند	PROPN	ADJ
metropolis	گڑھ.	metropolis	گڑھ.	N	
kecakapan	شجاعت.	kecakapan	شجاعت.	N;SG	PROPN;NOM;MASC;SG;3
bentrokan	بھڑنا	bentrokan	بھڑ	N;SG	V;NFIN;ACT
licin	رپٹواں	licin	رپٹواں	ADJ;SG	PROPN;NOM;MASC;SG;3
licin	چکنا.	licin	چکنا.	ADJ;SG	
licin	پھسلنا	licin	پھسل	ADJ;SG	PROPN;NOM;MASC;SG;3
licin	صفائی	licin	صفائی	ADJ;SG	N;NOM;MASC;SG;3
licin	جمانا.	licin	جمانا.	ADJ;SG	PROPN;NOM;MASC;SG;3
licin	خوبی	licin	خوبی	ADJ;SG	N;NOM;MASC;SG;3
epic	عظیم	epic	عظیم	PROPN	PROPN;NOM;MASC;SG;3
epic	بہادرانہ.	epic	بہادرانہ.	PROPN	ADJ
epic	زبردست	epic	زبردست	PROPN	ADJ
epic	عظیم	epic	عظیم	PROPN	PROPN;NOM;MASC;SG;3
epic	بہادرانہ.	epic	بہادرانہ.	PROPN	ADJ
epic	زبردست	epic	زبردست	PROPN	ADJ
epic	رزمیہ	epic	رزمیہ	PROPN	PROPN;NOM;MASC;SG;3
hikmat	کیاست	hikmat	کیاست	N;SG	PROPN;NOM;MASC;SG;3
hikmat	حکمت.	hikmat	حکمت.	N;SG	PROPN;NOM;MASC;SG;3
hikmat	کیاست	hikmat	کیاست	N;SG	PROPN;NOM;MASC;SG;3
hikmat	دانائی	hikmat	دانائی	N;SG	V;FEM;SG;V.PTCP;ACT
hikmat	حکمت.	hikmat	حکمت.	N;SG	PROPN;NOM;MASC;SG;3
hikmat	ہوشیاری	hikmat	ہوشیاری	N;SG	PROPN;NOM;MASC;SG;3
bachelor	مجرد	bachelor	مجرد	PROPN	ADJ
bachelor	مجرد	bachelor	مجرد	PROPN	ADJ
bachelor	چھڑا	bachelor	چھڑ	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
belerang	کبریت	belerang	کبریت	N;SG	PROPN;NOM;MASC;SG;3
aura	لرزشیں	aura	لرزش	N;SG	N;NOM;MASC;PL;3
misil	خدنگا	misil	خدنگا	N;SG	PROPN;NOM;MASC;SG;3
misil	قذیفہ.	misil	قذیفہ.	N;SG	PROPN;NOM;MASC;SG;3
bertengkar	نزاع.	bertengkar	نزاع.	V;SG;ACT	PROPN;NOM;MASC;SG;3
bertengkar	تکرار	bertengkar	تکرار	V;SG;ACT	N;NOM;MASC;SG;3
akurasi	درستی	akurasi	درستی	N;SG	ADJ
daughter	بنت	daughter	بنت	PROPN	PROPN;NOM;MASC;SG;3
daughter	دختر	daughter	دختر	PROPN	N;NOM;MASC;SG;3
daughter	بنت	daughter	بنت	PROPN	PROPN;NOM;MASC;SG;3
daughter	بیٹی	daughter	بیٹی	PROPN	N;NOM;FEM;SG;3
daughter	دختر	daughter	دختر	PROPN	N;NOM;MASC;SG;3
simbolis	رمزی.	simbolis	رمزی.	ADJ;SG	PROPN;NOM;MASC;SG;3
simbolis	رمزی.	simbolis	رمزی.	ADJ;SG	PROPN;NOM;MASC;SG;3
mendaki	جھونکنا.	mendaki	جھونکنان	V;SG;ACT	PROPN;NOM;MASC;SG;3
mendaki	چڑھانا.	mendaki	چڑھاناؤ	V;SG;ACT	PROPN;NOM;MASC;SG;3
mendaki	صعود.	mendaki	صعود.	V;SG;ACT	
menerbangkan	اَدھر.	menterbangkan	اَدھر.	V;SG;ACT	PROPN;NOM;MASC;SG;3
menerbangkan	مختصر	menterbangkan	مختصر	V;SG;ACT	ADJ
menerbangkan	معلق	menterbangkan	معلق	V;SG;ACT	N;NOM;MASC;SG;3
menerbangkan	پُراں	menterbangkan	پُراں	V;SG;ACT	PROPN;NOM;MASC;SG;3
menerbangkan	مستعجل	menterbangkan	مستعجل	V;SG;ACT	PROPN;NOM;MASC;SG;3
melangkah	اندازِپا.	menlangkah	اندازِپا.	V;SG;ACT	N;NOM;MASC;SG;3
melangkah	کھانچا	menlangkah	کھانچا	V;SG;ACT	
melangkah	چاپ.	menlangkah	چاپ.	V;SG;ACT	PROPN;NOM;MASC;SG;3
melangkah	چال	menlangkah	چال	V;SG;ACT	;MASC;SG;3
kemurnian	پاک.	kemurnian	پاک.	N;SG	
kemurnian	طہارت.	kemurnian	طہارت.	N;SG	V;IPFV;MASC;SG;V.PTCP;ACT
kemurnian	پاک.	kemurnian	پاک.	N;SG	
kemurnian	طہارت.	kemurnian	طہارت.	N;SG	V;IPFV;MASC;SG;V.PTCP;ACT
contact	ربط	contact	ربط	PROPN	N;NOM;MASC;SG;3
contact	اتّصال	contact	اتّصال	PROPN	PROPN;NOM;MASC;SG;3
contact	ملنے	contact	مل	PROPN	V;NFIN;ACT
contact	موصل	contact	موصل	PROPN	PROPN;NOM;MASC;SG;3
contact	وسیلہ.	contact	وسیلہ.	PROPN	PROPN;NOM;MASC;SG;3
beam	شہتیر	beam	شہتیر	PROPN	PROPN;NOM;MASC;SG;3
beam	بَلّی	beam	بَلّی	PROPN	PROPN;NOM;MASC;SG;3
menginspirasi	الہام	meninspirasi	الہام	V;SG;ACT	PROPN;NOM;MASC;SG;3
menginspirasi	اکسانا	meninspirasi	اکسانا	V;SG;ACT	PROPN;NOM;MASC;SG;3
menginspirasi	تخلیقی	meninspirasi	تخلیقی	V;SG;ACT	ADJ
menginspirasi	الہامی	meninspirasi	الہامی	V;SG;ACT	ADJ
menginspirasi	القائی	meninspirasi	القائی	V;SG;ACT	PROPN;NOM;MASC;SG;3
mencatatkan	آراکشی.	mencatatkan	آراکشی.	V;SG;ACT	N;NOM;MASC;SG;3
lipatan	مڑنے	lipatan	مڑ	N;SG;ACT	V;NFIN
lipatan	موڑنا	lipatan	موڑ	N;SG;ACT	V;NFIN;ACT
lipatan	دہرا	lipatan	دہرا	N;SG;ACT	V;MASC;SG;V.PTCP;ACT
lipatan	over	lipatan	over	N;SG;ACT	PROPN;NOM;MASC;SG;3
molekuler	سالمی	molekuler	سالمی	N;SG	ADJ
injeksi	تزریق.	injeksi	تزریق.	N;SG	PROPN;NOM;MASC;SG;3
memanjat	صعود.	menpanjat	صعود.	V;SG;ACT	
lay	رکھنا	lay	رکھ	PROPN	V;MASC;SG;NFIN;ACT
lay	گیت.	lay	گیت.	PROPN	PROPN;NOM;MASC;SG;3
lay	لیٹنا.	lay	لیٹنا.	PROPN	V;NFIN;ACT
lay	جال	lay	جال	PROPN	V;ACT
lay	(	lay	(	PROPN	
lay	لٹانا.	lay	لٹاناؤ	PROPN	PROPN;NOM;MASC;SG;3
lay	جمانا	lay	جمانا	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
lay	پہنچانا.	lay	پہنچ	PROPN	V;PFV;MASC;SG;V.PTCP;ACT
fiat	حکم	fiat	حکم	PROPN	N;NOM;MASC;SG;3
fiat	اختیار	fiat	اختیار	PROPN	N;NOM;MASC;SG;3
fiat	اجارہ	fiat	اجارہ	PROPN	N;NOM;MASC;SG;3
fiat	فرمان	fiat	فرمان	PROPN	N;NOM;MASC;SG;3
passion	لگاؤ	passion	لگاوا	PROPN	PROPN;NOM;MASC;SG;3
evening	شام	evening	شام	PROPN	N;NOM;FEM;SG;3
mean	خجل.	mean	خجل.	PROPN	
mean	دبنگ.	mean	دبنگ.	PROPN	PROPN;NOM;MASC;SG;3
mean	مناسب	mean	مناسب	PROPN	ADJ
mean	معتدل	mean	معتدل	PROPN	ADJ
mean	معقول	mean	معقول	PROPN	ADJ
mean	خوبی	mean	خوبی	PROPN	N;NOM;MASC;SG;3
mean	وسطی	mean	وسطی	PROPN	PROPN;NOM;MASC;SG;3
mean	ادنٰی	mean	ادنٰی	PROPN	PROPN;NOM;MASC;SG;3
mean	استعداد	mean	استعداد	PROPN	N;NOM;MASC;SG;3
mean	شرمندہ	mean	شرمندہ	PROPN	ADJ
mean	کنجوس	mean	کنجوس	PROPN	
mean	پست	mean	پست	PROPN	ADJ
mean	خجل.	mean	خجل.	PROPN	
mean	دبنگ.	mean	دبنگ.	PROPN	PROPN;NOM;MASC;SG;3
mean	مناسب	mean	مناسب	PROPN	ADJ
mean	معتدل	mean	معتدل	PROPN	ADJ
mean	درمیانی	mean	درمیانی	PROPN	ADJ
mean	معقول	mean	معقول	PROPN	ADJ
mean	گھٹیا	mean	گھٹیا	PROPN	ADJ
mean	حقیر	mean	حقیر	PROPN	N;NOM;MASC;SG;3
mean	خوبی	mean	خوبی	PROPN	N;NOM;MASC;SG;3
mean	وسطی	mean	وسطی	PROPN	PROPN;NOM;MASC;SG;3
mean	ادنٰی	mean	ادنٰی	PROPN	PROPN;NOM;MASC;SG;3
mean	استعداد	mean	استعداد	PROPN	N;NOM;MASC;SG;3
mean	شرمندہ	mean	شرمندہ	PROPN	ADJ
mean	کنجوس	mean	کنجوس	PROPN	
imun	to	imun	to	N	
imun	مستثنیٰ	imun	مستثنیٰ	N	ADJ
definitif	معاہدہ	definitif	معاہدہ	ADJ	N;NOM;MASC;SG;3
definitif	لازماً	definitif	لازماً	ADJ	CONJ
definitif	واجباً	definitif	واجباً	ADJ	ADV
definitif	حکماً	definitif	حکماً	ADJ	ADV
mask	شمامہ	mask	شمامہ	PROPN	PROPN;NOM;MASC;SG;3
mask	face-pack	mask	face-pack	PROPN	PROPN;NOM;MASC;SG;3
mask	بہروپ	mask	بہروپ	PROPN	PROPN;NOM;MASC;SG;3
mask	آڑبننا.	mask	آڑبننا.	PROPN	PROPN;NOM;MASC;SG;3
mask	بھپارا	mask	بھپارا	PROPN	PROPN;NOM;MASC;SG;3
mask	بناوٹ	mask	بناوٹ	PROPN	N;NOM;MASC;SG;3
mask	مقنع.	mask	مقنع.	PROPN	ADJ
mask	سوانگ	mask	سوانگ	PROPN	PROPN;NOM;MASC;SG;3
mask	دھوکا.	mask	دھوکا.	PROPN	PROPN;NOM;MASC;SG;3
terjaga	واقف.	terjaga	واقف.	V;SG;PASS	
bun	میٹھا	bun	میٹھا	PROPN	N;NOM;MASC;SG;3
bun	گول	bun	گول	PROPN	N;NOM;MASC;SG;3
bun	بند.-	bun	بند.-	PROPN	
bun	بن	bun	بن	PROPN	V;ACT
bun	چپٹا	bun	چپٹا	PROPN	PROPN;NOM;MASC;SG;3
larang	بددعا	larang	بددعا	;ACT	;MASC;SG;3
larang	امتناع	larang	امتناع	;ACT	N;NOM;MASC;SG;3
larang	لعنت.	larang	لعنت.	;ACT	PROPN;NOM;MASC;SG;3
larang	بددعا	larang	بددعا	;ACT	;MASC;SG;3
larang	بندش	larang	بندش	;ACT	PROPN;NOM;MASC;SG;3
larang	امتناع	larang	امتناع	;ACT	N;NOM;MASC;SG;3
larang	لعنت.	larang	لعنت.	;ACT	PROPN;NOM;MASC;SG;3
bertumbuh	قد	bertumbuh	قد	V;SG;ACT	N;NOM;MASC;SG;3
bertumbuh	مرتبے	bertumbuh	مرتبہ	V;SG;ACT	N;NOM;MASC;SG;3
bertumbuh	پختہ	bertumbuh	پختہ	V;SG;ACT	ADJ
bertumbuh	بونا	bertumbuh	بونا	V;SG;ACT	PROPN;NOM;MASC;SG;3
bertumbuh	اُگنا	bertumbuh	اُگنا	V;SG;ACT	PROPN;NOM;MASC;SG;3
bertumbuh	ہویدا	bertumbuh	ہو	V;SG;ACT	PROPN;NOM;MASC;SG;3
bertumbuh	فزوں	bertumbuh	فزہ	V;SG;ACT	N;NOM;MASC;PL;3
bertumbuh	اپجنا.	bertumbuh	اپجنا.	V;SG;ACT	
bertumbuh	نمو	bertumbuh	نمو	V;SG;ACT	N;NOM;MASC;SG;3
bertumbuh	بالغ.	bertumbuh	بالغ.	V;SG;ACT	
bertumbuh	پھل	bertumbuh	پھل	V;SG;ACT	N;NOM;MASC;SG;3
bertumbuh	گدرایا	bertumbuh	گدرایا	V;SG;ACT	PROPN;NOM;MASC;SG;3
bertumbuh	پیدا	bertumbuh	پیدا	V;SG;ACT	ADJ
bertumbuh	حجم	bertumbuh	حجم	V;SG;ACT	N;NOM;MASC;SG;3
bertumbuh	قد	bertumbuh	قد	V;SG;ACT	N;NOM;MASC;SG;3
bertumbuh	مرتبے	bertumbuh	مرتبہ	V;SG;ACT	N;NOM;MASC;SG;3
bertumbuh	پختہ	bertumbuh	پختہ	V;SG;ACT	ADJ
bertumbuh	بونا	bertumbuh	بونا	V;SG;ACT	PROPN;NOM;MASC;SG;3
bertumbuh	اُگنا	bertumbuh	اُگنا	V;SG;ACT	PROPN;NOM;MASC;SG;3
bertumbuh	ہویدا	bertumbuh	ہو	V;SG;ACT	PROPN;NOM;MASC;SG;3
bertumbuh	فزوں	bertumbuh	فزہ	V;SG;ACT	N;NOM;MASC;PL;3
bertumbuh	اپجنا.	bertumbuh	اپجنا.	V;SG;ACT	
bertumbuh	نمو	bertumbuh	نمو	V;SG;ACT	N;NOM;MASC;SG;3
bertumbuh	بالغ.	bertumbuh	بالغ.	V;SG;ACT	
bertumbuh	پھل	bertumbuh	پھل	V;SG;ACT	N;NOM;MASC;SG;3
bertumbuh	گدرایا	bertumbuh	گدرایا	V;SG;ACT	PROPN;NOM;MASC;SG;3
bertumbuh	پیدا	bertumbuh	پیدا	V;SG;ACT	ADJ
bertumbuh	حجم	bertumbuh	حجم	V;SG;ACT	N;NOM;MASC;SG;3
malay	ملائی.	malay	ملائی.	PROPN	V;PFV;FEM;SG;V.PTCP;ACT
figure	قدر	figure	قدر	PROPN	;NOM;MASC;SG;3
