myös	וגם	myös	וגם	ADV	
voi	יכול	voi	None	INTJ	V;MASC;SG;V.PTCP
noin	על	noin	על	ADV	ADP
noin	לגבי	noin	לגבי	ADV	ADP
noin	אודות	noin	אודות	ADV	
eli	איליי	eli	איליי	CONJ	PROPN
eli	אילי	eli	אילי	CONJ	PROPN
eli	אלי	eli	אלי	CONJ	PROPN
vain	פשוט	vain	פשוט	ADV	
olivat	היו	olla	היה	V;IND;PL;3;PST;FIN;ACT	V;PL;3;POS;PST
lisäksi	וגם	lisäksi	וגם	ADV	
lisäksi	פלוס	lisäksi	None	ADV	
lisäksi	ובנוסף	lisäksi	ובנוסף	ADV	
jotka	אשר	joka	אשר	PRO;NOM;PL	CONJ
jotka	איזה	joka	איזה	PRO;NOM;PL	
tavua	הברות	tavuta	הברה	N;PRT;SG	N;FEM;PL
tavua	בייטס	tavuta	בייטס	N;PRT;SG	PROPN
kaksi	שני	kaksi	שני	NUM;NOM;SG	NUM;MASC;PL
kaksi	שניים	kaksi	שניים	NUM;NOM;SG	NUM;MASC;PL
aikana	במהלך	aika	במהלך	N;FRML;SG	ADV
hänet	בו	hän	ב	PRO;ACC;SG;3	ADP
tuli	אש	tulla	אש	V;IND;SG;0;PST;FIN;ACT	N;FEM;SG
tuli	שריפה	tulla	שריף	V;IND;SG;0;PST;FIN;ACT	N;FEM;SG
tuli	באו	tulla	בא	V;IND;SG;0;PST;FIN;ACT	V;PL;3;PST;ACT
tuli	הגיע	tulla	הגיע	V;IND;SG;0;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
voitti	מובס	voittaa	מובס	V;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP;PASS
voitti	תבוסה	voittaa	תבוסה	V;IND;SG;3;PST;FIN;ACT	N;FEM;SG
voitti	הובס	voittaa	הובס	V;IND;SG;3;PST;FIN;ACT	V;MASC;SG;3;PST;PASS
voitti	זכיתי	voittaa	זכה	V;IND;SG;3;PST;FIN;ACT	V;SG;1;PST;ACT
voitti	ניצחו	voittaa	ניצח	V;IND;SG;3;PST;FIN;ACT	V;PL;3;PST;ACT
tulos	תוצאות	tulos	תוצאה	N;NOM;SG	N;FEM;PL
tulos	תוצאות	tulos	תוצאה	N;NOM;SG	N;FEM;PL
suomalainen	פיני	suomalainen	פיני	ADJ;NOM;SG	PROPN
suomalainen	פינית	suomalainen	פיני	ADJ;NOM;SG	PROPN
suomalainen	פין	suomalainen	פין	ADJ;NOM;SG	
kuten	כמו	kuten	כמו	CONJ	ADP
kuten	אוהב	kuten	אהב	CONJ	V;MASC;SG;V.PTCP;ACT
kuten	כאילו	kuten	כאילו	CONJ	CONJ
toimi	פעולה	toimia	פעולה	V;IMP;SG;2;FIN;ACT	N;FEM;SG
toimi	עשייה	toimia	עשייה	V;IMP;SG;2;FIN;ACT	N;FEM;SG
toimi	אקשן	toimia	אקשן	V;IMP;SG;2;FIN;ACT	N;MASC;SG
toimi	מערכה	toimia	מערכה	V;IMP;SG;2;FIN;ACT	N;FEM;SG
wikipedia	ויקיפדיה	wikipedia	ויקיפדיה	N;NOM;SG	PROPN
ensimmäinen	ראשון	ensimmäinen	ראשון	ADJ;NOM;SG	PROPN
ensimmäinen	קודם	ensimmäinen	קודם	ADJ;NOM;SG	ADV
ensimmäinen	ראשית	ensimmäinen	ראשית	ADJ;NOM;SG	ADV
ensimmäinen	תחילה	ensimmäinen	תחילה	ADJ;NOM;SG	ADV
ennen	לפני	ennen	לפני	ADV	ADP
osa	כמה	osa	כמה	N;NOM;SG	DET;PSSD
osa	חלקם	osa	חלקם	N;NOM;SG	
tammikuuta	ינואר	tammikuu	ינואר	N;PRT;SG	PROPN
tammikuuta	בינואר	tammikuu	בינואר	N;PRT;SG	
yhteensä	הכולל	yhteensä	הכולל	ADV	PROPN
php	php	php	php	N;NOM;SG	
syyskuuta	ספטמבר	syyskuu	ספטמבר	N;PRT;SG	PROPN
vastaan	כנגד	vastaan	כנגד	ADV	ADP
vastaan	נגד	vastaan	נגד	ADV	ADP
eri	שונה	eri	שונה	ADJ	
eri	emi	eri	emi	ADJ	PROPN
keskustelu	שיחת	keskustelu	שיחה	N;NOM;SG	ADV
keskustelu	שוחח	keskustelu	שוחח	N;NOM;SG	PROPN
koska	בגלל	koska	בגלל	CONJ	ADP
koska	סיבה	koska	סיבה	CONJ	N;FEM;SG
maaliskuuta	מרץ	maaliskuu	מרץ	N;PRT;SG	PROPN
maaliskuuta	במרץ	maaliskuu	במרץ	N;PRT;SG	PROPN
huhtikuuta	apr	huhtikuu	apr	N;PRT;SG	
huhtikuuta	אפריל	huhtikuu	אפריל	N;PRT;SG	PROPN
elokuuta	אוגוסט	elokuu	אוגוסט	N;PRT;SG	PROPN
kesäkuuta	יוני	kesäkuu	יוני	N;PRT;SG	PROPN
toukokuuta	מיי	toukokuu	מיי	N;PRT;SG	
toukokuuta	מאי	toukokuu	מאי	N;PRT;SG	PROPN
joulukuuta	בדצמבר	joulukuu	בדצמבר	N;PRT;SG	PROPN
joulukuuta	דצמבר	joulukuu	דצמבר	N;PRT;SG	PROPN
heinäkuuta	ביולי	heinäkuu	ביולי	N;PRT;SG	PROPN
heinäkuuta	יולי	heinäkuu	יולי	N;PRT;SG	PROPN
helmikuuta	בפברואר	helmikuu	בפברואר	N;PRT;SG	ADV
helmikuuta	פברואר	helmikuu	פברואר	N;PRT;SG	PROPN
koko	שלמה	koko	שלמה	ADJ	PROPN
koko	מידה	koko	מידה	ADJ	N;FEM;SG
koko	גודל	koko	גודל	ADJ	N;MASC;SG
marraskuuta	נובמבר	marraskuu	נובמבר	N;PRT;SG	PROPN
marraskuuta	בנובמבר	marraskuu	בנובמבר	N;PRT;SG	ADV
diff	diff	diff	diff	N;NOM;SG	
kaikki	הכול	kaikki	הכול	PRO;NOM;SG	
kaikki	הכל	kaikki	הכיל	PRO;NOM;SG	N
kaikki	כולם	kaikki	None	PRO;NOM;SG	N;MASC;PL
kaikki	הכל	kaikki	הכיל	PRO;NOM;SG	N
kaikki	כל	kaikki	כול	PRO;NOM;SG	DET;PSSD
kaikki	כולם	kaikki	None	PRO;NOM;SG	N;MASC;PL
pelasi	שיחק	pelata	שיחק	V;IND;SG;3;PST;FIN;ACT	PROPN
pelasi	ניגן	pelata	ניגן	V;IND;SG;3;PST;FIN;ACT	N;MASC;SG
yli	נגמר	yli	נגמר	ADV	V;MASC;SG;V.PTCP;MID
yli	מעל	yli	מעל	ADV	ADP
helsingin	הלסינקי	helsinki	הלסינקי	PROPN;GEN;SG	PROPN
toinen	שניה	toinen	שניה	PRO;NOM;SG	NUM;FEM;SG
toinen	שנייה	toinen	שנייה	PRO;NOM;SG	NUM;FEM;SG
toinen	שני	toinen	שני	PRO;NOM;SG	NUM;MASC;PL
toinen	שנית	toinen	שנית	PRO;NOM;SG	
kauden	העונה	kausi	העונה	N;GEN;SG	ADV
vaikka	למרות	vaikka	למרות	CONJ	ADP
vaikka	למרות	vaikka	למרות	CONJ	ADP
nimi	השם	nimi	השם	N;NOM;SG	
nimi	שם	nimi	שם	N;NOM;SG	ADV
vuotta	שנים	vuosi	שנה	N;PRT;SG	N;FEM;PL
seura	קלאב	seura	קלאב	N;NOM;SG	PROPN
seura	המועדון	seura	המועדון	N;NOM;SG	PROPN
sijaitsee	אותרה	sijaita	אותר	V;IND;SG;3;PRS;FIN;ACT	PROPN
sijaitsee	ממוקמת	sijaita	מוקם	V;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;PASS
sijaitsee	ממוקם	sijaita	מוקם	V;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;PASS
kolme	three	kolme	three	NUM;NOM;SG	
jota	אשר	joka	אשר	PRO;PRT;SG	CONJ
jota	איזה	joka	איזה	PRO;PRT;SG	
kuva	התמונה	kuva	התמונה	N;NOM;SG	V;FEM;SG;3;PST
kuva	התמונה	kuva	התמונה	N;NOM;SG	V;FEM;SG;3;PST
mukana	מלווה	mukana	ליווה	ADV	
mukana	נלווה	mukana	נלווה	ADV	V;MASC;SG;V.PTCP;MID
mukana	עם	mukana	עם	ADV	ADP
kautta	באמצעות	kautta	באמצעות	ADV	ADP
kautta	דרך	kautta	דרך	ADV	
kautta	ויה	kautta	ויה	ADV	PROPN
kautta	דרך	kautta	דרך	ADV	
alkoi	התחלת	alkaa	התחלה	V;IND;SG;3;PST;FIN;ACT	N;FEM;SG
alkoi	התחלנו	alkaa	התחלן	V;IND;SG;3;PST;FIN;ACT	V;PL;1;PST
alkoi	התחלתי	alkaa	התחיל	V;IND;SG;3;PST;FIN;ACT	V;SG;1;PST;ACT
alkoi	החל	alkaa	None	V;IND;SG;3;PST;FIN;ACT	ADP
kuuluu	שייך	kuulua	שייך	V;IND;SG;3;PRS;FIN;ACT	ADJ;MASC;SG
kuuluu	שייכת	kuulua	שייך	V;IND;SG;3;PRS;FIN;ACT	ADJ;FEM;SG
itse	סלף	itse	סלף	ADV	PROPN
itse	עצמי	itse	עצמו	ADV	PRO;SG;1;REFL
itse	עצמו	itse	עצמו	ADV	PRO;MASC;SG;3;REFL
itse	לעצמי	itse	לעצמי	ADV	
itse	עצמי	itse	עצמו	ADV	PRO;SG;1;REFL
itse	עצמך	itse	עצמו	ADV	PRO;MASC;SG;2;REFL
sitten	ואז	sitten	ואז	ADV	
suurin	מרבי	suuri	מרבי	ADJ;NOM;RL;SG	
suurin	מקסימום	suuri	מקסימום	ADJ;NOM;RL;SG	N;MASC;SG
suurin	המקסימום	suuri	המקסימום	ADJ;NOM;RL;SG	PROPN
uusi	חדשים	uusi	חדש	ADJ;NOM;SG	ADJ;MASC;PL
ajan	הזמן	aika	הזמן	N;GEN;SG	
ajan	טיים	aika	טיים	N;GEN;SG	PROPN
saa	קבל	saada	קבל	V;IND;SG;0;PRS;FIN;ACT	PROPN
niiden	שלהם	se	של	PRO;GEN;PL	
aloitti	התחלת	aloittaa	התחלה	V;IND;SG;3;PST;FIN;ACT	N;FEM;SG
aloitti	התחלנו	aloittaa	התחלן	V;IND;SG;3;PST;FIN;ACT	V;PL;1;PST
aloitti	התחלתי	aloittaa	התחיל	V;IND;SG;3;PST;FIN;ACT	V;SG;1;PST;ACT
aloitti	החל	aloittaa	None	V;IND;SG;3;PST;FIN;ACT	ADP
mikä	מה	mikä	מה	PRO;NOM;SG	ADV
pinta	משטח	pinta	משטח	N;NOM;SG	
helsinki	הלסינקי	helsinki	הלסינקי	N;NOM;SG	PROPN
venäjän	רוסייה	venäjä	רוסייה	N;GEN;SG	PROPN
venäjän	רוסית	venäjä	רוסית	N;GEN;SG	PROPN
venäjän	רוסיה	venäjä	רוסיה	N;GEN;SG	PROPN
pohjois	צפונה	pohjois	צפון	N;NOM;SG	ADV
pohjois	הצפון	pohjois	הצפון	N;NOM;SG	PROPN
useita	מרובה	usea	מרובה	ADJ;PRT;PL	ADJ;FEM;SG
useita	ריבוי	usea	ריבוי	ADJ;PRT;PL	N;MASC;SG
maalit	צבע	maali	צבע	N;NOM;PL	N;MASC;SG
jpg	jpg	jpg	jpg	N;NOM;SG	PROPN
yhdessä	ביחד	yhdessä	ביחד	ADV	
näyttelijä	השחקן	näyttelijä	השחקן	N;NOM;SG	PROPN
tulee	בא	tulla	בא	V;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;3;PST;ACT
tulee	מגיע	tulla	הגיע	V;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
tulee	באה	tulla	בא	V;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
tulee	באים	tulla	בא	V;IND;SG;3;PRS;FIN;ACT	V;MASC;PL;V.PTCP;ACT
maan	הארץ	maa	הארץ	N;GEN;SG	
maan	ארצי	maa	ארצי	N;GEN;SG	PROPN
saksan	גרמנית	saksa	גרמנית	N;GEN;SG	PROPN
saksan	גרמנים	saksa	גרמני	N;GEN;SG	N;MASC;PL
saksan	גרמניה	saksa	גרמניה	N;GEN;SG	PROPN
saksan	גרמניה	saksa	גרמניה	N;GEN;SG	PROPN
kaupunki	טאון	kaupunki	טאון	N;NOM;SG	PROPN
kaupunki	העיר	kaupunki	העיר	N;NOM;SG	V;MASC;SG;3;PST;ACT
kaupunki	העיר	kaupunki	העיר	N;NOM;SG	V;MASC;SG;3;PST;ACT
etelä	דרומי	etelä	דרומי	N;NOM;SG	PROPN
etelä	דרומית	etelä	דרומי	N;NOM;SG	ADV
etelä	הדרומי	etelä	הדרום	N;NOM;SG	PROPN
etelä	דרומה	etelä	דרומה	N;NOM;SG	
etelä	הדרום	etelä	הדרום	N;NOM;SG	
euroopan	אירופה	eurooppa	אירופה	PROPN;GEN;SG	PROPN
euroopan	אירופאית	eurooppa	אירופאי	PROPN;GEN;SG	ADV
euroopan	אירופה	eurooppa	אירופה	PROPN;GEN;SG	PROPN
euroopan	אירופאי	eurooppa	אירופאי	PROPN;GEN;SG	ADJ;MASC;SG
euroopan	אירופי	eurooppa	אירופי	PROPN;GEN;SG	PROPN
katso	ראי	katsoa	ראי	V;IMP;SG;2;FIN;ACT	
katso	רואה	katsoa	ראה	V;IMP;SG;2;FIN;ACT	V;MASC;SG;V.PTCP;ACT
katso	ראה	katsoa	ראה	V;IMP;SG;2;FIN;ACT	V;MASC;SG;3;PST;ACT
katso	שעון	katsoa	שעון	V;IMP;SG;2;FIN;ACT	PROPN
katso	צפו	katsoa	צפה	V;IMP;SG;2;FIN;ACT	PROPN
katso	צפה	katsoa	צפה	V;IMP;SG;2;FIN;ACT	PROPN
katso	תראי	katsoa	תראי	V;IMP;SG;2;FIN;ACT	V;SG;1;FUT;ACT
katso	תראה	katsoa	תראה	V;IMP;SG;2;FIN;ACT	V;MASC;SG;3;FUT
katso	תראו	katsoa	ראה	V;IMP;SG;2;FIN;ACT	
muita	אחרות	muu	אחר	PRO;PRT;PL	ADJ;FEM;PL
muita	אחרים	muu	אחר	PRO;PRT;PL	ADJ;MASC;PL
muita	ואחרים	muu	ואחר	PRO;PRT;PL	PROPN
käyttää	שימוש	käyttää	שימוש	V;IND;SG;PRS;FIN;ACT	N;MASC;SG
käyttää	שימוש	käyttää	שימוש	V;IND;SG;PRS;FIN;ACT	N;MASC;SG
käyttää	השתמש	käyttää	השתמש	V;IND;SG;PRS;FIN;ACT	V;MASC;SG;3;PST
käyttää	שימושים	käyttää	שימושים	V;IND;SG;PRS;FIN;ACT	N;MASC;PL
kertaa	פעמים	kerta	פעם	N;PRT;SG	N;FEM;PL
kertaa	הטיימס	kerta	הטיימס	N;PRT;SG	PROPN
kertaa	טיימס	kerta	טיימס	N;PRT;SG	PROPN
kertaa	זמנים	kerta	זמן	N;PRT;SG	N;MASC;PL
alussa	ההתחלה	alku	ההתחלה	N;IN+ESS;SG	V;FEM;SG;3;PST
muut	אחרים	muu	אחר	PRO;NOM;PL	ADJ;MASC;PL
muut	אחר	muu	אחר	PRO;NOM;PL	ADP
muut	אחרות	muu	אחר	PRO;NOM;PL	ADJ;FEM;PL
muut	אחרים	muu	אחר	PRO;NOM;PL	ADJ;MASC;PL
muut	ואחרים	muu	ואחר	PRO;NOM;PL	PROPN
syntyi	נולדת	syntyä	נולדת	V;IND;SG;3;PST;FIN;ACT	V;FEM;SG;V.PTCP;MID
syntyi	נולדתי	syntyä	נולדתי	V;IND;SG;3;PST;FIN;ACT	V;SG;1;PST;MID
syntyi	נולדו	syntyä	נולד	V;IND;SG;3;PST;FIN;ACT	V;PL;3;PST;MID
syntyi	נולד	syntyä	נולד	V;IND;SG;3;PST;FIN;ACT	V;MASC;SG;3;PST;MID
syntyi	נולדה	syntyä	נולד	V;IND;SG;3;PST;FIN;ACT	V;FEM;SG;3;PST;MID
vuodet	שנה	vuosi	שנה	N;NOM;PL	N;FEM;SG
suomi	פינלנד	suomi	פינלנד	PROPN;NOM;SG	PROPN
neljä	four	neljä	four	NUM;NOM;SG	
yhtye	הלהקה	yhtye	הלהקה	N;NOM;SG	PROPN
heidän	שלהם	hän	של	PRO;GEN;PL;3	
saanut	שהתקבלו	saada	שהתקבל	V;NOM;SG;V.PTCP;ACT	V;PL;3;PST
saanut	התקבלו	saada	התקבל	V;NOM;SG;V.PTCP;ACT	V;PL;3;PST
ranskan	צרפתי	ranska	צרפתי	N;GEN;SG	PROPN
ranskan	צרפתית	ranska	צרפתית	N;GEN;SG	PROPN
ranskan	צרפתים	ranska	צרפתי	N;GEN;SG	N;MASC;PL
ranskan	צרפת	ranska	צרפת	N;GEN;SG	PROPN
mitä	מה	mikä	מה	PRO;PRT;SG	ADV
näin	מסור	näin	מסור	ADV	
näin	ראיתי	näin	ראה	ADV	V;SG;1;PST;ACT
näin	המסור	näin	המסור	ADV	PROPN
näin	ראה	näin	ראה	ADV	V;MASC;SG;3;PST;ACT
paras	best	hyvä	best	ADJ;NOM;RL;SG	
tarkoittaa	אמצעים	tarkoittaa	אמצעי	V;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
tarkoittaa	אמצעי	tarkoittaa	אמצע	V;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
toimii	פועל	toimia	פועל	V;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
toimii	יצירות	toimia	יצירה	V;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
toimii	עובדת	toimia	עובדה	V;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
toimii	עובד	toimia	עובד	V;IND;SG;3;PRS;FIN;ACT	PROPN
pelaaja	נגן	pelaaja	נגן	N;NOM;SG	
kuoli	מת	kuolla	מת	V;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG
kuoli	מתו	kuolla	מת	V;IND;SG;3;PST;FIN;ACT	PROPN
kuoli	מתה	kuolla	מת	V;IND;SG;3;PST;FIN;ACT	PROPN
albumi	האלבום	albumi	האלבום	N;NOM;SG	PROPN
pitää	לייקים	pitää	לייק	V;IND;SG;0;PRS;FIN;ACT	PROPN
pitää	אוהב	pitää	אהב	V;IND;SG;0;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
jäi	נשארה	jäädä	נשאר	V;IND;SG;3;PST;FIN;ACT	V;FEM;SG;3;PST;MID
jäi	נשארתי	jäädä	נשאר	V;IND;SG;3;PST;FIN;ACT	V;SG;1;PST;MID
jäi	נשאר	jäädä	נשאר	V;IND;SG;3;PST;FIN;ACT	V;MASC;SG;3;PST;MID
metriä	מטרים	metri	מטר	N;PRT;SG	N;MASC;PL
metriä	מטר	metri	מטר	N;PRT;SG	PROPN
metriä	מטרים	metri	מטר	N;PRT;SG	N;MASC;PL
metriä	מטר	metri	מטר	N;PRT;SG	PROPN
alle	מתחת	alle	מתחת	ADV	ADP
alle	למטה	alle	למטה	ADV	
alle	בהמשך	alle	בהמשך	ADV	
alle	תחת	alle	תחת	ADV	ADP
alle	מתחת	alle	מתחת	ADV	ADP
laulu	שירה	laulu	שירה	N;NOM;SG	
laulu	שרים	laulu	שר	N;NOM;SG	N;MASC;PL
laulu	שירה	laulu	שירה	N;NOM;SG	
laulu	השיר	laulu	השיר	N;NOM;SG	ADV
jopa	אפילו	jopa	אפילו	ADV	CONJ
välillä	בין	välillä	בין	ADV	ADP
erityisesti	בייחוד	erityisesti	בייחוד	ADV	
erityisesti	ובמיוחד	erityisesti	ובמיוחד	ADV	PROPN
pois	הרחק	pois	הרחק	ADV	
valittiin	נבחר	valita	נבחר	V;IND;PST;FIN;PASS	V;MASC;SG;3;PST;MID
valittiin	נבחרים	valita	נבחר	V;IND;PST;FIN;PASS	N;MASC;PL
valittiin	שנבחר	valita	שנבחר	V;IND;PST;FIN;PASS	PROPN
valittiin	נבחרו	valita	נבחר	V;IND;PST;FIN;PASS	V;PL;3;PST;MID
valittiin	נבחרה	valita	נבחר	V;IND;PST;FIN;PASS	V;FEM;SG;3;PST;MID
tässä	פה	tämä	פה	PRO;IN+ESS;SG	ADV
tässä	כאן	tämä	כאן	PRO;IN+ESS;SG	ADV
suuri	גדולים	suuri	גדול	ADJ;NOM;SG	ADJ;MASC;PL
suuri	ביג	suuri	ביג	ADJ;NOM;SG	
suuri	גדולים	suuri	גדול	ADJ;NOM;SG	ADJ;MASC;PL
http	http	http	http	N;NOM;SG	PROPN
osallistui	השתתפו	osallistua	השתתף	V;IND;SG;3;PST;FIN;ACT	V;PL;3;PST
osallistui	השתתפו	osallistua	השתתף	V;IND;SG;3;PST;FIN;ACT	V;PL;3;PST
osallistui	השתתפתי	osallistua	השתתף	V;IND;SG;3;PST;FIN;ACT	V;SG;1;PST
luettelo	הרשימה	luettelo	הרשים	N;NOM;SG	V;FEM;SG;3;PST;ACT
alue	האזור	alue	האזור	N;NOM;SG	PROPN
maailman	העולם	maailma	העולם	N;GEN;SG	
kirjailija	כותב	kirjailija	כתב	N;NOM;SG	V;MASC;SG;V.PTCP;ACT
kirjailija	תסריטאי	kirjailija	תסריטאי	N;NOM;SG	PROPN
kirjailija	מחבר	kirjailija	מחבר	N;NOM;SG	
kirjailija	שחיבר	kirjailija	שחיבר	N;NOM;SG	PROPN
ilman	מבלי	ilman	מבלי	ADV	ADP
ilman	ללא	ilman	ללא	ADV	ADP
ilman	בלי	ilman	בלי	ADV	ADP
sodan	המלחמה	sota	המלחם	N;GEN;SG	PROPN
tunnetaan	ידוע	tuntea	ידוע	V;IND;PRS;FIN;PASS	N;MASC;SG
tunnetaan	הידוע	tuntea	הידוע	V;IND;PRS;FIN;PASS	
tunnetaan	ידועה	tuntea	ידע	V;IND;PRS;FIN;PASS	V;FEM;SG;V.PTCP;ACT
tunnetaan	ידועים	tuntea	ידוע	V;IND;PRS;FIN;PASS	N;MASC;PL
takaisin	בחזרה	takaisin	בחזרה	ADV	
ruotsin	שוודי	ruotsi	שוודי	N;GEN;SG	PROPN
perustettiin	נוסדה	perustaa	נוסד	V;IND;PST;FIN;PASS	V;FEM;SG;3;PST;MID
perustettiin	נוסד	perustaa	נוסד	V;IND;PST;FIN;PASS	V;MASC;SG;3;PST;MID
perustettiin	ייסד	perustaa	ייסד	V;IND;PST;FIN;PASS	N;MASC;SG
palasi	הוחזר	palata	הוחזר	V;IND;SG;3;PST;FIN;ACT	V;MASC;SG;3;PST;PASS
entinen	לשעבר	entinen	לשעבר	ADJ;NOM;SG	ADV
aiemmin	בעבר	aiemmin	בעבר	ADV	
kappale	השיר	kappale	השיר	N;NOM;SG	ADV
nykyään	בימינו	nykyään	בימה	ADV	PROPN
kitara	גיטרות	kitara	גיטרות	N;NOM;SG	N;FEM;PL
pituus	אורך	pituus	אורך	N;NOM;SG	
pituus	האורך	pituus	האורך	N;NOM;SG	PROPN
miljoonaa	מליון	miljoona	מליון	NUM;PRT;SG	N;MASC;SG
isbn	isbn	isbn	isbn	N;NOM;SG	PROPN
julkaisi	פורסם	julkaista	פורסם	V;IND;SG;3;PST;FIN;ACT	V;MASC;SG;3;PST;PASS
julkaisi	פורסמה	julkaista	פורסם	V;IND;SG;3;PST;FIN;ACT	V;FEM;SG;3;PST;PASS
julkaisi	פרסמו	julkaista	פרסם	V;IND;SG;3;PST;FIN;ACT	V;PL;3;PST;ACT
kilometriä	מיילס	kilo#metri	מיילס	N;PRT;SG	PROPN
kilometriä	קילומטרים	kilo#metri	קילומטר	N;PRT;SG	N;MASC;PL
kilometriä	מיילים	kilo#metri	יילה	N;PRT;SG	V;MASC;PL;V.PTCP;ACT
kilometriä	קילומטרים	kilo#metri	קילומטר	N;PRT;SG	N;MASC;PL
aika	הזמן	aika	הזמן	N;NOM;SG	
aika	טיים	aika	טיים	N;NOM;SG	PROPN
alkaen	מתחילה	alkaen	התחיל	ADV	V;FEM;SG;V.PTCP;ACT
alkaen	מתחיל	alkaen	התחיל	ADV	V;MASC;SG;V.PTCP
alkaen	החל	alkaen	None	ADV	ADP
kunta	קומונה	kunta	קומונה	N;NOM;SG	PROPN
kuului	שייך	kuulua	שייך	V;IND;SG;3;PST;FIN;ACT	ADJ;MASC;SG
kuului	שייכת	kuulua	שייך	V;IND;SG;3;PST;FIN;ACT	ADJ;FEM;SG
hopeaa	סילבר	hopea	סילבר	N;PRT;SG	PROPN
hopeaa	כסופה	hopea	כסוף	N;PRT;SG	
hopeaa	כסוף	hopea	כסוף	N;PRT;SG	
turun	טורקו	turku	טורק	PROPN;GEN;SG	PROPN
kirkko	כנסיה	kirkko	כנסיה	N;NOM;SG	PROPN
johon	אשר	joka	אשר	PRO;IN+ALL;SG	CONJ
johon	איזה	joka	איזה	PRO;IN+ALL;SG	
levy	האלבום	levy	האלבום	N;NOM;SG	PROPN
levy	תקליט	levy	הקליט	N;NOM;SG	PROPN
levy	דיסק	levy	דיסק	N;NOM;SG	PROPN
levy	דיסק	levy	דיסק	N;NOM;SG	PROPN
nykyisin	בימינו	nykyisin	בימה	ADV	PROPN
julkaistu	שוחררו	julkaista	שוחרר	V;NOM;SG;V.PTCP;PASS	V;PL;3;PST;PASS
julkaistu	פרסמה	julkaista	פרסם	V;NOM;SG;V.PTCP;PASS	V;FEM;SG;3;PST;ACT
julkaistu	פרסמו	julkaista	פרסם	V;NOM;SG;V.PTCP;PASS	V;PL;3;PST;ACT
julkaistu	פרסם	julkaista	פרסם	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;3;PST;ACT
julkaistu	פרסם	julkaista	פרסם	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;3;PST;ACT
missä	לאן	mikä	לאן	PRO;IN+ESS;SG	ADV
missä	איפה	mikä	איפה	PRO;IN+ESS;SG	ADV
missä	היכן	mikä	היכן	PRO;IN+ESS;SG	ADV
