elst	эльст	gla	эльст	N	
annonsert	объявил	annonsere	объявить	ADJ;INDF;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
annonsert	объявленные	annonsere	объявить	ADJ;INDF;SG;V.PTCP	V;PFV;NOM;PL;PST;V.PTCP;PASS
annonsert	объявила	annonsere	объявить	ADJ;INDF;SG;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
annonsert	объявлены	annonsere	объявить	ADJ;INDF;SG;V.PTCP	V;PFV;PL;PST;V.PTCP;PASS
balkan	балканах	balkan	балкан	N;INDF;MASC;SG	N;INAN;ESS;MASC;PL
balkan	балканского	balkan	балканский	N;INDF;MASC;SG	ADJ;GEN;MASC;SG
kommersielt	коммерческие	kommersiel	коммерческий	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
stabile	стабильно	stabil	стабильно	ADJ;PL	ADV
stabile	стабильный	stabil	стабильный	ADJ;PL	ADJ;NOM;MASC;SG
stabile	стабильная	stabil	стабильный	ADJ;PL	ADJ;NOM;FEM;SG
stabile	стабильной	stabil	стабильный	ADJ;PL	ADJ;INS;FEM;SG
stabile	стабильное	stabil	стабильный	ADJ;PL	ADJ;NOM;NEUT;SG
parentes	скобки	parentes	скобка	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
parentes	скобки	parentes	скобка	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
fornøyd	удовлетворены	fornøyd	удовлетворить	ADJ;INDF;SG	V;PFV;PL;PST;V.PTCP;PASS
fornøyd	удовлетворен	fornøyd	удовлетворить	ADJ;INDF;SG	V;PFV;MASC;SG;PST;V.PTCP;PASS
fornøyd	удовлетворена	fornøyd	удовлетворить	ADJ;INDF;SG	V;PFV;FEM;SG;PST;V.PTCP;PASS
fornøyd	счастливые	fornøyd	счастливый	ADJ;INDF;SG	ADJ;NOM;PL
nettverket	сети	nettverk	сеть	N;DEF;NEUT;SG	N;INAN;NOM;FEM;PL
nettverket	network	nettverk	network	N;DEF;NEUT;SG	PROPN
gerais	жерайс	gerais	жерайс	N;INDF;SG	
cello	виолончели	cello	виолончель	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
cover	обложки	cove	обложка	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
cover	покрытия	cove	покрытие	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
rolig	спокойствие	rolig	спокойствие	ADJ;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
rolig	полегче	rolig	легкий	ADJ;INDF;NEUT;SG	ADJ;CMPR
rolig	легче	rolig	легкий	ADJ;INDF;NEUT;SG	ADJ;CMPR
ryttere	всадников	ryttere	всадник	V;NFIN	N;ANIM;GEN;MASC;PL
ryttere	всадников	ryttere	всадник	V;NFIN	N;ANIM;GEN;MASC;PL
deltaker	участница	deltaker	участница	N;INDF;MASC;PL	N;ANIM;NOM;FEM;SG
deltaker	участник	deltaker	участник	N;INDF;MASC;PL	N;ANIM;NOM;MASC;SG
deltaker	участница	deltaker	участница	N;INDF;MASC;PL	N;ANIM;NOM;FEM;SG
deltaker	участником	deltaker	участник	N;INDF;MASC;PL	N;ANIM;INS;MASC;SG
deltaker	участника	deltaker	участник	N;INDF;MASC;PL	N;ANIM;ACC;MASC;SG
gjenopprettet	восстановлено	gjenopprett	восстановить	N;DEF;NEUT;SG	V;PFV;NEUT;SG;PST;V.PTCP;PASS
gjenopprettet	восстановлен	gjenopprett	восстановить	N;DEF;NEUT;SG	V;PFV;MASC;SG;PST;V.PTCP;PASS
gjenopprettet	восстановлены	gjenopprett	восстановить	N;DEF;NEUT;SG	V;PFV;PL;PST;V.PTCP;PASS
forent	единая	forent	единый	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
forent	объединенная	forent	объединить	N;INDF;MASC;SG	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
forent	единого	forent	единый	N;INDF;MASC;SG	ADJ;GEN;MASC;SG
forent	единое	forent	единый	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
forent	объединенные	forent	объединить	N;INDF;MASC;SG	V;PFV;NOM;PL;PST;V.PTCP;PASS
forent	united	forent	united	N;INDF;MASC;SG	PROPN
utenlandsk	иностранных	utenlandsk	иностранный	ADJ;INDF;SG	ADJ;GEN;PL
nedgang	отклонить	nedgang	отклонить	N;INDF;MASC;SG	V;PFV;NFIN;ACT
nedgang	уменьшить	nedgang	уменьшить	N;INDF;MASC;SG	V;PFV;NFIN;ACT
federation	федерации	federation	федерация	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
skeptisk	скептически	skeptisk	скептически	ADJ;INDF;SG	ADV
skeptisk	скептически	skeptisk	скептически	ADJ;INDF;SG	ADV
gata	street	gate	street	N;DEF;FEM;SG	PROPN
scotland	шотландии	scotland	шотландия	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
personlighet	личности	personlighet	личность	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
stanset	перестал	stanse	перестать	N;DEF;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
stanset	остановилось	stanse	остановиться	N;DEF;NEUT;SG	V;PFV;NEUT;IND;SG;PST;FIN;MID
stanset	прекратил	stanse	прекратить	N;DEF;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
stanset	остановились	stanse	остановиться	N;DEF;NEUT;SG	V;PFV;IND;PL;PST;FIN;MID
stanset	остановился	stanse	остановиться	N;DEF;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;MID
sakte	медленно	sakte	медленно	ADJ;INDF;NEUT;SG	ADV
sakte	потихоньку	sakte	потихоньку	ADJ;INDF;NEUT;SG	ADV
halve	половины	halv	половина	ADJ;DEF;SG	N;INAN;NOM;FEM;PL
halve	половина	halv	половина	ADJ;DEF;SG	N;INAN;NOM;FEM;SG
halve	половину	halv	половина	ADJ;DEF;SG	N;INAN;ACC;FEM;SG
halve	наполовину	halv	наполовину	ADJ;DEF;SG	ADV
skritt	этапы	skritt	этап	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
skritt	ступеньки	skritt	ступенька	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
skritt	шаги	skritt	шаг	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
castilla	кастилья	castille	кастилье	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
organisk	органические	organisk	органический	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
organisk	органических	organisk	органический	ADJ;INDF;NEUT;SG	ADJ;GEN;PL
bratt	крутых	bratt	крутой	ADJ;INDF;NEUT;SG	ADJ;GEN;PL
kjerne	core	kjerne	core	N;INDF;MASC;SG	PROPN
kjerne	ядра	kjerne	ядро	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
dømte	осужден	dømme	осудить	ADJ;PL;V.PTCP	V;PFV;MASC;SG;PST;V.PTCP;PASS
dømte	осужденным	dømme	осудить	ADJ;PL;V.PTCP	V;PFV;INS;SG;PST;V.PTCP;PASS
dømte	осужденные	dømme	осудить	ADJ;PL;V.PTCP	V;PFV;NOM;PL;PST;V.PTCP;PASS
dømte	осужденный	dømme	осудить	ADJ;PL;V.PTCP	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
dømte	судили	dømme	судить	ADJ;PL;V.PTCP	V;IPFV;IND;PL;PST;FIN;ACT
opplevd	опытные	oppleve	опытный	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;NOM;PL
opplevd	опытных	oppleve	опытный	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;GEN;PL
made	сделанные	made	делать	N;INDF;SG	V;PFV;NOM;PL;PST;V.PTCP;PASS
made	сделано	made	делать	N;INDF;SG	V;PFV;NEUT;SG;PST;V.PTCP;PASS
made	сделана	made	делать	N;INDF;SG	V;PFV;FEM;SG;PST;V.PTCP;PASS
made	сделал	made	делать	N;INDF;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
made	сделаны	made	делать	N;INDF;SG	V;PFV;PL;PST;V.PTCP;PASS
tjue	twenty	tjue	twenty	NUM;PL	PROPN
eksport	экспортировать	eksport	экспортировать	N;INDF;MASC;SG	V;IPFV;NFIN;ACT
institut	institut	institut	institut	N;INDF;NEUT;SG	PROPN
tsjekkiske	чешская	tsjekkisk	чешский	ADJ;PL	ADJ;NOM;FEM;SG
tsjekkiske	чешской	tsjekkisk	чешский	ADJ;PL	ADJ;INS;FEM;SG
tsjekkiske	чешский	tsjekkisk	чешский	ADJ;PL	ADJ;NOM;MASC;SG
skulpturer	скульптуры	skulpture	скульптура	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
skulpturer	скульптуры	skulpture	скульптура	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
brekke	сломать	brekke	ломать	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
grey	серая	grey	серый	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
grey	серый	grey	серый	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
grey	серые	grey	серый	N;INDF;MASC;SG	ADJ;NOM;PL
innsiden	внутри	innside	внутри	N;DEF;MASC;SG	ADV
innsiden	изнутри	innside	изнутри	N;DEF;MASC;SG	ADV
innsiden	внутрь	innside	внутрь	N;DEF;MASC;SG	ADV
analyser	анализировать	analyse	анализировать	N;INDF;FEM;PL	V;IPFV;NFIN;ACT
analyser	проанализировать	analyse	анализировать	N;INDF;FEM;PL	V;PFV;NFIN;ACT
analyser	проанализировать	analyse	анализировать	N;INDF;FEM;PL	V;PFV;NFIN;ACT
analyser	анализировать	analyse	анализировать	N;INDF;FEM;PL	V;IPFV;NFIN;ACT
hersket	постановил	herske	постановить	N;DEF;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
sørger	трауре	sørge	траур	V;IND;PRS;FIN	N;INAN;ESS;MASC;SG
sådan	такие	sådan	такой	N;INDF;MASC;SG	DET;NOM;PL
krysse	кросс	krysse	кросс	V;NFIN	N;INAN;NOM;MASC;SG
krysse	крест	krysse	крест	V;NFIN	N;INAN;NOM;MASC;SG
krysse	креста	krysse	крест	V;NFIN	N;INAN;GEN;MASC;SG
låt	song	låt	song	N;INDF;MASC;SG	PROPN
metamorfose	метаморфозы	metamorfose	метаморфоз	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
serbiske	сербии	serbisk	сербия	ADJ;PL	N;INAN;NOM;FEM;PL
serbiske	сербская	serbisk	сербский	ADJ;PL	ADJ;NOM;FEM;SG
ghana	гане	ghan	ган	PROPN	N;INAN;NOM;MASC;SG
ghana	ганы	ghan	ган	PROPN	N;INAN;NOM;FEM;PL
ghana	гана	ghan	ган	PROPN	N;INAN;NOM;FEM;SG
rapporter	пожаловаться	rapport	жаловаться	N;INDF;NEUT;SG	V;PFV;NFIN;MID
rapporter	отчеты	rapport	отчет	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
rapporter	доклады	rapport	доклад	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
romantisk	романтик	romantisk	романтик	ADJ;INDF;NEUT;SG	N;ANIM;NOM;MASC;SG
romantisk	романтика	romantisk	романтика	ADJ;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
kosovo	косово	kosovo	косово	PROPN	N;INAN;NOM;NEUT;SG
avansert	расширенный	avansere	расширить	ADJ;INDF;SG;V.PTCP	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
avansert	передовые	avansere	передовой	ADJ;INDF;SG;V.PTCP	ADJ;NOM;PL
avansert	передовых	avansere	передовой	ADJ;INDF;SG;V.PTCP	ADJ;GEN;PL
begrense	ограничить	begrense	ограничить	N;INDF;MASC;SG	V;PFV;NFIN;ACT
please	пожалуйста	please	пожалуйста	N;INDF;MASC;SG	ADV
søstre	сёстры	søstre	сестра	ADJ;PL	N;ANIM;NOM;MASC;PL
søstre	сестры	søstre	сестра	ADJ;PL	N;ANIM;NOM;FEM;PL
bestemmelser	правила	bestemmelse	правило	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
bestemmelser	положения	bestemmelse	положение	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
verdensbasis	worldwide	verdensbasis	worldwide	N;INDF;MASC;SG	PROPN
rasende	ярости	rasende	ярость	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
ofre	жертвы	ofre	жертва	V;NFIN	N;ANIM;NOM;FEM;PL
siri	сири	siri	сиреть	N;INDF;FEM;SG	
kjøper	покупателя	kjøpe	покупатель	V;IND;PRS;FIN	N;ANIM;ACC;MASC;SG
kjøper	покупатель	kjøpe	покупатель	V;IND;PRS;FIN	N;ANIM;NOM;MASC;SG
kjøper	покупателем	kjøpe	покупатель	V;IND;PRS;FIN	N;ANIM;INS;MASC;SG
kjøper	покупка	kjøpe	покупка	V;IND;PRS;FIN	N;INAN;NOM;FEM;SG
uka	недели	uka	неделя	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
offer	пострадавшие	offer	пострадавший	N;INDF;NEUT;PL	V;PFV;NOM;PL;PST;V.PTCP;ACT
offer	потерпевшие	offer	потерпевший	N;INDF;NEUT;PL	V;PFV;NOM;PL;PST;V.PTCP;ACT
offer	потерпевший	offer	потерпевший	N;INDF;NEUT;PL	V;PFV;NOM;MASC;SG;PST;V.PTCP;ACT
offer	жертва	offer	жертва	N;INDF;NEUT;PL	N;INAN;NOM;FEM;SG
offer	пострадавший	offer	пострадавший	N;INDF;NEUT;PL	V;PFV;NOM;MASC;SG;PST;V.PTCP;ACT
plyndret	разграблены	plyndre	разграбить	N;DEF;NEUT;SG	V;PFV;PL;PST;V.PTCP;PASS
pat	пэт	pat	пэт	N;INDF;MASC;SG	PROPN;ANIM;NOM;FEM;SG
besøke	визит	besøke	визит	V;NFIN	N;INAN;NOM;MASC;SG
besøke	визита	besøke	визит	V;NFIN	N;INAN;GEN;MASC;SG
besøke	посещение	besøke	посещение	V;NFIN	N;INAN;NOM;NEUT;SG
væske	жидкий	væske	жидкий	N;INDF;FEM;SG	ADJ;NOM;MASC;SG
væske	жидкости	væske	жидкость	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
materiell	материал	materiell	материал	ADJ;INDF;SG	N;INAN;NOM;MASC;SG
materiell	материалы	materiell	материал	ADJ;INDF;SG	N;INAN;NOM;MASC;PL
materiell	материалы	materiell	материал	ADJ;INDF;SG	N;INAN;NOM;MASC;PL
falske	ложь	falsk	ложь	ADJ;PL	N;INAN;NOM;FEM;SG
falske	ложный	falsk	ложный	ADJ;PL	ADJ;NOM;MASC;SG
falske	ложное	falsk	ложный	ADJ;PL	ADJ;NOM;NEUT;SG
stora	stora	stor	stora	N;DEF;FEM;SG	PROPN
sichuan	сычуань	sichuan	сычуань	PROPN	N;INAN;NOM;MASC;SG
odin	один	odin	один	N;INDF;MASC;SG	NUM;NOM;MASC
variasjon	вариации	variasjon	вариация	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
variasjon	разновидности	variasjon	разновидность	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
husk	помним	husk	помнить	V;IMP;FIN	V;IPFV;IND;PL;1;PRS;FIN;ACT
husk	помню	husk	помнить	V;IMP;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
husk	помните	husk	помнить	V;IMP;FIN	V;IPFV;IND;PL;2;PRS;FIN;ACT
husk	помнишь	husk	помнить	V;IMP;FIN	V;IPFV;IND;SG;2;PRS;FIN;ACT
spesialisert	специализированных	spesialisere	специализировать	ADJ;INDF;SG;V.PTCP	V;PFV;GEN;PL;PST;V.PTCP;PASS
spesialisert	специализированный	spesialisere	специализированный	ADJ;INDF;SG;V.PTCP	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
spesialisert	специализированная	spesialisere	специализировать	ADJ;INDF;SG;V.PTCP	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
spesialisert	специализированные	spesialisere	специализировать	ADJ;INDF;SG;V.PTCP	V;PFV;NOM;PL;PST;V.PTCP;PASS
skatter	сокровище	skatter	сокровище	N;INDF;FEM;PL	N;INAN;NOM;NEUT;SG
skatter	клад	skatter	клад	N;INDF;FEM;PL	N;INAN;NOM;MASC;SG
plasseringen	размещения	plassering	размещение	N;DEF;MASC;SG	N;INAN;NOM;NEUT;PL
skillet	различия	skill	различие	N;DEF;NEUT;SG	N;INAN;NOM;NEUT;PL
hestesport	конного	hestesport	конный	N;INDF;NEUT;SG	ADJ;GEN;MASC;SG
stipend	стипендий	stipend	стипендия	N;INDF;NEUT;SG	N;INAN;GEN;FEM;PL
stipend	стипендии	stipend	стипендия	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
stipend	стипендии	stipend	стипендия	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
veiledning	руководства	veiledning	руководство	N;INDF;FEM;SG	N;INAN;NOM;NEUT;PL
begrensninger	ограниченность	begrensning	ограниченность	N;INDF;FEM;PL	N;INAN;NOM;FEM;SG
kalender	календарь	kalende	календарь	N;INDF;FEM;PL	N;INAN;NOM;MASC;SG
dekk	шины	dekk	шина	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
dekk	обложки	dekk	обложка	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
dekk	покрытия	dekk	покрытие	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
portretter	портреты	portrette	портрет	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
utløste	вызвало	utløse	вызвать	ADJ;PL;V.PTCP	V;PFV;NEUT;IND;SG;PST;FIN;ACT
spesifikt	конкретных	spesifikk	конкретный	ADJ;INDF;NEUT;SG	ADJ;GEN;PL
spesifikt	конкретные	spesifikk	конкретный	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
spesifikt	конкретно	spesifikk	конкретно	ADJ;INDF;NEUT;SG	ADV
uttrykt	выражено	uttrykkje	выразить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;NEUT;SG;PST;V.PTCP;PASS
uttrykt	выразил	uttrykkje	выразить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
uttrykt	выраженное	uttrykkje	выразить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;NOM;NEUT;SG;PST;V.PTCP;PASS
uttrykt	выраженные	uttrykkje	выразить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;NOM;PL;PST;V.PTCP;PASS
uttrykt	выраженную	uttrykkje	выразить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;ACC;FEM;SG;PST;V.PTCP;PASS
pilot	экспериментальных	pilot	экспериментальный	N;INDF;MASC;SG	ADJ;GEN;PL
mats	коврики	mats	коврик	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
sint	злость	sint	злость	ADJ;INDF;SG	N;INAN;NOM;FEM;SG
sint	зол	sint	зло	ADJ;INDF;SG	N;INAN;NOM;MASC;SG
iranske	иранский	iransk	иранский	ADJ;PL	ADJ;NOM;MASC;SG
iranske	ирана	iransk	иран	ADJ;PL	N;INAN;GEN;MASC;SG
ønskelig	желаемое	ønskelig	желать	N;INDF;MASC;SG	V;IPFV;NOM;NEUT;SG;PRS;V.PTCP;PASS
ønskelig	желаемых	ønskelig	желать	N;INDF;MASC;SG	V;IPFV;GEN;PL;PRS;V.PTCP;PASS
ønskelig	желательно	ønskelig	желательный	N;INDF;MASC;SG	ADJ;NEUT;SG
child	детский	child	детский	N	ADJ;NOM;MASC;SG
elseif	elseif	elseif	elseif	N;INDF;MASC;SG	PROPN
kapital	capital	kapital	capital	N;INDF;MASC;SG	PROPN
fullføre	полный	fullføre	полный	V;IMP;NFIN	ADJ;NOM;MASC;SG
fullføre	полная	fullføre	полный	V;IMP;NFIN	ADJ;NOM;FEM;SG
roberto	роберто	roberto	роберто	ADJ;INDF;SG;V.PTCP	N;INAN;NOM;MASC;SG
distribusjon	распределения	distribusjon	распределение	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
xiii	xiii	xiii	xiii	N;INDF;MASC;SG	NUM
ankomst	прибытия	ankomst	прибытие	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
ankomst	прибывшие	ankomst	прибыть	N;INDF;MASC;SG	V;PFV;NOM;PL;PST;V.PTCP;ACT
ankomst	прибывающих	ankomst	прибывать	N;INDF;MASC;SG	V;IPFV;GEN;PL;PRS;V.PTCP;ACT
skriv	type	skrive	type	V;IMP;FIN	PROPN
skriv	тип	skrive	тип	V;IMP;FIN	N;INAN;NOM;MASC;SG
trives	процветать	trives	процветать	N;INDF;MASC;SG	V;IPFV;NFIN;ACT
fett	толстый	fett	толстый	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
fett	толстая	fett	толстый	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
fett	жирный	fett	жирный	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
betaling	платежи	betaling	платеж	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
betaling	платежи	betaling	платеж	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
betaling	выплаты	betaling	выплата	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
