les	the	le	the	DET;DEF;PL	PROPN
premier	dulu	premier	dulu	ADJ;MASC;SG	N
premier	first	premier	first	ADJ;MASC;SG	PROPN
fut	euy	être	euy	V;IND;SG;3;PST;FIN	PROPN
fut	was	être	was	V;IND;SG;3;PST;FIN	PROPN
http	http	http	http	N;MASC;SG	PROPN
film	movie	film	movie	N;MASC;SG	PROPN
voir	tampilan	voir	tampilan	V;NFIN	N;SG
grand	big	grand	big	ADJ;MASC;SG	PROPN
grand	grand	grand	grand	ADJ;MASC;SG	PROPN
tout	everything	tout	everything	PRO;MASC;SG	PROPN
tout	all	tout	all	PRO;MASC;SG	PROPN
tout	aii	tout	aii	PRO;MASC;SG	PROPN
tout	semua	tout	semua	PRO;MASC;SG	DET
lors	selama	lors	selama	ADV	ADP
groupe	kelompokkan	groupe	kelompokkan	N;MASC;SG	V;SG;ACT
monde	world	monde	world	N;MASC;SG	PROPN
nord	utara	nord	utara	N;MASC;SG	PROPN;SG
nord	north	nord	north	N;MASC;SG	PROPN
nord	utara	nord	utara	N;MASC;SG	PROPN;SG
nord	northern	nord	northern	N;MASC;SG	PROPN
nord	nord	nord	nord	N;MASC;SG	PROPN
années	tahun	année	tahun	N;FEM;PL	N;SG
bien	bagus	bien	bagus	ADV	ADJ;SG
bien	nah	bien	nah	ADV	
bien	yah	bien	yah	ADV	PART
contre	menentang	contre	mententang	ADP	V;SG;ACT
contre	against	contre	against	ADP	PROPN
puis	kemudian	puis	kemudian	CONJ	ADV
équipe	team	équipe	team	N;FEM;SG	PROPN
club	club	club	club	N;MASC;SG	PROPN
sud	sud	sud	sud	N;MASC;SG	PROPN
sud	south	sud	south	N;MASC;SG	PROPN
partie	party	partie	party	N;FEM;SG	PROPN
partie	berpesta	partie	berpesta	N;FEM;SG	V;SG;ACT
partie	part	partie	part	N;FEM;SG	PROPN
avant	front	avant	front	ADP	PROPN
avant	depan	avant	depan	ADP	N;SG
avant	sebelumnya	avant	sebelumnya	ADP	ADV
avant	before	avant	before	ADP	PROPN
non	not	non	not	ADV	PROPN
non	bukan	non	bukan	ADV	PART;NEG
non	tidak	non	tidak	ADV	PART;NEG
trois	three	trois	three	NUM	PROPN
articles	artikel	article	artikel	N;MASC;PL	N;SG
guerre	war	guerre	war	N;FEM;SG	PROPN
sans	sans	sans	sans	ADP	PROPN
saison	season	saison	season	N;FEM;SG	PROPN
fin	fin	fin	fin	N;FEM;SG	PROPN
fin	akhiri	fin	akhiri	N;FEM;SG	V;SG;ACT
fin	end	fin	end	N;FEM;SG	PROPN
vers	vers	vers	vers	ADP	PROPN
année	year	année	year	N;FEM;SG	PROPN
temps	time	temps	time	N;MASC;SG	PROPN
plusieurs	banyak	plusieurs	banyak	PRO;PL	ADV
plusieurs	beberapa	plusieurs	beberapa	PRO;PL	DET
plusieurs	kelipatan	plusieurs	kelipatan	PRO;PL	N;SG
plusieurs	beberapa	plusieurs	beberapa	PRO;PL	DET
plusieurs	multiple	plusieurs	multiple	PRO;PL	PROPN
plusieurs	berganda	plusieurs	berganda	PRO;PL	PROPN;SG;ACT
faire	buat	faire	buat	V;NFIN	
faire	make	faire	make	V;NFIN	PROPN
faire	faire	faire	faire	V;NFIN	PROPN
mars	march	mars	march	N;MASC;SG	PROPN
mars	mars	mars	mars	N;MASC;SG	PROPN
histoire	history	histoire	history	N;FEM;SG	PROPN
série	series	série	series	N;FEM;SG	PROPN
série	berantai	série	berantai	N;FEM;SG	PROPN;SG;ACT
mai	may	mai	may	N;MASC;SG	PROPN
mai	mei	mai	mei	N;MASC;SG	PROPN;SG
mai	mai	mai	mai	N;MASC;SG	PROPN
tour	tour	tour	tour	N;MASC;SG	PROPN
mort	kematian	mourir	kematian	V;MASC;SG;PST;V.PTCP	N;SG
mort	death	mourir	death	V;MASC;SG;PST;V.PTCP	PROPN
mort	maut	mourir	maut	V;MASC;SG;PST;V.PTCP	PROPN;SG
mort	mati	mourir	mati	V;MASC;SG;PST;V.PTCP	ADJ;SG
mort	mort	mourir	mort	V;MASC;SG;PST;V.PTCP	PROPN
mort	tewas	mourir	tewas	V;MASC;SG;PST;V.PTCP	ADJ;SG
mort	dead	mourir	dead	V;MASC;SG;PST;V.PTCP	PROPN
mort	mati	mourir	mati	V;MASC;SG;PST;V.PTCP	ADJ;SG
juin	jun	juin	jun	N;MASC;SG	
française	prancis	français	prancis	ADJ;FEM;SG	PROPN;SG
française	perancis	français	perancis	ADJ;FEM;SG	PROPN;SG
pierre	stone	pierre	stone	N;FEM;SG	PROPN
pierre	petrus	pierre	petrus	N;FEM;SG	PROPN
pierre	peter	pierre	peter	N;FEM;SG	PROPN
pierre	pierre	pierre	pierre	N;FEM;SG	PROPN
région	provinsi	région	provinsi	N;FEM;SG	PROPN;SG
avoir	telah	avoir	telah	V;NFIN	ADV
fois	times	fois	times	N;FEM;SG	PROPN
autre	lain	autre	lain	PRO;SG	ADJ;SG
autre	lainnya	autre	lainnya	PRO;SG	N
état	state	état	state	N;MASC;SG	PROPN
église	church	église	church	N;FEM;SG	PROPN
octobre	oktober	octobre	oktober	N;MASC;SG	PROPN;SG
octobre	okt	octobre	okt	N;MASC;SG	
octobre	oct	octobre	oct	N;MASC;SG	
octobre	octobre	octobre	octobre	N;MASC;SG	PROPN
place	tempatkan	place	tempatkan	N;FEM;SG	V;SG;ACT
place	place	place	place	N;FEM;SG	PROPN
famille	family	famille	family	N;FEM;SG	PROPN
états	negara	état	negara	N;MASC;PL	N;SG
général	umum	général	umum	N;MASC;SG	ADJ;SG
avril	apr	avril	apr	N;MASC;SG	PROPN
avril	april	avril	april	N;MASC;SG	PROPN;SG
avril	avril	avril	avril	N;MASC;SG	PROPN
insee	insee	insee	insee	N;MASC;SG	PROPN
tous	all	tout	all	PRO;MASC;PL	PROPN
tous	aii	tout	aii	PRO;MASC;PL	PROPN
tous	semua	tout	semua	PRO;MASC;PL	DET
politique	polis	politique	polis	ADJ;MASC;SG	N;SG
politique	kebijakan	politique	kebijakan	ADJ;MASC;SG	N;SG
politique	politik	politique	politik	ADJ;MASC;SG	N;SG
décembre	december	décembre	december	N;MASC;SG	PROPN
août	august	août	august	N;MASC;SG	
août	agu	août	agu	N;MASC;SG	PROPN
août	aug	août	aug	N;MASC;SG	
todo	todo	todo	todo	PROPN	PROPN
novembre	november	novembre	november	N;MASC;SG	PROPN;SG
novembre	nov	novembre	nov	N;MASC;SG	
prix	price	prix	price	N;MASC;SG	PROPN
nouvelle	new	nouveau	new	ADJ;FEM;SG	PROPN
février	feb	février	feb	N;MASC;SG	
grande	big	grand	big	ADJ;FEM;SG	PROPN
grande	grande	grand	grande	ADJ;FEM;SG	PROPN
peu	little	peu	little	ADV	PROPN
peu	kecil	peu	kecil	ADV	ADJ;SG
peu	beraktifitas	peu	beraktifitas	ADV	V;SG;ACT
américain	american	américain	american	ADJ;MASC;SG	PROPN
américain	amerika	américain	amerika	ADJ;MASC;SG	PROPN;SG
début	mulai	début	mulai	N;MASC;SG	V;SG;ACT
début	mulailah	début	mulai	N;MASC;SG	V;SG;ACT
début	start	début	start	N;MASC;SG	PROPN
début	awal	début	awal	N;MASC;SG	ADJ;SG
ligne	garis	ligne	garis	N;FEM;SG	PROPN;SG
ligne	row	ligne	row	N;FEM;SG	PROPN
nationale	gimn	national	gimn	ADJ;FEM;SG	PROPN
nationale	national	national	national	ADJ;FEM;SG	PROPN
nationale	nationale	national	nationale	ADJ;FEM;SG	N
encore	encore	encore	encore	ADV	PROPN
image	picture	image	picture	N;FEM;SG	PROPN
vie	life	vie	life	N;FEM;SG	PROPN
vie	vie	vie	vie	N;FEM;SG	PROPN
unis	bersatu	unir	bersatu	V;MASC;PL;PST;V.PTCP	PROPN
football	soccer	football	soccer	N;MASC;SG	PROPN
football	football	football	football	N;MASC;SG	PROPN
jeux	gaming	jeu	gaming	N;MASC;PL	PROPN
jeux	permainan	jeu	permainan	N;MASC;PL	N;SG
jeux	game	jeu	game	N;MASC;PL	N;SG
jeux	permainan	jeu	permainan	N;MASC;PL	N;SG
jeux	games	jeu	games	N;MASC;PL	PROPN
jeux	game	jeu	game	N;MASC;PL	N;SG
moins	minus	moins	minus	ADV	PROPN
moins	dikurangi	moins	dikurangi	ADV	V;SG;PASS
ouest	maghrib	ouest	maghrib	N;MASC;SG	PROPN
ouest	west	ouest	west	N;MASC;SG	PROPN
ouest	western	ouest	western	N;MASC;SG	PROPN
page	page	page	page	N;FEM;SG	PROPN
nouveau	new	nouveau	new	ADJ;MASC;SG	PROPN
vous	you	vous	you	PRO;PL;2	PROPN
vous	anda	vous	anda	PRO;PL;2	PRO;SG;2;FORM
vous	kau	vous	kau	PRO;PL;2	PRO;SG;2;INFM
vous	kamu	vous	kamu	PRO;PL;2	PRO;SG;2;INFM
centre	tengah	centre	tengah	N;MASC;SG	PROPN;SG
centre	center	centre	center	N;MASC;SG	PROPN
centre	tengah	centre	tengah	N;MASC;SG	PROPN;SG
centre	centre	centre	centre	N;MASC;SG	PROPN
cours	course	cours	course	N;MASC;SG	PROPN
cours	cours	cours	cours	N;MASC;SG	PROPN
village	village	village	village	N;MASC;SG	PROPN
université	universitas	université	universitas	N;FEM;SG	PROPN;SG
université	university	université	university	N;FEM;SG	PROPN
université	college	université	college	N;FEM;SG	PROPN
université	kampus	université	kampus	N;FEM;SG	PROPN;SG
louis	louis	loui	louis	N;MASC;SG	PROPN
nombre	nomer	nombre	nomer	N;MASC;SG	PROPN;SG
quelques	some	quelque	some	PRO;PL	PROPN
quelques	beberapa	quelque	beberapa	PRO;PL	DET
siècle	century	siècle	century	N;MASC;SG	PROPN
coupe	cawan	coupe	cawan	N;FEM;SG	PROPN;SG
coupe	cup	coupe	cup	N;FEM;SG	PROPN
coupe	memotong	coupe	menpotong	N;FEM;SG	V;SG;ACT
coupe	cut	coupe	cut	N;FEM;SG	PROPN
connexes	berhubungan	connexe	berhubungan	ADJ;MASC;PL	V;SG;ACT
connexes	berkaitan	connexe	berkaitan	ADJ;MASC;PL	V;SG;ACT
connexes	terkait	connexe	terkait	ADJ;MASC;PL	V;SG;PASS
homme	male	homme	male	N;MASC;SG	PROPN
homme	men	homme	men	N;MASC;SG	PROPN
homme	man	homme	man	N;MASC;SG	PROPN
division	division	division	division	N;FEM;SG	PROPN
national	gimn	national	gimn	ADJ;MASC;SG	PROPN
national	national	national	national	ADJ;MASC;SG	PROPN
société	society	société	society	N;FEM;SG	PROPN
société	company	société	company	N;FEM;SG	PROPN
quatre	four	quatre	four	NUM	PROPN
cas	case	cas	case	N;MASC;SG	PROPN
jeu	gaming	jeu	gaming	N;MASC;SG	PROPN
jeu	berjudi	jeu	berjudi	N;MASC;SG	V;SG;ACT
genre	gender	genre	gender	N;MASC;SG	PROPN
genre	suka	genre	suka	N;MASC;SG	V;SG
genre	sukai	genre	sukai	N;MASC;SG	ADJ;SG
genre	seperti	genre	seperti	N;MASC;SG	ADP
genre	like	genre	like	N;MASC;SG	PROPN
musique	music	musique	music	N;FEM;SG	PROPN
fils	wire	fils	wire	N;MASC;SG	PROPN
fils	nak	fils	nak	N;MASC;SG	PART
fils	son	fils	son	N;MASC;SG	PROPN
fils	sons	fils	sons	N;MASC;SG	PROPN
roi	raja	roi	raja	N;MASC;SG	PROPN;SG
roi	king	roi	king	N;MASC;SG	PROPN
roi	roi	roi	roi	N;MASC;SG	PROPN
parti	party	partir	party	V;MASC;SG;PST;V.PTCP	PROPN
parti	partai	partir	partai	V;MASC;SG;PST;V.PTCP	N;SG
parti	pesta	partir	pesta	V;MASC;SG;PST;V.PTCP	N;SG
parti	pihak	partir	pihak	V;MASC;SG;PST;V.PTCP	N;SG
parti	gone	partir	gone	V;MASC;SG;PST;V.PTCP	PROPN
jour	day	jour	day	N;MASC;SG	PROPN
mise	taruhan	mettre	taruhan	V;FEM;SG;PST;V.PTCP	N;SG
mise	pertaruhan	mettre	pertaruhan	V;FEM;SG;PST;V.PTCP	N;SG
forme	membentuk	forme	menbentuk	N;FEM;SG	V;SG;ACT
forme	form	forme	form	N;FEM;SG	PROPN
forme	shape	forme	shape	N;FEM;SG	PROPN
époque	epoch	époque	epoch	N;FEM;SG	PROPN
ancien	old	ancien	old	ADJ;MASC;SG	PROPN
ancien	sesepuh	ancien	sesepuh	ADJ;MASC;SG	N
ancien	elder	ancien	elder	ADJ;MASC;SG	PROPN
ancien	ketua	ancien	ketua	ADJ;MASC;SG	N;SG
ancien	tetua	ancien	tetua	ADJ;MASC;SG	N
ancien	penatua	ancien	penatua	ADJ;MASC;SG	N
ancien	mantan	ancien	mantan	ADJ;MASC;SG	N;SG
origine	origin	origine	origin	N;FEM;SG	PROPN
ordre	order	ordre	order	N;MASC;SG	PROPN
château	château	château	château	N;MASC;SG	PROPN
château	castle	château	castle	N;MASC;SG	PROPN
château	chateau	château	chateau	N;MASC;SG	PROPN
carrière	berkarir	carrière	berkarir	N;FEM;SG	V;SG;ACT
part	bagikan	part	bagikan	N;FEM;SG	V;SG;ACT
part	berbagi	part	berbagi	N;FEM;SG	V;SG;ACT
part	share	part	share	N;FEM;SG	PROPN
deuxième	detik	deuxième	detik	ADJ;MASC;SG	N;SG
deuxième	kedua	deuxième	kedua	ADJ;MASC;SG	NUM
deuxième	second	deuxième	second	ADJ;MASC;SG	PROPN
charles	charles	charle	charles	N;MASC;SG	PROPN
points	dots	point	dots	N;MASC;PL	PROPN
points	noktah	point	noktah	N;MASC;PL	N;SG
points	titik	point	titik	N;MASC;PL	N;SG
points	poin	point	poin	N;MASC;PL	N;SG
paul	paulus	paul	paulus	N;MASC;SG	PROPN
paul	paul	paul	paul	N;MASC;SG	PROPN
rue	rue	rue	rue	N;FEM;SG	PROPN
chef	chef	chef	chef	N;MASC;SG	PROPN
chef	chief	chef	chief	N;MASC;SG	PROPN
père	bapa	père	bapa	N;MASC;SG	PROPN
trouve	temuan	trouver	temuan	V;IND;SG;3;PRS;FIN	N;SG
durant	durant	durant	durant	ADP	PROPN
rapport	lapor	rapport	lapor	N;MASC;SG	V;SG;ACT
rapport	laporkan	rapport	laporkan	N;MASC;SG	V;SG;ACT
rapport	melaporkan	rapport	menlaporkan	N;MASC;SG	V;SG;ACT
art	art	art	art	N;MASC;SG	PROPN
canton	guangzhou	canton	guangzhou	N;MASC;SG	PROPN;SG
canton	canton	canton	canton	N;MASC;SG	PROPN
canton	kanton	canton	kanton	N;MASC;SG	PROPN
dernier	last	dernier	last	ADJ;MASC;SG	PROPN
dernier	terkini	dernier	terkini	ADJ;MASC;SG	N;SG
type	ketik	type	ketik	N;MASC;SG	PROPN
habitants	penghuninya	habitant	penhuni	N;MASC;PL	N;SG
habitants	penduduk	habitant	penduduk	N;MASC;PL	N;SG
habitants	warga	habitant	warga	N;MASC;PL	N;SG
habitants	penghuni	habitant	penhuni	N;MASC;PL	N;SG
compte	hitunglah	compte	hitung	N;MASC;SG	V;SG;ACT
compte	hitung	compte	hitung	N;MASC;SG	PROPN;SG;ACT
compte	cacah	compte	cacah	N;MASC;SG	PROPN;SG
compte	account	compte	account	N;MASC;SG	PROPN
armée	militer	armée	militer	N;FEM;SG	ADJ;SG
armée	army	armée	army	N;FEM;SG	PROPN
eau	water	eau	water	N;FEM;SG	PROPN
marie	marie	marier	marie	N;FEM;SG	PROPN
marie	mary	marier	mary	N;FEM;SG	PROPN
marie	maria	marier	maria	N;FEM;SG	PROPN
marie	maria	marier	maria	N;FEM;SG	PROPN
discuter	obrolan	discuter	obrolan	V;NFIN	N;SG
discuter	chat	discuter	chat	V;NFIN	PROPN
car	karena	car	karena	CONJ	CONJ
projet	project	projet	project	N;MASC;SG	PROPN
chaque	every	chaque	every	DET;FEM;SG	PROPN
chaque	each	chaque	each	DET;FEM;SG	PROPN
anglais	inggris	anglais	inggris	N;MASC;SG	PROPN;SG
anglais	indonesian	anglais	indonesian	N;MASC;SG	PROPN
province	provinsi	province	provinsi	N;FEM;SG	PROPN;SG
john	john	john	john	PROPN	PROPN
john	yohanes	john	yohanes	PROPN	PROPN
international	international	international	international	ADJ;MASC;SG	N
international	mancanegara	international	mancanegara	ADJ;MASC;SG	N
conseil	council	conseil	council	N;MASC;SG	PROPN
françois	fransiskus	françois	fransiskus	PROPN	PROPN
françois	francis	françois	francis	PROPN	PROPN
françois	francois	françois	francois	PROPN	PROPN
françois	français	françois	français	PROPN	PROPN
françois	françois	françois	françois	PROPN	PROPN
françois	françois	françois	françois	PROPN	PROPN
maison	house	maison	house	N;FEM;SG	PROPN
maison	home	maison	home	N;FEM;SG	PROPN
maison	pulang	maison	pulang	N;FEM;SG	V;SG;ACT
maison	beranda	maison	beranda	N;FEM;SG	
cela	ini	cela	ini	PRO;SG	DET
cela	that	cela	that	PRO;SG	PROPN
cela	itu	cela	itu	PRO;SG	DET
cela	bahwa	cela	bahwa	PRO;SG	CONJ
cela	yang	cela	yang	PRO;SG	PRO
demande	minta	demande	minta	N;FEM;SG	V;SG;ACT
demande	request	demande	request	N;FEM;SG	PROPN
demande	ask	demande	ask	N;FEM;SG	PROPN
demande	tanya	demande	tanya	N;FEM;SG	
demande	minta	demande	minta	N;FEM;SG	V;SG;ACT
demande	bertanya	demande	bertanya	N;FEM;SG	V;SG;ACT
demande	tanyakan	demande	tanyakan	N;FEM;SG	V;SG;ACT
toujours	always	toujours	always	ADV	PROPN
doit	harus	devoir	harus	V;IND;SG;3;PRS;FIN	ADV;SG;ACT
doit	mesti	devoir	mesti	V;IND;SG;3;PRS;FIN	
doit	keharusan	devoir	keharusan	V;IND;SG;3;PRS;FIN	N;SG
doit	must	devoir	must	V;IND;SG;3;PRS;FIN	PROPN
production	production	production	production	N;FEM;SG	PROPN
certains	some	certain	some	PRO;MASC;PL	PROPN
certains	beberapa	certain	beberapa	PRO;MASC;PL	DET
membre	member	membre	menber	N;MASC;SG	
près	dekat	près	dekat	ADV	ADJ;SG
meilleur	better	meilleur	better	ADJ;MASC;SG	PROPN
meilleur	meilleur	meilleur	meilleur	ADJ;MASC;SG	PROPN
meilleur	best	meilleur	best	ADJ;MASC;SG	PROPN
droit	benar	droit	benar	N;MASC;SG	ADJ;SG
droit	right	droit	right	N;MASC;SG	PROPN
droit	law	droit	law	N;MASC;SG	PROPN
île	island	île	island	N;FEM;SG	PROPN
service	service	service	service	N;MASC;SG	PROPN
service	servis	service	servis	N;MASC;SG	PROPN;SG
jacques	jacques	jacque	jacques	N;MASC;SG	PROPN
score	score	score	score	N;MASC;SG	PROPN
ensuite	lalu	ensuite	lalu	ADV	CONJ;SG
ensuite	maka	ensuite	maka	ADV	CONJ
dit	said	dire	said	V;MASC;SG;PST;V.PTCP	PROPN
dit	katanya	dire	kata	V;MASC;SG;PST;V.PTCP	N;SG
dit	kata	dire	kata	V;MASC;SG;PST;V.PTCP	N;SG
dit	says	dire	says	V;MASC;SG;PST;V.PTCP	PROPN
dit	kata	dire	kata	V;MASC;SG;PST;V.PTCP	N;SG
center	tengah	center	tengah	N;MASC;SG	PROPN;SG
center	center	center	center	N;MASC;SG	PROPN
elles	elles	il	elles	PRO;FEM;PL;3	PROPN
petit	small	petit	small	ADJ;MASC;SG	PROPN
petit	petit	petit	petit	ADJ;MASC;SG	PROPN
petit	little	petit	little	ADJ;MASC;SG	PROPN
petit	sedikit	petit	sedikit	ADJ;MASC;SG	ADV;SG
petit	beraktifitas	petit	beraktifitas	ADJ;MASC;SG	V;SG;ACT
toutes	all	tout	all	PRO;FEM;PL	PROPN
toutes	aii	tout	aii	PRO;FEM;PL	PROPN
toutes	semua	tout	semua	PRO;FEM;PL	DET
argent	perak	argent	perak	N;MASC;SG	PROPN;SG
argent	silver	argent	silver	N;MASC;SG	PROPN
argent	cash	argent	cash	N;MASC;SG	PROPN
style	bergaya	style	bergaya	N;MASC;SG	V;SG;ACT
style	bergaya	style	bergaya	N;MASC;SG	V;SG;ACT
face	face	face	face	N;FEM;SG	PROPN
olympiques	olympic	olympique	olympic	ADJ;MASC;PL	PROPN
olympiques	olimpiade	olympique	olimpiade	ADJ;MASC;PL	N;SG
olympiques	olimpiade	olympique	olimpiade	ADJ;MASC;PL	N;SG
quand	kapan	quand	kapan	CONJ	PRO
quand	saat	quand	saat	CONJ	N;SG
top	top	top	top	N;MASC;SG	ADJ;SG
top	teratas	top	teratas	N;MASC;SG	ADJ;RL;SG
mondiale	worldwide	mondial	worldwide	ADJ;FEM;SG	PROPN
mondiale	mendunia	mondial	mendunia	ADJ;FEM;SG	V;SG;ACT
mondiale	world	mondial	world	ADJ;FEM;SG	PROPN
mondiale	dunia	mondial	dunia	ADJ;FEM;SG	N;SG
ensemble	ensemble	ensemble	ensemble	ADV	PROPN
ensemble	bareng	ensemble	bareng	ADV	PROPN;SG
ensemble	together	ensemble	together	ADV	PROPN
ensemble	bersama	ensemble	bersama	ADV	ADP;SG;ACT
théâtre	theater	théâtre	theater	N;MASC;SG	PROPN
théâtre	theatre	théâtre	theatre	N;MASC;SG	PROPN
scène	stage	scène	stage	N;FEM;SG	PROPN
