길버트	gilbert	길버트	gilbert		N;MASC;SG
빌드	bâtir	빌드	bâtir	N	V;NFIN
빌드	construire	빌드	construire	N	V;NFIN
빌드	bâtit	빌드	bâtir	N	V;IND;SG;3;PRS;FIN
빌드	construit	빌드	construire	N	V;MASC;SG;PST;V.PTCP
실리콘	silicon	실리콘	silicon		N;FEM;SG
실리콘	silicone	실리콘	silicone		N;MASC;SG
실리콘	silicium	실리콘	silicium		N;MASC;SG
실리콘	silicone	실리콘	silicone		N;MASC;SG
생선	poissons	생선	poisson		N;MASC;PL
생선	pêcher	생선	pêcher		V;NFIN
생선	poisson	생선	poisson		N;MASC;SG
히로사키	hirosaki	히로사키	hirosaki	PROPN	PROPN
레프	lev	레프	lev		
히로코	hiroko	히로코	hiroko		PROPN
리에주	liège	리에주	liège		PROPN
브루나이	brunei	브루나이	brunei	PROPN	PROPN
쌓인	empilés	쌓이+ㄴ	empilé		V;MASC;PL;PST;V.PTCP
움직여	déménagement	움직이+어	déménagement		N;MASC;SG
움직여	bouger	움직이+어	bouger		V;NFIN
움직여	déménager	움직이+어	déménager		V;NFIN
움직여	déplacer	움직이+어	déplacer		V;NFIN
급속한	rapide	급속+하+ㄴ	rapide	V	ADJ;MASC;SG
급속한	rapid	급속+하+ㄴ	rapid	V	PROPN
급속한	rapides	급속+하+ㄴ	rapide	V	ADJ;MASC;PL
정화	purifier	정화	purifier		V;NFIN
정화	purifie	정화	purifier		V;IND;SG;3;PRS;FIN
정화	épuration	정화	épuration		N;FEM;SG
정화	purification	정화	purification		N;FEM;SG
나카타	nakata	나카타	nakata		PROPN
원고	plaignante	원+고	plaignant		ADJ;FEM;SG
원고	plaignant	원+고	plaindre		V;PRS;V.PTCP
원고	demandeur	원+고	demandeur		N;MASC;SG
원고	demandeurs	원+고	demandeur		N;MASC;PL
원고	plaignants	원+고	plaignant		N;MASC;PL
크리스티	christie	크리스티	christie		PROPN
해외로	outremer	해외+로	outremer	ADV	N;MASC;PL
해외로	etranger	해외+로	etranger	ADV	N;MASC;SG
유리코	yuriko	유리코	yuriko		PROPN
엑스포	expo	엑스포	expo		N;FEM;SG
엑스포	expos	엑스포	expos		N;MASC;PL
컴파일러	compilation	컴파일러	compilation		N;FEM;SG
컴파일러	recueil	컴파일러	recueil		N;MASC;SG
컴파일러	compilateur	컴파일러	compilateur		N;MASC;SG
컴파일러	compilateurs	컴파일러	compilateur		N;MASC;PL
컴파일러	compilateur	컴파일러	compilateur		N;MASC;SG
앙상블	ensemble	앙상블	ensemble	N	ADV
거미	spider	거미	spider	N	PROPN
거미	araignée	거미	araignée	N	V;FEM;SG;PST;V.PTCP
거미	araignées	거미	araignée	N	V;FEM;PL;PST;V.PTCP
거미	araignée	거미	araignée	N	V;FEM;SG;PST;V.PTCP
그릇	gamelle	그릇	gamelle		N;FEM;SG
그릇	cuvette	그릇	cuvette		N;FEM;SG
그릇	bol	그릇	bol		N;MASC;SG
그릇	boules	그릇	boule		N;FEM;PL
그릇	bols	그릇	bol		N;MASC;PL
그릇	pétanque	그릇	pétanque		ADJ;MASC;SG
힐러리	hillary	힐러리	hillary	PROPN	N;FEM;SG
힐러리	hilary	힐러리	hilary	PROPN	PROPN
캅카스	caucase	캅카스	caucase	PROPN	PROPN
캅카스	flic	캅카스	flic	PROPN	N;MASC;SG
캅카스	policier	캅카스	policier	PROPN	N;MASC;SG
나카니시	nakanishi	나카니시	nakanishi		PROPN
촛불	bougie	촛불	bougie		N;FEM;SG
촛불	chandelle	촛불	chandelle		N;FEM;SG
촛불	chandelles	촛불	chandelle		N;FEM;PL
촛불	bougies	촛불	bougie		N;FEM;PL
촛불	cierges	촛불	cierge		N;FEM;PL
촛불	chandelles	촛불	chandelle		N;FEM;PL
촛불	bougie	촛불	bougie		N;FEM;SG
무스카트	muscat	무스카트	muscat	PROPN	N;MASC;SG
스타트	startups	스타트	startups		N;FEM;PL
우랄	oural	우랄	oural		PROPN
상점	stocker	상점	stocker	N	V;NFIN
스티븐스	stéphane	스티븐스	stéphane	PROPN	PROPN
스티븐스	steven	스티븐스	steven	PROPN	PROPN
스티븐스	stevens	스티븐스	steven	PROPN	PROPN
바꾸기	remplacement	바꾸+기	remplacement	V	N;MASC;SG
바꾸기	interrupteur	바꾸+기	interrupteur	V	N;MASC;SG
바꾸기	commutateur	바꾸+기	commutateur	V	N;MASC;SG
바꾸기	échange	바꾸+기	échange	V	N;MASC;SG
바꾸기	swap	바꾸+기	swap	V	N;MASC;SG
바꾸기	changements	바꾸+기	changement	V	N;MASC;PL
바꾸기	changement	바꾸+기	changement	V	N;MASC;SG
카운트다운	rebours	카운트+답+ㄴ	rebour		N;MASC;SG
카운트다운	décompte	카운트+답+ㄴ	décompter		N;MASC;SG
분홍색	rose	분홍색	rose		ADJ;FEM;SG
분홍색	rosé	분홍색	rosé		V;MASC;SG;PST;V.PTCP
요리사	cuisiner	요리사	cuisiner		V;NFIN
요리사	cuisinier	요리사	cuisinier		N;MASC;SG
요리사	cuire	요리사	cuire		V;NFIN
요리사	cook	요리사	cook		PROPN
요리사	cuisinière	요리사	cuisinier		N;FEM;SG
요리사	chef	요리사	chef		N;MASC;SG
요리사	cuisinier	요리사	cuisinier		N;MASC;SG
헤더	entête	헤더	entêter		N;FEM;SG
헤더	heather	헤더	heather		PROPN
헤더	bruyère	헤더	bruyère		N;FEM;SG
산술	arithmétique	산술	arithmétique	N	ADJ;MASC;SG
십자	croisée	십자	croisé		V;FEM;SG;PST;V.PTCP
십자	croix	십자	croix		N;FEM;SG
십자	traverser	십자	traverser		V;NFIN
십자	croisé	십자	croisé		V;MASC;SG;PST;V.PTCP
레일	ferroviaire	레일	ferroviaire	N	ADJ;MASC;SG
간격	gap	간격	gap	N	PROPN
카스트로	castro	카스트+로	castro		PROPN
라이스	riz	라이스	riz		N;MASC;SG
페르미	fermi	페르미	fermir	N	PROPN
사춘기	adolescent	사춘기	adolescent		N;MASC;SG
사춘기	puberté	사춘기	puberté		N;FEM;SG
사춘기	adolescence	사춘기	adolescence		N;FEM;SG
베넷	bennett	베넷	bennett		PROPN
베넷	bennet	베넷	bennet		PROPN
후드	hood	후드	hood		PROPN
후드	capot	후드	capot		N;MASC;SG
후드	cagoule	후드	cagoule		N;FEM;SG
후드	capuche	후드	capuche		N;FEM;SG
후드	capuchon	후드	capuchon		N;MASC;SG
페인	payne	페인	payne		PROPN
페인	paine	페인	paine		PROPN
요셉	joseph	요셉	joseph		N;MASC;SG
프론티어	frontières	프론티어	frontière		N;FEM;PL
프론티어	frontière	프론티어	frontière		N;FEM;SG
프론티어	frontier	프론티어	frontier		PROPN
디아블로	diablo	디아블+로	diablo	ADV	PROPN
불안	anxieuse	불안	anxieux	N	ADJ;FEM;SG
불안	anxieux	불안	anxieux	N	ADJ;MASC;SG
퀸즈	reines	퀸즈	reine		N;FEM;PL
퀸즈	queens	퀸즈	queen		N;MASC;SG
프린터	imprimer	프린터	imprimer	N	V;NFIN
터미네이터	exterminateur	터미레이터	exterminateur		N;MASC;SG
터미네이터	terminator	터미레이터	terminator		N;MASC;SG
일렉트로니카	electronica	일렉트로니카	electronica		PROPN
채소	végétal	채소	végétal	N	ADJ;MASC;SG
스트라스부르	strasbourg	스트라스부르	strasbourg	PROPN	PROPN
키르기스스탄	kirghizistan	키르기스스탄	kirghizistan	PROPN	PROPN
키르기스스탄	kirghizstan	키르기스스탄	kirghizstan	PROPN	N;MASC;SG
무라타	murata	무라타	murata		PROPN
이끼	moss	이끼	moss	N	PROPN
바트	bart	바트	bart		PROPN
시리우스	sirius	시리우스	sirius	PROPN	PROPN
킹스턴	kingston	킹스턴	kingston		N;MASC;SG
협조	coopèrent	협조	cooper	N	V;IND;PL;3;PRS;FIN
협조	coopère	협조	coopère	N	V;IND;SG;3;PRS;FIN
협조	coopérer	협조	coopérer	N	V;NFIN
랄프	ralph	랄프	ralph		N;MASC;PL
클릭	cliquer	클릭	cliquer	N	V;NFIN
클릭	cliquez	클릭	cliquer	N	V;IMP;PL;2;PRS;FIN
클릭	cliquant	클릭	cliquer	N	V;PRS;V.PTCP
하디	hardy	하디	hardy		PROPN
파스타	pâtes	파스타	pâte		N;FEM;PL
다스	dark	다스	dark		PROPN
북서	northwestern	북서	northwestern		PROPN
북서	northwest	북서	northwest		PROPN
페르시아어	persique	페르시아어	persique	PROPN	N;MASC;SG
페르시아어	perse	페르시아어	perse	PROPN	PROPN
페르시아어	perses	페르시아어	perse	PROPN	N;MASC;PL
페르시아어	persan	페르시아어	persan	PROPN	N;MASC;SG
노르딕	nordiques	노르딕	nordique		ADJ;MASC;PL
노르딕	nordique	노르딕	nordique		ADJ;MASC;SG
매리너스	mariners	매리너스	mariner		N;MASC;PL
플랜	planifier	플랜	planifier		V;NFIN
플랜	plan	플랜	plan		N;MASC;SG
플랜	plans	플랜	plan		N;MASC;PL
의미있는	significative	의미있+는	significatif		ADJ;FEM;SG
의미있는	significatif	의미있+는	significatif		ADJ;MASC;SG
미아	mia	미+아	mia		PROPN
야채	végétal	야채	végétal	N	ADJ;MASC;SG
렌더링	rendu	렌더링	rendre	N	V;MASC;SG;PST;V.PTCP
렌더링	rendre	렌더링	rendre	N	V;NFIN
렌더링	rendu	렌더링	rendre	N	V;MASC;SG;PST;V.PTCP
적분	intégral	적분	intégral	N	ADJ;MASC;SG
적분	intégrale	적분	intégral	N	ADJ;FEM;SG
적분	intégrales	적분	intégral	N	ADJ;FEM;PL
삼각주	delta	삼각주	delta	PROPN	N;MASC;SG
사각형	carré	사각형	carré		N;MASC;SG
사각형	carrés	사각형	carré		N;MASC;PL
사각형	square	사각형	square		N;MASC;SG
사각형	carrées	사각형	carrée		ADJ;FEM;PL
사각형	rectangle	사각형	rectangle		N;MASC;SG
사각형	rectangulaire	사각형	rectangulaire		ADJ;MASC;SG
사각형	rectangulaires	사각형	rectangulaire		ADJ;MASC;PL
청소	propre	청소	propre	N	ADJ;MASC;SG
청소	nettoient	청소	nettoyer	N	V;IND;PL;3;PRS;FIN
청소	nettoyer	청소	nettoyer	N	V;NFIN
청소	nettoyées	청소	nettoyer	N	V;FEM;PL;PST;V.PTCP
청소	nettoyé	청소	nettoyer	N	V;MASC;SG;PST;V.PTCP
청소	nettoyés	청소	nettoyer	N	V;MASC;PL;PST;V.PTCP
거기	là	거기	là		ADV
세미	semi	세미	semi		N;MASC;SG
중등	secondaires	중등	secondaire	N	ADJ;MASC;PL
중등	secondaire	중등	secondaire	N	ADJ;MASC;SG
베이시스트	bassiste	베이시스트	bassiste	PROPN	N;MASC;SG
캐롤	carol	캐롤	carol		PROPN
캐롤	carole	캐롤	carole		N;FEM;SG
캐롤	carroll	캐롤	carroll		PROPN
캐롤	carole	캐롤	carole		N;FEM;SG
엘리	ellie	엘리	ellier		PROPN
엘리	eli	엘리	eli		PROPN
부채	dettes	부채	dette		N;FEM;PL
부채	passif	부채	passif		ADJ;MASC;SG
부채	engagements	부채	engagement		N;MASC;PL
부채	passifs	부채	passif		ADJ;MASC;PL
부채	endettement	부채	endettement		N;MASC;SG
부채	dette	부채	dette		N;FEM;SG
부채	dettes	부채	dette		N;FEM;PL
눈부신	éblouissante	눈부시+ㄴ	éblouissant		ADJ;FEM;SG
눈부신	éblouissant	눈부시+ㄴ	éblouissant		ADJ;MASC;SG
히로세	hirose	히로세	hirose		PROPN
발효	fermentées	발효	fermenter	N	V;FEM;PL;PST;V.PTCP
발효	fermenté	발효	fermenter	N	V;MASC;SG;PST;V.PTCP
체리	cherry	체리	cherry		PROPN
체리	cerisier	체리	cerisier		N;MASC;SG
체리	cerise	체리	cerise		N;FEM;SG
체리	cerises	체리	cerise		N;FEM;PL
체리	cerises	체리	cerise		N;FEM;PL
친족	kin	친족	kin	N	
퍼텐셜	potentiels	퍼텐셜	potentiel	N	ADJ;MASC;PL
퍼텐셜	potentielle	퍼텐셜	potentiel	N	ADJ;FEM;SG
생각하기	réfléchis	생각+하+기	réfléchire	V	ADJ;MASC;PL
버섯	champignons	버섯	champignon		N;MASC;PL
버섯	champignon	버섯	champignon		N;MASC;SG
버섯	champignons	버섯	champignon		N;MASC;PL
버섯	champignon	버섯	champignon		N;MASC;SG
익숙한	familières	익숙+하+ㄴ	familier	V	ADJ;FEM;PL
