que	te	que	te	PRO	V;DEF;IND;SG;1;PRS;FIN;ACT
lle	te	lle	te	PRO	V;DEF;IND;SG;1;PRS;FIN;ACT
lle	neki	lle	ő	PRO	
vai	will	ir	will	V	
vai	fog	ir	fog	V	V;INDF;IND;SG;3;PRS;ACT
vai	akarat	ir	akarat	V	N;NOM;SG
pode	can	poder	can	V	
pode	may	poder	may	V	
pode	május	poder	május	V	N;NOM;SG
pode	májusi	poder	májusi	V	ADJ;NOM;SG
pode	májusban	poder	május	V	N;IN+ESS;SG
tamén	szintén	tamén	szintén	ADV	
tamén	úgyszintén	tamén	úgyszintén	ADV	
tamén	is	tamén	is	ADV	CONJ
tamén	túl	tamén	túl	ADV	
te	te	te	te	PRO	V;DEF;IND;SG;1;PRS;FIN;ACT
casa	house	casa	hous	N	
casa	házon	casa	ház	N	ADJ;FRML;SG
casa	otthon	casa	otthon	N	
casa	itthon	casa	itthon	N	
casa	haza	casa	haza	N	
quero	don	quero	don	V	
anos	idős	ano	idős	N	
anos	régi	ano	régi	N	
anos	öreg	ano	öreg	N	
vez	újra	vez	újra	N	ADV
vez	egyszer	vez	egyszer	N	ADV
vez	valaha	vez	valaha	N	
das	az	das	az	N	
das	től	das	től	N	
das	tól	das	tól	N	
das	from	das	from	N	
sei	don	saber	don	V	
tempo	hosszú	tempo	hosszú	N	
día	reggel	día	reggel	N	
vida	life	vida	life	N	
ver	lásd	ver	lásd	V	
polo	az	polo	az	N	
polo	for	polo	for	N	
polo	legkevesebb	polo	kevev	N	
polo	legkevésbé	polo	kevésbé	N	
dicir	mondás	dicir	mondás	V	N;NOM;SG
dicir	aljas	dicir	aljas	V	
sobre	kb	sobre	kb	ADP	N;NOM;SG
sobre	nagyjából	sobre	nagy	ADP	N;IN+ABL;SG
sobre	körülbelül	sobre	körülbelül	ADP	ADV
sobre	vége	sobre	vég	ADP	N;NOM;SG
sobre	át	sobre	át	ADP	ADV
estaba	volt	estar	van	V	V;INDF;IND;SG;3;PST;FIN;ACT
aínda	habár	aínda	habár	ADV	CONJ
aínda	bár	aínda	bár	ADV	CONJ
aínda	mégis	aínda	mégis	ADV	CONJ
mesmo	ugyanez	mesmo	ugyanez	DET	
mesmo	ugyanaz	mesmo	ugyanaz	DET	
mesmo	még	mesmo	még	DET	ADV
mesmo	jobbra	mesmo	jobbra	DET	ADV
moito	sok	moito	sok	ADV	
moito	tétel	moito	tétel	ADV	N;NOM;SG
moito	sok	moito	sok	ADV	
moito	sokat	moito	sok	ADV	
moito	hosszú	moito	hosszú	ADV	
¡	te	¡	te		V;DEF;IND;SG;1;PRS;FIN;ACT
sen	anélkül	sen	anélkül	ADP	
vostede	te	vostede	te	PROPN	V;DEF;IND;SG;1;PRS;FIN;ACT
nunca	valaha	nunca	valaha	ADV	
nunca	sosem	nunca	sosem	ADV	
nunca	soha	nunca	soha	ADV	
podo	can	podar	can	V	
coma	like	coma	lik	CONJ	
coma	tetszik	coma	tetszik	CONJ	V;INDF;IND;SG;3;PRS;FIN;ACT
están	ők	estar	ők	V	PRO;NOM;PL;3
tan	ilyen	tan	ilyen	ADV	
mundo	világ	mundo	világ	N	
mundo	world	mundo	world	N	
mundo	mindenki	mundo	mindenki	N	
mundo	mindenkinek	mundo	mindenki	N	
túa	te	teu	te	PRO	V;DEF;IND;SG;1;PRS;FIN;ACT
pola	for	pola	for	N	
pola	az	pola	az	N	
co	with	co	with	PROPN	
co	az	co	az	PROPN	
che	te	che	te		V;DEF;IND;SG;1;PRS;FIN;ACT
mellor	jobban	mellor	jól	ADJ	ADV
mellor	legjobbak	mellor	jó	ADJ	N;NOM;PL
mellor	legjobb	mellor	jó	ADJ	
mellor	best	mellor	best	ADJ	
coa	with	coar	with	V	
coa	az	coar	az	V	
aos	az	aos	az	PROPN	
sempre	örökre	sempre	örök	ADV	
sempre	forever	sempre	forever	ADV	
sempre	mindörökké	sempre	mindörökké	ADV	
sempre	örökké	sempre	örökké	ADV	
noite	éj	noite	éj	N	
noite	este	noite	este	N	ADV
noite	éjjel	noite	éjjel	N	
noite	este	noite	este	N	ADV
noite	este	noite	este	N	ADV
nin	még	nin	még	CONJ	ADV
nin	sem	nin	sem	CONJ	ADV
nin	nem	nin	nem	CONJ	ADV
dous	kettő	dous	kettő	N	
dous	mindkettő	dous	mindkettő	N	
dous	mindketten	dous	mindkett	N	
grazas	te	graza	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
grazas	sok	graza	sok	N	
grazas	sokat	graza	sok	N	
grazas	köszönöm	graza	köszönöm	N	V;DEF;IND;SG;1;PRS;FIN;ACT
grazas	köszi	graza	köszi	N	V;DEF;IND;SG;1;PRS;FIN;ACT
outra	újra	outro	újra	DET	ADV
outra	egyéb	outro	egyéb	DET	
outra	más	outro	más	DET	PRO;NOM;SG;3
es	te	e	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
pai	apu	pai	apu	N	
antes	előtte	antes	előtte	ADV	
antes	előtt	antes	előtt	ADV	ADP
ás	az	á	az	N	
ás	néha	á	néha	N	
ese	ez	ese	ez	DET	PRO;NOM;SG;3
ese	ezt	ese	ez	DET	PRO;ACC;SG;3
ese	ez	ese	ez	DET	PRO;NOM;SG;3
esa	ez	ese	ez	DET	PRO;NOM;SG;3
esa	ezt	ese	ez	DET	PRO;ACC;SG;3
esa	ez	ese	ez	DET	PRO;NOM;SG;3
verdade	igaz	verdade	igaz	N	
verdade	igazi	verdade	igazi	N	
verdade	jobbra	verdade	jobbra	N	ADV
verdade	tényleg	verdade	tényleg	N	
verdade	igazán	verdade	igazán	N	
verdade	te	verdade	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
verdade	real	verdade	real	N	
verdade	valós	verdade	valós	N	ADJ;NOM;SG
verdade	igazi	verdade	igazi	N	
verdade	valódi	verdade	valódi	N	
dun	egy	dun	egy	PROPN	DET;INDF
dun	től	dun	től	PROPN	
dun	tól	dun	tól	PROPN	
dun	from	dun	from	PROPN	
entón	aztán	entón	aztán	ADV	
aí	ez	aí	ez	ADV	PRO;NOM;SG;3
despois	után	despois	után	ADV	ADP
despois	after	despois	after	ADV	
despois	miután	despois	miután	ADV	CONJ
despois	utána	despois	utána	ADV	
despois	aztán	despois	aztán	ADV	
bo	jó	bo	jó	ADJ	
bo	reggel	bo	reggel	ADJ	
bo	reggelt	bo	reggelt	ADJ	N;NOM;SG
falar	beszélgetés	falar	beszélgetés	V	N;NOM;SG
falar	kb	falar	kb	V	N;NOM;SG
falar	nagyjából	falar	nagy	V	N;IN+ABL;SG
falar	körülbelül	falar	körülbelül	V	ADV
falar	beszélő	falar	beszélő	V	ADJ;NOM;SG
cada	minden	cada	minden	DET	PRO;NOM;SG;3
cada	mindegyik	cada	mindegyik	DET	
logo	aztán	logo	aztán	ADV	
logo	után	logo	után	ADV	ADP
logo	after	logo	after	ADV	
logo	miután	logo	miután	ADV	CONJ
logo	utána	logo	utána	ADV	
favor	kérem	favor	kér	N	V;DEF;IMP;SG;3;PRS;FIN;ACT
favor	kérlek	favor	kérl	N	V;DEF;IMP;SG;1;PRS;FIN;ACT
creo	don	creo	don	V	
ninguén	bárkinek	ninguén	bárki	ADV	
ninguén	valaki	ninguén	valaki	ADV	
ninguén	bárkit	ninguén	bárki	ADV	
ninguén	bárki	ninguén	bárki	ADV	
ninguén	senki	ninguén	senki	ADV	
ninguén	egy	ninguén	egy	ADV	DET;INDF
ninguén	bárki	ninguén	bárki	ADV	
alí	vége	alí	vég	ADV	N;NOM;SG
podes	can	poder	can	V	
pouco	kis	pouco	kis	ADV	ADJ;NOM;SG
pouco	kicsi	pouco	kicsi	ADV	
pouco	kevés	pouco	kevés	ADV	
pouco	bites	pouco	bites	ADV	
pouco	kicsit	pouco	kicsi	ADV	
pouco	néhány	pouco	néhány	ADV	DET;INDF
podemos	can	poder	can	V	
nai	anyu	nai	anyu	N	
ó	az	ó	az	DET	
dixo	said	dicir	said	V	
alguén	valaki	alguén	valaki	PRO	
alguén	valaki	alguén	valaki	PRO	
alguén	valakit	alguén	valakit	PRO	
alguén	bárki	alguén	bárki	PRO	
alguén	bárkinek	alguén	bárki	PRO	
alguén	valaki	alguén	valaki	PRO	
alguén	bárkit	alguén	bárki	PRO	
alguén	bárki	alguén	bárki	PRO	
teñen	ők	ter	ők	V	PRO;NOM;PL;3
menos	kevesebbet	menos	kevesebb	ADV	
menos	kevesebb	menos	kevesebb	ADV	
menos	legkevesebb	menos	kevev	ADV	
menos	legkevésbé	menos	kevésbé	ADV	
menos	kisasszony	menos	kisasszony	ADV	N;NOM;SG
dunha	től	dunha	től	N	
dunha	tól	dunha	tól	N	
dunha	from	dunha	from	N	
nas	az	nas	az	PROPN	
outro	egyéb	outro	egyéb	DET	
outro	más	outro	más	DET	PRO;NOM;SG;3
muller	nö	muller	nö	N	
cousa	izé	cousa	izé	N	
cousa	bármit	cousa	bármit	N	
cousa	bármi	cousa	bármi	N	
cousa	valami	cousa	valami	N	
cousa	valamit	cousa	valamit	N	
cara	felé	cara	felé	N	ADP
tres	három	tres	három	N	NUM;NOM;SG
novo	újdonság	novo	újdonság	ADJ	N;NOM;SG
novo	újra	novo	újra	ADJ	ADV
novo	fiatalok	novo	fiatal	ADJ	N;NOM;PL
novo	fiatal	novo	fiatal	ADJ	
todas	mindenütt	todo	mindenütt	DET	
todas	mindenhol	todo	mindenhol	DET	
todas	mindegyik	todo	mindegyik	DET	
todas	mind	todo	mind	DET	CONJ
todas	minden	todo	minden	DET	PRO;NOM;SG;3
todas	minden	todo	minden	DET	PRO;NOM;SG;3
di	said	dicir	said	V	
lugar	helyett	lugar	helyett	N	
lugar	ehelyett	lugar	ehelyett	N	
lugar	helyette	lugar	helyett	N	
días	reggel	día	reggel	N	
sabe	can	saber	can	V	
mañá	holnap	mañá	holnap	ADV	
mañá	reggel	mañá	reggel	ADV	
mañá	reggelt	mañá	reggelt	ADV	N;NOM;SG
dende	től	dende	től	ADP	
dende	tól	dende	tól	ADP	
dende	from	dende	from	ADP	
dende	azóta	dende	azóta	ADP	ADV
dende	mióta	dende	mióta	ADP	ADV
dende	mivel	dende	mivel	ADP	CONJ
primeiro	először	primeiro	először	ADJ	ADV
parte	legtöbb	parte	legtöbb	N	
parte	részben	parte	részben	N	ADV
parte	az	parte	az	N	
veces	néha	vez	néha	N	
veces	idők	vez	idő	N	
veces	kétszer	vez	két	N	
sexa	mindegy	ser	mindegy	V	
claro	persze	claro	persze	ADJ	
claro	tiszta	claro	tiszta	ADJ	
canto	hogyan	canto	hogyan	PRO	ADV
canto	sok	canto	sok	PRO	
canto	sokat	canto	sok	PRO	
canto	helyett	canto	helyett	PRO	
canto	ehelyett	canto	ehelyett	PRO	
canto	helyette	canto	helyett	PRO	
canto	hosszú	canto	hosszú	PRO	
pasa	kb	pasar	kb	V	N;NOM;SG
pasa	nagyjából	pasar	nagy	V	N;IN+ABL;SG
pasa	körülbelül	pasar	körülbelül	V	ADV
pasa	rossz	pasar	rossz	V	
pasa	helytelen	pasar	helytelen	V	
pasa	with	pasar	with	V	
pasa	az	pasar	az	V	
boa	jó	bo	jó	ADJ	
boa	szep	bo	szep	ADJ	
boa	szép	bo	szép	ADJ	
tanto	ez	tanto	ez	ADV	PRO;NOM;SG;3
tanto	sok	tanto	sok	ADV	
tanto	sokat	tanto	sok	ADV	
cos	with	cos	with	PROPN	
cos	az	cos	az	PROPN	
toda	egészben	todo	egészben	DET	N;IN+ESS;SG
toda	egész	todo	egész	DET	
toda	mindegyik	todo	mindegyik	DET	
toda	mind	todo	mind	DET	CONJ
toda	minden	todo	minden	DET	PRO;NOM;SG;3
durante	során	durante	sor	ADP	N;ON+ESS;SG
durante	for	durante	for	ADP	
fóra	ki	fóra	ki	ADV	PRO;NOM;SG;3
fóra	kint	fóra	kint	ADV	
fóra	kívül	fóra	kívül	ADV	
contra	ellene	contra	ellen	ADP	PRO;NOM;SG;3
mal	rossz	mal	rossz	ADV	
mal	helytelen	mal	helytelen	ADV	
mal	bad	mal	bad	ADV	
mal	rosz	mal	rosz	ADV	
mal	rossz	mal	rossz	ADV	
tarde	délután	tarde	délután	N	
tarde	délutáni	tarde	délutáni	N	
tarde	este	tarde	este	N	ADV
tarde	később	tarde	későn	N	ADV
tarde	későn	tarde	későn	N	
tarde	késő	tarde	késő	N	
tarde	késve	tarde	késve	N	
vas	will	ir	will	V	
vas	fog	ir	fog	V	V;INDF;IND;SG;3;PRS;ACT
vas	akarat	ir	akarat	V	N;NOM;SG
poden	can	poder	can	V	
poden	ők	poder	ők	V	PRO;NOM;PL;3
poden	may	poder	may	V	
poden	május	poder	május	V	N;NOM;SG
poden	májusi	poder	májusi	V	ADJ;NOM;SG
poden	májusban	poder	május	V	N;IN+ESS;SG
persoas	ki	persoa	ki	N	PRO;NOM;SG;3
persoas	aki	persoa	aki	N	PRO;NOM;SG;3
calquera	bármelyik	calquera	bármelyik	DET	
calquera	bármely	calquera	bármely	DET	
calquera	bármilyen	calquera	bármilyen	DET	
calquera	bárkinek	calquera	bárki	DET	
calquera	valaki	calquera	valaki	DET	
calquera	bárkit	calquera	bárki	DET	
calquera	bárki	calquera	bárki	DET	
calquera	mindegy	calquera	mindegy	DET	
calquera	bármit	calquera	bármit	DET	
calquera	bármi	calquera	bármi	DET	
outros	egyéb	outro	egyéb	DET	
outros	más	outro	más	DET	PRO;NOM;SG;3
outros	másoknak	outro	más	DET	PRO;DAT;PL;3
outros	egyéb	outro	egyéb	DET	
outros	mások	outro	más	DET	
outros	egyebek	outro	egyéb	DET	
parece	mint	parecer	mint	V	CONJ
parece	like	parecer	lik	V	
quería	körözött	querer	köröz	V	
pois	hát	pois	hát	CONJ	
pois	te	pois	te	CONJ	V;DEF;IND;SG;1;PRS;FIN;ACT
dúas	kettő	dous	kettő	N	
dúas	mindkettő	dous	mindkettő	N	
dúas	mindketten	dous	mindkett	N	
dúas	kétszer	dous	két	N	
ola	helló	ola	helló	N	
ola	hello	ola	héll	N	
estes	ezek	este	ez	DET	PRO;NOM;PL;3
estes	ezeket	este	ez	DET	PRO;ACC;PL;3
estes	ezt	este	ez	DET	PRO;ACC;SG;3
estes	ez	este	ez	DET	PRO;NOM;SG;3
estes	azok	este	az	DET	PRO;NOM;PL;3
será	will	ser	will	V	
será	fog	ser	fog	V	V;INDF;IND;SG;3;PRS;ACT
será	akarat	ser	akarat	V	N;NOM;SG
será	jobb	ser	jó	V	ADJ;NOM;CMPR;SG
será	jobban	ser	jól	V	ADV
señora	hölgy	señor	hölgy	N	
certo	igaz	certo	igaz	DET	
certo	igazi	certo	igazi	DET	
certo	jobbra	certo	jobbra	DET	ADV
feito	tény	feito	tény	N	
feito	igazából	feito	igazából	N	ADV
feito	kész	feito	kész	N	
feito	készítette	feito	készít	N	V;DEF;IND;SG;3;PST;FIN;ACT
feito	készült	feito	készül	N	V;INDF;IND;SG;3;PST;FIN;ACT
feito	tett	feito	tesz	N	V;INDF;IND;SG;3;PST;FIN;ACT
poder	energia	poder	energia	V	N;NOM;SG
poder	erő	poder	erő	V	N;NOM;SG
poder	power	poder	power	V	
poder	hatalom	poder	hatalom	V	N;NOM;SG
poder	can	poder	can	V	
poder	képes	poder	képes	V	
tipo	fickó	tipo	fickó	N	
tipo	guy	tipo	guy	N	
mira	lásd	miro	lásd	V	
moitos	sok	moito	sok	DET	
moitos	sokan	moito	sokan	DET	ADV
moitos	sok	moito	sok	DET	
moitos	tétel	moito	tétel	DET	N;NOM;SG
historia	story	historia	story	N	
cidade	city	cidade	city	N	
cidade	városi	cidade	városi	N	ADJ;NOM;SG
cidade	town	cidade	town	N	
daquela	aztán	daquela	aztán	ADV	
mulleres	női	muller	női	N	
uns	kb	un	kb	DET	N;NOM;SG
uns	nagyjából	un	nagy	DET	N;IN+ABL;SG
uns	körülbelül	un	körülbelül	DET	ADV
uns	kevesen	un	kevés	DET	ADV
uns	pár	un	pár	DET	
uns	kevés	un	kevés	DET	
uns	kevesek	un	kevés	DET	
uns	mindegyik	un	mindegyik	DET	
saber	tudván	saber	tudván	V	
saber	ismerve	saber	ismerve	V	ADV;V.CVB
saber	tudva	saber	tudva	V	ADV;V.CVB
rei	kinga	rei	kinga	PROPN	
rei	landolás	rei	landolás	PROPN	N;NOM;SG
rei	leszállás	rei	leszállás	PROPN	N;NOM;SG
estas	ezek	este	ez	DET	PRO;NOM;PL;3
estas	ezeket	este	ez	DET	PRO;ACC;PL;3
estas	azok	este	az	DET	PRO;NOM;PL;3
estas	ezt	este	ez	DET	PRO;ACC;SG;3
estas	ez	este	ez	DET	PRO;NOM;SG;3
gran	nagyszerű	gran	nagyszerű	ADJ	
gran	nagyok	gran	nagy	ADJ	N;NOM;PL
gran	britannia	gran	britannia	ADJ	
tal	hogyan	tal	hogyan	DET	ADV
tal	kb	tal	kb	DET	N;NOM;SG
tal	nagyjából	tal	nagy	DET	N;IN+ABL;SG
tal	körülbelül	tal	körülbelül	DET	ADV
tal	ilyen	tal	ilyen	DET	
tal	talán	tal	talán	DET	ADV
tal	ez	tal	ez	DET	PRO;NOM;SG;3
ano	évi	ano	évi	N	
seguro	biztonságos	seguro	biztonságos	N	ADJ;NOM;SG
seguro	te	seguro	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
problema	gond	problema	gond	N	
problema	baj	problema	baj	N	
problema	gond	problema	gond	N	
problema	baj	problema	baj	N	
vin	fűrész	ver	fűrész	V	N;NOM;SG
vin	lásd	ver	lásd	V	
amor	love	amor	love	N	
dixen	said	dixir	said	V	
moitas	nagyon	moito	nagyon	DET	ADV
moitas	sok	moito	sok	DET	
moitas	sokat	moito	sok	DET	
moitas	sok	moito	sok	DET	
moitas	sokan	moito	sokan	DET	ADV
moitas	sok	moito	sok	DET	
moitas	tétel	moito	tétel	DET	N;NOM;SG
moitas	te	moito	te	DET	V;DEF;IND;SG;1;PRS;FIN;ACT
facelo	ez	facelo	ez	N	PRO;NOM;SG;3
facelo	ezt	facelo	ez	N	PRO;ACC;SG;3
facelo	ez	facelo	ez	N	PRO;NOM;SG;3
grande	nagyok	grande	nagy	ADJ	N;NOM;PL
grande	nagyok	grande	nagy	ADJ	N;NOM;PL
grande	nagyszerű	grande	nagyszerű	ADJ	
nova	fiatalok	novo	fiatal	ADJ	N;NOM;PL
nova	fiatal	novo	fiatal	ADJ	
nova	újdonság	novo	újdonság	ADJ	N;NOM;SG
ven	lásd	ver	lásd	V	
ven	itt	ver	itt	V	ADV
cun	with	cun	with	PROPN	
había	ott	haber	ott	V	ADV
vale	jobbra	valar	jobbra	V	ADV
vale	érdemes	valar	érdemes	V	ADJ;NOM;SG
vale	megéri	valar	megéri	V	
vale	worth	valar	worth	V	
vale	mindegyik	valar	mindegyik	V	
vale	mind	valar	mind	V	CONJ
vale	minden	valar	minden	V	PRO;NOM;SG;3
van	ők	ir	ők	V	PRO;NOM;PL;3
van	will	ir	will	V	
van	fog	ir	fog	V	V;INDF;IND;SG;3;PRS;ACT
van	akarat	ir	akarat	V	N;NOM;SG
primeira	először	primeiro	először	ADJ	ADV
primeira	az	primeiro	az	ADJ	
mentres	hosszú	mentres	hosszú	ADV	
fixo	kész	facer	kész	V	
dar	for	dar	for	V	
vós	te	vós	te	PRO	V;DEF;IND;SG;1;PRS;FIN;ACT
razón	jobbra	razón	jobbra	N	ADV
razón	miért	razón	miért	N	ADV
ollos	szem	ollo	szem	N	
ningún	bármelyik	ningún	bármelyik	DET	
ningún	bármely	ningún	bármely	DET	
ningún	bármilyen	ningún	bármilyen	DET	
ningún	nem	ningún	nem	DET	ADV
comigo	with	comigo	with	PRO	
merda	szar	merda	szar	N	
idea	elképzelés	idea	elképzelés	N	
eses	ezek	ese	ez	DET	PRO;NOM;PL;3
eses	ezeket	ese	ez	DET	PRO;ACC;PL;3
eses	ez	ese	ez	DET	PRO;NOM;SG;3
eses	azok	ese	az	DET	PRO;NOM;PL;3
desde	től	desde	től	ADP	
desde	tól	desde	tól	ADP	
desde	from	desde	from	ADP	
desde	azóta	desde	azóta	ADP	ADV
desde	mióta	desde	mióta	ADP	ADV
desde	mivel	desde	mivel	ADP	CONJ
realmente	tényleg	real	tényleg	ADV	
realmente	igazán	real	igazán	ADV	
realmente	valójában	real	valójában	ADV	N;IN+ESS;SG
pensar	kb	pensar	kb	V	N;NOM;SG
pensar	nagyjából	pensar	nagy	V	N;IN+ABL;SG
pensar	körülbelül	pensar	körülbelül	V	ADV
pensar	gondolkodás	pensar	gondolkodás	V	N;NOM;SG
pensar	gondolkodó	pensar	gondolkodó	V	
fillos	fiaim	fillo	fia	N	
cal	melyik	cal	melyik	PRO	
cal	mely	cal	mely	PRO	
cal	egy	cal	egy	PRO	DET;INDF
vos	te	vos	te	PRO	V;DEF;IND;SG;1;PRS;FIN;ACT
case	majdnem	case	majdnem	ADV	
case	majdnem	case	majdnem	ADV	
acordo	egyetértek	acordo	egyetért	N	V;INDF;IND;PL;3;PST;FIN;ACT
acordo	jobbra	acordo	jobbra	N	ADV
catro	négy	catro	négy	N	NUM;NOM;SG
dentro	belül	dentro	belül	ADV	ADP
dentro	belül	dentro	belül	ADV	ADP
sería	lenne	ser	lesz	V	V;INDF;COND;SG;3;PRS;FIN;ACT
pasar	keresztül	pasar	keresztül	V	ADP
pasar	át	pasar	át	V	ADV
fin	végre	fin	végre	N	
fin	az	fin	az	N	
fin	hétvégi	fin	hétvégi	N	ADJ;NOM;SG
fin	utoljára	fin	utoljára	N	ADV
fin	utolsónak	fin	utolsó	N	ADV
fin	last	fin	last	N	
fin	utolsó	fin	utolsó	N	
traballar	munkahelyi	traballar	munkahelyi	V	N;NOM;SG
traballar	munka	traballar	munka	V	N;NOM;SG
traballar	dolgozó	traballar	dolgozó	V	ADJ;NOM;SG
polos	az	polo	az	N	
polos	for	polo	for	N	
persoa	személy	persoa	személy	N	
persoa	személyre	persoa	személy	N	
persoa	ki	persoa	ki	N	PRO;NOM;SG;3
persoa	aki	persoa	aki	N	PRO;NOM;SG;3
foron	ők	ser	ők	V	PRO;NOM;PL;3
mesma	magam	mesmo	maga	DET	
mesma	ugyanez	mesmo	ugyanez	DET	
mesma	ugyanaz	mesmo	ugyanaz	DET	
neste	ezt	neste	ez	PROPN	PRO;ACC;SG;3
neste	ez	neste	ez	PROPN	PRO;NOM;SG;3
papá	apa	papá	apa	PROPN	N;NOM;SG
papá	apu	papá	apu	PROPN	
papá	apu	papá	apu	PROPN	
papá	papa	papá	papa	PROPN	
millóns	millió	millón	millió	N	NUM;NOM;SG
millóns	milliók	millón	millió	N	
millóns	millió	millón	millió	N	NUM;NOM;SG
millóns	milliárd	millón	milliárd	N	NUM;NOM;SG
millóns	milliárd	millón	milliárd	N	NUM;NOM;SG
millóns	egymilliárd	millón	egymilliárd	N	
eran	ők	ser	ők	V	PRO;NOM;PL;3
algúns	kevesen	algún	kevés	DET	ADV
algúns	pár	algún	pár	DET	
algúns	kevés	algún	kevés	DET	
algúns	kevesek	algún	kevés	DET	
problemas	gond	problema	gond	N	
problemas	baj	problema	baj	N	
algunha	bármelyik	algún	bármelyik	DET	
algunha	bármely	algún	bármely	DET	
algunha	bármilyen	algún	bármilyen	DET	
algunha	te	algún	te	DET	V;DEF;IND;SG;1;PRS;FIN;ACT
algunha	valaha	algún	valaha	DET	
algunha	van	algún	van	DET	V;INDF;IND;SG;3;PRS;FIN;ACT
algunha	valami	algún	valami	DET	
algunha	valamit	algún	valamit	DET	
algún	bármelyik	algún	bármelyik	DET	
algún	bármely	algún	bármely	DET	
algún	bármilyen	algún	bármilyen	DET	
cinco	öt	cinco	öt	N	
cinco	öten	cinco	öten	N	PRO;NOM;PL;3
coas	with	coar	with	V	
coas	az	coar	az	V	
vén	től	vir	től	V	
vén	tól	vir	tól	V	
vén	from	vir	from	V	
hora	for	hora	for	N	
lado	side	lado	side	N	
