през	poprzez	през	poprzez	ADP	
път	ścieżki	път	ścieżka	N;INDF;MASC;SG	N;ACC;FEM;PL
път	trasy	път	trasa	N;INDF;MASC;SG	N;ACC;FEM;PL
път	drogowy	път	drogowy	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
път	drogi	път	droga	N;INDF;MASC;SG	
път	road	път	road	N;INDF;MASC;SG	
отбор	team	отбор	team	N;INDF;MASC;SG	
отбор	drużyny	отбор	drużyna	N;INDF;MASC;SG	N;ACC;FEM;PL
няколко	nieliczni	няколко	nieliczny	PRO;INDF	ADJ;NOM;MASC;PL
няколко	kilka	няколко	kilka	PRO;INDF	DET;ACC;MASC;PL
няколко	niewielu	няколко	niewiele	PRO;INDF	
няколко	kilkanaście	няколко	kilkanaście	PRO;INDF	DET;ACC;MASC;PL
няколко	kilka	няколко	kilka	PRO;INDF	DET;ACC;MASC;PL
няколко	kilku	няколко	kilka	PRO;INDF	DET;ACC;MASC;PL
август	augusta	август	augusta	N;INDF;MASC;SG	
август	sierpień	август	sierpienie	N;INDF;MASC;SG	
август	sierpień	август	sierpienie	N;INDF;MASC;SG	
роден	urodzony	родя-(се)	urodzić	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
роден	urodzona	родя-(се)	urodzić	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
роден	urodzone	родя-(се)	urodzić	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
беседа	rozmowy	бесед	rozmowa	N;INDF;FEM;SG	N;ACC;FEM;PL
септември	wrzesień	септември	wrzesień	N;INDF;MASC;SG	
септември	września	септември	wrzesień	N;INDF;MASC;SG	
преди	zanim	преди	zanim	ADP	CONJ
преди	wcześniej	преди	wcześnie	ADP	ADV;CMPR
група	band	група	band	N;INDF;FEM;SG	
юли	lipca	юли	lipiec	N;INDF;MASC;SG	
юли	lipiec	юли	lipiec	N;INDF;MASC;SG	
някои	niektóre	някой	niektóry	PRO;NOM;PL	DET;NOM;MASC;SG
някои	niektórzy	някой	niektóry	PRO;NOM;PL	DET;NOM;MASC;PL
някои	trochę	някой	trochę	PRO;NOM;PL	ADV
тях	ich	аз	on	PRO;ACC;PL;3	PRO;GEN;MASC;PL;3
тях	im	аз	on	PRO;ACC;PL;3	PRO;DAT;MASC;PL;3
река	rzeki	река	rzeka	N;INDF;FEM;SG	
река	river	река	river	N;INDF;FEM;SG	
януари	styczeń	януари	styczenie	N;INDF;MASC;SG	
юни	june	юни	juny	N;INDF;MASC;SG	
юни	czerwiec	юни	czerwiec	N;INDF;MASC;SG	
фон	von	фон	von	N;INDF;MASC;SG	
фон	tła	фон	ten	N;INDF;MASC;SG	
фон	tle	фон	tło	N;INDF;MASC;SG	
фон	tło	фон	tło	N;INDF;MASC;SG	
американски	american	американски	american	ADJ;INDF;MASC;SG	
американски	amerykanin	американски	amerykanin	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
март	marzec	март	marzec	N;INDF;MASC;SG	
март	marca	март	marza	N;INDF;MASC;SG	
ноември	listopad	ноември	listopad	N;INDF;MASC;SG	
ноември	listopad	ноември	listopad	N;INDF;MASC;SG	
април	apr	април	apr	N;INDF;MASC;SG	
април	kwietnia	април	kwiecia	N;INDF;MASC;SG	
април	april	април	april	N;INDF;MASC;SG	
декември	grudnia	декември	grudzień	N;INDF;MASC;SG	
декември	dec	декември	dec	N;INDF;MASC;SG	
чрез	via	чрез	via	ADP	
чрез	poprzez	чрез	poprzez	ADP	
история	story	история	stora	N;INDF;FEM;SG	
различни	inna	различен	inny	ADJ;INDF;PL	ADJ;NOM;FEM;SG
различни	różne	различен	różny	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
различни	inny	различен	inny	ADJ;INDF;PL	ADJ;NOM;MASC;SG
различни	różne	различен	różny	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
различни	rozmaite	различен	rozmaity	ADJ;INDF;PL	
различни	różne	различен	różny	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
често	czesto	често	czesto	ADV	
февруари	luty	февруари	luty	N;INDF;MASC;SG	
февруари	lutego	февруари	luty	N;INDF;MASC;SG	
февруари	luty	февруари	luty	N;INDF;MASC;SG	
февруари	lutego	февруари	luty	N;INDF;MASC;SG	
работи	prace	работя	praca	V;IPFV;IMP;SG;2;FIN	N;NOM;FEM;PL
работи	pracy	работя	praca	V;IPFV;IMP;SG;2;FIN	N;GEN;FEM;SG
работи	praca	работя	praca	V;IPFV;IMP;SG;2;FIN	N;NOM;FEM;SG
работи	roboty	работя	robota	V;IPFV;IMP;SG;2;FIN	N;ACC;FEM;PL
работи	działa	работя	działać	V;IPFV;IMP;SG;2;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
работи	prace	работя	praca	V;IPFV;IMP;SG;2;FIN	N;NOM;FEM;PL
работи	dziala	работя	dzialać	V;IPFV;IMP;SG;2;FIN	V;IPFV;IND;SG;PST;FIN;ACT
империя	imperium	империя	imperium	N;INDF;FEM;SG	
империя	empire	империя	empir	N;INDF;FEM;SG	
иван	ivan	иван	ivan	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
иван	iwan	иван	iwan	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
център	center	център	center	N;INDF;MASC;SG	
център	centre	център	centry	N;INDF;MASC;SG	
повече	more	повече	more	ADV;INDF;PL	
повече	bardziej	повече	bardzo	ADV;INDF;PL	ADV;CMPR
повече	więcej	повече	dużo	ADV;INDF;PL	ADV;CMPR
вече	juz	вече	juz	ADV	
вече	już	вече	już	ADV	PART
сред	pośród	сред	pośród	ADP	
страна	kraje	страна	kraj	N;INDF;FEM;SG	N;NOM;MASC;PL
страна	side	страна	sidy	N;INDF;FEM;SG	
въпреки	pomimo	въпреки	pomimo	ADP	
въпреки	mimo	въпреки	mimo	ADP	
градове	miasta	град	miasto	N;INDF;MASC;PL	N;GEN;NEUT;SG
градове	miejscowości	град	miejscowość	N;INDF;MASC;PL	N;GEN;FEM;SG
градове	miasteczka	град	miasteczko	N;INDF;MASC;PL	N;NOM;NEUT;SG
градове	miasta	град	miasto	N;INDF;MASC;PL	N;GEN;NEUT;SG
население	demograficzne	население	demograficzny	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
завършва	końce	завършвам	konka	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;MASC;PL
бил	bill	съм	bill	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	PROPN;NOM;MASC;SG
бил	rachunek	съм	rachunek	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	N;ACC;MASC;SG
малко	mał	малко	mała	ADV;INDF;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
малко	little	малко	littl	ADV;INDF;PL	
малко	mały	малко	mały	ADV;INDF;PL	ADJ;NOM;MASC;SG
малко	mała	малко	mały	ADV;INDF;PL	
хора	ludzi	хора	człowiek	N;INDF	N;ACC;MASC;PL
хора	osoby	хора	osoba	N;INDF	N;NOM;FEM;PL
хора	people	хора	peopło	N;INDF	
хора	ludzie	хора	człowiek	N;INDF	N;NOM;MASC;PL
университет	uniwersytety	университет	uniwersytet	N;INDF;MASC;SG	N;NOM;MASC;PL
университет	university	университет	universit	N;INDF;MASC;SG	
германия	niemcami	германия	niemiec	PROPN;INDF;FEM;SG	N;INS;MASC;PL
германия	niemcy	германия	niemiec	PROPN;INDF;FEM;SG	PROPN;NOM;MASC;PL
могат	can	мога	can	V;IPFV;IND;PL;3;PRS;FIN;ACT	
син	blue	син	blue	N;INDF;MASC;SG	
син	niebieski	син	niebieski	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
син	niebieska	син	niebieski	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
син	niebieskie	син	niebieski	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
награда	nagrody	награда	nagroda	N;INDF;FEM;SG	N;NOM;FEM;PL
награда	nagrody	награда	nagroda	N;INDF;FEM;SG	N;NOM;FEM;PL
георги	georgi	георга	georga	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
георги	gieorgij	георга	gieorgij	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
голяма	dużych	голям	duży	ADJ;INDF;FEM;SG	ADJ;GEN;MASC;PL
голяма	big	голям	big	ADJ;INDF;FEM;SG	
италия	włochy	италия	włochy	PROPN;INDF;FEM;SG	
сайт	witryny	сайт	witryna	N;INDF;MASC;SG	N;GEN;FEM;PL
край	koniec	край	koniec	ADP	N;NOM;MASC;SG
край	end	край	end	ADP	
уикипедия	wikipedia	уикипедия	wikipediać	N;INDF;FEM;SG	
използва	zastosowań	използвам	zastosowanie	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;GEN;NEUT;PL
използва	zastosowania	използвам	zastosowanie	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;GEN;NEUT;SG
окръг	powiat	окръг	powiat	N;INDF;MASC;SG	
окръг	powiat	окръг	powiat	N;INDF;MASC;SG	
днес	today	днес	toda	ADV	
смъртта	death	смърт	death	N;DEF;FEM;SG	
франция	francji	франция	francja	PROPN;INDF;FEM;SG	PROPN;GEN;FEM;SG
франция	francja	франция	francja	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
франция	france	франция	franka	PROPN;INDF;FEM;SG	PROPN;NOM;MASC;SG
национален	krajowych	национален	krajowy	ADJ;INDF;MASC;SG	ADJ;GEN;MASC;PL
гърция	grecji	гърция	grecja	PROPN;INDF;FEM;SG	N;GEN;FEM;SG
гърция	grecja	гърция	grecja	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
вижте	patrz	видя-(се)	patrzeć	V;PFV;IMP;PL;2;FIN	V;IPFV;IMP;SG;2;FIN;ACT
вижте	zobacz	видя-(се)	zobaczyć	V;PFV;IMP;PL;2;FIN	V;PFV;IMP;SG;2;FIN;ACT
русия	rosja	русия	rosja	PROPN;INDF;FEM;SG	
английски	anglik	английски	anglik	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
едно	jeden	един	jeden	NUM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
едно	jedna	един	jeden	NUM;INDF;NEUT;SG	ADJ;NOM;FEM;SG
първи	najpierw	първи	najpierw	ADJ;INDF;MASC;SG	ADV
член	członkowskie	член	członkowski	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
система	systemowe	система	systemowy	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
нея	jej	аз	on	PRO;ACC;FEM;SG;3	PRO;GEN;FEM;SG;3
били	billy	съм	billa	V;IPFV;INDF;IND;PL;V.PTCP;ACT	PROPN;NOM;MASC;SG
били	billie	съм	billa	V;IPFV;INDF;IND;PL;V.PTCP;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
света	swiat	свят	swiat	N;DEF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
света	world	свят	world	N;DEF;MASC;SG	
села	wioski	село	wioska	N;INDF;NEUT;PL	N;ACC;FEM;SG
александър	aleksandar	александър	aleksandar	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
александър	aleksandr	александър	aleksandr	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
александър	aleksandra	александър	aleksandra	PROPN;INDF;MASC;SG	
александър	aleksander	александър	aleksander	PROPN;INDF;MASC;SG	N;NOM;MASC;SG
александър	alexander	александър	alexander	PROPN;INDF;MASC;SG	N;NOM;MASC;SG
умира	umieram	умирам	umierać	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
южна	southern	южен	southerny	ADJ;INDF;FEM;SG	N;NOM;MASC;SG
южна	południe	южен	południe	ADJ;INDF;FEM;SG	N;NOM;NEUT;SG
европа	europa	европа	europa	PROPN;INDF;FEM;SG	
димитър	dimityr	димитър	dimityr	PROPN;INDF;MASC;SG	
всеки	ktokolwiek	всеки	ktokolwiek	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG
всеки	każdy	всеки	każdy	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
всеки	każdy	всеки	każdy	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
всеки	wszyscy	всеки	wszyscy	PRO;NOM;MASC;SG	PRO;NOM;MASC;PL
всеки	każda	всеки	każdy	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
всеки	każdy	всеки	każdy	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
всеки	każda	всеки	każdy	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
всеки	każdy	всеки	każdy	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
баща	ojcze	баща	ojciec	N;INDF;MASC;SG	
нова	nowości	нов	nowość	ADJ;INDF;FEM;SG	N;ACC;FEM;PL
нова	nowość	нов	nowość	ADJ;INDF;FEM;SG	N;NOM;FEM;SG
нова	nowa	нов	nowy	ADJ;INDF;FEM;SG	
нова	nova	нов	nova	ADJ;INDF;FEM;SG	
крал	king	крал	king	N;INDF;MASC;SG	
крал	kinga	крал	kinga	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
армия	army	армия	arma	N;INDF;FEM;SG	
армия	armii	армия	armia	N;INDF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
църква	church	църква	chury	N;INDF;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
докато	podczas	докато	podczas	CONJ	ADP
официален	urzędnik	официален	urzędnik	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
официален	oficjalnie	официален	oficjalnie	ADJ;INDF;MASC;SG	ADV
официален	formalnie	официален	formalnie	ADJ;INDF;MASC;SG	ADV
северна	północ	северен	północ	ADJ;INDF;FEM;SG	N;NOM;FEM;SG
северна	north	северен	north	ADJ;INDF;FEM;SG	
северна	północ	северен	północ	ADJ;INDF;FEM;SG	N;NOM;FEM;SG
северна	północna	северен	północny	ADJ;INDF;FEM;SG	
северна	północny	северен	północny	ADJ;INDF;FEM;SG	N;ACC;MASC;SG
места	siedzenia	място	siedzenie	N;INDF;NEUT;PL	N;NOM;NEUT;SG
начин	way	начин	wy	N;INDF;MASC;SG	
начин	sposób	начин	sposób	N;INDF;MASC;SG	V;IND;PRS;FIN
данни	data	данна	datać	N;INDF;FEM;PL	
страница	page	страница	page	N;INDF;FEM;SG	
страница	strony	страница	strona	N;INDF;FEM;SG	N;NOM;FEM;PL
картинка	zdjecie	картинка	zdjecie	N;INDF;FEM;SG	V;PFV;IND;SG;FIN;ACT
граф	graff	граф	graffa	N;INDF;MASC;SG	
граф	graf	граф	grafa	N;INDF;MASC;SG	
родени	urodzony	родя-(се)	urodzić	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
родени	urodzona	родя-(се)	urodzić	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
родени	urodzone	родя-(се)	urodzić	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
играе	graj	играя	graj	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
играе	zagraj	играя	zagrać	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
играе	play	играя	pla	V;IPFV;IND;SG;3;PRS;FIN;ACT	
играе	odtwarzanie	играя	odtwarzać	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
играе	granie	играя	grana	V;IPFV;IND;SG;3;PRS;FIN;ACT	
живот	zycie	живот	zyt	N;INDF;MASC;SG	V;IPFV;IND;SG;1;FIN;ACT
живот	life	живот	lifa	N;INDF;MASC;SG	
църквата	church	църква	chury	N;DEF;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
ден	dzien	ден	dzien	N;INDF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
жени	kobiet	жена	kobieta	N;INDF;FEM;PL	
жени	damskie	жена	damski	N;INDF;FEM;PL	ADJ;NOM;NEUT;SG
руски	rosjanin	руски	rosjanin	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
известен	znani	известен	znany	ADJ;INDF;MASC;SG	N;NOM;MASC;PL
известен	znany	известен	znany	ADJ;INDF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
известен	znana	известен	znany	ADJ;INDF;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
известен	znana	известен	znany	ADJ;INDF;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
известен	znany	известен	znany	ADJ;INDF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
добре	dobre	добре	dobry	ADV	
мария	mario	мария	mario	N;INDF;FEM;SG	
мария	marii	мария	maria	N;INDF;FEM;SG	
мария	maria	мария	maria	N;INDF;FEM;SG	PROPN;NOM;FEM;SG
води	prowadzi	водя	prowadzić	V;IPFV;IMP;SG;2;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
води	tropy	водя	tropa	V;IPFV;IMP;SG;2;FIN	N;NOM;MASC;PL
води	wody	водя	woda	V;IPFV;IMP;SG;2;FIN	N;GEN;FEM;SG
води	wód	водя	woda	V;IPFV;IMP;SG;2;FIN	
води	ołów	водя	ołowa	V;IPFV;IMP;SG;2;FIN	N;NOM;MASC;SG
води	ołowiu	водя	ołowiek	V;IPFV;IMP;SG;2;FIN	
голям	dużych	голям	duży	ADJ;INDF;MASC;SG	ADJ;GEN;MASC;PL
голям	big	голям	big	ADJ;INDF;MASC;SG	
род	rod	род	rod	N;INDF;MASC;SG	V;PFV;IND;SG;2;FIN;ACT
филм	filmy	филм	film	N;INDF;MASC;SG	N;NOM;MASC;PL
почти	prawie	почти	prawie	ADV	PART
печели	wygrane	печеля	wygrany	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;NOM;NEUT;SG
печели	wygra	печеля	wygrać	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;FUT;FIN;ACT
печели	wygrywają	печеля	wygrywać	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
страни	imprezy	страна	impreza	N;INDF;FEM;PL	
страни	przyjęcia	страна	przyjęcie	N;INDF;FEM;PL	N;NOM;NEUT;SG
острови	wyspy	островя-(се)	wyspa	N;INDF;FEM;PL	
острови	isles	островя-(се)	isles	N;INDF;FEM;PL	
код	code	код	cod	N;INDF;MASC;SG	
френски	french	френски	fren	ADJ;INDF;MASC;SG	
генерал	ogólny	генерал	ogólny	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
генерал	ogólnie	генерал	ogólnie	N;INDF;MASC;SG	ADV
генерал	ogólna	генерал	ogólny	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
генерал	ogólne	генерал	ogólny	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
защото	bo	защото	bo	ADV	CONJ
защото	ponieważ	защото	ponieważ	ADV	PART
държава	kraje	държава	kraj	N;INDF;FEM;SG	N;NOM;MASC;PL
държава	state	държава	staty	N;INDF;FEM;SG	
дата	data	дата	datać	N;INDF;FEM;SG	
двете	obydwa	два	obydwa	NUM;DEF;FEM;PL	V;IPFV;IND;SG;PST;FIN;ACT
двете	oboje	два	obój	NUM;DEF;FEM;PL	
двете	oba	два	oba	NUM;DEF;FEM;PL	
обикновено	zazwyczaj	обикновено	zazwyczaj	ADV	
обикновено	zwykle	обикновено	zwykle	ADV	
обикновено	przeważnie	обикновено	przeważnie	ADV	
обикновено	zazwyczaj	обикновено	zazwyczaj	ADV	
обикновено	zwykle	обикновено	zwykle	ADV	
обикновено	typowo	обикновено	typowo	ADV	
обикновено	zazwyczaj	обикновено	zazwyczaj	ADV	
големи	duża	голям	duży	ADJ;INDF;PL	ADJ;NOM;FEM;SG
големи	duży	голям	duży	ADJ;INDF;PL	ADJ;NOM;MASC;SG
големи	duże	голям	duży	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
големи	duża	голям	duży	ADJ;INDF;PL	ADJ;NOM;FEM;SG
големи	duże	голям	duży	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
големи	big	голям	big	ADJ;INDF;PL	
големи	wielka	голям	wielki	ADJ;INDF;PL	ADJ;NOM;FEM;SG
големи	duży	голям	duży	ADJ;INDF;PL	ADJ;NOM;MASC;SG
големи	wielki	голям	wielki	ADJ;INDF;PL	ADJ;NOM;MASC;SG
петър	piotra	петър	piotr	PROPN;INDF;MASC;SG	
петър	peter	петър	peter	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
петър	piotruś	петър	piotruś	PROPN;INDF;MASC;SG	N;NOM;MASC;SG
петър	piotrze	петър	piotr	PROPN;INDF;MASC;SG	N;VOC;MASC;SG
петър	piotr	петър	piotr	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
петър	petar	петър	petar	PROPN;INDF;MASC;SG	PROPN;NOM;MASC;SG
сили	powers	сила	powers	N;INDF;FEM;PL	
сили	siły	сила	siła	N;INDF;FEM;PL	N;ACC;FEM;SG
албум	albumu	албум	album	N;INDF;MASC;SG	
гръцки	grecja	гръцки	grecja	ADJ;INDF;MASC;SG	N;NOM;FEM;SG
