lincoln	lincoln	lincoln	lincoln	PROPN	N;NOM;MASC;SG
ecclésiastique	duhovnik	ecclésiastique	duhovnik	ADJ;MASC;SG	N;NOM;MASC;SG
ecclésiastique	cerkvene	ecclésiastique	cerkven	ADJ;MASC;SG	ADJ;NOM;FEM;PL
fonctionnaire	uradna	fonctionnaire	uraden	N;MASC;SG	ADJ;NOM;FEM;SG
fonctionnaire	uradno	fonctionnaire	uradno	N;MASC;SG	ADV
fonctionnaire	uradni	fonctionnaire	uraden	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
silva	silva	silva	silva	PROPN	N;NOM;MASC;SG
linéaire	linearno	linéaire	linearno	ADJ;MASC;SG	ADV
commandé	urejen	commander	urejen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
commandé	naročeno	commander	naročen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
bretonne	brittany	breton	brittany	ADJ;FEM;SG	PROPN;NOM;FEM;SG
bretonne	breton	breton	breton	ADJ;FEM;SG	N;NOM;MASC;SG
engagée	najeta	engager	najet	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
engagée	zaročen	engager	zaročen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
engagée	zaročena	engager	zaročen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
engagée	predano	engager	predan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
engagée	storjena	engager	storjen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
mythe	mitov	mythe	mit	N;MASC;SG	N;GEN;MASC;PL
mythe	miti	mythe	miti	N;MASC;SG	N;NOM;MASC;PL
manger	jej	manger	jesti	V;NFIN	
manger	jest	manger	jest	V;NFIN	
bouches	bouches	bouche	bouches	N;FEM;PL	N;NOM;MASC;SG
mohammed	mohammed	mohammed	mohammed	PROPN	N;NOM;MASC;SG
mohammed	mohamed	mohammed	mohamed	PROPN	N;NOM;MASC;SG
léonard	léonard	léonard	léonard	PROPN	N;NOM;MASC;SG
léonard	leonardo	léonard	leonardo	PROPN	N;NOM;MASC;SG
léonard	leonard	léonard	leonard	PROPN	N;NOM;MASC;SG
degrés	stopinj	degré	stopinja	N;MASC;PL	N;GEN;FEM;SG
extérieure	zunanje	extérieur	zunanji	ADJ;FEM;SG	ADJ;NOM;FEM;PL
extérieure	zunanjost	extérieur	zunanjost	ADJ;FEM;SG	N;NOM;FEM;SG
extérieure	zunanjosti	extérieur	zunanjost	ADJ;FEM;SG	N;GEN;FEM;SG
philosophique	filozofija	philosophique	filozofija	ADJ;MASC;SG	N;NOM;FEM;SG
philosophique	filozofijo	philosophique	filozofija	ADJ;MASC;SG	N;ACC;FEM;SG
styles	styles	style	styles	N;MASC;PL	
europa	europa	europa	europa	PROPN	N;NOM;FEM;SG
nazis	nacist	nazi	nacist	N;MASC;PL	N;NOM;MASC;SG
nazis	nacistični	nazi	nacističen	N;MASC;PL	ADJ;NOM;MASC;SG
guyane	gvajana	guyane	gvajana	ADJ;FEM;SG	N;NOM;FEM;SG
guyane	guyane	guyane	guyan	ADJ;FEM;SG	N;NOM;MASC;PL
guyane	gvajani	guyane	gvajan	ADJ;FEM;SG	N;NOM;FEM;SG
rappeler	odpoklic	rappeler	odpoklica	V;NFIN	N;NOM;MASC;SG
talk	govori	talk	govoriti	PROPN	V;IPFV;IND;SG;3;PRS;FIN
talk	govorjenje	talk	govorjenje	PROPN	N;NOM;NEUT;SG
talk	pogovor	talk	pogovor	PROPN	N;NOM;MASC;SG
talk	pogovori	talk	pogovor	PROPN	N;NOM;MASC;PL
elisabeth	elisabeth	elisabeth	elisabeth	N;FEM;SG	PROPN;NOM;FEM;SG
alexandra	alexandra	alexandra	alexandra	PROPN	N;NOM;MASC;SG
alexandra	aleksandra	alexandra	aleksander	PROPN	N;NOM;MASC;SG
andreas	andreas	andreas	andreas	PROPN	PROPN;NOM;MASC;SG
régulier	redno	régulier	redno	ADJ;MASC;SG	ADV
contiennent	vsebuje	contenir	vsebovati	V;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
mix	premeša	mix	premešati	N;MASC;SG	V;PFV;IND;SG;3;PRS;FIN
mix	mix	mix	mix	N;MASC;SG	
sound	zvok	sound	zvok	PROPN	N;NOM;MASC;SG
sound	zvoka	sound	zvok	PROPN	N;GEN;MASC;SG
werner	werner	werner	werner	PROPN	N;NOM;MASC;SG
garcia	garcia	garcia	garcia	PROPN	N;NOM;MASC;SG
fayard	fayard	fayard	fayarda	PROPN	N;NOM;MASC;SG
accessibles	dostopna	accessible	dostopen	ADJ;MASC;PL	ADJ;NOM;FEM;SG
accessibles	dostopno	accessible	dostopen	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
accessibles	dostopen	accessible	dostopen	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
attribuée	dodeljena	attribuer	dodeljen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
sergio	sergio	sergio	sergia	PROPN	N;NOM;MASC;SG
calme	tiho	calme	tiho	ADJ;MASC;SG	ADV
organe	telesa	organe	telo	N;MASC;SG	N;NOM;NEUT;PL
organe	orgle	organe	orgeti	N;MASC;SG	N;ACC;MASC;PL
signification	pomeni	signification	pomeniti	N;FEM;SG	V;IND;SG;3;PRS;FIN
todd	todd	todd	todd	PROPN	PROPN;NOM;MASC;SG
panama	panama	panama	panam	PROPN	N;NOM;FEM;SG
panama	panami	panama	pana	PROPN	N;DAT;FEM;PL
enregistrements	evidenca	enregistrement	evidenca	N;MASC;PL	N;NOM;FEM;SG
épaisseur	debeline	épaisseur	debelina	N;FEM;SG	N;NOM;FEM;PL
hunter	hunter	hunter	hunter	PROPN	N;NOM;MASC;SG
hunter	lovec	hunter	lovec	PROPN	N;NOM;MASC;SG
alaska	aljaske	alaska	aljaski	PROPN	N;NOM;FEM;PL
alaska	aljasko	alaska	aljasko	PROPN	N;ACC;FEM;SG
alaska	aljaski	alaska	aljaski	PROPN	N;DAT;FEM;SG
perdues	izgubljena	perdre	izgubljen	V;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
perdues	izgubljeni	perdre	izgubljen	V;FEM;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
perdues	izgubil	perdre	izgubiti	V;FEM;PL;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
perdues	izgubljeno	perdre	izgubljen	V;FEM;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
perdues	izgubljen	perdre	izgubljen	V;FEM;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
bébé	babe	bébé	baba	N;MASC;SG	N;NOM;FEM;PL
entré	vnesene	entrer	vnesen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL
entré	vneseni	entrer	vnesen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL
dépendant	odvisni	dépendre	odvisen	V;PRS;V.PTCP	ADJ;NOM;MASC;PL
dépendant	vzdrževani	dépendre	vzdrževan	V;PRS;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
perse	perzijski	perse	perzijski	PROPN	ADJ;NOM;MASC;SG
perse	perzije	perse	perzija	PROPN	N;NOM;FEM;PL
phoenix	phoenix	phoenix	phoenixa	PROPN	N;NOM;MASC;SG
valley	dolini	valley	dolina	PROPN	N;DAT;FEM;SG
valley	valley	valley	valley	PROPN	PROPN;NOM;MASC;SG
valley	dolina	valley	dolina	PROPN	N;NOM;FEM;SG
valley	dolino	valley	dolina	PROPN	N;ACC;FEM;SG
valley	doline	valley	dolina	PROPN	N;NOM;FEM;PL
lópez	lópez	lópez	lópez	PROPN	N;NOM;MASC;SG
lópez	lopez	lópez	lopez	PROPN	N;NOM;MASC;SG
erik	erik	erik	erik	PROPN	PROPN;NOM;MASC;SG
comprennent	vključi	comprendre	vključiti	V;IND;PL;3;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
magic	čarobno	magic	čarobno	PROPN	ADJ;NOM;NEUT;SG
magic	čarovnija	magic	čarovnija	PROPN	N;NOM;FEM;SG
magic	magic	magic	magica	PROPN	N;NOM;MASC;SG
magic	magično	magic	magičen	PROPN	ADJ;NOM;NEUT;SG
magic	magijo	magic	magija	PROPN	N;ACC;FEM;SG
successifs	zaporedna	successif	zaporeden	ADJ;MASC;PL	ADJ;NOM;FEM;SG
successifs	zaporedni	successif	zaporeden	ADJ;MASC;PL	ADJ;NOM;MASC;SG
chapeau	klobuki	chapeau	klobuk	N;MASC;SG	N;NOM;MASC;PL
chapeau	kape	chapeau	kapa	N;MASC;SG	N;NOM;FEM;PL
chapeau	klobuke	chapeau	klobuka	N;MASC;SG	N;ACC;MASC;PL
vénus	venera	vénu	vener	PROPN	N;NOM;FEM;SG
comptant	gotovino	compter	gotovina	V;PRS;V.PTCP	N;ACC;FEM;SG
comptant	gotovina	compter	gotovina	V;PRS;V.PTCP	N;NOM;FEM;SG
ted	ted	ted	ted	PROPN	PROPN;NOM;MASC;SG
uniforme	uniforme	uniforme	uniforma	ADJ;MASC;SG	N;NOM;FEM;PL
uniforme	uniforma	uniforme	uniforma	ADJ;MASC;SG	N;NOM;FEM;SG
uniforme	uniformo	uniforme	uniforma	ADJ;MASC;SG	N;ACC;FEM;SG
serment	prisega	serment	prisegati	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN
libéraux	liberalni	libéral	liberalen	N;MASC;PL	ADJ;NOM;MASC;SG
éliminé	odstranjen	éliminer	odstranjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
éliminé	izločena	éliminer	izločen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
jésuites	jezuit	jésuite	jezuit	N;MASC;PL	N;NOM;MASC;SG
wta	wta	wta	Wta	N;MASC;SG	PROPN;NOM;FEM;SG
sebastian	sebastian	sebastian	sebastian	PROPN	PROPN;NOM;MASC;SG
sebastian	sebastiana	sebastian	sebastian	PROPN	N;ACC;MASC;SG
ducs	dukes	duc	dukes	N;MASC;PL	
attribution	dodelitve	attribution	dodelitev	N;FEM;SG	N;NOM;FEM;PL
protestants	protestanti	protestant	protestant	ADJ;MASC;PL	N;NOM;MASC;PL
arrestation	aretacije	arrestation	aretacija	N;FEM;SG	N;NOM;FEM;PL
arrestation	aretiran	arrestation	aretiran	N;FEM;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
cristal	kristalno	cristal	kristalno	N;MASC;SG	ADV
cristal	crystal	cristal	crystati	N;MASC;SG	
taxe	davki	taxe	davek	N;FEM;SG	N;NOM;MASC;PL
taxe	davčna	taxe	davčen	N;FEM;SG	ADJ;NOM;FEM;SG
malaisie	malezija	malaisie	malezija	PROPN	N;NOM;FEM;SG
malaisie	malezije	malaisie	malezija	PROPN	N;NOM;FEM;PL
malaisie	malajo	malaisie	malati	PROPN	N;ACC;FEM;SG
terminée	končano	terminer	končan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
terminée	zaključene	terminer	zaključen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
terminée	izpolnjeno	terminer	izpolnjen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
terminée	končana	terminer	končan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
terminée	zaključena	terminer	zaključen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
terminée	končano	terminer	končan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
terminée	končana	terminer	končan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
repas	obroki	repas	obrok	N;MASC;SG	N;NOM;MASC;PL
repas	obrokov	repas	obrok	N;MASC;SG	N;GEN;MASC;PL
repas	zdrob	repas	zdroba	N;MASC;SG	N;NOM;MASC;PL
éthique	etične	éthique	etičen	ADJ;MASC;SG	ADJ;NOM;FEM;PL
éthique	etičnih	éthique	etičen	ADJ;MASC;SG	ADJ;GEN;MASC;PL
éthique	etiko	éthique	etika	ADJ;MASC;SG	N;ACC;FEM;SG
éthique	etika	éthique	etika	ADJ;MASC;SG	N;NOM;FEM;SG
hesse	hessen	hesse	hessen	PROPN	PROPN;NOM;MASC;SG
hesse	hess	hesse	hess	PROPN	PROPN;NOM;MASC;SG
bâti	zgrajeno	bâtir	zgrajen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
bâti	zgrajen	bâtir	zgrajen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
bâti	zgrajeni	bâtir	zgrajen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
bâti	zgrajena	bâtir	zgrajen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
halle	halle	halle	halla	N;FEM;SG	PROPN;NOM;FEM;SG
luxe	deluxe	luxe	deluza	N;MASC;SG	N;NOM;FEM;PL
estimée	ocenjeno	estimer	ocenjen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
estimée	ocenjen	estimer	ocenjen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
estimée	ocenjeni	estimer	ocenjen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
estimée	ocenjena	estimer	ocenjen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
lorenzo	lorenzo	lorenzo	lorenza	PROPN	N;NOM;MASC;SG
grenade	granatno	grenade	granaten	N;FEM;SG	ADV
grenade	granata	grenade	granati	N;FEM;SG	V;IPFV;IND;DU;3;PRS;FIN
rob	rob	rob	rob	PROPN	N;NOM;MASC;SG
casablanca	casablanci	casablanca	casablanec	PROPN	N;NOM;FEM;DU
dennis	dennis	dennis	dennis	PROPN	PROPN;NOM;MASC;SG
dennis	denis	dennis	denis	PROPN	PROPN;NOM;MASC;SG
qualifier	kvalifikacije	qualifier	kvalifikacija	V;NFIN	N;NOM;FEM;PL
qualifier	kvalificiranih	qualifier	kvalificiran	V;NFIN	ADJ;GEN;MASC;PL;V.PTCP
qualifier	kvalificiran	qualifier	kvalificiran	V;NFIN	ADJ;NOM;INDF;MASC;SG;V.PTCP
cat	mačji	cat	mačja		
cat	muca	cat	muca		N;NOM;FEM;SG
cat	maček	cat	maček		N;NOM;MASC;SG
cat	mačka	cat	maček		N;NOM;FEM;SG
cat	cat	cat	cat		
bourges	bourges	bourge	bourges	PROPN	N;NOM;MASC;SG
témoigne	pričajo	témoigner	pričati	V;IND;SG;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN
ressort	spomladanska	ressort	spomladanski	N;MASC;SG	ADJ;NOM;FEM;SG
ressort	pomladno	ressort	pomladno	N;MASC;SG	ADJ;NOM;NEUT;SG
marquer	mark	marquer	marka	V;NFIN	N;GEN;FEM;PL
marquer	zadetek	marquer	zadetek	V;NFIN	N;NOM;MASC;SG
marquer	rezultat	marquer	rezultat	V;NFIN	N;NOM;MASC;SG
décoré	odlikovan	décorer	odlikovan	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
humides	vlažno	humide	vlažen	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
humides	vlažen	humide	vlažen	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
humides	vlažna	humide	vlažen	ADJ;MASC;PL	ADJ;NOM;FEM;SG
humides	vlažno	humide	vlažen	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
humides	vlažno	humide	vlažen	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
humides	mokro	humide	mokro	ADJ;MASC;PL	N;ACC;FEM;SG
humides	mokra	humide	mokra	ADJ;MASC;PL	ADJ;NOM;FEM;SG
humides	moker	humide	moker	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
léo	léo	léo	léo	PROPN	PROPN;NOM;MASC;SG
léo	lea	léo	le	PROPN	PROPN;NOM;FEM;SG
léo	leo	léo	leo	PROPN	N;NOM;MASC;SG
condé	conde	conder	cond	PROPN	PROPN;NOM;MASC;SG
condé	condé	conder	cond	PROPN	PROPN;NOM;MASC;SG
cohen	cohen	cohen	cohen	PROPN	PROPN;NOM;MASC;SG
conçue	spočet	concevoir	spočet	V;FEM;SG;PST;V.PTCP	N;NOM;MASC;SG
conçue	zasnovan	concevoir	zasnovan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
conçue	zasnovana	concevoir	zasnovan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
sarkozy	sarkozy	sarkozy	sarkozy	PROPN	N;NOM;MASC;SG
wagner	wagner	wagner	wagner	PROPN	N;NOM;MASC;SG
