להינשא	căsători	ננשא	căsător	V;NFIN;MID	
מליון	milioane	מליון	milion	N;MASC;SG	NUM;INDF;FEM;PL
מליון	milion	מליון	milion	N;MASC;SG	NUM;INDF;MASC;SG
נערים	baieti	נער	baiet	N;MASC;PL	
החשבון	cont	החשבון	cont	PROPN	N;INDF;MASC;SG
החשבון	contul	החשבון	cont	PROPN	N;DEF;MASC;SG
במעט	ușor	במעט	ușor		ADV
הדוק	strans	הדוק	strans	ADJ;MASC;SG	
הדוק	strâns	הדוק	strâns	ADJ;MASC;SG	ADV
לותר	lothar	ויתר	lothar	PROPN	PROPN
לותר	luther	ויתר	luther	PROPN	PROPN
לותר	luthor	ויתר	luthor	PROPN	
לחזית	front	לחזית	front	ADV	N;INDF;MASC;SG
לחזית	față	לחזית	față	ADV	N;INDF;FEM;SG
ליף	leif	ליף	leif	PROPN	PROPN
אוסטרי	austrieci	אוסטרי	austriac	PROPN	N;INDF;MASC;PL
אוסטרי	austriece	אוסטרי	austriac	PROPN	ADJ;INDF;FEM;PL
אוסטרי	austriac	אוסטרי	austriac	PROPN	ADJ;INDF;MASC;SG
אוסטרי	austriacă	אוסטרי	austriac	PROPN	ADJ;INDF;FEM;SG
המחיר	pret	המחיר	pret	V;MASC;SG;3;PST;ACT	
המחיר	prețul	המחיר	preț	V;MASC;SG;3;PST;ACT	N;DEF;MASC;SG
המחיר	pretul	המחיר	pret	V;MASC;SG;3;PST;ACT	N;DEF;MASC;SG
המחיר	preț	המחיר	preț	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
פרסומת	comerciale	פרסומת	comercial	N;FEM;SG	ADJ;INDF;FEM;PL
פרסומת	comercial	פרסומת	comercial	N;FEM;SG	ADJ;INDF;MASC;SG
פרסומת	comercială	פרסומת	comercial	N;FEM;SG	ADJ;INDF;FEM;SG
חלשה	slaba	חלש	slab	N;FEM;SG	ADJ;DEF;FEM;SG
חלשה	slăbit	חלש	slăbit	N;FEM;SG	ADJ;INDF;MASC;SG
חלשה	slab	חלש	slab	N;FEM;SG	ADV
חלשה	slabă	חלש	slab	N;FEM;SG	ADJ;INDF;FEM;SG
מנגן	jucând	מנגן	juca	N;MASC;SG	V;V.MSDR
מנצחים	învingători	מנצח	învingător	N;MASC;PL	ADJ;INDF;MASC;PL
הורג	ucidere	הרג	ucidere	PROPN	N;INDF;FEM;SG
הורג	uciderea	הרג	ucidere	PROPN	N;DEF;FEM;SG
מל	mel	מל	mel	PROPN	
מל	mal	מל	mal	PROPN	N;INDF;MASC;SG
ששון	sasson	ששון	sasson	PROPN	
ששון	sassoon	ששון	sassoon	PROPN	
טיים	timp	טיים	timp	PROPN	N;INDF;MASC;SG
טיים	ora	טיים	oră	PROPN	N;DEF;FEM;SG
טיים	timpul	טיים	timp	PROPN	N;DEF;MASC;SG
מירון	meron	מירון	meron	PROPN	
השכונות	cartierele	השכונה	cartier	PROPN	N;DEF;FEM;PL
השכונות	cartiere	השכונה	cartier	PROPN	N;INDF;FEM;PL
רוזנברג	rosenberg	רוזנברג	rosenberg	PROPN	N;INDF;MASC;SG
ארנה	arena	ארנה	arena	PROPN	N;DEF;FEM;SG
ארנה	arenă	ארנה	arenă	PROPN	N;INDF;FEM;SG
רוצח	killer	רצח	killer	PROPN	N;INDF;MASC;SG
רוצח	criminal	רצח	criminal	PROPN	N;INDF;MASC;SG
רוצח	criminal	רצח	criminal	PROPN	N;INDF;MASC;SG
אורלינס	orleans	אורלינס	orleans	PROPN	PROPN
הפיליפינים	filipine	הפיליפינים	filipine	PROPN	N;INDF;FEM;SG
ניסים	minuni	ניסה	minun	PROPN	N;INDF;FEM;PL
ניסים	miracolele	ניסה	miracol	PROPN	N;DEF;FEM;PL
ניסים	miracole	ניסה	miracol	PROPN	N;INDF;FEM;PL
ניסים	nissim	ניסה	nissim	PROPN	
נשימה	respirând	נשימה	respira	N;FEM;SG	V;V.MSDR
המשיח	christos	המשיח	christos	V;MASC;SG;3;PST;ACT	PROPN
המשיח	hristos	המשיח	hristos	V;MASC;SG;3;PST;ACT	PROPN
המשיח	cristos	המשיח	cristos	V;MASC;SG;3;PST;ACT	PROPN
המשיח	hristoase	המשיח	hristos	V;MASC;SG;3;PST;ACT	N;INDF;FEM;PL
ריקו	rico	ריקו	rico	PROPN	PROPN
זירת	scena	זירה	scenă	ADV	N;DEF;FEM;SG
זירת	scenă	זירה	scenă	ADV	N;INDF;FEM;SG
סטודיו	studiouri	סטודיו	studio	PROPN	N;INDF;FEM;PL
סטודיו	studiourile	סטודיו	studio	PROPN	N;DEF;FEM;PL
סטודיו	studios	סטודיו	studios	PROPN	N;INDF;MASC;SG
סטודיו	studio	סטודיו	studio	PROPN	N;INDF;MASC;SG
סטודיו	studioul	סטודיו	studio	PROPN	N;DEF;MASC;SG
נפגעה	deteriorat	נפגע	deteriora	V;FEM;SG;3;PST;MID	ADJ;INDF;MASC;SG
נפגעה	deteriorată	נפגע	deteriora	V;FEM;SG;3;PST;MID	ADJ;INDF;FEM;SG
נפגעה	avariate	נפגע	avaria	V;FEM;SG;3;PST;MID	ADJ;INDF;FEM;PL
נפגעה	avariat	נפגע	avariat	V;FEM;SG;3;PST;MID	ADJ;INDF;MASC;SG
נפגעה	deteriorate	נפגע	deteriorat	V;FEM;SG;3;PST;MID	ADJ;INDF;FEM;PL
גורל	destiny	גורל	destiny		N;INDF;MASC;SG
גורל	destinul	גורל	destin		N;DEF;MASC;SG
גורל	destin	גורל	destin		N;INDF;MASC;SG
גורל	soarta	גורל	soartă		N;DEF;FEM;SG
גורל	soartă	גורל	soartă		N;INDF;FEM;SG
גורל	destin	גורל	destin		N;INDF;MASC;SG
אריזונה	arizona	אריזונה	arizona	PROPN	PROPN
בטוחה	încrezători	בטוח	încrezător	ADJ;FEM;SG	V;IND;PL;2;IPFV;FIN
אסטוניה	estoniei	אסטוניה	estonie	PROPN	PROPN;DEF;FEM;SG
אסטוניה	estonia	אסטוניה	estonie	PROPN	PROPN
בודק	verific	בדק	verifica	V;MASC;SG;V.PTCP;ACT	V;IND;SG;1;PRS;FIN
בודק	verificarea	בדק	verificare	V;MASC;SG;V.PTCP;ACT	N;DEF;FEM;SG
ארט	arta	ארט	artă	PROPN	N;DEF;FEM;SG
ארט	artă	ארט	artă	PROPN	N;INDF;FEM;SG
ארט	art	ארט	art	PROPN	N;INDF;MASC;SG
יקום	univers	יקום	univers	PROPN	N;INDF;MASC;SG
יקום	universul	יקום	univers	PROPN	N;DEF;MASC;SG
מיניות	sexuale	מיני	sexual	N;FEM;SG	ADJ;INDF;FEM;PL
מיניות	sexuală	מיני	sexual	N;FEM;SG	ADJ;INDF;FEM;SG
מיניות	sexual	מיני	sexual	N;FEM;SG	ADJ;INDF;MASC;SG
סודי	secretă	סודי	secret	N;MASC;SG	ADJ;INDF;FEM;SG
סודי	secrete	סודי	secret	N;MASC;SG	N;INDF;FEM;PL
סודי	confidențiale	סודי	confidențial	N;MASC;SG	ADJ;INDF;FEM;PL
סודי	confidențial	סודי	confidențial	N;MASC;SG	ADV
אחי	bro	אחי	bro		PROPN
אחי	gagiu	אחי	gagiu		N;INDF;MASC;SG
אחי	fratele	אחי	frate		N;DEF;MASC;SG
פאשה	pasha	פאשה	pasha		PROPN
קדומה	prejudecată	קדום	prejudeca		ADJ;INDF;FEM;SG
קדומה	prejudiciu	קדום	prejudiciu		N;INDF;MASC;SG
דיק	sculă	שדיק	sculă	PROPN	N;INDF;FEM;SG
דיק	dick	שדיק	dick	PROPN	PROPN
דיק	pula	שדיק	pula	PROPN	N;DEF;FEM;SG
דיק	pulă	שדיק	pulă	PROPN	N;INDF;FEM;SG
עדים	martorul	עד	martor	N;MASC;PL	N;DEF;MASC;SG
עדים	martoră	עד	martoră	N;MASC;PL	N;INDF;FEM;SG
עדים	martor	עד	martor	N;MASC;PL	N;INDF;MASC;SG
צפויה	așteptam	צפוי	aștepta	ADJ;FEM;SG	V;IND;1;IPFV;FIN
צפויה	previzibile	צפוי	previzibil	ADJ;FEM;SG	ADJ;INDF;FEM;PL
צפויה	previzibil	צפוי	previzibil	ADJ;FEM;SG	ADV
ברמות	nivelurile	ברמות	nivel		N;DEF;FEM;PL
ברמות	niveluri	ברמות	nivel		N;INDF;FEM;PL
ברמות	nivele	ברמות	nivel		N;INDF;FEM;PL
נחת	aterizat	נחת	ateriza		ADJ;INDF;MASC;SG
נחת	debarcat	נחת	debarca		ADJ;INDF;MASC;SG
נחת	marin	נחת	marin		N;INDF;MASC;SG
נחת	marină	נחת	marină		N;INDF;FEM;SG
נחת	marine	נחת	marin		N;INDF;FEM;PL
מיר	mir	מיר	mir	PROPN	
לטביה	letoniei	לטביה	letonie	PROPN	PROPN;DEF;FEM;SG
לטביה	letonia	לטביה	letonie	PROPN	PROPN
לטביה	letonă	לטביה	letonă	PROPN	N;INDF;FEM;SG
ערובה	ostatici	ערובה	ostatic	N;FEM;SG	N;INDF;MASC;PL
ערובה	garanta	ערובה	garanta	N;FEM;SG	V;IND;SG;3;IPFV;FIN
מוקף	inconjurat	הוקף	inconjura	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
מוקף	înconjurată	הוקף	înconjura	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;FEM;SG
מוקף	înconjurat	הוקף	înconjura	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
גנטית	genetic	גנטי	genetic	PROPN	ADJ;INDF;MASC;SG
גנטית	genetic	גנטי	genetic	PROPN	ADJ;INDF;MASC;SG
גנטית	genetică	גנטי	genetic	PROPN	ADJ;INDF;FEM;SG
גנטית	genetice	גנטי	genetic	PROPN	ADJ;INDF;FEM;PL
הוסף	adăugare	הוסף	adăugare		N;INDF;FEM;SG
הוסף	adaugă	הוסף	adăuga		V;IND;3;PRS;FIN
הוסף	adauga	הוסף	adauga		V;IND;SG;3;IPFV;FIN
בוואריה	bavarez	בוואריה	bavarez	PROPN	ADJ;INDF;MASC;SG
בוואריה	bavaria	בוואריה	bavarie	PROPN	PROPN
אוריינות	erudit	אוריינות	erudit	N;FEM;SG	ADJ;INDF;MASC;SG
פשוטות	simplu	פשוט	simplu	ADJ;FEM;PL	ADV
פשוטות	simplă	פשוט	simplu	ADJ;FEM;PL	ADJ;INDF;FEM;SG
אמנותי	artistice	אמנותי	artistic	ADJ;MASC;SG	ADJ;INDF;FEM;PL
אטומי	atomic	אטומי	atomic	ADJ;MASC;PL	ADJ;INDF;MASC;SG
אטומי	atomică	אטומי	atomic	ADJ;MASC;PL	ADJ;INDF;FEM;SG
אטומי	atomica	אטומי	atomica	ADJ;MASC;PL	N;DEF;FEM;SG
מישיגן	michigan	מישיגן	michigan	PROPN	N;INDF;MASC;SG
כיסא	fotoliu	כיסא	fotoliu	PROPN	N;INDF;MASC;SG
כיסא	scaun	כיסא	scaun	PROPN	N;INDF;MASC;SG
הילדה	hilda	הילדה	hilda	PROPN	N;DEF;FEM;SG
שנפלו	cazut	שנפל	caze	PROPN	ADJ;INDF;MASC;SG
שנפלו	căzută	שנפל	cădea	PROPN	ADJ;INDF;FEM;SG
שנפלו	căzut	שנפל	cădea	PROPN	V;MASC;SG;V.PTCP
נטע	neta	נטע	neta	PROPN	
הורשע	condamnat	הורשע	condamna	V;MASC;SG;3;PST;PASS	ADJ;INDF;MASC;SG
דחף	împins	דחף	împinge	N;MASC;SG	ADJ;INDF;MASC;SG
דחף	impins	דחף	impinge	N;MASC;SG	ADJ;INDF;MASC;SG
דחף	împinsă	דחף	împinge	N;MASC;SG	ADJ;INDF;FEM;SG
דאלאס	dallas	דאלאס	dallas	PROPN	PROPN
הרווח	profit	הרווח	profit		N;INDF;MASC;SG
הרווח	profitul	הרווח	profit		N;DEF;MASC;SG
קליבלנד	cleveland	קליבלנד	cleveland	PROPN	PROPN
כובע	pălăriile	כובע	pălărie	N;MASC;SG	N;DEF;FEM;PL
כובע	pălării	כובע	pălărie	N;MASC;SG	N;INDF;FEM;PL
כובע	pac	כובע	pac	N;MASC;SG	
כובע	hat	כובע	hat	N;MASC;SG	
קורפוס	corpus	קורפוס	corpus	PROPN	N;INDF;MASC;SG
סוני	sony	סוני	sony	PROPN	N;INDF;MASC;SG
סוני	sonny	סוני	sonny	PROPN	N;INDF;MASC;SG
סוני	sunni	סוני	sunn	PROPN	
בחינם	liberă	בחינם	liber		ADJ;INDF;FEM;SG
בחינם	liber	בחינם	liber		ADV
בחינם	liberi	בחינם	liber		ADJ;INDF;MASC;PL
בחינם	gratuit	בחינם	gratuit		ADJ;INDF;MASC;SG
לכוון	scopul	לכוון	scop	V;NFIN;ACT	N;DEF;MASC;SG
רחמים	milă	רחמים	milă	N;MASC;PL	N;INDF;FEM;SG
רחמים	mercy	רחמים	mercy	N;MASC;PL	
רחמים	milă	רחמים	milă	N;MASC;PL	N;INDF;FEM;SG
רחמים	mila	רחמים	milă	N;MASC;PL	N;DEF;FEM;SG
רומני	românesc	רומני	românesc	PROPN	ADJ;INDF;MASC;SG
רומני	român	רומני	român	PROPN	ADJ;INDF;MASC;SG
רומני	români	רומני	român	PROPN	N;INDF;MASC;PL
רומני	română	רומני	român	PROPN	ADJ;INDF;FEM;SG
רומני	romney	רומני	romney	PROPN	PROPN
ברטון	burton	ברטון	burton	PROPN	PROPN
ברטון	barton	ברטון	barton	PROPN	PROPN
ברטון	breton	ברטון	breton	PROPN	N;INDF;MASC;SG
זרעים	seminte	זרע	semânt	N;MASC;PL	
נידון	condamnată	נידון	condamna	V;MASC;SG;PST;MID	ADJ;INDF;FEM;SG
נידון	condamnat	נידון	condamna	V;MASC;SG;PST;MID	ADJ;INDF;MASC;SG
נידון	condamnate	נידון	condamna	V;MASC;SG;PST;MID	ADJ;INDF;FEM;PL
נירנברג	nuremberg	נירנברג	nuremberg	PROPN	N;INDF;MASC;SG
מודרניות	modernitate	מודרני	modernitate	ADJ;FEM;PL	N;INDF;FEM;SG
מודרניות	moderna	מודרני	moderna	ADJ;FEM;PL	ADJ;DEF;FEM;SG
מודרניות	modern	מודרני	modern	ADJ;FEM;PL	ADJ;INDF;MASC;SG
מודרניות	modernă	מודרני	modern	ADJ;FEM;PL	ADJ;INDF;FEM;SG
בהינתן	dat	בהינתן	dat	ADV	ADJ;INDF;MASC;SG
חלקיק	particule	חלקיק	particulă	PROPN	N;INDF;FEM;PL
חלקיק	particulele	חלקיק	particulă	PROPN	N;DEF;FEM;PL
חלקיק	particule	חלקיק	particulă	PROPN	N;INDF;FEM;PL
חלקיק	particula	חלקיק	particulă	PROPN	N;DEF;FEM;SG
חלקיק	particulă	חלקיק	particulă	PROPN	N;INDF;FEM;SG
בואנוס	buenos	בואנוס	buenos	PROPN	N;INDF;MASC;SG
מני	manny	מן	manny		PROPN
מקל	stick	הקל	sticke		N;INDF;MASC;SG
אטלס	atlas	אטלס	atlas	PROPN	N;INDF;MASC;SG
מעריצים	ventilatoare	מעריץ	ventilator	N;MASC;PL	ADJ;INDF;FEM
מיאמי	miami	מיאמי	miam	PROPN	PROPN
מוסוליני	mussolini	מוסוליני	mussolină	PROPN	N;INDF;MASC;PL
נרשמה	notat	נרשם	nota	V;FEM;SG;3;PST;MID	ADJ;INDF;MASC;SG
נרשמה	remarcat	נרשם	remarca	V;FEM;SG;3;PST;MID	ADJ;INDF;MASC;SG
ולס	vals	ולס	vals	PROPN	N;INDF;MASC;SG
ולס	fântâni	ולס	fântână	PROPN	N;INDF;FEM;PL
ולס	wells	ולס	wells	PROPN	PROPN
יריב	rivală	יריב	rival	N;MASC;SG	ADJ;INDF;FEM;SG
רצופים	consecutiv	רצוף	consecutiv	ADJ;MASC;PL	ADJ;INDF;MASC;SG
בקביעות	regulat	בקביעות	regulat		ADV
בקביעות	constant	בקביעות	constant		ADV
פיה	zână	פיה	zână		N;INDF;FEM;SG
פיה	zâna	פיה	zână		N;DEF;FEM;SG
פיה	zana	פיה	zană		N;DEF;FEM;SG
ליון	lyon	ליון	lyon	PROPN	PROPN
ספיידרמן	spiderman	ספיידרמן	spiderman	PROPN	N;INDF;MASC;SG
טבלה	grafic	טבלה	grafic	N;FEM;SG	ADV
ביתא	beta	ביתא	beta	PROPN	N;INDF;MASC
נאפולי	neapole	נאפולי	neapol	PROPN	N;INDF;MASC;SG
נאפולי	napoli	נאפולי	napoli	PROPN	PROPN
נאפולי	neapole	נאפולי	neapol	PROPN	N;INDF;MASC;SG
נאפולי	napoli	נאפולי	napoli	PROPN	PROPN
חולי	pacienți	חולי	pacient	PROPN	N;INDF;MASC;PL
חולי	pacienții	חולי	pacient	PROPN	N;DEF;MASC;PL
חולי	boală	חולי	boală	PROPN	N;INDF;FEM;SG
חולי	boala	חולי	boală	PROPN	N;DEF;FEM;SG
ארגן	organizează	ארגן	organiza	PROPN	V;IND;3;PRS;FIN
ארגן	organizeaza	ארגן	organizeaza	PROPN	V;IND;SG;3;IPFV;FIN
ארגן	organizează	ארגן	organiza	PROPN	V;IND;3;PRS;FIN
ארגן	aranjată	ארגן	aranja	PROPN	ADJ;INDF;FEM;SG
ארגן	aranjate	ארגן	aranja	PROPN	ADJ;INDF;FEM;PL
ארגן	aranjat	ארגן	aranja	PROPN	ADJ;INDF;MASC;SG
הולם	adecvată	הולם	adecvat		ADJ;INDF;FEM;SG
הולם	corespunzătoare	הולם	corespunzător		ADJ;INDF;FEM
הולם	corespunzător	הולם	corespunzător		ADJ;INDF;MASC;SG
הולם	adecvat	הולם	adecvat		ADJ;INDF;MASC;SG
הולם	adecvată	הולם	adecvat		ADJ;INDF;FEM;SG
הולם	adecvate	הולם	adecvat		ADJ;INDF;FEM;PL
הולם	adecvat	הולם	adecvat		ADJ;INDF;MASC;SG
הולם	holm	הולם	holm		PROPN
המונים	multitudine	המון	multitudine	N;MASC;PL	N;INDF;FEM;SG
מעורר	stimulator	עורר	stimulator	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
מעורר	stimularea	עורר	stimulare	V;MASC;SG;V.PTCP;ACT	N;DEF;FEM;SG
באפט	buffett	באפט	buffett	PROPN	PROPN
מסת	liturghie	מסת	liturghie	PROPN	N;INDF;FEM;SG
מסת	mass	מסת	mass	PROPN	N
מסת	masă	מסת	masă	PROPN	N;INDF;FEM;SG
מסת	masa	מסת	masă	PROPN	N;DEF;FEM;SG
אחיות	nurse	אח	nursă	N;FEM;PL	
הולנדי	olandeză	הולנדי	olandez	PROPN	ADJ;INDF;FEM;SG
הולנדי	olandezi	הולנדי	olandez	PROPN	ADJ;INDF;MASC;PL
הולנדי	olandez	הולנדי	olandez	PROPN	ADJ;INDF;MASC;SG
הולנדי	dutch	הולנדי	dutch	PROPN	N;INDF;MASC;SG
יהונתן	jonathan	הונתן	jonathan	PROPN	PROPN
פין	penis	פין	penis		N;INDF;MASC;SG
פין	penisul	פין	penis		N;DEF;MASC;SG
פין	fin	פין	fin		ADV
מאובנים	fosile	מאובן	fosilă	V;MASC;PL;V.PTCP;PASS	N;INDF;FEM;PL
ריאות	lung	ריאות	lung	N;FEM;SG	ADJ;INDF;MASC;SG
ריאות	plămânii	ריאות	plămân	N;FEM;SG	N;DEF;MASC;PL
ריאות	plămâni	ריאות	plămân	N;FEM;SG	N;INDF;MASC;PL
שקר	minciună	שקר	minciună		N;INDF;FEM;SG
שקר	minciuna	שקר	minciună		N;DEF;FEM;SG
שקר	fals	שקר	fals		ADJ;INDF;MASC;SG
שקר	falsa	שקר	fals		ADJ;DEF;FEM;SG
שקר	falsă	שקר	fals		ADJ;INDF;FEM;SG
שקר	false	שקר	fals		ADJ;INDF;FEM;PL
נפשי	mentale	נפשי	mental	ADJ;MASC;SG	ADJ;INDF;FEM;PL
מציינת	indică	ציין	indica	V;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
שמקורם	originar	שמקורם	originar	PROPN	ADJ;INDF;MASC;SG
שמקורם	originare	שמקורם	originar	PROPN	ADJ;INDF;FEM;PL
מכסה	capacul	כיסה	capac	V;FEM;SG;V.PTCP;ACT	N;DEF;MASC;SG
מכסה	capac	כיסה	capac	V;FEM;SG;V.PTCP;ACT	N;INDF;MASC;SG
מכסה	acoperi	כיסה	acoperi	V;FEM;SG;V.PTCP;ACT	
מכסה	acoperă	כיסה	acoperi	V;FEM;SG;V.PTCP;ACT	V;IND;3;PRS;FIN
מכסה	coperta	כיסה	copertă	V;FEM;SG;V.PTCP;ACT	N;DEF;FEM;SG
מכסה	copertă	כיסה	copertă	V;FEM;SG;V.PTCP;ACT	N;INDF;FEM;SG
מכסה	cover	כיסה	cover	V;FEM;SG;V.PTCP;ACT	N;INDF;MASC;SG
מכסה	acoperire	כיסה	acoperire	V;FEM;SG;V.PTCP;ACT	N;INDF;FEM;SG
מכסה	contingent	כיסה	contingent	V;FEM;SG;V.PTCP;ACT	N;INDF;MASC;SG
מכסה	cotă	כיסה	cotă	V;FEM;SG;V.PTCP;ACT	N;INDF;FEM;SG
מכסה	cota	כיסה	cotă	V;FEM;SG;V.PTCP;ACT	N;DEF;FEM;SG
מכסה	acoperă	כיסה	acoperi	V;FEM;SG;V.PTCP;ACT	V;IND;3;PRS;FIN
התיאור	descriere	התיאור	descriere	PROPN	N;INDF;FEM;SG
התיאור	descrierea	התיאור	descriere	PROPN	N;DEF;FEM;SG
מסייע	ajută	סייע	ajuta	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
מסייע	util	סייע	util	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
מסייע	utilă	סייע	util	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;FEM;SG
בונים	castori	בנה	castor	V;MASC;PL;V.PTCP;ACT	N;INDF;MASC;PL
שוחררו	lansat	שוחרר	lansat	V;PL;3;PST;PASS	ADJ;INDF;MASC;SG
שוחררו	eliberat	שוחרר	elibera	V;PL;3;PST;PASS	ADJ;INDF;MASC;SG
שוחררו	eliberată	שוחרר	elibera	V;PL;3;PST;PASS	ADJ;INDF;FEM;SG
עבאס	abbas	עבאס	abbas	PROPN	N;INDF;MASC;SG
ננסי	nancy	ניסה	nancy	PROPN	PROPN
המולדת	patria	המולד	patrie	PROPN	N;DEF;FEM;SG
המולדת	patria	המולד	patrie	PROPN	N;DEF;FEM;SG
המולדת	patriei	המולד	patrie	PROPN	PROPN;DEF;FEM;SG
המולדת	homeland	המולד	homeland	PROPN	N;INDF;MASC;SG
המולדת	patrie	המולד	patrie	PROPN	N;INDF;FEM;SG
ליבה	nucleul	ליבה	nucleu	PROPN	N;DEF;MASC;SG
ליבה	core	ליבה	core	PROPN	N;INDF;MASC;SG
ליבה	miezul	ליבה	miez	PROPN	N;DEF;MASC;SG
ליבה	miez	ליבה	miez	PROPN	N;INDF;MASC;SG
ליבה	nucleu	ליבה	nucleu	PROPN	N;INDF;MASC;SG
בטי	betty	ביט	betty	PROPN	N;INDF;MASC;SG
קדומות	prejudecată	קדום	prejudeca	N;FEM;PL	ADJ;INDF;FEM;SG
קדומות	prejudiciu	קדום	prejudiciu	N;FEM;PL	N;INDF;MASC;SG
פיצוי	compensații	פיצוי	compensație	N;MASC;SG	N;INDF;FEM;PL
רכיב	componenta	רכיב	componenta		N;DEF;FEM;SG
רכיב	componentă	רכיב	componentă		N;INDF;FEM;SG
אורז	ambalare	אורז	ambalare	PROPN	N;INDF;FEM;SG
אורז	orez	אורז	orez	PROPN	N;INDF;MASC;SG
פלסטין	palestina	פלסטין	palestina	PROPN	N;DEF;FEM;SG
לנון	lennon	לנון	lennon	PROPN	PROPN
מתקבלת	susținut	התקבל	susține	V;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
מתקבלת	susţinut	התקבל	sushinut	V;FEM;SG;V.PTCP	ADJ;INDF;MASC;SG
מתקבלת	susținută	התקבל	susținut	V;FEM;SG;V.PTCP	ADJ;INDF;FEM;SG
ברוקולי	broccoli	ברוקול	broccol	PROPN	N;INDF;MASC;PL
אלת	zeita	אלת	zeita		N;DEF;FEM;SG
אלת	zeiţa	אלת	zeipă		N;DEF;FEM;SG
מתמטי	matematic	מתמיט	matematic	N;MASC;SG	ADJ;INDF;MASC;SG
מוקדש	dedicată	הוקדש	dedica	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;FEM;SG
מוקדש	dedicate	הוקדש	dedica	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;FEM;PL
מוקדש	dedicat	הוקדש	dedica	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;MASC;SG
עוזב	plecarea	עוזב	plecare	V;MASC;SG;V.PTCP;ACT	N;DEF;FEM;SG
לאונרדו	leonardo	לאונרדו	leonardo	PROPN	PROPN
מבטא	accente	מבטא	accent	N;MASC;SG	N;INDF;FEM;PL
הזמנה	invita	הזמנה	invita	N;FEM;SG	V;IND;SG;3;IPFV;FIN
הזמנה	invită	הזמנה	invita	N;FEM;SG	V;IND;SG;3;PST;FIN
מחברות	caietele	מחברה	caiet		N;DEF;FEM;PL
שולמית	shulamit	שולמי	shulami	PROPN	N;INDF;MASC;SG
הקומוניסטים	comunisti	הקומוניסטי	comunist	N	
העיקרון	principiul	העיקרון	principiu	PROPN	N;DEF;MASC;SG
