den	на	den	на	PRO;DEF;MASC+FEM;SG	ADP
listade	изброени	lisa	избероя-(се)	ADJ;NOM;PL;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
landet	държава	land	държава	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
landet	страна	land	страна	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
meter	метър	meter	метър	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
meter	метра	meter	метър	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;SG
meter	метър	meter	метър	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
meter	ярда	meter	ярд	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;SG
huvudstaden	капитолия	huvudstad	капитолия	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
huvudstaden	столица	huvudstad	столица	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
huvudstaden	капитал	huvudstad	капитал	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
huvudstaden	капитали	huvudstad	капитал	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;PL
havet	море	hav	море	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
havet	океан	hav	океан	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
invånare	пребиваващи	invånare	пребивавам	N;NOM;INDF;MASC+FEM;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
invånare	гражданите	invånare	гражданин	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;PL
millimeter	милиметров	millimet	милиметров	N;NOM;INDF;MASC+FEM;PL	ADJ;INDF;MASC;SG
millimeter	милиметър	millimet	милиметър	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
millimeter	милиметра	millimet	милиметър	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;SG
millimeter	милиметър	millimet	милиметър	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
millimeter	милиметър	millimet	милиметър	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
millimeter	милиметра	millimet	милиметър	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;SG
genomsnitt	среден	genomsnitt	среден	N;NOM;INDF;NEUT;SG	ADJ;INDF;MASC;SG
genomsnitt	средно	genomsnitt	средно	N;NOM;INDF;NEUT;SG	ADV
genomsnittlig	средно	genomsnittlig	средно	ADJ;NOM;INDF;MASC+FEM;SG	ADV
var	var	var	None	PRO;INDF;MASC+FEM;SG	INTJ
var	вар	var	вар	PRO;INDF;MASC+FEM;SG	N;INDF;MASC;SG
var	бе	var	съм	PRO;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;PST;FIN;ACT
var	бяха	var	съм	PRO;INDF;MASC+FEM;SG	V;IPFV;IND;PL;3;PST;FIN;ACT
var	къде	var	къде	PRO;INDF;MASC+FEM;SG	ADV
juli	джули	juli	джул	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;FEM;SG
han	хан	han	хан	PRO;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
per	пер	per	пер	ADP	PROPN;INDF;MASC;SG
vattendrag	реки	vattendrag	река	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
vattendrag	реките	vattendrag	река	N;NOM;INDF;NEUT;SG	N;DEF;FEM;PL
kanada	канада	kanad	канад	PROPN;NOM	N;INDF;FEM;SG
provinsen	провинция	provins	провинция	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
närheten	близост	närhet	близост	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
högsta	върховен	hög	върховен	ADJ;NOM;DEF;RL	ADJ;INDF;MASC;SG
högsta	върховния	hög	върховен	ADJ;NOM;DEF;RL	ADJ;DEF;MASC;SG
högsta	върховна	hög	върховен	ADJ;NOM;DEF;RL	ADJ;INDF;FEM;SG
högsta	върховно	hög	върховен	ADJ;NOM;DEF;RL	ADV
högsta	максимална	hög	максимален	ADJ;NOM;DEF;RL	ADJ;INDF;FEM;SG
högsta	максимален	hög	максимален	ADJ;NOM;DEF;RL	ADJ;INDF;MASC;SG
högsta	максимум	hög	максимум	ADJ;NOM;DEF;RL	N;INDF;MASC;SG
högsta	максимално	hög	максимално	ADJ;NOM;DEF;RL	ADV
augusti	аугуст	augusti	аугуст	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
kan	могат	kunna	мога	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
kan	can	kunna	can	V;IND;PRS;FIN;ACT	PROPN;INDF;MASC;SG
externa	външна	ext	външен	N;NOM;DEF;MASC+FEM;PL	ADJ;INDF;FEM;SG
externa	външно	ext	външен	N;NOM;DEF;MASC+FEM;PL	ADV
externa	външни	ext	външен	N;NOM;DEF;MASC+FEM;PL	ADJ;INDF;PL
externa	външен	ext	външен	N;NOM;DEF;MASC+FEM;PL	ADJ;INDF;MASC;SG
även	дори	även	дори	ADV	PART
även	даже	även	даже	ADV	PART
lake	езерото	lake	езеро	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
lake	лейк	lake	лейк	N;NOM;INDF;NEUT;SG	PROPN;INDF;MASC;SG
sjö	езерото	sjö	езеро	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
sjö	лейк	sjö	лейк	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
sjö	морето	sjö	море	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
inte	не	inte	не	PART;NEG	INTJ;NEG
sig	сиг	sig	сиг	PRO;ACC;DEF	N;INDF;MASC;SG
lac	лак	lac	лак	V;IMP;FIN;ACT	N;INDF;MASC;SG
terrängen	терен	terräng	терен	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
terrängen	терени	terräng	терен	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;PL
long	дълги	long	дълъг	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
long	дълго	long	дълго	N;NOM;INDF;MASC+FEM;SG	ADV
long	дълъг	long	дълъг	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
long	лонг	long	лонг	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
lat	лат	lat	лат	N;NOM;INDF;MASC+FEM;SG	INTJ
lat	мързелива	lat	мързелив	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
lat	мързеливи	lat	мързелив	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
lat	мързелив	lat	мързелив	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
lat	мързеливо	lat	мързеливо	N;NOM;INDF;MASC+FEM;SG	ADV
växer	отглеждане	växa	отглеждане	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
många	mnogo	mången	mnogo	PRO;INDF;PL	PROPN;INDF;NEUT;SG
många	много	mången	много	PRO;INDF;PL	ADV;INDF;PL
nära	затваряне	nära	затваряне	ADV	N;INDF;NEUT;SG
nära	близки	nära	близък	ADV	ADJ;INDF;PL
väster	западно	väster	западно	N;NOM;INDF;MASC+FEM;SG	ADV
väster	западна	väster	западна	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
väster	западен	väster	западя-(се)	N;NOM;INDF;MASC+FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
väster	уест	väster	уест	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
provins	провинцията	provins	провинция	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
öster	източно	öster	източно	N;NOM;INDF;MASC+FEM;SG	ADV
först	първи	först	първи	ADV	ADJ;INDF;MASC;SG
berg	планински	berg	планински	N;NOM;INDF;NEUT;SG	ADJ;INDF;MASC;SG
berg	планината	berg	планина	N;NOM;INDF;NEUT;SG	N;DEF;FEM;SG
berg	бърг	berg	бърг	N;NOM;INDF;NEUT;SG	PROPN;INDF;FEM;SG
berg	планините	berg	планини	N;NOM;INDF;NEUT;SG	N;DEF;FEM;PL
berg	планини	berg	планина	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
indonesien	индонезия	indonesien	индонезия	PROPN;NOM	N;INDF;FEM;SG
usa	сащ	usa	сащ	PROPN;NOM	PROPN;INDF;MASC;PL
usa	usa	usa	usa	PROPN;NOM	PROPN;INDF;MASC;SG
mars	марс	mars	марс	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
mindre	незначителни	lite	незначителен	ADV;CMPR	ADJ;INDF;PL
norr	северно	norr	северно	N;NOM;INDF;MASC+FEM;SG	ADV
norr	северна	norr	северен	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
man	човече	man	човече	PRO;NOM;INDF;MASC+FEM;SG	ADV
man	човек	man	човек	PRO;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
man	мъж	man	мъж	PRO;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
större	майорът	stor	майор	ADJ;NOM;CMPR	N;DEF;MASC;SG
större	майор	stor	майор	ADJ;NOM;CMPR	N;INDF;MASC;SG
centrala	централно	central	централен	ADJ;NOM;PL	ADV
centrala	централен	central	централен	ADJ;NOM;PL	ADJ;INDF;MASC;SG
centrala	централа	central	централа	ADJ;NOM;PL	N;INDF;FEM;SG
centrala	централна	central	централен	ADJ;NOM;PL	ADJ;INDF;FEM;SG
nordväst	северозападна	nordväst	северозападен	ADV	ADJ;INDF;FEM;SG
nordväst	северозапад	nordväst	северозапад	ADV	N;INDF;MASC;SG
andra	второ	annan	втори	PRO;INDF;PL	ADV
andra	втора	annan	втори	PRO;INDF;PL	ADJ;INDF;FEM;SG
andra	втори	annan	втори	PRO;INDF;PL	ADJ;INDF;MASC;SG
andra	друго	annan	друг	PRO;INDF;PL	ADV
andra	друг	annan	друг	PRO;INDF;PL	ADJ;INDF;MASC;SG
andra	други	annan	друг	PRO;INDF;PL	ADJ;INDF;PL
andra	другите	annan	друг	PRO;INDF;PL	ADJ;DEF;PL
andra	други	annan	друг	PRO;INDF;PL	ADJ;INDF;PL
nordost	североизточна	nordost	североизточен	ADV	ADJ;INDF;FEM;SG
nordost	североизток	nordost	североизток	ADV	N;INDF;MASC;SG
ovanligt	необичайни	ovanlig	необичаен	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;PL
ovanligt	необикновено	ovanlig	необикновено	ADJ;NOM;INDF;NEUT;SG	ADV
ovanligt	необичайно	ovanlig	необичайно	ADJ;NOM;INDF;NEUT;SG	ADV
söder	южно	söder	южен	N;NOM;INDF;MASC+FEM;SG	ADV
söder	южна	söder	южен	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
jpg	jpg	jpg	jpg	N	PROPN;INDF;MASC;SG
regionen	район	region	район	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
regionen	регион	region	регион	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
regionen	област	region	област	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
ottawa	отава	ottal	отавам-(се)	PROPN;NOM	PROPN;INDF;MASC;SG
creek	крийк	creek	крийк	N;NOM;INDF;NEUT;SG	PROPN;INDF;MASC;SG
maj	май	maj	май	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
platt	плат	platt	плат	ADV	N;INDF;MASC;SG
platt	плоски	platt	плоска	ADV	ADJ;INDF;PL
platt	апартамент	platt	апартамент	ADV	N;INDF;MASC;SG
platt	плоска	platt	плоска	ADV	N;INDF;FEM;SG
platt	плосък	platt	плосък	ADV	ADJ;INDF;MASC;SG
född	родени	född	родя-(се)	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
född	роден	född	родя-(се)	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
född	родена	född	родя-(се)	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
finland	финландия	finland	финландия	PROPN;NOM	PROPN;INDF;FEM;SG
samhälle	обществото	samhälle	общество	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
samhälle	общността	samhälle	общност	N;NOM;INDF;NEUT;SG	N;DEF;FEM;SG
består	съставен	bestå	съставя	V;IND;PRS;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
består	съставени	bestå	съставя	V;IND;PRS;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
består	съставена	bestå	съставя	V;IND;PRS;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
består	съставено	bestå	съставя	V;IND;PRS;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
platser	седалките	plats	седалка	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;PL
första	първо	en	първо	ADJ;NOM	ADV
fick	получено	få	получа	V;IND;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
fick	получена	få	получа	V;IND;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fick	получен	få	получа	V;IND;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
fick	получени	få	получа	V;IND;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
sydväst	югозапад	sydväst	югозапад	ADV	N;DEF;MASC;SG
sydväst	югозападна	sydväst	югозападен	ADV	ADJ;INDF;FEM;SG
området	зона	område	зона	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
området	площ	område	площ	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
området	област	område	област	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
området	район	område	район	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
australien	австралия	australien	австралия	PROPN;NOM	PROPN;INDF;FEM;SG
sydöstra	югоизточна	sydöstra	югоизточен	ADJ;NOM;DEF;SG	ADJ;INDF;FEM;SG
sydöstra	югоизток	sydöstra	югоизток	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
sydöstra	югоизточна	sydöstra	югоизточен	ADJ;NOM;DEF;SG	ADJ;INDF;FEM;SG
april	ейприл	april	ейприл	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;FEM;SG
bar	барът	ba	бар	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
sydost	югоизточна	sydost	югоизточен	ADV	ADJ;INDF;FEM;SG
sydost	югоизток	sydost	югоизток	ADV	N;INDF;MASC;SG
hans	ханс	han	ханс	PRO;DEF	PROPN;INDF;MASC;SG
hans	неговият	han	мой	PRO;DEF	DET;DEF;MASC;SG;3
hans	неговата	han	мой	PRO;DEF	DET;DEF;FEM;SG;3
hans	неговия	han	мой	PRO;DEF	DET;DEF;MASC;SG;3
södra	южен	södra	южен	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
södra	южни	södra	южен	ADJ;NOM;DEF;SG	ADJ;INDF;PL
södra	южна	södra	южен	ADJ;NOM;DEF;SG	ADJ;INDF;FEM;SG
södra	южно	södra	южен	ADJ;NOM;DEF;SG	ADV
södra	южен	södra	южен	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
södra	юг	södra	юг	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
södra	южна	södra	южен	ADJ;NOM;DEF;SG	ADJ;INDF;FEM;SG
södra	södra	södra	södra	ADJ;NOM;DEF;SG	PROPN;INDF;MASC;SG
toppen	страхотно	topp	страхотно	N;NOM;DEF;MASC+FEM;SG	ADV
toppen	top	topp	top	N;NOM;DEF;MASC+FEM;SG	ADV
toppen	топ	topp	топ	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
sverige	швеция	sverige	швеция	PROPN;NOM	PROPN;INDF;FEM;SG
östra	източно	östra	източно	ADJ;NOM;DEF;SG	ADV
östra	изток	östra	изток	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
östra	източна	östra	източен	ADJ;NOM;DEF;SG	ADJ;INDF;FEM;SG
östra	източно	östra	източно	ADJ;NOM;DEF;SG	ADV
östra	източни	östra	източен	ADJ;NOM;DEF;SG	ADJ;INDF;PL
östra	изток	östra	изток	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
östra	източен	östra	източа-(се)	ADJ;NOM;DEF;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
cet	cet	cet	cet		N;INDF;NEUT;SG
kilometer	километър	kilomet	километър	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
kilometer	километра	kilomet	километър	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;SG
norra	северно	norra	северно	ADJ;NOM;DEF;SG	ADV
norra	север	norra	север	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
norra	северна	norra	северен	ADJ;NOM;DEF;SG	ADJ;INDF;FEM;SG
norra	северни	norra	северен	ADJ;NOM;DEF;SG	ADJ;INDF;PL
norra	северен	norra	северен	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
norra	северна	norra	северен	ADJ;NOM;DEF;SG	ADJ;INDF;FEM;SG
talet	реч	tal	реч	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
talet	говор	tal	говор	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
mot	мот	mot	мот	ADP	N;INDF;MASC;SG
västra	запад	onstra	запад	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
västra	западно	onstra	западно	ADJ;NOM;DEF;SG	ADV
västra	западна	onstra	западна	ADJ;NOM;DEF;SG	ADJ;INDF;FEM;SG
västra	западен	onstra	западя-(се)	ADJ;NOM;DEF;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
västra	уест	onstra	уест	ADJ;NOM;DEF;SG	PROPN;INDF;MASC;SG
västra	западна	onstra	западна	ADJ;NOM;DEF;SG	ADJ;INDF;FEM;SG
västra	западни	onstra	западен	ADJ;NOM;DEF;SG	ADJ;INDF;PL
västra	западен	onstra	западя-(се)	ADJ;NOM;DEF;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
västra	западните	onstra	западен	ADJ;NOM;DEF;SG	ADJ;DEF;PL
västra	уестърн	onstra	уестърн	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
västra	western	onstra	western	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
del	дел	del	дел	N;NOM;INDF;MASC+FEM;SG	PROPN
del	del	del	del	N;NOM;INDF;MASC+FEM;SG	PROPN
namn	името	namn	име	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
namn	наименования	namn	наименование	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
namn	имената	namn	име	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;PL
namn	имена	namn	име	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
svenska	шведска	svensk	шведски	ADJ;NOM;PL	ADJ;INDF;FEM;SG
svenska	шведски	svensk	шведски	ADJ;NOM;PL	ADJ;INDF;MASC;SG
svensk	шведска	svensk	шведски	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
svensk	шведски	svensk	шведски	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
cerro	серо	cerro	серо	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
frankrike	франция	frankrike	франция	PROPN;NOM	PROPN;INDF;FEM;SG
död	смъртта	död	смърт	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
död	мъртви	död	мъртъв	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
död	мъртва	död	мъртва	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
kulle	хил	kulle	хил	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
kulle	hill	kulle	hill	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
kina	порцелан	kina	порцелам	PROPN;NOM	N;INDF;MASC;SG
kina	китай	kina	китай	PROPN;NOM	N;INDF;MASC;SG
kina	чайна	kina	чаен	PROPN;NOM	N;INDF;FEM;SG
kina	кнр	kina	кнр	PROPN;NOM	PROPN;INDF;MASC;SG
kommunen	община	kommun	община	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
klimatet	климат	klimate	климат	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
annat	друго	annan	друг	PRO;INDF;NEUT;SG	ADV
annat	друг	annan	друг	PRO;INDF;NEUT;SG	ADJ;INDF;MASC;SG
annat	други	annan	друг	PRO;INDF;NEUT;SG	ADJ;INDF;PL
edt	edt	edt	edt	NUM;NOM	N;INDF;MASC;PL
skulle	би	skola	съм	V;IND;PST;FIN;ACT	V;IPFV;COND;SG;3;PST;FIN
departementet	отдел	departement	отдел	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
departementet	департамент	departement	департамент	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
park	park	park	park	N;NOM;INDF;MASC+FEM;SG	ADJ
hill	хълм	hill	хълм	PROPN;NOM	N;INDF;MASC;SG
hill	хил	hill	хил	PROPN;NOM	PROPN;INDF;MASC;SG
hill	hill	hill	hill	PROPN;NOM	PROPN;INDF;MASC;SG
flera	множествена	flera	множествен	PRO;INDF;PL	ADJ;INDF;FEM;SG
flera	многобройни	flera	многоброен	PRO;INDF;PL	ADJ;INDF;PL
flera	множество	flera	множество	PRO;INDF;PL	N;INDF;NEUT;SG
periodiskt	периодични	periodisk	периодичен	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;PL
periodiskt	периодично	periodisk	периодично	ADJ;NOM;INDF;NEUT;SG	ADV
periodiskt	периодично	periodisk	периодично	ADJ;NOM;INDF;NEUT;SG	ADV
nord	северно	nord	северно	PROPN;NOM	ADV
nord	север	nord	север	PROPN;NOM	N;INDF;MASC;SG
nord	северна	nord	северен	PROPN;NOM	ADJ;INDF;FEM;SG
nord	nord	nord	nor	PROPN;NOM	PROPN;INDF;MASC;SG
stockholm	стокхолм	stockholm	стокхолм	PROPN;NOM	PROPN;INDF;MASC;SG
alla	всичко	all	всеки	PRO;INDF;PL	PRO;NOM;NEUT;SG
alla	всеки	all	всеки	PRO;INDF;PL	PRO;NOM;MASC;SG
samma	същият	samma	същ	DET;INDF	ADJ;DEF;MASC;SG
samma	същата	samma	същ	DET;INDF	ADJ;DEF;FEM;SG
samma	същото	samma	същ	DET;INDF	ADJ;DEF;NEUT;SG
olika	различна	olik	различен	ADJ;NOM;PL	ADJ;INDF;FEM;SG
olika	различно	olik	различно	ADJ;NOM;PL	ADV
olika	различен	olik	различен	ADJ;NOM;PL	ADJ;INDF;MASC;SG
ort	градът	ort	град	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
ort	city	ort	city	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
nya	ню	ny	ню	ADJ;NOM;PL	PROPN;INDF;MASC;SG
nya	ново	ny	нов	ADJ;NOM;PL	ADV
nya	нов	ny	нов	ADJ;NOM;PL	ADJ;INDF;MASC;SG
nya	нова	ny	нов	ADJ;NOM;PL	ADJ;INDF;FEM;SG
island	исландия	island	исландия	PROPN;NOM	PROPN;INDF;FEM;SG
sjön	лейк	sjö	лейк	N;NOM;DEF;MASC+FEM;SG	PROPN;INDF;MASC;SG
sjön	езеро	sjö	езеро	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
tidigare	досега	tidig	досега	ADV;CMPR	ADV
tidigare	бивши	tidig	бивш	ADV;CMPR	ADJ;INDF;PL
tidigare	бивш	tidig	бивш	ADV;CMPR	N;INDF;MASC;SG
tidigare	бивша	tidig	бивш	ADV;CMPR	ADJ;INDF;FEM;SG
tidigare	предишна	tidig	предишен	ADV;CMPR	ADJ;INDF;FEM;SG
tidigare	предишни	tidig	предишен	ADV;CMPR	ADJ;INDF;PL
tidigare	предишен	tidig	предишен	ADV;CMPR	ADJ;INDF;MASC;SG
tidigare	предишно	tidig	предишно	ADV;CMPR	ADV
brasilien	бразилия	brasili	бразилия	PROPN;NOM	PROPN;INDF;FEM;SG
colombia	колумбия	colombia	колумбия	PROPN;NOM	PROPN;INDF;FEM;SG
colombia	колумбия	colombia	колумбия	PROPN;NOM	PROPN;INDF;FEM;SG
sina	тяхното	sig	наш	PRO;DEF;PL	DET;DEF;NEUT;SG;3
sina	тяхната	sig	наш	PRO;DEF;PL	DET;DEF;FEM;SG;3
sina	техните	sig	наш	PRO;DEF;PL	DET;DEF;PL;3
sina	техният	sig	наш	PRO;DEF;PL	DET;DEF;MASC;SG;3
