sammanhängande	المتاخمة	sammanhängande	مُتَاخِم	ADJ;NOM;PRS;V.PTCP	N;NOM;DEF;SG
medborgarskap	المواطنة	medborgarskap	مُوَاطَنَة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
bröd	الخبز	bröd	خُبز	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
fas	الطور	fas	طُور	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
fas	المرحلة	fas	مَرحَلَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
lissabon	لشبونة	lissabon	لشبونة	PROPN;NOM	N;NOM;INDF;SG
markera	العلامة	markera	عَلَامَة	V;IMP;FIN;ACT	N;NOM;DEF;SG
markera	مارك	markera	مَارك	V;IMP;FIN;ACT	
markera	علامة	markera	عَلَامَة	V;IMP;FIN;ACT	N;NOM;INDF;SG
markera	ابراز	markera	إِبرَاز	V;IMP;FIN;ACT	N;NOM;INDF;SG
markera	ابرز	markera	أَبرَز	V;IMP;FIN;ACT	ADJ;NOM;INDF;MASC;SG
markera	تحديد	markera	تَحدِيد	V;IMP;FIN;ACT	N;NOM;INDF;SG
kritiserade	انتقد	kritisera	اِنتَقَد	ADJ;NOM;PL;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
kritiserade	انتقد	kritisera	اِنتَقَد	ADJ;NOM;PL;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
noterade	نقلا	notera	نَقل	V;IND;PST;V.PTCP;ACT	N;ACC;INDF;SG
noterade	لوحظ	notera	لَاحَظ	V;IND;PST;V.PTCP;ACT	V;PFV;MASC;SG;3;PASS
fragment	الشظايا	fragment	شَظِيَّة	N;NOM;INDF;NEUT;PL	N;NOM;DEF;PL
stand	الوقوف	stand	وُقُوف	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
chester	تشيستر	chest	تشِيستَر	PROPN;NOM	
patricia	باتريشيا	patricia	باتريشيا	PROPN;NOM	
kalender	تقويم	kalender	تَقوِيم	N;NOM;INDF;NEUT;PL	N;NOM;INDF;SG
kalender	التقويم	kalender	تَقوِيم	N;NOM;INDF;NEUT;PL	N;NOM;DEF;SG
kurser	الدورات	kurs	دَورَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
edmonton	ادمونتون	edmonton	أَدمُونتُون	PROPN;NOM	
härkomst	النسب	härkomst	نِسبَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;PL
gardner	غاردنر	gardn	غاردنر	PROPN;NOM	
negativt	السلبية	negativ	سَلبِيّ	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
negativt	سالب	negativ	سالب	ADJ;NOM;INDF;NEUT;SG	N;NOM;INDF;SG
släkting	النسبي	släkting	نِسبِيّ	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
släkting	نسبيا	släkting	نِسبِيّ	N;NOM;INDF;MASC+FEM;SG	ADJ;ACC;INDF;MASC;SG
släkting	نسبية	släkting	نِسبِيّ	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
släkting	نسبي	släkting	نِسبِيّ	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
allians	الحلف	allians	حِلف	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
allians	التحالف	allians	تَحَالُف	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
utmärkelse	الجائزة	utmärkelse	جَائِزَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ham	هام	ham	هَامّ	PROPN;NOM	ADJ;NOM;INDF;MASC;SG
sigrid	سيغريد	sigrid	سيغريد	PROPN;NOM	
armeniska	الارمن	armenisk	أُرمُنّ	ADJ;NOM;PL	
etablerat	انشئت	etablera	أَنشَأ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PFV;FEM;SG;3;PASS
etablerat	انشئ	etablera	أَنشَأ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	
etablerat	انشا	etablera	إِنشَا	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	
synpunkter	التعليقات	synpunkt	تَعلِيق	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
flyg	الرحلة	flyg	رِحلَة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
flyg	الطيران	flyg	طَيَرَان	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
flyg	رحلات	flyg	رِحلَة	N;NOM;INDF;NEUT;SG	N;NOM;INDF;PL
flyg	الرحلات	flyg	رِحلَة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;PL
ajax	اياكس	ajax	أَيَاكس	PROPN;NOM	
stärka	تقوية	stärka	تَقوِيَة	V;NFIN;ACT	N;NOM;INDF;SG
stärka	تقوية	stärka	تَقوِيَة	V;NFIN;ACT	N;NOM;INDF;SG
stärka	التعزيز	stärka	تَعزِيز	V;NFIN;ACT	N;NOM;DEF;SG
enorma	ضخم	enorm	ضَخم	ADJ;NOM;PL	ADJ;NOM;INDF;MASC;SG
enorma	ضخمة	enorm	ضَخم	ADJ;NOM;PL	ADJ;NOM;INDF;FEM;SG
klaus	كلاوس	klaus	كلاوس	PROPN;NOM	
gang	العصابة	gang	عَصَابَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
begravningsplats	المقابر	begravningsplats	مَقبَر	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;PL
begravningsplats	المقبرة	begravningsplats	مُقبِر	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
begravningsplats	المقبرة	begravningsplats	مُقبِر	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
giftermål	الزواج	giftermål	زَوَاج	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
eden	ايدين	eden	ايدين	N;NOM;INDF;MASC+FEM;SG	
morton	مورتن	morton	مُوَرَّت	PROPN;NOM	
morton	مورتون	morton	مُوَرَّت	PROPN;NOM	
calgary	كالغاري	calgary	كالغاري	PROPN;NOM	
robotar	القذائف	robota	قَذِيفَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
robotar	الصواريخ	robota	صَارُوخ	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
robotar	الروبوتات	robota	رُوبُوت	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
finansiella	مالي	finansiell	مَالِيّ	ADJ;NOM;PL	
finansiella	مالية	finansiell	مَالِيّ	ADJ;NOM;PL	ADJ;NOM;INDF;FEM;SG
finansiella	المالية	finansiell	مَالِيَّة	ADJ;NOM;PL	N;NOM;DEF;SG
dawson	دوسن	dawson	دُوسن	PROPN;NOM	
hertigdömet	دوقية	hertigdöm	دَوقِيّ	N;NOM;DEF;NEUT;SG	
magna	magna	magen	magna	N;NOM;INDF;MASC+FEM;SG	
pia	بيا	pia	بيا	PROPN;NOM	
pia	بايا	pia	بَايَا	PROPN;NOM	
devon	ديفون	devon	دَيفُون	PROPN;NOM	
delägare	شريك	delägare	شَرِيك	N;NOM;INDF;MASC+FEM;PL	N;NOM;INDF;SG
delägare	شريكة	delägare	شَرِيكَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;INDF;SG
delägare	الشريك	delägare	شَرِيك	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;SG
kenny	كيني	kenny	كِينِيّ	PROPN;NOM	
mick	ميك	måcke	ميك	N;NOM;INDF;MASC+FEM;SG	
bitar	القطع	bit	قِطعَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;SG
bitar	قطع	bit	قَطَع	N;NOM;INDF;MASC+FEM;PL	V;PFV;MASC;SG;3;ACT
ljusa	لامع	ljus	لَامِع	ADJ;NOM;PL	ADJ;NOM;INDF;MASC;SG
ljusa	ساطع	ljus	سَاطَع	ADJ;NOM;PL	
ljusa	المشرق	ljus	مَشرِق	ADJ;NOM;PL	N;NOM;DEF;SG
ljusa	مشرق	ljus	مَشرِق	ADJ;NOM;PL	N;NOM;INDF;SG
theodore	تيودور	theodore	تيودور	PROPN;NOM	
electric	كهربائية	electric	كَهرَبَائِيَّة	N;NOM;INDF;NEUT;SG	
diskuteras	تناقش	diskutera	نَاقَش	V;IND;PRS;FIN;PASS	V;IPFV;FEM;IND;SG;3;FIN;ACT
diskuteras	يناقش	diskutera	نَاقَش	V;IND;PRS;FIN;PASS	V;IPFV;MASC;IND;SG;3;FIN;ACT
diskuteras	نوقش	diskutera	نوقش	V;IND;PRS;FIN;PASS	V;PFV;MASC;SG;3;ACT
diskuteras	ناقش	diskutera	نَاقَش	V;IND;PRS;FIN;PASS	V;PFV;MASC;SG;3;ACT
vitryska	بيلاروسية	vitrysk	بيلاروسية	N;NOM;INDF;MASC+FEM;SG	
vitryska	البيلاروسي	vitrysk	البيلاروسي	N;NOM;INDF;MASC+FEM;SG	
dynastin	سلالة	dynastin	سِلَالَة	ADJ;NOM;DEF;RL	N;NOM;INDF;SG
dynastin	السلالة	dynastin	سِلَالَة	ADJ;NOM;DEF;RL	N;NOM;DEF;SG
väntar	الانتظار	vänta	اِنتِظَار	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
väntar	انتظار	vänta	اِنتِظَار	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
väntar	منتظر	vänta	مُنتَظَر	V;IND;PRS;FIN;ACT	
knapp	زر	knapp	زر	N;NOM;INDF;MASC+FEM;SG	
knapp	الزر	knapp	زَرّ	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
inter	الانتر	inter	إِنتَر	PROPN;NOM	
inter	انتر	inter	إِنتَر	PROPN;NOM	
republik	الجمهورية	republik	جُمهُورِيَّة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
madame	مدام	madam	مَدَام	N;NOM;INDF;MASC+FEM;SG	
presentation	التقديم	presentation	تَقدِيم	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
presentation	العرض	presentation	عَرض	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
utgivning	النشر	utgivning	نَشر	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
förstöra	تدمير	förstöra	تَدمِير	V;NFIN;ACT	N;NOM;INDF;SG
förstöra	تدمر	förstöra	دَمَّر	V;NFIN;ACT	
förstöra	الخراب	förstöra	خَرَاب	V;NFIN;ACT	N;NOM;DEF;SG
förstöra	خراب	förstöra	خراب	V;NFIN;ACT	N;NOM;INDF;SG
syre	الاكسجين	syre	أُكسُجّ	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
syre	الاوكسجين	syre	أُوكسِجِين	N;NOM;INDF;NEUT;SG	
lycka	السعادة	lycka	سَعَادَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kulturer	الثقافات	kultur	ثَقَافَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
hawk	الصقر	hawk	صَقر	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
hawk	صقر	hawk	صَقَر	N;NOM;INDF;NEUT;SG	
hawk	هوك	hawk	هُوك	N;NOM;INDF;NEUT;SG	
slovenska	السلوفينية	slovensk	سلُوفِينِيّ	ADJ;NOM;PL	
slovenska	السلوفينية	slovensk	سلُوفِينِيّ	ADJ;NOM;PL	
slovenska	سلوفيني	slovensk	سلوفيني	ADJ;NOM;PL	
slovenska	سلوفينية	slovensk	سلوفينية	ADJ;NOM;PL	
slovenska	سلوفينيا	slovensk	سلوفينيا	ADJ;NOM;PL	
befattning	الوظيفة	befattning	وَظِيفَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
befattning	الدالة	befattning	دَالَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
befattning	المنصب	befattning	مَنصِب	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
befattning	الموضع	befattning	مُوَضَّع	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
befattning	الموقف	befattning	مَوقِف	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
systrar	الاخوات	syster	أَخَات	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
rättegången	محاكمة	rättegång	مُحَاكَمَة	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
rättegången	المحاكمات	rättegång	مُحَاكَمَة	N;NOM;DEF;MASC+FEM;SG	N;NOM;DEF;PL
planeras	المخطط	planera	مُخَطَّط	V;IND;PRS;FIN;PASS	N;NOM;DEF;SG
kontroversiella	الخلافية	kontroversiell	خِلَافِيّ	ADJ;NOM;PL	ADJ;NOM;DEF;FEM;SG
datorn	كمبيوتر	dator	كمبيوتر	N;NOM;DEF;MASC+FEM;SG	
datorn	حاسب	dator	حَاسِب	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
datorn	حاسوب	dator	حاسوب	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
manga	المانجا	manga	مَانجَا	N;NOM;INDF;MASC+FEM;SG	
kommersiellt	التجاري	kommersiell	تِجَارِيّ	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
accepterade	قبلت	acceptera	قَبِل	ADJ;NOM;PL;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
accepterade	مقبولة	acceptera	مَقبُول	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
tittar	ابحث	titta	بَحَث	V;IND;PRS;FIN;ACT	V;MASC;IMP;SG;FIN
tittar	النظر	titta	نَظَر	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
tittar	مشاهدة	titta	مُشَاهَدَة	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
justin	جاستين	justin	جَاسّ	PROPN;NOM	ADJ;ACC;INDF;FEM;DU
justin	جستن	justin	جستن	PROPN;NOM	
justin	جوستين	justin	جوستين	PROPN;NOM	
justin	جاستن	justin	جَاستِن	PROPN;NOM	
istanbul	اسطنبول	istanbul	اسطنبول	PROPN;NOM	
uppträda	اداء	uppträda	أَدَاء	V;IMP;FIN;ACT	N;NOM;INDF;SG
cut	قطع	cut	قَطَع	N;NOM;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
väggen	حائط	vägg	حَائِط	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
väggen	وول	vägg	وُول	N;NOM;DEF;MASC+FEM;SG	
väggen	جدار	vägg	جِدَار	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
relizane	غليزان	relizane	غليزان	N;NOM;INDF;MASC+FEM;SG	
minnet	ذاكرة	minn	ذَاكِرَة	N;NOM;DEF;NEUT;SG	N;NOM;INDF;SG
minnet	ذكرى	minn	ذِكرَى	N;NOM;DEF;NEUT;SG	N;NOM;INDF;SG
elena	الينا	elena	الينا	PROPN;NOM	
elena	ايلينا	elena	ايلينا	PROPN;NOM	
westwood	ويستوود	westwood	ويستوود	PROPN;NOM	
somalia	الصومال	somali	صُومَال	PROPN;NOM	N;NOM;DEF;SG
inställning	السلوك	inställning	سُلُوك	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
inställning	الموقف	inställning	مَوقِف	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
inställning	المواقف	inställning	مَوقِف	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;PL
inställning	التشكيل	inställning	تَشكِيل	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
inställning	التشكيلة	inställning	تَشكِيلَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
santana	سانتانا	santan	سانتانا	N;NOM;INDF;MASC+FEM;SG	
mekanisk	الميكانيكية	mekanisk	مِيكَانِيكِيَّة	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
efterföljare	اتباع	efterföljare	اِتِّبَاع	N;NOM;INDF;MASC+FEM;PL	N;NOM;INDF;SG
efterföljare	متابع	efterföljare	مُتَأَبِّع	N;NOM;INDF;MASC+FEM;PL	N;NOM;INDF;SG
efterföljare	المتابعين	efterföljare	مُتَابِع	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
efterföljare	خليفة	efterföljare	خليفة	N;NOM;INDF;MASC+FEM;PL	
upptäckten	اكتشاف	upptäckt	اِكتِشَاف	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
artur	ارثر	artur	ارثر	PROPN;NOM	
gäst	ضيف	gäsa	ضِيف	N;NOM;INDF;MASC+FEM;SG	
gäst	الضيف	gäsa	ضِيف	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
mänsklig	انسان	mänsklig	إِنسَان	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;INDF;SG
mänsklig	بشري	mänsklig	بشري	ADJ;NOM;INDF;MASC+FEM;SG	
mänsklig	الانسان	mänsklig	إِنسَان	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
brabham	brabha	brabham	ثُؤَاثُثِيّ	PROPN;NOM	
moss	موس	moss	موس	N;NOM;INDF;MASC+FEM;SG	
made	صنعت	made	صَنَع	N;NOM;INDF;MASC+FEM;SG	V;PFV;FEM;SG;3;PASS
made	صنع	made	صَنَع	N;NOM;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
made	مصنوع	made	مَصنُوع	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
made	جعل	made	جَعَل	N;NOM;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
register	سجل	regist	سَجَّل	N;NOM;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
register	السجل	regist	سِجِلّ	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
register	التسجيل	regist	تَسجِيل	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
register	السجلات	regist	سِجِلّ	N;NOM;INDF;NEUT;SG	N;NOM;DEF;PL
register	سجلات	regist	سِجِلّ	N;NOM;INDF;NEUT;SG	N;NOM;INDF;PL
register	المحاضر	regist	مُحَاضِر	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
register	سجلات	regist	سِجِلّ	N;NOM;INDF;NEUT;SG	N;NOM;INDF;PL
register	السجل	regist	سِجِلّ	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
kärnan	نواة	kärna	نَوَاة	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
kärnan	اساسي	kärna	أَسَاسِيّ	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
systems	نظم	system	نَظَّم	N;NOM;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
systems	الانظمة	system	نِظَام	N;NOM;INDF;NEUT;SG	N;NOM;DEF;PL
systems	النظم	system	نِظَام	N;NOM;INDF;NEUT;SG	N;NOM;DEF;PL
systems	انظمة	system	نِظَام	N;NOM;INDF;NEUT;SG	N;NOM;INDF;PL
skapandet	خلق	skapande	خَلَق	N;NOM;DEF;NEUT;SG	V;PFV;MASC;SG;3;ACT
skapandet	انشاء	skapande	إِنشَاء	N;NOM;DEF;NEUT;SG	N;NOM;INDF;SG
mini	mini	mini	أَثَّث	N;NOM;INDF;MASC+FEM;SG	
mini	مصغرة	mini	مُصَغَّر	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
mini	ميني	mini	ميني	N;NOM;INDF;MASC+FEM;SG	
mini	مصغر	mini	مَصغَر	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
ökande	تزايد	öka	تَزَايُد	ADJ;NOM;PRS;V.PTCP	N;NOM;INDF;SG
ökande	ارتفاع	öka	اِرتِفَاع	ADJ;NOM;PRS;V.PTCP	N;NOM;INDF;SG
feng	فينغ	feng	فينغ	N;NOM;INDF;MASC+FEM;SG	
jupiter	المشتري	jupit	مُشتَرَى	N;NOM;INDF;MASC+FEM;PL	
jupiter	جوبيتر	jupit	جوبيتر	N;NOM;INDF;MASC+FEM;PL	
överlevande	الناجين	överlevande	الناجين	ADJ;NOM;PRS;V.PTCP	N;NOM;DEF;PL
överlevande	الناجون	överlevande	نَاجُون	ADJ;NOM;PRS;V.PTCP	N;NOM;DEF;PL
överlevande	ناج	överlevande	نَاج	ADJ;NOM;PRS;V.PTCP	N;NOM;INDF;SG
överlevande	الناجين	överlevande	الناجين	ADJ;NOM;PRS;V.PTCP	N;NOM;DEF;PL
överlevande	الناجون	överlevande	نَاجُون	ADJ;NOM;PRS;V.PTCP	N;NOM;DEF;PL
överlevande	ناجي	överlevande	ناجي	ADJ;NOM;PRS;V.PTCP	
erkänner	تسلم	erkänna	تَسَلُّم	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
synliga	مرئي	synlig	مرئي	ADJ;NOM;PL	N;NOM;INDF;SG
synliga	ظاهر	synlig	ظاهر	ADJ;NOM;PL	
synliga	مرئية	synlig	مَرئِيّ	ADJ;NOM;PL	ADJ;NOM;INDF;FEM;SG
selma	سلمى	selma	سلمى	PROPN;NOM	
selma	سيلما	selma	سِيلمَا	PROPN;NOM	
aus	a	aus	a	V;IMP;FIN;ACT	
nationen	امة	nation	أُمَّة	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
sålda	تباع	såld	أَبَاع	ADJ;NOM;PL;PST;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;PASS
