singh	singh	singh	singh	N;INDF;MASC;SG	PROPN
kunngjorde	anunciados	kunngjere	anunciado	V;IND;PST;FIN	ADJ;MASC;PL;V.PTCP
lærde	académicos	lære	académico	V;IND;PST;FIN	N;MASC;PL
lærde	estudiosos	lære	estudioso	V;IND;PST;FIN	N;MASC;PL
lærde	eruditos	lære	erudito	V;IND;PST;FIN	N;MASC;PL
seksuell	sexuales	seksuell	sexual	ADJ;INDF;NEUT;SG	ADJ;PL
innvilget	concedida	innvilg	concedido	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
innvilget	concedidos	innvilg	concedido	N;DEF;NEUT;SG	ADJ;MASC;PL;V.PTCP
innvilget	otorgado	innvilg	otorgar	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
innvilget	concedido	innvilg	concedido	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
spurte	preguntado	spørje	preguntado	V;IND;PST;FIN	ADJ;MASC;SG;V.PTCP
kunder	clientela	kunde	clientela	N;INDF;MASC;PL	N;FEM;SG
infrastruktur	infraestructuras	infrastruktur	infraestructura	N;INDF;MASC;SG	N;FEM;PL
aserbajdsjan	azerbaiyán	aserbajdsjan	azerbaiyán	N;INDF;NEUT;SG	ADJ;FEM;SG
kampanje	ascensos	kampanje	ascenso	N;INDF;MASC;SG	N;MASC;PL
kampanje	promociones	kampanje	promoción	N;INDF;MASC;SG	N;FEM;PL
kampanje	campañas	kampanje	campaña	N;INDF;MASC;SG	N;FEM;PL
stones	stones	stone	ston	N;INDF;MASC;SG	N;MASC;PL
stones	piedras	stone	piedra	N;INDF;MASC;SG	N;FEM;PL
ryddet	despejado	rydde	despejar	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
ryddet	aclarado	rydde	aclarar	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
ryddet	limpiado	rydde	limpiar	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
ryddet	limpió	rydde	limpiar	N;DEF;NEUT;SG	V;IND;SG;3;PST;FIN
porter	puertas	porter	puerta	N;INDF;MASC;SG	N;FEM;PL
porter	porter	porter	porter	N;INDF;MASC;SG	PROPN
utdrag	extractos	utdrag	extracto	N;INDF;NEUT;SG	N;MASC;PL
dokumentar	documentales	dokument	documental	N;INDF;MASC;SG	N;MASC;PL
dokumentar	documental	dokument	documental	N;INDF;MASC;SG	ADJ;SG
björn	björn	björn	bjír	PROPN	PROPN
divisjoner	divisiones	divisjon	división	N;INDF;MASC;SG	N;FEM;PL
karakterisert	caracterizó	karakterisere	caracterizar	ADJ;INDF;SG;V.PTCP	V;IND;SG;3;PST;FIN
karakterisert	caracterizados	karakterisere	caracterizado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
dommere	jueces	dommere	juez	V;NFIN	N;PL
dommere	magistrados	dommere	magistrado	V;NFIN	N;MASC;PL
samles	reunir	samles	reunir	N;INDF;MASC;SG	V;NFIN
bjørnson	bjørnson	bjørnson	bjørnson	N;INDF;MASC;SG	PROPN
anbefalte	recomienda	anbefalt	recomendar	V;IND;PST;FIN	V;IND;SG;3;PRS;FIN
anbefalte	recomendado	anbefalt	recomendado	V;IND;PST;FIN	ADJ;MASC;SG;V.PTCP
anbefalte	recomendada	anbefalt	recomendado	V;IND;PST;FIN	ADJ;FEM;SG;V.PTCP
anbefalte	recomendable	anbefalt	recomendable	V;IND;PST;FIN	ADJ;SG
anbefalte	recomendados	anbefalt	recomendado	V;IND;PST;FIN	ADJ;MASC;PL;V.PTCP
franco	franco	franco	franco	N	
utnyttet	explotado	utnytt	explotar	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
utnyttet	explotadas	utnytt	explotado	N;DEF;NEUT;SG	ADJ;FEM;PL;V.PTCP
utnyttet	explotada	utnytt	explotar	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
utnyttet	explotados	utnytt	explotado	N;DEF;NEUT;SG	ADJ;MASC;PL;V.PTCP
utnyttet	aprovechado	utnytt	aprovechar	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
foster	fetos	foster	feto	N;INDF;NEUT;SG	N;MASC;PL
legendariske	legendario	legendarisk	legendario	ADJ;PL	ADJ;MASC;SG
legendariske	legendaria	legendarisk	legendario	ADJ;PL	ADJ;FEM;SG
legendariske	legendarios	legendarisk	legendario	ADJ;PL	N;MASC;PL
jin	jin	jin	jin	NUM;PL	N;SG
hevet	levantado	hev	levantado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
hevet	recaudado	hev	recaudar	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
hevet	criado	hev	criado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
hevet	planteadas	hev	planteado	N;DEF;NEUT;SG	ADJ;FEM;PL;V.PTCP
hevet	aplazada	hev	aplazar	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
hevet	aplazado	hev	aplazado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
über	über	über	über	N;INDF;NEUT;SG	PROPN
digitalt	digitales	digital	digital	ADJ;INDF;NEUT;SG	ADJ;PL
avbrutt	cancelado	avbru	cancelado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
avbrutt	cancelados	avbru	cancelado	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
avbrutt	canceladas	avbru	cancelado	N;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
avbrutt	cancelada	avbru	cancelado	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
avbrutt	cancelado	avbru	cancelado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
avbrutt	cancelados	avbru	cancelado	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
avbrutt	canceladas	avbru	cancelado	N;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
avbrutt	cancelada	avbru	cancelado	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
avbrutt	interrumpida	avbru	interrumpido	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
avbrutt	interrumpido	avbru	interrumpir	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
avbrutt	interrumpió	avbru	interrumpir	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
avbrutt	abortado	avbru	abortado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
avbrutt	interrumpida	avbru	interrumpido	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
luigi	luigi	luigi	luigi	N;INDF;MASC;SG	PROPN
variasjoner	variaciones	variasjon	variación	N;INDF;MASC;SG	N;FEM;PL
variasjoner	variantes	variasjon	variante	N;INDF;MASC;SG	N;FEM;PL
flikvinger	nymphalidae	flikvinger	nymphalidae	N;INDF;FEM;PL	N;FEM;SG
ruth	ruth	ruth	ruth	N;INDF;FEM;SG	PROPN
rund	redonda	rund	redonda	ADJ;INDF;SG	N;FEM;SG
rund	redondos	rund	redondo	ADJ;INDF;SG	ADJ;MASC;PL
rund	ronda	rund	ronda	ADJ;INDF;SG	N;FEM;SG
rund	round	rund	round	ADJ;INDF;SG	N;MASC;SG
løftet	levantado	løft	levantado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
løftet	levantó	løft	levantar	N;DEF;NEUT;SG	V;IND;SG;3;PST;FIN
løftet	levantada	løft	levantado	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
inntekt	ingresos	inntekt	ingreso	N;INDF;FEM;SG	N;MASC;PL
inntekt	ingresos	inntekt	ingreso	N;INDF;FEM;SG	N;MASC;PL
inntekt	rentas	inntekt	renta	N;INDF;FEM;SG	N;FEM;PL
terrenget	terrenos	terreng	terreno	N;DEF;NEUT;SG	N;MASC;PL
atlantic	atlántico	atlantic	atlántico	N;INDF;MASC;SG	ADJ;MASC;SG
atlantic	atlántica	atlantic	atlántico	N;INDF;MASC;SG	ADJ;FEM;SG
gjeld	deudas	gjelde	deuda	V;IND;PRS;FIN	N;FEM;PL
gjeld	deudas	gjelde	deuda	V;IND;PRS;FIN	N;FEM;PL
gjeld	endeudamiento	gjelde	endeudamiento	V;IND;PRS;FIN	N;MASC;SG
gjeld	deuda	gjelde	deuda	V;IND;PRS;FIN	N;FEM;SG
hobbs	hobbs	hobbs	hobb	PROPN	N;SG
sittet	sentado	sittet	sentado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
sittet	sentadas	sittet	sentada	N;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
sittet	sentada	sittet	sentado	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
sittet	sentados	sittet	sentado	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
sittet	senté	sittet	sentar	N;INDF;MASC;SG	V;IND;SG;1;PST;FIN
opprinnelsen	orígenes	opprinnels	origen	N;DEF;MASC;SG	N;MASC;PL
tel	tel	telje	tel	N;INDF;MASC;SG	
departement	ministerios	departement	ministerio	N;INDF;NEUT;SG	N;MASC;PL
kjæreste	novios	kjæreste	novio	N;INDF;MASC;SG	N;MASC;PL
forekomster	ocurrencias	forekomster	ocurrencia	N;INDF;MASC;SG	N;FEM;PL
forhånd	avanzar	forhånd	avanzar	N;INDF;MASC;SG	V;NFIN
forhånd	adelantado	forhånd	adelantar	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
miste	perder	miste	perder	ADJ;INDF;SG;V.PTCP	V;NFIN
miste	pierden	miste	perder	ADJ;INDF;SG;V.PTCP	V;IND;PL;3;PRS;FIN
miste	pierda	miste	perder	ADJ;INDF;SG;V.PTCP	V;IMP;SG;3;FIN
miste	pierdo	miste	perder	ADJ;INDF;SG;V.PTCP	V;IND;SG;1;PRS;FIN
miste	pierde	miste	perder	ADJ;INDF;SG;V.PTCP	V;IND;SG;3;PRS;FIN
enorm	tremendos	enorm	tremendo	ADJ;INDF;SG	ADJ;MASC;PL
enorm	tremendas	enorm	tremendo	ADJ;INDF;SG	ADJ;FEM;PL
enorm	enormes	enorm	enorme	ADJ;INDF;SG	ADJ;PL
enorm	enormes	enorm	enorme	ADJ;INDF;SG	ADJ;PL
primære	primario	primær	primario	ADJ;PL	ADJ;MASC;SG
primære	primarias	primær	primaria	ADJ;PL	N;FEM;PL
primære	primaria	primær	primario	ADJ;PL	N;FEM;SG
torp	torp	torp	torp	N;INDF;MASC;SG	
varmt	hot	varm	hot	ADJ;INDF;NEUT;SG	N
varmt	calientes	varm	caliente	ADJ;INDF;NEUT;SG	ADJ;PL
varmt	calor	varm	calor	ADJ;INDF;NEUT;SG	N;MASC;SG
biter	mordiendo	bite	morder	N;INDF;MASC;SG	V;V.MSDR
biter	morder	bite	morder	N;INDF;MASC;SG	V;NFIN
biter	picaduras	bite	picadura	N;INDF;MASC;SG	N;FEM;PL
biter	muerde	bite	morder	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
biter	mordidas	bite	mordido	N;INDF;MASC;SG	N;FEM;PL
biter	mordiscos	bite	mordisco	N;INDF;MASC;SG	N;MASC;PL
biter	trozos	bite	trozo	N;INDF;MASC;SG	N;MASC;PL
biter	piezas	bite	pieza	N;INDF;MASC;SG	N;FEM;PL
biter	pedazos	bite	pedazos	N;INDF;MASC;SG	N;MASC;PL
seine	sena	sein	sena	ADJ;PL	N;MASC;SG
seine	seine	sein	seine	ADJ;PL	PROPN
uenig	discrepar	uenig	discrepar	ADJ;INDF;NEUT;SG	V;NFIN
uenig	desacuerdo	uenig	desacuerdo	ADJ;INDF;NEUT;SG	N;MASC;SG
avla	tomaron	avle	tomar	ADJ;INDF;NEUT;SG;V.PTCP	V;IND;PL;3;PST;FIN
avla	tomó	avle	tomar	ADJ;INDF;NEUT;SG;V.PTCP	V;IND;SG;3;PST;FIN
hinder	obstáculos	hinder	obstáculo	N;INDF;NEUT;SG	N;MASC;PL
protester	protestas	protester	protesta	N;INDF;NEUT;SG	N;FEM;PL
båret	llevado	bår	llevado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
gress	pasto	gress	pasto	N;INDF;MASC;SG	
haag	haya	haag	haber	N;INDF;MASC;SG	V;SBJV;SG;3;PRS;FIN
dedikert	dedicados	dedikere	dedicado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
renessansen	renacentista	renessanse	renacentista	N;DEF;MASC;SG	ADJ;SG
ulv	lobos	ulv	lobo	N;INDF;MASC;SG	N;MASC;PL
utmerkelse	premios	utmerkelse	premio	N;INDF;MASC;SG	N;MASC;PL
utmerkelse	galardones	utmerkelse	galardón	N;INDF;MASC;SG	N;MASC;PL
utmerkelse	premios	utmerkelse	premio	N;INDF;MASC;SG	N;MASC;PL
medarbeidere	asalariados	medarbeidere	asalariado	V;NFIN	ADJ;MASC;PL;V.PTCP
medarbeidere	empleadas	medarbeidere	empleada	V;NFIN	ADJ;FEM;PL;V.PTCP
medarbeidere	empleados	medarbeidere	empleado	V;NFIN	N;MASC;PL
medarbeidere	asociados	medarbeidere	asociado	V;NFIN	ADJ;MASC;PL;V.PTCP
medarbeidere	socios	medarbeidere	socio	V;NFIN	N;MASC;PL
medarbeidere	asociadas	medarbeidere	asociado	V;NFIN	ADJ;FEM;PL;V.PTCP
farget	coloreado	farg	coloreado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
ted	ted	ted	ted	N;INDF;MASC;SG	PROPN
dick	dick	dick	dick	N;INDF;MASC;SG	PROPN
folkeavstemning	referendos	folkeavstemning	referendo	N;INDF;FEM;SG	N;MASC;PL
lidelse	sufrimientos	lidelse	sufrimiento	N;INDF;MASC;SG	N;MASC;PL
lidelse	sufriendo	lidelse	sufrir	N;INDF;MASC;SG	V;V.MSDR
mislyktes	fracasado	mislyktes	fracasar	N;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
mislyktes	fallado	mislyktes	fallar	N;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
mislyktes	falló	mislyktes	fallar	N;INDF;NEUT;SG	V;IND;SG;3;PST;FIN
kontrast	contrastes	kontrast	contraste	N;INDF;MASC;SG	N;MASC;PL
separat	separadamente	separat	separadamente	ADJ;INDF;NEUT;SG	ADV
separat	separados	separat	separado	ADJ;INDF;NEUT;SG	ADJ;MASC;PL;V.PTCP
separat	separar	separat	separar	ADJ;INDF;NEUT;SG	V;NFIN
økonom	economistas	økonom	economista	N;INDF;MASC;SG	N;PL
hunter	cazadores	hunter	cazador	N;INDF;MASC;SG	N;MASC;PL
fan	abanico	fan	abanico	ADJ;INDF;SG	N;MASC;SG
fan	ventilador	fan	ventilador	ADJ;INDF;SG	N;MASC;SG
fan	admirador	fan	admirador	ADJ;INDF;SG	N;MASC;SG
fan	fan	fan	fan	ADJ;INDF;SG	N;SG
befolket	poblada	befolkt	poblado	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
befolket	poblado	befolkt	poblado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
befolket	pobladas	befolkt	poblado	N;DEF;NEUT;SG	ADJ;FEM;PL;V.PTCP
eter	coma	eter	coma	N;INDF;NEUT;SG	
eter	come	eter	come	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN
eter	comer	eter	comer	N;INDF;NEUT;SG	V;NFIN
rase	razas	rase	raza	N;INDF;MASC;SG	N;FEM;PL
rase	reproducirse	rase	reproducir	N;INDF;MASC;SG	V;SBJV;SG;3;PRS;FIN
høydepunkt	resaltado	høydepunkt	resaltar	N;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
høydepunkt	destacamos	høydepunkt	destacar	N;INDF;NEUT;SG	V;IND;PL;1;PRS;FIN
høydepunkt	destacar	høydepunkt	destacar	N;INDF;NEUT;SG	V;NFIN
høydepunkt	resaltar	høydepunkt	resaltar	N;INDF;NEUT;SG	V;NFIN
høydepunkt	destacado	høydepunkt	destacado	N;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
bent	doblada	bente	doblado	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
bent	bent	bente	bent	N;INDF;MASC;SG	PROPN
bent	doblado	bente	doblar	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
protest	objeciones	protest	objeción	N;INDF;MASC;SG	N;FEM;PL
protest	protestas	protest	protesta	N;INDF;MASC;SG	N;FEM;PL
protest	protestar	protest	protestar	N;INDF;MASC;SG	V;NFIN
court	juzgado	cour	juzgado	N	ADJ;MASC;SG;V.PTCP
court	corte	cour	corte	N	
endt	terminó	ende	terminar	ADJ;INDF;NEUT;SG;V.PTCP	V;IND;SG;3;PST;FIN
troen	creencias	tro	creencia	N;DEF;MASC;SG	N;FEM;PL
konsentrert	concentradas	konsentrere	concentrado	ADJ;INDF;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
konsentrert	concentrados	konsentrere	concentrado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
konsentrert	concentrados	konsentrere	concentrado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
verre	peor	verre	peor	ADJ;CMPR	ADV
male	pintar	male	pintar	N;INDF;NEUT;SG	V;NFIN
kanadisk	canadiense	kanadisk	canadiense	ADJ;INDF;NEUT;SG	N;SG
kanadisk	canadienses	kanadisk	canadiense	ADJ;INDF;NEUT;SG	N;PL
overlevd	sobrevivieron	overleve	sobrevevir	ADJ;INDF;NEUT;SG;V.PTCP	V;IND;PL;3;PST;FIN
overlevd	sobrevivió	overleve	sobrevivir	ADJ;INDF;NEUT;SG;V.PTCP	V;IND;SG;3;PST;FIN
innflytelsesrike	influyentes	innflytelsesrik	influyente	ADJ;PL	N;PL
innflytelsesrike	influyente	innflytelsesrik	influyente	ADJ;PL	ADJ;SG
meksikansk	mexicanos	meksikansk	mexicano	ADJ;INDF;SG	N;MASC;PL
meksikansk	mexicanas	meksikansk	mexicano	ADJ;INDF;SG	ADJ;FEM;PL
meksikansk	mexicano	meksikansk	mexicano	ADJ;INDF;SG	N;MASC;SG
effektive	eficiente	effektiv	eficiente	ADJ;PL	ADJ;SG
effektive	eficaz	effektiv	eficaz	ADJ;PL	ADJ;SG
effektive	eficaz	effektiv	eficaz	ADJ;PL	ADJ;SG
effektive	efectivos	effektiv	efectivo	ADJ;PL	N;MASC;PL
effektive	efectiva	effektiv	efectivo	ADJ;PL	ADJ;FEM;SG
søsken	hermanos	søsken	hermano	N;INDF;MASC;SG	N;MASC;PL
manuskript	manuscritos	manuskript	manuscrito	N;INDF;NEUT;SG	N;MASC;PL
run	corran	run	correr	N;INDF;SG	V;IMP;PL;3;FIN
run	correr	run	correr	N;INDF;SG	V;NFIN
run	corre	run	correr	N;INDF;SG	V;IND;SG;3;PRS;FIN
run	ejecutar	run	ejecutar	N;INDF;SG	V;NFIN
femti	fifty	femti	fifty	NUM;PL	N
femti	cincuenta	femti	cincuenta	NUM;PL	N;FEM;PL
oppførsel	comportamientos	oppførsel	comportamiento	N;INDF;MASC;SG	N;MASC;PL
beklager	perdon	beklager	perder	N;INDF;FEM;PL	INTJ
beklager	disculpen	beklager	disculpar	N;INDF;FEM;PL	V;IMP;PL;3;FIN
beklager	perdona	beklager	perdonar	N;INDF;FEM;PL	INTJ
beklager	perdón	beklager	perdón	N;INDF;FEM;PL	N;MASC;SG
beklager	disculpa	beklager	disculpa	N;INDF;FEM;PL	N;FEM;SG
unik	únicos	unik	único	ADJ;INDF;SG	ADJ;MASC;PL
unik	unica	unik	unico	ADJ;INDF;SG	N;FEM;SG
unik	únicas	unik	único	ADJ;INDF;SG	ADJ;FEM;PL
innvandrere	inmigrantes	innvandrere	inmigrante	N;INDF;FEM;SG	N;PL
vakker	hermosos	vakker	hermoso	ADJ;INDF;SG	ADJ;MASC;PL
vakker	bellos	vakker	bello	ADJ;INDF;SG	ADJ;MASC;PL
stiger	escaleras	stige	escalera	N;INDF;MASC;SG	N;FEM;PL
stiger	subiendo	stige	subir	N;INDF;MASC;SG	V;V.MSDR
kommunistisk	comunistas	kommunistisk	comunista	ADJ;INDF;NEUT;SG	N;PL
relasjoner	relaciones	relasjon	relación	N;INDF;MASC;SG	N;FEM;PL
relasjoner	relaciones	relasjon	relación	N;INDF;MASC;SG	N;FEM;PL
bus	autobuses	bus	autobús	N;INDF;MASC;SG	N;MASC;PL
besetning	tripulantes	besetning	tripulante	N;INDF;FEM;SG	N;PL
julian	julián	julian	julián	N;INDF;MASC;SG	PROPN
julian	julian	julian	juliar	N;INDF;MASC;SG	PROPN
rør	toques	rør	toque	N;INDF;NEUT;SG	N;MASC;PL
rør	tuberías	rør	tubería	N;INDF;NEUT;SG	N;FEM;PL
rør	tubos	rør	tubo	N;INDF;NEUT;SG	N;MASC;PL
rør	caños	rør	caño	N;INDF;NEUT;SG	N;MASC;PL
rør	pipas	rør	pipa	N;INDF;NEUT;SG	N;FEM;PL
kritiserte	criticada	kritisere	criticado	ADJ;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
kritiserte	criticado	kritisere	criticar	ADJ;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
edwin	edwin	edwin	edwin	N;INDF;MASC;SG	PROPN
vill	wild	vill	wild	ADJ;INDF;SG	N
vill	silvestres	vill	silvestre	ADJ;INDF;SG	N;FEM;PL
vill	salvajes	vill	salvaje	ADJ;INDF;SG	N;PL
jagerfly	combatientes	jagerfly	combatiente	N;INDF;NEUT;SG	N;PL
jagerfly	luchadores	jagerfly	luchador	N;INDF;NEUT;SG	N;MASC;PL
jagerfly	boxeadores	jagerfly	boxeador	N;INDF;NEUT;SG	N;MASC;PL
bebodd	habitadas	beby	habitado	N;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
bebodd	habitada	beby	habitado	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
bebodd	habitado	beby	habitar	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
mestere	campeones	mestere	campeón	N;INDF;MASC;SG	N;MASC;PL
intellektuelle	intelectuales	intellektuell	intelectual	ADJ;PL	N;PL
intellektuelle	intelectuales	intellektuell	intelectual	ADJ;PL	N;PL
intellektuelle	intelectual	intellektuell	intelectual	ADJ;PL	ADJ;SG
adrian	adrian	adrian	adrir	N;INDF;MASC;SG	PROPN
adrian	adrián	adrian	adrián	N;INDF;MASC;SG	PROPN
rydde	limpio	rydde	limpio	V;NFIN	ADJ;MASC;SG
rydde	limpios	rydde	limpio	V;NFIN	ADJ;MASC;PL
rydde	limpieza	rydde	limpieza	V;NFIN	N;FEM;SG
rydde	limpia	rydde	limpio	V;NFIN	ADJ;FEM;SG
prøvd	tentativa	prøve	tentativa	ADJ;INDF;NEUT;SG;V.PTCP	N;FEM;SG
prøvd	intento	prøve	intentar	ADJ;INDF;NEUT;SG;V.PTCP	V;IND;SG;1;PRS;FIN
prøvd	tentativas	prøve	tentativa	ADJ;INDF;NEUT;SG;V.PTCP	N;FEM;PL
prøvd	intenté	prøve	intentar	ADJ;INDF;NEUT;SG;V.PTCP	V;IND;SG;1;PST;FIN
fisher	fisher	fisher	fisher	PROPN	PROPN
fisher	pescador	fisher	pescador	PROPN	N;MASC;SG
primær	primario	primær	primario	N;INDF;MASC;SG	ADJ;MASC;SG
primær	primarias	primær	primaria	N;INDF;MASC;SG	N;FEM;PL
primær	primarios	primær	primario	N;INDF;MASC;SG	ADJ;MASC;PL
strategiske	estratégico	strategisk	estratégico	ADJ;PL	ADJ;MASC;SG
strategiske	estratégica	strategisk	estratégico	ADJ;PL	ADJ;FEM;SG
rico	rico	rico	rico	N;INDF;MASC;SG	ADJ;MASC;SG
skjell	obuses	skjell	obúse	N;INDF;NEUT;SG	N;MASC;PL
skjell	proyectiles	skjell	proyectil	N;INDF;NEUT;SG	N;MASC;PL
skjell	conchas	skjell	concha	N;INDF;NEUT;SG	N;FEM;PL
skjell	cáscaras	skjell	cáscara	N;INDF;NEUT;SG	N;FEM;PL
oppmerksom	atento	oppmerksom	atento	N;INDF;MASC;SG	ADJ;MASC;SG
oppmerksom	atentos	oppmerksom	atento	N;INDF;MASC;SG	ADJ;MASC;PL
oppmerksom	atenta	oppmerksom	atento	N;INDF;MASC;SG	ADJ;FEM;SG
say	say	say	saber	N	PROPN
say	dí	say	dí	N	V;IND;SG;1;PST;FIN
