також	וגם	також	וגם	ADV	
площа	סקוור	площа	סקוור	N;INAN;NOM;FEM;SG	PROPN
площа	כיכר	площа	כיכר	N;INAN;NOM;FEM;SG	PROPN
площа	ריבוע	площа	ריבוע	N;INAN;NOM;FEM;SG	PROPN
площа	מרובע	площа	מרובע	N;INAN;NOM;FEM;SG	PROPN
площа	האזור	площа	האזור	N;INAN;NOM;FEM;SG	PROPN
країни	מדינה	країна	מדינה	N;INAN;NOM;FEM;PL	N;FEM;SG
країни	ארץ	країна	ארץ	N;INAN;NOM;FEM;PL	N;FEM;SG
країни	ארצי	країна	ארצי	N;INAN;NOM;FEM;PL	PROPN
назва	השם	назва	השם	N;INAN;NOM;FEM;SG	
назва	שם	назва	שם	N;INAN;NOM;FEM;SG	ADV
розташований	אותרה	розташований	אותר	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	PROPN
розташований	ממוקמת	розташований	מוקם	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP;PASS
розташований	ממוקם	розташований	מוקם	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP;PASS
голова	ראשה	голова	ראשה	N;ANIM;NOM;FEM;SG	
голова	הראש	голова	הראש	N;ANIM;NOM;FEM;SG	
голова	ראשי	голова	ראש	N;ANIM;NOM;FEM;SG	N;PSSD;MASC;PL
народився	נולדו	народитися	נולד	V;PFV;MASC;IND;SG;PST;FIN	V;PL;3;PST;MID
щодо	אודות	щодо	אודות	ADP;GEN	
сторінка	דף	сторінка	דף	N;INAN;NOM;FEM;SG	
сторінка	עמוד	сторінка	עמוד	N;INAN;NOM;FEM;SG	
сторінка	הדף	сторінка	הדף	N;INAN;NOM;FEM;SG	
той	זה	той	זה	DET;NOM;MASC;SG	PRO;MASC;SG;3
росії	רוסיה	росія	רוסיה	PROPN;INAN;GEN;FEM;SG	PROPN
все	הכול	все	הכול	PRO;INAN;NOM;NEUT;SG	
все	הכל	все	הכיל	PRO;INAN;NOM;NEUT;SG	N
все	כולם	все	None	PRO;INAN;NOM;NEUT;SG	N;MASC;PL
все	הכל	все	הכיל	PRO;INAN;NOM;NEUT;SG	N
все	כל	все	כול	PRO;INAN;NOM;NEUT;SG	DET;PSSD
київ	קייב	Київ	קייב	PROPN;INAN;NOM;MASC;SG	PROPN
київ	קייב	Київ	קייב	PROPN;INAN;NOM;MASC;SG	PROPN
зокрема	כולל	зокрема	כלל	ADV	V;MASC;SG;V.PTCP;ACT
роботи	עבודה	робота	עבודה	N;INAN;NOM;FEM;PL	N;FEM;SG
веб	אינטרנט	вебти	אינטרנט		
статтю	המאמר	стаття	המאמר	N;INAN;ACC;FEM;SG	PROPN
праворуч	ימני	праворуч	ימני	ADV	ADJ;MASC;SG
праворуч	ימין	праворуч	ימין	ADV	N;MASC;SG
праворуч	צודק	праворуч	צדק	ADV	V;MASC;SG;V.PTCP;ACT
праворуч	נכון	праворуч	נכון	ADV	ADJ;MASC;SG
потім	ואז	потім	ואז	ADV	
землі	אדמה	земля	אדמה	N;INAN;NOM;FEM;PL	N;FEM;SG
землі	ארץ	земля	ארץ	N;INAN;NOM;FEM;PL	N;FEM;SG
землі	הארץ	земля	הארץ	N;INAN;NOM;FEM;PL	
армії	צבאות	армія	צבא	N;INAN;GEN;FEM;SG	N;MASC;PL
саме	בדיוק	саме	בדיוק	PART	ADV
північний	צפונה	північний	צפון	ADJ;NOM;MASC;SG	ADV
північний	הצפון	північний	הצפון	ADJ;NOM;MASC;SG	PROPN
північний	צפון	північний	צפון	ADJ;NOM;MASC;SG	N;MASC;SG
північний	צפון	північний	צפון	ADJ;NOM;MASC;SG	N;MASC;SG
протягом	ברחבי	протягом	ברחבי	ADP;GEN	
день	day	день	day	N;INAN;NOM;MASC;SG	
південний	דרומי	південний	דרומי	ADJ;NOM;MASC;SG	PROPN
південний	דרומית	південний	דרומי	ADJ;NOM;MASC;SG	ADV
південний	דרום	південний	דרום	ADJ;NOM;MASC;SG	N;MASC;SG
південний	הדרומי	південний	הדרום	ADJ;NOM;MASC;SG	PROPN
південний	דרום	південний	דרום	ADJ;NOM;MASC;SG	N;MASC;SG
південний	דרומה	південний	דרומה	ADJ;NOM;MASC;SG	
південний	הדרום	південний	הדרום	ADJ;NOM;MASC;SG	
смерті	המוות	смерть	המווה	N;INAN;NOM;FEM;PL	
смерті	מות	смерть	מוות	N;INAN;NOM;FEM;PL	
смерті	מוות	смерть	מוות	N;INAN;NOM;FEM;PL	N;MASC;SG
перша	ראשון	перший	ראשון	ADJ;NOM;FEM;SG	PROPN
перша	קודם	перший	קודם	ADJ;NOM;FEM;SG	ADV
перша	ראשית	перший	ראשית	ADJ;NOM;FEM;SG	ADV
перша	תחילה	перший	תחילה	ADJ;NOM;FEM;SG	ADV
такі	עוקבים	такий	עקב	DET;NOM;PL	V;MASC;PL;V.PTCP;ACT
такі	עוקבת	такий	עקב	DET;NOM;PL	V;FEM;SG;V.PTCP;ACT
такі	עוקב	такий	עקב	DET;NOM;PL	V;MASC;SG;V.PTCP;ACT
такі	כזאת	такий	כזאת	DET;NOM;PL	
такі	כזה	такий	כזה	DET;NOM;PL	
такі	כזו	такий	כזו	DET;NOM;PL	
такі	כאלה	такий	כאלה	DET;NOM;PL	PROPN
навіть	אפילו	навіть	אפילו	PART	CONJ
розташування	מיקומים	розташування	מיקומים	N;INAN;NOM;NEUT;SG	N;MASC;PL
три	three	три	three	NUM;NOM	
отримав	צובר	отримати	צבר	V;PFV;MASC;IND;SG;PST;FIN	N;MASC;SG
входить	נכנס	входити	נכנס	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;MID
входить	כולל	входити	כלל	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
входить	כוללת	входити	כלל	V;IPFV;IND;SG;3;PRS;FIN	V;FEM;SG;V.PTCP;ACT
себе	לעצמי	себе	לעצמי	PRO;ACC;REFL	
себе	בעצמי	себе	בעצמי	PRO;ACC;REFL	ADV
себе	בעצמו	себе	בעצם	PRO;ACC;REFL	ADV
себе	בעצמך	себе	בעצמך	PRO;ACC;REFL	ADV
шаблонів	סטנסיל	шаблон	סטנסיל	N;INAN;GEN;MASC;PL	PROPN
різних	שונה	різний	שונה	ADJ;ACC;PL	
фільми	קולנוע	фільм	קולנוע	N;INAN;NOM;MASC;PL	N;MASC;SG
сільська	כפרי	сільський	כפר	ADJ;NOM;FEM;SG	PROPN
сільська	כפרית	сільський	כפרי	ADJ;NOM;FEM;SG	ADV
сільська	הכפרית	сільський	הכפרית	ADJ;NOM;FEM;SG	ADV
церква	כנסיה	церква	כנסיה	N;INAN;NOM;FEM;SG	PROPN
створення	יוצר	створення	יצר	N;INAN;NOM;NEUT;SG	V;MASC;SG;V.PTCP;ACT
створення	יוצרת	створення	יצר	N;INAN;NOM;NEUT;SG	V;FEM;SG;V.PTCP;ACT
створення	דור	створення	דור	N;INAN;NOM;NEUT;SG	
створення	צרי	створення	צרי	N;INAN;NOM;NEUT;SG	
створення	צור	створення	צור	N;INAN;NOM;NEUT;SG	PROPN
створення	ליצור	створення	יצר	N;INAN;NOM;NEUT;SG	V;NFIN;ACT
створення	היצירה	створення	היצירה	N;INAN;NOM;NEUT;SG	ADV
створення	והלחין	створення	והלחין	N;INAN;NOM;NEUT;SG	PROPN
значення	הערכים	значення	הערך	N;INAN;NOM;NEUT;SG	N;MASC;PL
значення	ערכים	значення	ערך	N;INAN;NOM;NEUT;SG	N;MASC;PL
значення	הערך	значення	הערך	N;INAN;NOM;NEUT;SG	
вул	str	вул.	str		NUM
системи	המערכת	система	המערך	N;INAN;NOM;FEM;PL	
системи	מערכת	система	מערכת	N;INAN;NOM;FEM;PL	N;FEM;SG
йому	בו	він	ב	PRO;DAT;MASC;SG;3	ADP
йому	אותו	він	None	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
крім	מלבד	крім	מלבד	ADP;GEN	
тоді	ואז	тоді	ואז	ADV	
ніж	סכין	ніж	סכין	CONJ	N;SG
адреса	הכתובת	адреса	הכתובה	N;INAN;NOM;FEM;SG	PROPN
член	זין	член	זין	N;ANIM;NOM;MASC;SG	
франція	צרפת	франція	צרפת	PROPN;INAN;NOM;FEM;SG	PROPN
буде	ויל	бути	ויל	V;IPFV;IND;SG;3;FUT;FIN	PROPN
буде	וויל	бути	וויל	V;IPFV;IND;SG;3;FUT;FIN	PROPN
динаміка	דיינמיקס	динаміка	דיינמיקס	N;INAN;NOM;FEM;SG	PROPN
національний	לאומי	національний	לאומי	ADJ;NOM;MASC;SG	PROPN
національний	לאומית	національний	לאומי	ADJ;NOM;MASC;SG	ADV
всіх	כולם	всі	None	PRO;ANIM;ACC	N;MASC;PL
всіх	הכל	всі	הכיל	PRO;ANIM;ACC	N
всіх	כל	всі	כול	PRO;ANIM;ACC	DET;PSSD
всіх	כולם	всі	None	PRO;ANIM;ACC	N;MASC;PL
нього	בו	він	ב	PRO;ACC;MASC;SG;3	ADP
річки	ריברס	річка	ריברס	N;INAN;NOM;FEM;PL	PROPN
дата	תאריך	дата	תאריך	N;INAN;NOM;FEM;SG	PROPN
дата	התאריך	дата	התאריך	N;INAN;NOM;FEM;SG	ADV
дата	דייט	дата	דייט	N;INAN;NOM;FEM;SG	PROPN
хоча	למרות	хоча	למרות	CONJ	ADP
хоча	למרות	хоча	למרות	CONJ	ADP
мови	שפה	мова	שפה	N;INAN;NOM;FEM;PL	N;FEM;SG
українська	אוקראיני	український	אוקראיני	ADJ;NOM;FEM;SG	PROPN
знаходиться	אותרה	знаходитися	אותר	V;IPFV;IND;SG;3;PRS;FIN	PROPN
знаходиться	ממוקמת	знаходитися	מוקם	V;IPFV;IND;SG;3;PRS;FIN	V;FEM;SG;V.PTCP;PASS
знаходиться	ממוקם	знаходитися	מוקם	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;PASS
вулиця	סטריט	вулиця	סטריט	N;INAN;NOM;FEM;SG	PROPN
кілька	מעטות	кілька	מעט	DET;NOM	
кілька	מעטים	кілька	מעטה	DET;NOM	N;MASC;PL
картка	קארד	картка	קארד	N;INAN;NOM;FEM;SG	PROPN
картка	קלף	картка	קלף	N;INAN;NOM;FEM;SG	PROPN
олександр	אלכסנדר	олександр	אלכסנדר	PROPN;ANIM;NOM;MASC;SG	PROPN
офіційний	רישמי	офіційний	רישמי	ADJ;NOM;MASC;SG	PROPN
віком	בגיל	вік	בגיל	N;INAN;INS;MASC;SG	
віком	הזדקן	вік	הזדקן	N;INAN;INS;MASC;SG	V;MASC;SG;3;PST
права	ימני	право	ימני	N;INAN;NOM;NEUT;PL	ADJ;MASC;SG
права	ימין	право	ימין	N;INAN;NOM;NEUT;PL	N;MASC;SG
права	צודק	право	צדק	N;INAN;NOM;NEUT;PL	V;MASC;SG;V.PTCP;ACT
права	נכון	право	נכון	N;INAN;NOM;NEUT;PL	ADJ;MASC;SG
стала	הקבוע	стати	הקבוע	V;PFV;FEM;IND;SG;PST;FIN	PROPN
стала	קבועה	стати	קבוע	V;PFV;FEM;IND;SG;PST;FIN	ADJ;FEM;SG
стала	קבוע	стати	קבוע	V;PFV;FEM;IND;SG;PST;FIN	ADJ;MASC;SG
голови	השתלה	голова	השתלה	N;INAN;NOM;FEM;PL	N;FEM;SG
голови	השתלת	голова	השתלה	N;INAN;NOM;FEM;PL	N;PSSD;FEM;SG
південь	דרומה	південь	דרומה	N;INAN;NOM;MASC;SG	
південь	הדרום	південь	הדרום	N;INAN;NOM;MASC;SG	
вулиці	רחובות	вулиця	רחובות	N;INAN;NOM;FEM;PL	PROPN
сім	seven	сей	seven		
сім	שבעה	сей	שבעה		NUM;MASC;SG
сім	שבע	сей	שבע		NUM;FEM;SG
яке	אשר	який	אשר	DET;NOM;NEUT;SG	CONJ
яке	איזה	який	איזה	DET;NOM;NEUT;SG	
автор	יוצר	автор	יצר	N;ANIM;NOM;MASC;SG	V;MASC;SG;V.PTCP;ACT
автор	יוצרת	автор	יצר	N;ANIM;NOM;MASC;SG	V;FEM;SG;V.PTCP;ACT
автор	היוצר	автор	היוצר	N;ANIM;NOM;MASC;SG	PROPN
автор	מחבר	автор	מחבר	N;ANIM;NOM;MASC;SG	
автор	שחיבר	автор	שחיבר	N;ANIM;NOM;MASC;SG	PROPN
володимир	ולדימיר	володимир	ולדימיר	ADJ;NOM;MASC;SG	PROPN
академії	אקדמיה	академія	אקדמיה	N;INAN;NOM;FEM;PL	PROPN
карта	מפת	карта	מפה	N;INAN;NOM;FEM;SG	
карта	המפה	карта	המפה	N;INAN;NOM;FEM;SG	
команди	מצווה	команда	ציווה	N;INAN;NOM;FEM;PL	V;FEM;SG;V.PTCP;ACT
іван	איוואן	іван	איוואן	PROPN;ANIM;NOM;MASC;SG	PROPN
іван	איוון	іван	איוון	PROPN;ANIM;NOM;MASC;SG	PROPN
використання	משתמשת	використання	השתמש	N;INAN;NOM;NEUT;SG	V;FEM;SG;V.PTCP
використання	משתמש	використання	השתמש	N;INAN;NOM;NEUT;SG	V;MASC;SG;V.PTCP
використання	להשתמש	використання	השתמש	N;INAN;NOM;NEUT;SG	V;NFIN
використання	השתמש	використання	השתמש	N;INAN;NOM;NEUT;SG	V;MASC;SG;3;PST
використання	משתמשת	використання	השתמש	N;INAN;NOM;NEUT;SG	V;FEM;SG;V.PTCP
використання	שימושים	використання	שימושים	N;INAN;NOM;NEUT;SG	N;MASC;PL
головний	המפקדת	головний	המפקד	ADJ;NOM;MASC;SG	N;FEM;SG
головний	ראשי	головний	ראש	ADJ;NOM;MASC;SG	N;PSSD;MASC;PL
зоря	זאריה	зоря	זאריה	N;INAN;NOM;FEM;SG	PROPN
зоря	זוריה	зоря	זוריה	N;INAN;NOM;FEM;SG	PROPN
зоря	סטאר	зоря	סטאר	N;INAN;NOM;FEM;SG	PROPN
деякі	חלקם	деякий	חלקם	DET;NOM;PL	
музей	המוזיאון	музей	המוזיאון	N;INAN;NOM;MASC;SG	PROPN
діяльність	פעילויות	діяльність	פעילות	N;INAN;NOM;FEM;SG	N;FEM;PL
джерела	מקור	джерело	מקור	N;INAN;NOM;NEUT;PL	N;MASC;SG
джерела	המקור	джерело	המקור	N;INAN;NOM;NEUT;PL	
кам	מחנות	кам	מחנה		N;MASC;PL
організації	ארגוני	організація	ארגון	N;INAN;GEN;FEM;SG	N;MASC;PL
організації	ארגונים	організація	ארגון	N;INAN;GEN;FEM;SG	N;MASC;PL
організації	ארגן	організація	ארגן	N;INAN;GEN;FEM;SG	PROPN
організації	מתארגנים	організація	התארגן	N;INAN;GEN;FEM;SG	V;MASC;PL;V.PTCP
організації	מארגנים	організація	ארגן	N;INAN;GEN;FEM;SG	V;MASC;PL;V.PTCP;ACT
своїх	שלהם	свій	של	DET;ANIM;ACC;PL;REFL	
померли	מיתות	померти	מיתות	V;PFV;IND;PL;PST;FIN	N;FEM;PL
діяльності	פעילויות	діяльність	פעילות	N;INAN;GEN;FEM;SG	N;FEM;PL
клуб	קלאב	клуб	קלאב	N;INAN;NOM;MASC;SG	PROPN
клуб	המועדון	клуб	המועדון	N;INAN;NOM;MASC;SG	PROPN
ігор	משחקים	гра	משחק	PROPN;ANIM;NOM;FEM;SG	N;MASC;PL
ігор	איגור	гра	איגור	PROPN;ANIM;NOM;FEM;SG	PROPN
партії	מסיבה	партія	מסיבה	N;INAN;GEN;FEM;SG	
партії	המפלגה	партія	המפלג	N;INAN;GEN;FEM;SG	PROPN
перелік	הרשימה	перелік	הרשים	N;INAN;NOM;MASC;SG	V;FEM;SG;3;PST;ACT
роль	התפקיד	роль	התפקיד	N;INAN;NOM;FEM;SG	V;PL;1;PST;ACT
усі	כולם	увесь	None	DET;NOM;PL	N;MASC;PL
усі	כולם	увесь	None	DET;NOM;PL	N;MASC;PL
усі	הכל	увесь	הכיל	DET;NOM;PL	N
