organe	elin	organ	elin	N;INDF;FEM;PL	N;NOM;SG
vanzare	myyntiin	vanzare	myynti	N;INDF;FEM;SG	N;IN+ALL;SG
vanzare	myynti	vanzare	myynti	N;INDF;FEM;SG	N;NOM;SG
cunostinta	tuttavuus	cunostinta	tuttavuus	N;DEF;FEM;SG	N;NOM;SG
cunostinta	tuttavuus	cunostinta	tuttavuus	N;DEF;FEM;SG	N;NOM;SG
varul	serkun	var	serkku	N;DEF;MASC;SG	N;GEN;SG
varul	serkku	var	serkku	N;DEF;MASC;SG	N;NOM;SG
mer	mer	mer	mer		INTJ
automata	automaattinen	automată	automaattinen	N;DEF;FEM;SG	ADJ;NOM;SG
automata	automaattisesti	automată	automaattisesti	N;DEF;FEM;SG	ADV
automata	automaattiset	automată	automaattinen	N;DEF;FEM;SG	ADJ;NOM;PL
automata	automaatti	automată	automaatti	N;DEF;FEM;SG	N;NOM;SG
refugiati	pakolaisten	refugia	pakolainen	ADJ;INDF;MASC;PL	N;GEN;PL
refugiati	pakolaisille	refugia	pakolainen	ADJ;INDF;MASC;PL	N;AT+ALL;PL
refugiati	pakolaisia	refugia	pakolainen	ADJ;INDF;MASC;PL	N;PRT;PL
refugiati	pakolaiset	refugia	pakolainen	ADJ;INDF;MASC;PL	N;NOM;PL
refugiati	pakolaisten	refugia	pakolainen	ADJ;INDF;MASC;PL	N;GEN;PL
refugiati	pakolaisille	refugia	pakolainen	ADJ;INDF;MASC;PL	N;AT+ALL;PL
refugiati	pakolaisia	refugia	pakolainen	ADJ;INDF;MASC;PL	N;PRT;PL
refugiati	pakolaiset	refugia	pakolainen	ADJ;INDF;MASC;PL	N;NOM;PL
fereastra	ikkuna	fereastră	ikkuna	N;DEF;FEM;SG	N;NOM;SG
fereastra	ikkunasta	fereastră	ikkuna	N;DEF;FEM;SG	N;IN+ABL;SG
fereastra	ikkunan	fereastră	ikkuna	N;DEF;FEM;SG	N;GEN;SG
fereastra	ikkuna	fereastră	ikkuna	N;DEF;FEM;SG	N;NOM;SG
fereastra	ikkunasta	fereastră	ikkuna	N;DEF;FEM;SG	N;IN+ABL;SG
fereastra	ikkunan	fereastră	ikkuna	N;DEF;FEM;SG	N;GEN;SG
propaganda	propagandaa	propagandă	propaganda	N;DEF;FEM;SG	N;PRT;SG
propaganda	propagandaa	propagandă	propaganda	N;DEF;FEM;SG	N;PRT;SG
dominat	hallinnut	domina	hallita	ADJ;INDF;MASC;SG	V;NOM;SG;V.PTCP;ACT
dominat	hallitsi	domina	hallita	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN;ACT
creasca	kasva	crească	kasva	N;DEF;FEM;SG	V;IMP;SG;2;FIN;ACT
creasca	kasvaa	crească	kasvaa	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN;ACT
creasca	kasvata	crească	kasvattaa	N;DEF;FEM;SG	V;IMP;SG;2;FIN;ACT
creasca	kasvattaa	crească	kasvattaa	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN;ACT
rebel	kapinallisten	rebel	kapinallinen	ADJ;INDF;MASC;SG	N;GEN;PL
lantul	ketjun	lant	ketju	N;DEF;MASC;SG	N;GEN;SG
lantul	ketjut	lant	ketju	N;DEF;MASC;SG	N;NOM;PL
lantul	ketjussa	lant	ketju	N;DEF;MASC;SG	N;IN+ESS;SG
lantul	ketju	lant	ketju	N;DEF;MASC;SG	N;NOM;SG
iugoslaviei	jugoslaviassa	iugoslavie	jugos#lavi	PROPN;DEF;FEM;SG	N;IN+ESS;SG
iugoslaviei	jugoslavian	iugoslavie	jugoslavi	PROPN;DEF;FEM;SG	N;GEN;SG
damian	damian	damian	damia	PROPN	N;NOM;SG
roll	rullaa	roll	rulla	N;INDF;MASC;SG	V;IMP;SG;2;FIN;ACT
preluarea	haetaan	preluare	hakea	N;DEF;FEM;SG	V;IND;PRS;FIN;PASS
preluarea	hakeminen	preluare	hakeminen	N;DEF;FEM;SG	N;NOM;SG
preluarea	hakee	preluare	hakea	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN;ACT
preluarea	haltuunotto	preluare	haltuun#otto	N;DEF;FEM;SG	N;NOM;SG
semneaza	allekirjoitus	semneaza	allekirjoida	V;IND;SG;3;IPFV;FIN	N;NOM;SG
semneaza	merkki	semneaza	merkki	V;IND;SG;3;IPFV;FIN	N;NOM;SG
semneaza	allekirjoita	semneaza	allekirja	V;IND;SG;3;IPFV;FIN	N;PRT;PL
semneaza	allekirjoitus	semneaza	allekirjoida	V;IND;SG;3;IPFV;FIN	N;NOM;SG
semneaza	merkki	semneaza	merkki	V;IND;SG;3;IPFV;FIN	N;NOM;SG
semneaza	allekirjoita	semneaza	allekirja	V;IND;SG;3;IPFV;FIN	N;PRT;PL
palermo	palermon	palermo	palermo	N;INDF;MASC;SG	PROPN;GEN;SG
hugh	hugh	hugh	hugh	PROPN	PROPN;NOM;SG
termica	lämpö	termica	lämpö	N;DEF;FEM;SG	N;NOM;SG
termica	terminen	termica	terminen	N;DEF;FEM;SG	ADJ;NOM;SG
laos	laosin	laos	laotaa	ADV	N;GEN;SG
argumentele	perustelut	argument	perustelu	N;DEF;FEM;PL	N;NOM;PL
argumentele	väitteet	argument	väite	N;DEF;FEM;PL	N;NOM;PL
legiunea	legioona	legiune	legio	N;DEF;FEM;SG	N;NOM;SG
localizata	sijaitsee	localizat	sijaita	ADJ;DEF;FEM;SG	V;IND;SG;3;PRS;FIN;ACT
triburile	heimot	trib	heimo	N;DEF;FEM;PL	N;NOM;PL
mon	mon	mon	mon		INTJ
lisa	lisa	lisa	lisa	N;DEF;FEM;SG	PROPN;NOM;SG
lisa	lisaa	lisa	lisata	N;DEF;FEM;SG	V;IMP;SG;2;FIN;ACT
lisa	liisa	lisa	liisa	N;DEF;FEM;SG	N;NOM;SG
platoul	plateau	platou	platea	N;DEF;MASC;SG	
pasarile	lintuja	pasarilă	lintu	N;DEF;FEM;PL	N;PRT;PL
pasarile	linnut	pasarilă	lintu	N;DEF;FEM;PL	N;NOM;PL
pasarile	lintujen	pasarilă	lintu	N;DEF;FEM;PL	N;GEN;PL
pasarile	lintuja	pasarilă	lintu	N;DEF;FEM;PL	N;PRT;PL
pasarile	linnut	pasarilă	lintu	N;DEF;FEM;PL	N;NOM;PL
pasarile	lintujen	pasarilă	lintu	N;DEF;FEM;PL	N;GEN;PL
arcul	keula	arc	keula	N;DEF;MASC;SG	N;NOM;SG
arcul	kumartaa	arc	kumartaa	N;DEF;MASC;SG	V;IND;SG;3;PRS;FIN;ACT
arcul	jousi	arc	jousi	N;DEF;MASC;SG	N;NOM;SG
doc	doc	doc	doc		N;NOM;SG
doc	tohtori	doc	tohtori		N;NOM;SG
incet	hitaasti	incet	hitaasti		ADV
call	soita	call	soittaa	N;INDF;MASC;SG	V;IMP;SG;2;FIN;ACT
cerul	taivas	cer	taivas	N;DEF;MASC;SG	N;NOM;SG
cerul	taivaan	cer	taivas	N;DEF;MASC;SG	N;GEN;SG
cerul	sky	cer	sky	N;DEF;MASC;SG	PROPN;NOM;SG
esentiale	välttämätöntä	esential	välttämätön	ADJ;INDF;FEM;PL	ADJ;PRT;SG
esentiale	oleellinen	esential	oleellinen	ADJ;INDF;FEM;PL	ADJ;NOM;SG
esentiale	olennainen	esential	olennainen	ADJ;INDF;FEM;PL	ADJ;NOM;SG
transferul	siirrä	transfer	siirtä	N;DEF;MASC;SG	V;IMP;SG;2;FIN;ACT
transferul	siirrettävä	transfer	siirtää	N;DEF;MASC;SG	V;NOM;SG;V.PTCP;PASS
transferul	siirto	transfer	siirto	N;DEF;MASC;SG	N;NOM;SG
transferul	siirrot	transfer	siirto	N;DEF;MASC;SG	N;NOM;PL
creatorul	luoja	creator	luoja	N;DEF;MASC;SG	N;NOM;SG
companiile	yritysten	companie	yritys	N;DEF;FEM;PL	N;GEN;PL
companiile	yrityksiä	companie	yritys	N;DEF;FEM;PL	N;PRT;PL
companiile	yhtiöt	companie	yhtiö	N;DEF;FEM;PL	N;NOM;PL
companiile	yritykset	companie	yritys	N;DEF;FEM;PL	N;NOM;PL
silvia	silvia	silvie	silvi	N;DEF;FEM;SG	N;NOM;SG
silvia	sylvia	silvie	sylvä	N;DEF;FEM;SG	N;NOM;SG
gibson	gibson	gibson	gibson	PROPN	PROPN;NOM;SG
inconjurata	saarrettu	inconjurat	saartaa	ADJ;DEF;FEM;SG	V;NOM;SG;V.PTCP;PASS
inconjurata	piiritetty	inconjurat	piirittää	ADJ;DEF;FEM;SG	V;NOM;SG;V.PTCP;PASS
viktor	viktor	viktor	viktor	PROPN	N;NOM;SG
babes	babes	babes	babes	N;INDF;MASC;SG	
babes	babes	babes	babes	N;INDF;MASC;SG	
adulti	aikuisia	adult	aikuinen		N;PRT;PL
adulti	aikuiset	adult	aikuinen		N;NOM;PL
adulti	aikuisille	adult	aikuinen		N;AT+ALL;PL
adulti	aikuiset	adult	aikuinen		N;NOM;PL
adulti	aikuinen	adult	aikuinen		ADJ;NOM;SG
adulti	aikuista	adult	aiku		N;IN+ABL;PL
adulti	aikuisten	adult	aikuinen		N;GEN;PL
adulti	aikuisia	adult	aikuinen		N;PRT;PL
adulti	aikuiset	adult	aikuinen		N;NOM;PL
adulti	aikuisille	adult	aikuinen		N;AT+ALL;PL
atribuita	määrätty	atribuit	määrätä	N;DEF;FEM;SG	V;NOM;SG;V.PTCP;PASS
atribuita	osoitettu	atribuit	osoittaa	N;DEF;FEM;SG	V;NOM;SG;V.PTCP;PASS
atribuita	määritetyt	atribuit	määrittää	N;DEF;FEM;SG	V;NOM;PL;V.PTCP;PASS
atribuita	määritetty	atribuit	määrittää	N;DEF;FEM;SG	V;NOM;SG;V.PTCP;PASS
wood	puu	wood	puu	PROPN	N;NOM;SG
wood	puuta	wood	puu	PROPN	N;PRT;SG
wood	puusta	wood	puu	PROPN	N;IN+ABL;SG
geo	maantieteelliset	geo	maan#tieteellinen	N;INDF;MASC;SG	ADJ;NOM;PL
coordonatele	koordinaatteja	coordonată	koordinaatti	N;DEF;FEM;PL	N;PRT;PL
coordonatele	koordinaatit	coordonată	koordinaatti	N;DEF;FEM;PL	N;NOM;PL
johan	johan	johan	jo	PROPN	ADV
santos	santos	santos	santos	PROPN	PROPN;NOM;SG
simfonia	sinfonia	simfonie	sinfonia	N;DEF;FEM;SG	N;NOM;SG
marcand	pisteytys	marcand	pisteytys		N;NOM;SG
visul	unta	vis	uni	N;DEF;MASC;SG	N;PRT;SG
visul	uni	vis	uni	N;DEF;MASC;SG	N;NOM;SG
visul	haaveilla	vis	haaveilla	N;DEF;MASC;SG	V;SG;NFIN;ACT
visul	dream	vis	dream	N;DEF;MASC;SG	
visul	unelma	vis	unelma	N;DEF;MASC;SG	N;NOM;SG
eddie	eddie	eddie	eddie	PROPN	N;NOM;SG
mir	mir	mir	mir		PROPN;NOM;SG
pescuit	kalastaa	pescuit	kalastaa	N;INDF;MASC;SG	V;SG;NFIN;ACT
proportie	osuus	proportie	osuus	N;INDF;FEM;SG	N;NOM;SG
opozitia	vastustus	opozitie	vastustus	N;DEF;FEM;SG	N;NOM;SG
opozitia	opposition	opozitie	oppositio	N;DEF;FEM;SG	N;GEN;SG
opozitia	oppositio	opozitie	oppositio	N;DEF;FEM;SG	N;NOM;SG
jorge	jorge	jorge	jorge	PROPN	PROPN;NOM;SG
atribuite	määrätty	atribuit	määrätä	ADJ;INDF;FEM;PL	V;NOM;SG;V.PTCP;PASS
atribuite	osoitettu	atribuit	osoittaa	ADJ;INDF;FEM;PL	V;NOM;SG;V.PTCP;PASS
atribuite	määritetyt	atribuit	määrittää	ADJ;INDF;FEM;PL	V;NOM;PL;V.PTCP;PASS
atribuite	määritetty	atribuit	määrittää	ADJ;INDF;FEM;PL	V;NOM;SG;V.PTCP;PASS
bursa	fellowship	bursă	fellowship	N;DEF;FEM;SG	N;NOM;SG
bursa	stipendin	bursă	stipendi	N;DEF;FEM;SG	N;GEN;SG
bursa	bursa	bursă	bursa	N;DEF;FEM;SG	N;NOM;SG
bursa	stipendin	bursă	stipendi	N;DEF;FEM;SG	N;GEN;SG
etaje	kerrosta	etaj	kerros	N;INDF;FEM;PL	N;PRT;SG
etaje	lattia	etaj	lattia	N;INDF;FEM;PL	N;NOM;SG
reciproc	keskinäiset	reciproc	keskinäinen	ADV	ADJ;NOM;PL
reciproc	keskinäinen	reciproc	keskinäinen	ADV	ADJ;NOM;SG
reciproc	yhteiset	reciproc	yhteinen	ADV	ADJ;NOM;PL
reciproc	vastavuoroisen	reciproc	vasta#vuoroinen	ADV	ADJ;GEN;SG
reciproc	yhteinen	reciproc	yhteinen	ADV	ADJ;NOM;SG
reciproc	molemminpuolinen	reciproc	molemmin#puolinen	ADV	ADJ;NOM;SG
extra	ylimääräiset	extra	yli#määräinen		ADJ;NOM;PL
extra	ylimääräistä	extra	yli#määräinen		ADJ;PRT;SG
extra	extra	extra	extra		N;NOM;SG
extra	ylimääräinen	extra	yli#määräinen		ADJ;NOM;SG
extra	lisä	extra	lisä		N;NOM;SG
avansate	kehittynyt	avansat	kehittyä	ADJ;INDF;FEM;PL	V;NOM;SG;V.PTCP;ACT
avansate	edistynyt	avansat	edistyä	ADJ;INDF;FEM;PL	V;NOM;SG;V.PTCP;ACT
avansate	kehittyneet	avansat	kehittyä	ADJ;INDF;FEM;PL	V;NOM;PL;V.PTCP;ACT
tratarea	kohtelee	tratare	kohdella	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN;ACT
antena	lautanen	antena	lautanen	N;DEF;FEM;SG	N;NOM;SG
antena	lautasen	antena	lautanen	N;DEF;FEM;SG	N;GEN;SG
antena	astia	antena	asti	N;DEF;FEM;SG	N;NOM;SG
antena	antenni	antena	antenni	N;DEF;FEM;SG	N;NOM;SG
antena	antenni	antena	antenni	N;DEF;FEM;SG	N;NOM;SG
umbra	varjon	umbră	varjo	N;DEF;FEM;SG	N;GEN;SG
umbra	varjo	umbră	varjo	N;DEF;FEM;SG	N;NOM;SG
umbra	varjo	umbră	varjo	N;DEF;FEM;SG	N;NOM;SG
umbra	varjoa	umbră	varjo	N;DEF;FEM;SG	N;PRT;SG
umbra	sävy	umbră	sävy	N;DEF;FEM;SG	N;NOM;SG
umbra	varjon	umbră	varjo	N;DEF;FEM;SG	N;GEN;SG
umbra	varjo	umbră	varjo	N;DEF;FEM;SG	N;NOM;SG
umbra	varjo	umbră	varjo	N;DEF;FEM;SG	N;NOM;SG
umbra	varjoa	umbră	varjo	N;DEF;FEM;SG	N;PRT;SG
umbra	sävy	umbră	sävy	N;DEF;FEM;SG	N;NOM;SG
vocala	vokaali	vocală	vokaali	N;DEF;FEM;SG	N;NOM;SG
vocala	vokaali	vocală	vokaali	N;DEF;FEM;SG	N;NOM;SG
omorat	murhattu	omora	murhata	ADJ;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
omorat	murhasi	omora	murhata	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN;ACT
omorat	murhattiin	omora	murhata	ADJ;INDF;MASC;SG	V;IND;PST;FIN;PASS
omorat	tapettu	omora	tapata	ADJ;INDF;MASC;SG	V;NOM;SG;V.PTCP;PASS
omorat	tappanut	omora	tappaa	ADJ;INDF;MASC;SG	V;NOM;SG;V.PTCP;ACT
omorat	tappoi	omora	tappaa	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN;ACT
aaron	aaron	aaron	aaro	PROPN	N;NOM;SG
falls	kaatuu	fall	kaatua	PROPN	V;IND;SG;3;PRS;FIN;ACT
falls	putoaa	fall	pudota	PROPN	V;IND;SG;3;PRS;FIN;ACT
falls	falls	fall	falls	PROPN	
paraná	paraná	paraná	parany	PROPN	
transformare	muuntaminen	transformare	muuntaminen	N;INDF;FEM;SG	N;NOM;SG
transformare	muunnos	transformare	muunnos	N;INDF;FEM;SG	N;NOM;SG
academica	akateemisen	academică	akateeminen	N;DEF;FEM;SG	ADJ;GEN;SG
academica	akateeminen	academică	akateeminen	N;DEF;FEM;SG	ADJ;NOM;SG
promoveaza	edistää	promoveaza	edistää	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN;ACT
promoveaza	mainostaa	promoveaza	mainostaa	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN;ACT
promoveaza	markkinoi	promoveaza	markkinoida	V;IND;SG;3;IPFV;FIN	N;NOM;SG
promoveaza	mainosta	promoveaza	maino	V;IND;SG;3;IPFV;FIN	N;PRT;SG
promoveaza	mainostaa	promoveaza	mainostaa	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN;ACT
promoveaza	edistä	promoveaza	edistää	V;IND;SG;3;IPFV;FIN	V;IMP;SG;2;FIN;ACT
promoveaza	mainostaminen	promoveaza	mainostaminen	V;IND;SG;3;IPFV;FIN	N;NOM;SG
digitale	digital	digital	digital	ADJ;INDF;FEM;PL	
digitale	digitaalisen	digital	digitaalinen	ADJ;INDF;FEM;PL	ADJ;GEN;SG
digitale	digitaalinen	digital	digitaalinen	ADJ;INDF;FEM;PL	ADJ;NOM;SG
abbas	abbas	abbas	abbas	N;INDF;MASC;SG	PROPN;NOM;SG
grafic	kaavio	grafic	kaavio	ADV	N;NOM;SG
grafic	kuvio	grafic	kuvio	ADV	N;NOM;SG
grafic	graafinen	grafic	graafinen	ADV	ADJ;NOM;SG
grafic	kaavio	grafic	kaavio	ADV	N;NOM;SG
grafic	kuvio	grafic	kuvio	ADV	N;NOM;SG
contul	tiliä	cont	tili	N;DEF;MASC;SG	N;PRT;SG
contul	tilin	cont	tili	N;DEF;MASC;SG	N;GEN;SG
contul	tili	cont	tili	N;DEF;MASC;SG	N;NOM;SG
contul	huomioon	cont	huomio	N;DEF;MASC;SG	N;IN+ALL;SG
pedeapsa	seuraamus	pedeapsă	seuraamus	N;DEF;FEM;SG	N;NOM;SG
pedeapsa	rangaistus	pedeapsă	rangaistus	N;DEF;FEM;SG	N;NOM;SG
pedeapsa	rangaistuksen	pedeapsă	rangaistus	N;DEF;FEM;SG	N;GEN;SG
pedeapsa	rangaistusta	pedeapsă	rangaistus	N;DEF;FEM;SG	N;PRT;SG
pedeapsa	rangaistus	pedeapsă	rangaistus	N;DEF;FEM;SG	N;NOM;SG
pedeapsa	seuraamus	pedeapsă	seuraamus	N;DEF;FEM;SG	N;NOM;SG
pedeapsa	rangaistus	pedeapsă	rangaistus	N;DEF;FEM;SG	N;NOM;SG
pedeapsa	rangaistuksen	pedeapsă	rangaistus	N;DEF;FEM;SG	N;GEN;SG
pedeapsa	rangaistusta	pedeapsă	rangaistus	N;DEF;FEM;SG	N;PRT;SG
pedeapsa	rangaistus	pedeapsă	rangaistus	N;DEF;FEM;SG	N;NOM;SG
mei	mei	meu	mein	DET;MASC;PL;1	N;NOM;SG
mei	mein	meu	minä	DET;MASC;PL;1	INTJ
sevilla	sevilla	sevilla	sevilla	PROPN	N;NOM;SG
sevilla	sevillan	sevilla	seviltaa	PROPN	N;GEN;SG
domnule	herra	domn	herra	N;VOC;DEF;MASC;SG	N;NOM;SG
definite	määritellyt	definit	määritellä	ADJ;INDF;FEM;PL	V;NOM;SG;V.PTCP;ACT
definite	määritetty	definit	määrittää	ADJ;INDF;FEM;PL	V;NOM;SG;V.PTCP;PASS
definite	määritelty	definit	määritellä	ADJ;INDF;FEM;PL	V;NOM;SG;V.PTCP;PASS
pauza	pysäytä	pauză	pysäys	N;DEF;FEM;SG	V;IMP;SG;2;FIN;ACT
pauza	tauko	pauză	tauko	N;DEF;FEM;SG	N;NOM;SG
pauza	riko	pauză	riko	N;DEF;FEM;SG	V;IMP;SG;2;FIN;ACT
pauza	rikkoa	pauză	rikkoa	N;DEF;FEM;SG	V;SG;NFIN;ACT
pauza	tauko	pauză	tauko	N;DEF;FEM;SG	N;NOM;SG
pauza	riko	pauză	riko	N;DEF;FEM;SG	V;IMP;SG;2;FIN;ACT
pauza	rikkoa	pauză	rikkoa	N;DEF;FEM;SG	V;SG;NFIN;ACT
pauza	tauko	pauză	tauko	N;DEF;FEM;SG	N;NOM;SG
pauza	pysäytä	pauză	pysäys	N;DEF;FEM;SG	V;IMP;SG;2;FIN;ACT
pauza	tauko	pauză	tauko	N;DEF;FEM;SG	N;NOM;SG
allan	allan	allan	alta	PROPN	N;NOM;SG
seminarul	seminaarissa	seminar	seminaari	N;DEF;MASC;SG	N;IN+ESS;SG
seminarul	seminaarin	seminar	seminaari	N;DEF;MASC;SG	N;GEN;SG
seminarul	seminaari	seminar	seminaari	N;DEF;MASC;SG	N;NOM;SG
seminarul	seminaariin	seminar	seminaari	N;DEF;MASC;SG	N;IN+ALL;SG
globala	globaali	globală	globaali	ADJ;DEF;FEM;SG	ADJ;NOM;SG
globala	global	globală	global	ADJ;DEF;FEM;SG	
globala	maailmanlaajuinen	globală	maailman#laajuinen	ADJ;DEF;FEM;SG	ADJ;NOM;SG
globala	maailmanlaajuiset	globală	maailman#laajuinen	ADJ;DEF;FEM;SG	ADJ;NOM;PL
globala	maailmanlaajuisen	globală	maailman#laajuinen	ADJ;DEF;FEM;SG	ADJ;GEN;SG
torre	torre	torre	torre	PROPN	PROPN;NOM;SG
conan	conan	conan	cona	PROPN	N;NOM;SG
brescia	brescia	brescie	brescia	PROPN	PROPN;NOM;SG
circuitul	piiri	circuit	piiri	N;DEF;MASC;SG	N;NOM;SG
circuitul	circuit	circuit	circuit	N;DEF;MASC;SG	N;NOM;SG
infrant	voitti	infrant	voittaa		V;IND;SG;3;PST;FIN;ACT
infrant	voitettu	infrant	voittaa		V;NOM;SG;V.PTCP;PASS
infrant	lyöty	infrant	lyödä		V;NOM;SG;V.PTCP;PASS
ferrara	ferrara	ferrara	ferrara	PROPN	PROPN;NOM;SG
string	naru	stringe	naru		N;NOM;SG
string	narua	stringe	naru		N;PRT;SG
string	string	stringe	string		N;NOM;SG
mandatului	toimeksiannon	mandat	toimeksia	N;DEF;MASC;SG	N;GEN;SG
mandatului	toimeksianto	mandat	toimeksia	N;DEF;MASC;SG	N;NOM;SG
mandatului	valtuudet	mandat	valtuus	N;DEF;MASC;SG	N;NOM;PL
mandatului	toimikausi	mandat	toimi#kausi	N;DEF;MASC;SG	N;NOM;SG
collins	collins	collins	collins	PROPN	N;NOM;SG
collins	collinsin	collins	collins	PROPN	N;GEN;SG
ontario	ontarion	ontario	ontario	PROPN	N;GEN;SG
valoroase	arvokas	valoros	arvokas	ADJ;INDF;FEM;PL	ADJ;NOM;SG
valoroase	arvokasta	valoros	arvokas	ADJ;INDF;FEM;PL	ADJ;PRT;SG
reclama	kaupallista	reclama	kaupallinen	N;DEF;FEM;SG	ADJ;PRT;SG
reclama	kaupalliset	reclama	kaupallinen	N;DEF;FEM;SG	ADJ;NOM;PL
reclama	kaupallinen	reclama	kaupallinen	N;DEF;FEM;SG	ADJ;NOM;SG
reclama	mainostaminen	reclama	mainostaminen	N;DEF;FEM;SG	N;NOM;SG
reclama	mainos	reclama	mainos	N;DEF;FEM;SG	N;NOM;SG
reclama	mainonta	reclama	mainon	N;DEF;FEM;SG	N;NOM;SG
reclama	mainontaa	reclama	mainontaa	N;DEF;FEM;SG	N;PRT;SG
merite	ansaitsevat	merit	ansaita	N;INDF;FEM;PL	V;IND;PL;3;PRS;FIN;ACT
tong	tong	tong	tong	PROPN	PROPN;NOM;SG
comunicatii	viestintä	comunicat	viestin		N;NOM;SG
comunicatii	tietoliikenne	comunicat	tieto#liikenne		N;NOM;SG
comunicatii	viestinnän	comunicat	viestintä		N;GEN;SG
manga	manga	manga	manga		N;NOM;SG
montreal	montrealin	montreal	montreali	PROPN	N;GEN;SG
ribbentrop	ribbentrop	ribbentrop	ribbentrop	N;INDF;MASC;SG	PROPN;NOM;SG
scade	lasku	scădea	lasku	V;IND;SG;3;PRS;FIN	N;NOM;SG
scade	väheneminen	scădea	väheneminen	V;IND;SG;3;PRS;FIN	N;NOM;SG
