och	si	och	sine	CONJ	
berg	berg	berg	berg	N;NOM;INDF;NEUT;SG	PROPN
berg	munti	berg	munti	N;NOM;INDF;NEUT;SG	
berg	muntii	berg	munte	N;NOM;INDF;NEUT;SG	N;DEF;MASC;PL
berg	munţii	berg	munhă	N;NOM;INDF;NEUT;SG	N;DEF;MASC;PL
berg	munții	berg	munte	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
indonesien	indonezia	indonesien	indonezie	PROPN;NOM	PROPN
usa	usa	usa	usa	PROPN;NOM	N;DEF;FEM;SG
usa	sua	usa	sua	PROPN;NOM	N
mars	marte	mars	marte	N;NOM;INDF;MASC+FEM;SG	
mindre	minore	lite	minor	ADV;CMPR	N;INDF;FEM;PL
mindre	minoră	lite	minor	ADV;CMPR	ADJ;INDF;FEM;SG
mindre	minora	lite	minoră	ADV;CMPR	N;DEF;FEM;SG
mindre	minor	lite	minor	ADV;CMPR	ADJ;INDF;MASC;SG
norr	north	norr	north	N;NOM;INDF;MASC+FEM;SG	PROPN
norr	nordul	norr	nord	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
man	bărbat	man	bărbat	PRO;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
man	om	man	om	PRO;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
man	omul	man	om	PRO;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
man	barbat	man	barbat	PRO;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
man	man	man	man	PRO;NOM;INDF;MASC+FEM;SG	
större	major	stor	major	ADJ;NOM;CMPR	ADJ;INDF;MASC;SG
större	maiorul	stor	maior	ADJ;NOM;CMPR	N;DEF;MASC;SG
större	maior	stor	maior	ADJ;NOM;CMPR	PROPN
större	majore	stor	major	ADJ;NOM;CMPR	ADJ;INDF;FEM;PL
centrala	centrala	central	centrală	ADJ;NOM;PL	ADJ;DEF;FEM;SG
centrala	centrale	central	centrală	ADJ;NOM;PL	N;INDF;FEM;PL
centrala	centrală	central	central	ADJ;NOM;PL	ADJ;INDF;FEM;SG
centrala	central	central	central	ADJ;NOM;PL	ADJ;INDF;MASC;SG
nordväst	northwest	nordväst	northwest	ADV	PROPN
andra	alte	annan	alt	PRO;INDF;PL	DET;FEM;PL;3
andra	alți	annan	alt	PRO;INDF;PL	DET;MASC;PL;3
andra	altii	annan	altul	PRO;INDF;PL	
hade	avea	ha	avea	V;IND;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
county	judetul	county	judet	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
county	comitatul	county	comitat	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
county	județul	county	județ	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
nog	nog	nog	nog	ADV	
namngivna	numit	namngiven	numit	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;MASC;SG
söder	sudul	söder	sud	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
mycket	much	mycket	much	ADV	
regionen	regiunea	region	regiune	N;NOM;DEF;MASC+FEM;SG	N;DEF;FEM;SG
regionen	regiune	region	regiune	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
ottawa	ottawa	ottal	ottawa	PROPN;NOM	PROPN
creek	creek	creek	creeke	N;NOM;INDF;NEUT;SG	PROPN
maj	may	maj	may	N;NOM;INDF;MASC+FEM;SG	
maj	maj	maj	maj	N;NOM;INDF;MASC+FEM;SG	
platt	platt	platt	platt	ADV	N;INDF;MASC;SG
platt	plate	platt	plat	ADV	ADJ;INDF;FEM;PL
platt	plat	platt	plat	ADV	N;INDF;MASC;SG
född	născută	född	naște	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;INDF;FEM;SG
finland	finlanda	finland	finlanda	PROPN;NOM	PROPN
samhälle	societatea	samhälle	societate	N;NOM;INDF;NEUT;SG	N;DEF;FEM;SG
samhälle	societate	samhälle	societate	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
samhälle	comunitate	samhälle	comunitate	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
samhälle	comunitatea	samhälle	comunitate	N;NOM;INDF;NEUT;SG	N;DEF;FEM;SG
hon	ea	hon	el	PRO;NOM;DEF;MASC+FEM;SG	PRO;FEM;SG;3
består	compus	bestå	compus	V;IND;PRS;FIN;ACT	ADJ;INDF;MASC;SG
består	compuse	bestå	compune	V;IND;PRS;FIN;ACT	ADJ;INDF;FEM;PL
består	compusă	bestå	compune	V;IND;PRS;FIN;ACT	ADJ;INDF;FEM;SG
består	constă	bestå	consta	V;IND;PRS;FIN;ACT	V;IND;SG;3;PST;FIN
första	primii	en	prim	ADJ;NOM	NUM;DEF;MASC;PL
första	prima	en	prim	ADJ;NOM	NUM;DEF;FEM;SG
första	primul	en	prim	ADJ;NOM	NUM;DEF;MASC;SG
fick	primite	få	primit	V;IND;PST;FIN;ACT	ADJ;INDF;FEM;PL
fick	primită	få	primi	V;IND;PST;FIN;ACT	ADJ;INDF;FEM;SG
sydväst	southwest	sydväst	southwest	ADV	PROPN
området	zonă	område	zonă	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
området	zona	område	zonă	N;NOM;DEF;NEUT;SG	N;DEF;FEM;SG
området	suprafață	område	suprafață	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
australien	australiei	australien	australie	PROPN;NOM	PROPN;DEF;FEM;SG
australien	australia	australien	australia	PROPN;NOM	PROPN
april	april	april	april	N;NOM;INDF;MASC+FEM;SG	
bar	barul	ba	bar	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
hans	hans	han	hans	PRO;DEF	PROPN
södra	southern	södra	southern	ADJ;NOM;DEF;SG	PROPN
södra	sudic	södra	sudic	ADJ;NOM;DEF;SG	ADJ;INDF;MASC;SG
södra	sudul	södra	sud	ADJ;NOM;DEF;SG	N;DEF;MASC;SG
södra	sud	södra	sud	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
södra	south	södra	south	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
södra	sudul	södra	sud	ADJ;NOM;DEF;SG	N;DEF;MASC;SG
södra	södra	södra	spdra	ADJ;NOM;DEF;SG	
toppen	mare	topp	mare	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;MASC;SG
toppen	top	topp	top	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
toppen	topul	topp	top	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
sverige	suedia	sverige	suedia	PROPN;NOM	PROPN
östra	east	östra	east	ADJ;NOM;DEF;SG	PROPN
östra	est	östra	est	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
östra	estul	östra	est	ADJ;NOM;DEF;SG	N;DEF;MASC;SG
kilometer	kilometru	kilomet	kilometru	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
kilometer	kilometrii	kilomet	kilometru	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;PL
norra	north	norra	north	ADJ;NOM;DEF;SG	PROPN
norra	nordul	norra	nord	ADJ;NOM;DEF;SG	N;DEF;MASC;SG
norra	nord	norra	nord	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
norra	northern	norra	northern	ADJ;NOM;DEF;SG	PROPN
norra	nordul	norra	nord	ADJ;NOM;DEF;SG	N;DEF;MASC;SG
talet	discurs	tal	discurs	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
talet	discursul	tal	discurs	N;NOM;DEF;NEUT;SG	N;DEF;MASC;SG
talet	vorbire	tal	vorbire	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
talet	vorbirea	tal	vorbire	N;NOM;DEF;NEUT;SG	N;DEF;FEM;SG
mot	contra	mot	contra	ADP	
mot	impotriva	mot	impotriva	ADP	N;DEF;FEM;SG
mot	împotrivă	mot	împotriva	ADP	
mot	mot	mot	mot	ADP	
västra	west	onstra	west	ADJ;NOM;DEF;SG	PROPN
västra	vest	onstra	vest	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
västra	occident	onstra	occident	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
västra	vestul	onstra	vest	ADJ;NOM;DEF;SG	N;DEF;MASC;SG
västra	occidental	onstra	occidental	ADJ;NOM;DEF;SG	ADJ;INDF;MASC;SG
västra	vest	onstra	vest	ADJ;NOM;DEF;SG	N;INDF;MASC;SG
västra	western	onstra	western	ADJ;NOM;DEF;SG	PROPN
del	parte	del	parte	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
del	partea	del	parte	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
riktning	direcţia	riktning	direchi	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
riktning	direcție	riktning	direcție	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
riktning	directie	riktning	directie	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
riktning	direcția	riktning	direcție	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
namn	numele	namn	nume	N;NOM;INDF;NEUT;SG	N;DEF;MASC;SG
namn	denumire	namn	denumire	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
namn	name	namn	name	N;NOM;INDF;NEUT;SG	
vilket	care	vilken	care	PRO;INDF;NEUT;SG	PRO;3
svenska	suedeza	svensk	suedeză	ADJ;NOM;PL	ADJ;DEF;FEM;SG
svenska	suedeză	svensk	suedeză	ADJ;NOM;PL	N;INDF;FEM;SG
svenska	suedez	svensk	suedez	ADJ;NOM;PL	ADJ;INDF;MASC;SG
svenska	svenska	svensk	svenska	ADJ;NOM;PL	N;INDF;MASC;SG
mellan	intre	mellan	intra	ADP	V;SBJV;3;PRS;FIN
svensk	suedeza	svensk	suedeză	N;NOM;INDF;MASC+FEM;SG	ADJ;DEF;FEM;SG
svensk	suedezi	svensk	suedez	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;PL
svensk	suedeză	svensk	suedeză	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
svensk	suedez	svensk	suedez	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
svensk	suedez	svensk	suedez	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
svensk	svensk	svensk	svensk	N;NOM;INDF;MASC+FEM;SG	
när	cand	när	cand	ADV	
cerro	cerro	cerro	cerro	N;NOM;INDF;MASC+FEM;SG	PROPN
frankrike	franţa	frankrike	frangă	PROPN;NOM	PROPN
frankrike	franța	frankrike	franța	PROPN;NOM	PROPN
frankrike	franta	frankrike	frantă	PROPN;NOM	PROPN
frankrike	france	frankrike	francă	PROPN;NOM	N;INDF;MASC;SG
död	moartea	död	moarte	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
död	moarte	död	moarte	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
död	moartă	död	mort	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
död	dead	död	dead	N;NOM;INDF;MASC+FEM;SG	
död	mort	död	mort	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
kulle	colina	kulle	colină	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
kulle	dealul	kulle	deal	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
kulle	hill	kulle	hill	N;NOM;INDF;MASC+FEM;SG	PROPN
kina	china	kina	chină	PROPN;NOM	PROPN
kina	rpc	kina	rpc	PROPN;NOM	N;INDF;MASC
kommunen	comuna	kommun	comună	N;NOM;DEF;MASC+FEM;SG	N;DEF;FEM;SG
klimatet	clima	klimate	climă	N;NOM;DEF;NEUT;SG	N;DEF;FEM;SG
klimatet	climă	klimate	climă	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
klimatet	climatice	klimate	climatic	N;NOM;DEF;NEUT;SG	ADJ;INDF;FEM;PL
klimatet	climatul	klimate	climat	N;NOM;DEF;NEUT;SG	N;DEF;MASC;SG
klimatet	climat	klimate	climat	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
est	est	est	est	PROPN;NOM	N;INDF;MASC;SG
text	textul	text	text	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
lista	lista	lista	listă	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
lista	listă	lista	listă	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
annat	altele	annan	altul	PRO;INDF;NEUT;SG	PRO;FEM;PL;3
annat	alte	annan	alt	PRO;INDF;NEUT;SG	DET;FEM;PL;3
annat	alți	annan	alt	PRO;INDF;NEUT;SG	DET;MASC;PL;3
edt	edt	edt	edt	NUM;NOM	N;INDF;MASC;SG
departementet	departamentul	departement	departament	N;NOM;DEF;NEUT;SG	N;DEF;MASC;SG
departementet	departament	departement	departament	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
from	pios	from	pios	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
tropiskt	tropicală	tropisk	tropical	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;FEM;SG
tropiskt	tropicale	tropisk	tropical	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;FEM;PL
park	parcul	park	parc	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
hill	colina	hill	colină	PROPN;NOM	N;DEF;FEM;SG
hill	dealul	hill	deal	PROPN;NOM	N;DEF;MASC;SG
hill	hill	hill	hill	PROPN;NOM	PROPN
hill	deal	hill	deal	PROPN;NOM	N;INDF;MASC;SG
flera	multiplu	flera	multiplu	PRO;INDF;PL	
flera	multiplă	flera	multiplu	PRO;INDF;PL	ADJ;INDF;FEM;SG
flera	multiple	flera	multiplu	PRO;INDF;PL	ADJ;INDF;FEM;PL
periodiskt	periodic	periodisk	periodic	ADJ;NOM;INDF;NEUT;SG	ADV
periodiskt	periodică	periodisk	periodic	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;FEM;SG
periodiskt	periodice	periodisk	periodic	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;FEM;PL
periodiskt	periodic	periodisk	periodic	ADJ;NOM;INDF;NEUT;SG	ADV
nord	north	nord	north	PROPN;NOM	PROPN
nord	nordul	nord	nord	PROPN;NOM	N;DEF;MASC;SG
nord	nord	nord	nord	PROPN;NOM	N;INDF;MASC;SG
nord	nord	nord	nord	PROPN;NOM	N;INDF;MASC;SG
stockholm	stockholm	stockholm	stockholm	PROPN;NOM	N;INDF;MASC;SG
alla	toti	all	toti	PRO;INDF;PL	
alla	toți	all	tot	PRO;INDF;PL	PRO;MASC;PL;3
alla	toate	all	tot	PRO;INDF;PL	PRO;FEM;PL;3
alla	tot	all	tot	PRO;INDF;PL	PRO;MASC;SG;3
samma	același	samma	același	DET;INDF	DET;MASC;SG;3
olika	diferit	olik	diferit	ADJ;NOM;PL	ADJ;INDF;MASC;SG
olika	diferită	olik	diferit	ADJ;NOM;PL	ADJ;INDF;FEM;SG
olika	diferita	olik	diferita	ADJ;NOM;PL	ADJ;DEF;FEM;SG
point	punctul	point	punct	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
ort	oraşul	ort	orac	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
ort	orașul	ort	oraș	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
nya	nou	ny	nou	ADJ;NOM;PL	ADJ;INDF;MASC;SG
