birdlife	birdlife	birdlife	birdlifa	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
protest	námietky	protest	námietok	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
protest	protestovať	protest	protestovať	N;INDF;MASC;SG	V;IPFV;POS;NFIN
endt	skončilo	ende	skončiť	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP
endt	skončil	ende	skončiť	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
endt	skončila	ende	skončiť	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
troen	viery	tro	viera	N;DEF;MASC;SG	N;NOM;FEM;PL
verre	horsie	verre	horsieť	ADJ;CMPR	
doktor	doctor	doktor	doctor	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
moldova	moldavská	moldov	moldavský	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
male	namaľovať	male	namaľovať	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
male	maľovať	male	maľovať	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
overlevd	prežilo	overleve	prežiť	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP
overlevd	prežili	overleve	prežiť	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
overlevd	prežila	overleve	prežiť	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
overlevd	prežil	overleve	prežiť	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
overlevd	neprežil	overleve	prežiť	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;PFV;MASC;SG;NEG;PST;V.PTCP
hud	kože	hud	koža	N;INDF;NEUT;SG	N;NOM;FEM;PL
area	oblasti	area	oblasť	N;INDF;MASC;SG	N;NOM;FEM;PL
tirol	tirol	tirol	tirnúť	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
olof	olof	olof	olof	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
bologna	bolonského	bologn	bolonský	N;DEF;FEM;SG	ADJ;GEN;NEUT;SG
effektive	efektívny	effektiv	efektívny	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
effektive	efektívne	effektiv	efektívny	ADJ;PL	ADV
effektive	efektívna	effektiv	efektívny	ADJ;PL	ADJ;NOM;FEM;SG
effektive	účinné	effektiv	účinný	ADJ;PL	ADJ;NOM;NEUT;SG
effektive	účinne	effektiv	účinne	ADJ;PL	ADV
effektive	efektívne	effektiv	efektívny	ADJ;PL	ADV
effektive	efektívna	effektiv	efektívny	ADJ;PL	ADJ;NOM;FEM;SG
effektive	účinný	effektiv	účinný	ADJ;PL	ADJ;INAN;NOM;MASC;SG
søsken	súrodenci	søsken	súrodenec	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
søsken	súrodencov	søsken	súrodenec	N;INDF;MASC;SG	N;ANIM;ACC;MASC;PL
run	spustiť	run	spustiť	N;INDF;SG	V;PFV;POS;NFIN
femti	päťdesiat	femti	päťdesiat	NUM;PL	NUM;NOM;NEUT;SG
femti	fifty	femti	fifta	NUM;PL	N;NOM;FEM;PL
oregon	oregon	oregon	oregon	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
beklager	prepáčte	beklager	prepáčiť	N;INDF;FEM;PL	V;PFV;IMP;PL;2;POS;FIN
beklager	prepac	beklager	prepac	N;INDF;FEM;PL	INTJ
beklager	prepáč	beklager	prepáčiť	N;INDF;FEM;PL	V;PFV;IMP;SG;2;POS;FIN
innvandrere	prisťahovalcom	innvandrere	prisťahovalec	N;INDF;FEM;SG	N;ANIM;DAT;MASC;PL
innvandrere	prisťahovalcov	innvandrere	prisťahovalec	N;INDF;FEM;SG	N;ANIM;ACC;MASC;PL
innvandrere	prisťahovalci	innvandrere	prisťahovalec	N;INDF;FEM;SG	N;ANIM;NOM;MASC;PL
innvandrere	imigrantov	innvandrere	imigrant	N;INDF;FEM;SG	N;ANIM;GEN;MASC;PL
samarbeider	spolupracujúci	samarbeide	spolupracujúci	V;IND;PRS;FIN	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT
samarbeider	spolupracujúce	samarbeide	spolupracujúci	V;IND;PRS;FIN	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
samarbeider	spolupracujúcich	samarbeide	spolupracujúci	V;IND;PRS;FIN	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;ACT
vakker	krasne	vakker	krasne	ADJ;INDF;SG	
vakker	krásne	vakker	krásne	ADJ;INDF;SG	ADV
stiger	rebríky	stige	rebrík	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
stiger	stúpa	stige	stúpať	N;INDF;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
stiger	rastie	stige	rásť	N;INDF;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
stiger	rastúce	stige	rastúci	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
kommunistisk	komunista	kommunistisk	komunista	ADJ;INDF;NEUT;SG	N;ANIM;NOM;MASC;SG
kanten	hrany	kant	hrana	N;DEF;MASC;SG	N;NOM;FEM;PL
relasjoner	vzťahy	relasjon	vzťah	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
relasjoner	vzťahov	relasjon	vzťah	N;INDF;MASC;SG	N;INAN;GEN;MASC;PL
relasjoner	vzťahy	relasjon	vzťah	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
besetning	crew	besetning	crew	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
besetning	posádky	besetning	posádka	N;INDF;FEM;SG	N;NOM;FEM;PL
rør	dotýkať	rør	dotýkať	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
rør	dotknúť	rør	dotknúť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
rør	potrubia	rør	potrubie	N;INDF;NEUT;SG	N;NOM;NEUT;PL
rør	rúrky	rør	rúrka	N;INDF;NEUT;SG	N;NOM;FEM;PL
rør	rúry	rør	rúra	N;INDF;NEUT;SG	N;NOM;FEM;PL
kritiserte	kritizovali	kritisere	kritizovať	ADJ;PL;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
kritiserte	kritizoval	kritisere	kritizovať	ADJ;PL;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
edwin	edwin	edwin	edwin	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
vill	wild	vill	wild	ADJ;INDF;SG	PROPN;ANIM;NOM;MASC;SG
vill	voľne	vill	voľne	ADJ;INDF;SG	ADV
antiokia	antiochie	antiokia	antiochia	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
jagerfly	stíhačky	jagerfly	stíhačka	N;INDF;NEUT;SG	N;NOM;FEM;PL
jagerfly	bojovníci	jagerfly	bojovník	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
jagerfly	bojovníkov	jagerfly	bojovník	N;INDF;NEUT;SG	N;ANIM;ACC;MASC;PL
hale	chvosty	hale	chvost	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
ireland	írsko	ireland	írsko	N;INDF;NEUT;SG	PROPN;INAN;NOM;MASC;SG
bebodd	obývaných	beby	obývaný	N;INDF;MASC;SG	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
bebodd	obývané	beby	obývaný	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
mestere	majstri	mestere	majster	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
mestere	šampióni	mestere	šampióň	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
mestere	šampiónov	mestere	šampión	N;INDF;MASC;SG	N;ANIM;ACC;MASC;PL
mestere	majstrov	mestere	majster	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
intellektuelle	intelektuálov	intellektuell	intelektuál	ADJ;PL	N;INAN;GEN;MASC;PL
intellektuelle	intelektuálne	intellektuell	intelektuálne	ADJ;PL	ADV
intellektuelle	duševného	intellektuell	duševný	ADJ;PL	ADJ;GEN;NEUT;SG
intellektuelle	duševné	intellektuell	duševný	ADJ;PL	ADJ;NOM;NEUT;SG
adrian	adrian	adrian	adrian	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
bosetninger	zúčtovanie	bosetning	zúčtovanie	N;INDF;FEM;PL	N;NOM;NEUT;SG
bosetninger	urovnanie	bosetning	urovnanie	N;INDF;FEM;PL	N;NOM;NEUT;SG
rydde	čistá	rydde	čistý	V;NFIN	ADJ;NOM;FEM;SG
rydde	čistý	rydde	čistý	V;NFIN	ADJ;INAN;NOM;MASC;SG
rydde	čisté	rydde	čistý	V;NFIN	ADJ;NOM;NEUT;SG
prøvd	pokus	prøve	pokus	ADJ;INDF;NEUT;SG;V.PTCP	N;INAN;NOM;MASC;SG
prøvd	skúšal	prøve	skúšať	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
prøvd	skúšala	prøve	skúšať	ADJ;INDF;NEUT;SG;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
prøvd	pokúsil	prøve	pokúsiť	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
prøvd	skúšali	prøve	skúšať	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
prøvd	pokúšal	prøve	pokúšať	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
mtv	mtv	mev	mtv	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
brigade	brigády	brigade	brigáda	N;INDF;MASC;SG	N;NOM;FEM;PL
fisher	fisherová	fisher	fisherový	PROPN	ADJ;NOM;FEM;SG
fisher	fisher	fisher	fisher	PROPN	PROPN;ANIM;NOM;MASC;SG
fisher	rybár	fisher	rybár	PROPN	N;ANIM;NOM;MASC;SG
primær	primárne	primær	primárne	N;INDF;MASC;SG	ADV
primær	primárna	primær	primárny	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
primær	primárny	primær	primárny	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
odense	odense	odense	odens	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
strategiske	strategické	strategisk	strategický	ADJ;PL	ADJ;NOM;NEUT;SG
strategiske	strategický	strategisk	strategický	ADJ;PL	ADJ;INAN;NOM;MASC;SG
strategiske	strategická	strategisk	strategický	ADJ;PL	ADJ;NOM;FEM;SG
rico	rico	rico	rico	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
tydeligvis	zrejme	tydeligvis	zrejme	ADV	PART
tydeligvis	zrejme	tydeligvis	zrejme	ADV	PART
skjell	škrupín	skjell	škrupina	N;INDF;NEUT;SG	N;NOM;FEM;PL
skjell	mušle	skjell	mušle	N;INDF;NEUT;SG	N;NOM;FEM;PL
oppmerksom	pozorný	oppmerksom	pozorný	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
ansiktet	face	ansikt	faca	N;DEF;NEUT;SG	
say	povedať	say	povedať	N	V;PFV;POS;NFIN
say	povedz	say	povedz	N	V;PFV;IMP;SG;2;POS;FIN
beat	beat	beit	beat	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
beat	biť	beit	biť	N;INDF;MASC;SG	V;IPFV;POS;NFIN
beat	poraziť	beit	poraziť	N;INDF;MASC;SG	V;PFV;POS;NFIN
jomfru	panic	jomfru	panic	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
jomfru	rodné	jomfru	rodný	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
ferdige	hotové	ferdig	hotový	ADJ;PL	ADJ;NOM;NEUT;SG
ferdige	ukončené	ferdig	ukončený	ADJ;PL	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
ferdige	skončili	ferdig	skončiť	ADJ;PL	V;PFV;MASC;PL;POS;PST;V.PTCP
ferdige	dokončené	ferdig	dokončený	ADJ;PL	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
ferdige	skončil	ferdig	skončiť	ADJ;PL	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
camilla	camilla	camille	camilla	N;INDF;FEM;SG	PROPN;NOM;FEM;SG
elst	elst	gla	elst	N	PROPN;ANIM;NOM;MASC;SG
designer	dizajnér	designer	dizajnér	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
sjuende	siedma	sjuende	siedmy	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
sjuende	siedmy	sjuende	siedmy	N;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG
sjuende	siedmej	sjuende	siedmy	N;INDF;MASC;SG	ADJ;GEN;FEM;SG
sjuende	siedmeho	sjuende	siedmy	N;INDF;MASC;SG	ADJ;GEN;NEUT;SG
sjuende	siedme	sjuende	siedmy	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
tyskere	nemcov	tyskere	nemec	N;INDF;FEM;SG	N;INAN;GEN;MASC;PL
tyskere	nemci	tyskere	nemec	N;INDF;FEM;SG	N;ANIM;NOM;MASC;PL
small	malá	small	malý	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
small	small	small	small	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
small	malý	small	malý	N;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
small	malých	small	malý	N;INDF;NEUT;SG	N;ANIM;GEN;MASC;PL
small	malé	small	malý	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
elektroniske	elektronický	elektronisk	elektronický	ADJ;PL	ADJ;INAN;NOM;MASC;SG
elektroniske	elektronická	elektronisk	elektronický	ADJ;PL	ADJ;NOM;FEM;SG
elektroniske	elektronické	elektronisk	elektronický	ADJ;PL	ADJ;NOM;NEUT;SG
elektroniske	elektronickej	elektronisk	elektronický	ADJ;PL	ADJ;GEN;FEM;SG
ronny	ron	ronny	ron	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
ronny	ronny	ronny	ronny	N;INDF;MASC;SG	
myspace	myspace	myspace	myspaca	N;INDF;MASC;SG	N;NOM;FEM;PL
inspirerte	inšpirovala	inspirere	inšpirovať	ADJ;PL;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
inspirerte	inšpiráciu	inspirere	inšpirácia	ADJ;PL;V.PTCP	N;ACC;FEM;SG
inspirerte	inšpiroval	inspirere	inšpirovať	ADJ;PL;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
rick	rick	rick	rick	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
düsseldorf	düsseldorf	düsseldorf	düsseldorf	N;INDF;MASC;SG	PROPN;INAN;NOM;MASC;SG
