süleymaniye	sulaymaniyya	süleyman	sulaymaniyya	V;PFV;DAT;IND;POS;PRS;V.MSDR	N;MASC;SG
temizlik	pulizie	temizlik	pulizia	N;NOM;SG;3	N;FEM;PL
kapanış	chiusura	kapa	chiusura	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;FEM;SG
kapanış	chiusura	kapa	chiusura	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;FEM;SG
kapanış	epilogo	kapa	epilogo	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;MASC;SG
galeri	gallery	galer	gallery		N;FEM
galeri	galleria	galer	galleria		N;FEM;SG
dilek	augurio	dilek	augurio		N;MASC;SG
dilek	desiderio	dilek	desiderio		N;MASC;SG
dilek	desideri	dilek	desiderio		V;IND;SG;2;PRS;FIN
dilek	augura	dilek	augurare		V;IND;SG;3;PRS;FIN
dilek	desideri	dilek	desiderio		V;IND;SG;2;PRS;FIN
dilek	desidera	dilek	desiderare		V;IND;SG;3;PRS;FIN
dilek	desiderare	dilek	desiderare		V;NFIN
dilek	desiderando	dilek	desiderare		V;V.MSDR
nintendo	nintendo	nintendo	ninterdo	PROPN;NOM;SG;3	N;MASC;SG
trans	trance	trans	trance		N;MASC
trans	trans	trans	trans		N
hugh	ugo	hugh	ugo		N;MASC;SG
hugh	hugh	hugh	hugh		N
orleans	orleans	orleans	orleans	PROPN;NOM;SG;3	N;FEM;SG
orleans	orléans	orleans	orléans	PROPN;NOM;SG;3	N;FEM;SG
diana	diana	dian	dianare		N;FEM;SG
barok	barocca	barok	barocca		ADJ;FEM;SG
barok	barocco	barok	barocco		ADJ;MASC;SG
ud	liuto	ud	liuto		N;MASC;SG
maraş	maras	maraş	maras		N;FEM;PL
gnu	gnu	gn	gnu		N;MASC
wien	wien	wien	wien	PROPN;NOM;SG;3	PROPN
pete	pete	pete	petere		N;SG
pete	pietro	pete	pietro		N;MASC;SG
tanıtımı	promuovere	tanıtım	promuovere	N;NOM;SG;3	V;NFIN
tanıtımı	promosse	tanıtım	promuovere	N;NOM;SG;3	V;FEM;PL;PST;V.PTCP
tanıtımı	promossa	tanıtım	promuovere	N;NOM;SG;3	V;FEM;SG;PST;V.PTCP
tanıtımı	promosso	tanıtım	promuovere	N;NOM;SG;3	V;MASC;SG;PST;V.PTCP
tanıtımı	promossi	tanıtım	promuovere	N;NOM;SG;3	V;MASC;PL;PST;V.PTCP
tanıtımı	promozioni	tanıtım	promozione	N;NOM;SG;3	N;FEM;PL
tanıtımı	promuovere	tanıtım	promuovere	N;NOM;SG;3	V;NFIN
glasgow	glasgow	glasgow	glasgow	PROPN;NOM;SG;3	N;MASC;SG
lille	lilla	lille	lilla	PROPN;NOM;SG;3	N;FEM;SG
lille	lille	lille	lille	PROPN;NOM;SG;3	N;MASC;SG
sevda	love	sevda	love		N
sevda	amore	sevda	amore		N;MASC;SG
tören	cerimonia	tör	cerimonia		N;FEM;SG
tören	rito	tör	rito		N;MASC;SG
tören	rituali	tör	rituale		N;MASC;PL
tören	rituale	tör	rituale		N;MASC;SG
memphis	memphis	memphis	memphis	PROPN;NOM;SG;3	N;MASC
cadı	streghe	cadı	strego		N;FEM;PL
cadı	strega	cadı	stregare		N;FEM;SG
patlayıcı	esplosivo	patlayıcı	esplosivo		ADJ;MASC;SG
patlayıcı	esplosivi	patlayıcı	esplosivo		N;MASC;PL
patlayıcı	esplosiva	patlayıcı	esplosivo		ADJ;FEM;SG
patlayıcı	esplosivo	patlayıcı	esplosivo		ADJ;MASC;SG
patlayıcı	esplosivi	patlayıcı	esplosivo		N;MASC;PL
ufuk	skyline	ufuk	skylina		N;MASC
ufuk	orizzonte	ufuk	orizzonte		N;MASC;SG
ufuk	horizon	ufuk	horizon		N;MASC
kader	destino	kader	destino		N;MASC;SG
kader	destiny	kader	destiny		N
kader	destini	kader	destino		N;MASC;PL
kader	sorte	kader	sorte		N;FEM;SG
kader	destino	kader	destino		N;MASC;SG
kader	fato	kader	fare		ADJ;MASC;SG
werner	werner	werner	werner	PROPN;NOM;SG;3	N;MASC;SG
nihai	ultimate	nihai	ultimato		N;FEM;PL
erich	erich	erich	erich		N;MASC;SG
nem	nem	nem	nem		N;SG
nem	umidità	nem	umidità		N;FEM
nem	umidità	nem	umidità		N;FEM
çılgın	pazzo	çılgın	pazzo		ADJ;MASC;SG
çılgın	pazzesco	çılgın	pazzesco		ADJ;MASC;SG
çılgın	folle	çılgın	folle		ADJ;SG
çılgın	selvaggi	çılgın	selvaggio		ADJ;MASC;PL
çılgın	selvatici	çılgın	selvatico		ADJ;MASC;PL
çılgın	selvaggio	çılgın	selvaggio		ADJ;MASC;SG
çılgın	selvatico	çılgın	selvatico		ADJ;MASC;SG
çılgın	wild	çılgın	wild		N
çılgın	selvaggia	çılgın	selvaggio		ADJ;FEM;SG
çılgın	crazy	çılgın	crazy		N
çılgın	pazzesco	çılgın	pazzesco		ADJ;MASC;SG
çılgın	pazzo	çılgın	pazzo		ADJ;MASC;SG
çılgın	pazza	çılgın	pazzo		ADJ;FEM;SG
çılgın	pazzi	çılgın	pazzo		N;MASC;PL
çılgın	matto	çılgın	matto		N;MASC;SG
çılgın	matto	çılgın	matto		N;MASC;SG
çılgın	pazzo	çılgın	pazzo		ADJ;MASC;SG
çılgın	mad	çılgın	mad		N
üstünlük	superiori	üstünlük	superiore	N;NOM;SG;3	ADJ;CMPR;PL
üstünlük	superiore	üstünlük	superiore	N;NOM;SG;3	ADJ;CMPR;SG
yarıda	interrotto	yarı	interrompere	N;ESS;SG;3	V;MASC;SG;PST;V.PTCP
yarıda	interrotti	yarı	interrompere	N;ESS;SG;3	V;MASC;PL;PST;V.PTCP
yarıda	interrotta	yarı	interrompere	N;ESS;SG;3	V;FEM;SG;PST;V.PTCP
radar	sonar	radar	sonar		N;MASC
radar	radar	radar	radar		N;MASC
porno	porno	porno	porre		N;MASC
porno	porno	porno	porre		N;MASC
porno	pornografia	porno	pornografia		N;FEM;SG
pol	pol	pol	pol		N;SG
hayati	vitale	hayati	vitale		ADJ;SG
hayati	vitali	hayati	vitale		ADJ;PL
madison	madison	madison	madison	PROPN;NOM;SG;3	N;MASC;SG
tang	tang	tang	tang		N;MASC
belgeler	documentazione	belge	documentazione	N;NOM;PL;3	N;FEM;SG
değişmez	immutabile	değişmez	immutabile		ADJ;SG
roland	roland	roland	roland		N;MASC
uçar	mosche	uç	mosca		N;FEM;PL
uçar	vola	uç	volare		V;IND;SG;3;PRS;FIN
adın	denominazione	ad	denominazione		N;FEM;SG
adın	nome	ad	nome		N;MASC;SG
kobe	kobe	kobe	kobe	PROPN;NOM;SG;3	N;MASC;SG
wanderers	wanderers	wanderers	wanderers	PROPN;NOM;SG;3	N;MASC
garcía	garcia	garc	garcia	PROPN;NOM;SG;3	N;FEM;SG
garcía	garcía	garc	garca	PROPN;NOM;SG;3	N;FEM;SG
taktik	tattiche	taktik	tattica		N;FEM;PL
taktik	tattica	taktik	tattica		N;FEM;SG
taktik	tattica	taktik	tattica		N;FEM;SG
taktik	tattico	taktik	tattico		ADJ;MASC;SG
taktik	tattiche	taktik	tattica		N;FEM;PL
taktik	tattica	taktik	tattica		N;FEM;SG
dst	dst	dst	dst		N
talat	talat	talat	talat		N;MASC
geyik	cervi	geyik	cervo	N;NOM;SG;3	N;MASC;PL
yuva	home	yuva	home		N
yuva	casa	yuva	casa		N;FEM;SG
yuva	nidi	yuva	nido		N;MASC;PL
yuva	nido	yuva	nido		N;MASC;SG
uzayı	spazi	uza	spazio		N;MASC;PL
uzayı	spazio	uza	spazio		N;MASC;SG
uzayı	space	uza	spacere		N
ahit	testamento	ahit	testamento		N;MASC;SG
por	por	por	porre		V;IND;SG;3;PRS;FIN
montana	montana	monta	montano		ADJ;FEM;SG
orda	lì	ora	lì	N;ESS;SG;3	ADV
orda	là	ora	là	N;ESS;SG;3	ADV
nesli	generation	nesli	generation		N;MASC
nesli	generazione	nesli	generazione		N;FEM;SG
tanksavar	anticarro	tanksavar	anticarro		N;MASC
koltuk	poltrone	koltuk	poltrona	N;NOM;SG;3	N;FEM;PL
yara	cicatrice	yara	cicatore		N;FEM;SG
yara	scar	yara	scar		ADJ;MASC;PL
yara	lesione	yara	lesione		N;FEM;SG
yara	lesioni	yara	lesione		N;FEM;PL
yara	infortunio	yara	infortunio		N;MASC;SG
yara	ferita	yara	ferito		N;FEM;SG
yara	ferite	yara	ferita		N;FEM;PL
yara	cicatrici	yara	cicatore		N;FEM;PL
birleşmesi	fusioni	birleş	fusione	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;PL
birleşmesi	fusione	birleş	fusione	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
kayak	sciare	kayak	sciare	N;NOM;SG;3	V;NFIN
kayak	sciare	kayak	sciare	N;NOM;SG;3	V;NFIN
icd	icd	icd	icd		N;MASC
alabama	alabama	alaba	alabama	PROPN;NOM;SG;3	N;MASC;SG
cole	cole	cole	cole		N;MASC;SG
bombası	granata	bomba	granata		N;FEM;SG
montreal	montréal	montreal	montréal	PROPN;NOM;SG;3	N;MASC;SG
montreal	montreal	montreal	montreal	PROPN;NOM;SG;3	N;FEM;SG
masters	masters	masters	masters		N;MASC
masters	padroni	masters	padrone		N;MASC;PL
masters	maestri	masters	maestro		N;MASC;PL
engeller	ostacoli	engel	ostacolo		N;MASC;PL
engeller	blocchi	engel	blocco		N;MASC;PL
engeller	ostacoli	engel	ostacolo		N;MASC;PL
engeller	ostacoli	engel	ostacolo		N;MASC;PL
engeller	barriere	engel	barriera		N;FEM;PL
lorenzo	lorenzo	lorenzo	lorenzo	PROPN;NOM;SG;3	N;MASC;SG
çarpışma	impact	çarpış	impact	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;MASC
çarpışma	impatto	çarpış	impatto	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;MASC;SG
çarpışma	scontro	çarpış	scontro	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;MASC;SG
çarpışma	clash	çarpış	clash	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çarpışma	urto	çarpış	urto	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;MASC;SG
çarpışma	collisioni	çarpış	collisione	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;PL
çarpışma	collisione	çarpış	collisione	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;FEM;SG
atmosfer	atmosfere	atmosfer	atmosfere		N;FEM;PL
atmosfer	atmosfera	atmosfer	atmosfera		N;FEM;SG
atmosfer	atmosfere	atmosfer	atmosfere		N;FEM;PL
atmosfer	atmosferico	atmosfer	atmosferico		ADJ;MASC;SG
saz	carice	saz	carice		ADJ;FEM;SG
walt	walt	walt	walt		N;MASC;SG
primera	primera	primer	primera	PROPN;NOM;SG;3	N;FEM;SG
grace	grace	grace	grace		N;FEM;PL
grace	grazia	grace	grazia		N;FEM;SG
haberleşme	comunicazioni	haberleş	comunicazione		N;FEM;PL
haberleşme	comunicazione	haberleş	comunicazione		N;FEM;SG
haberleşme	telecomunicazione	haberleş	telecomunicazione		N;FEM;SG
haberleşme	telecomunicazioni	haberleş	telecomunicazione		N;FEM;PL
haberleşme	telecomunicazione	haberleş	telecomunicazione		N;FEM;SG
haberleşme	telecomunicazioni	haberleş	telecomunicazione		N;FEM;PL
haberleşme	comunicazioni	haberleş	comunicazione		N;FEM;PL
vandal	vandalo	vandal	vandalo		N;MASC;SG
jung	junghiano	jung	junghiano		N;MASC;SG
jung	jung	jung	jung		N;MASC
sihirli	magie	sihirli	magia		N;FEM;PL
sihirli	magica	sihirli	magico		ADJ;FEM;SG
sihirli	magia	sihirli	magia		N;FEM;SG
sihirli	magico	sihirli	magico		ADJ;MASC;SG
sihirli	magici	sihirli	magico		ADJ;MASC;PL
sihirli	magic	sihirli	magic		N
sihirli	magici	sihirli	magico		ADJ;MASC;PL
sihirli	magico	sihirli	magico		ADJ;MASC;SG
sihirli	magiche	sihirli	magico		ADJ;FEM;PL
sihirli	magica	sihirli	magico		ADJ;FEM;SG
savundu	difesi	savun	difendere	V;PFV;IND;SG;3;POS;PST	V;MASC;PL;PST;V.PTCP
korsan	hacker	kors	hacker	V;PFV;SG;2;POS;PRS	N
korsan	pirata	kors	pirata	V;PFV;SG;2;POS;PRS	N;MASC;SG
korsan	pirati	kors	pirata	V;PFV;SG;2;POS;PRS	N;MASC;PL
korsan	pirati	kors	pirata	V;PFV;SG;2;POS;PRS	N;MASC;PL
church	chiesa	church	chiesa	PROPN;NOM;SG;3	N;FEM;SG
ot	pentola	ot	pentola		N;FEM;SG
ot	erba	ot	erba		N;FEM;SG
ot	pot	ot	pot		N;MASC
ot	erba	ot	erba		N;FEM;SG
ot	erba	ot	erba		N;FEM;SG
everton	everton	everton	everton		N;MASC;SG
fukuoka	fukuoka	fukuoka	fukuoka	PROPN;NOM;SG;3	N;MASC
wagner	wagner	wagner	wagner	PROPN;NOM;SG;3	N;MASC;SG
marvel	meraviglia	marvel	meraviglia		N;FEM;SG
marvel	marvel	marvel	marvel		N;MASC
denklem	equazioni	denkle	equazione	N;NOM;SG;3	N;FEM;PL
fiziği	fisico	fizik	fisico	N;NOM;SG;3	ADJ;MASC;SG
dikdörtgen	rettangolari	dik	rettangolare		ADJ;PL
dikdörtgen	rettangolare	dik	rettangolare		ADJ;SG
split	spalato	split	spalato	PROPN;NOM;SG;3	ADJ;MASC;SG
split	split	split	split	PROPN;NOM;SG;3	N
hidroelektrik	idroelettrica	hidroelek	idroelettrico	N;NOM;SG;3	ADJ;FEM;SG
olympique	olympique	olympique	olympique	PROPN;NOM;SG;3	N;MASC
tugay	brigata	tugay	brigata		N;FEM;SG
kinetik	cinetica	kinetik	cinetico		N;FEM;SG
öldürdü	uccisi	öl	uccidere	V;PFV;IND;SG;3;POS;PST;CAUS	V;MASC;PL;PST;V.PTCP
öldürdü	uccise	öl	uccidere	V;PFV;IND;SG;3;POS;PST;CAUS	V;PL;PST;V.PTCP
öldürdü	abbattuti	öl	abbattere	V;PFV;IND;SG;3;POS;PST;CAUS	V;MASC;PL;PST;V.PTCP
öldürdü	uccide	öl	uccidere	V;PFV;IND;SG;3;POS;PST;CAUS	V;IND;SG;3;PRS;FIN
fransızlar	francese	fransız	francese	N;NOM;PL;3	ADJ;SG
esen	soffiare	es	soffiare		V;NFIN
rosa	rosa	rosa	rosa	PROPN;NOM;SG;3	N;FEM;SG
self	self	self	self		N
ein	ein	ein	ein	INTJ	N;MASC;SG
bakteri	batterica	bakteri	batterico		N;FEM;SG
bakteri	batteri	bakteri	batterio		N;MASC;PL
bakteri	batterio	bakteri	batterio		N;MASC;SG
bakteri	batterio	bakteri	batterio		N;MASC;SG
özlem	desiderio	özlem	desiderio		N;MASC;SG
özlem	voglie	özlem	volere		N;FEM;PL
tekil	unici	tekil	unico		ADJ;MASC;PL
tekil	unica	tekil	unico		ADJ;FEM;SG
tekil	unico	tekil	unico		ADJ;MASC;SG
tekil	uniche	tekil	unico		ADJ;FEM;PL
tekil	singolare	tekil	singolare		ADJ;SG
tekil	singolari	tekil	singolare		ADJ;PL
abdi	abdi	abdi	abdo		N;MASC;SG
leningrad	leningrado	leningrad	leningrado		ADJ;MASC;SG
castle	castello	cast	castello		N;MASC;SG
rain	xiaoyu	rain	xiaoyu		ADJ;SG
rain	rain	rain	rain		N
rain	pioggia	rain	pioggia		N;FEM;SG
eugene	eugene	eugen	eugeno	PROPN;NOM;SG;3	N;MASC;SG
eugene	eugenio	eugen	eugenio	PROPN;NOM;SG;3	N;MASC;SG
çakmak	accendini	çak	accendino		N;MASC;PL
çakmak	accendino	çak	accendere		N;MASC;SG
evrimsel	evolutiva	evrimsel	evolutivo		ADJ;FEM;SG
duyar	sente	duy	sentire		V;IND;SG;3;PRS;FIN
spin	spin	spin	spino		N;MASC
kaldırma	rimozione	kaldırma	rimozione		N;FEM;SG
kaldırma	ascensore	kaldırma	ascensore		N;MASC;SG
kaldırma	lift	kaldırma	lift		N
kaldırma	portanza	kaldırma	portanza		N;FEM;SG
kaldırma	lifting	kaldırma	lifting		N;MASC
kaldırma	sollevamento	kaldırma	sollevamento		N;MASC;SG
kaldırma	rimozione	kaldırma	rimozione		N;FEM;SG
emmanuel	emanuele	emmanuel	emanuela		N;MASC;SG
emmanuel	emmanuel	emmanuel	emmanuel		N;MASC;SG
gregory	gregorio	gregory	gregorio		N;MASC;SG
gregory	gregory	gregory	gregory		N;MASC;SG
aşı	vaccini	aş	vaccino		N;MASC;PL
aşı	inoculazione	aş	inoculazione		N;FEM;SG
aşı	vaccini	aş	vaccino		N;MASC;PL
aşı	vaccino	aş	vaccino		N;MASC;SG
feneri	faro	fener	faro		N;MASC;SG
atanan	assegnati	ata	assegnare		V;MASC;PL;PST;V.PTCP
atanan	assegnata	ata	assegnare		V;FEM;SG;PST;V.PTCP
atanan	assegnate	ata	assegnare		V;FEM;PL;PST;V.PTCP
atanan	assegnato	ata	assegnare		V;MASC;SG;PST;V.PTCP
atanan	nominato	ata	nominare		V;MASC;SG;PST;V.PTCP
atanan	nominati	ata	nominare		V;MASC;PL;PST;V.PTCP
atanan	nominate	ata	nominare		V;FEM;PL;PST;V.PTCP
esasen	sostanzialmente	esasen	sostanzialmente		ADV
esasen	essenzialmente	esasen	essenzialmente		ADV
ahlak	etico	ahlak	etico	N;NOM;SG;3	ADJ;MASC;SG
ahlak	vice	ahlak	vice	N;NOM;SG;3	ADJ
ahlak	morale	ahlak	morale	N;NOM;SG;3	ADJ;SG
ahlak	morali	ahlak	morale	N;NOM;SG;3	ADJ;PL
ahlak	morale	ahlak	morale	N;NOM;SG;3	ADJ;SG
ahlak	morali	ahlak	morale	N;NOM;SG;3	ADJ;PL
ahlak	morale	ahlak	morale	N;NOM;SG;3	ADJ;SG
dimitri	dmitrij	dimitri	dmitrijb		N;MASC;SG
dimitri	dmitry	dimitri	dmitry		N;MASC;SG
dimitri	dmitrij	dimitri	dmitrijb		N;MASC;SG
dimitri	dmitri	dimitri	dmitro		N;MASC;SG
dimitri	dimitri	dimitri	dimitro		N;MASC;SG
dimitri	dimitri	dimitri	dimitro		N;MASC;SG
duyuruldu	annunciati	duyur	annunciare	V;PFV;IND;SG;3;POS;PST;PASS	V;MASC;PL;PST;V.PTCP
malmö	malmö	malmö	malmö	PROPN;NOM;SG;3	N;MASC;SG
sözde	presumibilmente	söz	presumibilmente		ADV
sözde	sedicente	söz	sedicente		N;SG
sözde	presunta	söz	presunto		ADJ;FEM;SG
sözde	presunto	söz	presunto		ADJ;MASC;SG
sözde	presunte	söz	presunto		ADJ;FEM;PL
sözde	presumibilmente	söz	presumibilmente		ADV
şiddetle	fortemente	şiddet	fortemente	N;INS;SG;3	ADV
şiddetle	violentemente	şiddet	violentemente	N;INS;SG;3	ADV
şiddetle	violenze	şiddet	violenza	N;INS;SG;3	N;FEM;PL
şiddetle	ferocemente	şiddet	ferocemente	N;INS;SG;3	ADV
ajan	agenti	aj	agente		N;PL
ajan	agente	aj	agente		N;SG
harrison	harrison	harrison	harrison	PROPN;NOM;SG;3	N;MASC;SG
logosu	loghi	logo	logo	N;NOM;SG;3	N;MASC;PL
yasin	yasin	yasin	yasin		N
yasin	yassin	yasin	yassin		N
kaçak	runner	kaçak	runnere		N
kaçak	corridore	kaçak	corridore		N;MASC;SG
kaçak	latitante	kaçak	latitante		N;SG
kaçak	fuggitivo	kaçak	fuggitivo		ADJ;MASC;SG
kaçak	runaway	kaçak	runaway		N
çevirmen	traduttore	çevir	traduttore		N;MASC;SG
çevirmen	interprete	çevir	interprete		N;SG
çevirmen	interpreti	çevir	interprete		N;MASC;PL
çevirmen	traduzioni	çevir	traduzione		N;FEM;PL
çevirmen	traduzione	çevir	traduzione		N;FEM;SG
korunma	protezione	korun	protezione		N;FEM;SG
devil	devil	devil	devil		N
devil	demonio	devil	demonio		N;MASC;SG
devil	diavolo	devil	diavolo		N;MASC;SG
connecticut	connecticut	connecticut	connecticut		N;MASC;SG
uyku	pisolino	uyku	pisolino		N;MASC;SG
uyku	dormi	uyku	dormire		V;IMP;SG;2;PRS;FIN
uyku	sleep	uyku	sleep		N;MASC
uyku	sonno	uyku	sonno		N;MASC;SG
uyku	dormire	uyku	dormire		V;NFIN
uyku	sonno	uyku	sonno		N;MASC;SG
uyku	dormire	uyku	dormire		V;NFIN
uyku	dormendo	uyku	dormire		V;V.MSDR
meksikalı	messicani	meksikalı	messicano		N;MASC;PL
meksikalı	messicana	meksikalı	messicana		ADJ;FEM;SG
meksikalı	messicano	meksikalı	messicano		ADJ;MASC;SG
tanıma	riconoscimento	tanım	riconoscimento		N;MASC;SG
colin	colin	colin	colin		N;MASC;SG
golcü	scorer	golcü	scorere		N;MASC
kubbe	cupola	kubbe	cupola		N;FEM;SG
kubbe	duomo	kubbe	duomo		N;MASC;SG
kubbe	dome	kubbe	dome		N
rakam	cifre	rakam	cifra		N;FEM;PL
rakam	cifre	rakam	cifra		N;FEM;PL
rakam	cifra	rakam	cifra		N;FEM;SG
rakam	numero	rakam	numero		N;MASC;SG
jules	jules	jules	jules		N;MASC;SG
jules	giulio	jules	giulio		N;MASC;SG
imal	fabbricato	imal	fabbricato		N;MASC;SG
imal	fabbricati	imal	fabbricato		N;MASC;PL
patrik	patriarca	patrik	patriarca		N;MASC;SG
asil	nobile	asil	nobile		ADJ;SG
asil	nobili	asil	nobile		ADJ;PL
asil	noble	asil	nobla		N;FEM;SG
sürpriz	sorpresa	sürpriz	sorpresa		N;FEM;SG
hotspur	hotspur	hotspur	hotspurare	PROPN;NOM;SG;3	N;MASC
biter	finisce	bit	finire	V;IPFV;IND;SG;3;POS	V;IND;SG;3;PRS;FIN
biter	termina	bit	terminare	V;IPFV;IND;SG;3;POS	V;IND;SG;3;PRS;FIN
esnek	flessibilità	esnek	flessibilità		N;FEM
esnek	flessibili	esnek	flessibile		ADJ;PL
esnek	flessibile	esnek	flessibile		ADJ;SG
esnek	flessibilità	esnek	flessibilità		N;FEM
esnek	elastica	esnek	elastico		ADJ;FEM;SG
esnek	elastico	esnek	elastico		ADJ;MASC;SG
esnek	elastici	esnek	elastico		N;MASC;PL
esnek	flex	esnek	flex		N
cameron	cameron	cameron	cameron	PROPN;NOM;SG;3	N;MASC;SG
lopez	lópez	lopez	lópez		N;SG
lopez	lopez	lopez	lopez		
rıfat	rifat	rıfat	rifat	PROPN;NOM;SG;3	ADJ;SG
şikâyet	reclamo	şikâyet	reclamo		N;MASC;SG
şikâyet	denuncia	şikâyet	denuncia		N;FEM;SG
şikâyet	reclami	şikâyet	reclamo		N;MASC;PL
kalıntılar	rimane	kalıntı	rimanere	N;NOM;PL;3	V;IND;SG;3;PRS;FIN
kalıntılar	residuo	kalıntı	residuo	N;NOM;PL;3	ADJ;MASC;SG
günah	peccato	günah	peccato		ADJ;MASC;SG
günah	peccare	günah	peccare		V;NFIN
günah	sin	günah	sin		ADV
günah	peccati	günah	peccato		N;MASC;PL
günah	peccati	günah	peccato		N;MASC;PL
mide	pancia	mide	pancia		N;FEM;SG
mide	stomaco	mide	stomaco		N;MASC;SG
parma	parma	parma	parma	PROPN;NOM;SG;3	N;FEM;SG
mehdi	mehdi	mehdi	mehdo		N;MASC
denizci	marinai	denizci	marinaio		N;MASC;PL
denizci	sailor	denizci	sailore		N;SG
denizci	marinaio	denizci	marinaio		N;MASC;SG
denizci	marine	denizci	marina		N;FEM;PL
denizci	marino	denizci	marino		N;MASC;SG
denizci	marinaio	denizci	marinaio		N;MASC;SG
rika	rika	rika	rika	PROPN;NOM;SG;3	N;FEM;SG
joel	joel	joel	joel		N
elena	elena	elen	elena		N;FEM;SG
volga	volga	volga	volga		N;FEM;SG
kanatlı	alato	kanatlı	alato		ADJ;MASC;SG
vestfalya	vestfalia	vestfalya	vestfalia	PROPN;NOM;SG;3	N;FEM;SG
vestfalya	westfalia	vestfalya	westfalia	PROPN;NOM;SG;3	N;FEM;SG
crystal	crystal	crystal	crystal	PROPN;NOM;SG;3	N;SG
