din	from	din	from	ADP;ACC	N
cunoscută	conocidas	cunoscut	conocido	ADJ;INDF;FEM;SG	ADJ;FEM;PL;V.PTCP
cunoscută	conocidos	cunoscut	conocido	ADJ;INDF;FEM;SG	ADJ;MASC;PL;V.PTCP
decât	than	decât	than	ADV	N
aici	aca	aici	acair	ADV	INTJ
aici	aqui	aici	aqui	ADV	INTJ
mari	big	mare	big	ADJ;INDF;PL	N
mari	grande	mare	grande	ADJ;INDF;PL	ADJ;SG
mari	gran	mare	gran	ADJ;INDF;PL	ADJ;SG
mari	mari	mare	mari	ADJ;INDF;PL	PROPN
față	frontal	față	frontal	N;INDF;FEM;SG	ADJ;SG
est	este	est	este	N;INDF;MASC;SG	PRO;MASC;SG
nou	novedad	nou	novedad	ADJ;INDF;MASC;SG	N;FEM;SG
nou	nuevas	nou	nuevo	ADJ;INDF;MASC;SG	ADJ;FEM;PL
nou	nuevos	nou	nuevo	ADJ;INDF;MASC;SG	ADJ;MASC;PL
nou	novedades	nou	novedad	ADJ;INDF;MASC;SG	N;FEM;PL
ales	escogidos	ales	escogido	ADV	ADJ;MASC;PL;V.PTCP
ales	elegido	ales	elegido	ADV	ADJ;MASC;SG;V.PTCP
ales	escogido	ales	escogido	ADV	ADJ;MASC;SG;V.PTCP
ales	elegida	ales	elegido	ADV	ADJ;FEM;SG;V.PTCP
ales	escogida	ales	escogida	ADV	ADJ;FEM;SG;V.PTCP
ales	elegidos	ales	elegido	ADV	ADJ;MASC;PL;V.PTCP
având	habiendo	avea	haber	V;V.MSDR	V;V.MSDR
ioan	juan	ioan	juan	PROPN	PROPN
ioan	john	ioan	john	PROPN	PROPN
ioan	ioan	ioan	ir	PROPN	N;MASC;SG
ion	iones	ion	ion	N;INDF;MASC;SG	N;MASC;PL
rusă	rusia	rus	rusia	ADJ;INDF;FEM;SG	N;FEM;SG
rusă	rusas	rus	ruso	ADJ;INDF;FEM;SG	ADJ;FEM;PL
rusă	rusos	rus	ruso	ADJ;INDF;FEM;SG	N;MASC;PL
isbn	isbn	isbn	isbn		N
doi	two	doi	two	NUM;MASC;PL	PROPN
același	mismo	același	mismo	DET;MASC;SG;3	ADJ;MASC;SG
același	misma	același	mismo	DET;MASC;SG;3	DET;FEM;SG
același	igual	același	igual	DET;MASC;SG;3	ADV
dată	date	dată	date	N;INDF;FEM;SG	V;IND;SG;2;PRS;FIN
numit	llamados	numit	llamado	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
numit	llamé	numit	llamar	ADJ;INDF;MASC;SG	V;IND;SG;1;PST;FIN
descrisă	descritos	descris	descrito	ADJ;INDF;FEM;SG	ADJ;MASC;PL;V.PTCP
oficial	funcionario	oficial	funcionario	ADJ;INDF;MASC;SG	N;MASC;SG
oficial	official	oficial	official	ADJ;INDF;MASC;SG	N
oficial	funcionaria	oficial	funcionaria	ADJ;INDF;MASC;SG	N;FEM;SG
oficial	oficialmente	oficial	oficialmente	ADJ;INDF;MASC;SG	ADV
nici	ni	nici	ni	ADV	CONJ
nici	nor	nici	nor	ADV	N
împotriva	against	împotriva	against	ADP;GEN	N
saint	santo	saint	santo	N;INDF;MASC;SG	
saint	santa	saint	santo	N;INDF;MASC;SG	ADJ;FEM;SG
împreună	juntos	împreună	junto	ADV	ADJ;MASC;PL
împreună	juntas	împreună	junto	ADV	ADJ;FEM;PL
împreună	together	împreună	together	ADV	N
specia	especies	specie	especie	N;DEF;FEM;SG	N;FEM;PL
vest	occidental	vest	occidental	N;INDF;MASC;SG	ADJ;SG
vest	occidental	vest	occidental	N;INDF;MASC;SG	ADJ;SG
vest	occidentales	vest	occidental	N;INDF;MASC;SG	ADJ;PL
italia	italia	italia	italia	PROPN	PROPN
italia	italia	italia	italia	PROPN	PROPN
puțin	little	puțin	little	ADV	N
puțin	pequeño	puțin	pequeño	ADV	ADJ;MASC;SG
puțin	pequeña	puțin	pequeño	ADV	ADJ;FEM;SG
puțin	poquito	puțin	poquito	ADV	ADJ;MASC;SG
încă	todavia	încă	todavia	ADV	INTJ
încă	still	încă	still	ADV	N
descoperit	descubierto	descoperit	descubrir	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
descoperit	descubiertas	descoperit	descubierto	ADJ;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
descoperit	descubiertos	descoperit	descubierto	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
descoperit	descubrió	descoperit	descubrir	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
descoperit	descubiertas	descoperit	descubierto	ADJ;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
descoperit	descubierto	descoperit	descubrir	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
înainte	forward	înainte	forward	ADV	N
înainte	delantero	înainte	delantero	ADV	N;MASC;SG
lemn	maderas	lemn	madera	N;INDF;MASC;SG	N;FEM;PL
noi	novedad	eu	novedad	PRO;PL;1	N;FEM;SG
noi	nuevas	eu	nuevo	PRO;PL;1	ADJ;FEM;PL
noi	nuevos	eu	nuevo	PRO;PL;1	ADJ;MASC;PL
noi	nuevo	eu	nuevo	PRO;PL;1	ADJ;MASC;SG
noi	novedades	eu	novedad	PRO;PL;1	N;FEM;PL
noi	nueva	eu	nuevo	PRO;PL;1	ADJ;FEM;SG
nicolae	nicolás	nicolae	nicolás	PROPN	N;MASC;SG
nicolae	nicholas	nicolae	nichola	PROPN	N;SG
nicolae	nicolae	nicolae	nicolae	PROPN	N;MASC;SG
națională	nacionales	național	nacional	ADJ;INDF;FEM;SG	ADJ;PL
subspecii	subespecie	subspeciu	subespecie	N;DEF;FEM;PL	N;FEM;SG
roman	romana	roman	romano	N;INDF;MASC;SG	ADJ;FEM;SG
roman	romanos	roman	romano	N;INDF;MASC;SG	N;MASC;PL
roman	romano	roman	romano	N;INDF;MASC;SG	ADJ;MASC;SG
drept	recto	drept	recto		ADJ;MASC;SG
drept	directo	drept	directo		ADJ;MASC;SG
drept	recta	drept	recta		N;FEM;SG
drept	directamente	drept	directamente		ADV
drept	heterosexual	drept	heterosexual		ADJ;SG
american	american	american	americar	ADJ;INDF;MASC;SG	N;FEM;SG
american	americanos	american	americano	ADJ;INDF;MASC;SG	N;MASC;PL
fiecare	cada	fiecare	cada	PRO;SG;3	DET;SG
fiecare	cada	fiecare	cada	PRO;SG;3	DET;SG
prezent	presente	prezent	presente	N;INDF;MASC;SG	ADJ;SG
cluj	cluj	cluj	cluj	PROPN	N;MASC;SG
bine	buenas	bine	buen	ADV	ADJ;FEM;PL
bine	bueno	bine	buen	ADV	INTJ
bine	buena	bine	buen	ADV	ADJ;FEM;SG
bine	buenos	bine	buen	ADV	ADJ;MASC;PL
bine	okey	bine	okey	ADV	INTJ
bine	okay	bine	okay	ADV	N
bine	ok	bine	ok	ADV	INTJ
bine	vale	bine	valer	ADV	V;IND;SG;3;PRS;FIN
site	sitio	sită	sitio	N;INDF;FEM;PL	N;MASC;SG
site	site	sită	sitir	N;INDF;FEM;PL	N;MASC;SG
alexandru	alexandru	alexandru	alexandru	PROPN	ADJ;SG
alexandru	alejandro	alexandru	alejandro	PROPN	
unele	some	unul	some	PRO;FEM;PL;3	N
milioane	millones	milion	millón	NUM;INDF;FEM;PL	N;MASC;PL
milioane	millón	milion	millón	NUM;INDF;FEM;PL	N;MASC;SG
milioane	millon	milion	millon	NUM;INDF;FEM;PL	N;MASC;SG
milioane	millones	milion	millón	NUM;INDF;FEM;PL	N;MASC;PL
doua	dos	doi	dos	NUM;FEM;SG	NUM;PL
doua	two	doi	two	NUM;FEM;SG	PROPN
iași	iaşi	iași	iaşi	PROPN	ADJ;SG
ori	ori	ori	ori	CONJ;POS	N
sate	poblados	sat	poblado	N;INDF;FEM;PL	ADJ;MASC;PL;V.PTCP
târziu	tardía	târziu	tarder	ADV	ADJ;FEM;SG
maria	maria	maria	mario	N;DEF;FEM;SG	
cunoscut	conocidas	cunoscut	conocido	ADJ;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
cunoscut	conocidos	cunoscut	conocido	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
patru	four	patru	four	NUM;PL	N
formată	formadas	forma	formado	ADJ;INDF;FEM;SG	ADJ;FEM;PL;V.PTCP
formată	formados	forma	formado	ADJ;INDF;FEM;SG	ADJ;MASC;PL;V.PTCP
paris	paris	paris	pari	PROPN	N;SG
paris	parís	paris	parís	PROPN	PROPN
gheorghe	gheorghe	gheorghe	gheorghe	PROPN	N;MASC;SG
gheorghe	jordi	gheorghe	jordi	PROPN	PROPN
gheorghe	jorge	gheorghe	jorge	PROPN	PROPN
tip	guy	tip	guy	N;INDF;MASC;SG	PROPN
tip	escribe	tip	escribir	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
tip	escriba	tip	escribir	N;INDF;MASC;SG	V;IMP;SG;3;FIN
premiul	premiado	premiu	premiado	N;DEF;MASC;SG	ADJ;MASC;SG;V.PTCP
premiul	premios	premiu	premio	N;DEF;MASC;SG	N;MASC;PL
putea	podrían	putea	poder	V;IND;SG;3;IPFV;FIN	V;COND;PL;3;FIN
putea	podría	putea	poder	V;IND;SG;3;IPFV;FIN	V;COND;SG;3;FIN
putea	podria	putea	podria	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
persoane	pueblo	persoană	pueblo	N;INDF;FEM;PL	N;MASC;SG
persoane	gente	persoană	gente	N;INDF;FEM;PL	N;FEM;SG
constantin	constantin	constantin	constantin	PROPN	N;MASC;SG
constantin	constantine	constantin	constantine	PROPN	N;SG
constantin	constantino	constantin	constantino	PROPN	N;MASC;SG
george	jordi	george	jordi	PROPN	PROPN
george	jorge	george	jorge	PROPN	PROPN
născut	nacidos	naște	nacido	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
născut	born	naște	born	ADJ;INDF;MASC;SG	N
harta	mapas	hartă	mapa	N;DEF;FEM;SG	N;MASC;PL
john	juan	john	juan	PROPN	PROPN
john	john	john	john	PROPN	PROPN
jos	down	jos	down	ADV	N
scris	escrito	scris	escrito	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
scris	escritas	scris	escrito	N;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
scris	escrita	scris	escrito	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
scris	escritos	scris	escrito	N;INDF;MASC;SG	N;MASC;PL
raport	reportar	raport	reportar	N;INDF;MASC;SG	V;NFIN
raport	denunciar	raport	denunciar	N;INDF;MASC;SG	V;NFIN
diferite	distinta	diferit	distinto	ADJ;INDF;FEM;PL	ADJ;FEM;SG
diferite	diferente	diferit	diferente	ADJ;INDF;FEM;PL	ADJ;SG
diferite	distintos	diferit	distinto	ADJ;INDF;FEM;PL	PRO;MASC;PL
diferite	distinto	diferit	distinto	ADJ;INDF;FEM;PL	ADJ;MASC;SG
special	especiales	special	especial	ADV	ADJ;PL
special	especial	special	especial	ADV	ADJ;SG
special	special	special	special	ADV	N
valea	valea	vale	valear	N;DEF;FEM;SG	
comune	articulación	comun	articulación	ADJ;INDF;FEM;PL	N;FEM;SG
comune	joint	comun	joint	ADJ;INDF;FEM;PL	N
comune	porro	comun	porro	ADJ;INDF;FEM;PL	N;MASC;SG
comune	articulaciones	comun	articulación	ADJ;INDF;FEM;PL	N;FEM;PL
comune	conjunta	comun	conjunto	ADJ;INDF;FEM;PL	ADJ;FEM;SG
stadium	estadio	stadium	estadio	PROPN	N;MASC;SG
stadium	stadium	stadium	stadium	PROPN	N;MASC;SG
dat	dado	dat	dar	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
dat	dados	dat	dado	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
slovenia	eslovenia	slovenie	eslovenia	PROPN	N;FEM;SG
americii	america	americ	america	PROPN;DEF;FEM;SG	N;FEM;SG
americii	américa	americ	américa	PROPN;DEF;FEM;SG	N;FEM;SG
satului	poblado	sat	poblado	N;DEF;MASC;SG	ADJ;MASC;SG;V.PTCP
resedinta	residence	resedinta	residence	N;DEF;FEM;SG	V;IND;SG;3;PRS;FIN
bun	buenas	bun	buen	ADJ;INDF;MASC;SG	ADJ;FEM;PL
bun	bien	bun	bien	ADJ;INDF;MASC;SG	ADV
bun	bueno	bun	buen	ADJ;INDF;MASC;SG	INTJ
bun	buenos	bun	buen	ADJ;INDF;MASC;SG	ADJ;MASC;PL
cet	cet	cet	cet		N
format	constituido	format	constituido	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
format	formado	format	formado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
format	formadas	format	formado	N;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
format	formada	format	formado	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
format	formados	format	formado	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
primit	recibidas	primi	recibido	V;MASC;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
primit	recibida	primi	recibido	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
primit	recibidos	primi	recibido	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
primit	recibido	primi	recibido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
lângă	cerca	lângă	cerca	ADP;ACC	ADV
oameni	pueblo	om	pueblo	N;INDF;MASC;PL	N;MASC;SG
oameni	gente	om	gente	N;INDF;MASC;PL	N;FEM;SG
istoric	históricas	istoric	histórico	ADJ;INDF;MASC;SG	ADJ;FEM;PL
istoric	históricos	istoric	histórico	ADJ;INDF;MASC;SG	ADJ;MASC;PL
istoric	historiador	istoric	historiador	ADJ;INDF;MASC;SG	N;MASC;SG
istoric	históricas	istoric	histórico	ADJ;INDF;MASC;SG	ADJ;FEM;PL
istoric	históricos	istoric	histórico	ADJ;INDF;MASC;SG	ADJ;MASC;PL
istoric	historia	istoric	historia	ADJ;INDF;MASC;SG	N;FEM;SG
istoric	historial	istoric	historial	ADJ;INDF;MASC;SG	N;MASC;SG
suprafață	superficial	suprafață	superficial	N;INDF;FEM;SG	ADJ;SG
europa	europa	europa	europa	PROPN	N;FEM;SG
europa	europa	europa	europa	PROPN	N;FEM;SG
universitatea	universitarios	universitate	universitario	N;DEF;FEM;SG	N;MASC;PL
universitatea	universidades	universitate	universidad	N;DEF;FEM;SG	N;FEM;PL
copii	niñez	copil	niñez	N;INDF;MASC;PL	N;FEM;SG
