til	für	til	für	ADV	ADP
under	unterhalb	under	unterhalb	ADV	ADP
under	under	under	under	ADV	
under	unter	under	unter	ADV	ADP
hans	hans	hans	hans	DET;3	PROPN;NOM;MASC;SG
over	über	over	über	ADV	ADP
over	über	over	über	ADV	ADP
første	zuerst	første	zuerst	ADJ	ADV
første	first	første	fersen	ADJ	PROPN
henvisninger	empfehlungen	henvisning	empfehlingen	N;INDF;MASC+FEM;PL	V;NFIN
henvisninger	verweise	henvisning	verweisen	N;INDF;MASC+FEM;PL	
henvisninger	verweise	henvisning	verweisen	N;INDF;MASC+FEM;PL	
henvisninger	referenzen	henvisning	referenzen	N;INDF;MASC+FEM;PL	V;NFIN
dansk	dänische	dansk	dänisch	ADJ;INDF;SG	ADJ;NOM;FEM;PL
dansk	dansk	dansk	dansk	ADJ;INDF;SG	
mod	courage	mod	courage	N;INDF;NEUT;SG	PROPN;NOM;SG
mod	mutig	mod	mutig	N;INDF;NEUT;SG	ADJ
mod	tapferkeit	mod	tapferkeit	N;INDF;NEUT;SG	
mod	gegen	mod	gegen	N;INDF;NEUT;SG	ADP
mod	dagegen	mod	dagegen	N;INDF;NEUT;SG	ADV
mod	mod	mod	mod	N;INDF;NEUT;SG	
hun	she	hun	she	PRO;NOM;MASC+FEM;SG;3	PROPN
andre	sonstiges	anden	sonstig	PRO;PL	ADJ;NOM;NEUT;SG
andre	andere	anden	ander	PRO;PL	ADJ;NOM;FEM;PL
andre	anderen	anden	ander	PRO;PL	ADJ;NOM;PL
andre	sonstige	anden	sonstig	PRO;PL	ADJ;NOM;FEM;PL
andre	anderes	anden	ander	PRO;PL	ADJ;NOM;NEUT;SG
andre	sonstiges	anden	sonstig	PRO;PL	ADJ;NOM;NEUT;SG
andre	andere	anden	ander	PRO;PL	ADJ;NOM;FEM;PL
andre	anderen	anden	ander	PRO;PL	ADJ;NOM;PL
andre	sonstige	anden	sonstig	PRO;PL	ADJ;NOM;FEM;PL
fik	got	få	got	V;IND;PST;FIN;ACT	PROPN
fik	habe	få	haben	V;IND;PST;FIN;ACT	V;SBJV;SG;3;PRS;FIN
fik	hab	få	haben	V;IND;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
del	del	del	del	N;INDF;MASC+FEM;SG	PROPN;SG
del	teilweise	del	teilweise	N;INDF;MASC+FEM;SG	ADV
del	teil	del	teil	N;INDF;MASC+FEM;SG	ADV
del	teile	del	teilen	N;INDF;MASC+FEM;SG	ADV
del	teilen	del	teilen	N;INDF;MASC+FEM;SG	V;NFIN
del	share	del	shar	N;INDF;MASC+FEM;SG	
del	anteil	del	anteil	N;INDF;MASC+FEM;SG	ADV
født	born	føde	born	V;INDF;SG;PST;V.PTCP	
mellem	dazwischen	mellem	dazwischen	ADP	ADV
flere	mehrere	mange	mehrere	ADJ;CMPR;PL	PRO;NOM;INDF;PL
flere	vielfachen	mange	vielfach	ADJ;CMPR;PL	V;NFIN
flere	mehrere	mange	mehrere	ADJ;CMPR;PL	PRO;NOM;INDF;PL
flere	weiteres	mange	weit	ADJ;CMPR;PL	ADJ;NOM;NEUT;SG
flere	mehr	mange	mehr	ADJ;CMPR;PL	ADV
deres	deren	deres	der	DET;3	DET;GEN;PL
alle	alle	al	alle	ADJ;PL	PRO;NOM;INDF;PL
alle	alles	al	alle	ADJ;PL	PRO;NOM;INDF;NEUT;SG
alle	all	al	all	ADJ;PL	ADV
alle	jeder	al	jed	ADJ;PL	PRO;NOM;INDF;MASC;SG
alle	alle	al	alle	ADJ;PL	PRO;NOM;INDF;PL
alle	jedem	al	jed	ADJ;PL	PRO;DAT;INDF;MASC;SG
alle	jedermann	al	jedermann	ADJ;PL	ADV
danmark	dänemark	danmark	dänemark		PROPN;NOM;NEUT;SG
mange	vieles	mange	viel	ADJ;PL	PRO;NOM;INDF;NEUT;SG
team	mannschaft	team	mannschaft	N;INDF;NEUT;SG	ADJ
kunne	könnte	kunne	können	V;IND;PST;FIN;ACT	V;SBJV;SG;3;PST;FIN
kunne	könnten	kunne	können	V;IND;PST;FIN;ACT	V;SBJV;PL;3;PST;FIN
kunne	konnte	kunne	können	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
danske	danske	dansk	dansk	ADJ;PL	PROPN
senere	späteren	senere	spät	ADV;CMPR	ADJ
senere	spätere	senere	spät	ADV;CMPR	ADJ;NOM;FEM;PL
senere	später	senere	spät	ADV;CMPR	ADJ
kun	einzige	kun	einzig	ADV	ADJ;NOM;FEM;PL
kun	einzig	kun	einzig	ADV	ADJ
kun	einzigen	kun	einzig	ADV	ADJ;NOM;PL
tidligere	früher	tidligere	früher	ADV;CMPR	ADJ
tidligere	frühere	tidligere	früh	ADV;CMPR	ADJ;NOM;FEM;PL
tidligere	vorhin	tidligere	vorhin	ADV;CMPR	
tidligere	früher	tidligere	früher	ADV;CMPR	ADJ
tidligere	ehemaligen	tidligere	ehemalig	ADV;CMPR	ADJ;NOM;PL
tidligere	ehemaliger	tidligere	ehemalig	ADV;CMPR	ADJ
tidligere	ehemalige	tidligere	ehemalig	ADV;CMPR	ADJ;NOM;FEM;PL
tidligere	frühere	tidligere	früh	ADV;CMPR	ADJ;NOM;FEM;PL
tidligere	frühere	tidligere	früh	ADV;CMPR	ADJ;NOM;FEM;PL
tidligere	vorherige	tidligere	vorherig	ADV;CMPR	ADJ;NOM;FEM;PL
tidligere	vorhergehende	tidligere	vorhergehend	ADV;CMPR	ADJ;NOM;FEM;PL
tidligere	früheren	tidligere	früh	ADV;CMPR	ADJ
tidligere	vorheriger	tidligere	vorherig	ADV;CMPR	ADJ
siden	seit	siden	seit	ADV	ADP
siden	seite	siden	seit	ADV	N
siden	seiten	siden	seiten	ADV	V;NFIN
skal	sollte	skulle	sollen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PST;FIN
skal	soll	skulle	sollen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
skal	sollten	skulle	sollen	V;IND;PRS;FIN;ACT	V;IND;PL;3;PST;FIN
skal	sollen	skulle	sollen	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
skal	muschel	skulle	muschel	V;IND;PRS;FIN;ACT	
skal	hülle	skulle	hüllen	V;IND;PRS;FIN;ACT	
skal	shell	skulle	shell	V;IND;PRS;FIN;ACT	PROPN
skal	schale	skulle	schale	V;IND;PRS;FIN;ACT	;NOM;SG
skal	soll	skulle	sollen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
skal	muss	skulle	müssen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
skal	muß	skulle	müssen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
skal	mussen	skulle	mussen	V;IND;PRS;FIN;ACT	
skal	müssen	skulle	müssen	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
skal	must	skulle	müssen	V;IND;PRS;FIN;ACT	PROPN
have	gartenanlage	have	gartenanlage	V;NFIN;ACT	ADJ;NOM;FEM;SG
have	gartens	have	gartens	V;NFIN;ACT	N;NOM;NEUT;SG
have	habe	have	haben	V;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
mere	weiteres	mere	weit	ADV;CMPR	ADJ;NOM;NEUT;SG
mere	weitere	mere	weit	ADV;CMPR	ADJ;NOM;FEM;PL
store	grosse	stor	groß	ADJ;PL	N;NOM;FEM;PL
store	big	stor	bigen	ADJ;PL	
store	großes	stor	groß	ADJ;PL	ADJ;NOM;NEUT;SG
meget	very	meget	very	ADJ;INDF;SG	
meget	sehr	meget	sehr	ADJ;INDF;SG	ADV
meget	äußerst	meget	äußerst	ADJ;INDF;SG	ADV
meget	vieles	meget	viel	ADJ;INDF;SG	PRO;NOM;INDF;NEUT;SG
meget	much	meget	machen	ADJ;INDF;SG	
meget	viel	meget	viel	ADJ;INDF;SG	ADV
sammen	gemeinsam	sammen	gemeinsam	ADV	ADJ
bliver	bleibe	blive	bleiben	V;IND;PRS;FIN;ACT	
samme	gleich	samme	gleich	ADJ	ADV
samme	selbe	samme	selb	ADJ	
samme	dasselbe	samme	dasselbe	ADJ	ADV
vil	will	ville	wollen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
vil	werden	ville	werden	V;IND;PRS;FIN;ACT	V;NFIN;PASS
vil	wird	ville	werden	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN;PASS
vil	wille	ville	willen	V;IND;PRS;FIN;ACT	
vil	werde	ville	werden	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
vil	will	ville	wollen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
vil	wollen	ville	wollen	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
vil	möchten	ville	mögen	V;IND;PRS;FIN;ACT	V;IND;PL;3;PST;FIN
seed	nachkommen	seed	nachkommen		V;NFIN
seed	saatgut	seed	saatgut		PROPN
seed	saat	seed	saat		PROPN
seed	seed	seed	seed		
ham	er	han	er	PRO;ACC;MASC+FEM;SG;3	PRO;NOM;MASC;SG;3
ham	ihm	han	er	PRO;ACC;MASC+FEM;SG;3	PRO;DAT;MASC;SG;3
omkring	über	omkring	über	ADV	ADP
omkring	um	omkring	um	ADV	ADP
selv	überhaupt	selv	überhaupt	PRO	ADV
selv	selbst	selv	selbst	PRO	ADV
selv	sogar	selv	sogar	PRO	ADV
selv	auch	selv	auch	PRO	ADV
københavn	kopenhagen	københavn	kopenhagen	PROPN	PROPN;NOM;NEUT;SG
kom	komme	komme	kommen	V;IND;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
kom	come	komme	come	V;IND;PST;FIN;ACT	PROPN
kom	kommt	komme	kommen	V;IND;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
kom	komm	komme	komm	V;IND;PST;FIN;ACT	V;IND;SG;2;PRS;FIN
skulle	sollte	skulle	sollen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
skulle	soll	skulle	sollen	V;IND;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
skulle	sollten	skulle	sollen	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
skulle	sollen	skulle	sollen	V;IND;PST;FIN;ACT	V;IND;PL;3;PRS;FIN
and	enten	and	enten		
and	ente	and	ent		
and	duck	and	duck		PROPN;NOM;SG
tre	tre	tre	tre	NUM	PROPN;NOM;SG
tre	dreien	tre	dreien	NUM	
tre	three	tre	threen	NUM	PROPN
tre	dreier	tre	dreier	NUM	
byen	stadt	by	staden	N;DEF;MASC+FEM;SG	
byen	ortschaft	by	ortschaft	N;DEF;MASC+FEM;SG	ADJ
byen	stadt	by	staden	N;DEF;MASC+FEM;SG	
disse	diesen	denne	dies	PRO;PL	PRO;ACC;MASC;SG
disse	diese	denne	dies	PRO;PL	PRO;NOM;FEM;SG
maj	mai	maj	mai	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
maj	kann	maj	können	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
maj	may	maj	maylen	N;INDF;MASC+FEM;SG	PROPN
maj	möge	maj	mögen	N;INDF;MASC+FEM;SG	V;SBJV;SG;3;PRS;FIN
maj	darf	maj	dürfen	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
anden	sekunde	anden	sekunde	PRO;MASC+FEM;SG	
anden	zweiter	anden	zweit	PRO;MASC+FEM;SG	ADJ
anden	zweite	anden	zweit	PRO;MASC+FEM;SG	ADJ;NOM;FEM;PL
anden	zweiten	anden	zweit	PRO;MASC+FEM;SG	ADJ;NOM;MASC;PL
mens	weile	mens	weil	CONJ	ADV
andet	sekunde	anden	sekunde	PRO;NEUT;SG	
andet	zweiter	anden	zweit	PRO;NEUT;SG	ADJ
andet	zweite	anden	zweit	PRO;NEUT;SG	ADJ;NOM;FEM;PL
andet	zweiten	anden	zweit	PRO;NEUT;SG	ADJ;NOM;MASC;PL
andet	sonstiges	anden	sonstig	PRO;NEUT;SG	ADJ;NOM;NEUT;SG
andet	andere	anden	ander	PRO;NEUT;SG	ADJ;NOM;FEM;PL
andet	anderen	anden	ander	PRO;NEUT;SG	ADJ;NOM;PL
andet	sonstige	anden	sonstig	PRO;NEUT;SG	ADJ;NOM;FEM;PL
andet	anderes	anden	ander	PRO;NEUT;SG	ADJ;NOM;NEUT;SG
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
dag	tage	dag	tagen	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
tilbage	rücken	tilbage	rücken	ADV	V;NFIN
tilbage	rückseite	tilbage	rückseite	ADV	ADJ
kommune	stadtverwaltung	kommune	stadtverwaltung	N;INDF;MASC+FEM;SG	PROPN
cest	cest	cest	cest		
død	todes	død	tod	N;INDF;MASC+FEM;SG	
død	tode	død	toden	N;INDF;MASC+FEM;SG	ADV
død	tod	død	tod	N;INDF;MASC+FEM;SG	
død	dead	død	dead	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
død	tote	død	tot	N;INDF;MASC+FEM;SG	
død	tot	død	tot	N;INDF;MASC+FEM;SG	ADJ
død	toten	død	toten	N;INDF;MASC+FEM;SG	V;PL;FIN
dem	ihnen	de	sie	PRO;ACC;PL;3	PRO;DAT;PL;3
august	august	august	augusten	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
gang	zeit	gang	zeit	N;INDF;MASC+FEM;SG	ADJ
gang	uhrzeit	gang	uhrzeit	N;INDF;MASC+FEM;SG	ADJ
gang	zeiten	gang	zeiten	N;INDF;MASC+FEM;SG	V;NFIN
gang	zeitraum	gang	zeitraum	N;INDF;MASC+FEM;SG	ADV
gang	zeitpunkt	gang	zeitpunkt	N;INDF;MASC+FEM;SG	ADJ
forskellige	diverse	forskellig	divers	ADJ;PL	N;NOM;FEM;PL
tid	zeit	tid	zeit	N;INDF;MASC+FEM;SG	ADJ
tid	uhrzeit	tid	uhrzeit	N;INDF;MASC+FEM;SG	ADJ
tid	zeiten	tid	zeiten	N;INDF;MASC+FEM;SG	V;NFIN
tid	zeitraum	tid	zeitraum	N;INDF;MASC+FEM;SG	ADV
tid	zeitpunkt	tid	zeitpunkt	N;INDF;MASC+FEM;SG	ADJ
nye	neuen	ny	neu	ADJ;PL	ADJ;ACC;MASC;SG
nye	neues	ny	neu	ADJ;PL	ADJ;NOM;NEUT;SG
både	boote	både	bioten	ADV	N;NOM;NEUT;PL
både	schiffe	både	schiff	ADV	N;NOM;NEUT;PL
både	sowohl	både	sowohl	ADV	CONJ
både	beiden	både	beide	ADV	PRO;NOM;INDF;PL
både	beide	både	beide	ADV	PRO;NOM;INDF;PL
både	beides	både	beide	ADV	PRO;NOM;INDF;NEUT;SG
både	beider	både	beide	ADV	PRO;NOM;INDF;PL
januar	jänner	januar	jann	N;INDF;MASC+FEM;SG	
januar	januar	januar	januar	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
januar	january	januar	january	N;INDF;MASC+FEM;SG	
gennem	via	gennem	via	ADV	
gennem	über	gennem	über	ADV	ADP
gennem	per	gennem	per	ADV	ADP
gennem	durch	gennem	durch	ADV	ADP
stor	großen	stor	groß	ADJ;INDF;MASC+FEM;SG	ADJ;PL
stor	große	stor	groß	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
stor	grosse	stor	groß	ADJ;INDF;MASC+FEM;SG	N;NOM;FEM;PL
stor	big	stor	bigen	ADJ;INDF;MASC+FEM;SG	
stor	großen	stor	groß	ADJ;INDF;MASC+FEM;SG	ADJ;PL
stor	große	stor	groß	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
stor	great	stor	greaen	ADJ;INDF;MASC+FEM;SG	PROPN
stor	große	stor	groß	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
usa	amerika	usa	amerika	PROPN	
usa	mittelamerika	usa	mittelamerika	PROPN	ADJ
usa	usa	usa	usa	PROPN	PROPN;NOM;MASC;PL
uden	ohne	uden	ohne	ADV	ADP
uden	without	uden	withouen	ADV	
hold	hold	holde	hold	V;IMP	PROPN
hold	halt	holde	halt	V;IMP	ADV
hold	mannschaften	holde	mannschaften	V;IMP	N;NOM;PL
hold	teams	holde	teams	V;IMP	N;NOM;NEUT;PL
hold	mannschaft	holde	mannschaft	V;IMP	ADJ
hold	team	holde	team	V;IMP	N;NOM;NEUT;SG
når	wann	når	wann	CONJ	ADV
juni	juni	juni	juni	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
juni	june	juni	jun	N;INDF;MASC+FEM;SG	PROPN
kendt	bekannte	kendt	bekannt	ADJ;INDF;SG	ADJ;NOM;PL
kendt	bekannten	kendt	bekannt	ADJ;INDF;SG	ADJ;PL
kendt	berühmte	kendt	berühmt	ADJ;INDF;SG	ADJ;NOM;PL
kendt	berühmten	kendt	berühmt	ADJ;INDF;SG	ADJ;PL
før	vor	før	vor	ADV	ADP
før	bevor	før	bevor	ADV	CONJ
hvilket	welches	hvilken	welch	PRO;NEUT;SG	PRO;NOM;NEUT;SG
hvilket	welcher	hvilken	welch	PRO;NEUT;SG	PRO;NOM;MASC;SG
hvilket	welche	hvilken	welch	PRO;NEUT;SG	PRO;NOM;SG
hvilket	welchen	hvilken	welch	PRO;NEUT;SG	PRO;NOM;SG
sogn	parish	sogn	parish	N;INDF;NEUT;SG	PROPN
sogn	pfarrei	sogn	pfarrei	N;INDF;NEUT;SG	PROPN;NOM;SG
sogn	kirchengemeinde	sogn	kirchengemeinde	N;INDF;NEUT;SG	ADJ;NOM;FEM;PL
september	september	september	september	N;INDF;MASC+FEM;SG	PROPN;SG
mest	most	mest	most	ADV;RL	
mest	meisten	mest	meist	ADV;RL	ADJ;NOM;INDF;PL
april	april	april	april	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
oktober	oktober	oktober	oktober	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
oktober	october	oktober	october	N;INDF;MASC+FEM;SG	PROPN
marts	marsch	marts	marsch	N;INDF;MASC+FEM;SG	ADJ
marts	march	marts	march	N;INDF;MASC+FEM;SG	PROPN
marts	märz	marts	märz	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
hele	ganzen	hel	ganz	ADJ;DEF;SG	ADJ;NOM;MASC;PL
hele	ganze	hel	ganz	ADJ;DEF;SG	ADJ;NOM;FEM;PL
juli	juli	juli	juli	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
juli	july	juli	july	N;INDF;MASC+FEM;SG	
juli	juli	juli	juli	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
kirke	kirchen	kirke	Kirche	N;INDF;MASC+FEM;SG	N;PL
kirke	church	kirke	church	N;INDF;MASC+FEM;SG	PROPN
kirke	kirche	kirke	kirche	N;INDF;MASC+FEM;SG	
række	datensätze	række	datensatz	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
række	zeilen	række	zeilen	N;INDF;MASC+FEM;SG	N;PL
række	zeile	række	zeilen	N;INDF;MASC+FEM;SG	
række	reihen	række	reih	N;INDF;MASC+FEM;SG	V;NFIN
række	reihe	række	reih	N;INDF;MASC+FEM;SG	;SG
række	rudern	række	rudern	N;INDF;MASC+FEM;SG	V;NFIN
række	zeile	række	zeilen	N;INDF;MASC+FEM;SG	
derfor	folglich	derfor	folglich	ADV	ADJ
derfor	folglich	derfor	folglich	ADV	ADJ
style	stil	style	stil		ADJ
style	style	style	stylen		
navn	namen	navn	name	N;INDF;NEUT;SG	
navn	bezeichnung	navn	Bezeichnung	N;INDF;NEUT;SG	ADJ
navn	vorname	navn	vornam	N;INDF;NEUT;SG	
ofte	häufig	ofte	häufig	ADV	ADJ
ofte	häufiger	ofte	häufig	ADV	ADJ
ofte	häufig	ofte	häufig	ADV	ADJ
november	november	november	november	N;INDF;MASC+FEM;SG	PROPN
december	december	december	december	N;INDF;MASC+FEM;SG	PROPN
december	dezember	december	dezember	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
jpg	jpg	jpg	jpg		
ville	würden	ville	werden	V;IND;PST;FIN;ACT	V;SBJV;PL;3;PST;FIN
ville	wäre	ville	sein	V;IND;PST;FIN;ACT	V;SBJV;SG;3;PST;FIN
ville	hätte	ville	haben	V;IND;PST;FIN;ACT	V;SBJV;SG;3;PST;FIN
ville	würde	ville	werden	V;IND;PST;FIN;ACT	V;SBJV;SG;3;PST;FIN
ville	gäbe	ville	geben	V;IND;PST;FIN;ACT	V;IND;SG;3;PRS;FIN
først	erste	først	erst	ADV	ADJ;NOM;FEM;PL
først	erster	først	erst	ADV	ADJ;NOM;MASC;SG
først	first	først	fersen	ADV	PROPN
først	ersten	først	erst	ADV	ADJ;NOM;PL
mål	zielvorgabe	mål	zielvorgabe	N;INDF;NEUT;SG	ADJ
mål	zielgruppe	mål	zielgruppe	N;INDF;NEUT;SG	ADJ
mål	target	mål	targen	N;INDF;NEUT;SG	
mål	ziele	mål	ziel	N;INDF;NEUT;SG	N;NOM;NEUT;PL
mål	zielsetzung	mål	zielsetzung	N;INDF;NEUT;SG	ADJ
mål	zielsetzungen	mål	zielsetzehen	N;INDF;NEUT;SG	V;NFIN
mål	tore	mål	tor	N;INDF;NEUT;SG	N;NOM;NEUT;PL
mål	ziele	mål	ziel	N;INDF;NEUT;SG	N;NOM;NEUT;PL
mål	zielsetzung	mål	zielsetzung	N;INDF;NEUT;SG	ADJ
mål	zielsetzungen	mål	zielsetzehen	N;INDF;NEUT;SG	V;NFIN
mål	objektiv	mål	objektiv	N;INDF;NEUT;SG	ADJ
mål	zielsetzung	mål	zielsetzung	N;INDF;NEUT;SG	ADJ
mål	zielvorgaben	mål	zielvorgaben	N;INDF;NEUT;SG	V;NFIN
mål	ziele	mål	ziel	N;INDF;NEUT;SG	N;NOM;NEUT;PL
mål	zielsetzungen	mål	zielsetzehen	N;INDF;NEUT;SG	V;NFIN
mål	zielsetzung	mål	zielsetzung	N;INDF;NEUT;SG	ADJ
film	filmen	film	filmen	N;INDF;MASC+FEM;PL	V;NFIN
film	filme	film	filmen	N;INDF;MASC+FEM;PL	
film	kino	film	kino	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
film	filme	film	filmen	N;INDF;MASC+FEM;PL	
film	kinos	film	kinos	N;INDF;MASC+FEM;PL	
film	spielfilm	film	spielfilm	N;INDF;MASC+FEM;PL	PROPN
film	kinofilm	film	kinofilm	N;INDF;MASC+FEM;PL	PROPN
film	film	film	falmen	N;INDF;MASC+FEM;PL	
film	kino	film	kino	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
film	spielfilm	film	spielfilm	N;INDF;MASC+FEM;PL	PROPN
film	kinofilm	film	kinofilm	N;INDF;MASC+FEM;PL	PROPN
film	film	film	falmen	N;INDF;MASC+FEM;PL	
sidste	zuletzt	sidste	zuletzt	ADJ	ADV
blive	werden	blive	werden	V;NFIN;ACT	V;NFIN;PASS
blive	werde	blive	werden	V;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
noget	sowas	nogen	sowas	PRO;NEUT;SG	
noget	irgendwas	nogen	irgendwas	PRO;NEUT;SG	ADV
noget	irgendetwas	nogen	irgendetwas	PRO;NEUT;SG	ADV
noget	etwas	nogen	etwas	PRO;NEUT;SG	ADV
indtil	bis	indtil	bis	CONJ	ADP
februar	february	februar	february	N;INDF;MASC+FEM;SG	
februar	februar	februar	februaer	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
fire	four	fire	four	NUM	
vandt	won	vinde	won	V;IND;PST;FIN;ACT	
vandt	gewonnene	vinde	gewonnen	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;SG
inden	vor	inden	vor	ADV	ADP
inden	bevor	inden	bevor	ADV	CONJ
mindre	kleiner	mindre	klein	ADV;CMPR	ADJ
mindre	kleineren	mindre	klein	ADV;CMPR	ADJ
mindre	kleinerer	mindre	klein	ADV;CMPR	ADJ
