من	кой	مِن	кой	ADP	PRO;NOM;MASC;SG
كل	яжте	كُلّ	ям-(се)	N;NOM;INDF;SG	V;IPFV;IMP;PL;2;FIN
كل	яж	كُلّ	яж	N;NOM;INDF;SG	V;IPFV;IMP;SG;2;FIN
كل	ям	كُلّ	аз	N;NOM;INDF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
الله	господ	اَللّٰه	господ	N;NOM;DEF;SG	N;INDF;MASC;SG
الله	бог	اَللّٰه	бог	N;NOM;DEF;SG	N;INDF;MASC;SG
الله	аллах	اَللّٰه	аллах	N;NOM;DEF;SG	N;INDF;MASC;SG
غير	промени	غَير	промяна	N;ACC;PSSD;SG	N;INDF;FEM;PL
غير	смяна	غَير	смяна	N;ACC;PSSD;SG	N;INDF;FEM;SG
غير	промяна	غَير	промяна	N;ACC;PSSD;SG	N;INDF;FEM;SG
حتى	дори	حَتَّى	дори	ADV	PART
حتى	даже	حَتَّى	даже	ADV	PART
حتى	докато	حَتَّى	докато	ADV	CONJ
مساحة	космоса	مِسَاحَة	космос	N;NOM;INDF;SG	N;DEF;MASC;SG
قد	май	قَد	май	PART	PROPN;INDF;MASC;SG
محافظة	провинцията	مُحَافَظَة	провинция	N;NOM;INDF;SG	N;DEF;FEM;SG
محافظة	консервативна	مُحَافَظَة	консервативен	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
محافظة	консервативни	مُحَافَظَة	консервативен	N;NOM;INDF;SG	ADJ;INDF;PL
محافظة	консервативно	مُحَافَظَة	консервативно	N;NOM;INDF;SG	ADV
محافظة	консервативен	مُحَافَظَة	консервативен	N;NOM;INDF;SG	ADJ;INDF;MASC;SG
الولايات	държави	وِلَايَة	държава	N;NOM;DEF;PL	N;INDF;FEM;PL
الولايات	щати	وِلَايَة	щат	N;NOM;DEF;PL	N;INDF;MASC;PL
اليمن	йемен	يَمَن	йемен	N;NOM;DEF;SG	PROPN;INDF;MASC;SG
ثم	тогава	ثُمَّ	тогава	CONJ	ADV
مثل	като	مِثلَ	като	ADP;NOM	CONJ
مثل	like	مِثلَ	like	ADP;NOM	PROPN;INDF;MASC;SG
خارجية	открито	خَارِجِيَّة	открито	N;NOM;INDF;SG	ADV
خارجية	външен	خَارِجِيَّة	външен	N;NOM;INDF;SG	ADJ;INDF;MASC;SG
خارجية	външна	خَارِجِيَّة	външен	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
خارجية	външно	خَارِجِيَّة	външен	N;NOM;INDF;SG	ADV
خارجية	външни	خَارِجِيَّة	външен	N;NOM;INDF;SG	ADJ;INDF;PL
خارجية	външен	خَارِجِيَّة	външен	N;NOM;INDF;SG	ADJ;INDF;MASC;SG
خارجية	външно	خَارِجِيَّة	външен	N;NOM;INDF;SG	ADV
الصورة	снимка	صُورَة	снимка	N;NOM;DEF;SG	N;INDF;FEM;SG
الصورة	фото	صُورَة	фото	N;NOM;DEF;SG	N;INDF;MASC;SG
الصورة	имидж	صُورَة	имидж	N;NOM;DEF;SG	N;INDF;MASC;SG
الصورة	картинка	صُورَة	картинка	N;NOM;DEF;SG	N;INDF;FEM;SG
الصورة	образ	صُورَة	образ	N;NOM;DEF;SG	N;INDF;MASC;SG
الصورة	изображение	صُورَة	изображение	N;NOM;DEF;SG	N;INDF;NEUT;SG
الصورة	снимка	صُورَة	снимка	N;NOM;DEF;SG	N;INDF;FEM;SG
الصورة	картинка	صُورَة	картинка	N;NOM;DEF;SG	N;INDF;FEM;SG
علم	флаг	عَلِم	флаг	V;PFV;MASC;SG;3;ACT	N;INDF;MASC;SG
علم	знамето	عَلِم	знаме	V;PFV;MASC;SG;3;ACT	N;DEF;NEUT;SG
علم	знаме	عَلِم	знаме	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
علم	копиране	عَلِم	копиране	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
علم	копие	عَلِم	копие	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
له	него	هُوَ	аз		PRO;ACC;MASC;SG;3
خريطة	картата	خَرِيطَة	карта	N;NOM;INDF;SG	N;DEF;FEM;SG
بعض	някои	بَعض	някой	N;NOM;INDF;SG	PRO;NOM;PL
فرق	разликата	فِرقَة	разлика	N;NOM;INDF;PL	N;DEF;FEM;SG
فرق	разлика	فِرقَة	разлика	N;NOM;INDF;PL	N;INDF;FEM;SG
قدم	крак	قَدَّم	крак	V;PFV;MASC;SG;3;ACT	N;INDF;MASC;SG
قدم	фут	قَدَّم	фут	V;PFV;MASC;SG;3;ACT	PROPN;INDF;MASC;SG
قدم	крака	قَدَّم	крак	V;PFV;MASC;SG;3;ACT	N;INDF;MASC;PL
قدم	краката	قَدَّم	крак	V;PFV;MASC;SG;3;ACT	N;DEF;MASC;PL
قدم	крачета	قَدَّم	краче	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;PL
العربية	арабин	عَرَبِيّ	арабин	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
العربية	арабски	عَرَبِيّ	арабски	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;MASC;SG
العربية	арабска	عَرَبِيّ	арабски	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;FEM;SG
العربية	арабски	عَرَبِيّ	арабски	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;MASC;SG
العربية	арабска	عَرَبِيّ	арабски	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;FEM;SG
قائمة	менюто	قَائِمَة	меню	N;NOM;INDF;SG	N;DEF;NEUT;SG
مقاطعة	провинцията	مُقَاطَعَة	провинция	N;NOM;INDF;SG	N;DEF;FEM;SG
تقسيم	разделим	تَقسِيم	разделя-(се)	N;NOM;INDF;SG	V;PFV;IND;PL;1;PRS;FIN;ACT
تقسيم	разделен	تَقسِيم	разделя-(се)	N;NOM;INDF;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
العالم	свят	عَالَم	свят	N;NOM;DEF;SG	N;INDF;MASC;SG
العالم	учен	عَالَم	учен	N;NOM;DEF;SG	N;INDF;MASC;SG
القرن	хорн	قَرن	хорн	N;NOM;DEF;SG	PROPN;INDF;MASC;SG
القرن	рог	قَرن	рог	N;NOM;DEF;SG	N;INDF;MASC;SG
القرن	рога	قَرن	рога	N;NOM;DEF;SG	N;INDF;NEUT;PL
القرن	век	قَرن	век	N;NOM;DEF;SG	N;INDF;MASC;SG
القرن	вековен	قَرن	вековен	N;NOM;DEF;SG	ADJ;INDF;MASC;SG
الموقع	местоположение	مَوقِع	местоположение	N;NOM;DEF;SG	N;INDF;NEUT;SG
الموقع	място	مَوقِع	място	N;NOM;DEF;SG	N;INDF;NEUT;SG
الموقع	местонахождение	مَوقِع	местонахождение	N;NOM;DEF;SG	N;INDF;NEUT;SG
الموقع	локация	مَوقِع	локация	N;NOM;DEF;SG	N;INDF;FEM;SG
الثاني	второ	ثَانِي	втори	ADJ;NOM;DEF;MASC;SG	ADV
الثاني	втора	ثَانِي	втори	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
الثاني	втори	ثَانِي	втори	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
القدم	крак	قَدَم	крак	N;NOM;DEF;SG	N;INDF;MASC;SG
القدم	фут	قَدَم	фут	N;NOM;DEF;SG	PROPN;INDF;MASC;SG
القدم	крака	قَدَم	крак	N;NOM;DEF;SG	N;INDF;MASC;PL
القدم	краката	قَدَم	крак	N;NOM;DEF;SG	N;DEF;MASC;PL
القدم	крачета	قَدَم	краче	N;NOM;DEF;SG	N;INDF;NEUT;PL
القدم	крак	قَدَم	крак	N;NOM;DEF;SG	N;INDF;MASC;SG
القدم	крака	قَدَم	крак	N;NOM;DEF;SG	N;INDF;MASC;PL
علي	али	علي	али		PROPN;INDF;MASC;SG
انظر	виж	أَنظَر	видя-(се)		V;PFV;IMP;SG;2;FIN
الرمز	символ	رَمز	символ	N;NOM;DEF;SG	N;INDF;MASC;SG
الرمز	код	رَمز	код	N;NOM;DEF;SG	N;INDF;MASC;SG
البلد	държава	بَلَد	държава	N;NOM;DEF;SG	N;INDF;FEM;SG
البلد	страна	بَلَد	страна	N;NOM;DEF;SG	N;INDF;FEM;SG
مدن	градовете	مَدِينَة	град	N;NOM;INDF;PL	N;DEF;MASC;PL
مدن	градовете	مَدِينَة	град	N;NOM;INDF;PL	N;DEF;MASC;PL
يمكن	могат	أَمكَن	мога	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
يمكن	can	أَمكَن	can	V;IPFV;MASC;IND;SG;3;FIN;ACT	PROPN;INDF;MASC;SG
نتيجة	резултата	نَتِيجَة	резултат	N;ACC;INDF;SG	N;DEF;MASC;SG
الكلية	колеж	كُلِّيَّة	колеж	N;NOM;DEF;SG	N;INDF;MASC;SG
الكلية	бъбрек	كُلِّيَّة	бъбрек	N;NOM;DEF;SG	N;INDF;MASC;SG
الكلية	бъбреци	كُلِّيَّة	бъбрец	N;NOM;DEF;SG	N;INDF;MASC;PL
الكلية	преподаватели	كُلِّيَّة	преподавател	N;NOM;DEF;SG	N;INDF;MASC;PL
الكلية	факултет	كُلِّيَّة	факултет	N;NOM;DEF;SG	N;INDF;MASC;SG
ولاية	държавно	وِلَايَة	държавен	N;NOM;INDF;SG	ADV
نادي	club	نادي	club		PROPN;INDF;MASC;SG
نادي	клуб	نادي	клуб		N;INDF;MASC;SG
نادي	клубът	نادي	клуб		N;DEF;MASC;SG
العرض	оферта	عَرض	оферта	N;NOM;DEF;SG	N;INDF;FEM;SG
العرض	предложение	عَرض	предложение	N;NOM;DEF;SG	N;INDF;NEUT;SG
العرض	предлагане	عَرض	предлагане	N;NOM;DEF;SG	N;INDF;NEUT;SG
العرض	предложи	عَرض	предложа	N;NOM;DEF;SG	V;PFV;IND;SG;3;PST;FIN;ACT
العرض	покажи	عَرض	покажа-(се)	N;NOM;DEF;SG	V;PFV;IMP;SG;2;FIN
العرض	показване	عَرض	показване	N;NOM;DEF;SG	N;INDF;NEUT;SG
العرض	широчина	عَرض	широчина	N;NOM;DEF;SG	N;INDF;FEM;SG
العرض	ширина	عَرض	ширина	N;NOM;DEF;SG	N;INDF;FEM;SG
العرض	представяне	عَرض	представяне	N;NOM;DEF;SG	N;INDF;NEUT;SG
العرض	презентация	عَرض	презентация	N;NOM;DEF;SG	N;INDF;FEM;SG
العرض	показване	عَرض	показване	N;NOM;DEF;SG	N;INDF;NEUT;SG
الوطني	патриот	وَطَنِيّ	патриот	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
جامعة	university	جَامِعَة	university	N;NOM;INDF;SG	PROPN;INDF;MASC;SG
جامعة	университета	جَامِعَة	университет	N;NOM;INDF;SG	N;DEF;MASC;SG
المساحة	зона	مِسَاحَة	зона	N;NOM;DEF;SG	N;INDF;FEM;SG
المساحة	площ	مِسَاحَة	площ	N;NOM;DEF;SG	N;INDF;FEM;SG
المساحة	област	مِسَاحَة	област	N;NOM;DEF;SG	N;INDF;FEM;SG
المساحة	район	مِسَاحَة	район	N;NOM;DEF;SG	N;INDF;MASC;SG
الطول	дължина	طُول	дължина	N;NOM;DEF;SG	N;INDF;FEM;SG
الطول	ръст	طُول	ръст	N;NOM;DEF;SG	N;INDF;MASC;SG
الطول	височина	طُول	височина	N;NOM;DEF;SG	N;INDF;FEM;SG
الحياة	живот	حَيَاة	живот	N;NOM;DEF;SG	N;INDF;MASC;SG
الحياة	life	حَيَاة	life	N;NOM;DEF;SG	PROPN;INDF;MASC;SG
الحياة	лайф	حَيَاة	лайф	N;NOM;DEF;SG	N;INDF;MASC;SG
مصر	египет	مِصر	египет	N;NOM;INDF;SG	PROPN;INDF;MASC;SG
المركز	център	مَركَز	център	N;NOM;DEF;SG	N;INDF;MASC;SG
المركز	център	مَركَز	център	N;NOM;DEF;SG	N;INDF;MASC;SG
ولكن	но	ولكن	но		CONJ
المياه	вода	مَاء	вода	N;NOM;DEF;PL	N;INDF;FEM;SG
المياه	водата	مَاء	вода	N;NOM;DEF;PL	N;DEF;FEM;SG
مجموعة	групово	مَجمُوعَة	групово	N;NOM;INDF;SG	ADV
مجموعة	групова	مَجمُوعَة	групов	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
لها	нея	لها	аз		PRO;ACC;FEM;SG;3
قرى	селата	قَريَة	село	N;NOM;INDF;PL	N;DEF;NEUT;PL
ان	ане	أَنَّ	ане	CONJ	PROPN;INDF;MASC;SG
ان	анн	أَنَّ	анн	CONJ	PROPN;INDF;FEM;SG
ان	ан	أَنَّ	ан	CONJ	PROPN;INDF;FEM;SG
ان	анн	أَنَّ	анн	CONJ	PROPN;INDF;FEM;SG
ان	ан	أَنَّ	ан	CONJ	PROPN;INDF;FEM;SG
نقاش	обсъждания	نِقَاش	обсъждане	N;NOM;INDF;SG	N;INDF;NEUT;PL
نقاش	дискусии	نِقَاش	дискусия	N;NOM;INDF;SG	N;INDF;FEM;PL
نقاش	разисквания	نِقَاش	разискване	N;NOM;INDF;SG	N;INDF;NEUT;PL
نقاش	дебати	نِقَاش	дебат	N;NOM;INDF;SG	N;INDF;MASC;PL
الثالث	трети	ثَالِث	трети	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
الثالث	трета	ثَالِث	трети	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
الثالث	трето	ثَالِث	трето	ADJ;NOM;DEF;MASC;SG	ADV
تحت	долу	تَحتَ	долу	ADP;ACC	ADV
تحت	отдолу	تَحتَ	отдолу	ADP;ACC	ADV
حجم	размери	حَجم	размер	N;NOM;INDF;SG	N;INDF;MASC;PL
الشيخ	шейх	شَيخ	шейх	N;NOM;DEF;SG	PROPN;INDF;MASC;SG
العديد	mnogo	عَدِيد	mnogo	ADJ;NOM;DEF;MASC;SG	PROPN;INDF;NEUT;SG
العديد	много	عَدِيد	много	ADJ;NOM;DEF;MASC;SG	ADV;INDF;PL
المحافظة	провинция	مُحَافَظَة	провинция	N;NOM;DEF;SG	N;INDF;FEM;SG
المحافظة	опазване	مُحَافَظَة	опазване	N;NOM;DEF;SG	N;INDF;NEUT;SG
المحافظة	запазване	مُحَافَظَة	запазване	N;NOM;DEF;SG	N;INDF;NEUT;SG
المحافظة	съхранение	مُحَافَظَة	съхранение	N;NOM;DEF;SG	N;INDF;NEUT;SG
المحافظة	опазване	مُحَافَظَة	опазване	N;NOM;DEF;SG	N;INDF;NEUT;SG
المحافظة	консервативна	مُحَافَظَة	консервативен	N;NOM;DEF;SG	ADJ;INDF;FEM;SG
المحافظة	консервативни	مُحَافَظَة	консервативен	N;NOM;DEF;SG	ADJ;INDF;PL
المحافظة	консервативно	مُحَافَظَة	консервативно	N;NOM;DEF;SG	ADV
المحافظة	консервативен	مُحَافَظَة	консервативен	N;NOM;DEF;SG	ADJ;INDF;MASC;SG
الحرب	война	حَرب	война	N;NOM;DEF;SG	N;INDF;FEM;SG
العام	година	عَام	година	N;NOM;DEF;SG	N;INDF;FEM;SG
رئيس	президентът	رَئِيس	президент	N;NOM;INDF;SG	N;DEF;MASC;SG
رئيس	шефе	رَئِيس	шефе	N;NOM;INDF;SG	ADV
رئيس	шефе	رَئِيس	шефе	N;NOM;INDF;SG	ADV
عندما	когато	عِندَمَا	когато	CONJ	ADV
عندما	кога	عِندَمَا	кога	CONJ	ADV
الكثافة	интензитет	كَثَّافَة	интензитет	N;NOM;DEF;SG	N;INDF;MASC;SG
الكثافة	интензивност	كَثَّافَة	интензивност	N;NOM;DEF;SG	N;INDF;FEM;SG
الكثافة	плътност	كَثَّافَة	плътност	N;NOM;DEF;SG	N;INDF;FEM;SG
الوفاة	смърт	وَفَاة	смърт	N;NOM;DEF;SG	N;INDF;FEM;SG
شعار	логото	شِعَار	лого	N;NOM;INDF;SG	N;DEF;NEUT;SG
شعار	мотото	شِعَار	мото	N;NOM;INDF;SG	N;DEF;NEUT;SG
عزلة	самотата	عُزلَة	самота	N;NOM;INDF;SG	N;DEF;FEM;SG
مديرية	дирекцията	مُدِيرِيَّة	дирекция	N;NOM;INDF;SG	N;DEF;FEM;SG
ابن	синко	ابن	синко		INTJ
ابن	сине	ابن	син		PART
ابن	син	ابن	син		N;INDF;MASC;SG
العمل	действия	عَمَل	действие	N;NOM;DEF;SG	N;INDF;NEUT;PL
العمل	действие	عَمَل	действие	N;NOM;DEF;SG	N;INDF;NEUT;SG
العمل	екшън	عَمَل	екшън	N;NOM;DEF;SG	N;INDF;MASC;SG
العمل	работа	عَمَل	работа	N;NOM;DEF;SG	N;INDF;FEM;SG
العمل	труд	عَمَل	труд	N;NOM;DEF;SG	N;INDF;MASC;SG
العمل	работи	عَمَل	работя	N;NOM;DEF;SG	V;IPFV;IMP;SG;2;FIN
العمل	бизнес	عَمَل	бизнес	N;NOM;DEF;SG	N;INDF;MASC;SG
الخريطة	карта	خَرِيطَة	карта	N;NOM;DEF;SG	N;INDF;FEM;SG
الرسمي	тържествено	رَسمِيّ	тържествено	ADJ;NOM;DEF;MASC;SG	ADV
الرسمي	официален	رَسمِيّ	официален	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
الرسمي	официално	رَسمِيّ	официално	ADJ;NOM;DEF;MASC;SG	ADV
الرسمي	официална	رَسمِيّ	официален	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
الرسمي	официален	رَسمِيّ	официален	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
الرسمي	формално	رَسمِيّ	формално	ADJ;NOM;DEF;MASC;SG	ADV
الرسمي	официално	رَسمِيّ	официално	ADJ;NOM;DEF;MASC;SG	ADV
الرسمي	официална	رَسمِيّ	официален	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
عشر	десетка	عَشَرَة	десетка	NUM;MASC	N;INDF;FEM;SG
عشر	ten	عَشَرَة	ten	NUM;MASC	ADJ
سنوات	годините	سَنَة	година	N;NOM;INDF;PL	N;DEF;FEM;PL
بسبب	защото	بسبب	защото	N;NOM;INDF;SG	ADV
يوم	денят	يَوم	ден	N;NOM;INDF;SG	N;DEF;MASC;SG
كتابة	пиши	كِتَابَة	пиша	N;NOM;INDF;SG	V;IPFV;IMP;SG;2;FIN
كتابة	напишете	كِتَابَة	напиша	N;NOM;INDF;SG	V;PFV;IMP;PL;2;FIN
كتابة	пишете	كِتَابَة	пиша	N;NOM;INDF;SG	V;IPFV;IND;PL;2;PRS;FIN;ACT
كتابة	пиша	كِتَابَة	пиша	N;NOM;INDF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
طريق	пътят	طَرِيق	път	N;NOM;INDF;SG	N;DEF;MASC;SG
طريق	пътя	طَرِيق	път	N;NOM;INDF;SG	N;DEF;MASC;SG
الدين	религия	دِين	религия	N;NOM;DEF;SG	N;INDF;FEM;SG
الدين	дългове	دِين	дълг	N;NOM;DEF;SG	N;INDF;MASC;PL
الدين	дълг	دِين	дълг	N;NOM;DEF;SG	N;INDF;MASC;SG
ملف	файлът	مِلَفّ	файл	N;NOM;INDF;SG	N;DEF;MASC;SG
لكن	но	لكن	но		CONJ
جميع	всички	جَمِيع	всеки	N;NOM;INDF;SG	PRO;NOM;PL
جميع	всичко	جَمِيع	всеки	N;NOM;INDF;SG	PRO;NOM;NEUT;SG
العربي	арабин	عَرَبِيّ	арабин	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
العربي	арабски	عَرَبِيّ	арабски	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
العربي	арабска	عَرَبِيّ	арабски	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
مجلس	съветът	مَجلِس	съвет	N;NOM;INDF;SG	N;DEF;MASC;SG
مجلس	съвета	مَجلِس	съвет	N;NOM;INDF;SG	N;DEF;MASC;SG
الثانية	второ	ثَانِي	втори	ADJ;NOM;DEF;FEM;SG	ADV
الثانية	втора	ثَانِي	втори	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;FEM;SG
الثانية	втори	ثَانِي	втори	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;MASC;SG
السكان	пребиваващи	سَاكِن	пребивавам	N;NOM;DEF;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
السكان	обитатели	سَاكِن	обитател	N;NOM;DEF;PL	N;INDF;MASC;PL
السكان	жители	سَاكِن	жител	N;NOM;DEF;PL	N;INDF;MASC;PL
السكان	популация	سَاكِن	популация	N;NOM;DEF;PL	N;INDF;FEM;SG
