loại	क़िस्म	loại	कठिस्म	N	
bang	प्राधिकरण	bang	प्राधिकरण		N;NOM;MASC;SG;3
bang	प्राधिकार	bang	प्राधिकार		N;NOM;MASC;SG;3
bang	प्राधिकारी	bang	प्राधिकारी		N;NOM;MASC;SG;3
bang	अधिकारियों	bang	अधिकारी		N;ACC;MASC;PL;3
bang	अवस्था	bang	अवस्था		N;NOM;FEM;SG;3
bang	स्टेट	bang	स्टेट		N;NOM;MASC;SG;3
bang	स्थिति	bang	स्थिति		N;NOM;FEM;SG;3
bang	राज्य	bang	राज्य		N;NOM;MASC;SG;3
bang	बैंग	bang	बैंग		PROPN;NOM;MASC;SG;3
bang	धमाके	bang	धमाका		N;NOM;MASC;PL;3
bang	बंग	bang	बंग		PROPN;NOM;MASC;SG;3
điểm	स्पॉट	điểm	स्पॉट	N	
điểm	पाइंट	điểm	पाइंट	N	
đông	पूर्व	đông	पूर्व	ADJ	ADV;NOM;MASC;SG;3
đông	ईस्ट	đông	ईस्ट	ADJ	PROPN;NOM;MASC;SG;3
hơn	than	hơn	than		
nhưng	परन्तु	nhưng	परन्तु	CONJ	
nhưng	लेकीन	nhưng	लेकीन	CONJ	
nhưng	लकिन	nhưng	लकिन	CONJ	
chủ	जड़	chủ	जड़	N	
lập	स्वतंत्र	lập	स्वतंत्र	V	ADJ;NOM
bình	गुलदान	bình	गुलदान	N	
cách	तरीके	cách	तरीका	V	N;NOM;MASC;PL;3
phần	पार्ट	phần	पार्ट	N	
phần	भाग	phần	भाग	N	
phần	भाग	phần	भाग	N	
dưới	नीचे	dưới	नीचे	N	ADV;NOM;MASC;SG;3
dưới	बॉटम	dưới	बॉटम	N	
dưới	नीचे	dưới	नीचे	N	ADV;NOM;MASC;SG;3
dưới	तहत	dưới	तहत	N	CONJ
dưới	अधीन	dưới	अधीन	N	
dưới	अंतर्गत	dưới	अंतर्गत	N	CONJ
quận	काउंटी	quận	काउंटी	N	PROPN;NOM;MASC;SG;3
giới	जग	giới	जग	N	
châu	चाओ	châu	चाओ	N	PROPN;NOM;MASC;SG;3
châu	अमरीका	châu	अमरीका	N	PROPN;NOM;MASC;SG;3
châu	अमेरिका	châu	अमेरिका	N	PROPN;NOM;MASC;SG;3
châu	चाउ	châu	चाउ	N	
đoàn	नवीं	đoàn	नवां	N	
điều	उस	điều	वह	N	DET;ACC;SG;3
điều	कि	điều	कि	N	
điều	बाते	điều	बाते	N	
thông	चीड़	thông	चीड़		N;NOM;MASC;SG;3
bay	उड़ना	bay	उड़		V;MASC;NFIN;ACT
bay	उड़	bay	उड़		V;ACT
bay	मक्खी	bay	मक्खी		N;NOM;MASC;SG;3
bay	भिंड	bay	भिंड		PROPN;NOM;MASC;SG;3
bay	उड़ती	bay	उड़		V;IPFV;FEM;SG;V.PTCP;ACT
bay	फ्लाइट	bay	फ्लाइट		N;NOM;FEM;SG;3
bay	फ़्लाइट	bay	फ़्लाइट		N;NOM;FEM;SG;3
bay	उड़ान	bay	उडान		N;NOM;FEM;SG;3
bay	बे	bay	बे		PROPN;NOM;MASC;SG;3
bay	खाड़ी	bay	खाड़ी		PROPN;NOM;FEM;SG;3
bài	छोटा	bài	छोटा	N	ADJ;NOM;MASC;SG
bài	छोटी	bài	छोटा	N	ADJ;FEM;SG
tích	स्थिर	tích	स्थिर	N	
giáo	भाला	giáo	भाला	N	
lớn	बिग	lớn	बिग	ADJ	
phim	चलचित्र	phim	चलचित्र		N;NOM;MASC;SG;3
phim	फ़िल्म	phim	फ़िल्म		N;NOM;FEM;SG;3
phim	मूवी	phim	मूवी		N;NOM;FEM;SG;3
phim	फिल्म	phim	फिल्म		N;NOM;FEM;SG;3
phim	फ़िल्म	phim	फ़िल्म		N;NOM;FEM;SG;3
phim	फिल्म	phim	फिल्म		N;NOM;FEM;SG;3
phim	फिल्मी	phim	फिल्मी		ADJ;NOM
phim	फिल्में	phim	फिल्म		N;NOM;FEM;PL;3
phim	मूवी	phim	मूवी		N;NOM;FEM;SG;3
phim	फ़िल्में	phim	फ़िल्म		N;NOM;FEM;PL;3
phim	फिल्मों	phim	फिल्म		N;ACC;FEM;PL;3
trước	पिछली	trước	पिछला		ADJ;NOM;FEM;SG
trước	पिछला	trước	पिछला		ADJ;NOM;MASC;SG
trước	प्रथम	trước	प्रथम		ADJ
trước	पहली	trước	पहला		ADJ;NOM;FEM;SG
trước	पहले	trước	पहले		ADV;NOM;MASC;SG;3
trước	पहला	trước	पहला		ADJ;NOM;MASC;SG
trước	पिछले	trước	पिछला		ADJ;ACC;MASC;PL
trước	पिछला	trước	पिछला		ADJ;NOM;MASC;SG
trước	पहले	trước	पहले		ADV;NOM;MASC;SG;3
đức	जर्मन	đức	जर्मन	N	PROPN;NOM;MASC;SG;3
đức	जर्मनी	đức	जर्मनी	N	PROPN;NOM;MASC;SG;3
đức	जर्मनी	đức	जर्मनी	N	PROPN;NOM;MASC;SG;3
bằng	बराबर	bằng	बराबर	ADP	CONJ
bằng	बराबरी	bằng	बराबरी	ADP	N;NOM;FEM;SG;3
bằng	साथ	bằng	साथ	ADP	ADV;NOM;MASC;SG;3
nhỏ	लिटिल	nhỏ	लिटिल	ADJ	
nhỏ	जूनियर	nhỏ	जूनियर	ADJ	PROPN;NOM;MASC;SG;3
nhỏ	लघु	nhỏ	लघु	ADJ	
nhỏ	हीन	nhỏ	हीन	ADJ	
nhỏ	माइनर	nhỏ	माइनर	ADJ	PROPN;NOM;MASC;SG;3
hợp	फ़िट	hợp	फािट	ADJ	
hợp	अनुरूप	hợp	अनुरूप	ADJ	CONJ
hợp	यूनियन	hợp	यूनियन	ADJ	N;NOM;FEM;SG;3
hợp	संघ	hợp	संघ	ADJ	N;NOM;MASC;SG;3
đường	तंग	đường	तंग	N	
đường	शुगर	đường	शुगर	N	
thêm	adding	thêm	adding	V	PROPN;NOM;MASC;SG;3
thêm	add	thêm	add	V	PROPN;NOM;MASC;SG;3
thêm	ज्यादा	thêm	ज्यादा	V	DET
thêm	आदि	thêm	आदि	V	PART
thêm	अधिक	thêm	अधिक	V	DET
xem	dekh	xem	dekh	V	PROPN;NOM;MASC;SG;3
xem	शो	xem	शो	V	N;NOM;MASC;SG;3
xem	दृश्य	xem	दृश्य	V	N;NOM;MASC;SG;3
diễn	अभिनय	diễn	अभिनय	V	N;NOM;MASC;SG;3
diễn	एक्टिंग	diễn	एक्टिंग	V	N;NOM;FEM;SG;3
diễn	अभिनेता	diễn	अभिनेता	V	N;NOM;MASC;SG;3
diễn	एक्टर	diễn	एक्टर	V	N;NOM;MASC;SG;3
diễn	कर्ता	diễn	कर्ता	V	N;NOM;MASC;SG;3
hoàng	hoàng	hoàng	hoàng	N	
hoàng	हुआंग	hoàng	हुआंग	N	PROPN;NOM;MASC;SG;3
hoàng	राजकुमार	hoàng	राजकुमार	N	PROPN;NOM;MASC;SG;3
hoàng	प्रिन्स	hoàng	प्रिन्स	N	PROPN;NOM;MASC;SG;3
hoàng	प्रिंस	hoàng	प्रिंस	N	PROPN;NOM;MASC;SG;3
chức	आयोजित	chức	आयोजित	N	ADJ
dương	सकारात्मक	dương	सकारात्मक	N	ADJ
dương	यांग	dương	यांग	N	PROPN;NOM;MASC;SG;3
thủ	मिलाएँ	thủ	मिला	N	V;SBJV;PL;FIN;ACT
hay	hay	hay	hay	CONJ	PROPN;NOM;MASC;SG;3
hay	good	hay	good	CONJ	N;NOM;FEM;SG;3
hay	अच्छे	hay	अच्छा	CONJ	ADJ;NOM;MASC;PL
hay	गुड	hay	गुड	CONJ	
hay	शुभ	hay	शुभ	CONJ	
sống	सजीव	sống	सजीव	V	
sống	लाइव	sống	लाइव	V	N;NOM;MASC;SG;3
sống	सजीव	sống	सजीव	V	
sống	जिन्दा	sống	जिन्दा	V	
sống	जीवित	sống	जीवित	V	PROPN;NOM;MASC;SG;3
sống	जिंदा	sống	जिंदा	V	ADJ
thường	प्रायः	thường	प्रायः		ADV
thường	रेगुलर	thường	रेगुलर		PROPN;NOM;MASC;SG;3
thường	नियमित	thường	नियमित		ADJ;NOM
thường	सामान्य	thường	सामान्य		N;NOM;MASC;SG;3
bướm	तितली	bướm	तितला	N	
tính	गणना	tính	गणना	V	N;NOM;FEM;SG;3
ban	परिचय	ban	परिचय		N;NOM;MASC;SG;3
ban	बैंड	ban	बैंड		N;NOM;MASC;SG;3
nhận	दावा	nhận	दावा	V	N;NOM;MASC;SG;3
nhận	अर्जी	nhận	अर्जी	V	N;NOM;FEM;SG;3
nhận	प्राप्त	nhận	प्राप्त	V	ADJ
qua	अतीत	qua	अतीत	V	
qua	पास्ट	qua	पास्ट	V	
qua	दर्रा	qua	दर्रा	V	N;NOM;MASC;SG;3
qua	पास	qua	पास	V	ADV;NOM;MASC;SG;3
qua	pass	qua	pass	V	
ảnh	photo	ảnh	photo	N	
thái	थीम	thái	थीम	N	
thái	ताई	thái	ताई	N	PROPN;NOM;MASC;SG;3
hòa	सलाम	hòa	सलाम	N	
hòa	फ्रेड	hòa	फ्रेड	N	
tổng	कुल	tổng	कुल	N	DET
minh	मिन्ह	minh	मिन्ह	N	PROPN;NOM;MASC;SG;3
minh	smart	minh	smart	N	
minh	मिंग	minh	मिंग	N	PROPN;NOM;MASC;SG;3
tác	मौलिक	tác	मौलिक	N	
tác	असली	tác	असली	N	ADJ;NOM
gồm	सहित	gồm	सहित	V	CONJ
gồm	शामिल	gồm	शामिल	V	ADJ
kinh	सूत्र	kinh	सूत्र	V	N;NOM;MASC;PL;3
kinh	बीजिंग	kinh	बीजिंग	V	PROPN;NOM;MASC;SG;3
biển	बीच	biển	बीच	N	ADV;NOM;MASC;SG;3
biển	सागर	biển	सागर	N	PROPN;NOM;MASC;SG;3
biển	महासागर	biển	महासागर	N	PROPN;NOM;MASC;SG;3
cứng	हार्ड	cứng	हार्ड	ADJ	
cứng	कठिन	cứng	कठिन	ADJ	ADP
cứng	मेहनत	cứng	मेहनत	ADJ	N;NOM;FEM;SG;3
cứng	मुश्किल	cứng	मुश्किल	ADJ	
tiếp	अगला	tiếp	अगला	V	ADJ;NOM;MASC;SG
rằng	उस	rằng	वह	CONJ	DET;ACC;SG;3
rằng	कि	rằng	कि	CONJ	
đánh	बीट	đánh	बीट	V	
đánh	धड़कन	đánh	धड़कन	V	N;NOM;FEM;SG;3
đánh	ताल	đánh	ताल	V	
đánh	हिट	đánh	हिट	V	
đánh	hit	đánh	hit	V	
nhạc	संगीत	nhạc	संगीत	V	N;NOM;MASC;SG;3
nhạc	म्यूज़िक	nhạc	म्यूज़िक	V	N;NOM;MASC;SG;3
nhạc	संगीतमय	nhạc	संगीतमय	V	PROPN;NOM;MASC;SG;3
nhạc	musical	nhạc	musical	V	
hóa	रसायन	hóa	रसायन		N;NOM;MASC;SG;3
hóa	केमिकल	hóa	केमिकल		N;NOM;MASC;SG;3
hóa	रासायनिक	hóa	रासायनिक		N;NOM;MASC;SG;3
hóa	रसायन	hóa	रसायन		N;NOM;MASC;SG;3
gọi	काल	gọi	काल	V	N;NOM;MASC;SG;3
gọi	कॉल	gọi	कॉल	V	N;NOM;FEM;SG;3
gọi	कॉलिंग	gọi	कॉलिंग	V	N;NOM;MASC;SG;3
tàu	शिप	tàu	शिप	N	
trang	झुआंग	trang	झुआंग	N	PROPN;NOM;MASC;SG;3
trang	पार्श्व	trang	पार्श्व	N	
trang	तरफ	trang	तरफ	N	ADV;NOM;FEM;SG;3
nguyên	युआन	nguyên	युआन	N	PROPN;NOM;MASC;SG;3
tạo	निर्मित	tạo	निर्मित	V	ADJ
tạo	रचना	tạo	रच	V	PROPN;NOM;FEM;SG;3
tạo	सृजन	tạo	सृजन	V	
tạo	निर्माण	tạo	निर्माण	V	N;NOM;MASC;SG;3
tạo	सृष्टि	tạo	सृष्टि	V	N;NOM;FEM;SG;3
tạo	टीम	tạo	टीम	V	N;NOM;FEM;SG;3
tạo	टोली	tạo	टोली	V	N;NOM;FEM;SG;3
đặc	ठोस	đặc	ठोस	N	PROPN;NOM;MASC;SG;3
đặc	सोमालिया	đặc	सोमालिया	N	PROPN;NOM;MASC;SG;3
nên	चाहिए	nên	चाहिए	CONJ	V;ACT
trận	बैटल	trận	बैटल	N	PROPN;NOM;MASC;SG;3
phương	ज़ो	phương	जा	N	
phương	zoe	phương	zoe	N	
mới	नया	mới	नया		ADJ;NOM;MASC;SG
mới	नई	mới	नया		ADJ;NOM;FEM;SG
đạo	मजहब	đạo	मजहब	N	
đạo	नैतिक	đạo	नैतिक	N	PROPN;NOM;MASC;SG;3
đạo	moral	đạo	moral	N	
bắt	catch	bắt	catch	V	
bắt	कैच	bắt	कैच	V	N;NOM;MASC;SG;3
bắt	कैप्चर	bắt	कैप्चर	V	N;NOM;MASC;SG;3
mặt	face	mặt	face	N	
mặt	फेस	mặt	फेस	N	
tinh	जिंग	tinh	जिंग	N	PROPN;NOM;MASC;SG;3
rất	बहुत	rất	बहुत		DET
đất	पृथ्वी	đất	पृथ्वी	N	PROPN;NOM;FEM;SG;3
thức	रेसिपी	thức	रेसिपी	V	PROPN;NOM;FEM;SG;3
thức	वेक	thức	वेक	V	
luận	comment	luận	comment	N	
hải	है	hải	है	N	V;IND;SG;3;PRS;FIN;ACT
hải	hai	hải	hai	N	
khoảng	परिचय	khoảng	परिचय	ADJ	N;NOM;MASC;SG;3
khoảng	स्पेसेस	khoảng	स्पेसेस	ADJ	N;NOM;MASC;SG;3
lần	टाइम्स	lần	टाइम्स	N	PROPN;NOM;MASC;SG;3
vương	ताज	vương	ताज	N	PROPN;NOM;MASC;SG;3
