категорія	kategorijo	категорія	kategorija	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
яка	katerega	який	kateri	DET;NOM;FEM;SG	DET;GEN;MASC;SG
вони	so	вони	biti	PRO;NOM;PL;3	V;IND;PL;3;POS;PRS;FIN
близько	zapri	близько	zapreti	ADV	V;PFV;IND;SG;2;PRS;FIN
війни	vojne	війна	vojna	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
війни	vojn	війна	vojna	N;INAN;NOM;FEM;SG	N;GEN;FEM;PL
файл	datoteko	файл	datoteka	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
роки	leta	рік	leto	N;INAN;NOM;MASC;PL	N;GEN;NEUT;SG
роки	letih	рік	leto	N;INAN;NOM;MASC;PL	N;ESS;NEUT;PL
роки	let	рік	leto	N;INAN;NOM;MASC;PL	N;GEN;NEUT;PL
обговорення	razpravo	обговорення	razprava	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
обговорення	razprave	обговорення	razprava	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
обговорення	razprave	обговорення	razprava	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
коли	kadar	коли	kadar	ADV	CONJ
коли	ko	коли	ko	ADV	CONJ
вересня	september	вересень	september	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
цей	tole	цей	tale	DET;NOM;MASC;SG	
цей	tega	цей	ta	DET;NOM;MASC;SG	DET;GEN;NEUT;SG
березня	marec	березень	marec	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
березня	pohod	березень	pohod	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
місце	lokacijo	місце	lokacija	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
україні	ukrajina	україна	ukrajina	PROPN;INAN;DAT;FEM;SG	PROPN;NOM;FEM;SG
україні	ukrajino	україна	ukrajina	PROPN;INAN;DAT;FEM;SG	N;ACC;FEM;SG
серпня	august	серпень	august	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
серпня	avgust	серпень	avgust	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
січня	januar	січень	januar	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
травня	maj	травень	maj	N;INAN;GEN;MASC;SG	
грудня	december	грудень	december	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
інших	drugi	інший	drug	DET;GEN;PL	ADJ;NOM;MASC;SG
інших	drugo	інший	drug	DET;GEN;PL	ADJ;NOM;NEUT;SG
інших	druga	інший	drug	DET;GEN;PL	ADJ;NOM;FEM;SG
інших	druge	інший	drug	DET;GEN;PL	ADJ;NOM;FEM;PL
інших	drugi	інший	drug	DET;GEN;PL	ADJ;NOM;MASC;SG
інших	drugih	інший	drug	DET;GEN;PL	ADJ;GEN;MASC;PL
інших	druge	інший	drug	DET;GEN;PL	ADJ;NOM;FEM;PL
жовтня	oktober	жовтень	oktober	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
один	enga	один	en	NUM;NOM;MASC	PRO;ACC;MASC;SG
липня	julij	липень	julij	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
участь	sodelujoči	участь	sodelujoč	N;INAN;ACC;FEM;SG	ADJ;NOM;MASC;PL;V.PTCP
участь	sodelujoča	участь	sodelujoč	N;INAN;ACC;FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
участь	sodelujoče	участь	sodelujoč	N;INAN;ACC;FEM;SG	ADJ;NOM;FEM;PL;V.PTCP
участь	vključenost	участь	vključenost	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
участь	udeležba	участь	udeležba	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
участь	udeležbe	участь	udeležba	N;INAN;ACC;FEM;SG	N;NOM;FEM;PL
участь	sodelovanje	участь	sodelovanje	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
вид	prijazen	вид	prijazen	N;INAN;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
вид	prijazno	вид	prijazen	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
вид	vrste	вид	vrsta	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
червня	junij	червень	junij	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
червня	june	червень	juna	N;INAN;GEN;MASC;SG	
місто	mestu	місто	mesto	N;INAN;NOM;NEUT;SG	N;DAT;NEUT;SG
місто	city	місто	city	N;INAN;NOM;NEUT;SG	PROPN;NOM;MASC;SG
місто	mestu	місто	mesto	N;INAN;NOM;NEUT;SG	N;DAT;NEUT;SG
вже	ze	вже	ze	ADV	
вже	že	вже	že	ADV	PART
життя	life	життя	life	N;INAN;NOM;NEUT;SG	
срср	zssr	срср	zssra	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG
квітня	april	квітень	april	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
листопада	november	листопад	november	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
лютого	februar	лютий	februar	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
лютого	feb	лютий	feb	N;INAN;GEN;MASC;SG	
центр	ops	центр	ops	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
захід	zahodna	захід	zahoden	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
захід	zahodno	захід	zahodno	N;INAN;NOM;MASC;SG	ADV
франції	francijo	франція	francija	PROPN;INAN;GEN;FEM;SG	N;ACC;FEM;SG
франції	francija	франція	francija	PROPN;INAN;GEN;FEM;SG	N;NOM;FEM;SG
франції	france	франція	franca	PROPN;INAN;GEN;FEM;SG	N;NOM;MASC;SG
століття	stoletja	століття	stoletje	N;INAN;NOM;NEUT;SG	N;ACC;NEUT;PL
відстані	razdalje	відстань	razdalja	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
схід	vzhodni	схід	vzhoden	N;INAN;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
схід	vzhodna	схід	vzhoden	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
схід	vzhodno	схід	vzhoden	N;INAN;NOM;MASC;SG	ADV
міні	mini	міні	mini		
особи	oseb	особа	oseba	N;ANIM;NOM;FEM;PL	N;GEN;FEM;PL
особи	oseba	особа	oseba	N;ANIM;NOM;FEM;PL	N;NOM;FEM;SG
особи	osebi	особа	oseba	N;ANIM;NOM;FEM;PL	N;NOM;FEM;DU
особи	osebo	особа	oseba	N;ANIM;NOM;FEM;PL	N;ACC;FEM;SG
над	konec	над	konec	ADP;ACC	N;NOM;MASC;SG
історія	zgodbo	історія	zgodba	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
історія	zgodovino	історія	zgodovina	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
зображення	podobe	зображення	podoba	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
зображення	slike	зображення	slika	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
зображення	slik	зображення	slika	N;INAN;NOM;NEUT;SG	N;GEN;FEM;PL
зображення	sliko	зображення	slika	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
зображення	sliko	зображення	slika	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
зображення	slike	зображення	slika	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
зображення	slik	зображення	slika	N;INAN;NOM;NEUT;SG	N;GEN;FEM;PL
пункти	postavk	пункт	postavka	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL
пункти	točki	пункт	točka	N;INAN;NOM;MASC;PL	N;NOM;FEM;DU
пункти	točk	пункт	točka	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL
код	kodo	код	koda	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
інші	drugi	інший	drug	DET;NOM;PL	ADJ;NOM;MASC;SG
інші	drugo	інший	drug	DET;NOM;PL	ADJ;NOM;NEUT;SG
інші	druga	інший	drug	DET;NOM;PL	ADJ;NOM;FEM;SG
інші	druge	інший	drug	DET;NOM;PL	ADJ;NOM;FEM;PL
інші	drugi	інший	drug	DET;NOM;PL	ADJ;NOM;MASC;SG
інші	drugih	інший	drug	DET;NOM;PL	ADJ;GEN;MASC;PL
інші	druge	інший	drug	DET;NOM;PL	ADJ;NOM;FEM;PL
проти	proti	проти	proti	ADV	ADP;DAT
проти	zoper	проти	zoper	ADV	ADP;ACC
мова	jezikovno	мова	jezikoven	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
мова	jezikovna	мова	jezikoven	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG
історії	zgodb	історія	zgodba	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL
історії	zgodovina	історія	zgodovina	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
історії	zgodovino	історія	zgodovina	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
всі	vsem	весь	ves	DET;NOM;PL	DET;DAT;MASC;PL
всі	vse	весь	ves	DET;NOM;PL	DET;NOM;NEUT;SG
всі	vseh	весь	ves	DET;NOM;PL	DET;GEN;MASC;PL
багато	veliko	багато	veliko	ADV	DET
багато	številni	багато	številen	ADV	ADJ;NOM;MASC;PL
багато	mnogi	багато	mnog	ADV	DET;NOM;MASC;PL
багато	veliko	багато	veliko	ADV	DET
багато	much	багато	much	ADV	N;NOM;MASC;SG
багато	veliko	багато	veliko	ADV	DET
більше	večja	більше	velik	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
більше	večje	більше	velik	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
більше	večja	більше	velik	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
більше	večji	більше	velik	ADV;CMPR	ADJ;NOM;DEF;CMPR;MASC;SG
більше	večje	більше	velik	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
більше	več	більше	več	ADV;CMPR	DET
кількість	količino	кількість	količina	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
шаблони	predloge	шаблон	predlog	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
перший	prvo	перший	prvi	ADJ;NOM;MASC;SG	ADJ;ACC;NEUT;SG
перший	prvi	перший	prvi	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
перший	najprej	перший	najprej	ADJ;NOM;MASC;SG	ADV;RL
площа	plazi	площа	plaziti	N;INAN;NOM;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN
площа	kvadratnih	площа	kvadraten	N;INAN;NOM;FEM;SG	ADJ;GEN;MASC;PL
країни	dežela	країна	dežela	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
країни	država	країна	država	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
країни	državo	країна	država	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
назва	naslov	назва	naslov	N;INAN;NOM;FEM;SG	N;INAN;ACC;MASC;SG
наук	vede	наука	veda	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
наук	znanosti	наука	znanost	N;INAN;GEN;FEM;PL	N;GEN;FEM;SG
розташований	nahaja	розташований	nahajati	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN
голова	glavo	голова	glava	N;ANIM;NOM;FEM;SG	N;ACC;FEM;SG
голова	head	голова	heada	N;ANIM;NOM;FEM;SG	
народився	rojen	народитися	rojen	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;INDF;MASC;SG;V.PTCP
народився	rojena	народитися	rojen	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;FEM;SG;V.PTCP
народився	rojene	народитися	rojen	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;FEM;PL;V.PTCP
народився	rojeni	народитися	rojen	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;MASC;PL;V.PTCP
щодо	glede	щодо	glede	ADP;GEN	ADV
росії	rusija	росія	rusija	PROPN;INAN;GEN;FEM;SG	N;NOM;FEM;SG
росії	rusijo	росія	rusija	PROPN;INAN;GEN;FEM;SG	N;ACC;FEM;SG
все	vse	все	ves	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
все	vsi	все	ves	PRO;INAN;NOM;NEUT;SG	DET;NOM;MASC;PL
все	vsem	все	ves	PRO;INAN;NOM;NEUT;SG	DET;DAT;MASC;PL
все	vse	все	ves	PRO;INAN;NOM;NEUT;SG	DET;NOM;NEUT;SG
все	vseh	все	ves	PRO;INAN;NOM;NEUT;SG	DET;GEN;MASC;PL
київ	kijevu	Київ	kijeva	PROPN;INAN;NOM;MASC;SG	PROPN;DAT;MASC;SG
київ	kijevu	Київ	kijeva	PROPN;INAN;NOM;MASC;SG	PROPN;DAT;MASC;SG
роботи	delo	робота	delo	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
біля	blizu	біля	blizu	ADP;GEN	ADV
веб	web	вебти	web		N;NOM;MASC;SG
статтю	članek	стаття	članek	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
статтю	člena	стаття	člen	N;INAN;ACC;FEM;SG	N;GEN;MASC;SG
статтю	člen	стаття	člen	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
статтю	izdelek	стаття	izdelek	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
праворуч	right	праворуч	righta	ADV	
праворуч	pravica	праворуч	pravica	ADV	N;NOM;FEM;SG
праворуч	prav	праворуч	prav	ADV	PART
землі	zemeljska	земля	zemeljski	N;INAN;NOM;FEM;PL	ADJ;NOM;FEM;SG
землі	zemlja	земля	zemlja	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
землі	zemlje	земля	zemlja	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
землі	zemljo	земля	zemlja	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
армії	armade	армія	armada	N;INAN;GEN;FEM;SG	N;NOM;FEM;PL
армії	vojske	армія	vojska	N;INAN;GEN;FEM;SG	N;NOM;FEM;PL
армії	armada	армія	armada	N;INAN;GEN;FEM;SG	N;NOM;FEM;SG
армії	vojska	армія	vojska	N;INAN;GEN;FEM;SG	N;NOM;FEM;SG
армії	vojsko	армія	vojska	N;INAN;GEN;FEM;SG	N;ACC;FEM;SG
однак	kakorkoli	однак	kakorkoli	CONJ	ADV
північний	severno	північний	severen	ADJ;NOM;MASC;SG	ADV
північний	sever	північний	sever	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
північний	severno	північний	severen	ADJ;NOM;MASC;SG	ADV
північний	severne	північний	severen	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
день	day	день	day	N;INAN;NOM;MASC;SG	
частина	delno	частина	delno	N;INAN;NOM;FEM;SG	ADV
південний	južno	південний	južen	ADJ;NOM;MASC;SG	ADV
південний	južno	південний	južen	ADJ;NOM;MASC;SG	ADV
південний	jug	південний	jug	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
смерті	smrt	смерть	smrt	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
перша	prvo	перший	prvi	ADJ;NOM;FEM;SG	ADJ;ACC;NEUT;SG
перша	prvi	перший	prvi	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
перша	najprej	перший	najprej	ADJ;NOM;FEM;SG	ADV;RL
такі	sledim	такий	slediti	DET;NOM;PL	V;IPFV;IND;SG;1;PRS;FIN
такі	takšna	такий	takšen	DET;NOM;PL	DET;NOM;FEM;SG
двох	dve	два	dva	NUM;ACC	NUM;NOM;FEM;DU
двох	dva	два	dva	NUM;ACC	NUM;NOM;MASC;DU
розташування	lokacij	розташування	lokacija	N;INAN;NOM;NEUT;SG	N;GEN;FEM;PL
розташування	lokacije	розташування	lokacija	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
розташування	lokacijo	розташування	lokacija	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
кар	kariere	кар.	kariera	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
кар	kariero	кар.	kariera	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
три	three	три	three	NUM;NOM	
працював	obdelani	працювати	obdelan	V;IPFV;MASC;IND;SG;PST;FIN	ADJ;NOM;MASC;PL;V.PTCP
висота	višine	висота	višina	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
входить	vstopi	входити	vstop	V;IPFV;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
різних	drugačna	різний	drugačen	ADJ;ACC;PL	ADJ;NOM;FEM;SG
різних	drugačen	різний	drugačen	ADJ;ACC;PL	ADJ;NOM;INDF;MASC;SG
різних	drugačni	різний	drugačen	ADJ;ACC;PL	ADJ;NOM;MASC;PL
різних	drugačno	різний	drugačen	ADJ;ACC;PL	ADJ;NOM;NEUT;SG
фільми	kino	фільм	kino	N;INAN;NOM;MASC;PL	N;NOM;MASC;SG
фільми	filme	фільм	film	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
сільська	podeželje	сільський	podeželje	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
сільська	podeželske	сільський	podeželski	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
створення	generacije	створення	generacija	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
створення	generacijo	створення	generacija	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
створення	ustvarjati	створення	ustvarjati	N;INAN;NOM;NEUT;SG	V;IPFV;NFIN
створення	ustvariti	створення	ustvariti	N;INAN;NOM;NEUT;SG	V;PFV;NFIN
створення	ustvari	створення	ustvariti	N;INAN;NOM;NEUT;SG	V;PFV;IND;SG;3;PRS;FIN
значення	pomeni	значення	pomeniti	N;INAN;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
значення	vrednosti	значення	vrednost	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
значення	vrednote	значення	vrednota	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
значення	vrednosti	значення	vrednost	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
вул	str	вул.	str		
системи	sistem	система	sistem	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
йому	njega	він	on	PRO;DAT;MASC;SG;3	PRO;GEN;MASC;SG;3
йому	ga	він	on	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
ніж	nož	ніж	nož	CONJ	N;NOM;MASC;SG
адреса	naslov	адреса	naslov	N;INAN;NOM;FEM;SG	N;INAN;ACC;MASC;SG
франція	francijo	франція	francija	PROPN;INAN;NOM;FEM;SG	N;ACC;FEM;SG
франція	francija	франція	francija	PROPN;INAN;NOM;FEM;SG	N;NOM;FEM;SG
франція	france	франція	franca	PROPN;INAN;NOM;FEM;SG	N;NOM;MASC;SG
адміністративний	upravne	адміністративний	upraven	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
групи	skupin	група	skupina	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL
групи	skupinami	група	skupina	N;INAN;NOM;FEM;PL	N;DAT;FEM;PL
групи	skupini	група	skupina	N;INAN;NOM;FEM;PL	N;NOM;FEM;DU
буде	will	бути	will	V;IPFV;IND;SG;3;FUT;FIN	
буде	volja	бути	volja	V;IPFV;IND;SG;3;FUT;FIN	N;NOM;FEM;SG
буде	bodø	бути	biti	V;IPFV;IND;SG;3;FUT;FIN	
динаміка	dinamike	динаміка	dinamik	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
динаміка	dinamiko	динаміка	dinamika	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
всіх	vsi	всі	ves	PRO;ANIM;ACC	DET;NOM;MASC;PL
всіх	vsem	всі	ves	PRO;ANIM;ACC	DET;DAT;MASC;PL
всіх	vse	всі	ves	PRO;ANIM;ACC	DET;NOM;NEUT;SG
всіх	vseh	всі	ves	PRO;ANIM;ACC	DET;GEN;MASC;PL
всіх	vsi	всі	ves	PRO;ANIM;ACC	DET;NOM;MASC;PL
нього	njega	він	on	PRO;ACC;MASC;SG;3	PRO;GEN;MASC;SG;3
річки	rek	річка	reka	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
тим	tym	те	tym	PRO;INAN;INS;NEUT;SG	
людей	ljudje	людина	človek	N;ANIM;ACC;FEM;PL	N;NOM;MASC;PL
людей	ljudstvo	людина	ljudstvo	N;ANIM;ACC;FEM;PL	N;NOM;NEUT;SG
людей	osebe	людина	oseba	N;ANIM;ACC;FEM;PL	N;NOM;FEM;PL
мови	jezike	мова	jezik	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
мови	jezikovno	мова	jezikoven	N;INAN;NOM;FEM;PL	ADJ;NOM;NEUT;SG
мови	jezikovna	мова	jezikoven	N;INAN;NOM;FEM;PL	ADJ;NOM;FEM;SG
мови	jezik	мова	jezik	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
поселення	poravnave	поселення	poravnava	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
розвитку	razvoj	розвиток	razvoj	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
вулиця	ulico	вулиця	ulica	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
вулиця	street	вулиця	street	N;INAN;NOM;FEM;SG	
хімічно	kemično	хімічно	kemično	ADV	ADJ;NOM;NEUT;SG
хімічно	kemijsko	хімічно	kemijski	ADV	ADJ;NOM;NEUT;SG
провінції	provincah	провінція	provinca	N;INAN;NOM;FEM;PL	N;ESS;FEM;PL
картка	kartico	картка	kartica	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
олександр	aleksandra	олександр	aleksander	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
олександр	aleksander	олександр	aleksander	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
олександр	alexander	олександр	alexander	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
офіційний	uradnik	офіційний	uradnik	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
офіційний	uradno	офіційний	uradno	ADJ;NOM;MASC;SG	ADV
тис	taxus	тис.	taxus		N;NOM;MASC;SG
тощо	etc	тощо	etc	PART	
тощо	itd	тощо	itd	PART	
тощо	idr	тощо	idr	PART	N;NOM;MASC;SG
майже	skoraj	майже	skoraj	ADV	PART
права	desno	право	desno	N;INAN;NOM;NEUT;PL	ADV
права	right	право	righta	N;INAN;NOM;NEUT;PL	
права	pravica	право	pravica	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
права	prav	право	prav	N;INAN;NOM;NEUT;PL	PART
муніципалітетів	občin	муніципалітет	občina	N;ANIM;ACC;MASC;PL	N;GEN;FEM;PL
церкви	cerkva	церква	cerkva	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
стала	konstanta	стати	konstant	V;PFV;FEM;IND;SG;PST;FIN	N;NOM;FEM;SG
стала	stalno	стати	stalno	V;PFV;FEM;IND;SG;PST;FIN	ADV
голови	glave	голова	glava	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
голови	glav	голова	glav	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL
голови	presaditev	голова	presaditev	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
