les	на	le	на	DET;DEF;PL	ADP
mort	мъртъв	mourir	мъртъв	V;MASC;SG;PST;V.PTCP	N;INDF;MASC;SG
jpg	jpg	jpg	jpg	N;MASC;SG	PROPN;INDF;MASC;SG
française	френско	français	френски	ADJ;FEM;SG	ADV
française	французи	français	француга	ADJ;FEM;SG	N;INDF;MASC;PL
française	французин	français	французин	ADJ;FEM;SG	N;INDF;MASC;SG
pierre	каменна	pierre	каменен	N;FEM;SG	ADJ;INDF;FEM;SG
pierre	стоун	pierre	стоун	N;FEM;SG	PROPN;INDF;FEM;SG
pierre	петър	pierre	петър	N;FEM;SG	PROPN;INDF;MASC;SG
pierre	питър	pierre	питър	N;FEM;SG	PROPN;INDF;MASC;SG
pierre	петер	pierre	петер	N;FEM;SG	PROPN;INDF;MASC;SG
pierre	пиер	pierre	пиер	N;FEM;SG	PROPN;INDF;MASC;SG
fois	пъти	fois	път	N;FEM;SG	N;MASC
fois	времена	fois	време	N;FEM;SG	N;INDF;NEUT;PL
fois	times	fois	times	N;FEM;SG	PROPN;INDF;MASC;SG
autre	друго	autre	друг	PRO;SG	ADV
autre	друг	autre	друг	PRO;SG	ADJ;INDF;MASC;SG
autre	други	autre	друг	PRO;SG	ADJ;INDF;PL
état	държавно	état	държавен	N;MASC;SG	ADV
église	чърч	église	чърч	N;FEM;SG	PROPN;INDF;MASC;SG
général	обща	général	общ	N;MASC;SG	ADJ;INDF;FEM;SG
général	общи	général	общ	N;MASC;SG	ADJ;INDF;PL
avril	ейприл	avril	ейприл	N;MASC;SG	PROPN;INDF;FEM;SG
avril	аврил	avril	аврил	N;MASC;SG	PROPN;INDF;FEM;SG
tous	всичко	tout	всеки	PRO;MASC;PL	PRO;NOM;NEUT;SG
politique	политиката	politique	политика	ADJ;MASC;SG	N;DEF;FEM;SG
politique	полица	politique	полица	ADJ;MASC;SG	N;INDF;FEM;SG
politique	политика	politique	политика	ADJ;MASC;SG	N;INDF;FEM;SG
politique	политици	politique	политик	ADJ;MASC;SG	N;INDF;MASC;PL
politique	политиката	politique	политика	ADJ;MASC;SG	N;DEF;FEM;SG
politique	политика	politique	политика	ADJ;MASC;SG	N;INDF;FEM;SG
août	аугуст	août	аугуст	N;MASC;SG	PROPN;INDF;MASC;SG
prix	цени	prix	цена	N;MASC;SG	N;INDF;FEM;PL
nouvelle	ню	nouveau	ню	ADJ;FEM;SG	PROPN;INDF;MASC;SG
nouvelle	ново	nouveau	нов	ADJ;FEM;SG	ADV
nouvelle	нови	nouveau	нов	ADJ;FEM;SG	ADJ;INDF;PL
grande	голямо	grand	голям	ADJ;FEM;SG	ADV
grande	големи	grand	голям	ADJ;FEM;SG	ADJ;INDF;PL
grande	биг	grand	биг	ADJ;FEM;SG	N;INDF;MASC;SG
grande	голямо	grand	голям	ADJ;FEM;SG	ADV
grande	големи	grand	голям	ADJ;FEM;SG	ADJ;INDF;PL
grande	страхотно	grand	страхотно	ADJ;FEM;SG	ADV
grande	гранде	grand	гранде	ADJ;FEM;SG	PROPN;INDF;FEM;SG
peu	няколко	peu	няколко	ADV	PRO;INDF
peu	малцина	peu	малцина	ADV	NUM;ANIM;INDF;PL
peu	малка	peu	малък	ADV	ADJ;INDF;FEM;SG
peu	малки	peu	малък	ADV	ADJ;INDF;PL
peu	малък	peu	малък	ADV	ADJ;INDF;MASC;SG
peu	литъл	peu	литъл	ADV	N;INDF;MASC;SG
américain	американско	américain	американски	ADJ;MASC;SG	ADV
américain	американец	américain	американец	ADJ;MASC;SG	N;INDF;MASC;SG
début	започнете	début	започна	N;MASC;SG	V;PFV;IMP;PL;2;FIN
nationale	национални	national	национален	ADJ;FEM;SG	ADJ;INDF;PL
nationale	национално	national	национален	ADJ;FEM;SG	ADV
nationale	nationale	national	nationale	ADJ;FEM;SG	PROPN;INDF;MASC;SG
encore	бис	encore	бис	ADV	N;INDF;NEUT;SG
vie	life	vie	life	N;FEM;SG	PROPN;INDF;MASC;SG
vie	vie	vie	vie	N;FEM;SG	PROPN;INDF;MASC;SG
unis	обединена	unir	обединя-(се)	V;MASC;PL;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
unis	обединен	unir	обединя-(се)	V;MASC;PL;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
unis	юнайтед	unir	юнайтед	V;MASC;PL;PST;V.PTCP	N;INDF;MASC;SG
unis	обединено	unir	обединя-(се)	V;MASC;PL;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
football	футболен	football	футболен	N;MASC;SG	ADJ;INDF;MASC;SG
jeux	хазарт	jeu	хазарт	N;MASC;PL	N;INDF;MASC;SG
moins	минус	moins	минус	ADV	N;INDF;MASC;SG
ouest	западно	ouest	западно	N;MASC;SG	ADV
ouest	западна	ouest	западна	N;MASC;SG	ADJ;INDF;FEM;SG
ouest	западен	ouest	западя-(се)	N;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ouest	уест	ouest	уест	N;MASC;SG	PROPN;INDF;MASC;SG
ouest	западна	ouest	западна	N;MASC;SG	ADJ;INDF;FEM;SG
ouest	западни	ouest	западен	N;MASC;SG	ADJ;INDF;PL
ouest	западен	ouest	западя-(се)	N;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ouest	западните	ouest	западен	N;MASC;SG	ADJ;DEF;PL
page	page	page	page	N;FEM;SG	INTJ
nouveau	ню	nouveau	ню	ADJ;MASC;SG	PROPN;INDF;MASC;SG
nouveau	ново	nouveau	нов	ADJ;MASC;SG	ADV
nouveau	нови	nouveau	нов	ADJ;MASC;SG	ADJ;INDF;PL
vous	си	vous	съм	PRO;PL;2	V;IPFV;IND;SG;2;PRS;FIN;ACT
vous	ти	vous	аз	PRO;PL;2	PRO;NOM;SG;2
vous	ви	vous	аз	PRO;PL;2	PRO;ACC;SG;2
cours	cours	cours	cours	N;MASC;SG	PROPN
cours	курсове	cours	курс	N;MASC;SG	N;INDF;MASC;PL
cours	курсовете	cours	курс	N;MASC;SG	N;DEF;MASC;PL
université	university	université	university	N;FEM;SG	PROPN;INDF;MASC;SG
louis	louis	loui	louis	N;MASC;SG	PROPN;INDF;MASC;SG
louis	луис	loui	луис	N;MASC;SG	PROPN;INDF;MASC;SG
leurs	тяхното	son	наш	DET;MASC;PL	DET;DEF;NEUT;SG;3
leurs	тяхната	son	наш	DET;MASC;PL	DET;DEF;FEM;SG;3
leurs	техният	son	наш	DET;MASC;PL	DET;DEF;MASC;SG;3
siècle	вековен	siècle	вековен	N;MASC;SG	ADJ;INDF;MASC;SG
coupe	режи	coupe	режа	N;FEM;SG	V;IPFV;IMP;SG;2;FIN
connexes	свързани	connexe	свържа	ADJ;MASC;PL	V;PFV;INDF;PL;V.PTCP;PASS
connexes	свързан	connexe	свържа	ADJ;MASC;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
connexes	свързана	connexe	свържа	ADJ;MASC;PL	V;PFV;INDF;FEM;SG;V.PTCP;PASS
connexes	свързано	connexe	свържа	ADJ;MASC;PL	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
homme	мъжко	homme	мъжко	N;MASC;SG	ADV
homme	мъжки	homme	мъжки	N;MASC;SG	ADJ;INDF;PL
homme	мъжете	homme	мъж	N;MASC;SG	N;DEF;MASC;PL
homme	мъже	homme	мъж	N;MASC;SG	N;INDF;MASC;PL
homme	човече	homme	човече	N;MASC;SG	ADV
national	национални	national	национален	ADJ;MASC;SG	ADJ;INDF;PL
national	национално	national	национален	ADJ;MASC;SG	ADV
société	company	société	company	N;FEM;SG	NUM;INDF;PL
cas	cas	cas	None	N;MASC;SG	PROPN;INDF;MASC;SG
cas	случаи	cas	случай	N;MASC;SG	N;INDF;MASC;PL
jeu	игри	jeu	игра	N;MASC;SG	N;INDF;FEM;PL
jeu	хазартни	jeu	хазартен	N;MASC;SG	ADJ;INDF;PL
genre	като	genre	като	N;MASC;SG	CONJ
genre	like	genre	like	N;MASC;SG	PROPN;INDF;MASC;SG
musique	music	musique	music	N;FEM;SG	PROPN;INDF;MASC;SG
fils	жици	fils	жица	N;MASC;SG	N;INDF;FEM;PL
fils	синко	fils	синко	N;MASC;SG	INTJ
fils	сине	fils	син	N;MASC;SG	PART
fils	синовете	fils	син	N;MASC;SG	N;DEF;MASC;PL
fils	синове	fils	син	N;MASC;SG	N;INDF;MASC;PL
fils	прежди	fils	прежда	N;MASC;SG	N;INDF;FEM;PL
parti	парти	partir	парта	V;MASC;SG;PST;V.PTCP	N;INDF;NEUT;SG
parti	party	partir	party	V;MASC;SG;PST;V.PTCP	ADJ
parti	купон	partir	купон	V;MASC;SG;PST;V.PTCP	N;INDF;MASC;SG
parti	партия	partir	партия	V;MASC;SG;PST;V.PTCP	N;INDF;FEM;SG
europe	европа	europe	европа	N;FEM;SG	PROPN;INDF;FEM;SG
mise	mise	mettre	mise	V;FEM;SG;PST;V.PTCP	PROPN;INDF;MASC;SG
mise	залог	mettre	залог	V;FEM;SG;PST;V.PTCP	N;INDF;MASC;SG
mise	облог	mettre	облог	V;FEM;SG;PST;V.PTCP	N;INDF;MASC;SG
ancien	древни	ancien	древен	ADJ;MASC;SG	ADJ;INDF;PL
ancien	древен	ancien	древен	ADJ;MASC;SG	N;INDF;MASC;SG
ancien	древно	ancien	древно	ADJ;MASC;SG	ADV
ancien	старо	ancien	стар	ADJ;MASC;SG	ADV
ancien	стари	ancien	стар	ADJ;MASC;SG	ADJ;INDF;PL
ancien	елдър	ancien	елдър	ADJ;MASC;SG	N;INDF;MASC;SG
ancien	старейшина	ancien	старейшина	ADJ;MASC;SG	N;INDF;MASC;SG
ancien	бивши	ancien	бивш	ADJ;MASC;SG	ADJ;INDF;PL
ancien	бивш	ancien	бивш	ADJ;MASC;SG	N;INDF;MASC;SG
école	училища	école	училище	N;FEM;SG	N;INDF;NEUT;PL
école	школи	école	школа	N;FEM;SG	N;INDF;MASC;PL
école	училищата	école	училище	N;FEM;SG	N;DEF;NEUT;PL
carrière	кариери	carrière	кариера	N;FEM;SG	N;INDF;FEM;PL
part	сподели	part	споделя	N;FEM;SG	V;PFV;IMP;SG;2;FIN
part	споделете	part	споделя	N;FEM;SG	V;PFV;IMP;PL;2;FIN
deuxième	второ	deuxième	втори	ADJ;MASC;SG	ADV
située	разположени	situer	разположа-(се)	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
charles	чарлс	charle	чарлс	N;MASC;SG	PROPN;INDF;MASC;SG
charles	шарл	charle	шарл	N;MASC;SG	PROPN;INDF;MASC;SG
paul	паул	paul	паул	N;MASC;SG	PROPN;INDF;MASC;SG
rue	street	rue	street	N;FEM;SG	PROPN;INDF;MASC;SG
rue	рю	rue	рю	N;FEM;SG	PROPN;INDF;MASC;SG
chef	шефе	chef	шефе	N;MASC;SG	ADV
exemple	примерна	exemple	примерна-(се)	N;MASC;SG	ADJ;INDF;FEM;SG
durant	дюрант	durant	дюрант	ADP	N;INDF;MASC;SG
dernier	последно	dernier	последно	ADJ;MASC;SG	ADV
dernier	последни	dernier	последен	ADJ;MASC;SG	ADJ;INDF;PL
habitants	пребиваващи	habitant	пребивавам	N;MASC;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
armée	военно	armée	военен	N;FEM;SG	ADV
armée	военен	armée	военен	N;FEM;SG	ADJ;INDF;MASC;SG
armée	военна	armée	военен	N;FEM;SG	ADJ;INDF;FEM;SG
armée	военни	armée	военен	N;FEM;SG	ADJ;INDF;PL
armée	армейски	armée	армейски	N;FEM;SG	ADJ;INDF;MASC;SG
discuter	чата	discuter	чата	V;NFIN	N;DEF;MASC;SG
discuter	чат	discuter	чат	V;NFIN	N;INDF;MASC;SG
car	защото	car	защото	CONJ	ADV
chaque	всеки	chaque	всеки	DET;FEM;SG	PRO;NOM;MASC;SG
chaque	всяко	chaque	всеки	DET;FEM;SG	PRO;NOM;NEUT;SG
chaque	всеки	chaque	всеки	DET;FEM;SG	PRO;NOM;MASC;SG
anglais	английски	anglais	английски	N;MASC;SG	ADJ;INDF;MASC;SG
anglais	англичани	anglais	англичанин	N;MASC;SG	N;INDF;MASC;PL
john	джон	john	джон	PROPN	PROPN;INDF;MASC;SG
john	йоан	john	йоан	PROPN	PROPN;INDF;MASC;SG
international	международно	international	международно	ADJ;MASC;SG	ADV
international	интернешънъл	international	интернешънъл	ADJ;MASC;SG	N;INDF;MASC;SG
international	международни	international	международен	ADJ;MASC;SG	ADJ;INDF;PL
conseil	консултации	conseil	консултация	N;MASC;SG	N;INDF;FEM;PL
conseil	съвети	conseil	съвет	N;MASC;SG	N;INDF;MASC;PL
françois	францис	françois	францис	PROPN	N;INDF;MASC;SG
françois	франсис	françois	франсис	PROPN	N;INDF;MASC;SG
françois	франсоа	françois	франсоа	PROPN	N;INDF;MASC;SG
françois	франсоа	françois	франсоа	PROPN	N;INDF;MASC;SG
maison	домашен	maison	домашен	N;FEM;SG	ADJ;INDF;MASC;SG
maison	вкъщи	maison	вкъщи	N;FEM;SG	ADV
cela	че	cela	че	PRO;SG	CONJ
demande	питайте	demande	питам-(се)	N;FEM;SG	V;IPFV;IMP;PL;2;FIN
demande	питай	demande	питам-(се)	N;FEM;SG	V;IPFV;IMP;SG;2;FIN
demande	попитай	demande	попитам	N;FEM;SG	V;PFV;IMP;SG;2;FIN
demande	попитайте	demande	попитам	N;FEM;SG	V;PFV;IMP;PL;2;FIN
fonction	функции	fonction	функция	N;FEM;SG	N;INDF;FEM;PL
droit	правилно	droit	правилно	N;MASC;SG	ADV
mois	месеци	mois	месец	N;MASC;SG	N;INDF;MASC;PL
mois	месеците	mois	месец	N;MASC;SG	N;DEF;MASC;PL
service	услуги	service	услуга	N;MASC;SG	N;INDF;FEM;PL
jacques	жак	jacque	жак	N;MASC;SG	PROPN;INDF;MASC;SG
dit	саид	dire	саид	V;MASC;SG;PST;V.PTCP	N;INDF;MASC;SG
dit	казва	dire	казвам-(се)	V;MASC;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
elles	elles	il	elles	PRO;FEM;PL;3	PROPN;INDF;MASC;SG
petit	малки	petit	малък	ADJ;MASC;SG	ADJ;INDF;PL
petit	petit	petit	petit	ADJ;MASC;SG	PROPN;INDF;MASC;SG
petit	малки	petit	малък	ADJ;MASC;SG	ADJ;INDF;PL
petit	литъл	petit	литъл	ADJ;MASC;SG	N;INDF;MASC;SG
petit	малко	petit	малко	ADJ;MASC;SG	ADV;INDF;PL
toutes	всичко	tout	всеки	PRO;FEM;PL	PRO;NOM;NEUT;SG
argent	пари	argent	пара	N;MASC;SG	N;INDF;FEM;PL
argent	парите	argent	пара	N;MASC;SG	N;DEF;FEM;PL
argent	сребърни	argent	сребърен	N;MASC;SG	ADJ;INDF;PL
argent	кеш	argent	къш	N;MASC;SG	PROPN;INDF;MASC;SG
olympiques	олимпик	olympique	олимпик	ADJ;MASC;PL	N;INDF;MASC;SG
olympiques	олимпийски	olympique	олимпийски	ADJ;MASC;PL	PROPN;INDF;MASC;SG
olympiques	олимпиадата	olympique	олимпиада	ADJ;MASC;PL	N;DEF;FEM;SG
olympiques	олимпиада	olympique	олимпиада	ADJ;MASC;PL	N;INDF;FEM;SG
quand	когато	quand	когато	CONJ	ADV
quand	кога	quand	кога	CONJ	ADV
top	top	top	top	N;MASC;SG	ADV
mondiale	световно	mondial	световен	ADJ;FEM;SG	ADV
mondiale	свят	mondial	свят	ADJ;FEM;SG	N;INDF;MASC;SG
mondiale	света	mondial	свят	ADJ;FEM;SG	N;DEF;MASC;SG
mondiale	световно	mondial	световен	ADJ;FEM;SG	ADV
mondiale	глобални	mondial	глобален	ADJ;FEM;SG	ADJ;INDF;PL
mondiale	глобално	mondial	глобален	ADJ;FEM;SG	ADV
ensemble	ансамбъл	ensemble	ансамбъл	ADV	N;INDF;MASC;SG
situé	разположени	situer	разположа-(се)	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
toute	всички	tout	всеки	DET;FEM;SG	PRO;NOM;PL
toute	всичко	tout	всеки	DET;FEM;SG	PRO;NOM;NEUT;SG
asp	asp	asp	asp	N;MASC;SG	ADJ
étaient	бяха	être	съм	V;IND;PL;3;IPFV;FIN	V;IPFV;IND;PL;3;PST;FIN;ACT
troisième	трето	troisième	трето	ADJ;MASC;SG	ADV
nombreux	mnogo	nombreux	mnogo	ADJ;MASC;PL	PROPN;INDF;NEUT;SG
nombreux	много	nombreux	много	ADJ;MASC;PL	ADV;INDF;PL
système	системни	système	системен	N;MASC;SG	ADJ;INDF;PL
stade	стад	stade	стад	N;MASC;SG	PROPN;INDF;MASC;SG
tard	закъснява	tard	закъснявам	ADV	V;IPFV;IND;SG;3;PRS;FIN;ACT
reste	остани	rester	остана	V;IND;SG;3;PRS;FIN	V;PFV;IMP;SG;2;FIN
seconde	второ	second	втори	ADJ;FEM;SG	ADV
roman	римски	roman	римски	N;MASC;SG	ADJ;INDF;MASC;SG
roman	римска	roman	римски	N;MASC;SG	ADJ;INDF;FEM;SG
jours	дена	jour	ден	N;MASC;PL	N;DEF;MASC;SG
hui	днеска	hui	днеска		ADV
hui	днес	hui	днес		ADV
éditions	éditions	édition	éditions	N;FEM;PL	PROPN;INDF;MASC;SG
historique	историческо	historique	исторически	ADJ;MASC;SG	ADV
historique	историческо	historique	исторически	ADJ;MASC;SG	ADV
historique	историята	historique	история	ADJ;MASC;SG	N;DEF;FEM;SG
historique	история	historique	история	ADJ;MASC;SG	N;INDF;FEM;SG
sera	уил	être	ухл	V;IND;SG;3;FUT;FIN	PROPN;INDF;MASC;SG
robert	роберт	robert	роберт	N;MASC;SG	PROPN;INDF;MASC;SG
robert	робер	robert	робер	N;MASC;SG	PROPN;INDF;MASC;SG
robert	робърт	robert	робърт	N;MASC;SG	PROPN;INDF;MASC;SG
officiel	официално	officiel	официално	ADJ;MASC;SG	ADV
membres	член	membre	член	N;MASC;PL	N;INDF;MASC;SG
