panel	چھاج.	panel	چھاج.	N;NOM;MASC;SG	
złom	اقتباس	złom	اقتباس	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
złom	کوڑا.	złom	کوڑا.	N;NOM;MASC;SG	
złom	تراشہ.	złom	تراشہ.	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
złom	چھٹن	złom	چھٹن	N;NOM;MASC;SG	
złom	جھاگ.	złom	جھاگ.	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
złom	جھوٹن.	złom	جھوٹن.	N;NOM;MASC;SG	V;NFIN;ACT
złom	اقتباس	złom	اقتباس	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
złom	کوڑا.	złom	کوڑا.	N;NOM;MASC;SG	
złom	تراشہ.	złom	تراشہ.	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
albatros	کوفت	albatros	کوفت		N;NOM;MASC;SG;3
albatros	علّت.	albatros	علّت.		PROPN;NOM;MASC;SG;3
dojrzewania	گدرانا.	dojrzewanie	گدرانا.	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	PROPN;NOM;MASC;SG;3
dojrzewania	پکنے	dojrzewanie	پک	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	V;NFIN;ACT
przedłużenia	تطاول	przedłużyć	تطاول	N;PFV;GEN;NEUT;SG;POS;V.MSDR	
babka	جدّہ	babka	جدّہ	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
farby	روغن	farba	روغن	N;ACC;FEM;PL	N;NOM;MASC;SG;3
farby	غازہ	farba	غازہ	N;ACC;FEM;PL	
farby	سرخی	farba	سرخی	N;ACC;FEM;PL	N;NOM;MASC;SG;3
wtorek	منگل	wtorek	منگل	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
jednolity	واحدی	jednolit	واحدی	ADJ;NOM;MASC;SG	
jednolity	(	jednolit	(	ADJ;NOM;MASC;SG	
jednolity	وردی.	jednolit	وردی.	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
płat	نرمہ.	płata	نرمہ.	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
płat	فص	płata	فص	N;NOM;MASC;SG	
płat	گوشہ	płata	گوشہ	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
nadmiar	نازیبا	nadmiar	نازیبا	N;NOM;MASC;SG	ADJ
nadmiar	تجاوز.	nadmiar	تجاوز.	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
quest	مدعا	quest	مدعا		N;NOM;MASC;SG;3
quest	مقصد	quest	مقصد		N;NOM;MASC;SG;3
quest	جستجو	quest	جستجو		N;NOM;MASC;SG;3
quest	تلاش	quest	تلاش		N;NOM;FEM;SG;3
quest	مدعا	quest	مدعا		N;NOM;MASC;SG;3
quest	مقصد	quest	مقصد		N;NOM;MASC;SG;3
quest	جستجو	quest	جستجو		N;NOM;MASC;SG;3
insygnia	بلّا	insygnia	بلّا	V;IPFV;IND;SG;PRS;FIN;ACT	PROPN;NOM;MASC;SG;3
instrumentalny	اسما	instrumentalny	اسما	ADJ;NOM;MASC;SG	
instrumentalny	سازینہ	instrumentalny	سازینہ	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
stern	دنبالہ.	stern	دنبالہ.	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
stern	درشت	stern	درشت	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
stern	پشت.	stern	پشت.	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
stern	پچھاڑی	stern	پچھاڑی	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
upper	اوپرکا	upper	اوپرکا		PROPN;NOM;MASC;SG;3
upper	اوپرکا	upper	اوپرکا		PROPN;NOM;MASC;SG;3
upper	بالائی	upper	بالائی		ADJ
biegun	لمبا	bieguny	لمبا	N;NOM;MASC;SG	ADJ;NOM;MASC
ojczyzna	دیس	ojczyzna	دیس	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
mokre	بھیگا	mokry	بھیگ	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
mokre	شراب	mokry	شراب	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
mokre	(	mokry	(	ADJ;NOM;NEUT;SG	
mokre	تری	mokry	تری	ADJ;NOM;NEUT;SG	
mokre	متوڑا	mokry	متوڑا	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
mokre	برسات	mokry	برسات	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
mokre	مریل	mokry	مریل	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
mokre	فضول.	mokry	فضول.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
mokre	(	mokry	(	ADJ;NOM;NEUT;SG	
mokre	بھگونا	mokry	بھگونا	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
mokre	رطوبت.	mokry	رطوبت.	ADJ;NOM;NEUT;SG	ADP
mokre	مشروب.	mokry	مشروب.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
mokre	گیلا	mokry	گیلا	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
mokre	نمی	mokry	نمی	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
wytyczne	رہبری.	wytyczny	رہبری.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
wytyczne	مشورہ	wytyczny	مشورہ	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
wytyczne	ہدایت	wytyczny	ہدایت	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG;3
obrazek	خیال.	obrazek	خیال.	N;NOM;MASC;SG	
obrazek	چربہ	obrazek	چربہ	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
obrazek	شبیہہ.	obrazek	شبیہہ.	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
zielono	کچّا	zielono	کچیا		PROPN;NOM;MASC;SG;3
zielono	ہلکا	zielono	ہلکا		ADJ;NOM;MASC;SG
zielono	نیا	zielono	نیا		ADJ;NOM;MASC;SG
zielono	ترکاری	zielono	ترکاری		N;NOM;FEM;SG;3
zielono	نقدی.	zielono	نقدی.		PROPN;NOM;MASC;SG;3
zielono	فریب	zielono	فریب		N;NOM;MASC;SG;3
zielono	جوانی	zielono	جوانی		PROPN;NOM;MASC;SG;3
zielono	رقم	zielono	رقم		N;NOM;MASC;SG;3
zielono	توانا	zielono	توانا		N;NOM;MASC;SG;3
zielono	چونچال.	zielono	چونچال.		PROPN;NOM;MASC;SG;3
zielono	کا	zielono	کا		ADP;NOM;MASC;SG
zielono	نوجوان	zielono	نوجوان		N;NOM;MASC;SG;3
zielono	نارسیدہ	zielono	نارسیدہ		PROPN;NOM;MASC;SG;3
zielono	ہرا	zielono	ہرا		V;PFV;MASC;SG;V.PTCP;ACT
zielono	کچّا	zielono	کچیا		PROPN;NOM;MASC;SG;3
zielono	ہلکا	zielono	ہلکا		ADJ;NOM;MASC;SG
zielono	نیا	zielono	نیا		ADJ;NOM;MASC;SG
zielono	ترکاری	zielono	ترکاری		N;NOM;FEM;SG;3
zielono	نقدی.	zielono	نقدی.		PROPN;NOM;MASC;SG;3
zielono	فریب	zielono	فریب		N;NOM;MASC;SG;3
zielono	جوانی	zielono	جوانی		PROPN;NOM;MASC;SG;3
zielono	رقم	zielono	رقم		N;NOM;MASC;SG;3
zielono	توانا	zielono	توانا		N;NOM;MASC;SG;3
zielono	چونچال.	zielono	چونچال.		PROPN;NOM;MASC;SG;3
zielono	کا	zielono	کا		ADP;NOM;MASC;SG
zielono	نوجوان	zielono	نوجوان		N;NOM;MASC;SG;3
zielono	نارسیدہ	zielono	نارسیدہ		PROPN;NOM;MASC;SG;3
zielono	تازہ	zielono	تازہ		ADJ
ustalona	آمادہ	ustalić	آمادہ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	PROPN;NOM;MASC;SG;3
nierówności	نابرابری.	nierówność	نابرابری.	N;ACC;FEM;PL	PROPN;NOM;MASC;SG;3
wczesny	جلد	wczesny	جلد	ADJ;NOM;MASC;SG	ADV
alarm	ہوشیار	alarm	ہوشیار	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
alarm	متوجہ.	alarm	متوجہ.	N;NOM;MASC;SG	ADJ
alarm	چوکنّا	alarm	چوکنّا	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
alarm	خبردار	alarm	خبردار	N;NOM;MASC;SG	ADJ
alarm	متوجہ.	alarm	متوجہ.	N;NOM;MASC;SG	ADJ
alarm	ہوشیار	alarm	ہوشیار	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
alarm	چوکنّا	alarm	چوکنّا	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
alarm	خبردار	alarm	خبردار	N;NOM;MASC;SG	ADJ
sing	گنگنانا	singa	گنگنانا		PROPN;NOM;MASC;SG;3
sing	گانا	singa	گانا		PROPN;NOM;MASC;SG;3
sing	گنگنانا	singa	گنگنانا		PROPN;NOM;MASC;SG;3
pit	رخنہ.	pit	رخنہ.	N;NOM;MASC;SG	
pit	رخنہ.	pit	رخنہ.	N;NOM;MASC;SG	
pit	گڑھا	pit	گڑھ	N;NOM;MASC;SG	V;PFV;MASC;SG;V.PTCP;ACT
duchowe	شائستہ	duchowy	شائستہ	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
duchowe	حسّاس	duchowy	حسّاس	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
duchowe	وہبی.	duchowy	وہبی.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
duchowe	قلبی	duchowy	قلبی	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
duchowe	مقدّس	duchowy	مقدل	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
wielokrotne	ملاجلا.	wielokrotny	ملاجلا.	ADJ;NOM;NEUT;SG	
wielokrotne	۱ضعاف	wielokrotny	۱ضعاف	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
wielokrotne	مضاعف	wielokrotny	مضاعف	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
wielokrotne	مرکب	wielokrotny	مرکب	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
kabina	لاری	kabina	لاری	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
kabina	(	kabina	(	N;NOM;FEM;SG	
kabina	ٹھونسنا.	kabina	ٹھونسنا.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
sporty	چھیلا	sporty	چھیل	N;NOM;MASC;PL	V;PFV;MASC;SG;V.PTCP;ACT
aborcji	ناکامی	aborcja	ناکامی	N;GEN;FEM;SG	N;NOM;MASC;SG;3
aborcji	ٹھٹھری	aborcja	ٹھٹھری	N;GEN;FEM;SG	PROPN;NOM;FEM;SG;3
aborcji	سوکھی	aborcja	سوکھی	N;GEN;FEM;SG	PROPN;NOM;MASC;SG;3
trening	مزادلت	trening	مزادلت	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
bezpieczne	کسنا	bezpieczny	کونا	ADJ;NOM;NEUT;SG	
bezpieczne	محکم	bezpieczny	محکم	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
bezpieczne	پکا	bezpieczny	پک	ADJ;NOM;NEUT;SG	V;PFV;MASC;SG;V.PTCP;ACT
bezpieczne	کسنا	bezpieczny	کونا	ADJ;NOM;NEUT;SG	
bezpieczne	محکم	bezpieczny	محکم	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
bezpieczne	پکا	bezpieczny	پک	ADJ;NOM;NEUT;SG	V;PFV;MASC;SG;V.PTCP;ACT
wart	حضرت	wart	حضرت	V;IPFV;MASC;IND;SG;PST;FIN;ACT	PART
wart	معزز	wart	معزز	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ
wart	حضرت	wart	حضرت	V;IPFV;MASC;IND;SG;PST;FIN;ACT	PART
wart	لائق	wart	لائق	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ
wart	معزز	wart	معزز	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ
płytek	کنکریٹ	płytka	کنکریٹ	N;GEN;FEM;PL	N;NOM;MASC;SG;3
topór	کلھاڑا	topór	کلھاڑا		V;PFV;MASC;SG;V.PTCP;ACT
topór	اخراجات	topór	خرچ		N;NOM;MASC;PL;3
topór	کلھاڑی	topór	کلھاڑی		PROPN;NOM;MASC;SG;3
topór	تیشہ.	topór	تیشہ.		PROPN;NOM;MASC;SG;3
topór	کلھاڑا	topór	کلھاڑا		V;PFV;MASC;SG;V.PTCP;ACT
topór	اخراجات	topór	خرچ		N;NOM;MASC;PL;3
topór	کلھاڑی	topór	کلھاڑی		PROPN;NOM;MASC;SG;3
topór	تیشہ.	topór	تیشہ.		PROPN;NOM;MASC;SG;3
tlenek	آکسائڈ.	tlenek	آکسائڈ.	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
wiązki	شہتیر	wiązka	شہتیر	N;ACC;FEM;PL	PROPN;NOM;MASC;SG;3
wiązki	بَلّی	wiązka	بَلّی	N;ACC;FEM;PL	PROPN;NOM;MASC;SG;3
pociągiem	مصاحبین	pociąg	مصاحب	N;INS;MASC;SG	N;ACC;MASC;PL;3
pociągiem	پیرو	pociąg	پیرو	N;INS;MASC;SG	PROPN;NOM;MASC;SG;3
pociągiem	لبھانا.	pociąg	لبھانا.	N;INS;MASC;SG	PROPN;NOM;MASC;SG;3
przycisk	شمشیرزنی	przycisk	شمشیرزنی		ADJ
przycisk	شمشیرزنی	przycisk	شمشیرزنی		ADJ
utrzymywać	سہارنا	utrzymywać	سہار	V;IPFV;NFIN;ACT	PROPN;NOM;MASC;SG;3
utrzymywać	مشین	utrzymywać	مشین	V;IPFV;NFIN;ACT	N;NOM;MASC;SG;3
cynku	جست	cynek	جست	N;GEN;MASC;SG	N;NOM;MASC;SG;3
almanach	تقویم.	alman	تقویم.	N;ACC;MASC;PL	PROPN;NOM;MASC;SG;3
almanach	تقویم.	alman	تقویم.	N;ACC;MASC;PL	PROPN;NOM;MASC;SG;3
almanach	جنتری	alman	جنتری	N;ACC;MASC;PL	PROPN;NOM;MASC;SG;3
wymóg	مانگ	wymóg	مانگ	N;NOM;MASC;SG	V;ACT
częściowe	جزوی.	częściowy	جزوی.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
częściowe	دلدادہ.	częściowy	دلدادہ.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ułatwienia	سہل	ułatwić	سہل	N;NOM;NEUT;SG	ADJ
gorące	ُپرجوش	gorący	ُپرجوش	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
gorące	ضرب	gorący	ضرب	ADJ;NOM;NEUT;SG	
gorące	جذباتی.	gorący	جذباتی	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
gorące	درشتی	gorący	درشتی	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
gorące	گرمانا.	gorący	گرمانا.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
gorące	سختی	gorący	سختی	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
kradzieży	سرقہ.	kradzież	سرقہ.	N;GEN;FEM;SG	PROPN;NOM;MASC;SG;3
kradzieży	چوری	kradzież	چوری	N;GEN;FEM;SG	N;NOM;FEM;SG;3
kradzieży	سرقہ.	kradzież	سرقہ.	N;GEN;FEM;SG	PROPN;NOM;MASC;SG;3
sprzedawca	بائع	sprzedawca	بائع	N;NOM;MASC;SG	
wieniec	آرائشی	wieniec	آرائشی	N;NOM;MASC;SG	ADJ
cloud	ابہام	cloud	ابہام		N;NOM;MASC;SG;3
cloud	تاریکی.	cloud	تاریکی.		PROPN;NOM;MASC;SG;3
cloud	غول.	cloud	غول.		PROPN;NOM;MASC;SG;3
cloud	دُھندلانا	cloud	دُھندلانا		V;SG;NFIN;ACT
cloud	سایہ.	cloud	سایہ.		PROPN;NOM;MASC;SG;3
cloud	ابہام	cloud	ابہام		N;NOM;MASC;SG;3
cloud	ابر	cloud	ابر		V;ACT
cloud	تاریکی.	cloud	تاریکی.		PROPN;NOM;MASC;SG;3
cloud	غول.	cloud	غول.		PROPN;NOM;MASC;SG;3
cloud	بادل	cloud	بادل		N;NOM;MASC;SG;3
cloud	دُھندلانا	cloud	دُھندلانا		V;SG;NFIN;ACT
cloud	سایہ.	cloud	سایہ.		PROPN;NOM;MASC;SG;3
metabolizm	استحالہ	metabolizm	استحالہ	N;ACC;MASC;SG	N;NOM;MASC;SG;3
metabolizm	تحوّل	metabolizm	تحوّل	N;ACC;MASC;SG	
przyroda	حیوانات	przyroda	حیوان	N;NOM;FEM;SG	N;NOM;MASC;PL;3
przyroda	نوع.	przyroda	نوع.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
niewydolność	برپا	niewydolność	برپا	N;NOM;FEM;SG	V;V.PTCP;ACT
niewydolność	منعقد	niewydolność	منعقد	N;NOM;FEM;SG	ADJ
niewydolność	دیوالہ	niewydolność	دیوالہ	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
niewydolność	سقوط	niewydolność	سقوط	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
niewydolność	خرابی	niewydolność	خرابی	N;NOM;FEM;SG	ADJ
niewydolność	بربادی.	niewydolność	بربادی.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
niewydolność	بگاڑ	niewydolność	بگاڑ	N;NOM;FEM;SG	V;ACT
niewydolność	برپا	niewydolność	برپا	N;NOM;FEM;SG	V;V.PTCP;ACT
niewydolność	منعقد	niewydolność	منعقد	N;NOM;FEM;SG	ADJ
niewydolność	دیوالہ	niewydolność	دیوالہ	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
niewydolność	سقوط	niewydolność	سقوط	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
niewydolność	خرابی	niewydolność	خرابی	N;NOM;FEM;SG	ADJ
niewydolność	بربادی.	niewydolność	بربادی.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
niewydolność	بگاڑ	niewydolność	بگاڑ	N;NOM;FEM;SG	V;ACT
prime	پہلا	primy	پہلا		ADJ;NOM;MASC;SG
prime	اساسی.	primy	اساسی.		PROPN;NOM;MASC;SG;3
prime	عروج	primy	عروج		N;NOM;MASC;SG;3
prime	بنیادی	primy	بنیادی		ADJ
prime	اقبال	primy	اقبال		PROPN;NOM;MASC;SG;3
prime	شباب.	primy	شباب.		PROPN;NOM;MASC;SG;3
tempa	چال.	tempa	چال.	N;GEN;NEUT;SG	PROPN;NOM;MASC;SG;3
tempa	حرکت	tempa	حرکت	N;GEN;NEUT;SG	N;NOM;MASC;SG;3
tempa	رفتارعمل	tempa	رفتارعمل	N;GEN;NEUT;SG	ADJ
bandy	ٹیڑھی	banda	ٹیڑھی		N;NOM;MASC;SG;3
bandy	بینڈی	banda	بینڈی		PROPN;NOM;MASC;SG;3
ciemno	ناخواندہ	ciemno	ناخواندہ	ADV	ADJ
