категорія	catégories	категорія	catégorie	N;INAN;NOM;FEM;SG	N;FEM;PL
травня	peut	травень	pouvoir	N;INAN;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
інших	autre	інший	autre	DET;GEN;PL	PRO;SG
інших	autres	інший	autre	DET;GEN;PL	PRO;PL
інших	autres	інший	autre	DET;GEN;PL	PRO;PL
серед	parmis	серед	parmettre	ADP;GEN	INTJ
один	un	один	un	NUM;NOM;MASC	PRO;MASC;SG
один	une	один	un	NUM;NOM;MASC	DET;INDF;FEM;SG
один	one	один	one	NUM;NOM;MASC	PROPN
участь	participer	участь	participer	N;INAN;ACC;FEM;SG	V;NFIN
участь	participantes	участь	participant	N;INAN;ACC;FEM;SG	ADJ;FEM;PL
участь	participant	участь	participer	N;INAN;ACC;FEM;SG	V;PRS;V.PTCP
участь	participez	участь	participer	N;INAN;ACC;FEM;SG	V;IMP;PL;2;PRS;FIN
участь	participer	участь	participer	N;INAN;ACC;FEM;SG	V;NFIN
вид	aimable	вид	aimable	N;INAN;NOM;MASC;SG	ADJ;MASC;SG
вид	espèces	вид	espèce	N;INAN;NOM;MASC;SG	N;FEM;PL
вид	afficher	вид	afficher	N;INAN;NOM;MASC;SG	V;NFIN
вид	vue	вид	voir	N;INAN;NOM;MASC;SG	V;FEM;SG;PST;V.PTCP
вид	voir	вид	voir	N;INAN;NOM;MASC;SG	V;NFIN
вид	visualiser	вид	visualiser	N;INAN;NOM;MASC;SG	V;NFIN
можна	peuvent	можна	pouvoir	ADV	V;IND;PL;3;PRS;FIN
можна	pouvez	можна	pouvoir	ADV	V;IMP;PL;2;PRS;FIN
можна	peux	можна	pouvoir	ADV	V;IND;SG;1;PRS;FIN
можна	peut	можна	pouvoir	ADV	V;IND;SG;3;PRS;FIN
місто	villes	місто	ville	N;INAN;NOM;NEUT;SG	N;FEM;PL
вже	déja	вже	déja	ADV	
вже	deja	вже	deja	ADV	INTJ
вже	dejà	вже	dejà	ADV	
срср	urss	срср	urss	PROPN;INAN;NOM;FEM;SG	PROPN
опис	descriptif	опис	descriptif	N;INAN;NOM;MASC;SG	ADJ;MASC;SG
центр	centrer	центр	centrer	N;INAN;NOM;MASC;SG	V;NFIN
захід	occidentale	захід	occidental	N;INAN;NOM;MASC;SG	ADJ;FEM;SG
захід	west	захід	west	N;INAN;NOM;MASC;SG	PROPN
тільки	seul	тільки	seul	PART	ADJ;MASC;SG
тільки	uniquement	тільки	uniquement	PART	ADV
тільки	seulement	тільки	seulement	PART	ADV
тільки	seule	тільки	seul	PART	ADJ;FEM;SG
франції	france	франція	france	PROPN;INAN;GEN;FEM;SG	N;FEM;SG
століття	siècles	століття	siècle	N;INAN;NOM;NEUT;SG	N;MASC;PL
рада	rada	рада	rada	N;INAN;NOM;FEM;SG	PROPN
схід	orientale	схід	oriental	N;INAN;NOM;MASC;SG	ADJ;FEM;SG
схід	est	схід	être	N;INAN;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
склад	entrepôts	склад	entrepôt	N;INAN;NOM;MASC;SG	N;MASC;PL
міні	mini	міні	mini		N;MASC;SG
особи	personne	особа	personne	N;ANIM;NOM;FEM;PL	N;FEM;SG
історія	historique	історія	historique	N;INAN;NOM;FEM;SG	ADJ;MASC;SG
зображення	images	зображення	image	N;INAN;NOM;NEUT;SG	N;FEM;PL
зображення	images	зображення	image	N;INAN;NOM;NEUT;SG	N;FEM;PL
зображення	photos	зображення	photo	N;INAN;NOM;NEUT;SG	N;FEM;PL
пункти	entrées	пункт	entrée	N;INAN;NOM;MASC;PL	V;FEM;PL;PST;V.PTCP
разом	together	разом	together	ADV	PROPN
інші	autre	інший	autre	DET;NOM;PL	PRO;SG
інші	autres	інший	autre	DET;NOM;PL	PRO;PL
інші	autres	інший	autre	DET;NOM;PL	PRO;PL
проти	versus	проти	versus	ADV	PROPN
проти	contre	проти	contre	ADV	ADP
проти	against	проти	against	ADV	PROPN
тут	voilà	тут	voilà	ADV	V
тут	voici	тут	voici	ADV	V
український	ukrainiennes	український	ukrainien	ADJ;NOM;MASC;SG	ADJ;FEM;PL
український	ukrainiens	український	ukrainien	ADJ;NOM;MASC;SG	ADJ;MASC;PL
мова	langues	мова	langue	N;INAN;NOM;FEM;SG	N;FEM;PL
історії	histoire	історія	histoire	N;INAN;NOM;FEM;PL	N;FEM;SG
історії	historique	історія	historique	N;INAN;NOM;FEM;PL	ADJ;MASC;SG
всі	toute	весь	tout	DET;NOM;PL	DET;FEM;SG
всі	toutes	весь	tout	DET;NOM;PL	PRO;FEM;PL
всі	tous	весь	tout	DET;NOM;PL	PRO;MASC;PL
всі	tout	весь	tout	DET;NOM;PL	PRO;MASC;SG
всі	all	весь	all	DET;NOM;PL	
багато	lots	багато	lot	ADV	N;MASC;PL
багато	nombreux	багато	nombreux	ADV	ADJ;MASC;PL
багато	nombreuses	багато	nombreux	ADV	ADJ;FEM;PL
багато	plusieurs	багато	plusieurs	ADV	PRO;PL
багато	much	багато	much	ADV	INTJ
кількість	compter	кількість	compter	N;INAN;NOM;FEM;SG	V;NFIN
кількість	quantités	кількість	quantité	N;INAN;NOM;FEM;SG	N;FEM;PL
дуже	tres	дуже	tre	ADV	ADJ;MASC;SG
два	two	два	two	NUM;NOM;MASC	PROPN
перший	premières	перший	premier	ADJ;NOM;MASC;SG	ADJ;FEM;PL
перший	premiers	перший	premier	ADJ;NOM;MASC;SG	ADJ;MASC;PL
площа	plaza	площа	plaza	N;INAN;NOM;FEM;SG	PROPN
площа	carrés	площа	carré	N;INAN;NOM;FEM;SG	N;MASC;PL
площа	carrées	площа	carrée	N;INAN;NOM;FEM;SG	ADJ;FEM;PL
країни	pays	країна	pays	N;INAN;NOM;FEM;PL	N;MASC;SG
країни	pays	країна	pays	N;INAN;NOM;FEM;PL	N;MASC;SG
назва	nommer	назва	nommer	N;INAN;NOM;FEM;SG	V;NFIN
назва	noms	назва	nom	N;INAN;NOM;FEM;SG	N;MASC;PL
розташований	situés	розташований	situer	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
розташований	située	розташований	situer	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
розташований	localisé	розташований	localiser	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
розташований	situé	розташований	situer	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
голова	head	голова	head	N;ANIM;NOM;FEM;SG	PROPN
голова	têtes	голова	tête	N;ANIM;NOM;FEM;SG	N;FEM;PL
народився	naissance	народитися	naissance	V;PFV;MASC;IND;SG;PST;FIN	N;FEM;SG
народився	born	народитися	born	V;PFV;MASC;IND;SG;PST;FIN	PROPN
сторінка	pages	сторінка	page	N;INAN;NOM;FEM;SG	N;FEM;PL
той	que	той	que	DET;NOM;MASC;SG	CONJ
той	cela	той	cela	DET;NOM;MASC;SG	PRO;SG
росії	russie	росія	russie	PROPN;INAN;GEN;FEM;SG	PROPN
все	toute	все	tout	PRO;INAN;NOM;NEUT;SG	DET;FEM;SG
все	toutes	все	tout	PRO;INAN;NOM;NEUT;SG	PRO;FEM;PL
все	tous	все	tout	PRO;INAN;NOM;NEUT;SG	PRO;MASC;PL
все	all	все	all	PRO;INAN;NOM;NEUT;SG	
київ	kiev	Київ	kiev	PROPN;INAN;NOM;MASC;SG	PROPN
київ	kiev	Київ	kiev	PROPN;INAN;NOM;MASC;SG	PROPN
зокрема	incluant	зокрема	inclure	ADV	V;PRS;V.PTCP
зокрема	comprenant	зокрема	comprendre	ADV	V;PRS;V.PTCP
роботи	travail	робота	travail	N;INAN;NOM;FEM;PL	N;MASC;SG
роботи	travailler	робота	travailler	N;INAN;NOM;FEM;PL	V;NFIN
біля	proche	біля	proche	ADP;GEN	ADJ;MASC;SG
біля	près	біля	près	ADP;GEN	ADV
проте	néanmoins	проте	néanmoins	CONJ	ADV
веб	web	вебти	web		N;MASC;SG
веб	enchaînement	вебти	enchaînement		N;MASC;SG
праворуч	droite	праворуч	droite	ADV	N;FEM;SG
праворуч	droit	праворуч	droit	ADV	N;MASC;SG
потім	puis	потім	puis	ADV	CONJ
землі	earth	земля	earth	N;INAN;NOM;FEM;PL	N;MASC;SG
землі	terre	земля	terre	N;INAN;NOM;FEM;PL	N;FEM;SG
армії	armées	армія	armer	N;INAN;GEN;FEM;SG	V;FEM;PL;PST;V.PTCP
однак	toutefois	однак	toutefois	CONJ	ADV
однак	cependant	однак	cependant	CONJ	ADV
саме	justement	саме	justement	PART	ADV
саме	précisément	саме	précisément	PART	ADV
саме	samer	саме	samer	PART	PROPN
саме	exactement	саме	exactement	PART	ADV
північний	nord	північний	nord	ADJ;NOM;MASC;SG	N;MASC;SG
північний	northern	північний	northern	ADJ;NOM;MASC;SG	PROPN
північний	nord	північний	nord	ADJ;NOM;MASC;SG	N;MASC;SG
південний	sud	південний	sud	ADJ;NOM;MASC;SG	N;MASC;SG
смерті	décès	смерть	décès	N;INAN;NOM;FEM;PL	N;MASC;SG
смерті	death	смерть	death	N;INAN;NOM;FEM;PL	PROPN
смерті	mort	смерть	mourir	N;INAN;NOM;FEM;PL	V;MASC;SG;PST;V.PTCP
перша	premières	перший	premier	ADJ;NOM;FEM;SG	ADJ;FEM;PL
перша	premiers	перший	premier	ADJ;NOM;FEM;SG	ADJ;MASC;PL
такі	suivantes	такий	suivant	DET;NOM;PL	ADJ;FEM;PL
такі	suivant	такий	suivre	DET;NOM;PL	V;PRS;V.PTCP
такі	tels	такий	tel	DET;NOM;PL	ADJ;MASC;PL
такі	tel	такий	tel	DET;NOM;PL	ADJ;MASC;SG
такі	telle	такий	tel	DET;NOM;PL	ADJ;FEM;SG
такі	telles	такий	tel	DET;NOM;PL	ADJ;FEM;PL
двох	two	два	two	NUM;ACC	PROPN
навіть	meme	навіть	même	PART	INTJ
навіть	même	навіть	même	PART	ADV
розташування	positionner	розташування	positionner	N;INAN;NOM;NEUT;SG	V;NFIN
розташування	localisations	розташування	localisation	N;INAN;NOM;NEUT;SG	N;FEM;PL
розташування	lieux	розташування	lieu	N;INAN;NOM;NEUT;SG	N;MASC;PL
три	three	три	three	NUM;NOM	PROPN
шаблонів	pochoir	шаблон	pochoir	N;INAN;GEN;MASC;PL	N;MASC;SG
різних	différente	різний	différent	ADJ;ACC;PL	ADJ;FEM;SG
різних	différent	різний	différent	ADJ;ACC;PL	ADJ;MASC;SG
фільми	cinéma	фільм	cinéma	N;INAN;NOM;MASC;PL	N;MASC;SG
фільми	ciné	фільм	ciné	N;INAN;NOM;MASC;PL	N;MASC;SG
сільська	rurales	сільський	rural	ADJ;NOM;FEM;SG	ADJ;FEM;PL
сільська	ruraux	сільський	rural	ADJ;NOM;FEM;SG	ADJ;MASC;PL
створення	créer	створення	créer	N;INAN;NOM;NEUT;SG	V;NFIN
створення	générations	створення	génération	N;INAN;NOM;NEUT;SG	N;FEM;PL
створення	créer	створення	créer	N;INAN;NOM;NEUT;SG	V;NFIN
створення	créez	створення	créer	N;INAN;NOM;NEUT;SG	V;IMP;PL;2;PRS;FIN
створення	crée	створення	créer	N;INAN;NOM;NEUT;SG	V;FEM;SG;PST;V.PTCP
створення	créent	створення	créer	N;INAN;NOM;NEUT;SG	V;IND;PL;3;PRS;FIN
створення	composer	створення	composer	N;INAN;NOM;NEUT;SG	V;NFIN
значення	signifiant	значення	signifier	N;INAN;NOM;NEUT;SG	V;PRS;V.PTCP
значення	valeurs	значення	valeur	N;INAN;NOM;NEUT;SG	N;FEM;PL
вул	str	вул.	str		
системи	système	система	système	N;INAN;NOM;FEM;PL	N;MASC;SG
крім	excepté	крім	excepté	ADP;GEN	
тоді	puis	тоді	puis	ADV	CONJ
ніж	couteau	ніж	couteau	CONJ	N;MASC;SG
ніж	couteaux	ніж	couteau	CONJ	N;MASC;PL
ніж	poignard	ніж	poignard	CONJ	N;MASC;SG
член	membres	член	membre	N;ANIM;NOM;MASC;SG	N;MASC;PL
франція	france	франція	france	PROPN;INAN;NOM;FEM;SG	N;FEM;SG
адміністративний	administratives	адміністративний	administratif	ADJ;NOM;MASC;SG	ADJ;FEM;PL
адміністративний	administratifs	адміністративний	administratif	ADJ;NOM;MASC;SG	ADJ;MASC;PL
буде	will	бути	will	V;IPFV;IND;SG;3;FUT;FIN	PROPN
буде	volonté	бути	volonté	V;IPFV;IND;SG;3;FUT;FIN	N;FEM;SG
буде	sera	бути	être	V;IPFV;IND;SG;3;FUT;FIN	V;IND;SG;3;FUT;FIN
буде	bodø	бути	bodø	V;IPFV;IND;SG;3;FUT;FIN	N;MASC;SG
динаміка	dynamiques	динаміка	dynamique	N;INAN;NOM;FEM;SG	ADJ;MASC;PL
динаміка	dynamique	динаміка	dynamique	N;INAN;NOM;FEM;SG	ADJ;MASC;SG
національний	nationaux	національний	national	ADJ;NOM;MASC;SG	ADJ;MASC;PL
національний	nationales	національний	national	ADJ;NOM;MASC;SG	ADJ;FEM;PL
всіх	toute	всі	tout	PRO;ANIM;ACC	DET;FEM;SG
всіх	toutes	всі	tout	PRO;ANIM;ACC	PRO;FEM;PL
всіх	tous	всі	tout	PRO;ANIM;ACC	PRO;MASC;PL
всіх	tout	всі	tout	PRO;ANIM;ACC	PRO;MASC;SG
всіх	all	всі	all	PRO;ANIM;ACC	
хоча	quoique	хоча	quoique	CONJ	ADV
мови	langue	мова	langue	N;INAN;NOM;FEM;PL	N;FEM;SG
мови	langage	мова	langage	N;INAN;NOM;FEM;PL	N;MASC;SG
українська	ukrainiennes	український	ukrainien	ADJ;NOM;FEM;SG	ADJ;FEM;PL
українська	ukrainiens	український	ukrainien	ADJ;NOM;FEM;SG	ADJ;MASC;PL
знаходиться	situés	знаходитися	situer	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;PL;PST;V.PTCP
знаходиться	située	знаходитися	situer	V;IPFV;IND;SG;3;PRS;FIN	V;FEM;SG;PST;V.PTCP
знаходиться	localisé	знаходитися	localiser	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;PST;V.PTCP
знаходиться	situé	знаходитися	situer	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;PST;V.PTCP
пізніше	ultérieur	пізніше	ultérieur	ADV;CMPR	ADJ;MASC;SG
вулиця	rues	вулиця	rue	N;INAN;NOM;FEM;SG	N;FEM;PL
вулиця	street	вулиця	street	N;INAN;NOM;FEM;SG	PROPN
кілька	peu	кілька	peu	DET;NOM	ADV
згодом	ultérieur	згодом	ultérieur	ADV	ADJ;MASC;SG
часто	fréquent	часто	fréquent	ADV	ADJ;MASC;SG
олександр	aleksandr	олександр	aleksandr	PROPN;ANIM;NOM;MASC;SG	PROPN
олександр	alexandre	олександр	alexandre	PROPN;ANIM;NOM;MASC;SG	N;MASC;SG
олександр	alexander	олександр	alexander	PROPN;ANIM;NOM;MASC;SG	PROPN
офіційний	fonctionnaire	офіційний	fonctionnaire	ADJ;NOM;MASC;SG	N;MASC;SG
офіційний	officielles	офіційний	officiel	ADJ;NOM;MASC;SG	ADJ;FEM;PL
офіційний	officiels	офіційний	officiel	ADJ;NOM;MASC;SG	ADJ;MASC;PL
тис	taxus	тис.	taxus		N;MASC;SG
віком	vieilli	вік	vieux	N;INAN;INS;MASC;SG	ADJ;MASC;SG
тощо	etc	тощо	etc	PART	
права	droite	право	droite	N;INAN;NOM;NEUT;PL	N;FEM;SG
права	droit	право	droit	N;INAN;NOM;NEUT;PL	N;MASC;SG
стала	constante	стати	constant	V;PFV;FEM;IND;SG;PST;FIN	ADJ;FEM;SG
стала	constantes	стати	constante	V;PFV;FEM;IND;SG;PST;FIN	ADJ;FEM;PL
стала	constant	стати	constant	V;PFV;FEM;IND;SG;PST;FIN	ADJ;MASC;SG
стала	constants	стати	constant	V;PFV;FEM;IND;SG;PST;FIN	ADJ;MASC;PL
голови	tête	голова	tête	N;INAN;NOM;FEM;PL	N;FEM;SG
голови	transplantation	голова	transplantation	N;INAN;NOM;FEM;PL	N;FEM;SG
голови	greffe	голова	greffe	N;INAN;NOM;FEM;PL	N;FEM;SG
південь	méridional	південь	méridional	N;INAN;NOM;MASC;SG	ADJ;MASC;SG
перед	prieur	перед	prieur	ADP;INS	N;MASC;SG
перед	auparavant	перед	auparavant	ADP;INS	ADV
сім	seven	сей	seven		N;MASC;SG
сім	sept	сей	sept		NUM
мав	avait	мати	avoir	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;SG;3;IPFV;FIN
мав	avaient	мати	avoir	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;PL;3;IPFV;FIN
мав	avais	мати	avoir	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;SG;1;IPFV;FIN
яке	lesquels	який	lequel	DET;NOM;NEUT;SG	PRO;MASC;PL
яке	laquelle	який	lequel	DET;NOM;NEUT;SG	PRO;FEM;SG
яке	lequel	який	lequel	DET;NOM;NEUT;SG	PRO;MASC;SG
володимир	wladimir	володимир	wladimir	ADJ;NOM;MASC;SG	PROPN
володимир	volodymyr	володимир	volodymyr	ADJ;NOM;MASC;SG	PROPN
володимир	vladimir	володимир	vladimir	ADJ;NOM;MASC;SG	PROPN
типу	taper	тип	taper	N;INAN;NOM;MASC;SG	V;NFIN
типу	tapez	тип	tape	N;INAN;NOM;MASC;SG	V;IMP;PL;2;PRS;FIN
академії	académie	академія	académie	N;INAN;NOM;FEM;PL	N;FEM;SG
академії	academy	академія	academy	N;INAN;NOM;FEM;PL	N;SG
карта	cartes	карта	carte	N;INAN;NOM;FEM;SG	N;FEM;PL
іван	ivan	іван	ivan	PROPN;ANIM;NOM;MASC;SG	PROPN
іван	jean	іван	jean	PROPN;ANIM;NOM;MASC;SG	PROPN
іван	john	іван	john	PROPN;ANIM;NOM;MASC;SG	PROPN
використання	utiliser	використання	utiliser	N;INAN;NOM;NEUT;SG	V;NFIN
використання	utilisant	використання	utiliser	N;INAN;NOM;NEUT;SG	V;PRS;V.PTCP
використання	utiliser	використання	utiliser	N;INAN;NOM;NEUT;SG	V;NFIN
використання	utilise	використання	utiliser	N;INAN;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
використання	utilisez	використання	utiliser	N;INAN;NOM;NEUT;SG	V;IMP;PL;2;PRS;FIN
використання	usages	використання	usage	N;INAN;NOM;NEUT;SG	N;MASC;PL
використання	utilise	використання	utiliser	N;INAN;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
використання	utilisations	використання	utilisation	N;INAN;NOM;NEUT;SG	N;FEM;PL
головний	chef	головний	chef	ADJ;NOM;MASC;SG	N;MASC;SG
головний	principales	головний	principal	ADJ;NOM;MASC;SG	ADJ;FEM;PL
головний	main	головний	main	ADJ;NOM;MASC;SG	N;FEM;SG
головний	principaux	головний	principal	ADJ;NOM;MASC;SG	ADJ;MASC;PL
зоря	zorya	зоря	zorya	N;INAN;NOM;FEM;SG	PROPN
зоря	etoiles	зоря	etoile	N;INAN;NOM;FEM;SG	N;FEM;PL
зоря	étoiles	зоря	étoile	N;INAN;NOM;FEM;SG	N;FEM;PL
деякі	certains	деякий	certain	DET;NOM;PL	PRO;MASC;PL
деякі	certaines	деякий	certain	DET;NOM;PL	PRO;FEM;PL
деякі	quelques	деякий	quelque	DET;NOM;PL	PRO;PL
музей	musées	музей	musée	N;INAN;NOM;MASC;SG	N;MASC;PL
діяльність	activités	діяльність	activité	N;INAN;NOM;FEM;SG	N;FEM;PL
закінчив	finis	закінчити	fini	V;PFV;MASC;IND;SG;PST;FIN	ADJ;MASC;PL
джерела	source	джерело	source	N;INAN;NOM;NEUT;PL	N;FEM;SG
кам	camps	кам	camp		N;MASC;PL
кам	campements	кам	campement		N;MASC;PL
честь	honorer	честь	honorer	N;INAN;ACC;FEM;SG	V;NFIN
організації	organismes	організація	organisme	N;INAN;GEN;FEM;SG	N;MASC;PL
організації	organisations	організація	organisation	N;INAN;GEN;FEM;SG	N;FEM;PL
організації	organisent	організація	organiser	N;INAN;GEN;FEM;SG	V;IND;PL;3;PRS;FIN
організації	organiser	організація	organiser	N;INAN;GEN;FEM;SG	V;NFIN
організації	organisatrice	організація	organisatrice	N;INAN;GEN;FEM;SG	ADJ;FEM;SG
організації	organiser	організація	organiser	N;INAN;GEN;FEM;SG	V;NFIN
своїх	leur	свій	lui	DET;ANIM;ACC;PL;REFL	PRO;PL;3
померли	décès	померти	décès	V;PFV;IND;PL;PST;FIN	N;MASC;SG
дві	two	два	two	NUM;NOM;FEM	PROPN
діяльності	activités	діяльність	activité	N;INAN;GEN;FEM;SG	N;FEM;PL
ігор	jeux	гра	jeu	PROPN;ANIM;NOM;FEM;SG	N;MASC;PL
ігор	igor	гра	igor	PROPN;ANIM;NOM;FEM;SG	PROPN
партії	parti	партія	partir	N;INAN;GEN;FEM;SG	V;MASC;SG;PST;V.PTCP
перелік	listes	перелік	liste	N;INAN;NOM;MASC;SG	N;FEM;PL
усі	toute	увесь	tout	DET;NOM;PL	DET;FEM;SG
усі	toutes	увесь	tout	DET;NOM;PL	PRO;FEM;PL
усі	tous	увесь	tout	DET;NOM;PL	PRO;MASC;PL
усі	tout	увесь	tout	DET;NOM;PL	PRO;MASC;SG
усі	all	увесь	all	DET;NOM;PL	
україна	ukraine	україна	ukrainer	PROPN;INAN;NOM;FEM;SG	ADJ;FEM;SG
свої	leur	свій	lui	DET;NOM;PL;REFL	PRO;PL;3
