som	لايك	som	لَايك	ADP	
hans	ده	hans	دٰهٰ	PRO;NEUT;SG	
norsk	النرويجية	norsk	نُروِيجِيّ	N;INDF;MASC;SG	N;NOM;DEF;SG
norsk	النرويج	norsk	نُرُويج	N;INDF;MASC;SG	
norsk	no	norsk	إِبَّ	N;INDF;MASC;SG	
flere	المتعددة	flere	مُتَعَدِّد		ADJ;NOM;DEF;FEM;SG
flere	تعدد	flere	عَدَّد		N;NOM;INDF;SG
flere	متعدد	flere	مُتَعَدِّد		ADJ;NOM;INDF;MASC;SG
flere	متعددة	flere	مُتَعَدِّد		ADJ;NOM;INDF;FEM;SG
flere	المزيد	flere	مَزِيد		N;NOM;DEF;SG
flere	اكتر	flere	أَكتَر		
flere	اكثر	flere	أَكثَر		ADJ;NOM;INDF;MASC;SG
flere	مزيد	flere	مَزِيد		N;NOM;INDF;SG
norge	النرويج	norge	نُرُويج	PROPN	
noen	شخص	noen	شَخص		N;NOM;INDF;SG
noen	احد	noen	أَحَد		N;NOM;INDF;SG
noen	البعض	noen	بَعض		N;NOM;DEF;SG
noen	بعض	noen	بَعض		N;NOM;INDF;SG
noen	اي	noen	أَي		CONJ
noen	اية	noen	أَيّ		ADJ;NOM;INDF;FEM;SG
alle	كلهم	alle	كلهم	PRO;PL;3	
alle	كله	alle	كٰلِهَ	PRO;PL;3	
alle	جميع	alle	جَمِيع	PRO;PL;3	N;NOM;INDF;SG
alle	كل	alle	كُلّ	PRO;PL;3	N;NOM;INDF;SG
alle	الكل	alle	كُلّ	PRO;PL;3	
alle	الجميع	alle	جَمِيع	PRO;PL;3	N;NOM;DEF;SG
noe	شيء	noe	شَيء		N;NOM;INDF;SG
noe	شئ	noe	شئ		N;NOM;INDF;SG
noe	حاجه	noe	حَاجَه		
noe	شي	noe	شي		
hvor	اين	hvor	أَينَ		DET
hvor	حيث	hvor	حَيثُ		CONJ
kom	تعالي	kome	تَعَالَى	V;IMP;PST;FIN	
kom	تعالى	kome	تَعَالَى	V;IMP;PST;FIN	
kom	تعال	kome	عَال	V;IMP;PST;FIN	
mange	كثير	mange	كَثِير	ADJ;PL	ADJ;NOM;INDF;MASC;SG
mange	العديد	mange	عَدِيد	ADJ;PL	ADJ;NOM;DEF;MASC;SG
mange	الكثير	mange	كَثِير	ADJ;PL	ADJ;NOM;DEF;MASC;SG
siden	منذ	siden	مُنذُ		ADP
siden	مند	siden	مَنَّد		
siden	صفحة	siden	صَفحَة		N;NOM;INDF;SG
siden	الصفحة	siden	صَفحَة		N;NOM;DEF;SG
cest	c	cra	هُوَ	N	
tidligere	سابقا	tidligere	سَابِق	N;INDF;FEM;SG	ADJ;ACC;INDF;MASC;SG
tidligere	سابق	tidligere	سَابِق	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
tidligere	السابق	tidligere	سَابِق	N;INDF;FEM;SG	N;NOM;DEF;SG
tidligere	سابق	tidligere	سَابِق	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
tidligere	السابق	tidligere	سَابِق	N;INDF;FEM;SG	N;NOM;DEF;SG
tidligere	السابقة	tidligere	سَابِق	N;INDF;FEM;SG	ADJ;NOM;DEF;FEM;SG
sammen	سويا	sam	سُويَا		
sammen	سوية	sam	سُوِيّ		
sammen	معا	sam	مَعًا		
død	الموت	død	مَوت	N;INDF;MASC;SG	N;NOM;DEF;SG
død	الوفاة	død	وَفَاة	N;INDF;MASC;SG	N;NOM;DEF;SG
død	موت	død	مَوت	N;INDF;MASC;SG	
død	ميتة	død	مَيتَة	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
død	ميت	død	ميت	N;INDF;MASC;SG	
disse	هؤلاء	disse	هٰذَا	N;INDF;NEUT;SG	DET;NOM;MASC;PL
disse	هذه	disse	هٰذَا	N;INDF;NEUT;SG	DET;NOM;FEM;SG
senere	لاحقا	senere	لَاحِق		ADJ;ACC;INDF;MASC;SG
senere	لاحق	senere	لَاحِق		ADJ;NOM;INDF;MASC;SG
del	جزء	dele	جُزء	V;IMP;FIN	N;NOM;INDF;SG
del	الجزء	dele	جُزء	V;IMP;FIN	N;NOM;DEF;SG
del	مشاركة	dele	مُشَارَكَة	V;IMP;FIN	N;NOM;INDF;SG
del	المشاركة	dele	مُشَارَكَة	V;IMP;FIN	N;NOM;DEF;SG
del	حصة	dele	حِصَّة	V;IMP;FIN	N;NOM;INDF;SG
del	نصيب	dele	نَصِيب	V;IMP;FIN	N;NOM;INDF;SG
norske	النرويجية	norsk	نُروِيجِيّ	ADJ;PL	N;NOM;DEF;SG
norske	النرويج	norsk	نُرُويج	ADJ;PL	
tre	تراي	tre	تُرَايَ	NUM;PL	
tre	الشجرة	tre	شُجرَة	NUM;PL	N;NOM;DEF;SG
tre	شجرة	tre	شُجرَة	NUM;PL	N;NOM;INDF;SG
tre	th	tre	th	NUM;PL	
tre	ثلاثه	tre	ثلاثه	NUM;PL	
mer	المزيد	mer	مَزِيد	N;INDF;MASC;SG	N;NOM;DEF;SG
mer	اكتر	mer	أَكتَر	N;INDF;MASC;SG	
mer	اكثر	mer	أَكثَر	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
vil	اريد	vilje	اريد	V;IND;PRS;FIN	
skal	ذهاب	skulle	ذَهَاب	V;IND;PRS;FIN	N;NOM;INDF;SG
skal	ذاهب	skulle	ذَاهِب	V;IND;PRS;FIN	
skal	ذاهبة	skulle	ذَاهِبَة	V;IND;PRS;FIN	ADJ;NOM;INDF;FEM;SG
selv	حتى	selv	حَتَّى		ADV
selv	حتي	selv	حَتَّى		
annet	اخرى	annet	آخَر	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
samme	نفس	samme	نَفس	N;INDF;NEUT;SG	N;NOM;PSSD;SG
samme	نفسه	samme	نفسه	N;INDF;NEUT;SG	PRO;NOM;MASC;SG;3
store	الكبير	stor	كَبِير	ADJ;PL	ADJ;NOM;DEF;MASC;SG
store	كبيرة	stor	كَبِير	ADJ;PL	ADJ;NOM;INDF;FEM;SG
store	كبيره	stor	كبيره	ADJ;PL	
store	كبير	stor	كَبِير	ADJ;PL	ADJ;NOM;INDF;MASC;SG
blitt	تصير	bli	أَصَار	ADJ;INDF;SG;V.PTCP	V;IPFV;MASC;IND;SG;2;FIN;ACT
blitt	تصبح	bli	أَصبَح	ADJ;INDF;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
blitt	يصير	bli	أَصَار	ADJ;INDF;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
blitt	يصبح	bli	أَصبَح	ADJ;INDF;SG;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
blitt	اصبح	bli	أَصبَح	ADJ;INDF;SG;V.PTCP	V;PFV;MASC;SG;3;ACT
and	البطة	and	بَطَّة		N;NOM;DEF;SG
and	بط	and	بَطّ		
and	داك	and	دَاك		
and	بطة	and	بَطَّة		
kjent	المعروفة	kjent	مَعرُوف	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
kjent	المعروف	kjent	مَعرُوف	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
sitt	اجلس	sin	أَجلَس	PRO;NEUT;SG	V;MASC;IMP;SG
mai	الماي	mai	مَاي	N;INDF;MASC;SG	
mai	ماي	mai	مَاي	N;INDF;MASC;SG	
mai	قد	mai	قَد	N;INDF;MASC;SG	PART
mai	ماي	mai	مَاي	N;INDF;MASC;SG	
bare	مجرد	bare	مُجَرَّد	ADV	N;NOM;INDF;SG
kommune	باريش	kommune	بَارِيش	N;INDF;MASC;SG	
kommune	ابرشية	kommune	أَبرَشِيّ	N;INDF;MASC;SG	
kommune	البلدية	kommune	بَلَدِيَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
nord	نورث	nord	نورث	ADP	
nord	شمالي	nord	شمالي	ADP	
nord	شمال	nord	شَمَال	ADP	N;NOM;INDF;SG
nord	شمالا	nord	شَمَال	ADP	N;ACC;INDF;SG
nord	الشمال	nord	شَمَال	ADP	N;NOM;DEF;SG
nord	نورد	nord	نورد	ADP	
ord	كلمة	ord	كَلِمَة	N;INDF;NEUT;PL	N;NOM;INDF;SG
ord	الكلمة	ord	كَلِمَة	N;INDF;NEUT;PL	N;NOM;DEF;SG
ord	الكلمات	ord	كَلِمَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
sør	جنوبي	sør	جَنُوبِيّ	ADP	ADJ;NOM;INDF;MASC;SG
sør	جنوبا	sør	جَنُوب	ADP	N;ACC;INDF;SG
sør	الجنوب	sør	جَنُوب	ADP	N;NOM;DEF;SG
sør	جنوب	sør	جَنُوب	ADP	N;NOM;INDF;SG
sør	ساوث	sør	سَاوث	ADP	
mens	بينما	mens	بَينَمَا	CONJ	CONJ
rundt	حو	rundt	حو	ADP	
rundt	حولي	rundt	حَولَى	ADP	
rundt	مستديرة	rundt	مُستَدِير	ADP	ADJ;NOM;INDF;FEM;SG
rundt	الجولة	rundt	جَولَة	ADP	N;NOM;DEF;SG
usa	امريكا	usa	أَمرِيكَا	N	
når	حين	når	حِينَ	ADV	ADP;ACC
når	عندما	når	عِندَمَا	ADV	CONJ
når	متى	når	مَتَى	ADV	DET
både	كلاهما	både	كلاهما	CONJ	
byen	تاون	by	تَاون	N;DEF;MASC;SG	
byen	بلدة	by	بَلدَة	N;DEF;MASC;SG	N;NOM;INDF;SG
byen	المدينه	by	المدينه	N;DEF;MASC;SG	
byen	مدينة	by	مَدِينَة	N;DEF;MASC;SG	N;NOM;INDF;SG
byen	سيتي	by	سِيتِي	N;DEF;MASC;SG	
gikk	مشيت	gå	مشيت	V;IND;PST;FIN	
august	اوغست	august	أَوغَس	N;INDF;MASC;SG	
vant	فاز	venje	فَاز	N;INDF;MASC;SG	V;PFV;MASC;SG;3;ACT
vant	وون	venje	وون	N;INDF;MASC;SG	
navn	الاسم	navn	اِسم	N;INDF;NEUT;SG	N;NOM;DEF;SG
navn	اسماء	navn	اِسم	N;INDF;NEUT;SG	N;NOM;INDF;PL
navn	الاسماء	navn	اِسم	N;INDF;NEUT;SG	N;NOM;DEF;PL
meter	متر	meter	مِتر	N;INDF;MASC;PL	N;NOM;INDF;SG
meter	متر	meter	مِتر	N;INDF;MASC;PL	N;NOM;INDF;SG
meter	مترا	meter	مِتر	N;INDF;MASC;PL	N;ACC;INDF;SG
meter	متر	meter	مِتر	N;INDF;MASC;PL	N;NOM;INDF;SG
dag	داغ	dag	دَاغ	N;INDF;MASC;SG	
dag	اليوم	dag	يَوم	N;INDF;MASC;SG	N;ACC;DEF;SG
dag	نهار	dag	نَهَار	N;INDF;MASC;SG	
navnet	اسم	navn	اِسم	N;DEF;NEUT;SG	N;NOM;INDF;SG
mars	المسيرة	mars	مَسِيرَة	N;INDF;MASC;SG	N;NOM;DEF;SG
mars	المريخ	mars	مَرِيخ	N;INDF;MASC;SG	N;NOM;DEF;SG
plass	الفضاء	plass	فَضَاء	N;INDF;MASC;SG	N;NOM;DEF;SG
bli	تصير	bli	أَصَار	V;IMP;FIN	V;IPFV;MASC;IND;SG;2;FIN;ACT
bli	تصبح	bli	أَصبَح	V;IMP;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
bli	يصير	bli	أَصَار	V;IMP;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
bli	يصبح	bli	أَصبَح	V;IMP;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
bli	ابقي	bli	ابقي	V;IMP;FIN	
bli	ابقى	bli	ابقى	V;IMP;FIN	
bli	البقاء	bli	بَقَاء	V;IMP;FIN	N;NOM;DEF;SG
bli	ابق	bli	ابق	V;IMP;FIN	
nye	جديد	ny	جَدِيد	ADJ;PL	ADJ;NOM;INDF;MASC;SG
nye	جدد	ny	جَدَّد	ADJ;PL	V;PFV;MASC;SG;3;ACT
nye	جديدة	ny	جَدِيد	ADJ;PL	ADJ;NOM;INDF;FEM;SG
nye	الجديد	ny	جَدِيد	ADJ;PL	ADJ;NOM;DEF;MASC;SG
tid	الزمن	tid	زَمَن	N;INDF;FEM;SG	N;NOM;DEF;SG
tid	الوقت	tid	وَقت	N;INDF;FEM;SG	N;NOM;DEF;SG
tid	الزمان	tid	زَمَان	N;INDF;FEM;SG	N;NOM;DEF;SG
mest	معظم	mykje	مُعظَم	ADJ;INDF;RL	N;NOM;INDF;SG
mest	الاكثر	mykje	أَكثَر	ADJ;INDF;RL	ADJ;NOM;DEF;MASC;SG
mest	اغلب	mykje	أَغلَب	ADJ;INDF;RL	
gang	الزمن	gang	زَمَن	N;INDF;MASC;SG	N;NOM;DEF;SG
gang	الوقت	gang	وَقت	N;INDF;MASC;SG	N;NOM;DEF;SG
gang	الزمان	gang	زَمَان	N;INDF;MASC;SG	N;NOM;DEF;SG
stor	الكبير	stor	كَبِير	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
stor	كبيره	stor	كبيره	ADJ;INDF;SG	
siste	اخر	sist	آخَر	ADJ;DEF;SG	ADJ;NOM;INDF;MASC;SG
siste	اخير	sist	أَخِير	ADJ;DEF;SG	ADJ;NOM;INDF;MASC;SG
siste	تدوم	sist	دَام	ADJ;DEF;SG	V;IPFV;FEM;IND;SG;3;FIN;ACT
siste	نهائي	sist	نِهَائِيّ	ADJ;DEF;SG	N;NOM;INDF;SG
siste	الاحدث	sist	أَحدَث	ADJ;DEF;SG	N;NOM;DEF;SG
tok	توك	ta	تَوَكَّ	V;IND;PST;FIN	
mål	اهداف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;INDF;PL
mål	الاهداف	mål	هَدَف	N;INDF;NEUT;SG	N;NOM;DEF;PL
mål	الغايات	mål	غَايَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
går	مشي	gå	مَشي	V;IND;PRS;FIN	
går	امشي	gå	امشي	V;IND;PRS;FIN	
går	المشي	gå	مُشِيّ	V;IND;PRS;FIN	N;NOM;DEF;SG
går	ذهاب	gå	ذَهَاب	V;IND;PRS;FIN	N;NOM;INDF;SG
går	ذاهب	gå	ذَاهِب	V;IND;PRS;FIN	
går	ذاهبة	gå	ذَاهِبَة	V;IND;PRS;FIN	ADJ;NOM;INDF;FEM;SG
tilbake	الظهر	tilbake	ظُهر	ADP	N;NOM;DEF;SG
tilbake	عاد	tilbake	عَاد	ADP	V;PFV;MASC;SG;3;ACT
tilbake	العودة	tilbake	عَودَة	ADP	N;NOM;DEF;SG
tilbake	عودة	tilbake	عَودَة	ADP	N;NOM;INDF;SG
tilbake	ارجع	tilbake	أَرجَع	ADP	V;PFV;MASC;SG;3;ACT
tilbake	ظهر	tilbake	ظَهَر	ADP	V;PFV;MASC;SG;3;ACT
dem	هم	dem	هُوَ		PRO;NOM;MASC;PL;3
totalt	المجموع	total	مَجمُوع	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
totalt	اجمالي	total	إِجمَالِيّ	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
totalt	الاجمالي	total	إِجمَالِيّ	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
totalt	اجمالا	total	إِجمَال	ADJ;INDF;NEUT;SG	N;ACC;INDF;SG
totalt	عموما	total	عُمُوم	ADJ;INDF;NEUT;SG	N;ACC;INDF;SG
fire	اربعه	fire	اربعه	NUM;PL	PRO;NOM;MASC;SG;3
ham	له	ham	هُوَ	N;INDF;MASC;SG	
ham	هو	ham	هُوَ	N;INDF;MASC;SG	PRO;NOM;MASC;SG;3
største	اعظم	stor	اعظم	ADJ;DEF;RL	
isbn	isbn	isbn	مُصَثَّه	ADV	V;PFV;FEM;SG;3;ACT
gruppen	مجموعة	grupp	مَجمُوعَة	N;DEF;MASC;SG	N;NOM;INDF;SG
uten	بدون	uten	بدون	N;INDF;NEUT;SG	
new	جديد	new	جَدِيد	N;INDF;SG	ADJ;NOM;INDF;MASC;SG
new	جدد	new	جَدَّد	N;INDF;SG	V;PFV;MASC;SG;3;ACT
new	جديدة	new	جَدِيد	N;INDF;SG	ADJ;NOM;INDF;FEM;SG
new	الجديد	new	جَدِيد	N;INDF;SG	ADJ;NOM;DEF;MASC;SG
igjen	مجددا	igjen	مُجَدَّد	ADV	ADJ;ACC;INDF;MASC;SG
igjen	ثانية	igjen	ثَانِي	ADV	ADJ;NOM;INDF;FEM;SG
laget	صنعت	lag	صَنَع	N;DEF;NEUT;SG	V;PFV;FEM;SG;3;PASS
laget	صنع	lag	صَنَع	N;DEF;NEUT;SG	V;PFV;MASC;SG;3;ACT
laget	مصنوع	lag	مَصنُوع	N;DEF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
laget	جعل	lag	جَعَل	N;DEF;NEUT;SG	V;PFV;MASC;SG;3;ACT
laget	فريق	lag	فَرِيق	N;DEF;NEUT;SG	N;NOM;INDF;SG
mye	ماتش	mye	مَاتِش	N;INDF;MASC;SG	
london	لندن	london	لَندَن	N;INDF;MASC;SG	
utgitt	نشر	utgitt	نَشر	ADJ;INDF;NEUT;SG;V.PTCP	N;NOM;INDF;SG
utgitt	منشور	utgitt	مَنشُور	ADJ;INDF;NEUT;SG;V.PTCP	N;NOM;INDF;SG
utgitt	نشرت	utgitt	نَشَر	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;3;ACT
engelsk	الانجليزية	engelsk	إِنجلِيزِيَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
engelsk	انجليزي	engelsk	أَنجِلِيزِيّ	N;INDF;MASC;SG	
engelsk	انجليزية	engelsk	إِنجلِيزِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
engelsk	الانكليزية	engelsk	الانكليزية	N;INDF;MASC;SG	
engelsk	بالانكليزية	engelsk	بَالانكلِيزِيّ	N;INDF;MASC;SG	
brukt	استعمل	bruke	اِستَعمَل	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;SG;3;ACT
brukt	استخدم	bruke	اِستَخدَم	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;SG;3;ACT
brukt	مستخدم	bruke	مُستَخدَم	ADJ;INDF;NEUT;SG;V.PTCP	N;NOM;INDF;SG
brukt	استخدمت	bruke	اِستَخدَم	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;3;PASS
først	اول	først	أَوَّل	ADV	ADJ;NOM;INDF;MASC;SG
først	اولا	først	أَوَّل	ADV	ADJ;ACC;INDF;MASC;SG
først	الاول	først	أَوَّل	ADV	ADJ;NOM;DEF;MASC;SG
først	الاولى	først	أَوَّل	ADV	ADJ;NOM;DEF;FEM;SG
land	البلاد	land	بَلَد	N;INDF;NEUT;SG	N;NOM;DEF;PL
land	بلاد	land	بَلَد	N;INDF;NEUT;SG	N;NOM;INDF;PL
land	البلد	land	بَلَد	N;INDF;NEUT;SG	N;NOM;DEF;SG
land	ارض	land	ارض	N;INDF;NEUT;SG	
land	اراض	land	أَرض	N;INDF;NEUT;SG	N;NOM;INDF;PL
land	الارض	land	أَرض	N;INDF;NEUT;SG	N;NOM;DEF;SG
land	الاراضي	land	أَرض	N;INDF;NEUT;SG	N;NOM;DEF;PL
land	بلدان	land	بَلَد	N;INDF;NEUT;SG	N;NOM;INDF;PL
land	البلدان	land	بَلَد	N;INDF;NEUT;SG	N;NOM;DEF;PL
land	الدول	land	دَولَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
sommer	صيفي	sommer	صِيفِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
sommer	الصيف	sommer	صَيف	N;INDF;MASC;SG	N;NOM;DEF;SG
sommer	سمر	sommer	سمر	N;INDF;MASC;SG	
sommer	سومر	sommer	سومر	N;INDF;MASC;SG	
jpg	jpg	jpg	مُثَّة	N;INDF;MASC;SG	V;PFV;MASC;SG;3;ACT
liste	قائمه	liste	قائمه	N;INDF;FEM;SG	
liste	القائمة	liste	قَائِمَة	N;INDF;FEM;SG	N;NOM;DEF;SG
side	جنب	side	جَنب	N;INDF;FEM;SG	
side	الجانب	side	جَانِب	N;INDF;FEM;SG	N;NOM;DEF;SG
side	الصفحة	side	صَفحَة	N;INDF;FEM;SG	N;NOM;DEF;SG
helt	البطل	helt	بَطَل	N;INDF;MASC;SG	N;NOM;DEF;SG
vest	ويست	vest	ويست	ADP	
vest	الغرب	vest	غَرب	ADP	N;NOM;DEF;SG
vest	غربا	vest	غَرب	ADP	N;ACC;INDF;SG
vest	غرب	vest	غَرب	ADP	N;NOM;INDF;SG
vest	غربي	vest	غَربِيّ	ADP	ADJ;NOM;INDF;MASC;SG
vest	صدرية	vest	صِدرِيّ	ADP	ADJ;NOM;INDF;FEM;SG
vest	غربي	vest	غَربِيّ	ADP	ADJ;NOM;INDF;MASC;SG
vest	غربية	vest	غَربِيّ	ADP	ADJ;NOM;INDF;FEM;SG
vest	الغربية	vest	غَربِيّ	ADP	ADJ;NOM;DEF;FEM;SG
vest	غرب	vest	غَرب	ADP	N;NOM;INDF;SG
beste	اطيب	god	أَطَاب	ADJ;DEF;RL	
beste	ضل	god	ضَلّ	ADJ;DEF;RL	V;PFV;MASC;SG;3;ACT
beste	افضل	god	أَفضَل	ADJ;DEF;RL	ADJ;NOM;INDF;MASC;SG
amerikansk	امريكيون	amerikansk	أَمرِيكِيّ	ADJ;INDF;SG	N;NOM;INDF;PL
amerikansk	الامريكي	amerikansk	أَمرِيكِيّ	ADJ;INDF;SG	N;NOM;DEF;SG
grunn	السبب	grunn	سَبَب	N;INDF;MASC;SG	N;NOM;DEF;SG
kommer	ات	kommer	أَت		
kommer	قادمون	kommer	قَادِم		ADJ;NOM;INDF;MASC;PL
kommer	قادم	kommer	قَادِم		ADJ;NOM;INDF;MASC;SG
kommer	قادمة	kommer	قَادِم		ADJ;NOM;INDF;FEM;SG
artikkelen	مقالة	artikkel	مَقَالَة	N;DEF;MASC;SG	N;NOM;INDF;SG
artikkelen	مقال	artikkel	مَقَال	N;DEF;MASC;SG	N;NOM;INDF;SG
rekke	السلسلة	rekke	سِلسِلَة	N;INDF;FEM;SG	N;NOM;DEF;SG
rekke	مسلسلات	rekke	مُسلِسِلّ	N;INDF;FEM;SG	N;NOM;INDF;PL
hva	ما	hva	مَا	N;INDF;NEUT;SG	DET
hva	ماذا	hva	مَاذَا	N;INDF;NEUT;SG	DET
hva	ايش	hva	أَيش	N;INDF;NEUT;SG	
hva	شنو	hva	شَنُو	N;INDF;NEUT;SG	
landet	بلد	land	بَلَد	N;DEF;NEUT;SG	N;NOM;INDF;SG
landet	البلاد	land	بَلَد	N;DEF;NEUT;SG	N;NOM;DEF;PL
landet	بلاد	land	بَلَد	N;DEF;NEUT;SG	N;NOM;INDF;PL
arter	الانواع	arter	نَوع	N;INDF;FEM;PL	N;NOM;DEF;PL
området	مساحة	område	مِسَاحَة	N;DEF;NEUT;SG	N;NOM;INDF;SG
området	منطقة	område	مِنطَقَة	N;DEF;NEUT;SG	N;NOM;INDF;SG
ned	اسفل	ned	أَسفَل	ADP	
ned	نيد	ned	نيد	ADP	
john	جون	john	جُون	N;INDF;MASC;SG	
john	يوحنا	john	يوحنا	N;INDF;MASC;SG	
lag	الفريق	lag	فَرِيق	N;INDF;NEUT;SG	N;NOM;DEF;SG
