sony	sony	sony	sony	N;INDF;MASC;SG	PROPN;NOM
pictată	målade	picta	måla	ADJ;INDF;FEM;SG	V;PST;V.PTCP;ACT
pictată	målad	picta	målad	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
pictată	målas	picta	målas	ADJ;INDF;FEM;SG	V;NFIN;PASS
pictată	målat	picta	måla	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
progresul	progress	progres	progress	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
progresul	förlopp	progres	förlopp	N;DEF;MASC;SG	N;NOM;INDF;NEUT;SG
progresul	framsteg	progres	framsteg	N;DEF;MASC;SG	N;NOM;INDF;NEUT;PL
rundă	avrunda	rund	avrunda	N;INDF;FEM;SG	V;IMP;FIN;ACT
rundă	omgång	rund	omgång	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
rundă	rund	rund	rund	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
rundă	runt	rund	runt	N;INDF;FEM;SG	ADV
rundă	runda	rund	rund	N;INDF;FEM;SG	ADJ;NOM;PL
emanuel	emanuel	emanuel	emanuel	PROPN	PROPN;NOM
reforme	reformerna	reformă	reform	N;INDF;FEM;PL	N;NOM;DEF;MASC+FEM;PL
junior	junior	junior	junia		N;NOM;INDF;MASC+FEM;SG
junior	yngre	junior	ung		ADJ;NOM;CMPR
platon	platon	platon	platon	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
arhivele	arkiv	arhivă	arkiv	N;DEF;FEM;PL	N;NOM;INDF;NEUT;SG
arhivele	arkiverar	arhivă	arkivera	N;DEF;FEM;PL	V;IND;PRS;FIN;ACT
arhivele	arkiven	arhivă	arkive	N;DEF;FEM;PL	N;NOM;DEF;NEUT;PL
metrou	tunnelbanan	metrou	tunnelbana	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
vendée	vendée	vendée	vend	PROPN	N;NOM;INDF;MASC+FEM;SG
vicar	kyrkoherden	vicar	kyrkoherd	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
prelucrarea	beredning	prelucrare	beredning	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
prelucrarea	förädling	prelucrare	förädling	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
prelucrarea	bearbetning	prelucrare	bearbetning	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
prelucrarea	bearbetar	prelucrare	bearbeta	N;DEF;FEM;SG	V;IND;PRS;FIN;ACT
sclavi	slavarna	sclav	slav	N;INDF;MASC;PL	N;NOM;DEF;MASC+FEM;PL
wrestling	brottning	wrestling	brottning	PROPN	N;NOM;INDF;MASC+FEM;SG
wrestling	brottas	wrestling	brottas	PROPN	V;FIN;PASS
nasr	nasr	nasr	nasr	PROPN	PROPN;NOM
merit	meriter	merit	merit	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
merit	förtjänster	merit	förtjänst	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
perspectivă	perspektivet	perspectivă	perspektiv	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
perspectivă	perspektiv	perspectivă	perspektiv	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
singular	singular	singular	singul	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
recenzie	översyn	recenzie	översyn	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
recenzie	granskning	recenzie	granskning	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
recenzie	granska	recenzie	granska	N;INDF;FEM;SG	V;IMP;FIN;ACT
recenzie	omprövning	recenzie	omprövning	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
recenzie	recension	recenzie	recension	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
pierdută	förlorat	pierde	förlora	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
pierdută	förlorad	pierde	förlorad	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
pierdută	vilse	pierde	vilse	ADJ;INDF;FEM;SG	ADV
pierdută	lost	pierde	lost	ADJ;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
pierdută	förlorade	pierde	förlora	ADJ;INDF;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
stewart	stewart	stewart	stew	PROPN	PROPN;NOM
trimisă	skickas	trimite	skicka	ADJ;INDF;FEM;SG	V;IND;PRS;FIN;PASS
trimisă	skickade	trimite	skicka	ADJ;INDF;FEM;SG	V;IND;PST;FIN;ACT
trimisă	skickat	trimite	skicka	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
trimisă	skickad	trimite	skicka	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
aveyron	aveyron	aveyron	aveyron	PROPN	N;NOM;INDF;MASC+FEM;SG
obținută	uppnådda	obține	uppnådd	ADJ;INDF;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
obținută	framställda	obține	framställd	ADJ;INDF;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
obținută	erhållen	obține	erhåll	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
obținută	erhållna	obține	erhålla	ADJ;INDF;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
obținută	erhållits	obține	erhålla	ADJ;INDF;FEM;SG	V;V.CVB;PASS
adâncimea	djup	adâncime	djup	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
adâncimea	djupet	adâncime	djup	N;DEF;FEM;SG	N;NOM;DEF;NEUT;SG
chelsea	chelsea	chelsea	chelse	N;DEF;FEM;SG	PROPN;NOM
unire	sammanfoga	unire	sammanfoga	N;INDF;FEM;SG	V;IMP;FIN;ACT
unire	sammanfogning	unire	sammanfogning	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
unire	bindning	unire	bindning	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
întâlnirea	sammanträde	întâlnire	sammanträde	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
întâlnirea	möte	întâlnire	möte	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
întâlnirea	mötet	întâlnire	möte	N;DEF;FEM;SG	N;NOM;DEF;NEUT;SG
cursa	lopp	cursă	lopp	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
cursa	race	cursă	race	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
cursa	ras	cursă	ras	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
cursa	tävla	cursă	tävla	N;DEF;FEM;SG	V;IMP;FIN;ACT
cursa	tävling	cursă	tävling	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
doctoratul	doktorsexamen	doctorat	doktorsexam	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
doctoratul	doktorsgrad	doctorat	doktorsgrad	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
catalogul	sortiment	catalog	sortiment	N;DEF;MASC;SG	N;NOM;INDF;NEUT;SG
catalogul	katalogen	catalog	katalog	N;DEF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
catalogul	katalog	catalog	katalog	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
catalogul	katalog	catalog	katalog	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
publicitate	annonsera	publicitate	annonsera	N;INDF;FEM;SG	V;IMP;FIN;ACT
publicitate	reklam	publicitate	reklam	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
publicitate	annonsering	publicitate	annonsering	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
vânt	vinden	vânt	vind	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
blocarea	blockering	blocare	blockering	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
blocarea	blockerar	blocare	blockera	N;DEF;FEM;SG	V;IND;PRS;FIN;ACT
blocarea	blockera	blocare	blockera	N;DEF;FEM;SG	V;IMP;NFIN;ACT
obiectivul	målsättning	obiectiv	målsättning	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
obiectivul	objektiv	obiectiv	objektiv	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
obiectivul	objektivt	obiectiv	objektiv	N;DEF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
regilor	kings	regilor	kinga	N;DEF;MASC;PL	PROPN;NOM
regilor	kungar	regilor	kung	N;DEF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
regilor	konungar	regilor	konung	N;DEF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
regilor	kungarna	regilor	kung	N;DEF;MASC;PL	N;NOM;DEF;MASC+FEM;PL
spirituale	själslig	spiritual	själslig	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG
spirituale	andlig	spiritual	andlig	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG
spirituale	andligt	spiritual	andlig	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;NEUT;SG
elevii	studenter	elev	student	N;DEF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
elevii	studerande	elev	studerande	N;DEF;MASC;PL	ADJ;NOM;PRS;V.PTCP
elevii	elever	elev	elev	N;DEF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
elevii	pupiller	elev	pupiller	N;DEF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
elevii	elever	elev	elev	N;DEF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
determinarea	fastställande	determinare	fastställande	N;DEF;FEM;SG	ADJ;NOM;PRS;V.PTCP
determinarea	bestämning	determinare	bestämning	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
determinarea	beslutsamhet	determinare	beslutsamhet	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
determinarea	bestämdhet	determinare	bestämdhet	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
frumoasa	vackra	frumos	vacker	ADJ;DEF;FEM;SG	ADJ;NOM;PL
frumoasa	vacker	frumos	vacker	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
frumoasa	vackert	frumos	vacker	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
mobilă	rörlig	mobilă	rörlig	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
mobilă	mobil	mobilă	mobil	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
mobilă	mobila	mobilă	mobil	N;INDF;FEM;SG	ADJ;NOM;PL
mobilă	inventarier	mobilă	inventarium	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;PL
mobilă	möbler	mobilă	möbel	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;PL
potter	potter	potter	pott	PROPN	N;NOM;INDF;MASC+FEM;SG
corina	corina	corină	corin	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
anonim	anonym	anonim	anonym		ADJ;NOM;INDF;MASC+FEM;SG
anonim	anonyma	anonim	anonym		ADJ;NOM;PL
plumb	leda	plumb	leda	N;INDF;MASC;SG	V;IMP;FIN;ACT
localizat	ligger	localiza	ligga	ADJ;INDF;MASC;SG	V;IND;PRS;FIN;ACT
localizat	lokaliserade	localiza	lokalisera	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
side	sidan	side	sida		N;NOM;DEF;MASC+FEM;SG
side	side	side	side		PROPN;NOM
side	sido	side	sido		N;NOM;INDF;MASC+FEM;SG
efortul	ansträngning	efort	ansträngning	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
efortul	insats	efort	insats	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
navală	naval	naval	naval	ADJ;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
cartoon	tecknade	cartoon	teckna	N;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
cartoon	tecknat	cartoon	teckna	N;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
pânză	canvas	pânză	canva	N;INDF;FEM;SG	V;NFIN;PASS
pânză	duk	pânză	duk	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
necunoscută	okända	necunoscut	okänd	ADJ;INDF;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
necunoscută	okänd	necunoscut	okänd	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
necunoscută	okänt	necunoscut	okän	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
doctrina	doktrin	doctrină	doktri	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
doctrina	doktrinen	doctrină	doktrin	N;DEF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
senatul	senaten	senat	senat	N;DEF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
senatul	senat	senat	sena	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
concentrat	koncentrerade	concentrat	koncentrera	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
concentrat	koncentrera	concentrat	koncentrera	ADJ;INDF;MASC;SG	V;IMP;FIN;ACT
concentrat	koncentrat	concentrat	koncentrat	ADJ;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
concentrat	fokuserade	concentrat	fokusera	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
stars	stjärnor	stars	stjärna	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
lipsesc	saknade	lipsi	sakna	V;IND;PL;3;PRS;FIN	V;IND;PST;FIN;ACT
lipsesc	saknad	lipsi	saknad	V;IND;PL;3;PRS;FIN	N;NOM;INDF;MASC+FEM;SG
lipsesc	försvunnen	lipsi	försvinn	V;IND;PL;3;PRS;FIN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
catalog	katalogen	catalog	katalog	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
toronto	toronto	toronto	toronto	PROPN	PROPN;NOM
darwin	darwin	darwin	darBi	PROPN	PROPN;NOM
rey	rey	rey	rey	PROPN	N;NOM;INDF;NEUT;SG
cadre	motiv	cadre	motiv	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
cadre	ramverk	cadre	ramverk	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
așteptat	förväntade	aștepta	förväntad	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
așteptat	förväntas	aștepta	förvänta	ADJ;INDF;MASC;SG	V;IND;PRS;FIN;PASS
așteptat	väntas	aștepta	vänta	ADJ;INDF;MASC;SG	V;IND;PRS;FIN;PASS
așteptat	väntade	aștepta	vänta	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
copie	kopiera	copie	kopiera	N;INDF;FEM;SG	V;IMP;FIN;ACT
copie	kopia	copie	kopia	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
augusta	augusta	augusta	august	N;DEF;FEM;SG	PROPN;NOM
nièvre	nièvre	nihvră	nitvre	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
individ	individuell	individ	individuell	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
individ	individuellt	individ	individuell	N;INDF;MASC;SG	ADV
individ	individuella	individ	individuell	N;INDF;MASC;SG	ADJ;NOM;PL
cauze	orsakar	cauză	orsak	N;INDF;FEM;PL	V;IND;PRS;FIN;ACT
posturi	inlägg	post	inlägg	N;INDF;FEM;PL	N;NOM;INDF;NEUT;SG
rosa	rosa	rosa	rosa	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
neil	neil	neil	neil	PROPN	PROPN;NOM
murray	murray	murray	murray	PROPN	PROPN;NOM
giorgio	giorgio	giorgio	giorgio	PROPN	PROPN;NOM
bloc	blockera	bloc	blockera	N;INDF;MASC;SG	V;IMP;NFIN;ACT
bloc	blocket	bloc	block	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
bloc	blocka	bloc	blocka	N;INDF;MASC;SG	V;IMP;FIN;ACT
extremă	extrem	extrem	extrem	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
extremă	extrema	extrem	extrem	ADJ;INDF;FEM;SG	ADJ;NOM;PL
extremă	extremt	extrem	extrem	ADJ;INDF;FEM;SG	ADV
sophie	sophie	sophie	sophie	PROPN	PROPN;NOM
fundamentală	grundläggande	fundamental	grundläggande	ADJ;INDF;FEM;SG	ADJ;NOM;PRS;V.PTCP
fundamentală	fundamentala	fundamental	fundamental	ADJ;INDF;FEM;SG	ADJ;NOM;PL
fundamentală	fundamental	fundamental	fundamental	ADJ;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
fundamentală	fundamentalt	fundamental	fundamental	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
democratice	demokratiskt	democratic	demokratisk	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;NEUT;SG
democratice	demokratisk	democratic	demokratisk	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC+FEM;SG
verii	kusiner	vară	kusin	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;PL
verii	kusinerna	vară	kusin	N;DEF;FEM;SG	N;NOM;DEF;MASC+FEM;PL
aventură	äventyr	aventură	äventyr	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
ciot	stub	ciot	stub	ADJ;INDF;MASC;SG	V;IMP;FIN;ACT
ciot	stump	ciot	stump	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
gri	grå	gri	grå		N;NOM;INDF;MASC+FEM;SG
gri	grått	gri	gråda		ADJ;NOM;INDF;NEUT;SG
gri	gråa	gri	gråa		ADJ;NOM;PL
gri	grå	gri	grå		N;NOM;INDF;MASC+FEM;SG
gri	grått	gri	gråda		ADJ;NOM;INDF;NEUT;SG
gri	gråa	gri	gråa		ADJ;NOM;PL
producători	tillverkarna	producător	tillverkare	N;INDF;MASC;PL	N;NOM;DEF;MASC+FEM;PL
editată	redigerat	edita	redigera	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
editată	redigerade	edita	redigera	ADJ;INDF;FEM;SG	ADJ;NOM;PL;PST;V.PTCP
gratuit	free	gratuit	free	ADJ;INDF;MASC;SG	V;IMP;FIN;ACT
gratuit	fritt	gratuit	fri	ADJ;INDF;MASC;SG	ADV
gratuit	fria	gratuit	fri	ADJ;INDF;MASC;SG	ADJ;NOM;PL
proiectele	projekt	proiect	projekt	N;DEF;FEM;PL	N;NOM;INDF;NEUT;SG
versailles	versailles	versailles	versaill	N;INDF;MASC;SG	PROPN;NOM
floarea	blomma	floare	blomma	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
floarea	blomman	floare	blomma	N;DEF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
terry	terry	terry	terry	PROPN	PROPN;NOM
nordice	nordic	nordic	nordic	ADJ;INDF;FEM;PL	PROPN;NOM
nordice	nordisk	nordic	nordisk	ADJ;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
desemnează	utse	desemna	utse	V;IND;3;PRS;FIN	V;IMP;FIN;ACT
viziune	syn	viziune	syn	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
viziune	visioner	viziune	vision	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;PL
viziune	vision	viziune	vision	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
partidele	fester	partid	fest	N;DEF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
partidele	parter	partid	part	N;DEF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
partidele	partier	partid	parti	N;DEF;FEM;PL	N;NOM;INDF;NEUT;PL
partidele	parterna	partid	part	N;DEF;FEM;PL	N;NOM;DEF;MASC+FEM;PL
catalonia	katalonien	catalonie	kataloni	N;DEF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
profesie	yrke	profesie	yrke	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
profesie	yrket	profesie	yrke	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
mayenne	mayenne	mayenn	mayenne	N;INDF;FEM;SG	PROPN;NOM
dean	dekanus	dean	dekanus	PROPN	N;NOM;DEF;MASC+FEM;SG
dean	dean	dean	de	PROPN	PROPN;NOM
zagreb	zagreb	zagreb	zagreb	N;INDF;MASC;SG	PROPN;NOM
exemplul	exempel	exemplu	exempel	N;DEF;MASC;SG	N;NOM;INDF;NEUT;SG
incintă	inhägnad	incintă	inhägnad	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
incintă	inneslutning	incintă	inneslutning	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
magnolia	magnolia	magnolie	magnoli	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
informare	genomgången	informare	genomgång	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
informare	genomgång	informare	genomgång	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
bere	öl	bere	öl	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
solicitat	efterfrågade	solicita	efterfråga	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
solicitat	begärda	solicita	begärd	ADJ;INDF;MASC;SG	ADJ;NOM;PL
solicitat	begärde	solicita	begära	ADJ;INDF;MASC;SG	V;IND;PST;FIN;ACT
mandatul	fullmakt	mandat	fullmakt	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
mandatul	mandatperiod	mandat	mandatperiod	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
mandatul	mandat	mandat	manda	N;DEF;MASC;SG	N;NOM;INDF;NEUT;SG
mandatul	mandatet	mandat	mandat	N;DEF;MASC;SG	N;NOM;DEF;NEUT;SG
cape	cape	cape	cape	N;INDF;MASC;SG	PROPN;NOM
expert	experten	expert	expert	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
wagner	wagner	wagner	wagner	PROPN	PROPN;NOM
călugăr	munken	călugăr	munke	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
scandal	skandalen	scandal	skandal	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
scandal	skandaler	scandal	skandal	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
digitală	digitala	digitală	digital	ADJ;INDF;FEM;SG	ADJ;NOM;PL
digitală	digitalt	digitală	digital	ADJ;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
digitală	digital	digitală	digital	ADJ;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
mențiune	term	mențiune	term	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
mențiune	termen	mențiune	term	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
fals	false	fals	false	ADJ;INDF;MASC;SG	PROPN;NOM
fals	falska	fals	falsk	ADJ;INDF;MASC;SG	ADJ;NOM;PL
fals	falska	fals	falsk	ADJ;INDF;MASC;SG	ADJ;NOM;PL
fals	fake	fals	fake	ADJ;INDF;MASC;SG	V;IMP;FIN;ACT
ruta	färdväg	ruta	färdväg	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ruta	väg	ruta	väg	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ruta	rutt	ruta	rutt	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
clement	clément	clement	clément	PROPN	PROPN;NOM
clement	clement	clement	clement	PROPN	PROPN;NOM
liberi	fri	liber	fri	ADJ;INDF;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
liberi	free	liber	free	ADJ;INDF;MASC;PL	V;IMP;FIN;ACT
liberi	ledig	liber	ledig	ADJ;INDF;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
