johannes	johannes	johanne	johannes	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
iniciatīvu	pobudo	iniciatīva	pobuda	ADJ;ACC;MASC;SG	N;ACC;FEM;SG
espn	espn	espn	espn		PROPN;NOM;MASC;SG
redzamais	vidno	redzēt	vidno	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADV
redzamais	vidni	redzēt	viden	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;MASC;PL
redzamais	viden	redzēt	viden	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG
redzamais	vidna	redzēt	viden	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;FEM;SG
tuvojas	približevanje	tuvoties	približevanje	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	N;NOM;NEUT;SG
sliedes	sledi	sliede	slediti	N;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN
sliedes	železniški	sliede	železniški	N;NOM;FEM;PL	ADJ;NOM;MASC;SG
sliedes	železnica	sliede	železnica	N;NOM;FEM;PL	N;NOM;FEM;SG
virsotni	vertex	virsotne	vertex	N;ACC;FEM;SG	N;NOM;MASC;SG
emma	ema	emma	ema	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
emma	emma	emma	emma	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
atkārtots	ponavljajoče	atkārtot	ponavljajoč	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
atkārtots	ponovi	atkārtot	ponoviti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;IND;SG;3;PRS;FIN
beļģu	belgijska	beļģas	belgijski	N;GEN;MASC;PL	ADJ;NOM;FEM;SG
beļģu	belgijski	beļģas	belgijski	N;GEN;MASC;PL	ADJ;NOM;MASC;SG
beļģu	belgijske	beļģas	belgijski	N;GEN;MASC;PL	ADJ;NOM;FEM;PL
beļģu	belgijsko	beļģas	belgijski	N;GEN;MASC;PL	ADJ;NOM;NEUT;SG
ralfs	ralf	ralfs	ralf	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
ralfs	ralph	ralfs	ralph	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
ein	ein	ein	ein		
tiesnešu	sodniki	tiesnesis	sodnik	N;GEN;MASC;PL	N;NOM;MASC;PL
izvirzīts	nominiran	izvirzīt	nominiran	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
zvejas	ribolov	zveja	ribolov	N;NOM;FEM;PL	N;NOM;MASC;SG
zvejas	ribarjenje	zveja	ribarjenje	N;NOM;FEM;PL	N;NOM;NEUT;SG
zvejas	ribolova	zveja	ribolov	N;NOM;FEM;PL	N;GEN;MASC;SG
martina	martina	martināt	martina	N;NOM;FEM;SG	N;ACC;MASC;SG
septītā	seventh	septīt	seventh	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
septītā	sedmega	septīt	sedem	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;SG
atbildi	odgovor	atbilde	odgovor	N;ACC;FEM;SG	N;NOM;MASC;SG
atbildi	odgovori	atbilde	odgovor	N;ACC;FEM;SG	N;NOM;MASC;PL
atbildi	odgovor	atbilde	odgovor	N;ACC;FEM;SG	N;NOM;MASC;SG
atbildi	odgovori	atbilde	odgovor	N;ACC;FEM;SG	N;NOM;MASC;PL
precizitāti	točnost	precizitāte	točnost	N;ACC;FEM;SG	N;NOM;FEM;SG
precizitāti	natančnost	precizitāte	natančnost	N;ACC;FEM;SG	N;NOM;FEM;SG
asinīm	kri	asins	kri	N;DAT;FEM;PL	N;NOM;FEM;SG
pavasaris	spomladanska	pavasaris	spomladanski	N;NOM;MASC;SG	ADJ;NOM;FEM;SG
pavasaris	pomladno	pavasaris	pomladno	N;NOM;MASC;SG	ADJ;NOM;NEUT;SG
gatavo	končano	gatavot	končan	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
gatavo	končana	gatavot	končan	V;FH;IND;2;POS;PRS;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
visam	vse	viss	ves	PRO;DAT;MASC;SG	DET;NOM;NEUT;SG
fasādes	fasado	fasāde	fasada	N;NOM;FEM;PL	N;ACC;FEM;SG
fasādes	fasad	fasāde	fasada	N;NOM;FEM;PL	N;GEN;FEM;PL
konvencija	konvencijo	konvencija	konvencija	N;NOM;FEM;SG	N;ACC;FEM;SG
konvencija	konvencije	konvencija	konvencija	N;NOM;FEM;SG	N;NOM;FEM;PL
portu	porto	ports	porta	N;ACC;MASC;SG	PROPN;NOM;MASC;SG
portu	pristanišče	ports	pristanišče	N;ACC;MASC;SG	N;NOM;NEUT;SG
portu	pristanišča	ports	pristanišče	N;ACC;MASC;SG	N;NOM;NEUT;PL
portu	port	ports	port	N;ACC;MASC;SG	N;NOM;MASC;SG
frankfurtes	frankfurtu	frankfurte	frankfurt	PROPN;NOM;FEM;SG	N;DAT;MASC;SG
frankfurtes	frankfurt	frankfurte	frankfurt	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
lietojums	use	lietojums	usa	N;NOM;MASC;SG	
lietojums	uporabi	lietojums	uporaba	N;NOM;MASC;SG	N;DAT;FEM;SG
sarežģīta	kompleks	sarežģīta	kompleks	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
dīķi	ribniki	dīķis	ribnik	N;ACC;MASC;SG	N;NOM;MASC;PL
dīķi	ribniku	dīķis	ribnik	N;ACC;MASC;SG	N;DAT;MASC;SG
dīķi	ribnik	dīķis	ribnik	N;ACC;MASC;SG	N;NOM;MASC;SG
sabiedriski	družabna	sabiedriski	družaben	ADV	ADJ;NOM;FEM;SG
sabiedriski	družaben	sabiedriski	družaben	ADV	ADJ;NOM;INDF;MASC;SG
sabiedriski	družabno	sabiedriski	družabno	ADV	ADJ;NOM;NEUT;SG
dzīvība	life	dzīvība	life	N;NOM;FEM;SG	
celulozes	celuloza	celuloze	celuloza	N;NOM;FEM;PL	N;NOM;FEM;SG
celulozes	celuloza	celuloze	celuloza	N;NOM;FEM;PL	N;NOM;FEM;SG
atm	atm	ats	atm		N;NOM;MASC;SG
atm	bankomat	ats	bankomat		N;NOM;MASC;SG
smaga	težki	smaga	težek	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
smaga	težke	smaga	težek	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
smaga	hude	smaga	hud	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
smaga	hudo	smaga	hudo	ADJ;NOM;FEM;SG	ADV
atdalīts	ločena	atdalīt	ločen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
atdalīts	ločeni	atdalīt	ločen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
atdalīts	ločen	atdalīt	ločen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
atdalīts	ločeno	atdalīt	ločen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
andra	andra	andrs	andra	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
plaknes	ravnina	plakne	ravnina	N;NOM;FEM;PL	N;NOM;FEM;SG
plaknes	letalo	plakne	letalo	N;NOM;FEM;PL	N;NOM;NEUT;SG
tradicionālā	tradicionalne	tradicionāla	tradicionalen	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
tradicionālā	tradicionalno	tradicionāla	tradicionalno	ADJ;NOM;FEM;SG	ADV
nedēļa	teden	nedēļa	teden	N;NOM;FEM;SG	N;INAN;ACC;MASC;SG
verdi	verdija	verds	verdija	PROPN	N;GEN;MASC;SG
saistības	zavezo	saistība	zaveza	N;NOM;FEM;PL	N;ACC;FEM;SG
saistības	zaveza	saistība	zaveza	N;NOM;FEM;PL	N;NOM;FEM;SG
saistības	zavezanost	saistība	zavezanost	N;NOM;FEM;PL	N;NOM;FEM;SG
klātbūtni	prisotnost	klātbūtne	prisotnost	N;ACC;FEM;SG	N;NOM;FEM;SG
klātbūtni	prisotnosti	klātbūtne	prisotnost	N;ACC;FEM;SG	N;GEN;FEM;SG
klātbūtni	navzočnost	klātbūtne	navzočnost	N;ACC;FEM;SG	N;NOM;FEM;SG
upuriem	žrtve	upuris	žrtev	N;DAT;MASC;PL	N;NOM;FEM;PL
kolēģijas	kolegijev	kolēģija	kolegij	N;NOM;FEM;PL	N;GEN;MASC;PL
kolēģijas	fakulteta	kolēģija	fakulteta	N;NOM;FEM;PL	N;NOM;FEM;SG
kolēģijas	kolidž	kolēģija	kolidž	N;NOM;FEM;PL	N;NOM;MASC;SG
zemgale	zemgale	zemgale	zemgati	N;NOM;FEM;SG	V;PFV;FEM;PL;V.PTCP
parādīt	prikaži	parādīt	prikažati	V;POS;NFIN	
pārveidots	spremenjena	pārveidot	spremenjen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
pārveidots	spremenjen	pārveidot	spremenjen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
pārveidots	spremenjene	pārveidot	spremenjen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
pārveidots	spremenjeno	pārveidot	spremenjen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
īpatņiem	primerki	īpatnis	primerek	N;DAT;MASC;PL	N;NOM;MASC;PL
īpatņiem	osebkov	īpatnis	osebek	N;DAT;MASC;PL	N;GEN;MASC;PL
īpatņiem	osebki	īpatnis	osebek	N;DAT;MASC;PL	N;NOM;MASC;PL
osaka	osaki	osacīt	osak	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
parametru	parameter	parametrs	parameter	N;ACC;MASC;SG	N;NOM;MASC;SG
pomerānijas	špica	pomerānija	špica	N;NOM;FEM;PL	N;NOM;FEM;SG
pomerānijas	pomorjansko	pomerānija	pomorjanski	N;NOM;FEM;PL	ADJ;NOM;NEUT;SG
atlaists	odpuščen	atlaist	odpuščen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
atlaists	odpuščen	atlaist	odpuščen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
uzturēšanas	vzdrževanje	uzturēšana	vzdrževanje	N;NOM;FEM;PL	N;NOM;NEUT;SG
piešķirti	dodeljene	piešķirt	dodeljen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
piešķirti	dodeljena	piešķirt	dodeljen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
piešķirti	dodeljeno	piešķirt	dodeljen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
piešķirti	dodeljen	piešķirt	dodeljen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
piešķirti	dodeljeni	piešķirt	dodeljen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
piešķirti	dodeljene	piešķirt	dodeljen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
piešķirti	dodeljena	piešķirt	dodeljen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
piešķirti	dodeljeno	piešķirt	dodeljen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
piešķirti	dodeljeni	piešķirt	dodeljen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
piešķirti	razporejeni	piešķirt	razporejen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
osvalds	oswald	osvalds	oswald	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
albert	albert	albert	albert		N;NOM;MASC;SG
ejot	hojo	iet	hoja		N;ACC;FEM;SG
ejot	hoja	iet	hoja		N;NOM;FEM;SG
ejot	hoje	iet	hoja		N;GEN;FEM;SG
ejot	hodi	iet	hoditi		V;IPFV;IND;SG;3;PRS;FIN
ejot	peš	iet	peš		N;NOM;MASC;SG
dzeltenas	rumena	dzeltena	rumen	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
dzeltenas	rumeni	dzeltena	rume	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
dzeltenas	rumen	dzeltena	rumen	ADJ;NOM;FEM;PL	ADJ;NOM;INDF;MASC;SG
dzeltenas	rumeno	dzeltena	rumen	ADJ;NOM;FEM;PL	ADV
nafta	olja	nafta	olje	N;NOM;FEM;SG	N;NOM;NEUT;PL
nafta	nafte	nafta	nafta	N;NOM;FEM;SG	N;NOM;FEM;PL
saime	jato	saime	jato	N;NOM;FEM;SG	N;ACC;FEM;SG
saime	jate	saime	jata	N;NOM;FEM;SG	N;NOM;FEM;PL
veci	star	vecs	star	ADJ;NOM;MASC;PL	N;NOM;MASC;SG
veci	staro	vecs	star	ADJ;NOM;MASC;PL	ADJ;NOM;NEUT;SG
veci	stara	vecs	star	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
aparatūra	strojne	aparatūra	strojen	N;NOM;FEM;SG	ADJ;NOM;FEM;PL
aparatūra	strojna	aparatūra	strojen	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
aparatūra	aparati	aparatūra	aparat	N;NOM;FEM;SG	N;NOM;MASC;PL
ieteicams	priporočamo	ieteikt	priporočati	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	V;IPFV;IND;PL;1;PRS;FIN
ieteicams	priporočena	ieteikt	priporočen	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
ieteicams	priporočeno	ieteikt	priporočen	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP
ieteicams	priporočeni	ieteikt	priporočen	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;MASC;PL;V.PTCP
ieteicams	priporočljivo	ieteikt	priporočljiv	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADJ;NOM;NEUT;SG
cukurs	sladkorja	cukurs	sladkor	N;NOM;MASC	N;GEN;MASC;SG
cukurs	sladkor	cukurs	sladkor	N;NOM;MASC	N;NOM;MASC;SG
remonta	popravila	remonts	popravilo	N;GEN;MASC;SG	N;NOM;NEUT;PL
remonta	popravilo	remonts	popravilo	N;GEN;MASC;SG	N;NOM;NEUT;SG
atklājās	razkrita	atklāties	razkriti	V;FH;IND;3;POS;REFL;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
sīrijā	sirija	sīrija	sirija	N;ESS;FEM;SG	N;NOM;FEM;SG
sīrijā	sirijo	sīrija	sireja	N;ESS;FEM;SG	N;ACC;FEM;SG
sīrijā	siriji	sīrija	sirija	N;ESS;FEM;SG	N;DAT;FEM;SG
sīrijā	sirije	sīrija	sirija	N;ESS;FEM;SG	N;NOM;FEM;PL
patērētāju	potrošnik	patērētājs	potrošnik	N;ACC;MASC;SG	N;NOM;MASC;SG
patērētāju	potrošniki	patērētājs	potrošnik	N;ACC;MASC;SG	N;NOM;MASC;PL
patērētāju	potrošnikov	patērētājs	potrošnik	N;ACC;MASC;SG	N;GEN;MASC;PL
matīss	mathis	matīss	mathis	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
ģeogrāfiskā	zemljepisno	ģeogrāfiska	zemljepisno	ADJ;NOM;FEM;SG	ADV
franko	franco	franka	franca	PROPN	N;NOM;MASC;SG
veimāras	weimarske	veimāra	weimarski	N;NOM;FEM;PL	ADJ;NOM;FEM;PL
elites	elita	elite	elita	N;NOM;FEM;PL	N;NOM;FEM;SG
elites	elito	elite	elito	N;NOM;FEM;PL	N;ACC;FEM;SG
kanāriju	kanarskih	kanārija	kanarski	N;ACC;FEM;SG	ADJ;GEN;MASC;PL
definē	opredeljen	definēt	opredeljen	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
definē	opredeljeni	definēt	opredeljen	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;MASC;PL;V.PTCP
definē	opredeljeno	definēt	opredeljen	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
definē	opredeljena	definēt	opredeljen	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
granīta	granit	granīt	graniti	N;GEN;MASC;SG	N;NOM;MASC;SG
kaija	galeb	kaija	galeba	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
departamentiem	oddelki	departaments	oddelek	N;DAT;MASC;PL	N;NOM;MASC;PL
paaudze	generacije	paaudze	generacija	N;NOM;FEM;SG	N;NOM;FEM;PL
paaudze	generacijo	paaudze	generacija	N;NOM;FEM;SG	N;ACC;FEM;SG
guļ	spanje	gulēt	spanje	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;NEUT;SG
atbilde	odgovori	atbilde	odgovor	N;NOM;FEM;SG	N;NOM;MASC;PL
atbilde	odgovori	atbilde	odgovor	N;NOM;FEM;SG	N;NOM;MASC;PL
atbilde	odziva	atbilde	odziv	N;NOM;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN
ziņojums	prijavi	ziņojums	prijava	N;NOM;MASC;SG	V;PFV;IND;SG;3;PRS;FIN
organisko	organsko	organiska	organski	ADJ;ACC;MASC;SG	ADJ;NOM;NEUT;SG
organisko	organska	organiska	organski	ADJ;ACC;MASC;SG	ADJ;NOM;FEM;SG
organisko	organski	organiska	organski	ADJ;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
organisko	ekološko	organiska	ekološki	ADJ;ACC;MASC;SG	ADJ;NOM;NEUT;SG
venecuēlas	venezuelski	venecuēla	venezuelski	PROPN;NOM;FEM;PL	ADJ;NOM;MASC;SG
venecuēlas	venezueli	venecuēla	venezuel	PROPN;NOM;FEM;PL	N;NOM;FEM;SG
spriegums	napetosti	spriegums	napetost	N;NOM;MASC;SG	N;GEN;FEM;SG
sezonai	sezono	sezona	sezona	N;DAT;FEM;SG	N;ACC;FEM;SG
sezonai	sezona	sezona	sezona	N;DAT;FEM;SG	N;NOM;FEM;SG
pārstāvjus	predstavniki	pārstāvis	predstavnik	N;ACC;MASC;PL	N;NOM;MASC;PL
pārstāvjus	zastopniki	pārstāvis	zastopnik	N;ACC;MASC;PL	N;NOM;MASC;PL
milānas	milan	milāna	milan	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
milānas	milano	milāna	milan	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
skolotāji	učiteljev	skolotājs	učitelj	N;NOM;MASC;PL	N;GEN;MASC;PL
skolotāji	učitelje	skolotājs	učitelj	N;NOM;MASC;PL	N;ACC;MASC;PL
automātiskā	samodejno	automātisks	samodejno	ADJ;NOM;FEM;SG	ADV
automātiskā	avtomatsko	automātisks	avtomatsko	ADJ;NOM;FEM;SG	ADV
bens	bena	bens	bena	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
bens	ben	bens	ben	PROPN;NOM;MASC;SG	
ieradies	prispele	ierasties	prispeti	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP	V;PFV;FEM;PL;V.PTCP
ieradies	prispeli	ierasties	prispeti	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP	V;PFV;MASC;PL;V.PTCP
csstext	csstext	csstext	csstext		N;NOM;MASC;SG
habsburgs	habsburžani	habsburgs	habsburžan	N;NOM;MASC;SG	ADJ;NOM;MASC;PL
starojums	sevanja	starojums	sevanji	N;NOM;MASC;SG	N;NOM;NEUT;PL
nikola	nikola	nikols	nikola	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
nikola	nicole	nikols	nicole	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG
ola	ola	ola	ola	N;NOM;FEM;SG	
andrea	andrea	andrea	andrea		PROPN;NOM;MASC;SG
hana	hana	hana	hana	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
raiens	ryan	raiens	ryan	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
vērtīgs	dragoceni	vērtīgs	dragocen	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
vērtīgs	dragocene	vērtīgs	dragocen	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
septītais	seventh	septīt	seventh	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
septītais	sedmega	septīt	sedem	ADJ;NOM;MASC;SG	ADJ;GEN;MASC;SG
klods	claude	klods	clauda	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
iebrukums	invazijo	iebrukums	invazija	N;NOM;MASC;SG	N;ACC;FEM;SG
stade	stade	stade	stada		N;NOM;MASC;SG
negatīvi	negativen	negatīvi	negativen	ADV	ADJ;NOM;INDF;MASC;SG
negatīvi	negativna	negatīvi	negativen	ADV	ADJ;NOM;FEM;SG
negatīvi	negativni	negatīvi	negativen	ADV	ADJ;NOM;MASC;SG
madridē	madrid	madride	madrid	PROPN;ESS;FEM;SG	N;NOM;MASC;SG
austrumi	vzhodni	austrumi	vzhoden	N;NOM;MASC	ADJ;NOM;DEF;MASC;SG
austrumi	vzhod	austrumi	vzhod	N;NOM;MASC	N;NOM;MASC;SG
austrumi	vzhodna	austrumi	vzhoden	N;NOM;MASC	ADJ;NOM;FEM;SG
austrumi	vzhodno	austrumi	vzhoden	N;NOM;MASC	ADV
laulību	poroka	laulība	poroka	N;ACC;FEM;SG	N;NOM;FEM;SG
laulību	zakon	laulība	zakon	N;ACC;FEM;SG	N;NOM;MASC;SG
baptistu	baptist	baptists	baptist	N;ACC;MASC;SG	N;NOM;MASC;SG
nīlas	nila	nīla	nilo	N;NOM;FEM;PL	N;GEN;MASC;SG
nīlas	nil	nīla	biti	N;NOM;FEM;PL	N;NOM;MASC;SG
labāku	boljša	labs	dober	ADJ;ACC;CMPR;MASC;SG	ADJ;NOM;CMPR;FEM;SG
labāku	boljši	labs	dober	ADJ;ACC;CMPR;MASC;SG	ADJ;NOM;DEF;CMPR;MASC;SG
labāku	bolje	labs	dobro	ADJ;ACC;CMPR;MASC;SG	ADV;CMPR
labāku	boljše	labs	dober	ADJ;ACC;CMPR;MASC;SG	ADJ;NOM;CMPR;NEUT;SG
konferenču	konference	konference	konferenca	N;GEN;FEM;PL	N;NOM;FEM;PL
buļļu	bike	buļļa	bik	N;ACC;FEM;SG	N;NOM;MASC;SG
buļļu	bikov	buļļa	bik	N;ACC;FEM;SG	N;GEN;MASC;PL
buļļu	biki	buļļa	bik	N;ACC;FEM;SG	N;NOM;MASC;PL
georgijs	georgy	georgijs	georgy	PROPN;NOM;MASC;SG	
georgijs	georgi	georgijs	georgo	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
kerija	carrie	kerija	carri	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
telegrāfa	telegraf	telegrāfa	telegraf	N;GEN;MASC;SG	N;NOM;MASC;SG
veicināšana	promocije	veicināšana	promocija	N;NOM;FEM;SG	N;NOM;FEM;PL
