ivar	ivar	ivar	ivara		
drømme	sanjal	drøm	sanjati	N;INDF;MASC+FEM;PL	V;IPFV;MASC;SG;V.PTCP
drømme	sanjati	drøm	sanjati	N;INDF;MASC+FEM;PL	V;IPFV;NFIN
neil	neil	neil	neiti		PROPN;NOM;MASC;SG
duo	duet	duo	duet		N;NOM;MASC;SG
duo	duo	duo	duo		N;NOM;MASC;SG
registrerede	registrirana	registrere	registriran	V;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
registrerede	registrirano	registrere	registrirano	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
registrerede	registrirani	registrere	registriran	V;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
registrerede	registriran	registrere	registriran	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
eyes	oci	eyes	oci		N;NOM;FEM;SG
eyes	oči	eyes	oči		N;NOM;FEM;PL
gulvet	tla	gulv	tla	N;DEF;NEUT;SG	N;NOM;NEUT;PL
maryland	marylandu	maryland	maryland		N;DAT;MASC;SG
bemærkelsesværdige	izjemno	bemærkelsesværdig	izjemno	ADJ;PL	ADV
buenos	buenos	bue	buenos	N;DEF;MASC+FEM;SG	PROPN;NOM;MASC;SG
skulpturer	kip	skulptur	kip	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
brande	ogenj	brand	ogenj	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
brande	požar	brand	požar	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
control	kontrola	control	kontrola		N;NOM;FEM;SG
control	krmiljenje	control	krmiljenje		N;NOM;NEUT;SG
control	nadzor	control	nadzor		N;NOM;MASC;SG
control	obvladovanje	control	obvladovanje		N;NOM;NEUT;SG
eduard	eduard	eduard	eduard		N;NOM;MASC;SG
oklahoma	oklahoma	oklahoma	oklahoma		N;DAT;MASC;DU
sjæl	duši	sjæl	dušiti	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN
grafisk	grafično	grafisk	grafičen	ADV	ADJ;NOM;NEUT;SG
grafisk	grafični	grafisk	grafičen	ADV	ADJ;NOM;MASC;SG
grafisk	grafično	grafisk	grafičen	ADV	ADJ;NOM;NEUT;SG
grafisk	grafično	grafisk	grafičen	ADV	ADJ;NOM;NEUT;SG
grafisk	grafike	grafisk	grafika	ADV	N;NOM;FEM;PL
flot	lepotec	flot	lepotec	ADJ;INDF;SG	N;NOM;MASC;SG
flot	lepi	flot	lep	ADJ;INDF;SG	ADJ;NOM;MASC;PL
sierra	sierra	sierra	sierra		N;NOM;FEM;SG
frigivet	sproščeno	frigiv	sproščeno	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
frigivet	izpuščeni	frigiv	izpuščen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
frigivet	izpuščen	frigiv	izpuščen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
frigivet	izpuščena	frigiv	izpuščen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
nazistiske	nacist	nazistisk	nacist	ADJ;PL	N;NOM;MASC;SG
nazistiske	nacistični	nazistisk	nacističen	ADJ;PL	ADJ;NOM;MASC;SG
aktion	dejanja	aktion	dejanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
tung	težki	tung	težek	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
tung	težke	tung	težek	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
tung	tung	tung	tung	ADJ;INDF;MASC+FEM;SG	N;NOM;MASC;SG
trænet	izurjena	træne	izurjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
trænet	izurjen	træne	izurjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
trænet	usposobljeno	træne	usposobljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
trænet	izurjeni	træne	izurjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
trænet	usposobljeni	træne	usposobljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
forventet	pričakovani	forvente	pričakovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP
forventet	pričakovana	forvente	pričakovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
forventet	pričakovan	forvente	pričakovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
forventet	pričakovali	forvente	pričakovati	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;PL;V.PTCP
forventet	pričakovano	forvente	pričakovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
harrison	harrison	harrison	harrison		N;NOM;MASC;SG
gaza	gazi	gaza	gaza	PROPN	N;DAT;FEM;SG
gaza	gaza	gaza	gaza	PROPN	N;NOM;FEM;SG
grey	sive	grey	siv		ADJ;NOM;FEM;PL
grey	sivo	grey	siv		ADJ;NOM;NEUT;SG
grey	sivi	grey	siv		ADJ;NOM;DEF;MASC;SG
grey	grey	grey	grey		
grey	siva	grey	siv		ADJ;NOM;FEM;SG
pyrénées	pyrénées	pyrknée	pyrénées	N;GEN;INDF;MASC+FEM;PL	N;NOM;MASC;SG
aires	airesu	aires	aires	PROPN	N;DAT;MASC;SG
måner	luni	måne	luniti	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
måner	lun	måne	lun	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
raf	raf	raf	rafa	PROPN	PROPN;NOM;MASC;SG
kirk	kirk	kirk	kirka		PROPN;NOM;MASC;SG
lodret	vertikalno	loder	vertikalen	ADJ;INDF;SG	ADV
lodret	navpično	loder	navpičen	ADJ;INDF;SG	ADV
lodret	vertikalno	loder	vertikalen	ADJ;INDF;SG	ADV
lodret	navpični	loder	navpičen	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
lodret	navpične	loder	navpičen	ADJ;INDF;SG	ADJ;NOM;FEM;PL
lodret	navpično	loder	navpičen	ADJ;INDF;SG	ADV
essays	eseje	essay	eseja	N;INDF;NEUT;SG	N;ACC;MASC;PL
racing	racing	racing	racing		N;NOM;MASC;SG
racing	dirke	racing	dirka		N;NOM;FEM;PL
racing	dirkanje	racing	dirkanje		N;NOM;NEUT;SG
jamie	jamie	jamie	jamia		N;NOM;MASC;SG
kontrollerede	nadzorovano	kontrollere	nadzorovan	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
kontrollerede	nadzorovanih	kontrollere	nadzorovan	V;PL;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
kontrollerede	nadzorovana	kontrollere	nadzorovan	V;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
kontrollerede	nadzorovan	kontrollere	nadzorovan	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
kontrollerede	nadzorovani	kontrollere	nadzorovan	V;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
hunter	hunter	hunte	hunter	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
hunter	lovec	hunte	lovec	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
elskede	ljubljena	elske	ljubljen	V;DEF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
elskede	ljubljeni	elske	ljubljen	V;DEF;SG;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP
elskede	ljubljena	elske	ljubljen	V;DEF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
dramatiske	dramatična	dramatisk	dramatičen	ADJ;PL	ADJ;NOM;FEM;SG
dramatiske	dramatičen	dramatisk	dramatičen	ADJ;PL	ADJ;NOM;INDF;MASC;SG
dramatiske	dramatično	dramatisk	dramatičen	ADJ;PL	ADV
farlig	nevarne	farlig	nevaren	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
farlig	nevarni	farlig	nevaren	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
farlig	nevarni	farlig	nevaren	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
farlig	nevarne	farlig	nevaren	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
kontroversielle	sporna	kontroversiel	sporen	ADJ;PL	ADJ;NOM;FEM;SG
kontroversielle	sporno	kontroversiel	sporen	ADJ;PL	ADJ;NOM;NEUT;SG
kontroversielle	sporen	kontroversiel	sporen	ADJ;PL	ADJ;NOM;INDF;MASC;SG
kvæg	goveji	kvæg	goveji	N;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
kvæg	goveje	kvæg	goveji	N;INDF;NEUT;SG	
catherine	catherine	catherin	catherin	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
revolutionære	revolucionarji	revolutionær	revolucionar	ADJ;PL	N;NOM;MASC;PL
woman	ženska	woman	ženska		N;NOM;FEM;SG
woman	žensko	woman	ženska		N;ACC;FEM;SG
philippe	philippe	philippe	philippa		PROPN;NOM;MASC;SG
fugl	bird	fugl	bird	N;INDF;MASC+FEM;SG	
udenlandsk	tuje	udenlandsk	tuj	ADJ;INDF;SG	ADJ;NOM;FEM;PL
udenlandsk	tuji	udenlandsk	tuj	ADJ;INDF;SG	ADJ;NOM;MASC;PL
them	njimi	them	on		PRO;DAT;MASC;PL;3
them	jih	them	on		PRO;ACC;MASC;PL;3
them	njih	them	on		PRO;GEN;MASC;PL;3
heaven	nebes	heaven	nebes		N;NOM;NEUT;SG
heaven	nebesa	heaven	nebo		N;NOM;FEM;SG
istanbul	istanbulu	istanbul	istanbulel	PROPN	PROPN;DAT;MASC;SG
istanbul	istanbul	istanbul	istanbul	PROPN	PROPN;NOM;MASC;SG
celle	celice	celle	celica	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
celle	celic	celle	celica	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
download	prenos	download	prenos	V;IMP	N;NOM;MASC;SG
download	naloži	download	nalož	V;IMP	V;PFV;IND;SG;3;PRS;FIN
sammenstød	spopadi	sammenstød	spopad	N;INDF;NEUT;SG	N;NOM;MASC;PL
sammenstød	spopada	sammenstød	spopadati	N;INDF;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN
sammenstød	trčenj	sammenstød	trčenje	N;INDF;NEUT;SG	N;GEN;NEUT;PL
inter	med	inter	med		ADP;INS
jagerfly	borci	jagerfly	borec	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
pacific	pacific	pacific	pacifica		
pacific	pacifik	pacific	pacifik		N;NOM;MASC;SG
pommern	pomorjansko	pommer	pomorjanski	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
erich	erich	erich	erich	N;INDF;MASC+FEM;SG	
myter	mit	myte	mit	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
frivillig	neobvezno	frivillig	neobvezno	ADJ;INDF;MASC+FEM;SG	ADV
frivillig	prostovoljec	frivillig	prostovoljec	ADJ;INDF;MASC+FEM;SG	N;NOM;MASC;SG
egon	egon	egon	egon		N;NOM;MASC;SG
sting	piči	sting	pičiti	N;INDF;MASC+FEM;SG	V;PFV;IND;SG;3;PRS;FIN
sting	šivi	sting	šiveti	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
fusionerede	združeni	fusionere	združen	V;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
fusionerede	združena	fusionere	združen	V;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
asiatiske	azijski	asiatisk	azijski	ADJ;PL	ADJ;NOM;DEF;MASC;SG
antikken	antike	antik	antika	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL
sweet	sladkih	swe	sladek		ADJ;GEN;MASC;PL
sweet	sladko	swe	sladko		ADV
sweet	sladki	swe	sladek		ADJ;NOM;DEF;MASC;SG
sweet	sladka	swe	sladka		ADJ;NOM;FEM;SG
ler	gline	le	gline	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ler	gline	le	gline	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ler	clay	le	clay	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
jagten	hunt	jagt	hunt	N;DEF;MASC+FEM;SG	
jagten	lovski	jagt	lovski	N;DEF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
jagten	lovska	jagt	lovski	N;DEF;MASC+FEM;SG	ADJ;NOM;FEM;SG
bevidsthed	zavestno	bevidsthed	zavesten	N;INDF;MASC+FEM;SG	ADV
sproglige	jezikovno	sproglig	jezikoven	ADJ;PL	ADJ;NOM;NEUT;SG
houston	houston	houston	houston		PROPN;NOM;MASC;SG
anmodning	zahteva	anmodning	zahtevati	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
tank	tanka	tank	tanek	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
flandern	flandriji	flande	flandrija	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
cbs	cbs	cbs	cbs	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
cbs	cb	cbs	cb	N;INDF;MASC+FEM;SG	
fremstiller	proizvajalec	fremstille	proizvajalec	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
fremstiller	proizvajalca	fremstille	proizvajalec	V;IND;PRS;FIN;ACT	N;ANIM;ACC;MASC;SG
fremstiller	izdelovalec	fremstille	izdelovalec	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
patent	patentov	patent	patent	N;INDF;NEUT;SG	N;GEN;MASC;PL
owen	owen	owen	owen		N;NOM;MASC;SG
rafael	raphael	rafael	raphati		N;NOM;MASC;SG
rafael	rafael	rafael	rafaeti		PROPN;NOM;MASC;SG
kæden	verige	kæde	veriga	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL
konvention	konvencije	konvention	konvencija	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
skatter	davke	skatter	davek	ADV	N;ACC;MASC;PL
skatter	davki	skatter	davek	ADV	N;NOM;MASC;PL
usædvanlig	neobičajno	usædvanlig	neobičajno	ADJ;INDF;MASC+FEM;SG	ADV
usædvanlig	nenavadne	usædvanlig	nenavaden	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
alabama	alabama	alabama	alaba		N;NOM;FEM;SG
væbnede	oborožena	væbne	oborožen	ADJ;PL	ADJ;NOM;FEM;SG;V.PTCP
væbnede	oborožen	væbne	oborožen	ADJ;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
undersøgt	raziskano	undersøge	raziskan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
undersøgt	pregledani	undersøge	pregledan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
organiske	organsko	organisk	organski	ADJ;PL	ADJ;NOM;NEUT;SG
organiske	organska	organisk	organski	ADJ;PL	ADJ;NOM;FEM;SG
organiske	organski	organisk	organski	ADJ;PL	ADJ;NOM;DEF;MASC;SG
organiske	ekološko	organisk	ekološki	ADJ;PL	ADJ;NOM;NEUT;SG
newton	newton	newton	newton		N;NOM;MASC;SG
dybere	globlje	dybere	globok	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
dybere	globlji	dybere	globlj	ADV;CMPR	ADJ;NOM;DEF;CMPR;MASC;SG
michelle	michelle	michel	michell	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
olga	olga	olga	olg		PROPN;NOM;FEM;SG
romantisk	romantičen	romantisk	romantičen	ADV	ADJ;NOM;INDF;MASC;SG
romantisk	romantična	romantisk	romantičen	ADV	ADJ;NOM;FEM;SG
blind	slepe	blind	slep	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
blind	slepi	blind	slep	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
sevilla	sevilla	sevilla	sevilel	PROPN	PROPN;NOM;FEM;SG
sevilla	seville	sevilla	sevilel	PROPN	N;NOM;FEM;PL
mel	moke	mel	moka	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
mel	mel	mel	melo	N;INDF;MASC+FEM;SG	V;MASC;SG;V.PTCP
mel	mela	mel	mela	N;INDF;MASC+FEM;SG	V;IPFV;FEM;SG;V.PTCP
ronnie	ronnie	ronnie	ronnie		ADJ;NOM;MASC;SG
køb	kupi	køb	kupa	N;INDF;NEUT;SG	V;PFV;IND;SG;3;PRS;FIN
køb	kupiš	køb	kupiti	N;INDF;NEUT;SG	V;PFV;IND;SG;2;PRS;FIN
køb	kupil	køb	kupiti	N;INDF;NEUT;SG	V;PFV;MASC;SG;V.PTCP
køb	nakupi	køb	nakup	N;INDF;NEUT;SG	N;NOM;MASC;PL
statistisk	statistična	statistisk	statističen	ADV	ADJ;NOM;FEM;SG
statistisk	statistične	statistisk	statističen	ADV	ADJ;NOM;FEM;PL
afslørede	razkrita	afsløre	razkriti	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
ruth	ruth	ruth	ruth	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
grænserne	meja	grænse	meja	N;DEF;MASC+FEM;PL	N;NOM;FEM;SG
separat	ločeno	separat	ločen	ADV	ADJ;NOM;NEUT;SG;V.PTCP
separat	ločena	separat	ločen	ADV	ADJ;NOM;FEM;SG;V.PTCP
separat	ločeni	separat	ločen	ADV	ADJ;NOM;MASC;PL;V.PTCP
separat	ločeno	separat	ločen	ADV	ADJ;NOM;NEUT;SG;V.PTCP
wikidata	wikipodatki	wikidata	wikipodatek		N;NOM;MASC;PL
stein	stein	stein	stein	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
skulptur	kipi	skulptur	kipa	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
pearl	pearl	pearl	pearla	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
trykte	tiskani	trykte	tiskan	V;PL;PST;V.PTCP	ADJ;NOM;DEF;MASC;SG
trykte	tiskane	trykte	tiskan	V;PL;PST;V.PTCP	ADJ;NOM;FEM;PL
trykte	natisnjeno	trykte	natisnjen	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
trykte	tiskano	trykte	tiskan	V;PL;PST;V.PTCP	N;NOM;NEUT;SG
godkendte	odobrena	godkende	odobren	V;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
godkendte	odobrene	godkende	odobren	V;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
godkendte	odobreni	godkende	odobren	V;PL;PST;V.PTCP	ADJ;NOM;MASC;PL
godkendte	odobreno	godkende	odobreno	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG
godkendte	odobren	godkende	odobren	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
permanente	trajni	permanent	trajen	ADJ;PL	ADJ;NOM;DEF;MASC;SG
permanente	trajen	permanent	trajen	ADJ;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
permanente	trajna	permanent	trajen	ADJ;PL	ADJ;NOM;FEM;SG
permanente	trajno	permanent	trajno	ADJ;PL	ADV
permanente	stalna	permanent	stalen	ADJ;PL	ADJ;NOM;FEM;SG
fisker	ribe	fisker	riba	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
fisker	ribice	fisker	ribica	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
dygtige	talentiran	dygtig	talentiran	ADJ;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
dygtige	nadarjena	dygtig	nadarjen	ADJ;PL	ADJ;NOM;FEM;SG
dygtige	nadarjen	dygtig	nadarjen	ADJ;PL	ADJ;NOM;INDF;MASC;SG
oldenburg	oldenburg	oldenburg	oldenburg		PROPN;NOM;MASC;SG
beton	konkretno	beton	konkretno	N;INDF;MASC+FEM;SG	ADV
beton	konkretne	beton	konkreten	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
beton	konkreten	beton	konkreten	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
mandat	pooblastila	mandat	pooblastilo	N;INDF;NEUT;SG	N;NOM;NEUT;PL
dortmund	dortmund	dortmund	dortmund	PROPN	N;NOM;MASC;SG
kæde	verige	kæde	veriga	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
dragon	zmajev	dragon	zmaj		N;NOM;MASC;SG
dragon	zmaj	dragon	zmaj		N;NOM;MASC;SG
rede	pripravljeni	rede	pripravljen	N	ADJ;NOM;MASC;PL;V.PTCP
rede	pripravljena	rede	pripravljen	N	ADJ;NOM;FEM;SG;V.PTCP
rede	pripravljene	rede	pripravljen	N	ADJ;NOM;FEM;PL;V.PTCP
rede	pripravljen	rede	pripravljen	N	ADJ;NOM;INDF;MASC;SG;V.PTCP
rede	pripravljeno	rede	pripravljen	N	ADJ;NOM;NEUT;SG;V.PTCP
chopin	chopina	chopin	chopina		N;GEN;MASC;SG
gad	gad	gide	gada	V;IND;PST;FIN;ACT	N;NOM;MASC;SG
dale	dale	dal	dati	N;INDF;MASC+FEM;PL	V;PFV;FEM;PL;V.PTCP
pedro	pedro	pedro	pedro		PROPN;NOM;MASC;SG
barry	barry	barry	barry		
allieret	zaveznika	alliere	zaveznik	V;INDF;SG;PST;V.PTCP	N;ACC;MASC;SG
allieret	zaveznik	alliere	zaveznik	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG
allieret	ally	alliere	ally	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG
judas	juda	judas	jud		N;ACC;MASC;SG
lufthavne	letališče	lufthavne	letališče	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
lufthavne	letališča	lufthavne	letališče	N;INDF;MASC+FEM;PL	N;GEN;NEUT;SG
small	majhno	small	majhen		ADJ;NOM;NEUT;SG
small	majhni	small	majhen		ADJ;NOM;MASC;PL
small	majhen	small	majhen		ADJ;NOM;INDF;MASC;SG
small	majhne	small	majhen		ADJ;NOM;FEM;PL
small	majhna	small	majhen		ADJ;NOM;FEM;SG
kentucky	kentucky	kentucky	kentucky		N;NOM;MASC;SG
proteiner	protein	protein	protein	N;INDF;NEUT;PL	N;NOM;MASC;SG
simpson	simpson	simpson	simpson		PROPN;NOM;MASC;SG
