ύδατα	водах	ύδωρ	вода	N;NOM;NEUT;PL	N;INAN;ESS;FEM;PL
έσπασε	сломался	σπάω	ломаться	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;MID
παναμά	панаме	παναμύς	панам	PROPN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
παναμά	панама	παναμύς	панама	PROPN;NOM;NEUT;SG	N;INAN;NOM;FEM;SG
λιγότερες	меньше	λίγος	мало	ADJ;NOM;CMPR;FEM;PL	NUM
λιγότερες	меньше	λίγος	мало	ADJ;NOM;CMPR;FEM;PL	NUM
λιγότερες	менее	λίγος	менее	ADJ;NOM;CMPR;FEM;PL	ADV;CMPR
δόση	дозу	δόση	доза	N;NOM;FEM;SG	N;INAN;ACC;FEM;SG
δόση	дозу	δόση	доза	N;NOM;FEM;SG	N;INAN;ACC;FEM;SG
εξεγέρσεις	беспорядков	εξέγερση	беспорядки	N;NOM;FEM;PL	N;INAN;GEN;MASC;PL
εξεγέρσεις	восстаний	εξέγερση	восстание	N;NOM;FEM;PL	N;INAN;GEN;NEUT;PL
αλκοόλ	алкоголь	αλκοόλ	алкоголь		N;INAN;NOM;MASC;SG
αλκοόλ	спирт	αλκοόλ	спирт		N;INAN;NOM;MASC;SG
τόνο	тунца	τόνος	тунец	N;ACC;MASC;SG	N;INAN;GEN;MASC;SG
τόνο	тон	τόνος	тон	N;ACC;MASC;SG	N;INAN;NOM;MASC;SG
κατάχρηση	хищение	κατάχρηση	хищение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
κατάχρηση	злоупотребления	κατάχρηση	злоупотребление	N;ACC;FEM;SG	N;INAN;NOM;NEUT;PL
κατάχρηση	надругательство	κατάχρηση	надругательство	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
κατάχρηση	злоупотребление	κατάχρηση	злоупотребление	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
ρίτσι	ричи	ρίτσι	рич		N;ANIM;NOM;MASC;SG
ρίτσι	ричи	ρίτσι	рич		N;ANIM;NOM;MASC;SG
ρίτσι	риччи	ρίτσι	риччя		
κυβερνών	постановление	κυβέρνα	постановление	N;GEN;FEM;PL	N;INAN;NOM;NEUT;SG
χώμα	почвы	χώμα	почва	N;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
στρατιώτη	солдат	στρατιώτης	солдат	N;ACC;MASC;SG	N;ANIM;NOM;MASC;SG
στρατιώτη	trooper	στρατιώτης	trooper	N;ACC;MASC;SG	PROPN
άλεξ	алекс	άλεξ	алекс		N;ANIM;NOM;MASC;SG
άλεξ	алекса	άλεξ	алекс		N;ANIM;ACC;MASC;SG
στενός	узких	στενός	узкий	N;NOM;MASC;SG	ADJ;GEN;PL
στενός	узкие	στενός	узкий	N;NOM;MASC;SG	ADJ;NOM;PL
στενός	узкий	στενός	узкий	N;NOM;MASC;SG	ADJ;NOM;MASC;SG
στενός	сузить	στενός	сужать	N;NOM;MASC;SG	V;PFV;NFIN;ACT
μαχητές	бойцы	μαχητός	боец	ADJ;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
μαχητές	воины	μαχητός	воин	ADJ;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
μαχητές	воинов	μαχητός	воин	ADJ;NOM;MASC;PL	N;ANIM;GEN;MASC;PL
μαχητές	бойцы	μαχητός	боец	ADJ;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
μαχητές	бойцов	μαχητός	боец	ADJ;NOM;MASC;PL	N;ANIM;GEN;MASC;PL
μαχητές	боевики	μαχητός	боевик	ADJ;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
μαχητές	боевиков	μαχητός	боевик	ADJ;NOM;MASC;PL	N;ANIM;GEN;MASC;PL
αποκτήθηκε	приобрел	αποκτώ	приобрести	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
αποκτήθηκε	приобретены	αποκτώ	приобрести	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;PL;PST;V.PTCP;PASS
αποκτήθηκε	приобретенные	αποκτώ	приобрести	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
υγιεινής	гигиена	υγιεινής	гигиен	ADJ;GEN;FEM;SG	N;INAN;NOM;FEM;SG
υγιεινής	гигиены	υγιεινής	гигиена	ADJ;GEN;FEM;SG	N;INAN;NOM;FEM;PL
μοντάζ	монтаж	μοντάζ	монтаж		N;INAN;NOM;MASC;SG
μοντάζ	монтаж	μοντάζ	монтаж		N;INAN;NOM;MASC;SG
μοντάζ	редактирование	μοντάζ	редактирование		N;INAN;NOM;NEUT;SG
μοντάζ	редактирования	μοντάζ	редактирование		N;INAN;NOM;NEUT;PL
μηχανικοί	механики	μηχανικός	механика	ADJ;NOM;MASC;PL	N;INAN;NOM;FEM;PL
μηχανικοί	механика	μηχανικός	механика	ADJ;NOM;MASC;PL	N;INAN;NOM;FEM;SG
μηχανικοί	инженеров	μηχανικός	инженер	ADJ;NOM;MASC;PL	N;ANIM;GEN;MASC;PL
μηχανικοί	инженеры	μηχανικός	инженер	ADJ;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
λατ	лат	λατ	латинский		
ενέκρινε	утверждено	εγκρίνω	утвердить	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
ενέκρινε	одобрено	εγκρίνω	одобрить	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
ενέκρινε	одобрен	εγκρίνω	одобрить	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;SG;PST;V.PTCP;PASS
ενέκρινε	утвержден	εγκρίνω	утвердить	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;SG;PST;V.PTCP;PASS
ενέκρινε	одобрена	εγκρίνω	одобрить	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;SG;PST;V.PTCP;PASS
ενέκρινε	принято	εγκρίνω	принять	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
ενέκρινε	принята	εγκρίνω	принять	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;SG;PST;V.PTCP;PASS
ενέκρινε	принятый	εγκρίνω	принять	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
ενέκρινε	принят	εγκρίνω	принять	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;SG;PST;V.PTCP;PASS
ενέκρινε	принятые	εγκρίνω	принять	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;NOM;PL;PST;V.PTCP;PASS
μασσαλία	марсель	μασσαλία	марсель	PROPN;ACC;FEM;SG	N;INAN;NOM;MASC;SG
μασσαλία	марселе	μασσαλία	марсель	PROPN;ACC;FEM;SG	N;INAN;ESS;MASC;SG
πλημμύρες	наводнение	πλημμύρα	наводнение	N;NOM;FEM;PL	N;INAN;NOM;NEUT;SG
πλημμύρες	наводнение	πλημμύρα	наводнение	N;NOM;FEM;PL	N;INAN;NOM;NEUT;SG
αλλα	другой	αλλα	другой	ADV	ADJ;NOM;MASC;SG
αλλα	другая	αλλα	другой	ADV	ADJ;NOM;FEM;SG
αλλα	другое	αλλα	другой	ADV	ADJ;NOM;NEUT;SG
αλλα	другие	αλλα	другой	ADV	ADJ;NOM;PL
αλλα	прочие	αλλα	прочий	ADV	ADJ;NOM;PL
αλλα	но	αλλα	но	ADV	CONJ
ασημένια	серебро	ασημένιος	серебро	ADV	N;INAN;NOM;NEUT;SG
ασημένια	серебряный	ασημένιος	серебряный	ADV	ADJ;NOM;MASC;SG
ασημένια	сильвер	ασημένιος	сильвер	ADV	N;ANIM;NOM;MASC;SG
όπερες	опер	όπερος	опера	N;NOM;FEM;PL	N;INAN;GEN;FEM;PL
νικολά	николя	νικολά	николь	PROPN;NOM;MASC;SG	PART
συνήθεια	индивидуально	συνήθεια	индивидуально	N;NOM;FEM;SG	ADV
κατάρτιση	подготовка	κατάρτιση	подготовка	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
κατάρτιση	подготовки	κατάρτιση	подготовка	N;ACC;FEM;SG	N;INAN;GEN;FEM;SG
κατάρτιση	обучение	κατάρτιση	обучение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
κατάρτιση	тренинг	κατάρτιση	тренинг	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
μεταξάς	метаксас	μεταξάς	метаксас	PROPN;NOM;MASC;SG	N;INAN;NOM;FEM;SG
κάι	кай	κάι	кай		N;ANIM;NOM;MASC;SG
κάι	кая	κάι	кай		N;ANIM;NOM;FEM;SG
απολύθηκε	уволили	απολύω	уволить	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;IND;PL;PST;FIN;ACT
απολύθηκε	уволены	απολύω	уволить	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;PL;PST;V.PTCP;PASS
ανακάλυψαν	обнаружен	ανακαλύπτω	обнаружить	V;PFV;IND;PL;3;PST;FIN;ACT	V;PFV;MASC;SG;PST;V.PTCP;PASS
ανακάλυψαν	обнаружена	ανακαλύπτω	обнаружить	V;PFV;IND;PL;3;PST;FIN;ACT	V;PFV;FEM;SG;PST;V.PTCP;PASS
ανακάλυψαν	обнаружил	ανακαλύπτω	обнаружить	V;PFV;IND;PL;3;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
ανακάλυψαν	обнаружено	ανακαλύπτω	обнаружить	V;PFV;IND;PL;3;PST;FIN;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
ανακάλυψαν	обнаруженные	ανακαλύπτω	обнаружить	V;PFV;IND;PL;3;PST;FIN;ACT	V;PFV;NOM;PL;PST;V.PTCP;PASS
αγαπημένο	любимое	αγαπημένος	любимый	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	ADJ;NOM;NEUT;SG
αγαπημένο	любимая	αγαπημένος	любить	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;PASS
αγαπημένο	любимые	αγαπημένος	любить	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	V;IPFV;NOM;PL;PRS;V.PTCP;PASS
αγαπημένο	любимый	αγαπημένος	любить	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS
αγαπημένο	любимая	αγαπημένος	любить	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;PASS
αγαπημένο	любимое	αγαπημένος	любимый	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	ADJ;NOM;NEUT;SG
αγαπημένο	любимые	αγαπημένος	любить	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	V;IPFV;NOM;PL;PRS;V.PTCP;PASS
αγαπημένο	любимый	αγαπημένος	любить	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS
ρομπέρτο	роберто	ρομπέρτο	роберто		N;INAN;NOM;MASC;SG
πάτρικ	патрика	πάτρικ	патрика		N;ANIM;ACC;MASC;SG
πάτρικ	патрик	πάτρικ	патрик		N;ANIM;NOM;MASC;SG
πρόβλεψη	прогнозирования	πρόβλεψη	прогнозирование	N;ACC;FEM;SG	N;INAN;NOM;NEUT;PL
πρόβλεψη	прогнозирование	πρόβλεψη	прогнозирование	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
πρόβλεψη	прогноз	πρόβλεψη	прогноз	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
πρόβλεψη	прогнозирования	πρόβλεψη	прогнозирование	N;ACC;FEM;SG	N;INAN;NOM;NEUT;PL
πρόβλεψη	предсказание	πρόβλεψη	предсказание	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
πρόβλεψη	прогноз	πρόβλεψη	прогноз	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
αποδεικνύει	докажет	αποδεικνύω	доказать	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;FUT;FIN;ACT
κούπερ	купер	κούπερ	купер		N;ANIM;NOM;MASC;SG
ρούμπενς	рубенс	ρούμπενς	рубенс		N;INAN;NOM;MASC;SG
τάφους	могил	τάφος	могила	N;NOM;MASC;PL	N;INAN;GEN;FEM;PL
συγγενής	относительной	συγγενής	относительный	N;NOM;MASC;SG	ADJ;INS;FEM;SG
συγγενής	относительное	συγγενής	относительный	N;NOM;MASC;SG	ADJ;NOM;NEUT;SG
συγγενής	относительные	συγγενής	относительный	N;NOM;MASC;SG	ADJ;NOM;PL
συγγενής	относительный	συγγενής	относительный	N;NOM;MASC;SG	ADJ;NOM;MASC;SG
συγγενής	относительная	συγγενής	относительный	N;NOM;MASC;SG	ADJ;NOM;FEM;SG
απόκλιση	отклонения	απόκλιση	отклонение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;PL
απόκλιση	отклонение	απόκλιση	отклонение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
απόκλιση	расхождения	απόκλιση	расхождение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;PL
απόκλιση	расхождение	απόκλιση	расхождение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
γιοι	сыновей	γιος	сын	N;NOM;MASC;PL	N;ANIM;GEN;MASC;PL
ντιν	декан	ντιν	декан		N;ANIM;NOM;MASC;SG
ντιν	дин	ντιν	дина		N;ANIM;NOM;MASC;SG
νιλ	нил	νιλ	ниллима		N;ANIM;NOM;MASC;SG
νιλ	нила	νιλ	нило		N;INAN;GEN;MASC;SG
νιλ	нил	νιλ	ниллима		N;ANIM;NOM;MASC;SG
μαρόκου	марокко	μάροκος	марокко		N;INAN;NOM;MASC;SG
ιού	вирус	ιού	вирус	N;GEN;NEUT;SG	N;INAN;NOM;MASC;SG
ιού	вирусы	ιού	вирус	N;GEN;NEUT;SG	N;INAN;NOM;MASC;PL
φόρμα	форме	φόρμα	форма	N;ACC;FEM;SG	N;INAN;DAT;FEM;SG
φόρμα	форма	φόρμα	форма	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
φόρμα	бланк	φόρμα	бланк	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
φόρμα	формуляр	φόρμα	формуляр	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
φόρμα	комбинезон	φόρμα	комбинезон	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
διαφορών	споры	διαφορά	спор	N;GEN;FEM;PL	N;INAN;NOM;MASC;PL
έζησαν	прожил	χάνω	прожить	V;PFV;IND;PL;3;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
έζησαν	жили	χάνω	жить	V;PFV;IND;PL;3;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN;ACT
έζησαν	жила	χάνω	жить	V;PFV;IND;PL;3;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
έζησαν	жил	χάνω	жить	V;PFV;IND;PL;3;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
αδάμ	адама	αδάμ	адам	N;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
έλλη	элли	έλλος	элли	PROPN;NOM;FEM;SG	N;ANIM;NOM;FEM;SG
μιανμάρ	мьянма	μιανμάρ	мьянм		N;INAN;NOM;FEM;SG
προσφέρεται	предложил	προσφέρω	предложить	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
κλειστή	закрыта	κλειστής	закрыть	ADJ;NOM;FEM;SG	V;PFV;FEM;SG;PST;V.PTCP;PASS
κλειστή	закрыто	κλειστής	закрыть	ADJ;NOM;FEM;SG	V;PFV;NEUT;SG;PST;V.PTCP;PASS
κλειστή	закрытая	κλειστής	закрытый	ADJ;NOM;FEM;SG	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
κλειστή	закрытое	κλειστής	закрытый	ADJ;NOM;FEM;SG	V;PFV;NOM;NEUT;SG;PST;V.PTCP;PASS
κλειστή	закрыты	κλειστής	закрыть	ADJ;NOM;FEM;SG	V;PFV;PL;PST;V.PTCP;PASS
εκτόξευση	запуск	εκτόξευση	запуск	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
εκτόξευση	запуск	εκτόξευση	запуск	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
εκτόξευση	пуск	εκτόξευση	пуск	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
ταϊλάνδη	таиланд	ταϊλάνδη	таиланд		N;INAN;NOM;MASC;SG
ταϊλάνδη	таиланда	ταϊλάνδη	таиланд		N;INAN;GEN;MASC;SG
καπνού	табак	καπνού	табак	N;GEN;NEUT;SG	N;INAN;NOM;MASC;SG
ρόδος	роудс	ρόδος	роудс	PROPN;NOM;FEM;SG	N;ANIM;NOM;MASC;SG
φάρμακο	медицины	φάρμακο	медицина	N;NOM;NEUT;SG	N;INAN;GEN;FEM;SG
φάρμακο	наркотиками	φάρμακο	наркотик	N;NOM;NEUT;SG	N;INAN;INS;MASC;PL
εκτελέσει	казнить	εκτελώ	казнить	V;PFV;IND;SG;3;FIN;ACT	V;IPFV;NFIN;ACT
αιχμάλωτοι	пленных	αιχμάλωτος	пленный	ADJ;NOM;MASC;PL	N;ANIM;GEN;MASC;PL
αιχμάλωτοι	заключенных	αιχμάλωτος	заключенный	ADJ;NOM;MASC;PL	N;ANIM;GEN;MASC;PL
αιχμάλωτοι	заключенные	αιχμάλωτος	заключенный	ADJ;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
χάμιλτον	гамильтон	χάμιλτον	гамильтон	PROPN;NOM;FEM;SG	N;ANIM;NOM;MASC;SG
όμηρο	заложники	όμηρος	заложник	N;ACC;MASC;SG	N;ANIM;NOM;MASC;PL
όμηρο	заложник	όμηρος	заложник	N;ACC;MASC;SG	N;ANIM;NOM;MASC;SG
γυαλί	стекла	γυαλί	стекло	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
κάτοικος	резидента	κάτοικος	резидент	N;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
κάτοικος	резиденты	κάτοικος	резидент	N;NOM;MASC;SG	N;ANIM;NOM;MASC;PL
ουδέτερη	нейтралитет	ούδετερος	нейтралитет	ADJ;NOM;FEM;SG	N;INAN;NOM;MASC;SG
ουδέτερη	нейтральной	ούδετερος	нейтральный	ADJ;NOM;FEM;SG	ADJ;INS;FEM;SG
ουδέτερη	нейтральным	ούδετερος	нейтральный	ADJ;NOM;FEM;SG	ADJ;INS;NEUT;SG
ευγενής	дворянин	ευγενής	дворянин	ADJ;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
ευγενής	благородные	ευγενής	благородный	ADJ;NOM;MASC;SG	ADJ;NOM;PL
ευγενής	благородно	ευγενής	благородный	ADJ;NOM;MASC;SG	ADV
ευγενής	благородных	ευγενής	благородный	ADJ;NOM;MASC;SG	ADJ;GEN;PL
τιμόρ	тимор	τιμόρ	тимор		N;INAN;NOM;MASC;SG
τιμόρ	тиморе	τιμόρ	тимор		N;INAN;NOM;MASC;SG
ορυχεία	добыча	ορυχεία	добыча	N;NOM;NEUT;PL	N;INAN;NOM;FEM;SG
ορυχεία	мин	ορυχεία	минута	N;NOM;NEUT;PL	N;INAN;NOM;FEM;SG
παράθεση	цитирую	παράθεση	цитировать	N;NOM;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
παράθεση	citation	παράθεση	citation	N;NOM;FEM;SG	PROPN
εξόρυξη	добычи	εξόρυξη	добыча	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
εξόρυξη	добычи	εξόρυξη	добыча	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
ράιτ	райт	ράιτ	райт		N;ANIM;NOM;MASC;SG
κλασσική	классические	κλασσικός	классический	ADJ;NOM;FEM;SG	ADJ;NOM;PL
κλασσική	классика	κλασσικός	классик	ADJ;NOM;FEM;SG	N;INAN;NOM;FEM;SG
κλασσική	классической	κλασσικός	классический	ADJ;NOM;FEM;SG	ADJ;INS;FEM;SG
πόντοι	точек	πόντος	точка	N;NOM;MASC;PL	N;INAN;GEN;FEM;PL
πόντοι	очков	πόντος	очко	N;NOM;MASC;PL	N;INAN;GEN;NEUT;PL
επίδειξη	демонстрация	επίδειξη	демонстрация	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
επίδειξη	демонстрации	επίδειξη	демонстрация	N;ACC;FEM;SG	N;INAN;NOM;FEM;PL
επιδημία	эпидемию	επιδημία	эпидемия	N;NOM;FEM;SG	N;INAN;ACC;FEM;SG
επιδημία	эпидемии	επιδημία	эпидемия	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
πρωσία	пруссии	πρωσία	пруссия	PROPN;ACC;FEM;SG	N;INAN;NOM;FEM;SG
πρεσβευτής	посла	πρεσβευτής	посол	N;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
φόνο	убийства	φόνο	убийство	N;ACC;MASC;SG	N;INAN;NOM;NEUT;PL
φόνο	убийство	φόνο	убийство	N;ACC;MASC;SG	N;INAN;NOM;NEUT;SG
αμφιβολία	сомнения	αμφιβολία	сомнение	N;NOM;FEM;SG	N;INAN;NOM;NEUT;PL
