ausscheiden	pengunduran	ausscheiden	penunduran	V;NFIN	N;SG
benannten	ditunjuk	benennen	ditunjuk	V;PL;FIN	V;SG;PASS
vorschriften	peraturan	vorschreifen	peraturan	V;NFIN	N;SG
vorschriften	rules	vorschreifen	rules	V;NFIN	PROPN
vorschriften	peraturan	vorschreifen	peraturan	V;NFIN	N;SG
vorschriften	aturan	vorschreifen	aturan	V;NFIN	N;SG
vorschriften	persyaratan	vorschreifen	persyaratan	V;NFIN	N;SG
vorschriften	spesifikasi	vorschreifen	spesifikasi	V;NFIN	N
vorschriften	spesifikasinya	vorschreifen	spesifikasinya	V;NFIN	N
vorschriften	ketentuan	vorschreifen	ketentuan	V;NFIN	N;SG
vorschriften	perbekalan	vorschreifen	perbekalan	V;NFIN	N;SG
eintracht	eintracht	eintrachen	eintracht	PROPN	N
eintracht	keharmonisan	eintrachen	keharmonisan	PROPN	N;SG
eintracht	harmoni	eintrachen	harmoni	PROPN	N;SG
eintracht	harmony	eintrachen	harmony	PROPN	PROPN
eintragen	register	eintragen	register	V;NFIN	N
eintragen	enter	eintragen	enter	V;NFIN	PROPN
rad	roda	raden	roda		N;SG
rad	radikal	raden	radikal		N;SG
rad	rad	raden	rad		PROPN
götter	dewa	gott	dewa		N;SG
vfb	vfb	vfb	vfb	PROPN;NOM;MASC;SG	PROPN
lass	biarkan	laß	biarkan	V;IND;SG;2;PRS;FIN	;ACT
lass	let	laß	let	V;IND;SG;2;PRS;FIN	PROPN
harz	harz	harz	harz		PROPN
harz	getah	harz	getah		N;SG
harz	resin	harz	resin		N
beitragen	kontribusi	beitragen	kontribusi	V;NFIN	N;SG
lars	lars	lars	lars	PROPN;NOM;MASC;SG	PROPN
lucas	lucas	lucas	lucas	PROPN;NOM;MASC;SG	PROPN
südtirol	südtirol	südtirol	südtirol	PROPN	N
schiedsrichter	arbiter	schiedsrichter	arbiter	ADJ	N
schiedsrichter	wasit	schiedsrichter	wasit	ADJ	N;SG
schiedsrichter	ref	schiedsrichter	ref	ADJ	PROPN
schiedsrichter	wasit	schiedsrichter	wasit	ADJ	N;SG
dünn	skinny	dünn	skinny	ADJ	PROPN
dünn	sparse	dünn	sparse	ADJ	PROPN
bestimmungen	peraturan	bestimmung	peraturan	V;NFIN	N;SG
bestimmungen	ketentuan	bestimmung	ketentuan	V;NFIN	N;SG
bestimmungen	perbekalan	bestimmung	perbekalan	V;NFIN	N;SG
mauern	wall	mauern	wall	V;NFIN	PROPN
mauern	tembok	mauern	tembok	V;NFIN	N;SG
mauern	dinding	mauern	dinding	V;NFIN	N;SG
mauern	tembok	mauern	tembok	V;NFIN	N;SG
mauern	dinding	mauern	dinding	V;NFIN	N;SG
three	tiga	threen	tiga	PROPN	NUM
three	three	threen	three	PROPN	PROPN
verlieren	kehilangan	verlieren	kehilangan	V;NFIN	N;SG
verlieren	longgar	verlieren	longgar	V;NFIN	ADJ;SG
verlieren	loose	verlieren	loose	V;NFIN	PROPN
verlieren	kehilangan	verlieren	kehilangan	V;NFIN	N;SG
gefangenschaft	tawanan	gefangenschaft	tawanan	ADJ	N;SG
gefangenschaft	tahanan	gefangenschaft	tahanan	ADJ	N;SG
gefangenschaft	tawan	gefangenschaft	tawan	ADJ	PROPN;SG
gefangenschaft	tawanan	gefangenschaft	tawanan	ADJ	N;SG
gefangenschaft	hukuman	gefangenschaft	hukuman	ADJ	N;SG
gefangenschaft	penahanan	gefangenschaft	pentahanan	ADJ	N;SG
gefangenschaft	penangkaran	gefangenschaft	pentangkaran	ADJ	N;SG
henning	henning	hennengen	henning	PROPN;NOM;MASC;SG	PROPN
comics	komik	comic	komik	PROPN	N
comics	komik	comic	komik	PROPN	N
comics	comic	comic	comic	PROPN	PROPN
umfassenden	komprehensif	umfassend	komprehensif	V;FIN	ADJ;SG
sainte	sainte	sainen	sainte	PROPN;NOM;SG	PROPN
moon	rembulan	moon	rembulan	PROPN;NOM;SG	N;SG
moon	bulan	moon	bulan	PROPN;NOM;SG	N;SG
moon	moon	moon	moon	PROPN;NOM;SG	PROPN
wem	siapa	wer	siapa	ADV	PRO
wem	who	wer	who	ADV	PROPN
teufel	hell	teufel	hell		PROPN
teufel	neraka	teufel	neraka		PROPN;SG
teufel	setan	teufel	setan		PROPN;SG
teufel	iblis	teufel	iblis		PROPN;SG
teufel	devil	teufel	devil		PROPN
teufel	setan	teufel	setan		PROPN;SG
notre	notre	notre	notre	PROPN;SG	PROPN
leinwand	kanvas	leinwand	kanvas		N;SG
leinwand	canvas	leinwand	canvas		PROPN
leinwand	screen	leinwand	screen		PROPN
leinwand	layar	leinwand	layar		N;SG
hauptdarsteller	bintangi	hauptdarsteller	bintangi	ADJ	V;SG;ACT
hauptdarsteller	dibintangi	hauptdarsteller	dibintangi	ADJ	V;SG;PASS
hauptdarsteller	membintangi	hauptdarsteller	menbintangi	ADJ	V;SG;ACT
rugby	rugby	rugby	rugby	PROPN	N
rugby	rugbi	rugby	rugbi	PROPN	N
vorhaben	project	vorhaben	project		PROPN
vorhaben	proyek	vorhaben	proyek		N;SG
vorhaben	projek	vorhaben	projek		N;SG
vorhaben	proyek	vorhaben	proyek		N;SG
verarbeitet	tempa	verarbeiten	tempa	V;V.PTCP	PROPN;SG
riga	riga	riga	riga	PROPN;NOM;SG	PROPN
gültigen	valid	gültig	valid	ADJ	PROPN
kameramann	kameramen	kameramann	kameramen	ADJ	N;SG
kameramann	sinematografer	kameramann	sinematografer	ADJ	N
vorn	front	vorn	front	ADV	PROPN
vorn	depan	vorn	depan	ADV	N;SG
hansestadt	hanseatic	hansestadt	hanseatic	PROPN;NOM;SG	PROPN
madonna	madonna	madonna	madonna	PROPN;NOM;SG	PROPN
roberto	roberto	roberto	roberto	PROPN	PROPN
wohnen	perumahan	wohnen	penrumahan	V;NFIN	N;SG
wohnen	live	wohnen	live	V;NFIN	PROPN
wohnen	langsung	wohnen	langsung	V;NFIN	ADV
vorfahren	leluhur	vorfahren	leluhur		N
vorfahren	leluhur	vorfahren	leluhur		N
level	aras	level	aras		N;SG
level	level	level	level		N
level	tingkatan	level	tingkatan		N;SG
level	tingkat	level	tingkat		N;SG
ressourcen	sumberdaya	ressourc	sumberdaya	V;NFIN	N;SG
ressourcen	sumberdaya	ressourc	sumberdaya	V;NFIN	N;SG
laura	laura	laura	laura	PROPN;NOM;SG	PROPN
zeichnen	draw	zeichnen	draw	V;NFIN	PROPN
zeichnen	imbang	zeichnen	imbang	V;NFIN	N;SG
zeichnen	gambar	zeichnen	gambar	V;NFIN	N;SG
essays	esai	essays	esai		N;SG;ACT
bürgerschaft	kewarganegaraan	bürgerschaft	kewarganegaraan	ADJ	N;SG
vorträge	kuliah	vortragen	kuliah	ADJ;NOM;PL	N;SG
vorträge	ceramah	vortragen	ceramah	ADJ;NOM;PL	N
vorträge	perkuliahan	vortragen	perkuliahan	ADJ;NOM;PL	N;SG
vorträge	pidato	vortragen	pidato	ADJ;NOM;PL	N;SG
vorträge	konferensi	vortragen	konferensi	ADJ;NOM;PL	N;SG
vorträge	presentasi	vortragen	presentasi	ADJ;NOM;PL	N;SG
vorträge	perundingan	vortragen	penrundingan	ADJ;NOM;PL	N;SG
vorträge	pembicaraan	vortragen	penbicaraan	ADJ;NOM;PL	N;SG
vorträge	kuliah	vortragen	kuliah	ADJ;NOM;PL	N;SG
vorträge	ceramah	vortragen	ceramah	ADJ;NOM;PL	N
vorträge	perkuliahan	vortragen	perkuliahan	ADJ;NOM;PL	N;SG
marianne	marianne	marianne	marianne	N;NOM;FEM;SG	PROPN
wilde	wild	wilden	wild		PROPN
wilde	liar	wilden	liar		N;SG
wilde	biadab	wilden	biadab		ADJ;SG
wilde	wilde	wilden	wilde		PROPN
wilde	savage	wilden	savage		PROPN
wilde	buas	wilden	buas		N
wilde	biadab	wilden	biadab		ADJ;SG
mathias	mathias	mathias	mathias	PROPN;NOM;MASC;SG	PROPN
österreichisch	austria	österreichisch	austria	ADJ	PROPN
mont	mont	mont	mont	PROPN;NOM;SG	PROPN
rumpf	hull	rumpf	hull	ADJ	PROPN
rumpf	lambung	rumpf	lambung	ADJ	N;SG
rumpf	torso	rumpf	torso	ADJ	N
rumpf	bagasi	rumpf	bagasi	ADJ	N;SG
rumpf	belalai	rumpf	belalai	ADJ	N;SG
anfangen	start	anfangen	start	V;NFIN	PROPN
anfangen	begin	anfangen	begin	V;NFIN	PROPN
arabische	arab	arabisch	arab	ADJ;NOM;FEM;PL	PROPN;SG
arabische	arab	arabisch	arab	ADJ;NOM;FEM;PL	PROPN;SG
arabische	arabic	arabisch	arabic	ADJ;NOM;FEM;PL	PROPN
lyrik	puisi	lyrik	puisi		N
lyrik	lirik	lyrik	lirik		N;SG;ACT
lyrik	lyrics	lyrik	lyrics		PROPN
wahlbezirk	konstituensi	wahlbezirk	konstituensi		PROPN
belgrad	belgrade	belgrad	belgrade	PROPN;NOM;SG	PROPN
maryland	maryland	maryland	maryland	PROPN;NOM;MASC;SG	PROPN
abhängigkeit	dependensi	abhängigkeit	dependensi	V;SG;FIN	N;SG
abhängigkeit	ketergantungan	abhängigkeit	ketergantungan	V;SG;FIN	N
abhängigkeit	ketergantungan	abhängigkeit	ketergantungan	V;SG;FIN	N
abhängigkeit	kecanduan	abhängigkeit	kecanduan	V;SG;FIN	N;SG
abhängigkeit	ketergantungan	abhängigkeit	ketergantungan	V;SG;FIN	N
ankunft	tiba	ankunft	tiba	N;FEM;SG	V;SG
gerichte	piring	gericht	piring		N;SG
gerichte	pengadilan	gericht	penadilan		N;SG
mörder	killers	mörder	killers	ADJ	PROPN
mörder	pembunuh	mörder	penbunuh	ADJ	N;SG
mörder	killer	mörder	killer	ADJ	PROPN
mörder	pembunuh	mörder	penbunuh	ADJ	N;SG
mörder	pembunuh	mörder	penbunuh	ADJ	N;SG
mörder	pembunuh	mörder	penbunuh	ADJ	N;SG
mörder	assasin	mörder	assasin	ADJ	N
mörder	assassin	mörder	assassin	ADJ	N
mörder	pembunuh	mörder	penbunuh	ADJ	N;SG
kats	kats	kats	kats		PROPN
sofia	sofia	sofia	sofia	PROPN;SG	PROPN
verändern	modifikasi	verändern	modifikasi	V;NFIN	N;SG
verändern	alter	verändern	alter	V;NFIN	PROPN
abu	abu	abu	abu	PROPN;NOM;MASC;SG	ADJ;SG
glasgow	glasgow	glasgow	glasgow	PROPN;NOM;SG	PROPN
stürmer	forward	stürm	forward	ADJ	PROPN
stürmer	maju	stürm	maju	ADJ	V;SG;ACT
stürmer	striker	stürm	striker	ADJ	N;SG
heller	heller	hell	heller	ADJ	PROPN
emanuel	emanuel	emanuel	emanuel	PROPN;NOM;MASC;SG	PROPN
emanuel	emmanuel	emanuel	emmanuel	PROPN;NOM;MASC;SG	PROPN
naturschutz	konservasi	naturschutz	konservasi	ADJ	N;SG
naturschutz	alam	naturschutz	alam	ADJ	N;SG
naturschutz	nature	naturschutz	nature	ADJ	PROPN
anliegen	kekhawatiran	anliegen	kekhawatiran		N;SG
anliegen	keprihatinan	anliegen	keprihatinan		N;SG
kohle	batubara	kohl	batubara		N;SG
kohle	adonan	kohl	adonan		N
kohle	dough	kohl	dough		PROPN
kohle	arang	kohl	arang		PROPN;SG
graham	graham	graham	graham	PROPN;NOM;SG	PROPN
hauptsitz	markas	hauptsitz	markas	V;V.PTCP	N;SG
caroline	caroline	caroline	caroline	PROPN;NOM;FEM;SG	PROPN
kaiserreich	imperium	kaiserreich	imperium	PROPN	N
kaiserreich	empire	kaiserreich	empire	PROPN	PROPN
kaiserreich	kekaisaran	kaiserreich	kekaisaran	PROPN	N;SG
kaiserreich	imperial	kaiserreich	imperial	PROPN	PROPN
konzern	corporate	konzern	corporate		PROPN
konzern	korporasi	konzern	korporasi		N;SG
konzern	group	konzern	group		N
konzern	kelompokkan	konzern	kelompokkan		V;SG;ACT
konzern	grup	konzern	grup		N;SG
konzern	kelompok	konzern	kelompok		N;SG
konzern	consolidated	konzern	consolidated		PROPN
konzern	konsolidasi	konzern	konsolidasi		N
konzern	perusahaan	konzern	perusahaan		N;SG
konzern	corporation	konzern	corporation		PROPN
konzern	korporasi	konzern	korporasi		N;SG
marokko	morocco	marokko	morocco	PROPN	PROPN
marokko	maroko	marokko	maroko	PROPN	PROPN
marokko	tangier	marokko	tangier	PROPN	PROPN
nordischen	norse	nordisch	norse	ADJ	PROPN
nordischen	nordik	nordisch	nordik	ADJ	PROPN
nordischen	nordik	nordisch	nordik	ADJ	PROPN
nordischen	nordic	nordisch	nordic	ADJ	PROPN
gebeten	doa	bitten	doa	V;V.PTCP	PROPN;SG
wörtlich	harafiah	wörtlich	harafiah	ADJ	N
wörtlich	harfiah	wörtlich	harfiah	ADJ	N
wörtlich	literal	wörtlich	literal	ADJ	N;SG
wörtlich	harafiah	wörtlich	harafiah	ADJ	N
wrestling	bergulat	wrestlingen	bergulat	ADJ	V;SG;ACT
wrestling	wrestling	wrestlingen	wrestling	ADJ	PROPN
wrestling	gulat	wrestlingen	gulat	ADJ	N;SG
ryan	ryan	ryan	ryan	PROPN;NOM;MASC;SG	PROPN
manga	manga	manga	manga		N
demo	demo	demo	demo		N;SG
renault	renault	renaulen	renault	PROPN;SG	N
turner	pesenam	turn	pesenam	PROPN;NOM;SG	N;SG
turner	turner	turn	turner	PROPN;NOM;SG	PROPN
einnahmen	pendapatan	einnehmen	pendapatan	V;NFIN	N;SG
einnahmen	penghasilan	einnehmen	penhasilan	V;NFIN	N;SG
einnahmen	pemasukan	einnehmen	penpasukan	V;NFIN	N;SG
einnahmen	income	einnehmen	income	V;NFIN	PROPN
einnahmen	pendapatan	einnehmen	pendapatan	V;NFIN	N;SG
einnahmen	penghasilan	einnehmen	penhasilan	V;NFIN	N;SG
einnahmen	kuitansi	einnehmen	kuitansi	V;NFIN	N;SG
einnahmen	pendapatan	einnehmen	pendapatan	V;NFIN	N;SG
kritiken	ulasan	kritik	ulasan	ADJ;PL	N;SG
kritiken	review	kritik	review	ADJ;PL	PROPN
kritiken	resensi	kritik	resensi	ADJ;PL	N;SG
kritiken	tinjauan	kritik	tinjauan	ADJ;PL	N;SG
kritiken	kritikus	kritik	kritikus	ADJ;PL	N;SG
kritiken	kritik	kritik	kritik	ADJ;PL	N;SG
kritiken	peninjau	kritik	pentinjau	ADJ;PL	N;SG
kritiken	tinjauan	kritik	tinjauan	ADJ;PL	N;SG
dorothea	dorothea	dorothea	dorothea	PROPN;NOM;FEM;SG	PROPN
suhrkamp	suhrkamp	suhrkamp	suhrkamp	PROPN	PROPN
kreuzung	menyeberang	kreuzung	menseberang		V;SG;ACT
kreuzung	crossing	kreuzung	crossing		PROPN
kreuzung	penyeberangan	kreuzung	penseberangan		N;SG
kreuzung	melintas	kreuzung	menlintas		V;SG;ACT
kreuzung	perempatan	kreuzung	perempatan		N;SG
kreuzung	perempatan	kreuzung	perempatan		N;SG
kreuzung	perpotongan	kreuzung	perpotongan		N;SG
kreuzung	persimpangan	kreuzung	persimpangan		N;SG
kreuzung	junction	kreuzung	junction		PROPN
kreuzung	persimpangan	kreuzung	persimpangan		N;SG
kreuzung	perempatan	kreuzung	perempatan		N;SG
kreuzung	persimpangan	kreuzung	persimpangan		N;SG
gilbert	gilbert	gilbern	gilbert	PROPN	PROPN
jemals	ever	jemals	ever	ADV	PROPN
verschwunden	gone	verschwinden	gone	V;V.PTCP	PROPN
benennung	janji	benennung	janji	ADJ	N;SG
benennung	penamaan	benennung	pennamaan	ADJ	N;SG
benennung	nominasi	benennung	nominasi	ADJ	N;SG
benennung	penunjukan	benennung	pentunjukan	ADJ	N;SG
captain	capt	captain	capt	PROPN;NOM;MASC;SG	PROPN
captain	kapten	captain	kapten	PROPN;NOM;MASC;SG	N
kirchliche	gerejawi	kirchlich	gerejawi	ADJ;NOM;FEM;PL	N
ausgang	output	ausgang	output		N
ausgang	keluaran	ausgang	keluaran		N;SG
ausgang	exit	ausgang	exit		PROPN
ausgang	keluar	ausgang	keluar		V;SG;ACT
estland	tallinn	estlind	tallinn		PROPN
estland	estonia	estlind	estonia		PROPN
startet	peluncuran	starten	penluncuran	V;IND;SG;3;PRS;FIN	N;SG
clara	clara	clara	clara	PROPN;NOM;SG	PROPN
nad	nad	nad	nad	PROPN	PROPN
garde	garde	garde	garde		PROPN
anzeige	tampilkan	anzeig	tampilkan		V;SG;ACT
anzeige	tampilan	anzeig	tampilan		N;SG
anzeige	display	anzeig	display		N
anzeige	iklan	anzeig	iklan		N;SG
systemen	sistem	systemen	sistem	V;NFIN	N;SG
systemen	systems	systemen	systems	V;NFIN	PROPN
sierra	sierra	sierra	sierra	PROPN;NOM;SG	PROPN
meißen	meissen	meißen	meissen	PROPN;NOM	PROPN
trennen	putus	trennen	putus	V;NFIN	ADJ;SG
trennen	pemisahan	trennen	penpisahan	V;NFIN	N;SG
trennen	terpisah	trennen	terpisah	V;NFIN	ADJ;SG;PASS
sogn	sogn	sognen	sogn		PROPN
entscheidende	menentukan	entscheidend	mententukan	ADJ;NOM;FEM;PL	V;SG;ACT
entscheidende	krusial	entscheidend	krusial	ADJ;NOM;FEM;PL	ADJ;SG
stralsund	stralsund	stralsund	stralsund	PROPN	PROPN
zwingend	ojek	zwingend	ojek	ADJ	N
zwingend	wajib	zwingend	wajib	ADJ	
zwingend	wajib	zwingend	wajib	ADJ	
spezialisiert	spesialis	spezialisieren	spesialis	V;V.PTCP	ADJ;SG
innenraum	interior	innenraum	interior	ADJ	N;SG
innenraum	interior	innenraum	interior	ADJ	N;SG
innenraum	indoor	innenraum	indoor	ADJ	PROPN
kennedy	kennedy	kennedy	kennedy	PROPN;NOM;MASC;SG	PROPN
karin	karin	karin	karin	PROPN;NOM;FEM;SG	PROPN
händler	pedagang	händler	pedagang	ADJ	N;SG
händler	dealer	händler	dealer	ADJ	PROPN
händler	pengedar	händler	penkedar	ADJ	N;SG
händler	distributor	händler	distributor	ADJ	N;SG
händler	pedagang	händler	pedagang	ADJ	N;SG
händler	trader	händler	trader	ADJ	N
händler	pengecer	händler	penecer	ADJ	N;SG
händler	peritel	händler	peritel	ADJ	N;SG
händler	distributor	händler	distributor	ADJ	N;SG
händler	penyalur	händler	pensalur	ADJ	N;SG
händler	dealer	händler	dealer	ADJ	PROPN
händler	pengedar	händler	penkedar	ADJ	N;SG
beförderung	promosi	beförderung	promosi	ADJ	N;SG
mönchengladbach	mönchengladbach	mönchengladbach	mönchengladbach	ADJ	PROPN
germanistik	jermanik	germanistik	jermanik	ADJ	N
singen	sing	singen	sing	V;NFIN	PROPN
singen	nyanyi	singen	nyanyi	V;NFIN	N;SG
singen	nyanyikan	singen	nyanyikan	V;NFIN	
singen	nyanyian	singen	nyanyian	V;NFIN	N;SG
singen	chant	singen	chant	V;NFIN	N
camp	kemah	camp	kemah		N;SG
camp	perkemahan	camp	perkemahan		N
camp	kamp	camp	kamp		N;SG
camp	camp	camp	camp		PROPN
minden	minden	minden	minden		PROPN
gefecht	battle	fechen	battle		PROPN
gefecht	pertempuran	fechen	pertempuran		N;SG
gefecht	peperangan	fechen	peperangan		N
campbell	campbell	campbell	campbell	PROPN	PROPN
mind	mind	mind	mind		PROPN
mind	pikiran	mind	pikiran		N;SG
mind	mnt	mind	mnt		PROPN
mind	min	mind	min		PROPN
beine	legs	bein	legs		PROPN
beine	kaki	bein	kaki		N;SG
anführer	leader	anführer	leader	ADJ	PROPN
anführer	pemimpin	anführer	penpimpin	ADJ	N;SG
anführer	pemimpin	anführer	penpimpin	ADJ	N;SG
techniken	teknik	technik	teknik	V;NFIN	N;SG
techniken	teknik	technik	teknik	V;NFIN	N;SG
asteroiden	asteroid	asteroiden	asteroid		N
asteroiden	asteroid	asteroiden	asteroid		N
woher	how	woher	how	ADV	PROPN
franco	franco	franco	franco	PROPN;NOM;MASC;SG	PROPN
betrachtung	renungan	betrachtung	renungan	V;IND;SG;3;PRS;FIN	N;SG
betrachtung	perenungan	betrachtung	penrenungan	V;IND;SG;3;PRS;FIN	N;SG
betrachtung	kontemplasi	betrachtung	kontemplasi	V;IND;SG;3;PRS;FIN	N
überprüfung	review	überprüfung	review	N;NOM;FEM;SG	PROPN
überprüfung	tinjau	überprüfung	tinjau	N;NOM;FEM;SG	V;SG;ACT
überprüfung	ulas	überprüfung	ulas	N;NOM;FEM;SG	V;SG;ACT
überprüfung	meninjau	überprüfung	mentinjau	N;NOM;FEM;SG	V;SG;ACT
böden	tanah	böden	tanah		N;SG
böden	lantai	böden	lantai		N;SG
böden	tanah	böden	tanah		N;SG
böden	tanahnya	böden	tanah		N;SG
option	opsi	option	opsi		N;SG
ägyptischen	mesir	ägyptisch	mesir	ADJ;PL	PROPN;SG
stade	stade	stade	stade		PROPN
lukas	luke	lukas	luke	PROPN;NOM;MASC;SG	PROPN
lukas	lukas	lukas	lukas	PROPN;NOM;MASC;SG	N;SG
lukas	lukas	lukas	lukas	PROPN;NOM;MASC;SG	N;SG
lukas	lucas	lukas	lucas	PROPN;NOM;MASC;SG	PROPN
morgan	morgan	morgan	morgan	PROPN;NOM;SG	PROPN
ständigen	standing	ständig	standing	ADJ	PROPN
ständigen	berdiri	ständig	berdiri	ADJ	V;SG;ACT
ständigen	permanent	ständig	permanent	ADJ	PROPN
bühnen	tahapan	bühnen	tahapan	N;NOM;PL	N;SG
bühnen	tahap	bühnen	tahap	N;NOM;PL	N;SG
bühnen	panggung	bühnen	panggung	N;NOM;PL	N;SG
bühnen	stage	bühnen	stage	N;NOM;PL	PROPN
porsche	porsche	porsch	porsche	PROPN;NOM;SG	N
vermehrt	disebarkan	vermehrt	disebarkan	ADJ	V;SG;PASS
beurteilung	penghakiman	beurteilung	penhakiman	ADJ;NOM;FEM;SG	N;SG
beurteilung	evaluasi	beurteilung	evaluasi	ADJ;NOM;FEM;SG	N;SG
beurteilung	penilaian	beurteilung	pennilaian	ADJ;NOM;FEM;SG	N;SG
beurteilung	menghakimi	beurteilung	menhakimi	ADJ;NOM;FEM;SG	V;SG;ACT
flecken	tambalan	flecken	tambalan	V;NFIN	N;SG
flecken	patch	flecken	patch	V;NFIN	PROPN
flecken	bintik	flecken	bintik	V;NFIN	N;SG
japanisch	jepang	japanisch	jepang	ADJ	PROPN;SG
japanisch	japanese	japanisch	japanese	ADJ	PROPN
gewählten	terpilih	gewählt	terpilih	ADJ;PL	V;SG;PASS
sat	sab	sat	sab		PROPN
sat	sabtu	sat	sabtu		N;SG
sat	sat	sat	sat		PROPN
fliehen	escape	fliehen	escape	V;NFIN	PROPN
stoffe	kain	stoffen	kain	N;NOM;PL	N;SG
stoffe	zat	stoffen	zat	N;NOM;PL	N;SG
erkenntnis	realisasi	erkenntnis	realisasi	V;IND;SG;3;PRS;FIN	N;SG
erkenntnis	persepsi	erkenntnis	persepsi	V;IND;SG;3;PRS;FIN	N;SG
erkenntnis	kognisi	erkenntnis	kognisi	V;IND;SG;3;PRS;FIN	N;SG
