les	το	le	ο	DET;DEF;PL	DET;NOM;DEF;NEUT;SG
cette	αυτο	ce	αυτός	DET;FEM;SG	PRO;NOM;NEUT;SG;3
cette	αυτό	ce	αυτός	DET;FEM;SG	PRO;NOM;NEUT;SG;3
pop	pop	pop	pop	N;FEM;SG	
pop	ποπ	pop	ποπ	N;FEM;SG	
deux	two	deux	two	NUM	
ses	ses	son	ses	DET;MASC;PL	
ses	its	son	its	DET;MASC;PL	
naissance	naissance	naissance	naissance	N;FEM;SG	
naissance	γεννήθηκα	naissance	γεννώ	N;FEM;SG	V;PFV;IND;SG;1;PST;FIN;PASS
naissance	γεννημένος	naissance	γεννημένος	N;FEM;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
naissance	γεννήθηκε	naissance	γεννώ	N;FEM;SG	V;PFV;IND;SG;3;PST;FIN;PASS
naissance	γεννηθείς	naissance	γεννηθής	N;FEM;SG	ADJ;NOM;MASC;SG
france	γαλλία	france	γαλλία	N;FEM;SG	PROPN;ACC;FEM;SG
saint	άγιο	saint	άγιος	PROPN	N;NOM;MASC;SG
saint	ιερό	saint	ιερός	PROPN	N;NOM;NEUT;SG
saint	ιερά	saint	ιερός	PROPN	ADV
saint	αγία	saint	αγία	PROPN	PROPN;NOM;FEM;SG
saint	αγιος	saint	αγιος	PROPN	DET;NOM;DEF;MASC;SG
saint	άγιος	saint	άγιος	PROPN	ADJ;NOM;MASC;SG
après	μετα	après	μετα	ADP	ADV
après	μετά	après	μετά	ADP	ADV
fait	φτιαγμένα	faire	φτιαγμένα	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;PL
fait	κάνει	faire	κάνω	V;MASC;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
entre	ανάμεσα	entre	ανάμεσα	ADP	ADV
même	ίδια	même	ίδιος	ADV	ADJ;NOM;FEM;SG
même	ίδιο	même	ίδιος	ADV	ADJ;NOM;NEUT;SG
même	ίδιοι	même	ίδιος	ADV	ADJ;NOM;MASC;PL
français	français	français	français	ADJ;MASC;SG	
français	γάλλοι	français	γάλλος	ADJ;MASC;SG	PROPN;NOM;MASC;PL
français	γάλλος	français	γάλλος	ADJ;MASC;SG	N;NOM;MASC;SG
français	γαλλικά	français	γαλλικά	ADJ;MASC;SG	ADV
paris	paris	pari	paris	N;MASC;PL	
paris	πάρις	pari	πάρις	N;MASC;PL	PROPN;NOM;MASC;SG
paris	παρίσι	pari	παρίσι	N;MASC;PL	PROPN;NOM;NEUT;SG
lui	αυτόν	lui	αυτός	PRO;SG;3	PRO;ACC;MASC;SG;3
autres	λοιπά	autre	λοιπός	PRO;PL	ADV
autres	αλλα	autre	αλλα	PRO;PL	ADV
autres	λοιποί	autre	λοιπός	PRO;PL	ADJ;NOM;MASC;PL
décès	θανάτους	décès	θάνατος	N;MASC;SG	N;ACC;MASC;PL
décès	θάνατοι	décès	θάνατος	N;MASC;SG	N;NOM;MASC;PL
liens	σύνδεσμοι	lien	σύνδεσμος	N;MASC;PL	N;ACC;MASC;SG
était	ήταν	être	είμαι	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;PST;FIN;PASS
commune	κοινές	commune	κοινός	N;FEM;SG	ADJ;NOM;FEM;PL
commune	κοινή	commune	κοινός	N;FEM;SG	ADJ;NOM;FEM;SG
commune	κοινός	commune	κοινός	N;FEM;SG	ADJ;NOM;MASC;SG
commune	συχνές	commune	συχνή	N;FEM;SG	N;NOM;FEM;PL
ville	town	ville	town	N;FEM;SG	
ville	city	ville	city	N;FEM;SG	
jean	jean	jean	jean	PROPN	
jean	τζιν	jean	τζεν	PROPN	N;NOM;NEUT;SG
jean	τζην	jean	τζεν	PROPN	
jean	ζαν	jean	ζαν	PROPN	PROPN;NOM;MASC;SG
jean	τζων	jean	τζων	PROPN	
jean	τζον	jean	τζο	PROPN	
jean	john	jean	john	PROPN	
jean	ιωάννης	jean	ιωάννης	PROPN	PROPN;NOM;MASC;SG
peut	μάη	pouvoir	μάη	V;IND;SG;3;PRS;FIN	ADP
peut	μάιος	pouvoir	μάιος	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
peut	μέι	pouvoir	μέι	V;IND;SG;3;PRS;FIN	
peut	μάης	pouvoir	μάος	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
peut	can	pouvoir	can	V;IND;SG;3;PRS;FIN	
première	πρεμιέρα	premier	πρεμιέρα	ADJ;FEM;SG	N;ACC;FEM;SG
première	πρώτο	premier	πρώτος	ADJ;FEM;SG	NUM;NOM;NEUT;SG
première	πρώτον	premier	πρώτον	ADJ;FEM;SG	ADV
première	πρώτη	premier	πρώτος	ADJ;FEM;SG	NUM;NOM;FEM;SG
première	πρώτα	premier	πρώτα	ADJ;FEM;SG	ADV
première	πρώτος	premier	πρώτος	ADJ;FEM;SG	NUM;NOM;MASC;SG
ans	ans	an	ans	N;MASC;PL	
externes	εξωτερική	externe	εξωτερικός	ADJ;MASC;PL	ADJ;NOM;FEM;SG
externes	εξωτερικά	externe	εξωτερικά	ADJ;MASC;PL	ADV
externes	εξωτερικό	externe	εξωτερικό	ADJ;MASC;PL	N;NOM;NEUT;SG
externes	εξωτερικός	externe	εξωτερικός	ADJ;MASC;PL	ADJ;NOM;MASC;SG
site	website	site	website	N;MASC;SG	
site	site	site	site	N;MASC;SG	
premier	πρωθυπουργός	premier	πρωθυπουργός	ADJ;MASC;SG	N;NOM;MASC;SG
premier	premier	premier	premier	ADJ;MASC;SG	
premier	πρώτο	premier	πρώτος	ADJ;MASC;SG	NUM;NOM;NEUT;SG
premier	πρώτον	premier	πρώτον	ADJ;MASC;SG	ADV
premier	πρώτη	premier	πρώτος	ADJ;MASC;SG	NUM;NOM;FEM;SG
premier	πρώτα	premier	πρώτα	ADJ;MASC;SG	ADV
premier	πρώτος	premier	πρώτος	ADJ;MASC;SG	NUM;NOM;MASC;SG
ces	οἱ	ce	οἱ	PRO;PL;3	N
http	http	http	http	N;MASC;SG	
voir	βλέπε	voir	βλέπω	V;NFIN	
voir	δειτε	voir	δειτε	V;NFIN	
voir	θεα	voir	θεα	V;NFIN	N;NOM;FEM;SG
voir	θέα	voir	θέα	V;NFIN	N;NOM;FEM;SG
voir	όψη	voir	όψο	V;NFIN	N;NOM;FEM;SG
voir	προβολή	voir	προβολή	V;NFIN	N;NOM;FEM;SG
voir	view	voir	view	V;NFIN	
pays	χώρες	pays	χώρα	N;MASC;SG	N;NOM;FEM;PL
pays	χωρες	pays	χωρα	N;MASC;SG	N;NOM;FEM;PL
ils	αυτοί	il	αυτός	PRO;MASC;PL;3	PRO;NOM;MASC;PL;3
grand	μεγάλα	grand	μεγάλος	ADJ;MASC;SG	ADJ;NOM;NEUT;PL
grand	μεγάλα	grand	μεγάλος	ADJ;MASC;SG	ADJ;NOM;NEUT;PL
grand	υπέροχα	grand	υπέροχος	ADJ;MASC;SG	ADV
grand	χιλιάρικο	grand	χιλιάρικο	ADJ;MASC;SG	N;NOM;NEUT;SG
grand	grand	grand	grand	ADJ;MASC;SG	
tout	ολα	tout	όλος	PRO;MASC;SG	ADV
tout	όλα	tout	όλος	PRO;MASC;SG	ADJ;NOM;NEUT;PL
tout	ολα	tout	όλος	PRO;MASC;SG	ADV
tout	όλοι	tout	όλος	PRO;MASC;SG	ADJ;NOM;MASC;PL
tout	όλες	tout	όλος	PRO;MASC;SG	ADJ;NOM;FEM;PL
tout	όλα	tout	όλος	PRO;MASC;SG	ADJ;NOM;NEUT;PL
groupe	group	groupe	group	N;MASC;SG	
titre	τίτλος	titre	τίτλος	N;MASC;SG	NUM;NOM;MASC;SG
monde	world	monde	world	N;MASC;SG	
nord	βόρεια	nord	βόρεια	N;MASC;SG	ADV
nord	βόρειος	nord	βόρειος	N;MASC;SG	ADJ;NOM;MASC;SG
nord	βόρειο	nord	βόρειο	N;MASC;SG	ADJ;NOM;NEUT;SG
nord	βόρεια	nord	βόρεια	N;MASC;SG	ADV
nord	nord	nord	nord	N;MASC;SG	
bien	καλή	bien	καλός	ADV	ADJ;NOM;FEM;SG
bien	καλό	bien	καλός	ADV	ADJ;NOM;NEUT;SG
contre	ενάντια	contre	ενάντια	ADP	ADV
contre	κόντρα	contre	κόντρο	ADP	N;ACC;FEM;SG
puis	τότε	puis	τότε	CONJ	ADV
puis	μετά	puis	μετά	CONJ	ADV
club	club	club	club	N;MASC;SG	
club	κλάμπ	club	κλάμπ	N;MASC;SG	
club	κλαμπ	club	κλαμπ	N;MASC;SG	
sud	sud	sud	sud	N;MASC;SG	
sud	νότιο	sud	νότιος	N;MASC;SG	ADJ;NOM;NEUT;SG
sud	νότια	sud	νότιος	N;MASC;SG	ADV
partie	party	partie	party	N;FEM;SG	
avant	μπροστινό	avant	μπροστινός	ADP	N;NOM;NEUT;SG
avant	μπροστά	avant	μπροστά	ADP	ADV
avant	μέτωπο	avant	μέτωπο	ADP	N;NOM;NEUT;SG
avant	πρίν	avant	πρίν	ADP	N
avant	πριν	avant	πριν	ADP	ADV
non	όχι	non	όχι	ADV	PART
trois	three	trois	three	NUM	
articles	αρθρα	article	άρθρο	N;MASC;PL	
saison	σεζον	saison	σεζον	N;FEM;SG	
fin	fin	fin	fin	N;FEM;SG	
fin	φιν	fin	φιν	N;FEM;SG	
fin	τέλος	fin	τέλος	N;FEM;SG	ADV
temps	χρονος	temps	χρονος	N;MASC;SG	DET;NOM;DEF;MASC;SG
plusieurs	πολλά	plusieurs	πολύς	PRO;PL	ADJ;NOM;NEUT;PL
plusieurs	πολλοι	plusieurs	πολύς	PRO;PL	ADJ;NOM;MASC;PL
plusieurs	πολλοί	plusieurs	πολύς	PRO;PL	ADJ;NOM;MASC;PL
plusieurs	πολλές	plusieurs	πολύς	PRO;PL	ADJ;NOM;FEM;PL
plusieurs	πολλα	plusieurs	πολύς	PRO;PL	ADV
plusieurs	πολλαπλές	plusieurs	πολλαπλά	PRO;PL	ADJ;NOM;FEM;PL
plusieurs	πολλαπλή	plusieurs	πολλαπλή	PRO;PL	ADJ;NOM;FEM;SG
plusieurs	πολλαπλά	plusieurs	πολλαπλά	PRO;PL	ADV
faire	faire	faire	faire	V;NFIN	
mars	αρη	mars	αρος	N;MASC;SG	
mars	μαρς	mars	μαρς	N;MASC;SG	
mars	άρης	mars	άρης	N;MASC;SG	PROPN;NOM;MASC;SG
histoire	ιστορικό	histoire	ιστορικός	N;FEM;SG	ADJ;NOM;NEUT;SG
série	σειρές	série	σειρός	N;FEM;SG	N;NOM;FEM;PL
mai	μάη	mai	μάη	N;MASC;SG	ADP
mai	μέι	mai	μέι	N;MASC;SG	
mai	mai	mai	mai	N;MASC;SG	
mai	μάι	mai	μαι	N;MASC;SG	
tour	tour	tour	tour	N;MASC;SG	
mort	θάνατος	mourir	θάνατος	V;MASC;SG;PST;V.PTCP	N;NOM;MASC;SG
mort	θάνατο	mourir	θάνατος	V;MASC;SG;PST;V.PTCP	N;ACC;MASC;SG
mort	μορτ	mourir	μορτ	V;MASC;SG;PST;V.PTCP	N
mort	νεκροί	mourir	νεκρός	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL
mort	νεκρή	mourir	νεκρός	V;MASC;SG;PST;V.PTCP	N;NOM;FEM;SG
mort	νεκρός	mourir	νεκρός	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
mort	νεκρό	mourir	νεκρός	V;MASC;SG;PST;V.PTCP	N;ACC;MASC;SG
juin	τζουν	juin	τζω	N;MASC;SG	
juin	ιούνιο	juin	ιούνιος	N;MASC;SG	PROPN;ACC;MASC;SG
juin	τζουν	juin	τζω	N;MASC;SG	
juin	ιούνιος	juin	ιούνιος	N;MASC;SG	ADJ;NOM;MASC;SG
jpg	jpg	jpg	jpg	N;MASC;SG	
française	γάλλοι	français	γάλλος	ADJ;FEM;SG	PROPN;NOM;MASC;PL
française	γάλλος	français	γάλλος	ADJ;FEM;SG	N;NOM;MASC;SG
française	γαλλικά	français	γαλλικά	ADJ;FEM;SG	ADV
pierre	stone	pierre	stone	N;FEM;SG	
pierre	στόουν	pierre	στόω	N;FEM;SG	PROPN;NOM;NEUT;SG
pierre	πέτρος	pierre	πέτρος	N;FEM;SG	PROPN;NOM;MASC;SG
pierre	πέτρο	pierre	πέτρο	N;FEM;SG	PROPN;ACC;MASC;SG
pierre	peter	pierre	peter	N;FEM;SG	
pierre	πίτερ	pierre	πίτερ	N;FEM;SG	
pierre	πήτερ	pierre	πήτερ	N;FEM;SG	
pierre	πιέρ	pierre	πιέρ	N;FEM;SG	PROPN;NOM;MASC;SG
pierre	pierre	pierre	pierre	N;FEM;SG	
pierre	πιερ	pierre	πιερ	N;FEM;SG	PROPN;NOM;MASC;SG
janvier	ιανουαρίου	janvier	ιανουάριος	N;MASC;SG	PROPN;GEN;MASC;SG
fois	times	fois	times	N;FEM;SG	
fois	φορές	fois	φορά	N;FEM;SG	N;NOM;FEM;PL
fois	χρόνοι	fois	χρόνος	N;FEM;SG	N;NOM;MASC;PL
autre	λοιπά	autre	λοιπός	PRO;SG	ADV
autre	αλλα	autre	αλλα	PRO;SG	ADV
autre	άλλες	autre	άλλος	PRO;SG	PRO;NOM;FEM;PL;3
autre	άλλα	autre	άλλος	PRO;SG	PRO;NOM;NEUT;PL;3
septembre	σεπτέμβρη	septembre	σεπτέμβρομαι	N;MASC;SG	ADV
juillet	ιούλιος	juillet	ιούλιος	N;MASC;SG	PROPN;NOM;MASC;SG
état	status	état	status	N;MASC;SG	
état	state	état	state	N;MASC;SG	
général	γενική	général	γενικός	N;MASC;SG	ADJ;NOM;FEM;SG
général	γενικές	général	γενικός	N;MASC;SG	ADJ;NOM;FEM;PL
général	γενικά	général	γενικά	N;MASC;SG	ADV
général	γενικό	général	γενικός	N;MASC;SG	ADJ;NOM;NEUT;SG
avril	απρ	avril	απρ	N;MASC;SG	
avril	avril	avril	avril	N;MASC;SG	
insee	insee	insee	insee	N;MASC;SG	
tous	ολα	tout	όλος	PRO;MASC;PL	ADV
tous	όλοι	tout	όλος	PRO;MASC;PL	ADJ;NOM;MASC;PL
tous	όλες	tout	όλος	PRO;MASC;PL	ADJ;NOM;FEM;PL
tous	όλα	tout	όλος	PRO;MASC;PL	ADJ;NOM;NEUT;PL
politique	πολιτική	politique	πολιτική	ADJ;MASC;SG	N;NOM;FEM;SG
politique	πολιτικη	politique	πολιτικη	ADJ;MASC;SG	DET;NOM;DEF;FEM;SG
politique	πολιτικά	politique	πολιτικός	ADJ;MASC;SG	ADV
politique	πολιτική	politique	πολιτική	ADJ;MASC;SG	N;NOM;FEM;SG
todo	todo	todo	todo	PROPN	
avait	είχε	avoir	έχω	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
prix	τιμές	prix	τιμή	N;MASC;SG	N;NOM;FEM;PL
nouvelle	νεα	nouveau	νέος	ADJ;FEM;SG	N;NOM;FEM;SG
nouvelle	νέα	nouveau	νέος	ADJ;FEM;SG	ADJ;NOM;NEUT;PL
février	φεβ	février	φεβ	N;MASC;SG	
grande	μεγάλα	grand	μεγάλος	ADJ;FEM;SG	ADJ;NOM;NEUT;PL
grande	μεγάλα	grand	μεγάλος	ADJ;FEM;SG	ADJ;NOM;NEUT;PL
grande	υπέροχα	grand	υπέροχος	ADJ;FEM;SG	ADV
grande	γκράντε	grand	γκράντε	ADJ;FEM;SG	
peu	λίγοι	peu	λίγος	ADV	ADJ;NOM;MASC;PL
peu	ελάχιστοι	peu	ελάχιστος	ADV	ADJ;NOM;CMPR;MASC;PL
peu	λίγες	peu	λίγος	ADV	ADJ;NOM;FEM;PL
peu	μικρή	peu	μικρός	ADV	ADJ;NOM;FEM;SG
peu	little	peu	little	ADV	
peu	μικρό	peu	μικρός	ADV	ADJ;NOM;NEUT;SG
américain	αμερικάνικα	américain	αμερικάνικος	ADJ;MASC;SG	ADV
américain	αμερικανοί	américain	Αμερικανός	ADJ;MASC;SG	PROPN;NOM;MASC;PL
soit	είτε	soit	είτε	CONJ	CONJ
début	ξεκινήστε	début	ξεκινώ	N;MASC;SG	V;PFV;IND;PL;2;FIN;ACT
début	ξεκίνα	début	ξεκίνα	N;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
ligne	line	ligne	line	N;FEM;SG	
nationale	nationale	national	nationale	ADJ;FEM;SG	
encore	encore	encore	encore	ADV	
vie	life	vie	life	N;FEM;SG	
unis	united	unir	united	V;MASC;PL;PST;V.PTCP	
unis	ενωμένη	unir	ενώνω	V;MASC;PL;PST;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
unis	ηνωμένο	unir	ηνωμένος	V;MASC;PL;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
lien	lin	lien	lin	N;MASC;SG	
football	φούτμπολ	football	φούτμπολ	N;MASC;SG	
football	football	football	football	N;MASC;SG	
jeux	games	jeu	games	N;MASC;PL	
moins	λιγότερες	moins	λίγος	ADV	ADJ;NOM;CMPR;FEM;PL
ouest	δυτικά	ouest	δυτικά	N;MASC;SG	ADV
ouest	δυτική	ouest	δυτικός	N;MASC;SG	ADJ;NOM;FEM;SG
ouest	γουέστ	ouest	γουέστ	N;MASC;SG	
ouest	δυτικά	ouest	δυτικά	N;MASC;SG	ADV
ouest	γουέστερν	ouest	γουέστερν	N;MASC;SG	
ouest	δυτική	ouest	δυτικός	N;MASC;SG	ADJ;NOM;FEM;SG
ouest	western	ouest	western	N;MASC;SG	
page	page	page	page	N;FEM;SG	
nouveau	νεα	nouveau	νέος	ADJ;MASC;SG	N;NOM;FEM;SG
nouveau	νέα	nouveau	νέος	ADJ;MASC;SG	ADJ;NOM;NEUT;PL
vous	εσύ	vous	εσύ	PRO;PL;2	V;IPFV;IND;SG;1;PRS;FIN;ACT
vous	εσυ	vous	εσυ	PRO;PL;2	V;IPFV;IND;SG;1;PRS;FIN;ACT
centre	center	centre	center	N;MASC;SG	
cours	cours	cours	cours	N;MASC;SG	
cours	μαθήματα	cours	μάθημα	N;MASC;SG	N;NOM;NEUT;PL
partir	φύγε	partir	φύγω	V;NFIN	PRO;NOM;MASC;SG;1
université	univers	université	univers	N;FEM;SG	
université	college	université	college	N;FEM;SG	
louis	λούις	loui	λούις	N;MASC;SG	PROPN;NOM;MASC;SG
louis	λουί	loui	λουί	N;MASC;SG	PROPN;NOM;MASC;SG
louis	louis	loui	louis	N;MASC;SG	
coupe	κόψτε	coupe	κόψτε	N;FEM;SG	V;PFV;IND;PL;2;PRS;FIN;ACT
coupe	κομμένα	coupe	κομμένος	N;FEM;SG	N;NOM;NEUT;PL
coupe	κόψω	coupe	κόψω	N;FEM;SG	V;PFV;IND;SG;1;FIN;ACT
coupe	κουπέ	coupe	κουπέ	N;FEM;SG	
connexes	σχετική	connexe	σχετικός	ADJ;MASC;PL	ADJ;NOM;FEM;SG
connexes	σχετικό	connexe	σχετικός	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
homme	αρσενικό	homme	αρσενικός	N;MASC;SG	ADJ;NOM;NEUT;SG
homme	αρσενικά	homme	αρσενικά	N;MASC;SG	ADJ;NOM;NEUT;PL
homme	homme	homme	homme	N;MASC;SG	
homme	ανδρες	homme	άντρας	N;MASC;SG	N;NOM;MASC;PL
homme	άντρες	homme	άντρας	N;MASC;SG	N;NOM;MASC;PL
homme	άνδρες	homme	άντρας	N;MASC;SG	N;NOM;MASC;PL
homme	φίλε	homme	φίλομαι	N;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
homme	φιλε	homme	φίλομαι	N;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
quatre	four	quatre	four	NUM	
quatre	τεσσερα	quatre	τέσσερις	NUM	N;NOM;NEUT;PL
cas	cas	cas	cas	N;MASC;SG	
cas	θήκες	cas	θήκη	N;MASC;SG	N;NOM;FEM;PL
cas	περιπτώσεις	cas	περίπτωση	N;MASC;SG	N;NOM;FEM;PL
cas	υποθέσεις	cas	υπόθεση	N;MASC;SG	N;NOM;FEM;PL
jeu	game	jeu	game	N;MASC;SG	
jeu	παιχνιδι	jeu	παιχνιδι	N;MASC;SG	
genre	όπως	genre	όπως	N;MASC;SG	ADV
genre	οπως	genre	οπως	N;MASC;SG	ADV
genre	like	genre	like	N;MASC;SG	
genre	σαν	genre	σαν	N;MASC;SG	ADV
musique	μουσική	musique	μουσικός	N;FEM;SG	ADJ;NOM;FEM;SG
fils	σύρματα	fils	σύρμα	N;MASC;SG	N;NOM;NEUT;PL
fils	γιε	fils	για	N;MASC;SG	
fils	γιοι	fils	γιος	N;MASC;SG	N;NOM;MASC;PL
fils	γιοί	fils	γιοί	N;MASC;SG	N;NOM;MASC;PL
fils	γιους	fils	γιος	N;MASC;SG	N;NOM;MASC;PL
fils	νήματα	fils	νήμα	N;MASC;SG	N;NOM;NEUT;PL
roi	κινγκ	roi	κινγκ	N;MASC;SG	
roi	king	roi	king	N;MASC;SG	
parti	πάρτυ	partir	πάρτυ	V;MASC;SG;PST;V.PTCP	N;NOM;NEUT;SG
parti	κόμμα	partir	κόμμα	V;MASC;SG;PST;V.PTCP	N;NOM;NEUT;SG
parti	πάρτι	partir	πάρτι	V;MASC;SG;PST;V.PTCP	N;NOM;NEUT;SG
parti	party	partir	party	V;MASC;SG;PST;V.PTCP	
europe	ευρώπη	europe	ευρώπη	N;FEM;SG	PROPN;ACC;FEM;SG
mise	mise	mettre	mise	V;FEM;SG;PST;V.PTCP	
ancien	παλαιά	ancien	παλιός	ADJ;MASC;SG	ADV
ancien	παλιά	ancien	παλιός	ADJ;MASC;SG	ADV
ancien	γέρος	ancien	γέρος	ADJ;MASC;SG	N;NOM;MASC;SG
ancien	γέροντας	ancien	γέρω	ADJ;MASC;SG	V;IPFV;V.CVB;ACT
ancien	γέροντα	ancien	γέρω	ADJ;MASC;SG	N;VOC;MASC;SG
ancien	πρώην	ancien	πρώην	ADJ;MASC;SG	ADV
ancien	πρωην	ancien	πρωην	ADJ;MASC;SG	N;NOM;MASC;SG
château	κάστρο	château	κάστρο	N;MASC;SG	PROPN;NOM;NEUT;SG
château	castle	château	castle	N;MASC;SG	
école	σχολεία	école	σχολείο	N;FEM;SG	N;NOM;NEUT;PL
école	σχολές	école	σχολή	N;FEM;SG	N;NOM;FEM;PL
carrière	καριέρες	carrière	καριέρα	N;FEM;SG	N;VOC;FEM;PL
part	share	part	share	N;FEM;SG	
deuxième	δεύτερο	deuxième	δεύτερος	ADJ;MASC;SG	NUM;NOM;NEUT;SG
deuxième	δεύτερος	deuxième	δεύτερος	ADJ;MASC;SG	NUM;NOM;MASC;SG
deuxième	δεύτερη	deuxième	δεύτερος	ADJ;MASC;SG	NUM;NOM;FEM;SG
bar	μπαρ	bar	μπαρ	N;MASC;SG	N;NOM;NEUT;PL
bar	bar	bar	bar	N;MASC;SG	
charles	τσαρλς	charle	τσαρλς	N;MASC;SG	PROPN;NOM;MASC;SG
charles	charles	charle	charles	N;MASC;SG	
charles	σαρλ	charle	σαρλ	N;MASC;SG	
points	τελείες	point	τελεία	N;MASC;PL	ADJ;NOM;FEM;PL
ayant	έχοντας	avoir	έχω	V;PRS;V.PTCP	V;IPFV;V.CVB;ACT
paul	παύλος	paul	παύλος	N;MASC;SG	PROPN;NOM;MASC;SG
paul	paul	paul	paul	N;MASC;SG	
paul	πωλ	paul	πωλ	N;MASC;SG	PROPN;NOM;MASC;SG
rue	στριτ	rue	στριτ	N;FEM;SG	
rue	rue	rue	rue	N;FEM;SG	
chef	chef	chef	chef	N;MASC;SG	
chef	σεφ	chef	σεφ	N;MASC;SG	
père	μπαμπά	père	μπαμπά	N;MASC;SG	
durant	ντουράντ	durant	ντουράντ	ADP	
art	art	art	art	N;MASC;SG	
art	αρτ	art	αρτ	N;MASC;SG	
dernier	τελευταίοι	dernier	τελευταίος	ADJ;MASC;SG	ADJ;NOM;MASC;PL
dernier	τελευταια	dernier	τελευταίος	ADJ;MASC;SG	V;IPFV;IND;PL;3;PRS;FIN;PASS
dernier	τελευταία	dernier	τελευταία	ADJ;MASC;SG	ADV
type	type	type	type	N;MASC;SG	
point	πόντος	point	πόντος	N;MASC;SG	PROPN;NOM;MASC;SG
compte	account	compte	account	N;MASC;SG	
armée	στρατιωτικός	armée	στρατιωτικός	N;FEM;SG	ADJ;NOM;MASC;SG
armée	στρατιωτική	armée	στρατιωτικός	N;FEM;SG	ADJ;NOM;FEM;SG
armée	στρατιωτικοί	armée	στρατιωτικός	N;FEM;SG	ADJ;NOM;MASC;PL
armée	στρατιωτικά	armée	στρατιωτικά	N;FEM;SG	ADV
eau	ύδωρ	eau	ύδωρ	N;FEM;SG	PROPN;NOM;MASC;SG
marie	μαρί	marier	μαρί	N;FEM;SG	
marie	marie	marier	marie	N;FEM;SG	
marie	μαρία	marier	μαρία	N;FEM;SG	PROPN;NOM;FEM;SG
marie	μαρια	marier	μαρια	N;FEM;SG	PROPN;NOM;FEM;SG
discuter	τσατ	discuter	τσατ	V;NFIN	N;NOM;NEUT;SG
discuter	τσατ	discuter	τσατ	V;NFIN	N;NOM;NEUT;SG
discuter	συνομιλία	discuter	συνομιλία	V;NFIN	N;ACC;FEM;SG
