der	the	der	the	DET;NOM;DEF;MASC;SG	PROPN
seine	nya	sein	nya	DET;NOM;FEM;SG	PRO
seine	menta	sein	menta	DET;NOM;FEM;SG	
seine	its	sein	its	DET;NOM;FEM;SG	PROPN
seine	seine	sein	seine	DET;NOM;FEM;SG	PROPN
seit	since	seit	since	ADP	PROPN
dieser	ini	dies	ini	PRO;NOM;MASC;SG	DET
jahr	year	Jahr	year	N;NOM;NEUT;SG	PROPN
wenn	kapan	wenn	kapan	CONJ	PRO
wenn	saat	wenn	saat	CONJ	N;SG
dann	lalu	dann	lalu	ADV	CONJ;SG
dann	maka	dann	maka	ADV	CONJ
zwei	two	zwei	two	NUM	PROPN
seiner	his	sein	his	DET;NOM;MASC;SG	PROPN
seiner	nya	sein	nya	DET;NOM;MASC;SG	PRO
seiner	menta	sein	menta	DET;NOM;MASC;SG	
seiner	its	sein	its	DET;NOM;MASC;SG	PROPN
jahre	thn	jahren	thn	ADV	PROPN
jahre	tahun	jahren	tahun	ADV	N;SG
jahre	year	jahren	year	ADV	PROPN
jahre	tahun	jahren	tahun	ADV	N;SG
mai	may	mai	may	PROPN;NOM;MASC;SG	PROPN
mai	mei	mai	mei	PROPN;NOM;MASC;SG	PROPN;SG
mai	mai	mai	mai	PROPN;NOM;MASC;SG	PROPN
isbn	isbn	isbn	isbn	;SG	PROPN
was	what	was	what	PRO;NOM;NEUT;SG	PROPN
zwischen	perantara	zwischen	perantara	ADP	N;SG
zwischen	menengah	zwischen	menengah	ADP	N;SG
team	team	team	team	N;NOM;NEUT;SG	PROPN
mehr	selengkapnya	mehr	selengkap	ADV	N;SG
mehr	lainnya	mehr	lainnya	ADV	N
gegen	menentang	gegen	mententang	ADP	V;SG;ACT
gegen	menentang	gegen	mententang	ADP	V;SG;ACT
gegen	against	gegen	against	ADP	PROPN
waren	barangnya	sein	barang	V;IND;PL;3;PST;FIN	N;SG
waren	barang	sein	barang	V;IND;PL;3;PST;FIN	N;SG
waren	dagangannya	sein	dagangan	V;IND;PL;3;PST;FIN	N;SG
waren	komoditi	sein	komoditi	V;IND;PL;3;PST;FIN	N;SG
waren	komoditas	sein	komoditas	V;IND;PL;3;PST;FIN	N;SG
waren	were	sein	were	V;IND;PL;3;PST;FIN	PROPN
waren	dagangan	sein	dagangan	V;IND;PL;3;PST;FIN	N;SG
waren	merchandise	sein	merchandise	V;IND;PL;3;PST;FIN	PROPN
waren	barang	sein	barang	V;IND;PL;3;PST;FIN	N;SG
zeit	zeit	zeit	zeit	ADJ	PROPN
zeit	periode	zeit	periode	ADJ	N;SG
zeit	kali	zeit	kali	ADJ	N;SG
zeit	waktu	zeit	waktu	ADJ	N;SG
zeit	waktunya	zeit	waktu	ADJ	N;SG
zeit	time	zeit	time	ADJ	PROPN
stadt	kotamadya	staden	kotamadya		N;SG
stadt	town	staden	town		PROPN
stadt	kota	staden	kota		N;SG
stadt	city	staden	city		PROPN
stadt	kota	staden	kota		N;SG
stadt	kota	staden	kota		N;SG
wieder	kembali	wieder	kembali	ADV	V;SG;ACT
wieder	balik	wieder	balik	ADV	N;SG;ACT
wieder	mundur	wieder	mundur	ADV	V;SG;ACT
wieder	back	wieder	back	ADV	PROPN
wieder	belakang	wieder	belakang	ADV	N;SG
haben	telah	haben	telah	V;IND;PL;3;FIN	ADV
haben	memiliki	haben	menmiliki	V;IND;PL;3;FIN	V;SG;ACT
haben	miliki	haben	miliki	V;IND;PL;3;FIN	V;SG;ACT
gibt	pengembalian	geben	penkembalian	V;IND;SG;3;PRS;FIN	N;SG
deutscher	german	deutsch	german	ADJ	PROPN
deutscher	jerman	deutsch	jerman	ADJ	PROPN;SG
deutscher	deutscher	deutsch	deutscher	ADJ	PROPN
deutscher	jerman	deutsch	jerman	ADJ	PROPN;SG
jahren	thn	jahren	thn	ADJ	PROPN
jahren	tahun	jahren	tahun	ADJ	N;SG
mal	once	mal	once	ADV	PROPN
mal	kali	mal	kali	ADV	N;SG
mal	times	mal	times	ADV	PROPN
mal	mal	mal	mal	ADV	N
ersten	pertama	erst	pertama	ADJ;NOM;PL	NUM
ersten	duluan	erst	duluan	ADJ;NOM;PL	
ersten	dulu	erst	dulu	ADJ;NOM;PL	N
ersten	first	erst	first	ADJ;NOM;PL	PROPN
jedoch	namun	jedoch	namun	ADV	CONJ
jedoch	namun	jedoch	namun	ADV	CONJ
jedoch	tapi	jedoch	tapi	ADV	CONJ
jedoch	tetapi	jedoch	tetapi	ADV	CONJ
dort	ada	dort	ada	ADV	V;SG
seed	biji	seed	biji		N;SG
seed	benih	seed	benih		N;SG
seed	seed	seed	seed		PROPN
seed	bibit	seed	bibit		N;SG
drei	drei	drei	drei	NUM	PROPN
drei	three	drei	three	NUM	PROPN
drei	bertiga	drei	bertiga	NUM	
etwa	tentang	etwa	tentang	ADV	ADP;SG;ACT
etwa	ttg	etwa	ttg	ADV	
etwa	perihal	etwa	perihal	ADV	N
etwa	sekitar	etwa	sekitar	ADV	ADP
deutschen	german	deutsch	german	ADJ	PROPN
deutschen	jerman	deutsch	jerman	ADJ	PROPN;SG
deutschen	jerman	deutsch	jerman	ADJ	PROPN;SG
teil	part	teil	part	ADV	PROPN
teil	bagian	teil	bagian	ADV	N;SG
berlin	berlin	berlin	berlin	PROPN;NOM;NEUT;SG	PROPN
heute	today	heute	today	ADV	PROPN
habe	got	haben	got	V;SBJV;SG;3;PRS;FIN	PROPN
habe	punya	haben	punya	V;SBJV;SG;3;PRS;FIN	V;SG;ACT
habe	telah	haben	telah	V;SBJV;SG;3;PRS;FIN	ADV
habe	memiliki	haben	menmiliki	V;SBJV;SG;3;PRS;FIN	V;SG;ACT
habe	miliki	haben	miliki	V;SBJV;SG;3;PRS;FIN	V;SG;ACT
alle	all	alle	all	PRO;NOM;INDF;PL	PROPN
alle	aii	alle	aii	PRO;NOM;INDF;PL	PROPN
alle	semua	alle	semua	PRO;NOM;INDF;PL	DET
alle	semuanya	alle	semua	PRO;NOM;INDF;PL	PRO
während	selama	während	selama	CONJ	ADP
während	sambil	während	sambil	CONJ	
während	selagi	während	selagi	CONJ	
ihre	menta	ihr	menta	DET;NOM;FEM;SG	
ihre	its	ihr	its	DET;NOM;FEM;SG	PROPN
ihre	your	ihr	your	DET;NOM;FEM;SG	PROPN
ihre	nya	ihr	nya	DET;NOM;FEM;SG	PRO
ihre	her	ihr	her	DET;NOM;FEM;SG	PROPN
ihre	milikmu	ihr	milik	DET;NOM;FEM;SG	N;SG
ihre	yours	ihr	yours	DET;NOM;FEM;SG	PROPN
anderen	lain	ander	lain	ADJ;NOM;PL	ADJ;SG
anderen	lainnya	ander	lainnya	ADJ;NOM;PL	N
anderen	lain	ander	lain	ADJ;NOM;PL	ADJ;SG
anderen	lainnya	ander	lainnya	ADJ;NOM;PL	N
später	kemudian	spät	kemudian	ADJ	ADV
später	nanti	spät	nanti	ADJ	
können	dapat	können	dapat	V;IND;PL;3;PRS;FIN	ADV;SG;ACT
können	can	können	can	V;IND;PL;3;PRS;FIN	PROPN
können	bisa	können	bisa	V;IND;PL;3;PRS;FIN	ADV
jan	jan	jan	jan	PROPN;NOM;MASC;SG	
mir	mir	ich	mir	PRO;DAT;SG;1	PROPN
seinen	his	sein	his	DET;ACC;MASC;SG	PROPN
seinen	nya	sein	nya	DET;ACC;MASC;SG	PRO
ihr	you	ihr	you	PRO;NOM;MASC;SG	PROPN
ihr	your	ihr	your	PRO;NOM;MASC;SG	PROPN
ihr	her	ihr	her	PRO;NOM;MASC;SG	PROPN
gemeinde	parish	gemeinde	parish	N;NOM;FEM;SG	PROPN
gemeinde	community	gemeinde	community	N;NOM;FEM;SG	PROPN
seinem	his	sein	his	DET;DAT;MASC;SG	PROPN
seinem	nya	sein	nya	DET;DAT;MASC;SG	PRO
erste	erste	erst	erste	ADJ;NOM;FEM;PL	PROPN
erste	pertama	erst	pertama	ADJ;NOM;FEM;PL	NUM
erste	duluan	erst	duluan	ADJ;NOM;FEM;PL	
erste	dulu	erst	dulu	ADJ;NOM;FEM;PL	N
erste	first	erst	first	ADJ;NOM;FEM;PL	PROPN
liegt	kebohongan	liegen	kebohongan	V;IND;SG;3;PRS;FIN	N;SG
liegt	lies	liegen	lies	V;IND;SG;3;PRS;FIN	PROPN
liegt	dusta	liegen	dusta	V;IND;SG;3;PRS;FIN	N
liegt	bohong	liegen	bohong	V;IND;SG;3;PRS;FIN	
august	august	augusten	august	PROPN;NOM;MASC;SG	
august	agustus	augusten	agustus	PROPN;NOM;MASC;SG	N;SG
august	agu	augusten	agu	PROPN;NOM;MASC;SG	PROPN
august	aug	augusten	aug	PROPN;NOM;MASC;SG	
august	agustus	augusten	agustus	PROPN;NOM;MASC;SG	N;SG
august	augustus	augusten	augustus	PROPN;NOM;MASC;SG	PROPN
sollte	harus	sollen	harus	V;IND;SG;3;PST;FIN	ADV;SG;ACT
sollte	haruskah	sollen	harus	V;IND;SG;3;PST;FIN	ADV
deutschland	jerman	deutschland	jerman	PROPN;NOM	PROPN;SG
ihm	him	er	him	PRO;DAT;MASC;SG;3	PROPN
ende	berakhir	ende	berakhir	N;ACC;NEUT;SG	V;SG;ACT
ende	selesaikan	ende	selesaikan	N;ACC;NEUT;SG	V;SG;ACT
ende	finish	ende	finish	N;ACC;NEUT;SG	PROPN
ende	akhiri	ende	akhiri	N;ACC;NEUT;SG	V;SG;ACT
ende	end	ende	end	N;ACC;NEUT;SG	PROPN
ende	ending	ende	ending	N;ACC;NEUT;SG	PROPN
ende	berakhiran	ende	berakhiran	N;ACC;NEUT;SG	V;SG;ACT
ende	mengakhiri	ende	menakhiri	N;ACC;NEUT;SG	V;SG;ACT
ende	berakhir	ende	berakhir	N;ACC;NEUT;SG	V;SG;ACT
märz	march	märz	march	PROPN;NOM;MASC;SG	PROPN
märz	maret	märz	maret	PROPN;NOM;MASC;SG	N;SG
märz	märz	märz	märz	PROPN;NOM;MASC;SG	PROPN
aug	agu	augen	agu		PROPN
aug	agustus	augen	agustus		N;SG
deutsche	german	deutsch	german	ADJ;NOM;FEM;PL	PROPN
deutsche	jerman	deutsch	jerman	ADJ;NOM;FEM;PL	PROPN;SG
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	PROPN
deutsche	jerman	deutsch	jerman	ADJ;NOM;FEM;PL	PROPN;SG
band	band	binden	band		N
band	pita	binden	pita		N;SG
band	rekaman	binden	rekaman		N;SG
band	tape	binden	tape		PROPN
band	pita	binden	pita		N;SG
band	ribbon	binden	ribbon		N
januar	januari	januar	januari	PROPN;NOM;MASC;SG	N;SG
januar	januar	januar	januar	PROPN;NOM;MASC;SG	PROPN
doch	yet	doch	yet	ADV	PROPN
doch	tapi	doch	tapi	ADV	CONJ
doch	tetapi	doch	tetapi	ADV	CONJ
oktober	oktober	oktober	oktober	PROPN;NOM;SG	PROPN;SG
oktober	okt	oktober	okt	PROPN;NOM;SG	
oktober	oct	oktober	oct	PROPN;NOM;SG	
immer	always	immer	always	ADV	PROPN
ihn	him	er	him	PRO;ACC;MASC;SG;3	PROPN
wikipedia	wikipedia	wikipedia	wikipedia		N
kirche	gereja	kirche	gereja		N;SG
kirche	gereja	kirche	gereja		N;SG
kirche	church	kirche	church		PROPN
juni	jun	juni	jun	PROPN;NOM;MASC;SG	
juni	juni	juni	juni	PROPN;NOM;MASC;SG	N;SG
april	apr	april	apr	PROPN;NOM;MASC;SG	PROPN
april	april	april	april	PROPN;NOM;MASC;SG	PROPN;SG
september	september	september	september	PROPN;SG	N;SG
september	sept	september	sept	PROPN;SG	PROPN
september	sep	september	sep	PROPN;SG	
selbst	even	selbst	even	ADV	PROPN
selbst	genap	selbst	genap	ADV	
selbst	bahkan	selbst	bahkan	ADV	CONJ
selbst	diri	selbst	diri	ADV	N;SG
selbst	self	selbst	self	ADV	PROPN
selbst	myself	selbst	myself	ADV	PROPN
selbst	diri	selbst	diri	ADV	N;SG
selbst	diri	selbst	diri	ADV	N;SG
selbst	sendiri	selbst	sendiri	ADV	ADJ;SG
selbst	yourself	selbst	yourself	ADV	PROPN
weitere	selengkapnya	weit	selengkap	ADJ;NOM;FEM;PL	N;SG
weitere	lebih	weit	lebih	ADJ;NOM;FEM;PL	ADV
weitere	lainnya	weit	lainnya	ADJ;NOM;FEM;PL	N
weitere	lagi	weit	lagi	ADJ;NOM;FEM;PL	ADV
juli	juli	juli	juli	PROPN;NOM;MASC;SG	N;SG
juli	juli	juli	juli	PROPN;NOM;MASC;SG	N;SG
andere	lain	ander	lain	ADJ;NOM;FEM;PL	ADJ;SG
andere	lainnya	ander	lainnya	ADJ;NOM;FEM;PL	N
andere	lain	ander	lain	ADJ;NOM;FEM;PL	ADJ;SG
andere	lainnya	ander	lainnya	ADJ;NOM;FEM;PL	N
kein	not	kein	not	PRO;NOM;INDF;MASC;SG;NEG	PROPN
kein	bukan	kein	bukan	PRO;NOM;INDF;MASC;SG;NEG	PART;NEG
kein	tidak	kein	tidak	PRO;NOM;INDF;MASC;SG;NEG	PART;NEG
geschichte	cerita	geschicht	cerita		N;SG
geschichte	story	geschicht	story		PROPN
geschichte	berita	geschicht	berita		N;SG
geschichte	kisah	geschicht	kisah		N;SG
geschichte	history	geschicht	history		PROPN
geschichte	riwayat	geschicht	riwayat		N
geschichte	sejarah	geschicht	sejarah		N;SG
apr	apr	apr	apr		PROPN
jpg	jpg	jpg	jpg		N
dezember	desember	dezember	desember	PROPN;NOM;MASC;SG	N;SG
dezember	december	dezember	december	PROPN;NOM;MASC;SG	PROPN
dezember	desember	dezember	desember	PROPN;NOM;MASC;SG	N;SG
dezember	dec	dezember	dec	PROPN;NOM;MASC;SG	
dez	desember	dez	desember		N;SG
universität	universitas	universität	universitas	ADJ	PROPN;SG
universität	university	universität	university	ADJ	PROPN
platz	plaza	platz	plaza	ADV	PROPN
platz	square	platz	square	ADV	PROPN
platz	persegi	platz	persegi	ADV	N;SG
platz	kuadrat	platz	kuadrat	ADV	N;SG
platz	tempatkan	platz	tempatkan	ADV	V;SG;ACT
platz	place	platz	place	ADV	PROPN
platz	tempat	platz	tempat	ADV	N;SG
platz	platz	platz	platz	ADV	N
platz	ruang	platz	ruang	ADV	N;SG
platz	spasi	platz	spasi	ADV	N
platz	space	platz	space	ADV	PROPN
platz	angkasa	platz	angkasa	ADV	N;SG
ihrer	your	ihr	your	DET;NOM;MASC;SG	PROPN
ihrer	milikmu	ihr	milik	DET;NOM;MASC;SG	N;SG
ihrer	yours	ihr	yours	DET;NOM;MASC;SG	PROPN
steht	stand	stehen	stand	V;IND;SG;3;PRS;FIN	PROPN
november	november	november	november	PROPN	PROPN;SG
november	nopember	november	nopember	PROPN	N
november	nov	november	nov	PROPN	
kam	came	kommen	came	V;IND;SG;3;PST;FIN	PROPN
kam	kam	kommen	kam	V;IND;SG;3;PST;FIN	PROPN
wir	wir	wir	wir	PRO;NOM;PL;1	PROPN
jahrhundert	jahrhundert	jahrhundert	jahrhundert	ADJ	PROPN
jahrhundert	abad	jahrhundert	abad	ADJ	N;SG
jahrhundert	century	jahrhundert	century	ADJ	PROPN
beiden	berdua	beide	berdua	PRO;NOM;INDF;PL	
beiden	keduanya	beide	kedua	PRO;NOM;INDF;PL	N
beiden	dua	beide	dua	PRO;NOM;INDF;PL	NUM
beiden	two	beide	two	PRO;NOM;INDF;PL	PROPN
vier	four	vier	four	NUM	PROPN
vier	vier	vier	vier	NUM	PROPN
zweiten	detik	zweit	detik	ADJ;NOM;MASC;PL	N;SG
zweiten	kedua	zweit	kedua	ADJ;NOM;MASC;PL	NUM
zweiten	second	zweit	second	ADJ;NOM;MASC;PL	PROPN
seite	side	seit	side	N	PROPN
seite	page	seit	page	N	PROPN
seite	site	seit	site	N	PROPN
februar	februari	februaer	februari	PROPN;NOM;SG	N;SG
februar	pebruari	februaer	pebruari	PROPN;NOM;SG	N;SG
februar	feb	februaer	feb	PROPN;NOM;SG	
soll	shall	sollen	shall	V;IND;SG;3;PRS;FIN	PROPN
soll	harus	sollen	harus	V;IND;SG;3;PRS;FIN	ADV;SG;ACT
soll	haruskah	sollen	harus	V;IND;SG;3;PRS;FIN	ADV
gab	gab	geben	gab	V;IND;SG;3;PST;FIN	PROPN
etwas	something	etwas	something	ADV	PROPN
etwas	sesuatu	etwas	sesuatu	ADV	N;SG
etwas	lumayan	etwas	lumayan	ADV	N
mich	myself	ich	myself	PRO;ACC;SG;1	PROPN
mich	diri	ich	diri	PRO;ACC;SG;1	N;SG
mich	mich	ich	mich	PRO;ACC;SG;1	PROPN
zusammen	bareng	zusammen	bareng	ADV	PROPN;SG
zusammen	together	zusammen	together	ADV	PROPN
zusammen	bersama	zusammen	bersama	ADV	ADP;SG;ACT
allerdings	namun	allerdings	namun	ADV	CONJ
allerdings	namun	allerdings	namun	ADV	CONJ
allerdings	tapi	allerdings	tapi	ADV	CONJ
allerdings	tetapi	allerdings	tetapi	ADV	CONJ
allerdings	though	allerdings	though	ADV	PROPN
allerdings	meskipun	allerdings	meskipun	ADV	CONJ
allerdings	walaupun	allerdings	walaupun	ADV	CONJ
allerdings	meski	allerdings	meski	ADV	CONJ
allerdings	walau	allerdings	walau	ADV	
film	movie	falmen	movie		PROPN
film	bioskop	falmen	bioskop		N
film	film	falmen	film		N;SG
film	film	falmen	film		N;SG
wäre	akan	sein	akan	V;SBJV;SG;3;PST;FIN	ADV
neue	new	neu	new	ADJ;NOM;FEM;PL	PROPN
neue	baru	neu	baru	ADJ;NOM;FEM;PL	ADJ;SG
neue	neue	neu	neue	ADJ;NOM;FEM;PL	PROPN
nun	now	nun	now	ADV	PROPN
nun	kini	nun	kini	ADV	N
nun	nah	nun	nah	ADV	
nun	yah	nun	yah	ADV	PART
leben	kehidupan	leben	kehidupan	V;NFIN	N;SG
leben	life	leben	life	V;NFIN	PROPN
leben	hidup	leben	hidup	V;NFIN	N;SG
leben	lifestyle	leben	lifestyle	V;NFIN	N
leben	live	leben	live	V;NFIN	PROPN
leben	langsung	leben	langsung	V;NFIN	ADV
leben	leben	leben	leben	V;NFIN	PROPN
namen	nama	name	nama		N;SG
namen	nama	name	nama		N;SG
namen	names	name	names		PROPN
namen	mamang	name	mamang		PROPN
weil	sepupu	weil	sepupu	CONJ	PROPN;SG
weil	cuz	weil	cuz	CONJ	PROPN
weil	weil	weil	weil	CONJ	PROPN
bitte	pls	bitte	pls		PROPN
bitte	masi	bitte	masi		PROPN
bitte	mudik	bitte	mudik		N;SG
bitte	plz	bitte	plz		PROPN
relevanz	relevansi	relevanz	relevansi	ADJ	N;SG
muss	harus	müssen	harus	V;IND;SG;3;PRS;FIN	ADV;SG;ACT
muss	mesti	müssen	mesti	V;IND;SG;3;PRS;FIN	
muss	keharusan	müssen	keharusan	V;IND;SG;3;PRS;FIN	N;SG
muss	must	müssen	must	V;IND;SG;3;PRS;FIN	PROPN
einige	some	einige	some	PRO;NOM;INDF;PL	PROPN
einige	beberapa	einige	beberapa	PRO;NOM;INDF;PL	DET
mitglied	anggota	mitglied	anggota	ADJ	N;SG
mitglied	member	mitglied	menber	ADJ	
wegen	karena	wegen	karena	ADP	CONJ
viele	banyak	viel	banyak	ADJ;NOM;INDF;PL	ADV
text	sms	Text	sms		PROPN
text	teks	Text	teks		N;SG
text	lirik	Text	lirik		N;SG;ACT
text	lyrics	Text	lyrics		PROPN
ebenfalls	too	ebenfalls	too	ADV	PROPN
münchen	münchen	münchen	münchen	PROPN;NOM;NEUT;SG	PROPN
münchen	munchen	münchen	munchen	PROPN;NOM;NEUT;SG	PROPN
münchen	munich	münchen	munich	PROPN;NOM;NEUT;SG	PROPN
löschen	clear	löschen	clear	V;NFIN	PROPN
löschen	bening	löschen	bening	V;NFIN	PROPN;SG
löschen	jelas	löschen	jelas	V;NFIN	ADJ;SG
löschen	hapus	löschen	hapus	V;NFIN	PROPN;SG
löschen	hapus	löschen	hapus	V;NFIN	PROPN;SG
löschen	penghapusan	löschen	penhapusan	V;NFIN	N;SG
löschen	hapus	löschen	hapus	V;NFIN	PROPN;SG
löschen	delete	löschen	delete	V;NFIN	PROPN
bekannt	dikenal	bekennen	dikenal	ADJ	V;SG;PASS
bekannt	diketahui	bekennen	diketahui	ADJ	V;SG;PASS
zurück	kembali	zurück	kembali	ADV	V;SG;ACT
zurück	return	zurück	return	ADV	PROPN
zurück	kembali	zurück	kembali	ADV	V;SG;ACT
zurück	balik	zurück	balik	ADV	N;SG;ACT
zurück	mundur	zurück	mundur	ADV	V;SG;ACT
zurück	back	zurück	back	ADV	PROPN
zurück	belakang	zurück	belakang	ADV	N;SG
ort	ort	ort	ort	N;NOM;MASC;SG	PROPN
ort	tempatkan	ort	tempatkan	N;NOM;MASC;SG	V;SG;ACT
ort	place	ort	place	N;NOM;MASC;SG	PROPN
allem	everything	alle	everything	PRO;DAT;INDF;NEUT;SG	PROPN
allem	semuanya	alle	semua	PRO;DAT;INDF;NEUT;SG	PRO
allem	segalanya	alle	segala	PRO;DAT;INDF;NEUT;SG	PRO
geht	goes	gehen	goes	V;IND;SG;3;PRS;FIN	PROPN
jetzt	now	jetzt	now	ADV	PROPN
jetzt	kini	jetzt	kini	ADV	N
wohl	dibilang	wohl	dibilang	ADV	V;SG;PASS
wohl	diperdebatkan	wohl	diperdebatkan	ADV	V;SG;PASS
