και	और	και	और	CONJ	
ένας	एक	ένας	एक	DET;NOM;INDF;MASC;SG	NUM
σύνδεσμοι	लिंक	σύνδεσμος	लिंक	N;ACC;MASC;SG	N;NOM;MASC;SG;3
σύνδεσμοι	लिंक्स	σύνδεσμος	लिंक्स	N;ACC;MASC;SG	N;NOM;FEM;SG;3
σύνδεσμοι	कड़ियाँ	σύνδεσμος	कड़ी	N;ACC;MASC;SG	N;NOM;FEM;PL;3
σύνδεσμοι	कड़ी	σύνδεσμος	कडा	N;ACC;MASC;SG	ADJ;NOM;FEM;SG
μόνο	सिर्फ	μόνο	सिर्फ	ADV	PART
μόνο	केवल	μόνο	केवल	ADV	PART
μόνο	तभी	μόνο	तभी	ADV	PRO;NOM
έγινε	सम्पन्न	γίνομαι	संपन्न	V;PFV;IND;SG;3;PST;FIN;PASS	
έγινε	किया	γίνομαι	कर	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;MASC;SG;V.PTCP;ACT
πολύ	बहुत	πολύ	बहुत	ADV	DET
κάθε	हर	κάθε	हर	PRO;ACC;FEM;SG;3	DET
κάθε	प्रत्येक	κάθε	प्रत्येक	PRO;ACC;FEM;SG;3	DET
κάθε	प्रत्येक	κάθε	प्रत्येक	PRO;ACC;FEM;SG;3	DET
αιώνα	शतक	αιώνας	शतक	N;ACC;MASC;SG	N;NOM;MASC;SG;3
αιώνα	शताब्दी	αιώνας	शताब्दी	N;ACC;MASC;SG	N;NOM;FEM;SG;3
αιώνα	सदी	αιώνας	सदी	N;ACC;MASC;SG	PROPN;NOM;FEM;SG;3
αθήνα	एथेंस	αθήνα	एथेंस	PROPN;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
περίοδο	अवधि	περίοδος	अवधि	N;ACC;FEM;SG	N;NOM;FEM;SG;3
περίοδο	काल	περίοδος	काल	N;ACC;FEM;SG	N;NOM;MASC;SG;3
τότε	तब	τότε	तब	ADV	PRO;NOM
ελλάδα	यूनानी	ελλάδα	यूनानी	PROPN;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
ελλάδα	ग्रीस	ελλάδα	ग्रीस	PROPN;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
ελλάδα	यूनान	ελλάδα	यूनान	PROPN;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
ελλάδα	यूनानियों	ελλάδα	यूनानी	PROPN;ACC;FEM;SG	N;ACC;MASC;PL;3
μέρος	पार्ट	μέρος	पार्ट	N;NOM;NEUT;SG	
μέρος	भाग	μέρος	भाग	N;NOM;NEUT;SG	
σήμερα	आज	σήμερα	आज	ADV	N;NOM;MASC;SG;3
μέσα	अन्दर	μέσα	अन्दर	ADV	
πως	केसे	πως	केसे	CONJ	N;NOM;MASC;SG;3
πως	कैसे	πως	कैसे	CONJ	PRO
πως	कैसा	πως	कैसा	CONJ	PRO
διάρκεια	अवधि	διάρκεια	अवधि	N;ACC;FEM;SG	N;NOM;FEM;SG;3
νέα	नया	νέος	नया	ADJ;NOM;NEUT;PL	ADJ;NOM;MASC;SG
νέα	नई	νέος	नया	ADJ;NOM;NEUT;PL	ADJ;NOM;FEM;SG
νέα	खबर	νέος	खबर	ADJ;NOM;NEUT;PL	N;NOM;FEM;SG;3
νέα	समाचार	νέος	समाचार	ADJ;NOM;NEUT;PL	N;NOM;MASC;SG;3
νέα	न्यूज़	νέος	न्यूज़	ADJ;NOM;NEUT;PL	
νέα	न्यूज	νέος	न्यूज	ADJ;NOM;NEUT;PL	N;NOM;FEM;SG;3
περίπου	परिचय	περίπου	परिचय	ADV	N;NOM;MASC;SG;3
περίπου	लगभग	περίπου	लगभग	ADV	PART
αυτά	ये	αυτός	यह	PRO;NOM;NEUT;PL;3	PRO;NOM;PL;3
χωρίς	बिना	χωρίς	बिना	ADP	PART
χωρίς	बगैर	χωρίς	बगैर	ADP	PART
εθνική	राष्टीय	εθνικός	राष्टीय	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
εθνική	राष्ट्रीय	εθνικός	राष्ट्रीय	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
εθνική	नेशनल	εθνικός	नेशनल	ADJ;NOM;FEM;SG	PROPN;NOM
συζήτηση	वार्तालाप	συζήτηση	वार्तालाप	N;ACC;FEM;SG	N;NOM;FEM;SG;3
συζήτηση	परिचर्चा	συζήτηση	परिचर्चा	N;ACC;FEM;SG	N;NOM;FEM;SG;3
συζήτηση	चर्चा	συζήτηση	चर्चा	N;ACC;FEM;SG	N;NOM;FEM;SG;3
συζήτηση	बहस	συζήτηση	बहस	N;ACC;FEM;SG	N;NOM;FEM;SG;3
πρέπει	जरूर	πρέπει	जरूर	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
φορά	वक़्त	φορά	वक़्त	N;ACC;FEM;SG	N;NOM;MASC;SG;3
φορά	वक्त	φορά	वक्त	N;ACC;FEM;SG	N;NOM;MASC;SG;3
φορά	समय	φορά	समय	N;ACC;FEM;SG	N;NOM;MASC;SG;3
έλληνες	यूनानियों	έλληνας	यूनानी	ADJ;NOM;MASC;PL	N;ACC;MASC;PL;3
ομάδες	समूहों	ομάδα	समूह	N;NOM;FEM;PL	N;ACC;MASC;PL;3
ομάδες	समूह	ομάδα	समूह	N;NOM;FEM;PL	N;NOM;MASC;SG;3
ομάδες	टीम	ομάδα	टीम	N;NOM;FEM;PL	N;NOM;FEM;SG;3
ομάδες	टीमों	ομάδα	टीम	N;NOM;FEM;PL	N;ACC;FEM;PL;3
πρώτο	प्रथम	πρώτος	प्रथम	NUM;NOM;NEUT;SG	ADJ
πρώτο	पहली	πρώτος	पहला	NUM;NOM;NEUT;SG	ADJ;NOM;FEM;SG
πρώτο	पहले	πρώτος	पहले	NUM;NOM;NEUT;SG	ADV;NOM;MASC;SG;3
πρώτο	पहला	πρώτος	पहला	NUM;NOM;NEUT;SG	ADJ;NOM;MASC;SG
κυρίως	अधिकांश	κυρίως	अधिकांश	ADV	CONJ
κυρίως	ज्यादातर	κυρίως	ज्यादातर	ADV	N;NOM;MASC;SG;3
κυρίως	अधिकतर	κυρίως	अधिकतर	ADV	N;NOM;MASC;SG;3
κυρίως	ज़्यादातर	κυρίως	ज़्यादातर	ADV	CONJ
όχι	नही	όχι	नही	PART	
ελληνική	ग्रीक	ελληνικός	ग्रीक	ADJ;NOM;FEM;SG	
ελληνική	यूनानी	ελληνικός	यूनानी	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
μεγάλη	बड़े	μεγάλος	बडा	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
μεγάλη	बिग	μεγάλος	बिग	ADJ;NOM;FEM;SG	
υπό	तहत	υπό	तहत	ADP	CONJ
υπό	अधीन	υπό	अधीन	ADP	
υπό	अंतर्गत	υπό	अंतर्गत	ADP	CONJ
έως	तक	ώς	तक	ADP	CONJ
έως	जबतक	ώς	जबतक	ADP	
ταινία	फिल्मी	ταινία	फिल्मी	N;NOM;FEM;SG	ADJ;NOM
άλλα	अन्य	άλλος	अन्य	PRO;NOM;NEUT;PL;3	N;NOM;MASC;SG;3
άλλα	अन्य	άλλος	अन्य	PRO;NOM;NEUT;PL;3	N;NOM;MASC;SG;3
σαν	like	σαν	like	ADV	
σαν	जैसे	σαν	जैसे	ADV	CONJ
εκεί	वहाँ	εκεί	वहाँ	ADV	PRO;NOM
εκεί	वहां	εκεί	वहाँ	ADV	PRO;NOM
εκεί	वहा	εκεί	वह	ADV	
εκεί	वहीँ	εκεί	वहीँ	ADV	
άλλες	अन्य	άλλος	अन्य	PRO;NOM;FEM;PL;3	N;NOM;MASC;SG;3
τέλος	अंत	τέλος	अंत	ADV	N;NOM;MASC;SG;3
τέλος	समाप्ति	τέλος	समाप्ति	ADV	N;NOM;FEM;SG;3
τέλος	समाप्त	τέλος	समाप्त	ADV	ADJ
σειρά	श्रेणी	σειρά	श्रेणी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
σειρά	क्रम	σειρά	क्रम	N;ACC;FEM;SG	N;NOM;MASC;SG;3
σειρά	ऑर्डर	σειρά	ऑर्डर	N;ACC;FEM;SG	N;NOM;MASC;SG;3
σειρά	आदेश	σειρά	आदेश	N;ACC;FEM;SG	N;NOM;MASC;SG;3
σειρά	अनुक्रम	σειρά	अनुक्रम	N;ACC;FEM;SG	N;NOM;MASC;SG;3
σειρά	पंक्ति	σειρά	पंक्ति	N;ACC;FEM;SG	N;NOM;FEM;SG;3
στοιχεία	तत्वों	στοιχείο	तत्व	N;NOM;NEUT;PL	N;ACC;MASC;PL;3
στοιχεία	तत्व	στοιχείο	तत्व	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
στοιχεία	आँकड़ा	στοιχείο	आँकडा	N;NOM;NEUT;PL	
στοιχεία	डाटा	στοιχείο	डाटा	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
στοιχεία	डेटा	στοιχείο	डेटा	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
στοιχεία	आंकड़ा	στοιχείο	आंकड़ा	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
εκτός	जबतक	εκτός	जबतक	ADV	
εκτός	मगर	εκτός	मगर	ADV	CONJ
συνέχεια	निरंतरता	συνέχεια	निरंतरता	N;ACC;FEM;SG	N;NOM;FEM;SG;3
συνέχεια	जारी	συνέχεια	जारी	N;ACC;FEM;SG	ADJ
κάτω	bas	κάτω	bas	ADV	
κάτω	निचला	κάτω	निचला	ADV	ADJ;NOM;MASC;SG
κάτω	निम्नतर	κάτω	निम्नतर	ADV	
πολλές	कई	πολύς	कई	ADJ;NOM;FEM;PL	DET
πολλές	अनेक	πολύς	अनेक	ADJ;NOM;FEM;PL	DET
όλα	सबकुछ	όλος	सबकुछ	ADJ;NOM;NEUT;PL	
όλα	सभी	όλος	सब	ADJ;NOM;NEUT;PL	PRO;NOM;3
όλα	सब	όλος	सब	ADJ;NOM;NEUT;PL	N;NOM;MASC;SG;3
ακόμα	स्टिल	ακόμα	स्टिल	ADV	
φορές	बार	φορά	बार	N;NOM;FEM;PL	N;NOM;FEM;SG;3
φορές	टाइम्स	φορά	टाइम्स	N;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
ίδια	एकसमान	ίδιος	एकसमान	ADJ;NOM;FEM;SG	
ίδια	समान	ίδιος	समान	ADJ;NOM;FEM;SG	
ίδια	वही	ίδιος	वह	ADJ;NOM;FEM;SG	PRO;NOM;SG;3
ιουλίου	जुलाई	ιούλιος	जुलाई	N;GEN;NEUT;SG	PROPN;NOM;FEM;SG;3
αποτέλεσμα	निष्कर्ष	αποτέλεσμα	निष्कर्ष	N;ACC;NEUT;SG	N;NOM;MASC;PL;3
αποτέλεσμα	रिजल्ट	αποτέλεσμα	रिजल्ट	N;ACC;NEUT;SG	N;NOM;MASC;SG;3
αποτέλεσμα	परिणाम	αποτέλεσμα	परिणाम	N;ACC;NEUT;SG	N;NOM;MASC;PL;3
αποτέλεσμα	असर	αποτέλεσμα	असर	N;ACC;NEUT;SG	N;NOM;MASC;SG;3
αποτέλεσμα	प्रभाव	αποτέλεσμα	प्रभाव	N;ACC;NEUT;SG	N;NOM;MASC;SG;3
οκτωβρίου	अक्टूबर	οκτώβριος	अक्टूबर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
οκτωβρίου	अक्तूबर	οκτώβριος	अक्तूबर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
ιανουαρίου	जनवरी	ιανουάριος	जनवरी	PROPN;GEN;MASC;SG	PROPN;NOM;FEM;SG;3
σεπτεμβρίου	सितम्बर	σεπτέμβριο	सितंबर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
σεπτεμβρίου	सितंबर	σεπτέμβριο	सितंबर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
νοεμβρίου	नवंबर	νόεμβριος	नवंबर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
νοεμβρίου	नवम्बर	νόεμβριος	नवंबर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
αγώνες	मिलान	αγώνας	मिलान	N;NOM;MASC;PL	N;NOM;MASC;SG;3
αγώνες	गेम्स	αγώνας	गेम्स	N;NOM;MASC;PL	N;NOM;MASC;SG;3
αγώνες	गेम	αγώνας	गेम	N;NOM;MASC;PL	N;NOM;MASC;SG;3
αγώνες	खेल	αγώνας	खेल	N;NOM;MASC;PL	N;NOM;MASC;SG;3
ταινίες	मूवी	ταινία	मूवी	N;NOM;FEM;PL	N;NOM;FEM;SG;3
ταινίες	फिल्मों	ταινία	फिल्म	N;NOM;FEM;PL	N;ACC;FEM;PL;3
μαρτίου	मार्च	μάρτιος	मार्च	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
μαρτίου	कूच	μάρτιος	कूच	N;GEN;MASC;SG	N;NOM;FEM;SG;3
γεννήθηκε	जन्म	γεννώ	जन्म	V;PFV;IND;SG;3;PST;FIN;PASS	N;NOM;MASC;SG;3
γεννήθηκε	जन्मे	γεννώ	जन्मा	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;IND;SG;3;FIN;ACT
γεννήθηκε	born	γεννώ	born	V;PFV;IND;SG;3;PST;FIN;PASS	PROPN;NOM;MASC;SG;3
ιουνίου	जून	ιούνιος	जून	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
αυτές	ये	αυτός	यह	PRO;NOM;FEM;PL;3	PRO;NOM;PL;3
πολλά	कई	πολύς	कई	ADJ;NOM;NEUT;PL	DET
πολλά	अनेक	πολύς	अनेक	ADJ;NOM;NEUT;PL	DET
απριλίου	अप्रैल	απρίλιος	अप्रैल	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
αυγούστου	अगस्त	αυγούστος	अगस्त	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
έργα	प्रोजेक्ट	έργο	प्रोजेक्ट	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
δεκεμβρίου	दिसंबर	δεκέμβριο	दिसंबर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
δεκεμβρίου	दिसम्बर	δεκέμβριο	दिसम्बर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
χρήση	उपयोग	χρήση	उपयोग	N;ACC;FEM;SG	N;NOM;MASC;SG;3
πρόεδρος	प्रदेशाध्यक्ष	πρόεδρος	प्रदेशाध्यक्ष	N;ACC;MASC;SG	N;NOM;MASC;SG;3
πρόεδρος	राष्ट्रपति	πρόεδρος	राष्ट्रपति	N;ACC;MASC;SG	PROPN;NOM;MASC;SG;3
πρόεδρος	अध्यक्ष	πρόεδρος	अध्यक्ष	N;ACC;MASC;SG	N;NOM;MASC;SG;3
πολιτική	राजनीती	πολιτική	राजनीती	N;NOM;FEM;SG	PROPN;NOM;FEM;SG;3
ακόμη	स्टिल	ακόμα	स्टिल	ADV	
ίδιο	समान	ίδιος	समान	ADJ;NOM;NEUT;SG	
ίδιο	वही	ίδιος	वह	ADJ;NOM;NEUT;SG	PRO;NOM;SG;3
μας	हमारा	μου	हम	PRO;GEN;MASC;PL;1	PRO;MASC;PL;1
μας	हमारे	μου	हम	PRO;GEN;MASC;PL;1	PRO;MASC;PL;1
μας	हमारी	μου	हम	PRO;GEN;MASC;PL;1	PRO;FEM;PL;1
εκλογές	चुनाव	εκλογή	चुनाव	N;NOM;FEM;PL	N;NOM;MASC;SG;3
εκλογές	चुनावों	εκλογή	चुनाव	N;NOM;FEM;PL	N;ACC;MASC;PL;3
εκλογές	चुनाव	εκλογή	चुनाव	N;NOM;FEM;PL	N;NOM;MASC;SG;3
μέλη	सदस्यों	μέλος	सदस्य	N;NOM;NEUT;PL	N;ACC;MASC;PL;3
μέλος	सदस्य	μέλος	सदस्य	N;NOM;NEUT;SG	N;NOM;MASC;PL;3
εποχή	युग	εποχή	युग	N;ACC;FEM;SG	N;NOM;MASC;SG;3
εποχή	मौसम	εποχή	मौसम	N;ACC;FEM;SG	N;NOM;MASC;SG;3
εποχή	ऋतु	εποχή	ऋतु	N;ACC;FEM;SG	N;NOM;FEM;SG;3
χωριό	गाँव	χωριό	गाँव	N;NOM;NEUT;SG	N;NOM;MASC;PL;3
αρχικά	आद्याक्षर	αρχικά	आद्याक्षर	ADV	N;NOM;MASC;SG;3
κύπελλο	कप	κύπελλος	कप	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ζωή	जिंदगी	ζωή	जिंदगी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
ζωή	ज़िन्दगी	ζωή	ज़िन्दगी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
ζωή	ज़िंदगी	ζωή	ज़िंदगी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
ζωή	जिन्दगी	ζωή	जिन्दगी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
ζωή	जीवन	ζωή	जीवन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ζωή	ज़ो	ζωή	जा	N;ACC;FEM;SG	
ζωή	zoe	ζωή	zoe	N;ACC;FEM;SG	
περιλαμβάνει	शामिल	περιλαμβάνω	शामिल	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ
μεγάλο	बड़े	μεγάλος	बडा	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL
μεγάλο	बड़े	μεγάλος	बडा	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL
μεγάλο	बिग	μεγάλος	बिग	ADJ;NOM;NEUT;SG	
βάση	बेस	βάση	बेस	N;ACC;FEM;SG	N;NOM;MASC;SG;3
βάση	आधार	βάση	आधार	N;ACC;FEM;SG	N;NOM;MASC;SG;3
βάση	आधार	βάση	आधार	N;ACC;FEM;SG	N;NOM;MASC;SG;3
κέντρο	केन्द्र	κέντρο	केंद्र	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
κέντρο	केंद्र	κέντρο	केंद्र	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
κέντρο	मध्य	κέντρο	मध्य	N;NOM;NEUT;SG	
κέντρο	बीच	κέντρο	बीच	N;NOM;NEUT;SG	ADV;NOM;MASC;SG;3
κέντρο	केंद्र	κέντρο	केंद्र	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
κέντρο	केन्द्र	κέντρο	केंद्र	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
φεβρουαρίου	फरवरी	φεβρουάριο	फरवरी	N;GEN;MASC;SG	PROPN;NOM;FEM;SG;3
φεβρουαρίου	फ़रवरी	φεβρουάριο	फ़रवरी	N;GEN;MASC;SG	PROPN;NOM;FEM;SG;3
κάτι	कुछ	κάτι	कुछ	PRO;NOM;NEUT;SG;3	DET
κοντά	बन्द	κοντά	बंद	ADV	
κοντά	करीब	κοντά	करीब	ADV	PART
κοντά	बंद	κοντά	बंद	ADV	ADJ
κοντά	निकटवर्ती	κοντά	निकटवर्ती	ADV	N;NOM;MASC;SG;3
μορφή	फ़ॉर्म	μορφή	फ़ॉर्म	N;NOM;FEM;SG	ADJ
μορφή	फार्मेट	μορφή	फार्मेट	N;NOM;FEM;SG	
χρόνο	वक़्त	χρόνος	वक़्त	N;ACC;MASC;SG	N;NOM;MASC;SG;3
χρόνο	वक्त	χρόνος	वक्त	N;ACC;MASC;SG	N;NOM;MASC;SG;3
χρόνο	समय	χρόνος	समय	N;ACC;MASC;SG	N;NOM;MASC;SG;3
κόμμα	party	κόμμα	party	N;NOM;NEUT;SG	
γιατί	क्योकि	γιατί	क्योकि	CONJ	
γιατί	क्युकी	γιατί	क्युकी	CONJ	
γιατί	क्यूँ	γιατί	क्यूँ	CONJ	
γιατί	क्यों	γιατί	क्यों	CONJ	PRO
ρόλο	भूमिका	ρόλος	भूमिका	N;ACC;MASC;SG	N;NOM;FEM;SG;3
άλμπουμ	अलबम	άλμπουμ	अलबम	N;MASC;SG	PROPN;NOM;MASC;SG;3
επειδή	क्योकि	επειδή	क्योकि	CONJ	
επειδή	क्युकी	επειδή	क्युकी	CONJ	
έκδοση	संस्करण	έκδοση	संस्करण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
έκδοση	वर्जन	έκδοση	वर्जन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
έκδοση	संस्करण	έκδοση	संस्करण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
γκολ	लक्ष्यों	γκολ	लक्ष्य		N;ACC;MASC;PL;3
γκολ	लक्ष्य	γκολ	लक्ष्य		N;NOM;MASC;SG;3
γκολ	गोल	γκολ	गोल		N;NOM;MASC;SG;3
γκολ	ध्येय	γκολ	ध्येय		N;NOM;MASC;SG;3
γκολ	लक्ष्य	γκολ	लक्ष्य		N;NOM;MASC;SG;3
αρχές	प्राधिकरण	αρχή	प्राधिकरण	N;NOM;FEM;PL	N;NOM;MASC;SG;3
αρχές	प्राधिकार	αρχή	प्राधिकार	N;NOM;FEM;PL	N;NOM;MASC;SG;3
αρχές	प्राधिकारी	αρχή	प्राधिकारी	N;NOM;FEM;PL	N;NOM;MASC;SG;3
αρχές	अधिकारियों	αρχή	अधिकारी	N;NOM;FEM;PL	N;ACC;MASC;PL;3
αρχές	सिद्धांत	αρχή	सिद्धान्त	N;NOM;FEM;PL	N;NOM;MASC;SG;3
αρχές	सिद्धान्त	αρχή	सिद्धान्त	N;NOM;FEM;PL	N;NOM;MASC;SG;3
κοινότητα	समुदाय	κοινότητα	समुदाय	N;ACC;FEM;SG	N;NOM;MASC;SG;3
κοινότητα	जातियाँ	κοινότητα	जाति	N;ACC;FEM;SG	N;NOM;FEM;PL;3
τελευταία	अंतिम	τελευταία	अंतिम	ADV	ADJ;NOM
τελευταία	आखरी	τελευταία	आखरी	ADV	
τελευταία	आखिरी	τελευταία	आखिरी	ADV	ADJ
τελευταία	पिछला	τελευταία	पिछला	ADV	ADJ;NOM;MASC;SG
ξεκίνησε	शुरू	ξεκινώ	शुरू	V;PFV;IND;SG;3;PST;FIN;ACT	N;NOM;MASC;SG;3
ξεκίνησε	प्रारंभ	ξεκινώ	प्रारंभ	V;PFV;IND;SG;3;PST;FIN;ACT	N;NOM;MASC;SG;3
κυβέρνηση	सरकारी	κυβέρνηση	सरकारी	N;NOM;FEM;SG	ADJ;NOM
πρώτος	प्रथम	πρώτος	प्रथम	NUM;NOM;MASC;SG	ADJ
πρώτος	पहली	πρώτος	पहला	NUM;NOM;MASC;SG	ADJ;NOM;FEM;SG
πρώτος	पहले	πρώτος	पहले	NUM;NOM;MASC;SG	ADV;NOM;MASC;SG;3
πρώτος	पहला	πρώτος	पहला	NUM;NOM;MASC;SG	ADJ;NOM;MASC;SG
κάνει	सम्पन्न	κάνω	संपन्न	V;IPFV;IND;SG;3;PRS;FIN;ACT	
κάνει	किया	κάνω	कर	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;MASC;SG;V.PTCP;ACT
