جاپا	entrega	جاپا	entrega	PROPN;NOM;MASC;SG;3	N
جاچنا	perdón	جاچ	perdón	PROPN;NOM;MASC;SG;3	N
جاچنا	perdoe	جاچ	perdoar	PROPN;NOM;MASC;SG;3	PROPN
جاچنا	desculpe	جاچ	desculpe	PROPN;NOM;MASC;SG;3	PROPN
جاچنا	petición	جاچ	petición	PROPN;NOM;MASC;SG;3	N
جاداد	propiedade	جاداد	propiedade	PROPN;NOM;MASC;SG;3	N
جادُو	maxia	جادُو	maxia	PROPN;NOM;MASC;SG;3	N
جادُو	máxico	جادُو	máxico	PROPN;NOM;MASC;SG;3	ADJ
جادُو	máxica	جادُو	máxica	PROPN;NOM;MASC;SG;3	ADJ
جادوگر	mago	جادوگر	mago	PROPN;NOM;MASC;SG;3	N
جادُوئی	misterioso	جادُوئی	misterioso	PROPN;NOM;MASC;SG;3	ADJ
جادُوئی	máxicos	جادُوئی	máxico	PROPN;NOM;MASC;SG;3	ADJ
جادُوئی	máxico	جادُوئی	máxico	PROPN;NOM;MASC;SG;3	ADJ
جادہ	xeito	جادہ	xeito	PROPN;NOM;MASC;SG;3	N
جادہ	maneira	جادہ	maneira	PROPN;NOM;MASC;SG;3	N
جادہ	estrada	جادہ	estrada	PROPN;NOM;MASC;SG;3	N
جادہ	camiño	جادہ	camiño	PROPN;NOM;MASC;SG;3	N
جادہ	ruta	جادہ	ruta	PROPN;NOM;MASC;SG;3	N
جادہ	modo	جادہ	modo	PROPN;NOM;MASC;SG;3	N
جاذِب	agradable	جاذِب	agradable	PROPN;NOM;MASC;SG;3	ADJ
جاذِب	á	جاذِب	á	PROPN;NOM;MASC;SG;3	N
جاذِب	atractiva	جاذِب	atractivo	PROPN;NOM;MASC;SG;3	ADJ
جاذِب	fermosa	جاذِب	fermosa	PROPN;NOM;MASC;SG;3	ADJ
جار	violencia	جار	violencia		N
جار	a	جار	o		DET
جارِحانہ	ofensivo	جارِحانہ	ofensivo	PROPN;NOM;MASC;SG;3	ADJ
جارِحانہ	ofensiva	جارِحانہ	ofensivo	PROPN;NOM;MASC;SG;3	N
جارَن	combustible	جارَن	combustible	PROPN;NOM;MASC;SG;3	N
جارنا	luz	جار	luz	PROPN;NOM;MASC;SG;3	N
جارنا	queimalos	جار	queimalo	PROPN;NOM;MASC;SG;3	V
جارنا	queiman	جار	queimar	PROPN;NOM;MASC;SG;3	V
جارنا	queimar	جار	queimar	PROPN;NOM;MASC;SG;3	V
جارنا	queimade	جار	queimade	PROPN;NOM;MASC;SG;3	N
جاری	xogo	جاری	xogo	ADJ	N
جاری	que	جاری	que	ADJ	PRO
جاری	súa	جاری	seu	ADJ	DET
جارِیہ	moza	جارِیہ	mozo	PROPN;NOM;MASC;SG;3	N
جارِیہ	rapaza	جارِیہ	rapaza	PROPN;NOM;MASC;SG;3	N
جارِیہ	nena	جارِیہ	nena	PROPN;NOM;MASC;SG;3	N
جاڑ	orixe	جاڑ	orixe		N
جاڑ	raíz	جاڑ	raíz		N
جاڑا	no	جاڑا	no	PROPN;NOM;MASC;SG;3	V
جاڑا	inverno	جاڑا	inverno	PROPN;NOM;MASC;SG;3	N
جاڑا	o	جاڑا	o	PROPN;NOM;MASC;SG;3	DET
جازِم	sólida	جازِم	sólida	PROPN;NOM;MASC;SG;3	ADJ
جاسُوس	espía	جاسُوس	espe	PROPN;NOM;MASC;SG;3	N
جاکِٹ	chaqueta	جاکِٹ	chaqueta	PROPN;NOM;MASC;SG;3	N
جاکِٹ	da	جاکِٹ	da	PROPN;NOM;MASC;SG;3	V
جاگ	arriba	جاگ	arriba	V;ACT	ADV
جاگا	comisaría	جاگا	comisar	PROPN;NOM;MASC;SG;3	N
جاگا	estación	جاگا	estación	PROPN;NOM;MASC;SG;3	N
جاگا	lugar	جاگا	lugar	PROPN;NOM;MASC;SG;3	N
جاگا	casa	جاگا	casa	PROPN;NOM;MASC;SG;3	N
جاگا	sitio	جاگا	sitio	PROPN;NOM;MASC;SG;3	N
جاگا	sala	جاگا	sala	PROPN;NOM;MASC;SG;3	N
جاگا	habitación	جاگا	habitación	PROPN;NOM;MASC;SG;3	N
جاگا	cuarto	جاگا	cuarto	PROPN;NOM;MASC;SG;3	ADJ
جاگا	esperta	جاگا	esperta	PROPN;NOM;MASC;SG;3	V
جاگرت	esperta	جاگرت	esperta	PROPN;NOM;MASC;SG;3	V
جاگری	melaza	جاگری	melaza	PROPN;NOM;MASC;SG;3	N
جاگِیر	inmobiliario	جاگِیر	inmobiliario	PROPN;NOM;MASC;SG;3	ADJ
جاگِیر	propiedade	جاگِیر	propiedade	PROPN;NOM;MASC;SG;3	N
جال	maxia	جال	maxia	V;ACT	N
جال	máxico	جال	máxico	V;ACT	ADJ
جال	máxica	جال	máxica	V;ACT	ADJ
جال	rede	جال	rede	V;ACT	N
جال	a	جال	o	V;ACT	DET
جال	ilusión	جال	ilusión	V;ACT	N
جال	maxia	جال	maxia	V;ACT	N
جال	máxico	جال	máxico	V;ACT	ADJ
جال	máxica	جال	máxica	V;ACT	ADJ
جال	trampa	جال	trampa	V;ACT	N
جال	boca	جال	boca	V;ACT	N
جال	rede	جال	rede	V;ACT	N
جال	a	جال	o	V;ACT	DET
جال	ilusión	جال	ilusión	V;ACT	N
جالِس	sentada	جالِس	sentar	PROPN;NOM;MASC;SG;3	V
جالِس	sentados	جالِس	sentar	PROPN;NOM;MASC;SG;3	V
جالِس	sentado	جالِس	sentado	PROPN;NOM;MASC;SG;3	V
جالِک	fowler	جالِک	fowler	PROPN;NOM;MASC;SG;3	PROPN
جالِک	pescador	جالِک	pescador	PROPN;NOM;MASC;SG;3	N
جالِکا	rede	جالِکا	rede	PROPN;NOM;MASC;SG;3	N
جالِکا	cadea	جالِکا	cadea	PROPN;NOM;MASC;SG;3	N
جالِکا	subministración	جالِکا	subministración	PROPN;NOM;MASC;SG;3	N
جالِکا	traballos	جالِکا	traballo	PROPN;NOM;MASC;SG;3	N
جالِکا	armadura	جالِکا	armadura	PROPN;NOM;MASC;SG;3	N
جالُوت	goliat	جالُوت	goliat	PROPN;NOM;MASC;SG;3	N
جالُوت	goliath	جالُوت	goliath	PROPN;NOM;MASC;SG;3	PROPN
جالُوت	cruel	جالُوت	cruel	PROPN;NOM;MASC;SG;3	N
جالی	baseada	جالی	basear	N;NOM;MASC;SG;3	V
جالی	de	جالی	de	N;NOM;MASC;SG;3	ADP
جالی	baseada	جالی	basear	N;NOM;MASC;SG;3	V
جالی	de	جالی	de	N;NOM;MASC;SG;3	ADP
جام	pratos	جام	prato	PROPN;NOM;MASC;SG;3	N
جام	bowl	جام	bowl	PROPN;NOM;MASC;SG;3	PROPN
جام	cunca	جام	cunca	PROPN;NOM;MASC;SG;3	N
جام	sementes	جام	semente	PROPN;NOM;MASC;SG;3	N
جام	semente	جام	semente	PROPN;NOM;MASC;SG;3	N
جام	fillo	جام	fillo	PROPN;NOM;MASC;SG;3	N
جام	cunca	جام	cunca	PROPN;NOM;MASC;SG;3	N
جام	café	جام	café	PROPN;NOM;MASC;SG;3	N
جامِد	sólida	جامِد	sólida	PROPN;NOM;MASC;SG;3	ADJ
جامِد	aínda	جامِد	aínda	PROPN;NOM;MASC;SG;3	ADV
جامِد	segue	جامِد	seguir	PROPN;NOM;MASC;SG;3	V
جامدار	garda	جامدار	garda	PROPN;NOM;MASC;SG;3	N
جامدار	de	جامدار	de	PROPN;NOM;MASC;SG;3	ADP
جامِعہ	universidade	جامِعہ	universidade	PROPN;NOM;MASC;SG;3	N
جامِعہ	de	جامِعہ	de	PROPN;NOM;MASC;SG;3	ADP
جامِعہ	da	جامِعہ	da	PROPN;NOM;MASC;SG;3	V
جامِعہ	universidades	جامِعہ	universidade	PROPN;NOM;MASC;SG;3	N
جامِعہ	universitaria	جامِعہ	universitario	PROPN;NOM;MASC;SG;3	ADJ
جامگی	soldo	جامگی	soldo	PROPN;NOM;MASC;SG;3	N
جامگی	salario	جامگی	salario	PROPN;NOM;MASC;SG;3	N
جامگی	arma	جامگی	arma	PROPN;NOM;MASC;SG;3	N
جامگی	pistola	جامگی	pistola	PROPN;NOM;MASC;SG;3	N
جامگی	revólver	جامگی	revólver	PROPN;NOM;MASC;SG;3	N
جامہ	roupa	جامہ	roupa	ADJ	N
جامی	irán	جامی	ir	PROPN;NOM;MASC;SG;3	PROPN
جامی	irmá	جامی	irmán	PROPN;NOM;MASC;SG;3	N
جامی	a	جامی	o	PROPN;NOM;MASC;SG;3	DET
جان	conciencia	جان	conciencia	PROPN;NOM;MASC;SG;3	N
جان	cognición	جان	cognición	PROPN;NOM;MASC;SG;3	N
جان	saber	جان	saber	PROPN;NOM;MASC;SG;3	V
جان	sabendo	جان	saber	PROPN;NOM;MASC;SG;3	V
جان	sabe	جان	saber	PROPN;NOM;MASC;SG;3	V
جان	amado	جان	amado	PROPN;NOM;MASC;SG;3	N
جان	querido	جان	querer	PROPN;NOM;MASC;SG;3	V
جان	opinión	جان	opinión	PROPN;NOM;MASC;SG;3	N
جان	que	جان	que	PROPN;NOM;MASC;SG;3	PRO
جان	a	جان	o	PROPN;NOM;MASC;SG;3	DET
جان	na	جان	na	PROPN;NOM;MASC;SG;3	N
جان	espírito	جان	espírito	PROPN;NOM;MASC;SG;3	N
جان	o	جان	o	PROPN;NOM;MASC;SG;3	DET
جان	déixate	جان	déixate	PROPN;NOM;MASC;SG;3	V
جان	forza	جان	forza	PROPN;NOM;MASC;SG;3	N
جان	a	جان	o	PROPN;NOM;MASC;SG;3	DET
جان	policía	جان	policía	PROPN;NOM;MASC;SG;3	N
جان	exército	جان	exército	PROPN;NOM;MASC;SG;3	N
جان	coñecemento	جان	coñecemento	PROPN;NOM;MASC;SG;3	N
جان	coñecía	جان	coñecer	PROPN;NOM;MASC;SG;3	V
جان	coñecementos	جان	coñecemento	PROPN;NOM;MASC;SG;3	N
جان	alma	جان	alma	PROPN;NOM;MASC;SG;3	N
جان	enerxía	جان	enerxía	PROPN;NOM;MASC;SG;3	N
جان	consumo	جان	consumo	PROPN;NOM;MASC;SG;3	N
جان	enerxético	جان	enerxético	PROPN;NOM;MASC;SG;3	ADJ
جان	enerxética	جان	enerxético	PROPN;NOM;MASC;SG;3	ADJ
جان	conciencia	جان	conciencia	PROPN;NOM;MASC;SG;3	N
جان	cognición	جان	cognición	PROPN;NOM;MASC;SG;3	N
جان	saber	جان	saber	PROPN;NOM;MASC;SG;3	V
جان	sabendo	جان	saber	PROPN;NOM;MASC;SG;3	V
جان	sabe	جان	saber	PROPN;NOM;MASC;SG;3	V
جان	amado	جان	amado	PROPN;NOM;MASC;SG;3	N
جان	querido	جان	querer	PROPN;NOM;MASC;SG;3	V
جان	opinión	جان	opinión	PROPN;NOM;MASC;SG;3	N
جان	que	جان	que	PROPN;NOM;MASC;SG;3	PRO
جان	a	جان	o	PROPN;NOM;MASC;SG;3	DET
جان	na	جان	na	PROPN;NOM;MASC;SG;3	N
جان	espírito	جان	espírito	PROPN;NOM;MASC;SG;3	N
جان	o	جان	o	PROPN;NOM;MASC;SG;3	DET
جان	déixate	جان	déixate	PROPN;NOM;MASC;SG;3	V
جان	vida	جان	vida	PROPN;NOM;MASC;SG;3	N
جان	a	جان	o	PROPN;NOM;MASC;SG;3	DET
جان	forza	جان	forza	PROPN;NOM;MASC;SG;3	N
جان	a	جان	o	PROPN;NOM;MASC;SG;3	DET
جان	policía	جان	policía	PROPN;NOM;MASC;SG;3	N
جان	exército	جان	exército	PROPN;NOM;MASC;SG;3	N
جان	coñecemento	جان	coñecemento	PROPN;NOM;MASC;SG;3	N
جان	coñecía	جان	coñecer	PROPN;NOM;MASC;SG;3	V
جان	coñecementos	جان	coñecemento	PROPN;NOM;MASC;SG;3	N
جان	alma	جان	alma	PROPN;NOM;MASC;SG;3	N
جان	enerxía	جان	enerxía	PROPN;NOM;MASC;SG;3	N
جان	consumo	جان	consumo	PROPN;NOM;MASC;SG;3	N
جان	enerxético	جان	enerxético	PROPN;NOM;MASC;SG;3	ADJ
جان	enerxética	جان	enerxético	PROPN;NOM;MASC;SG;3	ADJ
جانا	que	جا	que	V;MASC;SG;NFIN;ACT	PRO
جانا	de	جا	de	V;MASC;SG;NFIN;ACT	ADP
جاناں	amado	جان	amado	PROPN;NOM;MASC;SG;3	N
جاناں	querido	جان	querer	PROPN;NOM;MASC;SG;3	V
جانانہ	amado	جانانہ	amado	PROPN;NOM;MASC;SG;3	N
جانانہ	querido	جانانہ	querer	PROPN;NOM;MASC;SG;3	V
جانانہ	fermoso	جانانہ	fermoso	PROPN;NOM;MASC;SG;3	ADJ
جانانہ	encantador	جانانہ	encantador	PROPN;NOM;MASC;SG;3	ADJ
جانانہ	preciosa	جانانہ	precioso	PROPN;NOM;MASC;SG;3	ADJ
جانِب	dirección	جانِب	dirección	PROPN;NOM;MASC;SG;3	N
جانِب	lado	جانِب	lado	PROPN;NOM;MASC;SG;3	N
جانِب	secundarios	جانِب	secundario	PROPN;NOM;MASC;SG;3	ADJ
جانِب	parte	جانِب	parte	PROPN;NOM;MASC;SG;3	N
جانِب	cuarto	جانِب	cuarto	PROPN;NOM;MASC;SG;3	ADJ
جانِب	ao	جانِب	ao	PROPN;NOM;MASC;SG;3	PROPN
جانِب	cara	جانِب	cara	PROPN;NOM;MASC;SG;3	N
جانِب	a	جانِب	o	PROPN;NOM;MASC;SG;3	DET
جانچ	probar	جانچ	probar	N;NOM;MASC;SG;3	V
جانچ	de	جانچ	de	N;NOM;MASC;SG;3	ADP
جانچ	probar	جانچ	probar	N;NOM;MASC;SG;3	V
جانچ	de	جانچ	de	N;NOM;MASC;SG;3	ADP
جانچنا	proba	جانچ	proba	V;MASC;SG;NFIN;ACT	N
جانچنا	exame	جانچ	exame	V;MASC;SG;NFIN;ACT	N
جانچنا	probas	جانچ	proba	V;MASC;SG;NFIN;ACT	N
جانچنا	de	جانچ	de	V;MASC;SG;NFIN;ACT	ADP
جانچنا	test	جانچ	test	V;MASC;SG;NFIN;ACT	N
جانچنا	exames	جانچ	exame	V;MASC;SG;NFIN;ACT	N
جانگر	fortaleza	جانگر	fortalezar	PROPN;NOM;MASC;SG;3	N
جانگر	forzas	جانگر	forza	PROPN;NOM;MASC;SG;3	N
جانگر	forza	جانگر	forza	PROPN;NOM;MASC;SG;3	N
جانگر	a	جانگر	o	PROPN;NOM;MASC;SG;3	DET
جانگر	radica	جانگر	radicar	PROPN;NOM;MASC;SG;3	V
جانگل	bosque	جانگل	bosque	PROPN;NOM;MASC;SG;3	N
جانگُل	veleno	جانگُل	veleno	PROPN;NOM;MASC;SG;3	N
جانگلُو	salvaxe	جانگلُو	salvaxe	PROPN;NOM;MASC;SG;3	N
جانگلُو	salvaxes	جانگلُو	salvaxe	PROPN;NOM;MASC;SG;3	N
جانگلُوس	salvaxe	جانگلُوس	salvaxe	PROPN;NOM;MASC;SG;3	N
جانگلُوس	salvaxes	جانگلُوس	salvaxe	PROPN;NOM;MASC;SG;3	N
جانگیا	interior	جانگیا	interior	PROPN;NOM;MASC;SG;3	ADJ
جانگیا	lencería	جانگیا	lencería	PROPN;NOM;MASC;SG;3	N
جاننا	cres	جان	cres	V;MASC;SG;NFIN;ACT	PRO
جاننا	que	جان	que	V;MASC;SG;NFIN;ACT	PRO
جاننا	te	جان	te	V;MASC;SG;NFIN;ACT	PRO
جاننا	aceptalo	جان	aceptalo	V;MASC;SG;NFIN;ACT	N
جاننا	acepto	جان	acepto	V;MASC;SG;NFIN;ACT	
جاننا	que	جان	que	V;MASC;SG;NFIN;ACT	PRO
جاننا	que	جان	que	V;MASC;SG;NFIN;ACT	PRO
جاننا	identificalos	جان	identificalo	V;MASC;SG;NFIN;ACT	N
جاننا	identifiques	جان	identifique	V;MASC;SG;NFIN;ACT	N
جاننا	que	جان	que	V;MASC;SG;NFIN;ACT	PRO
جاننا	cres	جان	cres	V;MASC;SG;NFIN;ACT	PRO
جاننا	que	جان	que	V;MASC;SG;NFIN;ACT	PRO
جاننا	te	جان	te	V;MASC;SG;NFIN;ACT	PRO
جاننا	aceptalo	جان	aceptalo	V;MASC;SG;NFIN;ACT	N
جاننا	acepto	جان	acepto	V;MASC;SG;NFIN;ACT	
جاننا	que	جان	que	V;MASC;SG;NFIN;ACT	PRO
جاننا	que	جان	que	V;MASC;SG;NFIN;ACT	PRO
جاننا	identificalos	جان	identificalo	V;MASC;SG;NFIN;ACT	N
جاننا	identifiques	جان	identifique	V;MASC;SG;NFIN;ACT	N
جاننا	que	جان	que	V;MASC;SG;NFIN;ACT	PRO
جانور	paspán	جانور	paspán	N;NOM;MASC;SG;3	PROPN
جانورک	bacteria	جانورک	bacteria	PROPN;NOM;MASC;SG;3	N
جانی	amado	جا	amado	V;FEM;SG;NFIN;ACT	N
جانی	culpable	جا	culpable	V;FEM;SG;NFIN;ACT	ADJ
جانی	culpábel	جا	culpábel	V;FEM;SG;NFIN;ACT	ADJ
جانی	culpábeis	جا	culpábel	V;FEM;SG;NFIN;ACT	N
جاواں	picos	جاواں	pico		N
جاوِداں	eterna	جاوِداں	eterno	PROPN;NOM;MASC;SG;3	N
جاوِدانی	eterna	جاوِدانی	eterno	ADJ	N
جاوید	eterna	جاوید	eterno	PROPN;NOM;MASC;SG;3	N
جاہ	dignidade	جاہ	dignidade	PROPN;NOM;MASC;SG;3	N
جاہ	última	جاہ	último	PROPN;NOM;MASC;SG;3	ADJ
جاہِلیّت	ignorancia	جاہِلیّت	ignorancia	PROPN;NOM;MASC;SG;3	N
جاہِلیّت	a	جاہِلیّت	o	PROPN;NOM;MASC;SG;3	DET
جائِداد	posto	جائِداد	posto	PROPN;NOM;MASC;SG;3	N
جائِداد	poste	جائِداد	postar	PROPN;NOM;MASC;SG;3	N
جائِداد	correos	جائِداد	correo	PROPN;NOM;MASC;SG;3	N
جائِداد	correo	جائِداد	correo	PROPN;NOM;MASC;SG;3	N
جائِداد	de	جائِداد	de	PROPN;NOM;MASC;SG;3	ADP
جائِداد	bens	جائِداد	ben	PROPN;NOM;MASC;SG;3	N
جائِداد	recursos	جائِداد	recurso	PROPN;NOM;MASC;SG;3	N
جائِداد	última	جائِداد	último	PROPN;NOM;MASC;SG;3	ADJ
جائِداد	efectos	جائِداد	efecto	PROPN;NOM;MASC;SG;3	N
جائِداد	inmobiliario	جائِداد	inmobiliario	PROPN;NOM;MASC;SG;3	ADJ
جائِز	axeitada	جائِز	axeitado	PROPN;NOM;MASC;SG;3	ADJ
جائِز	o	جائِز	o	PROPN;NOM;MASC;SG;3	DET
جائِز	de	جائِز	de	PROPN;NOM;MASC;SG;3	ADP
جائِز	só	جائِز	só	PROPN;NOM;MASC;SG;3	ADV
جائِز	posúe	جائِز	posuír	PROPN;NOM;MASC;SG;3	V
جائِز	estabelecido	جائِز	estabelecer	PROPN;NOM;MASC;SG;3	V
جائِز	ben	جائِز	ben	PROPN;NOM;MASC;SG;3	ADV
جائِز	xudicial	جائِز	xudicial	PROPN;NOM;MASC;SG;3	ADJ
جائِز	legal	جائِز	legal	PROPN;NOM;MASC;SG;3	ADJ
جائِز	legais	جائِز	legal	PROPN;NOM;MASC;SG;3	ADJ
جائِزہ	enquisa	جائِزہ	enquisa	PROPN;NOM;MASC;SG;3	N
جائِزہ	inspección	جائِزہ	inspección	PROPN;NOM;MASC;SG;3	N
جائِزہ	recompensa	جائِزہ	recompensa	PROPN;NOM;MASC;SG;3	N
جائِزہ	presentar	جائِزہ	presentar	PROPN;NOM;MASC;SG;3	V
جائِزہ	actual	جائِزہ	actual	PROPN;NOM;MASC;SG;3	ADJ
جائِزہ	presente	جائِزہ	presente	PROPN;NOM;MASC;SG;3	ADJ
جائِزہ	presentes	جائِزہ	presente	PROPN;NOM;MASC;SG;3	ADJ
جائِزہ	agasallo	جائِزہ	agasallo	PROPN;NOM;MASC;SG;3	N
جائِگاہ	lugar	جائِگاہ	lugar	V;MASC;IND;SG;3;FUT;FIN	N
جائِگاہ	casa	جائِگاہ	casa	V;MASC;IND;SG;3;FUT;FIN	N
جائِگاہ	sitio	جائِگاہ	sitio	V;MASC;IND;SG;3;FUT;FIN	N
جائی	filla	جائی	fillo		N
جایا	fillo	جا	fillo	V;PFV;MASC;SG;V.PTCP;ACT	N
جب	cada	جب	cada	PRO;NOM	DET
جب	vez	جب	vez	PRO;NOM	N
جب	cada	جب	cada	PRO;NOM	DET
جب	vez	جب	vez	PRO;NOM	N
جب	se	جب	se	PRO;NOM	CONJ
جِبا	impostos	جِبا	imposto	PROPN;NOM;MASC;SG;3	N
جُبا	nova	جُبا	novo	PROPN;NOM;MASC;SG;3	ADJ
جُبا	mozos	جُبا	mozo	PROPN;NOM;MASC;SG;3	N
جُبا	mozo	جُبا	mozo	PROPN;NOM;MASC;SG;3	N
جُبا	novo	جُبا	novo	PROPN;NOM;MASC;SG;3	ADJ
جُبا	moza	جُبا	mozo	PROPN;NOM;MASC;SG;3	N
جبّار	todopoderoso	جبّار	todopoderoso	PROPN;NOM;MASC;SG;3	ADJ
جِبال	montañas	جِبال	montaña	PROPN;NOM;MASC;SG;3	N
جِبال	das	جِبال	das	PROPN;NOM;MASC;SG;3	N
جِبال	andes	جِبال	ande	PROPN;NOM;MASC;SG;3	N
جِبال	montes	جِبال	monte	PROPN;NOM;MASC;SG;3	N
جِبال	lorenzo	جِبال	lorenzo	PROPN;NOM;MASC;SG;3	PROPN
جِبال	montaña	جِبال	montaña	PROPN;NOM;MASC;SG;3	N
جِبال	monte	جِبال	monte	PROPN;NOM;MASC;SG;3	N
جِبال	outeiros	جِبال	outeiro	PROPN;NOM;MASC;SG;3	N
جبان	covarde	جبان	covarde	PROPN;NOM;MASC;SG;3	V
جبانت	covardía	جبانت	covardía	PROPN;NOM;MASC;SG;3	N
جبدّا	incómodo	جبدّا	incómodo	PROPN;NOM;MASC;SG;3	ADJ
جبدّا	pesada	جبدّا	pesar	PROPN;NOM;MASC;SG;3	ADJ
جبدّا	pesados	جبدّا	pesar	PROPN;NOM;MASC;SG;3	V
جبدّا	pesado	جبدّا	pesar	PROPN;NOM;MASC;SG;3	ADJ
جبدّا	forte	جبدّا	forte	PROPN;NOM;MASC;SG;3	ADJ
جبدّا	pesa	جبدّا	pesar	PROPN;NOM;MASC;SG;3	V
جبدّا	moito	جبدّا	moito	PROPN;NOM;MASC;SG;3	ADV
جبدّا	peso	جبدّا	peso	PROPN;NOM;MASC;SG;3	N
جبدّا	intenso	جبدّا	intenso	PROPN;NOM;MASC;SG;3	ADJ
جبدی	india	جبدی	indiar	PROPN;NOM;MASC;SG;3	PROPN
جبر	mellora	جبر	mellorar	N;NOM;MASC;SG;3	V
جبر	mellor	جبر	mellor	N;NOM;MASC;SG;3	ADJ
جبر	da	جبر	da	N;NOM;MASC;SG;3	V
جبر	a	جبر	o	N;NOM;MASC;SG;3	DET
جبر	a	جبر	o	N;NOM;MASC;SG;3	DET
جبر	mellora	جبر	mellorar	N;NOM;MASC;SG;3	V
جبر	mellor	جبر	mellor	N;NOM;MASC;SG;3	ADJ
جبر	da	جبر	da	N;NOM;MASC;SG;3	V
جبر	a	جبر	o	N;NOM;MASC;SG;3	DET
جبر	a	جبر	o	N;NOM;MASC;SG;3	DET
جبری	obrigado	جبری	obrigar	ADJ	V
جبری	a	جبری	o	ADJ	DET
جبری	forzado	جبری	forzar	ADJ	V
جبری	todo	جبری	todo	ADJ	DET
جبری	obrigoume	جبری	obrigoume	ADJ	V
جبری	recrutado	جبری	recrutar	ADJ	V
جبل	montaña	جبل	montaña	PROPN;NOM;MASC;SG;3	N
جبل	montañosa	جبل	montañoso	PROPN;NOM;MASC;SG;3	ADJ
جبل	outeiro	جبل	outeiro	PROPN;NOM;MASC;SG;3	N
جبل	hill	جبل	hill	PROPN;NOM;MASC;SG;3	PROPN
جبل	outeiros	جبل	outeiro	PROPN;NOM;MASC;SG;3	N
جبل	924	جبل	924	PROPN;NOM;MASC;SG;3	NUM
جِبلّت	esencia	جِبلّت	esencia	PROPN;NOM;MASC;SG;3	N
جِبلّت	natureza	جِبلّت	natureza	PROPN;NOM;MASC;SG;3	N
جِبلّت	da	جِبلّت	da	PROPN;NOM;MASC;SG;3	V
جِبلّت	a	جِبلّت	o	PROPN;NOM;MASC;SG;3	DET
جِبلّت	instinto	جِبلّت	instinto	PROPN;NOM;MASC;SG;3	N
جِبلّتاً	natural	جِبلّتاً	natural	PROPN;NOM;MASC;SG;3	ADJ
جِبلّتاً	forma	جِبلّتاً	forma	PROPN;NOM;MASC;SG;3	N
جِبلّتاً	naturalmente	جِبلّتاً	natural	PROPN;NOM;MASC;SG;3	ADV
جِبلّتاً	non	جِبلّتاً	non	PROPN;NOM;MASC;SG;3	PART
جِبلّی	natural	جِبلّی	natural	PROPN;NOM;MASC;SG;3	ADJ
جِبلّی	normal	جِبلّی	normal	PROPN;NOM;MASC;SG;3	ADJ
جِبلّی	naturais	جِبلّی	natural	PROPN;NOM;MASC;SG;3	ADJ
جِبلّی	a	جِبلّی	o	PROPN;NOM;MASC;SG;3	DET
جُبن	covardía	جُبن	covardía		N
جُبن	queixo	جُبن	queixo		N
جُبّہ	vestido	جُبّہ	vestido	PROPN;NOM;MASC;SG;3	V
